,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,785.37M,785.37M,485.51M,299.86M,82.21M,84.18M,166.39M,,30.29M,0.48M,-29.81M,166.39M,133.48M,0.48M,30.29M,-29.81M,,-29.81M,103.67M,14.84M,88.83M,88.83M,88.83M,145.02M,11.07M,133.96M,,2.07,,2.07,2.07,,2.00,,2.00,2.00,,42.82M,44.38M,0.55,,AOR,Restated
2017-12,891.51M,891.51M,610.66M,280.85M,0.00,105.60M,105.60M,,39.16M,0.463M,-38.70M,105.60M,175.25M,0.463M,39.16M,-38.70M,,-38.70M,136.56M,43.23M,93.33M,93.33M,93.33M,190.03M,14.32M,175.71M,,2.176,,2.176,2.176,,2.09,,2.09,2.09,,41.97M,43.51M,0.46,,AOR,Restated
2017-09,643.64M,643.64M,445.16M,198.48M,0.00,81.40M,81.40M,,33.14M,0.612M,-32.53M,81.40M,117.08M,0.612M,33.14M,-32.53M,,-32.53M,84.55M,28.18M,56.37M,56.37M,56.37M,127.97M,10.28M,117.69M,,1.22,,1.22,1.22,,1.18,,1.18,1.18,,46.03M,47.72M,0.46,,AOR,Restated
2017-06,628.61M,628.61M,435.77M,192.84M,0.00,79.98M,79.98M,,24.61M,0.276M,-24.34M,79.98M,112.87M,0.276M,24.61M,-24.34M,,-24.34M,88.53M,22.79M,65.74M,65.74M,65.74M,123.42M,10.28M,113.14M,,1.37,,1.37,1.37,,1.32,,1.32,1.32,,47.97M,49.78M,0.46,,AOR,Restated
2017-03,624.22M,624.22M,430.40M,193.82M,0.00,77.78M,77.78M,,25.63M,0.111M,-25.52M,77.78M,116.03M,0.111M,25.63M,-25.52M,,-25.52M,90.51M,28.04M,62.47M,62.47M,62.47M,125.64M,9.498M,116.14M,,1.31,,1.31,1.31,,1.26,,1.26,1.26,,47.84M,49.71M,0.46,,AOR,Restated
2016-12,819.44M,819.44M,564.70M,254.73M,,104.02M,104.02M,,33.54M,0.129M,-33.41M,104.02M,150.72M,0.129M,33.54M,-33.41M,,-33.41M,117.31M,44.58M,72.73M,72.73M,72.73M,163.53M,12.68M,150.85M,,1.509,,1.509,1.509,,1.48,,1.48,1.48,,47.63M,48.77M,0.38,,AOR,Restated
2016-09,566.68M,566.68M,392.77M,173.90M,,72.99M,72.99M,,25.18M,0.083M,-25.10M,72.99M,100.91M,0.083M,25.18M,-25.10M,,-25.10M,75.81M,28.58M,47.23M,47.23M,47.23M,109.70M,8.704M,100.99M,,0.98,,0.98,0.98,,0.96,,0.96,0.96,,48.04M,49.24M,0.38,,AOR,Restated
2016-06,547.34M,547.34M,375.50M,171.84M,,68.14M,68.14M,,25.21M,0.197M,-25.01M,68.14M,103.70M,0.197M,25.21M,-25.01M,,-25.01M,78.69M,29.43M,49.26M,49.26M,49.26M,112.43M,8.535M,103.90M,,1.00,,1.00,1.00,,0.98,,0.98,0.98,,49.21M,50.46M,0.38,,AOR,Restated
2016-03,539.18M,539.18M,371.96M,167.22M,,68.50M,68.50M,,26.15M,0.276M,-25.87M,68.50M,98.71M,0.276M,26.15M,-25.87M,,-25.87M,72.84M,27.39M,45.45M,45.45M,45.45M,107.21M,8.221M,98.99M,,0.91,,0.91,0.91,,0.89,,0.89,0.89,,49.70M,51.23M,0.38,,AOR,Restated
2015-12,741.18M,741.18M,509.74M,231.44M,,93.03M,93.03M,,40.40M,0.11M,-40.28M,93.03M,138.41M,0.11M,40.40M,-40.28M,,-40.28M,98.13M,35.37M,62.76M,62.76M,62.76M,148.26M,9.739M,138.52M,,1.148,,1.148,1.148,,1.148,,1.148,1.148,,50.81M,52.38M,0.31,,AOR,Restated
2015-09,484.70M,484.70M,342.74M,141.95M,,61.41M,61.41M,,19.98M,0.064M,-19.92M,61.41M,80.54M,0.064M,19.98M,-19.92M,,-19.92M,60.63M,22.80M,37.83M,37.83M,37.83M,88.27M,7.667M,80.61M,,0.69,,0.69,0.69,,0.67,,0.67,0.67,,54.46M,56.12M,0.31,,AOR,Restated
2015-06,488.62M,488.62M,335.95M,152.67M,,60.44M,60.44M,,19.01M,0.057M,-18.95M,60.44M,92.23M,0.057M,19.01M,-18.95M,,-18.95M,73.28M,27.37M,45.91M,45.91M,45.91M,99.97M,7.681M,92.29M,,0.84,,0.84,0.84,,0.81,,0.81,0.81,,54.83M,56.63M,0.31,,AOR,Restated
2015-03,502.03M,502.03M,344.96M,157.07M,,62.81M,62.81M,,20.15M,0.082M,-20.07M,62.81M,94.25M,0.082M,20.15M,-20.07M,,-20.07M,74.18M,27.89M,46.29M,46.29M,46.29M,101.68M,7.347M,94.34M,,0.84,,0.84,0.84,,0.81,,0.81,0.81,,55.21M,57.01M,0.31,,AOR,Restated
2014-12,642.95M,642.95M,453.38M,189.56M,,86.68M,86.68M,,26.73M,0.063M,-26.67M,86.68M,102.88M,0.063M,26.73M,-26.67M,,-26.67M,76.22M,28.18M,48.03M,48.03M,48.03M,118.71M,15.76M,102.94M,,0.8646,,0.8646,0.8646,,0.85,,0.85,0.85,,54.83M,56.63M,0.25,,AOR,Restated
2014-09,446.57M,446.57M,313.05M,133.51M,,56.57M,56.57M,,19.97M,0.022M,-19.95M,56.57M,76.94M,0.022M,19.97M,-19.95M,,-19.95M,56.99M,21.37M,35.62M,35.62M,35.62M,83.91M,6.947M,76.96M,,0.65,,0.65,0.65,,0.63,,0.63,0.63,,54.62M,56.61M,0.25,,AOR,Restated
2014-06,450.46M,450.46M,315.82M,134.64M,,53.28M,53.28M,,19.85M,0.027M,-19.82M,53.28M,81.36M,0.027M,19.85M,-19.82M,,-19.82M,61.54M,23.08M,38.46M,38.46M,38.46M,88.05M,6.656M,81.39M,,0.70,,0.70,0.70,,0.67,,0.67,0.67,,55.02M,57.12M,0.25,,AOR,Restated
2014-03,453.85M,453.85M,316.81M,137.04M,,52.87M,52.87M,,20.33M,0.031M,-20.30M,52.87M,84.18M,0.031M,20.33M,-20.30M,,-20.30M,63.88M,23.41M,40.47M,40.47M,40.47M,90.63M,6.421M,84.21M,,0.73,,0.73,0.73,,0.71,,0.71,0.71,,55.21M,57.37M,0.25,,AOR,Restated
2013-12,566.55M,566.55M,394.00M,172.55M,,74.88M,74.88M,,27.15M,0.063M,-27.09M,74.88M,97.67M,0.063M,27.15M,-27.09M,,-27.09M,70.58M,25.92M,44.66M,44.66M,44.66M,106.04M,8.303M,97.73M,,0.8009,,0.8009,0.8009,,0.78,,0.78,0.78,,55.10M,57.39M,0.20,,AOR,Restated
2013-09,404.05M,404.05M,283.42M,120.63M,,53.86M,53.86M,,20.35M,0.024M,-20.32M,53.86M,66.78M,0.024M,20.35M,-20.32M,,-20.32M,46.45M,15.82M,30.63M,30.63M,30.63M,72.87M,6.073M,66.80M,,0.56,,0.56,0.56,,0.53,,0.53,0.53,,55.07M,57.35M,0.20,,AOR,Restated
2013-06,414.01M,414.01M,288.02M,125.99M,,52.15M,52.15M,,20.43M,0.03M,-20.40M,52.15M,73.84M,0.03M,20.43M,-20.40M,,-20.40M,53.44M,20.18M,33.27M,33.27M,33.27M,79.65M,5.776M,73.87M,,0.60,,0.60,0.60,,0.57,,0.57,0.57,,55.47M,57.96M,0.20,,AOR,Restated
2013-03,417.62M,417.62M,287.81M,129.81M,,54.28M,54.28M,,20.94M,0.042M,-20.90M,54.28M,75.52M,0.042M,20.94M,-20.90M,,-20.90M,54.62M,20.20M,34.42M,34.42M,34.42M,81.20M,5.631M,75.57M,,0.62,,0.62,0.62,,0.59,,0.59,0.59,,55.75M,58.22M,0.20,,AOR,Restated
2012-12,539.65M,539.65M,378.98M,160.68M,,72.64M,72.64M,,27.80M,0.064M,-27.73M,72.64M,88.04M,0.064M,27.80M,-27.73M,,-27.73M,60.31M,22.73M,37.58M,37.58M,37.58M,95.42M,7.319M,88.10M,,0.67,,0.67,0.67,,0.65,,0.65,0.65,,55.91M,58.27M,0.00,,AOR,Restated
2012-09,378.08M,378.08M,266.67M,111.41M,,49.79M,49.79M,,20.68M,0.034M,-20.65M,49.79M,61.62M,0.034M,20.68M,-20.65M,,-20.65M,40.97M,14.99M,25.98M,25.98M,25.98M,67.06M,5.411M,61.65M,,0.46,,0.46,0.46,,0.44,,0.44,0.44,,56.08M,58.52M,0.00,,AOR,Restated
2012-06,376.12M,376.12M,261.52M,114.61M,,48.83M,48.83M,,20.72M,0.052M,-20.66M,48.83M,65.78M,0.052M,20.72M,-20.66M,,-20.66M,45.11M,17.02M,28.10M,28.10M,28.10M,71.06M,5.225M,65.83M,,0.50,,0.50,0.50,,0.47,,0.47,0.47,,56.72M,59.45M,0.00,,AOR,Restated
2012-03,384.59M,384.59M,269.94M,114.65M,,47.75M,47.75M,,32.25M,0.154M,-32.10M,47.75M,66.90M,0.154M,32.25M,-32.10M,,-32.10M,34.80M,14.06M,20.74M,20.74M,20.74M,72.26M,5.216M,67.05M,,0.36,,0.36,0.36,,0.35,,0.35,0.35,,56.96M,59.66M,0.00,,AOR,Restated
2011-12,501.75M,501.75M,356.89M,144.86M,,68.72M,68.72M,,28.15M,0.083M,-28.07M,68.72M,76.13M,0.083M,28.15M,-28.07M,,-28.07M,48.07M,17.16M,30.91M,30.91M,30.91M,83.18M,6.964M,76.22M,,0.54,,0.54,0.54,,0.52,,0.52,0.52,,56.66M,58.88M,0.00,,AOR,Restated
2011-09,376.33M,376.33M,272.97M,103.36M,,47.50M,47.50M,,20.98M,0.06M,-20.92M,47.50M,55.85M,0.06M,20.98M,-20.92M,,-20.92M,34.93M,12.84M,22.09M,22.09M,22.09M,61.92M,6.01M,55.91M,,0.37,,0.37,0.37,,0.36,,0.36,0.36,,59.17M,61.83M,0.00,,AOR,Restated
2011-06,384.93M,384.93M,274.24M,110.69M,,,48.65M,,21.04M,0.074M,-20.97M,48.65M,62.05M,0.074M,21.04M,-20.97M,,-20.97M,41.08M,15.83M,25.25M,25.25M,25.25M,67.58M,5.462M,62.12M,,0.42,0.00,0.42,0.42,,0.40,0.00,0.40,0.40,,60.43M,63.23M,0.00,,AOR,Restated
2011-03,389.19M,389.19M,277.58M,111.61M,,,46.49M,,21.46M,0.08M,-21.38M,46.49M,65.11M,0.08M,21.46M,-21.38M,,-21.38M,43.74M,16.62M,27.11M,27.11M,27.11M,70.80M,5.606M,65.19M,,0.46,0.00,0.46,0.46,,0.43,0.00,0.43,0.43,,59.41M,62.34M,0.00,,AOR,Restated
2010-12,479.97M,479.97M,343.86M,136.11M,,68.72M,68.72M,,28.86M,0.098M,-28.77M,68.72M,67.39M,0.098M,28.86M,-28.77M,-0.765M,-28.77M,37.86M,13.68M,24.17M,24.17M,24.17M,74.35M,7.627M,66.72M,,0.41,,0.41,0.41,,0.40,,0.40,0.40,,59.21M,61.90M,0.00,,AOR,Restated
2010-09,347.39M,347.39M,253.24M,94.15M,,45.93M,45.93M,,22.02M,0.067M,-21.95M,45.93M,48.22M,0.067M,22.02M,-21.95M,0.938M,-21.95M,27.21M,10.61M,16.60M,16.60M,16.60M,54.66M,5.431M,49.23M,,0.28,,0.28,0.28,,0.27,,0.27,0.27,,58.47M,60.69M,0.00,,AOR,Restated
2010-06,362.40M,362.40M,262.07M,100.34M,,,45.79M,1.493M,21.77M,0.048M,-21.72M,45.79M,54.55M,0.048M,21.77M,-21.72M,1.493M,-21.72M,34.32M,11.70M,22.62M,22.62M,21.64M,61.58M,5.491M,56.09M,,0.39,0.00,0.3731,0.39,,0.37,0.00,0.3538,0.37,,58.22M,60.76M,0.00,,AOR,Restated
2010-03,381.13M,381.13M,273.14M,107.99M,,,50.45M,6.144M,24.15M,0.03M,-24.12M,50.45M,57.54M,0.03M,24.15M,-24.12M,6.144M,-24.12M,39.56M,15.04M,24.52M,24.52M,20.71M,69.22M,5.503M,63.72M,,0.42,0.00,0.3543,0.42,,0.41,0.00,0.3463,0.41,,57.97M,59.73M,0.00,,AOR,Restated
2009-12,462.88M,462.88M,333.83M,129.05M,,,65.21M,,33.32M,0.002M,-33.31M,65.21M,63.84M,0.002M,33.32M,-33.31M,7.873M,-33.31M,38.40M,14.78M,23.62M,23.62M,23.62M,78.99M,7.281M,71.71M,,0.41,,0.41,0.41,,0.41,,0.41,0.41,,57.81M,58.27M,0.00,,AOR,Restated
2009-09,302.72M,302.72M,219.56M,83.15M,,42.70M,42.70M,,24.63M,0.103M,-24.53M,42.70M,40.45M,0.103M,24.63M,-24.53M,14.29M,-24.53M,30.21M,12.38M,17.83M,17.83M,17.83M,60.35M,5.506M,54.84M,,0.31,,0.31,0.31,,0.31,,0.31,0.31,,57.50M,57.98M,0.00,,AOR,Restated
2009-06,316.63M,316.63M,230.67M,85.96M,,45.66M,45.66M,,26.03M,0.111M,-25.92M,45.66M,40.30M,0.111M,26.03M,-25.92M,12.94M,-25.92M,27.32M,12.80M,14.53M,14.53M,14.53M,58.84M,5.49M,53.35M,,0.25,,0.25,0.25,,0.25,,0.25,0.25,,57.30M,57.74M,0.00,,AOR,Restated
2009-03,321.83M,321.83M,233.01M,88.82M,,,43.90M,21.17M,26.97M,0.467M,-26.50M,43.90M,44.92M,0.467M,26.97M,-26.50M,21.17M,-26.50M,39.59M,15.82M,23.77M,23.77M,11.06M,72.35M,5.787M,66.56M,,0.42,0.00,0.1971,0.42,,0.41,0.00,0.1883,0.41,,57.03M,57.35M,0.00,,AOR,Restated
2008-12,428.17M,428.17M,319.42M,108.74M,,,56.85M,0.00,36.50M,0.76M,-35.74M,56.85M,51.89M,0.76M,36.50M,-35.74M,,-35.74M,16.16M,5.13M,11.03M,11.03M,11.03M,60.31M,7.66M,52.65M,,0.19,0.00,0.19,0.19,,0.19,0.00,0.19,0.19,,56.46M,56.78M,0.00,,AOR,Restated
2008-09,323.59M,323.59M,244.87M,78.72M,,,38.48M,0.00,26.12M,0.447M,-25.68M,38.48M,40.24M,0.447M,26.12M,-25.68M,,-25.68M,14.56M,4.463M,10.10M,10.10M,10.10M,43.96M,3.276M,40.68M,,0.18,0.00,0.18,0.18,,0.17,0.00,0.17,0.17,,57.08M,58.04M,0.00,,,Restated
2008-06,334.35M,334.35M,246.59M,87.76M,,,34.21M,,,,,34.21M,53.55M,,,,,,28.62M,9.894M,18.73M,18.73M,18.73M,61.67M,8.115M,53.55M,,0.32,0.00,0.32,0.32,,0.32,0.00,0.32,0.32,,58.53M,58.53M,0.00,,,
2008-03,339.01M,339.01M,250.98M,88.04M,,,38.68M,,,,,38.68M,49.35M,,,,,,23.53M,9.413M,14.12M,14.12M,14.12M,58.68M,9.326M,49.35M,,0.24,0.00,0.24,0.24,,0.23,0.00,0.23,0.23,,59.40M,60.09M,0.00,,,
2007-12,445.94M,445.94M,333.95M,111.99M,,,55.87M,0.00,,,,55.87M,56.12M,,,,0.00,,21.52M,5.348M,16.18M,16.18M,16.18M,69.39M,13.28M,56.12M,,0.26,0.00,0.26,0.26,,0.25,0.00,0.25,0.25,,60.66M,61.54M,0.00,,,
2007-09,337.32M,337.32M,253.39M,83.93M,,,40.17M,,,,,40.17M,43.76M,,,,,,18.25M,7.256M,10.99M,10.99M,10.99M,52.59M,8.831M,43.76M,,0.18,0.00,0.18,0.18,,0.17,0.00,0.17,0.17,,62.77M,63.97M,0.00,,,
2007-06,340.29M,340.29M,248.42M,91.87M,,,48.57M,,,,,48.57M,43.30M,,,,,,2.243M,-0.074M,2.317M,2.317M,2.317M,73.52M,30.22M,43.30M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,57.92M,57.92M,0.00,,,
2007-03,339.32M,339.32M,248.25M,91.07M,,,40.34M,-13.29M,,,,40.34M,50.73M,,,,-13.29M,,13.54M,5.147M,8.398M,8.398M,16.64M,68.20M,17.46M,50.73M,,0.13,0.00,0.2617,0.13,,0.13,0.00,0.2586,0.13,,62.57M,64.08M,0.00,,,
2006-12,435.25M,435.25M,319.56M,115.69M,,,52.50M,,,,,52.50M,63.19M,,,,,,47.13M,16.08M,31.04M,31.04M,31.04M,73.88M,10.69M,63.19M,,0.50,0.00,0.50,0.50,,0.49,0.00,0.49,0.49,,61.78M,63.08M,0.12,,,
2006-09,326.67M,326.67M,240.89M,85.78M,,,35.07M,,,,,35.07M,50.71M,,,,,,37.49M,12.97M,24.52M,24.52M,24.52M,59.12M,8.404M,50.71M,,0.39,0.00,0.39,0.39,,0.39,0.00,0.39,0.39,,62.88M,62.88M,0.12,,,
2006-06,327.74M,327.74M,238.98M,88.76M,,,42.37M,,,,,42.37M,46.40M,,,,,,33.62M,9.117M,24.51M,24.51M,24.51M,54.49M,8.09M,46.40M,,0.40,0.00,0.40,0.40,,0.39,0.00,0.39,0.39,,61.26M,62.84M,0.12,,,
2006-03,347.65M,347.65M,253.36M,94.30M,,,40.40M,,,,,40.40M,53.89M,,,,,,42.18M,16.03M,26.15M,26.15M,26.15M,62.36M,8.464M,53.89M,,0.39,0.00,0.39,0.39,,0.39,0.00,0.39,0.39,,66.22M,67.67M,0.12,,,
2005-12,457.40M,457.40M,340.04M,117.36M,,,58.98M,,,,,58.98M,58.39M,,,,,,65.01M,24.82M,40.20M,40.20M,40.20M,69.52M,11.14M,58.39M,,0.60,0.00,0.60,0.60,,0.59,0.00,0.59,0.59,,67.11M,67.81M,0.10,,,
2005-09,337.58M,337.58M,251.06M,86.51M,,,41.99M,,,,,41.99M,44.52M,,,,,,32.93M,12.64M,20.28M,20.28M,20.28M,52.68M,8.161M,44.52M,,0.31,0.00,0.31,0.31,,0.30,0.00,0.30,0.30,,65.43M,67.61M,0.10,,,
2005-06,346.95M,346.95M,258.56M,88.40M,,,42.25M,,,,,42.25M,46.15M,,,,,,36.09M,12.54M,23.12M,23.12M,23.12M,54.12M,7.971M,46.15M,,0.35,0.00,0.35,0.35,,0.34,0.00,0.34,0.34,,66.06M,68.00M,0.10,,,
2005-03,369.67M,369.67M,276.66M,93.01M,,,42.52M,,,,,42.52M,50.50M,,,,,,40.09M,15.14M,24.96M,24.96M,24.96M,58.66M,8.165M,50.50M,,0.36,0.00,0.36,0.36,,0.35,0.00,0.35,0.35,,68.92M,71.31M,0.10,,,
2004-12,478.53M,478.53M,362.84M,115.69M,,,55.48M,-1.081M,,,,55.48M,60.21M,,,,-1.081M,,43.40M,16.38M,27.02M,27.02M,27.69M,71.76M,11.55M,60.21M,,0.3933,,0.4031,0.3933,,0.3933,,0.4031,0.3933,,68.69M,68.69M,0.065,,,
2004-09,324.98M,324.98M,245.70M,79.28M,,,50.90M,-9.751M,,,,50.90M,28.38M,,,,-9.751M,,1.573M,0.594M,0.979M,0.979M,7.048M,28.38M,,28.38M,,-0.02,0.00,0.1471,-0.02,,-0.02,0.00,0.1298,-0.02,,36.32M,40.52M,,,,
2004-06,324.24M,324.24M,246.64M,77.60M,,,38.28M,,,,,38.28M,39.32M,,,,,,25.51M,9.631M,15.88M,15.88M,15.88M,39.32M,,39.32M,,0.20,0.00,0.20,0.20,,0.18,0.00,0.18,0.18,,36.32M,40.52M,,,,
2004-03,318.75M,318.75M,237.64M,81.11M,,,37.64M,,,,,37.64M,43.47M,,,,,,29.57M,11.16M,18.41M,18.41M,18.41M,50.42M,6.945M,43.47M,,0.29,0.00,0.29,0.29,,0.26,0.00,0.26,0.26,,63.48M,70.80M,,,AOR,
2003-12,432.98M,432.98M,326.12M,106.86M,,,51.86M,,,,,51.86M,55.00M,,,,,,34.07M,12.78M,21.29M,21.29M,21.29M,32.60M,,32.60M,,,,0.5863,0.5874,,,,0.5255,0.5265,,36.32M,40.52M,,,AOR,Restated
2003-09,292.85M,292.85M,221.35M,71.50M,,,49.10M,,,,,49.10M,22.40M,,,,,,-28.86M,-10.82M,-18.04M,-18.04M,-18.04M,22.40M,,22.40M,,-1.85,0.00,-1.85,-1.85,,-1.85,0.00,-1.85,-1.85,,28.11M,28.11M,,,AOR,
2003-05,295.22M,295.22M,218.42M,76.79M,,,37.65M,,,,,37.65M,39.14M,,,,,,28.21M,10.72M,17.49M,17.49M,17.49M,39.14M,,39.14M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,257.64M,257.64M,,,AOR,
