,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2010-11,2.252B,2.252B,1.728B,524.00M,140.00M,185.00M,,-114.00M,38.00M,8.00M,-30.00M,-191.00M,134.00M,390.00M,8.00M,38.00M,-30.00M,-114.00M,-30.00M,246.00M,48.00M,172.00M,,-17.00M,155.00M,500.00M,284.00M,,2010-11,0.16,0.16,,2010-11,0.15,0.00,,2010-11,972.90M,,2010-11,AOR,Restated
2010-08,2.493B,2.493B,1.712B,781.00M,141.00M,197.00M,,-12.00M,41.00M,10.00M,-31.00M,,338.00M,443.00M,10.00M,41.00M,-31.00M,-12.00M,-31.00M,400.00M,25.00M,359.00M,,-17.00M,342.00M,509.00M,441.00M,,2010-08,0.34,0.34,,2010-08,0.30,0.00,,2010-08,970.00M,,2010-08,AOR,Restated
2010-05,2.288B,2.288B,1.44B,848.00M,190.00M,142.00M,,462.00M,44.00M,4.00M,-40.00M,,332.00M,516.00M,4.00M,44.00M,-40.00M,462.00M,-40.00M,938.00M,-41.00M,960.00M,,-21.00M,939.00M,476.00M,982.00M,,2010-05,1.06,1.06,,2010-05,0.92,0.00,,2010-05,885.40M,,2010-05,AOR,Restated
2010-02,1.961B,1.961B,1.319B,642.00M,100.00M,148.00M,,-1.00M,46.00M,2.00M,-44.00M,-21.00M,227.00M,415.00M,2.00M,46.00M,-44.00M,-1.00M,-44.00M,370.00M,4.00M,379.00M,,-14.00M,365.00M,446.00M,416.00M,,2010-02,0.43,0.43,,2010-02,0.39,0.00,,2010-02,847.60M,,2010-02,AOR,Restated
2009-11,1.74B,1.74B,1.297B,443.00M,97.00M,137.00M,,56.00M,47.00M,2.00M,-45.00M,8.00M,242.00M,201.00M,2.00M,47.00M,-45.00M,56.00M,-45.00M,212.00M,-7.00M,202.00M,,2.00M,204.00M,491.00M,259.00M,,2009-11,0.24,0.24,,2009-11,0.23,0.00,,2009-11,846.30M,,2009-11,AOR,Restated
2009-08,1.302B,1.302B,1.133B,169.00M,82.00M,139.00M,,-13.00M,45.00M,2.00M,-43.00M,-15.00M,206.00M,-37.00M,2.00M,45.00M,-43.00M,-13.00M,-43.00M,-93.00M,-13.00M,-114.00M,,14.00M,-100.00M,503.00M,-48.00M,,2009-08,-0.08,-0.08,,2009-08,-0.08,0.00,,2009-08,843.30M,,2009-08,AOR,Restated
2009-05,1.106B,1.106B,999.00M,107.00M,80.00M,162.00M,,-23.00M,49.00M,6.00M,-43.00M,92.00M,334.00M,-227.00M,6.00M,49.00M,-43.00M,-23.00M,-43.00M,-293.00M,-4.00M,-334.00M,,33.00M,-301.00M,526.00M,-244.00M,,2009-05,-0.37,-0.37,,2009-05,-0.37,0.00,,2009-05,813.30M,,2009-05,AOR,Restated
2009-02,993.00M,993.00M,1.26B,-267.00M,90.00M,168.00M,,-164.00M,47.00M,4.00M,-43.00M,21.00M,279.00M,-546.00M,4.00M,47.00M,-43.00M,-164.00M,-43.00M,-753.00M,5.00M,-814.00M,,51.00M,-763.00M,563.00M,-706.00M,,2009-02,-0.99,-0.99,,2009-02,-0.99,0.00,,2009-02,773.90M,,2009-02,,Restated
2008-11,1.402B,1.402B,1.851B,-449.00M,102.00M,178.00M,,43.00M,,,,9.00M,289.00M,-738.00M,,,,43.00M,,-706.00M,13.00M,-706.00M,,13.00M,-706.00M,594.00M,-738.00M,,2008-11,-0.91,-0.91,,2008-11,-0.91,0.00,,2008-11,773.30M,,2008-11,,
2008-08,1.449B,1.449B,1.514B,-65.00M,107.00M,167.00M,,-10.00M,20.00M,11.00M,-9.00M,-5.00M,269.00M,-334.00M,11.00M,20.00M,-9.00M,-10.00M,-9.00M,-353.00M,2.00M,-355.00M,,11.00M,-344.00M,532.00M,-333.00M,,2008-08,-0.45,-0.45,,2008-08,-0.45,0.00,,2008-08,772.80M,,2008-08,,Restated
2008-05,1.498B,1.498B,1.45B,48.00M,116.00M,170.00M,,-8.00M,21.00M,15.00M,-6.00M,-21.00M,265.00M,-217.00M,15.00M,21.00M,-6.00M,-8.00M,-6.00M,-231.00M,13.00M,-244.00M,,8.00M,-236.00M,513.00M,-210.00M,,2008-05,-0.30,-0.30,,2008-05,-0.30,0.00,,2008-05,772.80M,,2008-05,,Restated
2008-02,1.359B,1.359B,1.402B,-43.00M,120.00M,180.00M,,-435.00M,,,,421.00M,721.00M,-764.00M,,,,-435.00M,,-775.00M,-4.00M,-777.00M,,-6.00M,-777.00M,511.00M,-764.00M,,2008-02,-1.01,-1.01,,2008-02,-1.01,0.00,,2008-02,772.40M,,2008-02,,
2007-11,1.535B,1.535B,1.53B,5.00M,112.00M,163.00M,,9.00M,,,,-23.00M,252.00M,-247.00M,,,,9.00M,,-252.00M,7.00M,-262.00M,,-3.00M,-262.00M,504.00M,-247.00M,,2007-11,-0.34,-0.34,,2007-11,-0.34,0.00,,2007-11,771.90M,,2007-11,,
2007-08,1.437B,1.437B,1.264B,173.00M,143.00M,184.00M,,-7.00M,,,,-12.00M,315.00M,-142.00M,,,,-7.00M,,-146.00M,6.00M,-158.00M,,-6.00M,-158.00M,474.00M,-142.00M,,2007-08,-0.21,-0.21,,2007-08,-0.21,0.00,,2007-08,770.90M,,2007-08,,
2007-05,1.294B,1.294B,1.188B,106.00M,134.00M,195.00M,,29.00M,,,,-28.00M,301.00M,-195.00M,,,,29.00M,,-177.00M,9.00M,-225.00M,,-39.00M,-225.00M,444.00M,-195.00M,,2007-05,-0.29,-0.29,,2007-05,-0.29,0.00,,2007-05,769.90M,,2007-05,,
2007-02,1.427B,1.427B,1.07B,357.00M,153.00M,243.00M,,10.00M,,,,-5.00M,391.00M,-34.00M,,,,10.00M,,2.00M,6.00M,-52.00M,,-48.00M,-52.00M,420.00M,-34.00M,,2007-02,-0.07,-0.07,,2007-02,-0.07,0.00,,2007-02,768.70M,,2007-02,,
2006-11,1.53B,1.53B,1.088B,442.00M,180.00M,183.00M,,34.00M,,,,-31.00M,332.00M,110.00M,,,,34.00M,,153.00M,9.00M,115.00M,,-29.00M,115.00M,380.00M,110.00M,,2006-11,0.15,0.15,,2006-11,0.15,0.00,,2006-11,767.00M,,2006-11,,
2006-08,1.373B,1.373B,1.049B,323.80M,143.70M,163.30M,,38.70M,,,,-35.20M,271.80M,52.00M,,,,38.70M,,91.90M,4.00M,63.70M,,-24.20M,63.70M,344.80M,52.00M,,2006-08,0.08,0.08,,2006-08,0.08,0.00,,2006-08,746.60M,,2006-08,,
2006-05,1.312B,1.312B,982.50M,329.80M,113.20M,167.70M,,1.90M,,,,1.50M,282.40M,47.40M,,,,1.90M,,77.80M,6.50M,88.50M,,17.20M,88.50M,341.20M,47.40M,,2006-05,0.12,0.12,,2006-05,0.12,0.00,,2006-05,708.60M,,2006-05,,
2006-02,1.225B,1.225B,989.00M,236.00M,108.00M,159.00M,,220.00M,,,,-219.00M,48.00M,188.00M,,,,220.00M,,200.00M,7.00M,193.00M,,,193.00M,291.60M,188.00M,,2006-02,0.29,0.29,,2006-02,0.27,0.00,,2006-02,661.50M,,2006-02,,
2005-11,1.362B,1.362B,1.051B,311.10M,95.30M,165.50M,,12.20M,,,,-12.10M,248.70M,62.40M,,,,12.20M,,62.80M,0.20M,62.60M,,,62.60M,303.40M,62.40M,,2005-11,0.10,0.10,,2005-11,0.09,0.00,,2005-11,650.10M,,2005-11,,
2005-08,1.258B,1.258B,975.20M,282.40M,86.80M,150.80M,,-0.50M,,,,,236.60M,45.80M,,,,-0.50M,,43.60M,0.50M,43.10M,,,43.10M,315.40M,45.80M,,2005-08,0.0851,0.0851,,2005-08,0.07,0.00,,2005-08,647.10M,,2005-08,,
2005-05,1.054B,1.054B,967.60M,86.60M,63.30M,153.40M,,-1.30M,,,,,216.70M,-130.10M,,,,-1.30M,,-135.20M,-7.30M,-127.90M,,,-127.90M,318.60M,-130.10M,,2005-05,-0.20,-0.20,,2005-05,-0.20,0.00,,2005-05,648.20M,,2005-05,,
2005-02,1.308B,1.308B,954.00M,354.00M,85.00M,151.00M,,9.00M,,,,-8.00M,228.00M,126.00M,,,,9.00M,,122.00M,4.00M,118.00M,,,118.00M,317.30M,126.00M,,2005-02,0.18,0.18,,2005-02,0.17,0.00,,2005-02,647.10M,,2005-02,,
2004-11,1.260B,1.260B,837.30M,423.00M,86.80M,148.40M,,-14.20M,,,,12.90M,248.10M,174.90M,,,,-14.20M,,169.10M,14.20M,154.90M,,,154.90M,313.70M,174.90M,,2004-11,0.24,0.24,,2004-11,0.23,0.00,,2004-11,646.00M,,2004-11,,
2004-08,1.189B,1.189B,797.10M,391.90M,75.70M,199.30M,,8.60M,,,,,268.30M,123.60M,,,,8.60M,,121.30M,28.00M,93.30M,,,93.30M,309.80M,123.60M,,2004-08,0.1567,0.1567,,2004-08,0.14,0.00,,2004-08,640.30M,,2004-08,,
2004-05,1.117B,1.117B,728.90M,387.90M,94.30M,181.40M,,-1.90M,,,,3.20M,278.90M,109.00M,,,,-1.90M,,104.90M,14.00M,90.90M,,,90.90M,300.10M,109.00M,,2004-05,0.14,0.14,,2004-05,0.13,0.00,,2004-05,644.20M,,2004-05,,
2004-02,991.00M,991.00M,742.80M,248.20M,81.80M,187.90M,,15.60M,,,,-14.30M,255.40M,-7.20M,,,,15.60M,,-10.80M,17.50M,-28.30M,,,-28.30M,295.60M,-7.20M,,2004-02,-0.04,-0.04,,2004-02,-0.04,0.00,,2004-02,643.20M,,2004-02,,
2003-11,1.107B,1.107B,821.20M,286.00M,99.00M,186.40M,,21.50M,,,,,285.40M,0.60M,,,,21.50M,,16.60M,15.50M,1.10M,,,1.10M,312.50M,0.60M,,2003-11,0.00,0.00,,2003-11,0.00,0.00,,2003-11,633.80M,,2003-11,,
2003-08,888.50M,888.50M,719.00M,169.50M,124.20M,166.10M,,16.20M,,,,,268.40M,-98.90M,,,,16.20M,,-113.10M,10.10M,-123.20M,,,-123.20M,298.80M,-98.90M,,2003-08,-0.21,-0.21,,2003-08,-0.21,0.00,,2003-08,609.30M,,2003-08,,
2003-05,732.70M,732.70M,661.70M,71.00M,87.20M,161.70M,,-4.80M,,,,11.20M,260.10M,-189.10M,,,,-4.80M,,-191.00M,23.90M,-214.90M,,,-214.90M,301.00M,-189.10M,,2003-05,-0.36,-0.36,,2003-05,-0.36,0.00,,2003-05,608.30M,,2003-05,,
2003-02,785.00M,785.00M,1.009B,-223.90M,92.40M,174.10M,,-108.10M,,,,110.20M,376.70M,-600.60M,,,,-108.10M,,-601.60M,17.60M,-619.20M,,,-619.20M,310.20M,-600.60M,,2003-02,-1.02,-1.02,,2003-02,-1.02,0.00,,2003-02,607.20M,,2003-02,,
2002-11,685.10M,685.10M,722.40M,-37.30M,104.80M,154.50M,,0.60M,,,,,259.30M,-296.60M,,,,0.60M,,-294.50M,21.40M,-315.90M,,,-315.90M,299.90M,-296.60M,,2002-11,-0.52,-0.52,,2002-11,-0.52,0.00,,2002-11,605.20M,,2002-11,,
2002-08,748.00M,748.00M,957.20M,-209.20M,95.90M,136.50M,,-26.90M,,,,26.00M,258.40M,-467.60M,,,,-26.90M,,-464.40M,122.10M,-586.50M,,,-586.50M,295.50M,-467.60M,,2002-08,-0.98,-0.98,,2002-08,-0.98,0.00,,2002-08,603.90M,,2002-08,,
