,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2016-11,3.923B,4.139B,30.00M,4.169B,2.162B,156.00M,2.453B,241.00M,1.722B,787.00M,,2.75B,,,,132.00M,9.504B,0.00,145.00M,6.828B,27.52B,,388.00M,34.88B,-19.56B,15.32B,104.00M,445.00M,549.00M,1.556B,18.33B,27.84B,,2016-11,1.304B,60.00M,1.583B,3.287B,712.00M,3.999B,,,817.00M,817.00M,338.00M,1.155B,392.00M,392.00M,,,5.546B,7.596B,,,,848.00M,,14.67B,,2016-11,110.00M,5.469B,7.777B,1.029B,,-7.00M,12.32B,,2016-11,AOR,Restated
2016-08,2.258B,4.14B,258.00M,4.398B,1.765B,184.00M,2.068B,229.00M,1.761B,899.00M,,2.889B,,,,140.00M,9.495B,0.00,145.00M,6.653B,26.33B,,475.00M,33.60B,-18.92B,14.69B,104.00M,464.00M,568.00M,1.778B,18.04B,27.54B,,2016-08,1.186B,41.00M,1.649B,3.149B,598.00M,3.747B,,,376.00M,376.00M,380.00M,756.00M,332.00M,332.00M,,,4.835B,8.128B,,,,848.00M,,14.61B,,2016-08,109.00M,5.299B,7.736B,1.029B,,-35.00M,12.08B,,2016-08,AOR,Restated
2016-05,2.067B,4.627B,354.00M,4.981B,1.752B,191.00M,2.073B,250.00M,1.813B,857.00M,,2.92B,,,,136.00M,10.11B,0.00,88.00M,6.261B,24.66B,,610.00M,31.61B,-18.40B,13.21B,104.00M,491.00M,595.00M,2.032B,16.89B,27.00B,,2016-05,1.105B,50.00M,1.559B,2.972B,627.00M,3.599B,,,365.00M,365.00M,347.00M,712.00M,189.00M,189.00M,,,4.50B,8.103B,,,,847.00M,,13.97B,,2016-05,109.00M,5.47B,7.675B,1.029B,,-38.00M,12.19B,,2016-05,AOR,Restated
2016-02,2.343B,3.078B,957.00M,4.035B,1.694B,197.00M,1.984B,237.00M,1.578B,793.00M,,2.608B,,,,178.00M,8.805B,0.00,88.00M,5.694B,23.14B,,819.00M,29.74B,-17.92B,11.82B,104.00M,512.00M,616.00M,2.468B,16.01B,24.82B,,2016-02,1.014B,65.00M,1.123B,2.436B,651.00M,3.087B,,,787.00M,787.00M,338.00M,1.125B,199.00M,199.00M,,,4.411B,5.771B,,,,975.00M,,11.58B,,2016-02,109.00M,5.685B,7.579B,1.025B,,-84.00M,12.26B,,2016-02,AOR,Restated
2015-11,2.005B,2.605B,1.036B,3.641B,1.939B,197.00M,2.223B,234.00M,1.422B,779.00M,,2.435B,,,,211.00M,8.51B,0.00,88.00M,5.468B,22.21B,,617.00M,28.38B,-17.32B,11.06B,104.00M,536.00M,640.00M,3.122B,15.88B,24.39B,,2015-11,1.014B,84.00M,803.00M,2.162B,622.00M,2.784B,,,778.00M,778.00M,273.00M,1.051B,190.00M,190.00M,,,4.025B,5.932B,,,,974.00M,,11.11B,,2015-11,109.00M,5.788B,7.50B,1.006B,,-90.00M,12.30B,,2015-11,AOR,Restated
2015-08,1.684B,2.287B,1.234B,3.521B,2.188B,203.00M,2.507B,240.00M,1.315B,785.00M,,2.34B,,,,228.00M,8.596B,0.00,88.00M,5.358B,21.39B,,436.00M,27.28B,-16.72B,10.55B,23.00M,449.00M,472.00M,3.492B,15.55B,24.14B,,2015-08,1.02B,85.00M,577.00M,2.02B,576.00M,2.596B,,,763.00M,763.00M,326.00M,1.089B,220.00M,220.00M,,,3.905B,5.835B,,,,937.00M,,10.90B,,2015-08,108.00M,5.588B,7.474B,881.00M,,13.00M,12.30B,,2015-08,AOR,Restated
2015-05,1.727B,3.694B,1.166B,4.86B,2.261B,188.00M,2.53B,243.00M,1.364B,774.00M,,2.381B,,,,237.00M,10.01B,0.00,88.00M,5.265B,20.41B,,249.00M,26.01B,-16.16B,9.857B,,431.00M,431.00M,3.794B,15.13B,25.14B,,2015-05,1.00B,82.00M,1.018B,2.487B,638.00M,3.125B,,,823.00M,823.00M,325.00M,1.148B,293.00M,293.00M,,,4.566B,5.921B,,,,897.00M,,11.78B,,2015-05,108.00M,5.117B,7.428B,192.00M,,-3.00M,12.46B,,2015-05,AOR,Restated
2015-02,2.162B,3.547B,932.00M,4.479B,2.439B,266.00M,2.761B,218.00M,1.297B,862.00M,,2.377B,,,,301.00M,9.918B,0.00,88.00M,5.205B,19.45B,,161.00M,24.90B,-15.67B,9.233B,,440.00M,440.00M,3.108B,13.90B,23.82B,,2015-02,948.00M,83.00M,503.00M,1.971B,590.00M,2.561B,,,830.00M,830.00M,369.00M,1.199B,360.00M,360.00M,,,4.12B,4.994B,,,,815.00M,,10.58B,,2015-02,108.00M,4.627B,7.901B,192.00M,,-18.00M,12.43B,,2015-02,AOR,Restated
2014-11,,3.764B,466.00M,4.23B,2.301B,301.00M,2.663B,207.00M,1.325B,916.00M,,2.448B,,,,331.00M,9.672B,0.00,86.00M,5.165B,18.95B,,146.00M,24.35B,-15.22B,9.132B,,450.00M,450.00M,2.157B,12.87B,22.54B,,2014-11,961.00M,89.00M,664.00M,2.203B,652.00M,2.855B,,,853.00M,853.00M,315.00M,1.168B,396.00M,396.00M,,,4.419B,4.189B,,,,815.00M,,10.05B,,2014-11,108.00M,3.713B,7.822B,,,35.00M,11.68B,,2014-11,AOR,Restated
2014-08,2.445B,4.15B,384.00M,4.534B,2.524B,278.00M,2.906B,185.00M,1.372B,898.00M,,2.455B,,,,350.00M,10.24B,0.00,86.00M,5.093B,18.14B,,114.00M,23.43B,-14.75B,8.682B,,468.00M,468.00M,1.79B,12.17B,22.42B,,2014-08,996.00M,71.00M,289.00M,2.029B,737.00M,2.766B,,,1.295B,1.295B,323.00M,1.618B,407.00M,407.00M,,,4.791B,4.373B,,,,802.00M,,10.85B,,2014-08,107.00M,2.729B,7.868B,0.00,,56.00M,10.76B,,2014-08,AOR,Restated
2014-05,,4.062B,202.00M,4.264B,2.357B,285.00M,2.715B,175.00M,1.474B,883.00M,,2.532B,,0.00,,194.00M,9.705B,0.00,86.00M,5.016B,17.16B,,115.00M,22.38B,-14.36B,8.021B,,343.00M,343.00M,1.289B,10.79B,20.50B,,2014-05,1.348B,54.00M,,2.105B,627.00M,2.732B,,,1.161B,1.161B,347.00M,1.508B,378.00M,378.00M,,142.00M,4.76B,3.604B,,,,757.00M,,9.798B,,2014-05,107.00M,1.579B,8.21B,,,44.00M,9.94B,,2014-05,AOR,Restated
2014-02,,4.305B,199.00M,4.504B,2.548B,213.00M,2.826B,186.00M,1.447B,829.00M,,2.462B,,0.00,,199.00M,9.991B,0.00,86.00M,4.962B,16.80B,,88.00M,21.94B,-14.08B,7.859B,,367.00M,367.00M,1.17B,10.62B,20.62B,,2014-02,1.155B,38.00M,,1.907B,616.00M,2.523B,,,1.878B,1.878B,352.00M,2.23B,407.00M,407.00M,,145.00M,5.305B,3.714B,,,,760.00M,,10.57B,,2014-02,107.00M,836.00M,8.282B,,,59.00M,9.284B,,2014-02,AOR,Restated
2013-11,,3.654B,216.00M,3.87B,2.533B,235.00M,2.833B,161.00M,1.462B,836.00M,,2.459B,,0.00,,207.00M,9.369B,0.00,86.00M,4.892B,16.23B,,195.00M,21.40B,-13.67B,7.733B,,368.00M,368.00M,1.028B,10.42B,19.79B,,2013-11,1.164B,42.00M,,1.811B,627.00M,2.438B,,,,1.543B,,1.543B,428.00M,428.00M,,104.00M,4.513B,4.26B,,,,927.00M,,9.648B,,2013-11,106.00M,126.00M,8.919B,,,68.00M,9.219B,,2013-11,AOR,Restated
2013-08,,2.88B,221.00M,3.101B,2.069B,186.00M,2.329B,134.00M,1.719B,796.00M,,2.649B,,556.00M,,276.00M,8.911B,0.00,86.00M,4.835B,15.92B,,84.00M,20.92B,-13.29B,7.626B,,386.00M,386.00M,895.00M,10.21B,19.12B,,2013-08,1.048B,47.00M,,1.469B,506.00M,1.975B,,,1.178B,1.178B,407.00M,1.585B,383.00M,383.00M,,182.00M,4.125B,3.607B,,,,864.00M,,9.112B,,2013-08,104.00M,-212.00M,9.187B,,,63.00M,9.142B,,2013-08,AOR,Restated
2013-05,,2.44B,112.00M,2.552B,1.25B,146.00M,1.503B,110.00M,1.169B,453.00M,,1.732B,,,,99.00M,5.886B,0.00,90.00M,4.605B,15.36B,,61.00M,20.11B,-13.28B,6.83B,,331.00M,331.00M,619.00M,8.169B,14.06B,,2013-05,736.00M,31.00M,,995.00M,429.00M,1.424B,,,,357.00M,,357.00M,389.00M,389.00M,,172.00M,2.342B,3.267B,,,,698.00M,,6.029B,,2013-05,103.00M,-1.92B,9.076B,,,69.00M,7.328B,,2013-05,AOR,Restated
2013-02,,2.061B,167.00M,2.228B,998.00M,129.00M,1.226B,109.00M,1.161B,451.00M,,1.721B,,,,189.00M,5.364B,0.00,90.00M,4.591B,15.47B,,55.00M,20.21B,-13.23B,6.973B,,346.00M,346.00M,837.00M,8.548B,13.91B,,2013-02,674.00M,33.00M,,813.00M,549.00M,1.362B,,,,350.00M,,350.00M,343.00M,343.00M,,62.00M,2.117B,3.301B,,,,729.00M,,5.952B,,2013-02,103.00M,-1.963B,9.012B,,,79.00M,7.231B,,2013-02,AOR,Restated
2012-11,,2.102B,169.00M,2.271B,863.00M,165.00M,1.139B,146.00M,1.209B,476.00M,,1.831B,,,,74.00M,5.315B,0.00,93.00M,4.759B,16.38B,,70.00M,21.30B,-14.10B,7.199B,,359.00M,359.00M,870.00M,8.752B,14.07B,,2012-11,825.00M,31.00M,,994.00M,,994.00M,,,,266.00M,,266.00M,359.00M,359.00M,,274.00M,2.138B,3.169B,,,,717.00M,,5.881B,,2012-11,102.00M,-1.677B,8.961B,,,83.00M,7.469B,,2012-11,AOR,Restated
2012-08,,2.459B,100.00M,2.559B,933.00M,213.00M,1.289B,152.00M,1.148B,512.00M,,1.812B,,0.00,,98.00M,5.758B,0.00,92.00M,4.714B,15.98B,,43.00M,20.82B,-13.72B,7.103B,,371.00M,371.00M,763.00M,8.57B,14.33B,,2012-08,818.00M,25.00M,,973.00M,527.00M,1.50B,,,,224.00M,,224.00M,389.00M,389.00M,,130.00M,2.243B,3.038B,,,,717.00M,,5.911B,,2012-08,102.00M,-1.402B,8.92B,,,80.00M,7.70B,,2012-08,AOR,Restated
2012-05,,2.191B,134.00M,2.325B,973.00M,184.00M,1.333B,170.00M,1.164B,560.00M,,1.894B,,,,78.00M,5.63B,0.00,92.00M,4.636B,15.70B,,118.00M,20.54B,-13.39B,7.158B,,386.00M,386.00M,764.00M,8.686B,14.32B,,2012-05,,,,,,1.547B,,,,262.00M,,262.00M,247.00M,247.00M,,121.00M,2.177B,2.936B,,,,675.00M,,5.83B,,2012-05,99.00M,-1.159B,8.791B,,,80.00M,7.811B,,2012-05,AOR,Restated
2012-02,,2.094B,,2.094B,913.00M,147.00M,1.241B,155.00M,1.245B,681.00M,,2.081B,,,,243.00M,5.659B,0.00,92.00M,4.602B,15.60B,,94.00M,20.38B,-13.03B,7.357B,,400.00M,400.00M,335.00M,8.48B,14.14B,,2012-02,806.00M,37.00M,220.00M,1.181B,,1.181B,,,,150.00M,,150.00M,364.00M,364.00M,,131.00M,2.102B,2.165B,,,,1.373B,,4.78B,,2012-02,99.00M,-839.00M,8.658B,,,68.00M,7.986B,,2012-02,AOR,Restated
2011-11,,1.915B,,1.915B,1.046B,180.00M,1.383B,149.00M,1.336B,612.00M,,2.097B,,,,96.00M,5.491B,0.00,92.00M,4.536B,15.28B,,173.00M,20.08B,-12.61B,7.472B,,401.00M,401.00M,397.00M,8.72B,14.21B,,2011-11,818.00M,32.00M,143.00M,1.14B,,1.14B,,,,146.00M,,146.00M,406.00M,406.00M,,56.00M,2.021B,1.973B,,,,1.438B,,4.502B,,2011-11,99.00M,-557.00M,8.628B,,,101.00M,8.271B,,2011-11,AOR,Restated
2011-08,,2.16B,0.00,2.16B,1.105B,183.00M,1.497B,142.00M,1.342B,596.00M,,2.08B,,,,95.00M,5.832B,0.00,92.00M,4.481B,15.03B,,155.00M,19.76B,-12.20B,7.555B,,,414.00M,535.00M,8.92B,14.75B,,2011-08,1.187B,30.00M,161.00M,1.519B,,1.519B,,,,140.00M,,140.00M,450.00M,450.00M,,67.00M,2.48B,1.861B,,,,1.382B,,4.90B,,2011-08,98.00M,-370.00M,8.61B,,,132.00M,8.47B,,2011-08,AOR,Restated
2011-05,,2.395B,,2.395B,1.065B,222.00M,1.495B,137.00M,1.322B,609.00M,,2.068B,,,,87.00M,6.045B,0.00,92.00M,4.447B,14.15B,,136.00M,18.83B,-11.73B,7.103B,,424.00M,424.00M,499.00M,8.525B,14.57B,,2011-05,1.238B,33.00M,182.00M,1.641B,271.00M,1.912B,,,,184.00M,,184.00M,412.00M,412.00M,,80.00M,2.588B,1.388B,,,,1.449B,,4.538B,,2011-05,100.00M,-234.00M,8.598B,,,119.00M,8.583B,,2011-05,AOR,Restated
2011-02,,2.184B,,2.184B,1.061B,332.00M,1.393B,129.00M,1.27B,558.00M,,1.957B,,,,120.00M,5.654B,0.00,95.00M,4.44B,14.45B,,173.00M,19.15B,-12.10B,7.055B,,309.00M,309.00M,535.00M,8.744B,14.40B,,2011-02,1.18B,45.00M,183.00M,1.408B,135.00M,1.543B,,,,420.00M,,420.00M,285.00M,285.00M,,70.00M,2.59B,1.32B,,,,1.50B,,4.436B,,2011-02,100.00M,-309.00M,8.57B,,,101.00M,8.462B,,2011-02,AOR,Restated
2010-11,,2.411B,,2.411B,1.086B,150.00M,1.362B,114.00M,1.165B,613.00M,,1.892B,,,,118.00M,5.783B,0.00,95.00M,4.402B,14.08B,,140.00M,18.72B,-11.67B,7.044B,,312.00M,312.00M,581.00M,8.834B,14.62B,,2010-11,1.273B,40.00M,255.00M,1.568B,255.00M,1.823B,,,,468.00M,,468.00M,325.00M,325.00M,,142.00M,2.758B,1.348B,,,,1.768B,,4.623B,,2010-11,100.00M,-381.00M,8.472B,,,35.00M,8.226B,,2010-11,AOR,Restated
2010-08,,2.913B,,2.913B,1.238B,114.00M,1.531B,116.00M,1.031B,623.00M,,1.77B,,,,119.00M,6.333B,0.00,95.00M,4.394B,13.25B,,73.00M,17.81B,-11.21B,6.601B,,,323.00M,582.00M,8.36B,14.69B,,2010-08,,,,,,1.509B,,,,712.00M,,712.00M,298.00M,298.00M,,183.00M,2.702B,1.648B,,,,1.796B,,4.877B,,2010-08,99.00M,-536.00M,8.446B,,,11.00M,8.02B,,2010-08,AOR,Restated
2010-05,,2.313B,,2.313B,,,1.568B,111.00M,1.161B,475.00M,,1.747B,,,,96.00M,5.724B,269.00M,95.00M,4.391B,12.63B,,62.00M,17.45B,-10.81B,6.635B,,341.00M,341.00M,1.01B,8.653B,14.38B,,2010-05,844.00M,54.00M,594.00M,1.492B,,1.492B,,,,652.00M,,652.00M,244.00M,244.00M,,223.00M,2.611B,1.717B,,,,1.787B,,4.91B,,2010-05,99.00M,-877.00M,8.441B,,,17.00M,7.68B,,2010-05,AOR,Restated
2010-02,,1.87B,,1.87B,,,1.072B,107.00M,666.00M,302.00M,,1.075B,,,,72.00M,4.089B,269.00M,95.00M,4.308B,12.24B,,55.00M,16.97B,-10.45B,6.525B,,322.00M,322.00M,592.00M,7.863B,11.95B,,2010-02,542.00M,42.00M,128.00M,712.00M,328.00M,1.04B,,,,991.00M,,991.00M,216.00M,216.00M,,,2.247B,1.994B,,,,1.816B,,4.534B,,2010-02,86.00M,-1.816B,7.32B,,,12.00M,5.602B,,2010-02,AOR,Restated
2009-11,,1.565B,,1.565B,,,1.091B,110.00M,629.00M,298.00M,,1.037B,,,,76.00M,3.769B,272.00M,96.00M,4.471B,12.19B,,49.00M,17.08B,-10.20B,6.876B,,334.00M,334.00M,366.00M,7.957B,11.73B,,2009-11,541.00M,40.00M,129.00M,710.00M,349.00M,1.059B,,,,618.00M,,618.00M,212.00M,212.00M,,353.00M,2.242B,2.143B,,,,1.896B,,4.635B,,2009-11,85.00M,-2.181B,7.287B,,,4.00M,5.195B,,2009-11,AOR,Restated
