,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2014-12,1.306B,75.01M,1.381B,258.51M,,258.51M,12.08M,203.39M,91.10M,306.56M,,59.79M,67.24M,2.073B,0.00,47.54M,372.71M,2.074B,2.494B,-1.299B,1.195B,511.84M,306.11M,817.95M,,,38.26M,2.052B,4.125B,,20.10M,102.63M,204.51M,307.14M,,,,27.10M,27.10M,,,334.24M,1.00B,1.00B,120.31M,120.31M,64.99M,1.549B,1.883B,,2014-12,0.283M,,-18.54M,2.242B,,2014-12
2014-09,1.244B,75.09M,1.319B,281.93M,,281.93M,11.64M,200.66M,92.81M,305.11M,,54.38M,67.38M,2.028B,0.00,62.09M,384.47M,2.145B,2.591B,-1.287B,1.304B,595.44M,337.92M,933.36M,,,40.13M,2.277B,4.305B,,20.12M,116.47M,191.84M,308.31M,,,,26.82M,26.82M,,,335.13M,1.001B,1.001B,145.60M,145.60M,61.57M,1.559B,1.894B,,2014-09,0.284M,,-19.07M,2.411B,,2014-09
2014-06,1.322B,49.95M,1.372B,295.83M,,295.83M,14.77M,188.20M,86.32M,289.29M,,74.60M,54.56M,2.087B,0.00,62.09M,378.48M,2.135B,2.575B,-1.244B,1.332B,596.64M,360.99M,957.63M,,,29.77M,2.319B,4.406B,,20.06M,122.14M,250.76M,372.90M,,,,25.73M,25.73M,,,398.64M,1.001B,1.001B,159.88M,159.88M,53.36M,1.577B,1.976B,,2014-06,0.285M,,-17.17M,2.430B,,2014-06
2014-03,1.231B,0.00,1.231B,304.13M,,304.13M,13.91M,186.25M,90.36M,290.52M,,74.04M,79.35M,1.979B,0.00,62.09M,376.11M,2.146B,2.585B,-1.229B,1.355B,597.68M,384.17M,981.84M,,,38.18M,2.375B,4.355B,,20.72M,115.04M,249.57M,364.60M,,2.526M,2.526M,24.26M,24.26M,,,391.39M,1.001B,1.001B,171.43M,171.43M,37.98M,1.563B,1.954B,,2014-03,0.283M,,-12.31M,2.401B,,2014-03
2013-12,1.150B,0.00,1.150B,288.28M,,288.28M,17.18M,203.20M,76.86M,297.23M,,69.15M,85.55M,1.890B,0.00,62.09M,368.39M,2.136B,2.567B,-1.194B,1.372B,596.90M,404.65M,1.002B,,,42.80M,2.417B,4.307B,,21.72M,120.73M,231.88M,352.61M,,2.965M,2.965M,25.54M,25.54M,,,381.12M,1.001B,1.001B,202.44M,202.44M,29.34M,1.570B,1.951B,,2013-12,0.283M,,-12.57M,2.356B,,2013-12
2013-09,1.010B,25.04M,1.035B,297.89M,,297.89M,15.54M,196.49M,66.19M,278.22M,,54.85M,116.22M,1.782B,0.00,62.09M,366.58M,2.127B,2.556B,-1.181B,1.375B,422.00M,145.62M,567.62M,,,40.06M,1.982B,3.764B,,21.80M,122.86M,180.52M,303.37M,,4.804M,4.804M,27.18M,27.18M,,,335.36M,500.96M,500.96M,205.22M,205.22M,29.30M,1.030B,1.366B,,2013-09,0.283M,,-14.11M,2.398B,,2013-09
2013-06,1.175B,25.06M,1.200B,285.44M,,285.44M,14.06M,184.51M,77.07M,275.64M,,82.17M,96.61M,1.940B,0.00,62.09M,364.04M,2.099B,2.525B,-1.152B,1.373B,422.00M,157.15M,579.15M,,,43.73M,1.996B,3.936B,,22.44M,127.76M,250.58M,378.34M,,,,26.56M,26.56M,,,404.89M,503.57M,503.57M,206.86M,206.86M,29.89M,1.023B,1.428B,,2013-06,0.288M,,-15.75M,2.508B,,2013-06
2013-03,1.548B,25.10M,1.573B,300.05M,,300.05M,15.14M,181.63M,71.25M,268.02M,,81.81M,113.01M,2.336B,0.00,62.09M,360.08M,2.073B,2.495B,-1.126B,1.369B,422.00M,165.59M,587.60M,,,41.66M,1.998B,4.334B,,20.20M,134.83M,241.97M,376.80M,,304.31M,304.31M,25.85M,25.85M,,,706.96M,503.57M,503.57M,213.14M,213.14M,26.06M,1.015B,1.722B,,2013-03,0.292M,,-17.62M,2.613B,,2013-03
2012-12,955.11M,75.19M,1.030B,264.54M,,264.54M,12.58M,166.57M,78.54M,257.69M,,80.99M,90.47M,1.724B,0.00,62.09M,357.76M,2.040B,2.460B,-1.101B,1.359B,422.08M,182.52M,604.60M,,,50.94M,2.015B,3.739B,,22.15M,132.64M,211.02M,343.66M,,304.79M,304.79M,25.36M,25.36M,,,673.82M,3.997M,3.997M,192.43M,192.43M,26.32M,483.52M,1.157B,,2012-12,7.04M,,-15.45M,2.581B,,2012-12
2012-09,849.85M,75.28M,925.13M,316.54M,,316.54M,14.11M,160.44M,84.14M,258.69M,,71.56M,94.88M,1.667B,0.00,62.09M,351.85M,2.143B,2.557B,-1.197B,1.360B,422.08M,195.41M,617.49M,,,60.40M,2.038B,3.705B,,19.44M,146.74M,205.36M,352.10M,,303.27M,303.27M,27.02M,27.02M,,,682.40M,5.592M,5.592M,195.89M,195.89M,26.25M,453.74M,1.136B,,2012-09,0.292M,,-14.92M,2.568B,,2012-09
2012-06,881.06M,75.33M,956.39M,317.46M,,317.46M,11.92M,149.60M,80.64M,242.16M,,98.18M,85.18M,1.699B,0.00,65.01M,348.73M,2.106B,2.520B,-1.166B,1.354B,423.07M,208.91M,631.99M,,,52.99M,2.039B,3.738B,,22.59M,169.68M,255.94M,425.61M,,303.50M,303.50M,26.28M,26.28M,,,755.39M,5.592M,5.592M,198.50M,198.50M,27.80M,444.28M,1.200B,,2012-06,0.293M,,-15.43M,2.538B,,2012-06
2012-03,860.55M,75.40M,935.96M,296.26M,,296.26M,18.08M,140.72M,61.34M,220.15M,,105.30M,79.58M,1.637B,0.00,79.34M,331.70M,2.101B,2.512B,-1.150B,1.361B,423.07M,222.35M,645.43M,,,26.26M,2.033B,3.670B,,21.81M,154.71M,72.24M,226.96M,,,,28.73M,28.73M,,,437.63M,308.70M,308.70M,205.73M,205.73M,22.14M,729.41M,1.167B,,2012-03,9.125M,,-13.22M,2.503B,,2012-03
2011-12,741.16M,75.38M,816.54M,246.23M,,246.23M,18.84M,159.94M,54.62M,233.40M,,87.64M,81.40M,1.465B,0.00,85.43M,317.28M,2.093B,2.496B,-1.130B,1.366B,432.81M,237.78M,670.58M,,,19.06M,2.055B,3.521B,,7.866M,126.29M,62.58M,188.87M,,,,31.14M,31.14M,,,379.66M,308.70M,308.70M,197.84M,197.84M,21.53M,636.53M,1.016B,,2011-12,0.292M,,-12.99M,2.504B,,2011-12
2011-09,710.04M,50.30M,760.34M,328.99M,,331.59M,20.64M,167.32M,65.20M,253.16M,,77.88M,80.97M,1.504B,0.00,86.26M,315.73M,2.025B,2.427B,-1.099B,1.329B,411.24M,257.02M,668.26M,,,20.55M,2.018B,3.522B,,5.059M,131.85M,73.07M,204.92M,,,,34.58M,34.58M,,,386.67M,311.79M,311.79M,189.76M,189.76M,22.16M,622.36M,1.009B,,2011-09,0.293M,,-14.34M,2.513B,,2011-09
2011-06,962.54M,50.35M,1.013B,297.63M,,297.63M,18.42M,162.24M,57.26M,237.93M,,113.43M,65.98M,1.728B,0.00,86.26M,313.64M,1.979B,2.379B,-1.070B,1.309B,265.12M,204.26M,469.39M,,,21.65M,1.800B,3.528B,,3.912M,114.06M,263.39M,377.46M,,,,36.88M,36.88M,,,414.34M,300.00M,300.00M,183.72M,183.72M,22.77M,602.58M,1.017B,,2011-06,0.296M,,-14.27M,2.511B,,2011-06
2011-03,868.92M,49.92M,918.85M,304.59M,,305.01M,19.23M,162.05M,53.65M,234.93M,,128.37M,89.44M,1.677B,0.00,85.37M,311.84M,1.926B,2.323B,-1.037B,1.286B,247.53M,216.44M,463.96M,,,25.80M,1.776B,3.452B,,5.363M,112.81M,40.98M,153.79M,,,,35.57M,35.57M,,,391.15M,300.00M,300.00M,180.44M,180.44M,23.67M,596.22M,987.38M,,2011-03,5.865M,,-14.10M,2.465B,,2011-03
2010-12,798.34M,,798.34M,293.26M,,293.91M,17.11M,148.33M,52.14M,217.58M,,122.55M,129.30M,1.562B,0.00,85.37M,310.62M,1.905B,2.301B,-1.003B,1.298B,249.78M,228.45M,478.23M,,,27.62M,1.804B,3.366B,,8.023M,104.49M,196.59M,301.08M,,,,34.26M,34.26M,,,335.35M,300.00M,300.00M,161.43M,161.43M,183.95M,645.38M,980.73M,,2010-12,0.297M,,-14.66M,2.385B,,2010-12
2010-09,718.28M,,718.28M,331.35M,,371.92M,17.66M,134.22M,52.33M,204.21M,,121.03M,46.24M,1.462B,0.00,87.24M,336.24M,1.914B,2.337B,-1.014B,1.323B,249.45M,240.82M,490.26M,,,29.97M,1.843B,3.305B,,11.99M,132.34M,192.14M,324.47M,,,,32.29M,32.29M,,,356.76M,300.00M,300.00M,147.95M,147.95M,158.47M,606.42M,963.18M,,2010-09,0.297M,,-13.70M,2.342B,,2010-09
2010-06,826.51M,0.00,826.51M,339.32M,,423.14M,16.75M,140.50M,48.80M,206.04M,,217.02M,33.91M,1.707B,0.00,87.24M,341.73M,1.872B,2.301B,-976.88M,1.324B,226.22M,194.73M,420.95M,,,30.32M,1.776B,3.482B,,13.05M,120.85M,210.03M,330.88M,,,,25.78M,25.78M,,,532.52M,300.00M,300.00M,136.52M,136.52M,27.93M,596.85M,1.129B,,2010-06,0.301M,,-11.94M,2.353B,,2010-06
2010-03,758.44M,100.42M,858.86M,297.35M,,312.96M,15.45M,140.27M,34.87M,190.59M,,247.25M,23.09M,1.633B,,,,,,,1.325B,29.59M,64.86M,94.45M,,5.914M,20.22M,1.446B,3.079B,,0.914M,80.26M,371.23M,451.50M,,,,21.10M,21.10M,,,472.60M,,,76.17M,76.17M,124.78M,200.95M,673.55M,,2010-03,0.303M,,-10.35M,2.405B,,2010-03
2009-12,737.52M,101.04M,838.56M,281.12M,,281.55M,16.44M,133.48M,46.12M,196.04M,,188.87M,26.54M,1.532B,,,,,,,1.342B,,,,,,125.06M,1.467B,2.998B,,2.501M,71.76M,167.41M,239.16M,,,,18.23M,18.23M,,,257.39M,,,170.38M,170.38M,25.54M,195.93M,453.32M,,2009-12,0.305M,,-9.061M,2.545B,,2009-12
2009-09,836.03M,101.55M,937.58M,228.84M,,230.10M,14.02M,140.88M,37.38M,192.28M,,194.37M,24.08M,1.578B,,,,,,,1.353B,,,,,,130.04M,1.483B,3.061B,,26.33M,84.30M,165.88M,250.18M,,,,18.76M,18.76M,,,268.94M,,,67.76M,67.76M,152.26M,220.02M,488.97M,,2009-09,0.324M,,-8.345M,2.572B,,2009-09
2009-06,709.35M,204.06M,913.40M,207.81M,,220.88M,14.24M,166.97M,36.64M,217.85M,,211.88M,20.94M,1.585B,0.00,87.24M,381.83M,1.844B,2.313B,-946.79M,1.366B,26.71M,76.30M,103.00M,,,27.77M,1.497B,3.082B,,2.14M,72.23M,38.46M,110.68M,,,,16.76M,16.76M,,,268.78M,,,67.27M,67.27M,151.26M,218.53M,487.31M,,2009-06,0.306M,,-7.656M,2.594B,,2009-06
2009-03,692.82M,205.47M,898.30M,196.34M,,230.12M,14.99M,189.99M,34.92M,239.90M,,217.09M,22.59M,1.608B,,,,,,,1.381B,22.37M,65.28M,87.65M,,1.757M,51.05M,1.522B,3.130B,,,63.40M,194.35M,257.74M,,,,18.01M,18.01M,,0.82M,276.57M,114.31M,114.31M,79.97M,79.97M,27.15M,221.43M,498.00M,,2009-03,0.304M,,-2.015M,2.632B,,2009-03
2008-12,718.20M,207.26M,925.46M,213.37M,73.10M,286.47M,16.37M,189.45M,45.84M,251.66M,,214.43M,17.68M,1.696B,,,,,2.423B,-1.019B,1.404B,15.94M,62.98M,78.92M,,1.781M,29.35M,1.514B,3.210B,,,81.66M,190.28M,271.94M,,,,20.60M,20.60M,,0.832M,293.37M,,,34.79M,34.79M,140.73M,175.52M,468.89M,,2008-12,0.00,,-1.781M,2.741B,,2008-12
2008-09,1.051B,205.26M,1.256B,268.57M,,268.57M,16.69M,198.94M,47.61M,263.24M,,263.58M,18.75M,2.071B,,,,,2.481B,-1.019B,1.462B,,60.29M,60.29M,,79.31M,28.80M,1.630B,3.701B,,,86.54M,272.41M,358.95M,,,,21.31M,21.31M,,21.81M,402.07M,,,,,,142.10M,544.17M,,2008-09,0.00,,-3.823M,3.157B,,2008-09
2008-06,1.013B,205.08M,1.218B,272.03M,,272.03M,16.73M,200.56M,55.14M,272.42M,,253.49M,30.42M,2.047B,0.00,87.24M,393.58M,2.023B,2.504B,-1.019B,1.485B,,61.66M,61.66M,,88.63M,26.34M,1.662B,3.708B,,,79.67M,317.21M,396.88M,,,,21.45M,21.45M,,0.825M,419.16M,,,,,,141.42M,560.58M,,2008-06,0.321M,,-5.127M,3.148B,,2008-06
2008-03,1.189B,,1.189B,269.29M,,269.29M,18.96M,187.37M,57.74M,264.08M,,241.11M,45.70M,2.009B,,,,,2.494B,-996.33M,1.497B,,61.36M,61.36M,,77.69M,28.27M,1.665B,3.674B,,,77.50M,325.28M,402.78M,,,,19.79M,19.79M,,4.002M,426.58M,,,,,,133.37M,559.95M,,2008-03,0.321M,,-8.178M,3.114B,,2008-03
2007-12,1.007B,147.38M,1.155B,286.68M,,286.68M,19.66M,180.82M,54.69M,255.16M,,233.10M,52.20M,1.982B,,,,,2.497B,-996.33M,1.501B,,62.39M,62.39M,,71.95M,21.51M,1.657B,3.639B,,,90.29M,301.12M,391.41M,,,,22.25M,22.25M,,4.002M,417.66M,,,,,,133.92M,551.58M,,2007-12,0.321M,,-9.668M,3.087B,,2007-12
2007-09,813.67M,535.29M,1.349B,275.38M,,275.38M,21.72M,183.51M,55.79M,261.02M,,235.12M,9.529M,2.130B,,,,,2.466B,-996.33M,1.470B,,,,,98.97M,43.34M,1.612B,3.742B,,,105.34M,410.86M,516.20M,,,,21.73M,21.73M,,53.46M,591.38M,,,,,,134.40M,725.79M,,2007-09,0.321M,,-7.566M,3.016B,,2007-09
2007-06,577.07M,722.29M,1.299B,245.00M,,245.00M,24.12M,175.75M,62.85M,262.71M,,247.95M,15.56M,2.071B,0.00,90.96M,367.30M,1.969B,2.428B,-996.33M,1.431B,,,,,61.03M,43.91M,1.536B,3.607B,,,93.77M,267.19M,360.96M,,,,23.64M,23.64M,,70.30M,454.90M,,,,,,19.95M,474.85M,,2007-06,0.321M,,-8.271M,3.132B,,2007-06
2007-03,383.06M,941.19M,1.324B,250.70M,,250.70M,22.10M,165.65M,61.33M,249.08M,,234.59M,19.05M,2.078B,,,,,2.261B,-911.54M,1.349B,,,,,47.55M,48.65M,1.445B,3.523B,,,119.00M,275.12M,394.12M,,,,23.81M,23.81M,,43.10M,461.03M,,,,,,17.70M,478.73M,,2007-03,0.321M,,-9.023M,3.044B,,2007-03
