,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-09,701.41M,599.61M,1.301B,234.08M,,234.08M,14.40M,89.77M,37.54M,141.70M,60.06M,85.83M,,1.823B,,,,,,,807.91M,-410.56M,397.35M,117.96M,4.974M,122.93M,,,705.86M,1.226B,3.049B,,82.89M,,,82.89M,132.76M,215.65M,,,,,94.14M,94.14M,,9.172M,318.96M,999.56M,999.56M,95.66M,95.66M,,74.75M,1.170B,1.489B,,2.739M,764.95M,804.71M,,,,,-12.51M,1.560B,,,Restated
2008-06,769.48M,469.24M,1.239B,205.48M,,205.48M,14.35M,86.47M,39.55M,140.37M,52.07M,95.86M,,1.732B,,,,,,,798.26M,-399.38M,398.88M,117.96M,6.399M,124.35M,,,835.32M,1.359B,3.091B,,63.87M,,,63.87M,167.03M,230.89M,,,,,99.79M,99.79M,,6.787M,337.47M,999.55M,999.55M,100.55M,100.55M,,43.89M,1.144B,1.481B,,2.761M,780.93M,822.89M,,,5.651M,-2.643M,3.008M,1.610B,,,Restated
2008-03,867.00M,429.44M,1.296B,249.15M,,249.15M,13.77M,76.87M,39.61M,130.25M,37.52M,106.84M,,1.820B,0.00,94.18M,288.34M,406.92M,,,789.45M,-385.02M,404.43M,117.96M,7.825M,125.78M,603.59M,93.11M,87.00M,1.317B,3.137B,,59.40M,39.26M,,98.66M,130.33M,228.99M,,,,,111.68M,111.68M,,,340.67M,999.85M,999.85M,84.49M,84.49M,,40.28M,1.125B,1.465B,,2.805M,805.04M,858.17M,,,,,5.804M,1.672B,,,Restated
2007-12,400.40M,965.72M,1.366B,229.29M,,229.29M,13.96M,81.12M,36.97M,132.05M,81.59M,84.09M,,1.893B,,,,,,,790.64M,-378.57M,412.07M,117.96M,9.25M,127.20M,,,780.34M,1.320B,3.213B,,77.73M,,,77.73M,140.65M,218.38M,,,,,105.64M,105.64M,,14.04M,338.07M,999.81M,999.81M,107.43M,107.43M,,32.72M,1.140B,1.478B,,2.862M,870.28M,861.40M,,,4.522M,-4.337M,0.185M,1.735B,,,
2007-09,368.30M,852.99M,1.221B,236.60M,,236.60M,16.74M,81.46M,30.75M,128.95M,99.06M,86.24M,,1.772B,,,,,,,779.82M,-364.99M,414.83M,117.96M,10.83M,128.79M,,,952.70M,1.496B,3.268B,,78.22M,,,78.22M,115.44M,193.66M,,,,,101.94M,101.94M,,,295.60M,999.12M,999.12M,90.18M,90.18M,,41.50M,1.131B,1.426B,,2.938M,955.36M,879.80M,,,3.352M,0.605M,3.957M,1.842B,,,
2007-06,627.96M,574.04M,1.202B,208.39M,,208.39M,21.54M,89.14M,34.94M,145.62M,110.96M,91.59M,,1.759B,,,,,,,775.53M,-359.34M,416.19M,117.96M,12.73M,130.68M,,,1.002B,1.549B,3.307B,,59.87M,,,59.87M,130.76M,190.63M,,,,,98.18M,98.18M,,,288.81M,998.80M,998.80M,88.55M,88.55M,,35.38M,1.123B,1.412B,,2.981M,973.79M,914.51M,,,3.05M,1.639M,4.689M,1.896B,,,
2007-03,635.88M,502.04M,1.138B,182.30M,37.46M,219.75M,28.14M,109.65M,36.78M,174.57M,19.18M,100.34M,48.34M,1.700B,0.00,94.19M,281.33M,384.68M,,,760.20M,-347.16M,413.04M,117.96M,14.63M,132.58M,,57.80M,875.83M,1.479B,3.179B,,78.91M,,,78.91M,75.29M,154.20M,,,,,89.05M,89.05M,,60.12M,303.37M,999.60M,999.60M,102.33M,102.33M,,1.32M,1.103B,1.407B,,2.959M,916.29M,849.89M,,,2.311M,1.29M,3.601M,1.773B,,,
2006-12,540.05M,617.60M,1.158B,147.71M,,147.71M,30.18M,110.32M,44.73M,185.23M,117.69M,116.45M,,1.725B,,,,,,,708.25M,-340.50M,367.75M,124.90M,16.57M,141.46M,,,865.12M,1.374B,3.099B,,60.07M,,,60.07M,121.61M,181.68M,,,,,96.14M,96.14M,,46.68M,324.51M,,,105.42M,105.42M,,1.321M,106.75M,431.25M,,3.317M,1.328B,1.330B,,,2.779M,3.903M,6.682M,2.668B,,,
2006-09,903.58M,335.27M,1.239B,186.22M,,186.22M,30.11M,119.55M,49.30M,198.96M,126.25M,116.51M,,1.867B,,,,,,,692.68M,-332.95M,359.74M,124.94M,18.57M,143.51M,,,764.29M,1.268B,3.134B,,73.83M,,,73.83M,108.35M,182.18M,,,,,109.78M,109.78M,,55.58M,347.53M,,,83.60M,83.60M,,5.043M,88.64M,436.17M,,3.358M,1.352B,1.341B,,,2.144M,-0.631M,1.513M,2.698B,,,
2006-06,829.24M,239.78M,1.069B,152.21M,,152.21M,21.30M,125.38M,47.96M,194.64M,143.73M,111.22M,,1.671B,,,,,,,679.85M,-321.32M,358.53M,125.08M,20.61M,145.69M,,,954.64M,1.459B,3.130B,,72.53M,,,72.53M,114.70M,187.23M,,,,,103.14M,103.14M,,18.14M,308.51M,,,97.24M,97.24M,,8.806M,106.04M,414.56M,,3.397M,1.339B,1.365B,,,,,7.88M,2.715B,,,
2006-03,783.37M,238.84M,1.022B,194.20M,,194.20M,10.39M,137.94M,52.70M,201.03M,119.88M,110.93M,,1.648B,0.00,63.52M,246.55M,356.29M,,,666.36M,-308.10M,358.26M,125.08M,22.65M,147.74M,,,1.019B,1.525B,3.174B,,71.00M,,,71.00M,117.41M,188.42M,,,,,126.56M,126.56M,,30.05M,345.02M,,,92.15M,92.15M,,7.485M,99.64M,444.66M,,3.426M,1.335B,1.375B,,,,,15.81M,2.729B,,,
2005-12,623.91M,264.41M,888.32M,142.27M,,142.27M,8.456M,135.40M,68.02M,211.88M,128.70M,74.49M,32.68M,1.478B,,,,,,,651.76M,-301.86M,349.90M,,133.74M,133.74M,,,1.150B,1.634B,3.112B,,78.81M,,,78.81M,120.87M,199.68M,,,,,111.72M,111.72M,,65.51M,376.91M,,,,,,,43.04M,419.94M,,3.443M,1.315B,1.379B,,,,,-5.444M,2.692B,,,
2005-09,567.03M,344.86M,911.88M,191.51M,,191.51M,9.732M,143.12M,46.82M,199.67M,,186.73M,,1.490B,,,,,,,641.20M,-292.40M,348.80M,,135.28M,135.28M,,,1.196B,1.680B,3.170B,,90.21M,,,90.21M,112.28M,202.49M,,,,,109.82M,109.82M,,22.20M,334.52M,,,,,,,67.27M,401.78M,,3.482M,1.374B,1.470B,102.66M,,,,23.14M,2.768B,,,
2005-06,497.15M,454.03M,951.18M,194.60M,,194.60M,59.96M,122.04M,,182.00M,81.05M,68.22M,99.01M,1.576B,,,,,,,628.09M,-281.96M,346.13M,,137.62M,137.62M,,,1.036B,1.519B,3.095B,,76.43M,,,76.43M,99.35M,175.78M,,,,,110.80M,110.80M,,45.97M,332.55M,,,52.13M,52.13M,,,52.13M,384.68M,,896.74M,1.815B,,33.07M,,,,31.88M,2.711B,,,
2005-03,449.39M,412.17M,861.56M,213.46M,11.73M,225.19M,8.589M,122.79M,54.34M,185.72M,8.621M,125.34M,46.12M,1.453B,0.00,63.52M,235.70M,330.59M,,,629.81M,-285.30M,344.52M,119.42M,20.00M,139.42M,,,1.103B,1.587B,3.039B,,63.17M,,,63.17M,62.79M,125.96M,,,,,102.51M,102.51M,,69.92M,298.39M,,,67.29M,67.29M,,,67.29M,365.69M,,3.502M,1.763B,906.93M,,,,,0.204M,2.674B,,,
2004-12,377.44M,315.78M,693.23M,153.32M,,153.32M,8.791M,156.38M,51.56M,216.73M,73.50M,60.25M,,1.197B,,,,,,,622.20M,-281.69M,340.52M,,140.37M,140.37M,,,1.313B,1.794B,2.991B,,82.88M,,,82.88M,96.94M,179.81M,,,,,102.47M,102.47M,,76.83M,359.11M,,,25.57M,25.57M,,,25.57M,384.68M,,3.485M,1.714B,892.09M,8.941M,,,,6.193M,2.606B,,,
2004-09,287.55M,381.79M,669.33M,202.51M,,202.51M,9.346M,119.54M,59.52M,188.41M,52.44M,74.42M,,1.187B,,,,,,,608.54M,-269.70M,338.84M,,142.55M,142.55M,,,1.322B,1.804B,2.991B,,92.05M,,,92.05M,61.08M,153.13M,,,,,126.73M,126.73M,,78.69M,358.56M,,,70.27M,70.27M,,,70.27M,428.83M,,3.483M,1.668B,888.05M,2.313M,,,,5.002M,2.562B,,,
2004-06,256.36M,389.66M,646.02M,208.32M,,208.32M,10.01M,78.62M,54.19M,142.83M,58.76M,86.96M,,1.143B,,,,,,,596.83M,-257.58M,339.25M,,144.32M,144.32M,,,1.331B,1.814B,2.957B,,85.49M,,,85.49M,104.29M,189.78M,,,,,135.57M,135.57M,,65.65M,391.01M,,,61.06M,61.06M,,,61.06M,452.06M,,3.471M,1.599B,893.77M,4.713M,,,,12.95M,2.505B,,,
2004-03,337.34M,461.62M,798.96M,248.96M,,248.96M,8.651M,54.63M,39.17M,102.45M,60.80M,90.39M,,1.302B,0.00,61.44M,226.83M,293.46M,,,581.74M,-246.62M,335.11M,,128.44M,128.44M,,,1.172B,1.636B,2.937B,,77.94M,,,77.94M,91.78M,169.72M,,,,,150.98M,150.98M,,60.43M,381.13M,,,73.28M,73.28M,,,73.28M,454.41M,,3.47M,1.522B,903.99M,1.031M,,,,55.06M,2.483B,,,
2003-12,312.76M,391.74M,704.50M,168.48M,,168.48M,6.195M,49.00M,37.29M,92.48M,51.06M,144.06M,,1.161B,0.00,,32.05M,,571.58M,,603.63M,-235.58M,368.05M,,110.54M,110.54M,,,1.158B,1.636B,2.797B,,50.98M,,,50.98M,87.22M,138.20M,,,,,128.15M,128.15M,,92.76M,359.11M,,,200.52M,200.52M,,,200.52M,559.63M,,3.438M,1.391B,798.94M,3.685M,,,,47.99M,2.237B,,,
2003-09,359.11M,386.04M,745.14M,168.02M,,168.02M,5.65M,55.40M,48.88M,109.94M,47.12M,145.26M,,1.215B,,,,,,,598.35M,-225.60M,372.74M,,112.27M,112.27M,,,936.88M,1.422B,2.637B,,47.81M,,,47.81M,68.48M,116.29M,,,,,110.81M,110.81M,,113.36M,340.46M,,,160.12M,160.12M,,,160.12M,500.58M,,3.422M,1.322B,783.72M,2.506M,,,,30.00M,2.137B,,,
2003-06,343.36M,485.80M,829.16M,137.01M,,137.01M,6.818M,69.00M,39.52M,115.34M,57.26M,149.82M,,1.289B,,,,,,,610.31M,-232.61M,377.70M,,115.84M,115.84M,,,741.06M,1.235B,2.523B,,50.12M,,,50.12M,75.10M,125.22M,,,,,114.88M,114.88M,,120.25M,360.35M,,,135.08M,135.08M,,,135.08M,495.43M,,3.403M,1.265B,760.10M,1.289M,,,,0.538M,2.028B,,,
2003-03,214.00M,461.60M,675.60M,197.69M,,197.69M,7.339M,65.85M,38.31M,111.50M,40.35M,150.15M,,1.175B,0.00,72.97M,247.45M,291.72M,,,612.15M,-229.17M,382.98M,,119.41M,119.41M,,,744.00M,1.246B,2.422B,,41.74M,,,41.74M,66.07M,107.80M,,,,,120.83M,120.83M,,85.20M,313.83M,,,157.10M,157.10M,,,157.10M,470.94M,,3.39M,1.219B,744.17M,0.541M,,,,-14.86M,1.951B,,,
2002-12,227.55M,456.53M,684.08M,124.60M,,124.60M,2.288M,91.27M,43.60M,137.16M,41.24M,121.75M,,1.109B,,,,,,,617.61M,-226.50M,391.11M,100.72M,22.26M,122.99M,,,661.24M,1.175B,2.284B,,39.99M,,,39.99M,61.17M,101.16M,,,,,,,,126.94M,228.11M,,,161.81M,161.81M,,,161.81M,389.92M,,3.373M,1.173B,728.66M,8.205M,,,,-3.007M,1.894B,,,
2002-09,145.95M,451.01M,596.96M,175.24M,,175.24M,11.03M,78.80M,38.34M,128.17M,96.82M,131.60M,,1.129B,,,,,,,664.20M,-216.51M,447.69M,,126.62M,126.62M,,,648.99M,1.223B,2.352B,,62.80M,,,62.80M,63.73M,126.54M,,,,,,,,142.64M,269.18M,,,178.88M,178.88M,,,178.88M,448.06M,,3.371M,1.176B,728.13M,7.433M,,,,4.431M,1.904B,,,
2002-06,215.33M,345.07M,560.40M,167.82M,,167.82M,10.44M,57.19M,27.24M,94.87M,136.30M,141.45M,,1.101B,,,,,,,651.85M,-204.38M,447.47M,,130.43M,130.43M,,,694.95M,1.273B,2.374B,,78.73M,,,78.73M,60.11M,138.84M,,,,,,,,119.68M,258.52M,,,210.21M,210.21M,,,210.21M,468.73M,,3.365M,1.143B,723.34M,14.53M,,,,50.06M,1.905B,,,
2002-03,230.34M,279.38M,509.72M,148.43M,,148.43M,10.96M,46.84M,21.49M,79.29M,119.29M,142.03M,,998.75M,0.00,86.29M,289.92M,270.58M,,,646.79M,-197.02M,449.77M,,134.67M,134.67M,,,752.16M,1.337B,2.335B,,36.73M,,,36.73M,17.55M,54.28M,,,,,,,,141.56M,195.84M,,,235.78M,235.78M,,,235.78M,431.62M,,3.361M,1.107B,719.75M,8.197M,,,,81.55M,1.904B,,,
2001-12,204.44M,212.93M,417.36M,89.86M,,89.86M,24.54M,78.78M,43.41M,146.72M,,152.05M,53.56M,859.54M,,,,,,,619.74M,-185.39M,434.35M,,,,,,934.18M,1.369B,2.228B,,31.34M,,,31.34M,53.38M,84.71M,,,,,62.40M,62.40M,,46.27M,193.39M,,,173.95M,173.95M,,,173.95M,367.34M,,3.35M,1.076B,715.88M,7.199M,,-0.852M,73.60M,72.75M,1.861B,,,
2001-09,201.52M,175.21M,376.73M,90.22M,,90.22M,25.60M,118.42M,38.55M,182.57M,,187.44M,62.05M,899.00M,,,,,,,608.03M,-173.16M,434.88M,,,,,,764.67M,1.200B,2.099B,,28.91M,,,28.91M,48.68M,77.60M,,,,,60.12M,60.12M,,45.07M,182.79M,,,145.31M,145.31M,,,145.31M,328.09M,,3.337M,1.083B,698.14M,14.96M,,-0.66M,1.565M,0.905M,1.770B,,,
2001-06,160.52M,147.28M,307.80M,121.93M,,121.93M,27.81M,232.33M,60.66M,320.79M,,139.74M,65.46M,955.73M,,,,,,,589.13M,-150.75M,438.38M,,,,,,935.03M,1.373B,2.329B,,42.34M,,,42.34M,58.69M,101.03M,,,,,67.20M,67.20M,,27.44M,195.67M,,,210.88M,210.88M,,,210.88M,406.55M,,3.329M,1.276B,677.05M,8.587M,,-0.851M,-23.92M,-24.77M,1.923B,,,
2001-03,208.69M,162.09M,370.78M,172.77M,,172.77M,26.24M,249.35M,66.86M,342.45M,,151.53M,64.34M,1.102B,0.00,86.74M,218.23M,249.65M,,,554.62M,-137.45M,417.18M,,,,,,983.14M,1.400B,2.502B,,104.67M,,,104.67M,28.78M,133.45M,,,,,,,,216.96M,350.41M,,,233.47M,233.47M,,,233.47M,583.88M,,3.311M,1.257B,725.63M,70.58M,,,,2.88M,1.918B,,,
2000-12,97.96M,304.16M,402.12M,222.27M,,222.27M,23.20M,176.19M,68.52M,267.92M,,85.80M,43.92M,1.022B,,,,,,,509.65M,-124.47M,385.18M,,,,,,1.097B,1.482B,2.504B,,124.98M,,,124.98M,61.60M,186.58M,,,,,,,,173.85M,360.44M,,,234.64M,234.64M,,,234.64M,595.08M,,3.287M,1.457B,775.25M,186.19M,,,,-140.36M,1.909B,,,
2000-09,162.51M,503.62M,666.13M,243.86M,,243.86M,11.25M,120.49M,58.36M,190.10M,,93.61M,48.64M,1.242B,,,,,,,479.00M,-114.14M,364.86M,,,,,,903.42M,1.268B,2.511B,,100.64M,,,100.64M,57.93M,158.57M,,,,,,,,187.01M,345.58M,,,244.76M,244.76M,,,244.76M,590.34M,,3.296M,1.467B,556.29M,23.58M,,,,-83.11M,1.920B,,,
2000-06,149.34M,538.56M,687.90M,218.31M,,218.31M,6.126M,107.70M,46.36M,160.19M,,77.90M,56.00M,1.200B,,,,,,,358.02M,-105.68M,252.34M,,,,,,925.62M,1.178B,2.378B,,77.19M,,,77.19M,49.57M,126.76M,,,,,,,,189.34M,316.10M,,,264.94M,264.94M,,,264.94M,581.04M,,3.267M,1.353B,492.70M,,,,,-52.08M,1.797B,,,
2000-03,85.55M,522.20M,607.75M,135.05M,,135.05M,6.602M,78.70M,46.01M,131.31M,,91.28M,75.54M,1.041B,0.00,49.94M,98.67M,188.32M,,,336.94M,-96.57M,240.37M,,,,,,1.067B,1.308B,2.349B,,56.36M,,,56.36M,29.80M,86.16M,,,,,,,,158.56M,244.71M,,,327.27M,327.27M,,,327.27M,571.98M,,3.255M,1.260B,487.63M,,,,,26.26M,1.777B,,,
1999-12,80.55M,416.99M,497.54M,96.27M,,96.27M,6.675M,55.95M,34.95M,97.58M,,124.18M,41.85M,857.42M,,,,,,,305.42M,-107.22M,198.20M,,,,,,335.32M,533.51M,1.391B,,43.81M,,,43.81M,38.84M,82.65M,,,,,,,,90.26M,172.91M,,,23.96M,23.96M,,,23.96M,196.87M,,3.206M,783.15M,422.15M,,,,,-14.44M,1.194B,,,
1999-09,75.90M,352.34M,428.25M,94.81M,,94.81M,7.258M,49.85M,25.80M,82.91M,,119.85M,55.65M,781.47M,,,,,,,244.84M,-99.70M,145.14M,,,,,,351.03M,496.18M,1.278B,,32.04M,,,32.04M,36.91M,68.95M,,,,,,,,121.51M,190.45M,,,22.80M,22.80M,,46.32M,69.12M,259.57M,,1.592M,714.65M,316.04M,,,,,-14.20M,1.018B,,,
1999-06,110.90M,369.87M,480.76M,85.91M,,85.91M,5.965M,37.24M,22.87M,66.08M,,85.46M,63.21M,781.42M,,,,,,,225.61M,-92.74M,132.87M,,,,,,253.98M,386.85M,1.168B,,33.68M,,,33.68M,38.21M,71.89M,,,,,,,,121.99M,193.88M,,,23.90M,23.90M,,13.52M,37.42M,231.29M,,1.573M,658.68M,294.06M,,,,,-17.33M,936.98M,,,
1999-03,53.58M,348.89M,402.47M,73.41M,,73.41M,5.139M,27.82M,19.07M,52.04M,,70.34M,59.45M,657.71M,0.00,10.36M,48.02M,129.10M,,,187.48M,-85.78M,101.70M,,,,,,310.83M,412.54M,1.070B,,23.33M,,,23.33M,32.16M,55.49M,,,,,,,,111.71M,167.20M,,,23.73M,23.73M,,,23.73M,190.93M,,1.562M,607.06M,293.23M,5.112M,,,,-17.42M,879.32M,,,
1998-12,111.68M,224.04M,335.72M,80.74M,,80.74M,3.113M,24.99M,20.60M,48.70M,,64.22M,46.44M,575.82M,,,,,,,183.80M,-88.36M,95.43M,,,,,,329.37M,424.80M,1.001B,,19.01M,,,19.01M,28.15M,47.16M,,,,,,,,91.63M,138.80M,250.00M,250.00M,24.01M,24.01M,,,274.01M,412.80M,,1.446M,593.25M,88.84M,80.22M,,-15.50M,,-15.50M,587.82M,,,
1998-09,69.89M,288.24M,358.14M,74.07M,,74.07M,4.242M,27.07M,27.40M,58.71M,,58.44M,49.98M,599.34M,,,,,,,176.49M,-83.80M,92.69M,,,,,,239.31M,332.00M,931.34M,,21.22M,,,21.22M,33.79M,55.00M,,,,,,,,86.52M,141.52M,250.00M,250.00M,17.38M,17.38M,,,267.38M,408.90M,,0.715M,559.33M,99.48M,115.37M,,-21.72M,,-21.72M,522.44M,,,
1998-06,134.23M,227.40M,361.63M,77.87M,,77.87M,4.095M,25.41M,26.95M,56.46M,,54.19M,70.84M,620.99M,,,,,,,167.35M,-78.28M,89.06M,,,,,,233.77M,322.83M,943.82M,,19.28M,,,19.28M,27.83M,47.11M,,,,,,,,85.94M,133.05M,250.00M,250.00M,17.80M,17.80M,,,267.80M,400.85M,,0.724M,531.50M,112.03M,81.93M,,-19.36M,,-19.36M,542.96M,,,
1998-03,166.86M,195.33M,362.19M,60.91M,,60.91M,5.976M,24.84M,24.47M,55.29M,,38.69M,83.14M,600.22M,0.00,10.36M,37.06M,116.21M,,,163.63M,-75.36M,88.28M,,,,,,252.74M,341.01M,941.24M,,20.33M,,,20.33M,15.32M,35.65M,,,,,,,,90.01M,125.66M,250.00M,250.00M,15.41M,15.41M,,,265.41M,391.06M,,1.458M,504.47M,118.34M,56.97M,,,,-17.12M,550.18M,,,
1997-12,244.08M,173.48M,417.56M,63.80M,,63.80M,5.88M,25.71M,23.01M,54.60M,,48.76M,55.00M,639.72M,,,,,,,165.52M,-82.29M,83.23M,,,,,,243.90M,327.13M,966.85M,,25.04M,,,25.04M,24.21M,49.25M,,,,,,,,72.11M,121.36M,250.00M,250.00M,11.23M,11.23M,,,261.23M,382.59M,,0.742M,473.88M,129.80M,4.054M,,-16.10M,,-16.10M,584.26M,,,
1997-09,260.37M,174.24M,434.61M,65.98M,,65.98M,5.915M,23.75M,24.64M,54.31M,,44.64M,37.00M,636.55M,,,,,,,163.10M,-79.38M,83.72M,,,,,,216.02M,299.74M,936.29M,,27.39M,,,27.39M,31.36M,58.75M,,,,,,,,54.72M,113.47M,250.00M,250.00M,10.75M,10.75M,,,260.75M,374.23M,,0.74M,442.28M,123.27M,,,-4.227M,,-4.227M,562.06M,,,
1997-06,130.53M,334.95M,465.48M,72.70M,,72.70M,5.668M,22.48M,23.08M,51.23M,,43.58M,18.00M,651.00M,,,,,,,158.78M,-73.33M,85.45M,,,,,,171.78M,257.22M,908.22M,,24.08M,,,24.08M,27.31M,51.40M,,,,,,,,63.64M,115.03M,250.00M,250.00M,11.94M,11.94M,,,261.94M,376.98M,,0.736M,411.32M,119.96M,,,-0.77M,,-0.77M,531.25M,,,
1997-03,215.90M,209.94M,425.85M,72.25M,,72.25M,4.952M,30.90M,26.52M,62.37M,,36.42M,4.673M,601.56M,0.00,3.111M,26.84M,124.49M,,,154.44M,-67.86M,86.58M,,,,,,159.56M,246.14M,847.69M,,16.76M,,,16.76M,27.92M,44.68M,,,,,,,,52.58M,97.25M,250.00M,250.00M,9.76M,9.76M,,,259.76M,357.01M,,0.733M,377.88M,114.45M,1.847M,,-0.617M,0.083M,-0.534M,490.68M,,,
1996-12,155.00M,235.10M,390.10M,68.55M,,68.55M,4.929M,50.58M,14.67M,70.18M,,35.06M,,563.89M,,,,,,,150.34M,-61.84M,88.50M,,,,,,158.42M,246.92M,810.81M,,71.33M,,,71.33M,,71.33M,,,,,,,,29.35M,100.68M,250.00M,250.00M,,,,,250.00M,350.68M,,0.73M,347.44M,112.18M,0.218M,,,,,460.13M,,,
1996-09,114.08M,309.40M,423.48M,67.38M,,67.38M,5.241M,41.45M,16.72M,63.41M,,36.95M,,591.22M,,,,,,,145.42M,-55.89M,89.52M,,,,,,128.97M,218.50M,809.71M,,80.85M,,,80.85M,,80.85M,,0.508M,,0.508M,,,,39.19M,120.55M,250.00M,250.00M,,,,,250.00M,370.55M,,0.73M,321.22M,117.22M,,,,,,439.17M,,,
1996-06,129.83M,268.95M,398.77M,72.00M,,72.00M,6.342M,29.34M,13.64M,49.32M,,30.18M,2.404M,552.68M,,,,,,,138.39M,-50.88M,87.51M,,,,,,127.74M,215.25M,767.93M,,72.10M,,,72.10M,,72.10M,,0.703M,,0.703M,,,,34.18M,106.98M,250.00M,250.00M,,,,,250.00M,356.98M,,0.722M,300.00M,110.23M,,,,,,410.95M,,,
1996-03,110.89M,267.07M,377.96M,79.53M,,79.53M,5.886M,21.93M,11.42M,39.24M,,32.94M,9.034M,538.71M,0.00,2.426M,18.03M,102.92M,,4.908M,128.28M,-45.64M,82.64M,,,,,,99.54M,182.17M,720.88M,,30.67M,,,30.67M,28.23M,58.91M,,0.986M,,0.986M,,,,42.74M,102.64M,250.00M,250.00M,,,,,250.00M,352.64M,,0.719M,267.50M,99.59M,,,,,0.432M,368.24M,,,
1995-12,120.30M,,120.30M,,,70.90M,,,,28.70M,,,312.80M,532.70M,,,,,,,111.20M,-40.80M,70.40M,,,,,,67.90M,138.30M,671.00M,,58.60M,,,58.60M,,58.60M,,1.00M,,1.00M,,,,32.40M,92.00M,250.20M,250.20M,,,,,250.20M,342.20M,,,233.60M,,,,,,,328.80M,,,
1995-09,67.40M,,67.40M,,,68.90M,,,,24.30M,,,101.60M,262.20M,,,,,,,94.80M,-37.10M,57.70M,,,,,,63.30M,121.00M,383.20M,,60.20M,,,60.20M,,60.20M,,1.10M,,1.10M,,,,30.80M,92.10M,,,,,,,0.50M,92.60M,,,201.40M,,,,,,,290.60M,,,
1995-06,61.90M,,61.90M,,,54.30M,,,,23.80M,,,91.30M,231.30M,,,,,,,84.90M,-33.50M,51.40M,,,,,,62.20M,113.60M,344.90M,,54.60M,,,54.60M,,54.60M,,1.30M,,1.30M,,,,30.80M,86.70M,,,,,,,0.70M,87.40M,,,171.60M,,,,,,,257.50M,,,
1995-03,56.70M,,56.70M,43.90M,,43.90M,,,,25.60M,,,130.00M,256.20M,,,,,,,70.50M,-31.30M,39.20M,,,,,,25.50M,64.70M,320.90M,,22.50M,,,22.50M,,22.50M,,21.80M,,21.80M,,,,31.80M,76.10M,,,,,,,0.80M,76.90M,,,166.10M,,,,,,,244.00M,,,
1994-12,51.70M,,51.70M,,,36.60M,,,,26.80M,,,104.10M,219.20M,,,,,,,58.90M,-28.50M,30.40M,,,,,,29.70M,60.10M,279.30M,,34.60M,,,34.60M,,34.60M,,1.40M,,1.40M,,,,20.60M,56.60M,,,,,,,1.10M,57.70M,,,146.20M,,,,,,,221.60M,,,
1994-09,47.50M,,47.50M,,,39.80M,,,,29.20M,,,67.90M,184.40M,,,,,,,53.50M,-25.80M,27.70M,,,,,,37.80M,65.50M,249.90M,,26.20M,,,26.20M,,26.20M,,1.30M,,1.30M,,,,19.70M,47.20M,,,,,,,1.60M,48.80M,,,130.60M,,,,,,,201.10M,,,
1994-06,34.20M,,34.20M,,,37.90M,,,,31.70M,,,55.10M,158.90M,,,,,,,48.70M,-23.60M,25.10M,,,,,,54.70M,79.80M,238.70M,,30.80M,,,30.80M,,30.80M,,1.30M,,1.30M,,,,17.00M,49.10M,,,,,,,1.90M,51.00M,,,118.80M,,,,,,,187.70M,,,
1994-03,47.30M,,47.30M,,,35.90M,,,,26.60M,,,84.40M,194.20M,,,,,,,45.10M,-21.30M,23.80M,,,,,,8.20M,32.00M,226.20M,,10.80M,,,10.80M,,10.80M,,1.40M,,1.40M,,,,38.90M,51.10M,,,,,,,2.20M,53.30M,,,106.80M,,,,,,,172.90M,,,
1993-12,37.50M,,37.50M,,,29.40M,,,,23.50M,,,83.20M,173.60M,,,,,,,41.60M,-19.40M,22.20M,,,,,,8.70M,30.90M,204.50M,,23.70M,,,23.70M,,23.70M,,1.50M,,1.50M,,,,17.50M,42.70M,2.50M,2.50M,,,,0.10M,2.60M,45.30M,,,94.60M,,,,,,,159.20M,,,
