,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,462.00M,462.00M,1.374B,1.374B,428.00M,2.264B,,,,,,,468.00M,8.524B,5.082B,13.61B,171.00M,414.00M,14.66B,16.92B,,969.00M,121.00M,1.09B,,1.09B,,360.00M,,360.00M,389.00M,389.00M,,1.839B,8.286B,,8.286B,1.423B,1.423B,200.00M,917.00M,10.63B,12.46B,,32.00M,362.00M,4.75B,,-886.00M,4.258B,,AOR,Restated
2017-12,656.00M,656.00M,1.28B,1.28B,346.00M,2.282B,371.00M,,1.115B,,1.486B,-1.004B,482.00M,8.495B,5.077B,13.57B,170.00M,360.00M,14.58B,16.87B,,296.00M,111.00M,407.00M,555.00M,962.00M,,84.00M,,84.00M,361.00M,361.00M,290.00M,1.697B,8.357B,,8.357B,1.435B,1.435B,198.00M,934.00M,10.73B,12.42B,,32.00M,411.00M,4.742B,,-940.00M,4.245B,,AOR,Restated
2017-09,662.00M,662.00M,1.282B,1.282B,328.00M,2.272B,,,,,,,458.00M,8.352B,5.042B,13.39B,131.00M,330.00M,14.31B,16.58B,,1.015B,198.00M,1.213B,,1.213B,,67.00M,,67.00M,328.00M,328.00M,,1.608B,8.377B,,8.377B,1.219B,1.219B,201.00M,921.00M,10.52B,12.12B,,32.00M,451.00M,4.755B,,-979.00M,4.259B,,AOR,Restated
2017-06,510.00M,510.00M,1.367B,1.367B,340.00M,2.217B,,,,,,,454.00M,8.291B,5.058B,13.35B,133.00M,341.00M,14.28B,16.49B,,925.00M,135.00M,1.06B,,1.06B,,163.00M,,163.00M,352.00M,352.00M,,1.575B,8.36B,,8.36B,1.245B,1.245B,200.00M,923.00M,10.53B,12.10B,,32.00M,426.00M,4.784B,,-1.051B,4.191B,,AOR,Restated
2017-03,451.00M,451.00M,1.287B,1.287B,363.00M,2.101B,,,,,,,464.00M,8.212B,5.086B,13.30B,133.00M,336.00M,14.23B,16.33B,,933.00M,102.00M,1.035B,,1.035B,,236.00M,,236.00M,364.00M,364.00M,,1.635B,8.18B,,8.18B,1.272B,1.272B,194.00M,928.00M,10.38B,12.02B,,32.00M,416.00M,4.809B,,-1.134B,4.123B,,AOR,Restated
2016-12,754.00M,754.00M,1.171B,1.171B,297.00M,2.222B,335.00M,,961.00M,,1.296B,-825.00M,471.00M,7.845B,4.736B,12.58B,127.00M,329.00M,13.51B,15.73B,,238.00M,97.00M,335.00M,491.00M,826.00M,,188.00M,,188.00M,297.00M,297.00M,283.00M,1.594B,7.738B,,7.738B,1.175B,1.175B,191.00M,930.00M,9.843B,11.44B,,32.00M,456.00M,4.825B,,-1.211B,4.102B,,AOR,Restated
2016-09,446.00M,446.00M,1.24B,1.24B,365.00M,2.051B,,,,,,,485.00M,7.963B,4.834B,12.80B,96.00M,271.00M,13.65B,15.70B,,925.00M,207.00M,1.132B,,1.132B,,578.00M,,578.00M,301.00M,301.00M,,2.011B,7.379B,,7.379B,1.022B,1.022B,189.00M,853.00M,9.254B,11.26B,,32.00M,408.00M,4.827B,,-1.021B,4.246B,,AOR,Restated
2016-06,346.00M,346.00M,1.313B,1.313B,376.00M,2.035B,,,,,,,478.00M,7.971B,4.863B,12.83B,97.00M,274.00M,13.68B,15.72B,,868.00M,148.00M,1.016B,,1.016B,,1.075B,,1.075B,324.00M,324.00M,,2.415B,6.933B,,6.933B,1.038B,1.038B,193.00M,864.00M,8.835B,11.25B,,32.00M,389.00M,4.865B,,-1.011B,4.275B,,AOR,Restated
2016-03,432.00M,432.00M,1.239B,1.239B,383.00M,2.054B,,,,,,,482.00M,7.887B,4.799B,12.69B,93.00M,273.00M,13.53B,15.59B,,915.00M,84.00M,999.00M,,999.00M,,189.00M,,189.00M,316.00M,316.00M,,1.504B,7.471B,,7.471B,1.024B,1.024B,196.00M,877.00M,9.372B,10.88B,,32.00M,387.00M,5.066B,,-969.00M,4.516B,,AOR,Restated
2015-12,357.00M,357.00M,1.235B,1.235B,316.00M,1.908B,337.00M,,933.00M,,1.27B,-780.00M,490.00M,7.783B,4.772B,12.56B,78.00M,272.00M,13.40B,15.30B,,216.00M,42.00M,258.00M,538.00M,796.00M,,310.00M,,310.00M,322.00M,322.00M,259.00M,1.687B,7.028B,,7.028B,1.074B,1.074B,194.00M,887.00M,8.989B,10.68B,,32.00M,341.00M,5.119B,,-1.059B,4.433B,,AOR,Restated
2015-09,358.00M,358.00M,1.163B,1.163B,585.00M,2.106B,,,,,,,486.00M,7.588B,4.655B,12.24B,73.00M,369.00M,13.17B,15.28B,,918.00M,199.00M,1.117B,,1.117B,,339.00M,,339.00M,299.00M,299.00M,,1.755B,7.114B,,7.114B,993.00M,993.00M,72.00M,917.00M,9.024B,10.78B,,32.00M,191.00M,5.249B,0.00,-1.046B,4.426B,,AOR,Restated
2015-06,331.00M,331.00M,1.227B,1.227B,556.00M,2.114B,,,,,,,508.00M,7.69B,4.702B,12.39B,70.00M,381.00M,13.35B,15.46B,,831.00M,139.00M,970.00M,,970.00M,,331.00M,,331.00M,332.00M,332.00M,,1.633B,7.142B,,7.142B,1.017B,1.017B,75.00M,921.00M,9.08B,10.71B,,32.00M,49.00M,6.179B,685.00M,-898.00M,4.677B,,AOR,Restated
2015-03,343.00M,343.00M,1.168B,1.168B,554.00M,2.065B,,,,,,,512.00M,7.64B,4.737B,12.38B,67.00M,367.00M,13.32B,15.39B,,858.00M,72.00M,930.00M,,930.00M,,188.00M,,188.00M,320.00M,320.00M,,1.438B,7.159B,,7.159B,1.026B,1.026B,75.00M,922.00M,9.107B,10.54B,,32.00M,-65.00M,6.285B,544.00M,-940.00M,4.768B,,AOR,Restated
2014-12,273.00M,273.00M,1.241B,1.241B,497.00M,2.011B,352.00M,,1.027B,,1.379B,-846.00M,533.00M,7.671B,4.715B,12.39B,83.00M,313.00M,13.32B,15.33B,,223.00M,62.00M,285.00M,520.00M,805.00M,,393.00M,,393.00M,304.00M,304.00M,292.00M,1.794B,6.419B,,6.419B,1.025B,1.025B,77.00M,955.00M,8.399B,10.19B,,32.00M,-128.00M,6.344B,415.00M,-777.00M,5.056B,,AOR,Restated
2014-09,369.00M,369.00M,1.189B,1.189B,424.00M,1.982B,,,,,,,525.00M,7.715B,4.716B,12.43B,96.00M,327.00M,13.38B,15.36B,,917.00M,201.00M,1.118B,,1.118B,,112.00M,,112.00M,312.00M,312.00M,,1.542B,6.508B,,6.508B,839.00M,839.00M,85.00M,772.00M,8.119B,9.661B,,32.00M,-289.00M,6.381B,,-509.00M,5.615B,,AOR,Restated
2014-06,310.00M,310.00M,1.266B,1.266B,411.00M,1.987B,,,,,,,530.00M,7.841B,4.765B,12.61B,119.00M,314.00M,13.57B,15.56B,,883.00M,145.00M,1.028B,,1.028B,,136.00M,,136.00M,339.00M,339.00M,,1.503B,6.556B,,6.556B,859.00M,859.00M,82.00M,794.00M,8.209B,9.712B,,32.00M,-380.00M,6.459B,,-349.00M,5.762B,,AOR,Restated
2014-03,301.00M,301.00M,1.186B,1.186B,446.00M,1.933B,,,,,,,530.00M,7.812B,4.817B,12.63B,116.00M,265.00M,13.54B,15.47B,,918.00M,83.00M,1.001B,,1.001B,,185.00M,,185.00M,345.00M,345.00M,,1.531B,6.461B,,6.461B,871.00M,871.00M,81.00M,813.00M,8.145B,9.676B,,32.00M,-454.00M,6.528B,,-390.00M,5.716B,,AOR,Restated
2013-12,564.00M,564.00M,1.196B,1.196B,374.00M,2.134B,350.00M,,926.00M,,1.276B,-716.00M,560.00M,7.684B,4.781B,12.46B,115.00M,256.00M,13.40B,15.53B,,143.00M,55.00M,198.00M,554.00M,752.00M,,148.00M,,148.00M,306.00M,306.00M,329.00M,1.535B,6.492B,,6.492B,864.00M,864.00M,78.00M,832.00M,8.188B,9.723B,,32.00M,-512.00M,6.596B,,-387.00M,5.729B,,AOR,Restated
2013-09,737.00M,737.00M,1.138B,1.138B,336.00M,2.211B,,,,,,,555.00M,7.686B,4.855B,12.54B,166.00M,242.00M,13.50B,15.72B,,990.00M,99.00M,1.089B,,1.089B,,361.00M,,361.00M,324.00M,324.00M,,1.774B,6.521B,,6.521B,1.136B,1.136B,46.00M,572.00M,8.229B,10.00B,,32.00M,-657.00M,6.67B,,-379.00M,5.666B,,AOR,Restated
2013-06,1.157B,1.157B,1.104B,1.104B,280.00M,2.541B,,,,,,,535.00M,6.691B,4.33B,11.02B,167.00M,276.00M,12.00B,14.54B,,829.00M,89.00M,918.00M,,918.00M,,335.00M,,335.00M,281.00M,281.00M,,1.534B,5.92B,,5.92B,951.00M,951.00M,47.00M,555.00M,7.426B,8.96B,,31.00M,-791.00M,6.725B,,-432.00M,5.533B,,AOR,Restated
2013-03,233.00M,233.00M,1.076B,1.076B,300.00M,1.609B,,,,,,,537.00M,7.322B,4.519B,11.84B,170.00M,259.00M,12.81B,14.42B,,848.00M,74.00M,922.00M,,922.00M,,372.00M,,372.00M,345.00M,345.00M,,1.639B,5.948B,,5.948B,996.00M,996.00M,49.00M,585.00M,7.529B,9.168B,,31.00M,-1.217B,6.738B,,-353.00M,5.199B,,AOR,Restated
2012-12,288.00M,288.00M,1.11B,1.11B,278.00M,1.676B,341.00M,,966.00M,,1.307B,-747.00M,560.00M,7.352B,4.555B,11.91B,170.00M,272.00M,12.91B,14.58B,,150.00M,56.00M,206.00M,542.00M,748.00M,,355.00M,,355.00M,373.00M,373.00M,275.00M,1.751B,6.229B,,6.229B,1.006B,1.006B,48.00M,621.00M,7.856B,9.607B,,30.00M,-1.252B,6.485B,,-333.00M,4.93B,,AOR,Restated
2012-09,325.00M,325.00M,1.079B,1.079B,279.00M,1.683B,,,,,,,555.00M,7.276B,4.556B,11.83B,114.00M,312.00M,12.81B,14.50B,,914.00M,94.00M,1.008B,,1.008B,,428.00M,,428.00M,370.00M,370.00M,,1.806B,6.252B,,6.252B,936.00M,936.00M,5.00M,521.00M,7.709B,9.515B,,30.00M,-1.291B,6.473B,,-236.00M,4.976B,,AOR,Restated
2012-06,283.00M,283.00M,1.089B,1.089B,272.00M,1.644B,,,,,,,572.00M,7.188B,4.551B,11.74B,128.00M,322.00M,12.76B,14.40B,,850.00M,52.00M,902.00M,,902.00M,,324.00M,,324.00M,405.00M,405.00M,,1.631B,6.519B,,6.519B,942.00M,942.00M,4.00M,528.00M,7.989B,9.62B,,30.00M,-1.396B,6.448B,,-301.00M,4.781B,,AOR,Restated
2012-03,295.00M,295.00M,1.057B,1.057B,297.00M,1.649B,,,,,,,611.00M,7.232B,4.544B,11.78B,179.00M,322.00M,12.89B,14.54B,,898.00M,67.00M,965.00M,,965.00M,,293.00M,,293.00M,424.00M,424.00M,,1.682B,6.563B,,6.563B,972.00M,972.00M,8.00M,548.00M,8.083B,9.765B,,30.00M,-1.50B,6.445B,,-211.00M,4.764B,,AOR,Restated
2011-12,319.00M,319.00M,1.08B,1.08B,266.00M,1.665B,359.00M,,931.00M,,1.29B,-681.00M,609.00M,7.155B,4.561B,11.72B,198.00M,316.00M,12.84B,14.50B,,180.00M,80.00M,260.00M,554.00M,814.00M,,144.00M,,144.00M,443.00M,443.00M,291.00M,1.692B,6.619B,,6.619B,996.00M,996.00M,8.00M,556.00M,8.171B,9.863B,,30.00M,-1.525B,6.427B,,-299.00M,4.633B,,AOR,Restated
2011-09,404.00M,404.00M,1.052B,1.052B,244.00M,1.70B,,,,,,,557.00M,7.143B,4.581B,11.72B,191.00M,326.00M,12.80B,14.50B,,939.00M,120.00M,1.059B,,1.059B,,204.00M,,204.00M,425.00M,425.00M,,1.688B,6.807B,,6.807B,916.00M,916.00M,11.00M,533.00M,8.256B,9.944B,,30.00M,-1.62B,6.391B,,-258.00M,4.543B,,AOR,Restated
2011-06,374.00M,374.00M,,1.136B,254.00M,1.764B,,,,,,,595.00M,7.30B,4.633B,11.93B,226.00M,352.00M,13.11B,14.87B,,966.00M,116.00M,1.082B,,1.082B,,225.00M,,225.00M,465.00M,465.00M,,1.772B,6.963B,,6.963B,943.00M,943.00M,11.00M,541.00M,8.447B,10.22B,,30.00M,-1.722B,6.372B,,-40.00M,4.64B,,AOR,Restated
2011-03,396.00M,396.00M,,997.00M,254.00M,1.647B,,,,,,,586.00M,7.242B,4.61B,11.85B,222.00M,383.00M,13.04B,14.69B,,889.00M,105.00M,994.00M,,994.00M,,149.00M,,149.00M,447.00M,447.00M,,1.59B,7.05B,,7.05B,934.00M,934.00M,11.00M,550.00M,8.534B,10.12B,,30.00M,-1.791B,6.364B,,-48.00M,4.555B,,AOR,Restated
2010-12,421.00M,421.00M,,1.014B,219.00M,1.654B,0.00,353.00M,808.00M,,1.161B,-562.00M,599.00M,7.096B,4.607B,11.70B,61.00M,412.00M,12.78B,14.43B,,962.00M,99.00M,1.061B,,1.061B,,94.00M,,94.00M,452.00M,452.00M,,1.607B,8.464B,,8.464B,942.00M,942.00M,9.00M,520.00M,9.926B,11.53B,,22.00M,-1.609B,4.57B,,-96.00M,2.887B,,AOR,Restated
2010-09,423.00M,423.00M,,978.00M,225.00M,1.626B,,,,,,,583.00M,7.068B,4.649B,11.72B,76.00M,425.00M,12.80B,14.43B,,910.00M,104.00M,1.014B,,1.014B,,38.00M,,38.00M,398.00M,398.00M,,1.45B,8.533B,,8.533B,1.016B,1.016B,9.00M,531.00M,10.08B,11.53B,,22.00M,-1.612B,4.573B,,-95.00M,2.888B,,AOR,Restated
2010-06,371.00M,371.00M,,942.00M,233.00M,1.546B,,,,,,,578.00M,6.968B,4.618B,11.59B,49.00M,435.00M,12.65B,14.19B,,863.00M,118.00M,981.00M,,981.00M,,40.00M,,40.00M,427.00M,427.00M,,1.448B,8.399B,,8.399B,1.033B,1.033B,9.00M,509.00M,9.941B,11.39B,,22.00M,-1.623B,4.578B,,-181.00M,2.796B,,AOR,Restated
2010-03,410.00M,410.00M,,895.00M,213.00M,1.518B,,,,,,,569.00M,7.033B,4.687B,11.72B,80.00M,456.00M,12.82B,14.34B,,822.00M,105.00M,927.00M,,927.00M,,101.00M,,101.00M,435.00M,435.00M,,1.463B,8.47B,,8.47B,1.072B,1.072B,10.00M,519.00M,10.06B,11.52B,,22.00M,-1.697B,4.573B,,-89.00M,2.809B,,AOR,Restated
2009-12,514.00M,514.00M,,937.00M,195.00M,1.646B,0.00,343.00M,697.00M,,1.04B,-447.00M,593.00M,7.056B,4.757B,11.81B,50.00M,498.00M,12.95B,14.60B,,1.00B,82.00M,1.082B,,1.082B,,107.00M,,107.00M,435.00M,435.00M,,1.624B,8.548B,,8.548B,1.065B,1.065B,14.00M,551.00M,10.16B,11.79B,,22.00M,-1.739B,4.563B,,-48.00M,2.798B,,AOR,Restated
