,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-06,133.00M,,-22.00M,2.00M,-20.00M,162.00M,162.00M,,12.00M,,12.00M,-66.00M,24.00M,-15.00M,,-4.00M,-61.00M,226.00M,,-92.00M,28.00M,14.00M,-78.00M,-9.00M,-1.00M,-74.00M,,56.00M,0.00,56.00M,5.00M,-42.00M,-37.00M,-121.00M,-121.00M,1.00M,-5.00M,-106.00M,,451.00M,46.00M,13.00M,510.00M,,5.00M,2.351B,-2.295B,-42.00M,70.00M,130.00M,,AOR,Restated
2017-03,73.00M,,,,,155.00M,155.00M,,15.00M,,15.00M,-53.00M,-65.00M,-84.00M,,-1.00M,-203.00M,40.00M,,-114.00M,,-17.00M,-97.00M,-572.00M,,-686.00M,,477.00M,-5.00M,472.00M,11.00M,-42.00M,-31.00M,-111.00M,-111.00M,2.00M,-3.00M,329.00M,,754.00M,-317.00M,14.00M,451.00M,,11.00M,495.00M,-23.00M,-42.00M,52.00M,34.00M,,AOR,Restated
2016-12,160.00M,,-36.00M,0.00,-36.00M,153.00M,153.00M,,14.00M,,14.00M,45.00M,26.00M,90.00M,,3.00M,164.00M,543.00M,,-109.00M,42.00M,16.00M,-83.00M,12.00M,4.00M,-51.00M,,-29.00M,,-29.00M,,-24.00M,-24.00M,-111.00M,-111.00M,10.00M,-4.00M,-158.00M,,446.00M,334.00M,-26.00M,754.00M,,,1.813B,-1.842B,-24.00M,50.00M,128.00M,,AOR,Restated
2016-09,132.00M,,-2.00M,0.00,-2.00M,151.00M,151.00M,,11.00M,,11.00M,71.00M,22.00M,75.00M,,-4.00M,164.00M,456.00M,,-103.00M,0.00,-28.00M,-75.00M,-11.00M,-5.00M,-119.00M,,-81.00M,0.00,-81.00M,,-90.00M,-90.00M,-111.00M,-111.00M,43.00M,-2.00M,-241.00M,,346.00M,96.00M,4.00M,446.00M,,,-28.00M,-53.00M,-90.00M,39.00M,34.00M,,AOR,Restated
2016-06,114.00M,,5.00M,2.00M,7.00M,152.00M,152.00M,,13.00M,,13.00M,-66.00M,1.00M,-11.00M,,0.00,-76.00M,210.00M,,-112.00M,0.00,-27.00M,-85.00M,-205.00M,1.00M,-316.00M,,344.00M,0.00,344.00M,,-221.00M,-221.00M,-111.00M,-111.00M,11.00M,-2.00M,21.00M,,432.00M,-85.00M,-1.00M,346.00M,,,221.00M,123.00M,-221.00M,39.00M,128.00M,,AOR,Restated
2016-03,101.00M,,1.00M,,1.00M,147.00M,147.00M,,13.00M,,13.00M,3.00M,-45.00M,-126.00M,,-7.00M,-175.00M,87.00M,,-109.00M,,-28.00M,-81.00M,-47.00M,,-156.00M,,299.00M,0.00,299.00M,,-83.00M,-83.00M,-101.00M,-101.00M,18.00M,-3.00M,130.00M,,357.00M,61.00M,14.00M,432.00M,,,496.00M,-197.00M,-83.00M,29.00M,29.00M,,AOR,Restated
2015-12,254.00M,,-196.00M,2.00M,-194.00M,142.00M,142.00M,,9.00M,,9.00M,-67.00M,2.00M,40.00M,,2.00M,-23.00M,401.00M,,-102.00M,,-27.00M,-68.00M,-18.00M,36.00M,-77.00M,,-92.00M,,-92.00M,,-174.00M,-102.00M,-101.00M,-101.00M,-40.00M,17.00M,-318.00M,,358.00M,6.00M,-7.00M,357.00M,,,0.00,-92.00M,-174.00M,54.00M,126.00M,,AOR,Restated
2015-09,142.00M,,-5.00M,1.00M,-4.00M,144.00M,144.00M,,12.00M,,12.00M,28.00M,-6.00M,138.00M,,0.00,160.00M,454.00M,,-107.00M,,-31.00M,-76.00M,-1.00M,-3.00M,-111.00M,,-23.00M,,-23.00M,,-173.00M,-173.00M,-115.00M,-115.00M,14.00M,-4.00M,-301.00M,,331.00M,42.00M,-15.00M,358.00M,,,0.00,-23.00M,-173.00M,40.00M,30.00M,,AOR,Restated
2015-06,116.00M,,8.00M,1.00M,9.00M,146.00M,146.00M,,13.00M,,13.00M,-43.00M,-3.00M,18.00M,,-3.00M,-31.00M,253.00M,,-97.00M,,-36.00M,-61.00M,-6.00M,1.00M,-102.00M,,109.00M,,109.00M,,-179.00M,-179.00M,-102.00M,-102.00M,20.00M,-9.00M,-161.00M,,343.00M,-10.00M,-2.00M,331.00M,,,0.00,109.00M,-179.00M,36.00M,124.00M,,AOR,Restated
2015-03,63.00M,,26.00M,,26.00M,142.00M,142.00M,,14.00M,,14.00M,47.00M,-56.00M,-134.00M,,-1.00M,-144.00M,101.00M,,-102.00M,,-33.00M,-69.00M,-191.00M,2.00M,-291.00M,,516.00M,,516.00M,,-141.00M,-141.00M,-90.00M,-90.00M,6.00M,-3.00M,288.00M,,273.00M,98.00M,-28.00M,343.00M,,,746.00M,-230.00M,-141.00M,29.00M,16.00M,,AOR,Restated
2014-12,158.00M,,40.00M,7.00M,47.00M,148.00M,148.00M,,11.00M,,11.00M,-84.00M,5.00M,7.00M,,4.00M,-68.00M,401.00M,,-138.00M,,-67.00M,-71.00M,-117.00M,,-255.00M,,241.00M,,241.00M,,-391.00M,-391.00M,-95.00M,-95.00M,23.00M,13.00M,-209.00M,,369.00M,-63.00M,-33.00M,273.00M,,,280.00M,-39.00M,-391.00M,37.00M,111.00M,,AOR,Restated
2014-09,92.00M,,53.00M,0.00,53.00M,139.00M,139.00M,,12.00M,0.00,12.00M,38.00M,-33.00M,93.00M,,-2.00M,96.00M,392.00M,,-103.00M,,-42.00M,-61.00M,-11.00M,,-114.00M,,-54.00M,,-54.00M,,-27.00M,-27.00M,-94.00M,-94.00M,23.00M,-50.00M,-202.00M,,310.00M,76.00M,-17.00M,369.00M,,,771.00M,-825.00M,-27.00M,48.00M,36.00M,,AOR,Restated
2014-06,76.00M,,51.00M,-1.00M,50.00M,145.00M,145.00M,,12.00M,0.00,12.00M,-68.00M,0.00,2.00M,,-7.00M,-73.00M,210.00M,,-94.00M,,-40.00M,-54.00M,-8.00M,,-102.00M,,19.00M,,19.00M,,-32.00M,-32.00M,-93.00M,-93.00M,46.00M,-39.00M,-99.00M,,301.00M,9.00M,0.00,310.00M,,,3.743B,-3.724B,-32.00M,37.00M,113.00M,,AOR,Restated
2014-03,55.00M,,30.00M,-1.00M,29.00M,141.00M,141.00M,,12.00M,0.00,12.00M,21.00M,-48.00M,-123.00M,,3.00M,-147.00M,90.00M,,-77.00M,,-14.00M,-63.00M,-184.00M,,-261.00M,,6.00M,,6.00M,,-16.00M,-16.00M,-74.00M,-74.00M,11.00M,-2.00M,-75.00M,,564.00M,-246.00M,-17.00M,301.00M,,,30.00M,-24.00M,-16.00M,32.00M,34.00M,,AOR,Restated
2013-12,145.00M,13.00M,11.00M,1.00M,25.00M,146.00M,146.00M,,15.00M,,15.00M,-61.00M,58.00M,101.00M,,-2.00M,96.00M,320.00M,,-119.00M,,-51.00M,-68.00M,-46.00M,1.00M,-164.00M,,-238.00M,-17.00M,-255.00M,,-11.00M,-11.00M,-76.00M,-76.00M,26.00M,-11.00M,-327.00M,,737.00M,-171.00M,-2.00M,564.00M,,,-12.00M,-243.00M,-11.00M,46.00M,103.00M,,AOR,Restated
2013-09,131.00M,0.00,-5.00M,2.00M,-3.00M,117.00M,117.00M,,11.00M,,11.00M,42.00M,-5.00M,28.00M,,0.00,65.00M,321.00M,,-85.00M,,-24.00M,-61.00M,-1.183B,,-1.268B,,594.00M,10.00M,604.00M,,0.00,0.00,-74.00M,-74.00M,8.00M,-14.00M,524.00M,,1.157B,-423.00M,3.00M,737.00M,,,626.00M,-22.00M,0.00,35.00M,47.00M,,AOR,Restated
2013-06,426.00M,-302.00M,4.00M,-3.00M,-301.00M,130.00M,130.00M,,11.00M,,11.00M,-92.00M,-1.00M,34.00M,,-1.00M,-60.00M,206.00M,,-100.00M,,-46.00M,-54.00M,926.00M,1.00M,827.00M,,-74.00M,1.00M,-73.00M,,0.00,0.00,-59.00M,-59.00M,35.00M,-5.00M,-102.00M,,233.00M,931.00M,-7.00M,1.157B,,,-51.00M,-22.00M,0.00,37.00M,98.00M,,AOR,Restated
2013-03,34.00M,-1.00M,30.00M,2.00M,31.00M,128.00M,128.00M,,10.00M,,10.00M,27.00M,-31.00M,-142.00M,,-3.00M,-149.00M,54.00M,,-70.00M,,-9.00M,-61.00M,-11.00M,-1.00M,-82.00M,,32.00M,1.00M,33.00M,,0.00,0.00,-56.00M,-56.00M,16.00M,-5.00M,-12.00M,,288.00M,-40.00M,-15.00M,233.00M,,,1.922B,-1.889B,0.00,29.00M,56.00M,,AOR,Restated
2012-12,36.00M,0.00,134.00M,-3.00M,131.00M,132.00M,132.00M,,10.00M,,10.00M,-26.00M,12.00M,6.00M,,-8.00M,-16.00M,340.00M,,-133.00M,,-60.00M,-73.00M,-27.00M,,-160.00M,,-125.00M,-7.00M,-132.00M,,,,0.00,0.00,1.00M,-87.00M,-218.00M,,325.00M,-38.00M,1.00M,288.00M,,,714.00M,-849.00M,,36.00M,111.00M,,AOR,Restated
2012-09,106.00M,0.00,0.00,3.00M,3.00M,130.00M,130.00M,,10.00M,,10.00M,26.00M,-3.00M,59.00M,,0.00,82.00M,331.00M,,-73.00M,,-22.00M,-51.00M,-63.00M,,-136.00M,,-172.00M,2.00M,-170.00M,,,,0.00,0.00,15.00M,-2.00M,-157.00M,,283.00M,38.00M,4.00M,325.00M,,,-148.00M,-22.00M,,26.00M,72.00M,,AOR,Restated
2012-06,105.00M,0.00,-8.00M,-2.00M,-10.00M,127.00M,127.00M,,6.00M,,6.00M,-64.00M,-2.00M,-45.00M,,-1.00M,-112.00M,116.00M,,-70.00M,,-8.00M,-62.00M,-58.00M,,-128.00M,,7.00M,2.00M,9.00M,,,,0.00,0.00,3.00M,-5.00M,7.00M,,295.00M,-5.00M,-7.00M,283.00M,,,97.00M,-88.00M,,39.00M,126.00M,,AOR,Restated
2012-03,25.00M,0.00,15.00M,5.00M,20.00M,131.00M,131.00M,,8.00M,,8.00M,51.00M,-25.00M,-212.00M,,-1.00M,-187.00M,-3.00M,,-82.00M,,-42.00M,-40.00M,-16.00M,,-98.00M,,58.00M,6.00M,64.00M,,,,0.00,0.00,10.00M,-4.00M,70.00M,,319.00M,-31.00M,7.00M,295.00M,,,1.335B,-1.271B,,23.00M,75.00M,,AOR,Restated
2011-12,96.00M,,-15.00M,-3.00M,-20.00M,133.00M,133.00M,,9.00M,,9.00M,-33.00M,-8.00M,249.00M,,0.00,208.00M,302.00M,,-154.00M,,-93.00M,-61.00M,-7.00M,1.00M,-160.00M,,-220.00M,-4.00M,-224.00M,0.00,0.00,0.00,,,5.00M,-4.00M,-223.00M,,404.00M,-81.00M,-4.00M,319.00M,,0.00,2.00M,-220.00M,0.00,40.00M,134.00M,,AOR,Restated
2011-09,103.00M,,4.00M,5.00M,9.00M,125.00M,125.00M,,8.00M,,8.00M,33.00M,7.00M,-13.00M,,-3.00M,24.00M,269.00M,,-71.00M,,-18.00M,-53.00M,-18.00M,-3.00M,-92.00M,,-112.00M,-14.00M,-126.00M,0.00,,0.00,,,3.00M,-1.00M,-124.00M,,374.00M,53.00M,-23.00M,404.00M,,0.00,-14.00M,-112.00M,,29.00M,83.00M,,AOR,Restated
2011-06,69.00M,,1.00M,-1.00M,0.00,135.00M,135.00M,,6.00M,,6.00M,-128.00M,-11.00M,52.00M,-2.00M,1.00M,-88.00M,122.00M,,-90.00M,,-46.00M,-44.00M,-33.00M,2.00M,-121.00M,,-27.00M,0.00,-27.00M,0.00,2.00M,2.00M,,,,-3.00M,-28.00M,,396.00M,-27.00M,5.00M,374.00M,,0.00,0.00,-27.00M,2.00M,32.00M,136.00M,,AOR,Restated
2011-03,-181.00M,,223.00M,6.00M,230.00M,136.00M,136.00M,,4.00M,,4.00M,57.00M,-25.00M,-275.00M,2.00M,,-241.00M,-52.00M,,-52.00M,,-20.00M,-32.00M,-60.00M,-1.00M,-113.00M,,-1.474B,12.00M,-1.462B,1.801B,-2.00M,1.799B,,,,-212.00M,125.00M,,421.00M,-40.00M,15.00M,396.00M,,1.801B,289.00M,-1.751B,-2.00M,31.00M,93.00M,,AOR,Restated
2010-12,4.00M,,95.00M,6.00M,107.00M,139.00M,139.00M,,5.00M,,14.00M,-41.00M,-2.00M,223.00M,9.00M,,181.00M,249.00M,,-108.00M,,-53.00M,-55.00M,-18.00M,2.00M,-124.00M,,-58.00M,7.00M,-51.00M,0.00,4.00M,4.00M,,,,-64.00M,-123.00M,,423.00M,2.00M,-4.00M,421.00M,,0.00,1.065B,-1.11B,4.00M,40.00M,139.00M,,AOR,Restated
2010-09,8.00M,,5.00M,-6.00M,13.00M,142.00M,142.00M,,4.00M,,-5.00M,1.00M,6.00M,-11.00M,-2.00M,,-6.00M,165.00M,,-80.00M,,-39.00M,-41.00M,-7.00M,0.00,-87.00M,,-8.00M,-13.00M,-25.00M,0.00,-4.00M,-4.00M,,,,-14.00M,-43.00M,,371.00M,35.00M,17.00M,423.00M,,0.00,0.00,-21.00M,-4.00M,25.00M,143.00M,,AOR,Restated
2010-06,77.00M,,-67.00M,-9.00M,-67.00M,136.00M,136.00M,,4.00M,,4.00M,-61.00M,-11.00M,79.00M,1.00M,,8.00M,158.00M,,-93.00M,,-60.00M,-33.00M,-28.00M,-1.00M,-122.00M,,-67.00M,2.00M,-61.00M,0.00,1.00M,1.00M,,,,-5.00M,-65.00M,,410.00M,-29.00M,-10.00M,371.00M,,0.00,0.00,-65.00M,1.00M,37.00M,102.00M,,AOR,Restated
2010-03,43.00M,,-88.00M,15.00M,-70.00M,141.00M,141.00M,,5.00M,,5.00M,24.00M,-11.00M,-153.00M,-8.00M,,-148.00M,-29.00M,,-53.00M,,-26.00M,-27.00M,15.00M,6.00M,-32.00M,,-28.00M,-2.00M,-30.00M,0.00,-1.00M,-1.00M,,,,-1.00M,-32.00M,,514.00M,-93.00M,-11.00M,410.00M,,0.00,0.00,-30.00M,-1.00M,27.00M,147.00M,,AOR,Restated
2009-12,44.00M,,18.00M,39.00M,71.00M,148.00M,148.00M,0.00,8.00M,,563.00M,-89.00M,0.00,351.00M,-2.00M,,260.00M,194.00M,,-78.00M,,-38.00M,-40.00M,68.00M,4.00M,-6.00M,,217.00M,-300.00M,-83.00M,,,,,,,-3.00M,-86.00M,,410.00M,102.00M,2.00M,514.00M,,,0.00,-83.00M,,33.00M,112.00M,,AOR,Restated
2009-09,-526.00M,,23.00M,22.00M,45.00M,145.00M,145.00M,582.00M,7.00M,,34.00M,82.00M,1.00M,-199.00M,2.00M,,-114.00M,172.00M,,-72.00M,,-40.00M,-32.00M,-7.00M,1.00M,-78.00M,,-80.00M,-2.00M,-82.00M,,,,,,,-4.00M,-86.00M,,387.00M,8.00M,15.00M,410.00M,,,1.00M,-83.00M,,44.00M,152.00M,,,
2009-06,-10.00M,,57.00M,9.00M,66.00M,137.00M,137.00M,,-5.00M,,-5.00M,6.00M,10.00M,-17.00M,-2.00M,,-3.00M,185.00M,,-68.00M,,-32.00M,-36.00M,4.00M,9.00M,-55.00M,,-952.00M,880.00M,-72.00M,,,,,,,-108.00M,-180.00M,,411.00M,-50.00M,26.00M,387.00M,,,922.00M,-994.00M,,34.00M,88.00M,,,
2009-03,3.00M,,-75.00M,23.00M,-52.00M,132.00M,132.00M,,4.00M,,4.00M,40.00M,-31.00M,-128.00M,-2.00M,,-121.00M,-34.00M,,-64.00M,,-29.00M,-35.00M,-31.00M,7.00M,-88.00M,,-161.00M,300.00M,139.00M,,,,,,,-58.00M,81.00M,,467.00M,-41.00M,-15.00M,411.00M,,,300.00M,-161.00M,,28.00M,143.00M,,AOR,
