,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,1.61B,1.61B,719.00M,891.00M,493.00M,-24.00M,96.00M,2.00M,-94.00M,660.00M,231.00M,2.00M,96.00M,-94.00M,-23.00M,-94.00M,114.00M,39.00M,75.00M,,-3.00M,72.00M,87.84M,377.00M,167.00M,210.00M,,0.20,,0.2444,0.20,,0.20,,0.2443,0.20,,356.46M,357.27M,0.34,,AOR,Restated
2017-12,1.761B,1.761B,734.00M,1.027B,478.00M,-32.00M,97.00M,1.00M,-96.00M,641.00M,386.00M,1.00M,97.00M,-96.00M,-44.00M,-96.00M,246.00M,162.00M,84.00M,,-3.00M,81.00M,100.80M,506.00M,163.00M,343.00M,,0.23,,0.2856,0.23,,0.23,,0.2854,0.23,,356.21M,357.39M,0.34,,AOR,Restated
2017-09,1.641B,1.641B,692.00M,949.00M,448.00M,-7.00M,95.00M,1.00M,-94.00M,608.00M,341.00M,1.00M,95.00M,-94.00M,-5.00M,-94.00M,242.00M,92.00M,150.00M,,-4.00M,146.00M,150.34M,497.00M,160.00M,337.00M,,0.41,,0.4222,0.41,,0.41,,0.4221,0.41,,356.43M,357.69M,0.34,,AOR,Restated
2017-06,1.644B,1.644B,678.00M,966.00M,474.00M,-9.00M,92.00M,1.00M,-91.00M,636.00M,330.00M,1.00M,92.00M,-91.00M,-15.00M,-91.00M,224.00M,91.00M,133.00M,,-2.00M,131.00M,140.60M,478.00M,162.00M,316.00M,,0.37,,0.3969,0.37,,0.37,,0.3968,0.37,,356.83M,358.09M,0.34,,AOR,Restated
2017-03,1.526B,1.526B,661.00M,865.00M,473.00M,-32.00M,90.00M,1.00M,-89.00M,628.00M,237.00M,1.00M,90.00M,-89.00M,-32.00M,-89.00M,116.00M,43.00M,73.00M,,-2.00M,71.00M,92.42M,361.00M,155.00M,206.00M,,0.20,,0.2599,0.20,,0.20,,0.2597,0.20,,357.40M,359.05M,0.31,,AOR,Restated
2016-12,1.656B,1.656B,670.00M,986.00M,473.00M,-32.00M,86.00M,1.00M,-85.00M,626.00M,360.00M,1.00M,86.00M,-85.00M,-14.00M,-85.00M,261.00M,101.00M,160.00M,,-1.00M,159.00M,180.46M,500.00M,153.00M,347.00M,,0.44,,0.5000,0.44,,0.44,,0.4996,0.44,,357.41M,359.70M,0.31,,AOR,Restated
2016-09,1.57B,1.57B,642.00M,928.00M,452.00M,-29.00M,85.00M,1.00M,-84.00M,603.00M,325.00M,1.00M,85.00M,-84.00M,-27.00M,-84.00M,214.00M,82.00M,132.00M,,-2.00M,130.00M,146.74M,450.00M,151.00M,299.00M,,0.36,,0.4069,0.36,,0.36,,0.4064,0.36,,357.09M,360.57M,0.31,,AOR,Restated
2016-06,1.596B,1.596B,654.00M,942.00M,474.00M,-34.00M,83.00M,1.00M,-82.00M,626.00M,316.00M,1.00M,83.00M,-82.00M,-38.00M,-82.00M,196.00M,82.00M,114.00M,,-1.00M,113.00M,135.80M,431.00M,152.00M,279.00M,,0.31,,0.3735,0.31,,0.31,,0.3728,0.31,,359.26M,363.22M,0.31,,AOR,Restated
2016-03,1.487B,1.487B,641.00M,846.00M,465.00M,-10.00M,79.00M,1.00M,-78.00M,612.00M,234.00M,1.00M,79.00M,-78.00M,-11.00M,-78.00M,145.00M,44.00M,101.00M,,-1.00M,100.00M,107.70M,371.00M,147.00M,224.00M,,0.28,,0.3013,0.28,,0.27,,0.2911,0.27,,361.58M,365.20M,0.28,,AOR,Restated
2015-12,1.624B,1.624B,654.00M,970.00M,510.00M,-8.00M,80.00M,1.00M,-79.00M,652.00M,318.00M,1.00M,80.00M,-79.00M,194.00M,-79.00M,433.00M,177.00M,254.00M,,-3.00M,251.00M,258.20M,655.00M,142.00M,513.00M,,0.69,0.00,0.7098,0.69,,0.68,0.00,0.6996,0.68,,363.02M,366.45M,0.28,,AOR,Restated
2015-09,1.531B,1.531B,615.00M,916.00M,459.00M,-15.00M,79.00M,1.00M,-78.00M,603.00M,313.00M,1.00M,79.00M,-78.00M,-10.00M,-78.00M,225.00M,82.00M,142.00M,,0.00,142.00M,148.40M,448.00M,144.00M,304.00M,,0.39,0.00,0.4075,0.39,,0.38,0.00,0.3973,0.38,,365.50M,369.50M,0.28,,AOR,Restated
2015-06,1.559B,1.559B,648.00M,911.00M,465.00M,-14.00M,79.00M,1.00M,-78.00M,611.00M,300.00M,1.00M,79.00M,-78.00M,-20.00M,-78.00M,202.00M,86.00M,116.00M,,-2.00M,114.00M,126.00M,427.00M,146.00M,281.00M,,0.31,0.00,0.3426,0.31,,0.31,0.00,0.3422,0.31,,368.36M,372.58M,0.28,,AOR,Restated
2015-03,1.458B,1.458B,622.00M,836.00M,481.00M,-14.00M,73.00M,1.00M,-72.00M,623.00M,213.00M,1.00M,73.00M,-72.00M,-40.00M,-72.00M,101.00M,38.00M,63.00M,,0.00,63.00M,87.80M,316.00M,142.00M,174.00M,,0.17,0.00,0.2368,0.17,,0.17,0.00,0.2361,0.17,,371.17M,375.36M,0.25,,AOR,Restated
2014-12,1.633B,1.633B,653.00M,980.00M,478.00M,-46.00M,71.00M,0.00,-71.00M,626.00M,354.00M,0.00,71.00M,-71.00M,-85.00M,-71.00M,198.00M,34.00M,158.00M,,3.00M,161.00M,231.40M,417.00M,148.00M,269.00M,,0.43,0.00,0.6164,0.43,,0.42,0.00,0.6043,0.42,,377.66M,381.96M,0.25,,AOR,Restated
2014-09,1.572B,1.572B,648.00M,924.00M,468.00M,-6.00M,74.00M,1.00M,-73.00M,607.00M,317.00M,1.00M,74.00M,-73.00M,-57.00M,-73.00M,187.00M,95.00M,92.00M,,-1.00M,91.00M,94.25M,400.00M,139.00M,261.00M,,0.24,0.00,0.2485,0.24,,0.24,0.00,0.2484,0.24,,380.88M,385.89M,0.25,,AOR,Restated
2014-06,1.594B,1.594B,677.00M,917.00M,482.00M,-13.00M,78.00M,1.00M,-77.00M,627.00M,290.00M,1.00M,78.00M,-77.00M,-64.00M,-77.00M,149.00M,74.00M,76.00M,,-2.00M,74.00M,86.35M,372.00M,145.00M,227.00M,,0.19,0.00,0.2225,0.19,,0.19,0.00,0.2220,0.19,,379.76M,385.36M,0.25,,AOR,Restated
2014-03,1.489B,1.489B,642.00M,847.00M,489.00M,-24.00M,77.00M,1.00M,-76.00M,630.00M,217.00M,1.00M,77.00M,-76.00M,-54.00M,-76.00M,87.00M,33.00M,55.00M,,3.00M,58.00M,89.62M,305.00M,141.00M,164.00M,,0.15,0.00,0.2334,0.15,,0.15,0.00,0.2322,0.15,,379.01M,384.74M,0.20,,AOR,Restated
2013-12,1.611B,1.611B,666.00M,945.00M,505.00M,-56.00M,80.00M,0.00,-80.00M,651.00M,294.00M,0.00,80.00M,-80.00M,-67.00M,-80.00M,147.00M,-13.00M,159.00M,-14.00M,0.00,145.00M,196.70M,373.00M,146.00M,227.00M,,0.42,-0.04,0.5196,0.38,,0.41,-0.04,0.5081,0.38,,378.36M,384.30M,0.20,,AOR,Restated
2013-09,1.387B,1.387B,573.00M,814.00M,434.00M,-20.00M,78.00M,1.00M,-77.00M,551.00M,263.00M,1.00M,78.00M,-77.00M,-15.00M,-77.00M,171.00M,40.00M,131.00M,0.00,3.00M,134.00M,154.79M,366.00M,117.00M,249.00M,,0.35,0.00,0.4051,0.35,,0.35,0.00,0.4044,0.35,,377.59M,382.30M,0.20,,AOR,Restated
2013-06,1.386B,1.386B,580.00M,806.00M,434.00M,-8.00M,73.00M,0.00,-73.00M,560.00M,246.00M,0.00,73.00M,-73.00M,-12.00M,-73.00M,161.00M,46.00M,119.00M,307.00M,0.00,426.00M,127.52M,364.00M,130.00M,234.00M,,0.32,0.82,0.3426,1.14,,0.31,0.80,0.3323,1.12,,376.58M,381.56M,0.16,,AOR,Restated
2013-03,1.319B,1.319B,579.00M,740.00M,442.00M,-35.00M,78.00M,1.00M,-77.00M,563.00M,177.00M,1.00M,78.00M,-77.00M,-59.00M,-77.00M,41.00M,18.00M,22.00M,12.00M,1.00M,35.00M,53.55M,247.00M,128.00M,119.00M,,0.06,0.03,0.1424,0.09,,0.06,0.03,0.1413,0.09,,370.58M,375.56M,0.16,,AOR,Restated
2012-12,1.441B,1.441B,576.00M,865.00M,429.00M,-28.00M,89.00M,1.00M,-88.00M,555.00M,310.00M,1.00M,89.00M,-88.00M,-154.00M,-88.00M,68.00M,29.00M,43.00M,-7.00M,3.00M,39.00M,67.45M,289.00M,132.00M,157.00M,,0.11,0.00,0.1691,0.11,,0.11,0.00,0.1684,0.11,,362.72M,367.28M,,,AOR,Restated
2012-09,1.351B,1.351B,550.00M,801.00M,429.00M,-4.00M,100.00M,1.00M,-99.00M,553.00M,248.00M,1.00M,100.00M,-99.00M,-4.00M,-99.00M,145.00M,58.00M,86.00M,20.00M,-1.00M,105.00M,86.80M,375.00M,130.00M,245.00M,,0.23,0.06,0.2350,0.29,,0.23,0.06,0.2349,0.29,,362.02M,366.22M,,,AOR,Restated
2012-06,1.342B,1.342B,549.00M,793.00M,428.00M,-16.00M,101.00M,1.00M,-100.00M,548.00M,245.00M,1.00M,101.00M,-100.00M,-10.00M,-100.00M,135.00M,37.00M,102.00M,3.00M,-1.00M,104.00M,115.60M,363.00M,127.00M,236.00M,,0.28,0.01,0.3204,0.29,,0.28,0.01,0.3199,0.28,,361.53M,365.88M,,,AOR,Restated
2012-03,1.334B,1.334B,564.00M,770.00M,447.00M,-37.00M,106.00M,1.00M,-105.00M,576.00M,194.00M,1.00M,106.00M,-105.00M,-52.00M,-105.00M,37.00M,8.00M,27.00M,-2.00M,0.00,25.00M,62.88M,274.00M,131.00M,143.00M,,0.07,0.00,0.1694,0.07,,0.07,0.00,0.1681,0.07,,360.88M,365.72M,,,AOR,Restated
2011-12,1.217B,1.217B,515.00M,702.00M,376.00M,194.00M,81.00M,1.00M,-80.00M,482.00M,220.00M,1.00M,81.00M,-80.00M,-18.00M,-80.00M,122.00M,57.00M,69.00M,27.00M,-1.00M,95.00M,-56.80M,336.00M,133.00M,203.00M,,0.20,0.07,-0.1465,0.27,,0.20,0.07,-0.1282,0.26,,360.15M,380.28M,,,AOR,Restated
2011-09,1.413B,1.413B,554.00M,859.00M,460.00M,-9.00M,114.00M,2.00M,-112.00M,585.00M,274.00M,2.00M,114.00M,-112.00M,-13.00M,-112.00M,149.00M,44.00M,103.00M,0.00,-1.00M,102.00M,111.16M,388.00M,125.00M,263.00M,,0.28,0.00,0.3055,0.28,,0.28,0.00,0.3051,0.28,,359.38M,364.47M,,,AOR,Restated
2011-06,1.396B,1.396B,570.00M,826.00M,450.00M,-14.00M,114.00M,2.00M,-112.00M,585.00M,241.00M,2.00M,114.00M,-112.00M,-24.00M,-112.00M,105.00M,39.00M,69.00M,0.00,0.00,69.00M,84.09M,354.00M,135.00M,219.00M,,0.19,0.00,0.2320,0.19,,0.1895,0.00,0.2309,0.1895,,358.79M,364.20M,,,AOR,Restated
2011-03,1.302B,1.302B,549.00M,753.00M,543.00M,-254.00M,140.00M,1.00M,-139.00M,679.00M,74.00M,1.00M,140.00M,-139.00M,-247.00M,-139.00M,-312.00M,-134.00M,-180.00M,-1.00M,-1.00M,-182.00M,-20.45M,-36.00M,136.00M,-172.00M,,-0.55,0.00,-0.0653,-0.55,,-0.55,-0.0030,-0.0653,-0.55,,331.25M,331.25M,,,AOR,Restated
2010-12,1.371B,1.371B,560.00M,811.00M,429.00M,8.00M,169.00M,2.00M,-167.00M,568.00M,243.00M,2.00M,169.00M,-167.00M,-133.00M,-167.00M,-57.00M,-60.00M,7.00M,-3.00M,-1.00M,3.00M,0.80M,251.00M,139.00M,112.00M,,0.02,-0.01,0.0012,0.01,,0.02,-0.01,0.0015,0.01,,276.55M,280.38M,,,AOR,Restated
2010-09,1.289B,1.289B,521.00M,768.00M,414.00M,-16.00M,169.00M,1.00M,-168.00M,556.00M,212.00M,1.00M,169.00M,-168.00M,-21.00M,-168.00M,23.00M,2.00M,22.00M,-11.00M,0.00,11.00M,41.17M,334.00M,142.00M,192.00M,,0.08,-0.04,0.1493,0.04,,0.08,-0.04,0.1484,0.04,,276.65M,280.18M,,,AOR,Restated
2010-06,1.27B,1.27B,528.00M,742.00M,405.00M,-21.00M,160.00M,1.00M,-159.00M,541.00M,201.00M,1.00M,160.00M,-159.00M,46.00M,-159.00M,88.00M,13.00M,77.00M,-3.00M,0.00,74.00M,37.80M,384.00M,136.00M,248.00M,,0.28,-0.01,0.1383,0.27,,0.2754,-0.0107,0.1352,0.2647,,276.75M,279.59M,,,AOR,Restated
2010-03,1.196B,1.196B,520.00M,676.00M,400.00M,75.00M,162.00M,1.00M,-161.00M,541.00M,135.00M,1.00M,162.00M,-161.00M,75.00M,-161.00M,49.00M,-1.00M,48.00M,-5.00M,-1.00M,42.00M,-1.75M,352.00M,141.00M,211.00M,,0.17,-0.02,-0.0065,0.15,,0.17,-0.02,-0.0049,0.15,,276.15M,278.73M,,,AOR,Restated
2009-12,1.297B,1.297B,539.00M,758.00M,396.00M,-80.00M,164.00M,1.00M,-163.00M,544.00M,214.00M,1.00M,164.00M,-163.00M,-80.00M,-163.00M,-29.00M,-73.00M,47.00M,-3.00M,0.00,44.00M,99.00M,283.00M,148.00M,135.00M,,0.18,-0.01,0.3683,0.17,,0.18,-0.01,0.3683,0.17,,276.13M,276.13M,,,AOR,Restated
2009-09,1.227B,1.227B,521.00M,706.00M,365.00M,-566.00M,168.00M,2.00M,-166.00M,508.00M,198.00M,2.00M,168.00M,-166.00M,-566.00M,-166.00M,-534.00M,-99.00M,-468.00M,-58.00M,-1.00M,-527.00M,-7.933M,-221.00M,145.00M,-366.00M,,,,-0.0287,-1.906,,,,-0.0283,-1.906,,276.55M,280.38M,,,,
2009-06,1.182B,1.182B,484.00M,698.00M,386.00M,-71.00M,151.00M,2.00M,-149.00M,522.00M,176.00M,2.00M,151.00M,-149.00M,-71.00M,-149.00M,-44.00M,-25.00M,-14.00M,4.00M,0.00,-10.00M,32.15M,244.00M,137.00M,107.00M,,,,0.1163,-0.0362,,,,0.1147,-0.0362,,276.55M,280.38M,,,,
2009-03,1.102B,1.102B,479.00M,623.00M,376.00M,49.00M,164.00M,2.00M,-162.00M,506.00M,117.00M,2.00M,164.00M,-162.00M,49.00M,-162.00M,4.00M,0.00,7.00M,-4.00M,-1.00M,2.00M,-43.00M,300.00M,132.00M,168.00M,,,,-0.1555,0.0072,,,,-0.1534,0.0071,,276.55M,280.38M,,,AOR,
