,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2012-03,1.412B,1.412B,974.00M,438.00M,-3.00M,113.00M,98.00M,7.00M,-91.00M,,280.00M,158.00M,7.00M,98.00M,-91.00M,-5.00M,-91.00M,62.00M,23.00M,39.00M,-442.00M,,0.00,-403.00M,40.89M,160.00M,,2012-03,0.15,-1.81,-1.66,,2012-03,0.15,-1.81,-1.66,,2012-03,0.40,,2012-03,AOR,Restated
2011-12,195.00M,195.00M,1.524B,-1.329B,27.00M,78.00M,51.00M,,-20.00M,,-1.232B,-97.00M,,51.00M,-20.00M,15.00M,-20.00M,-102.00M,-39.00M,-63.00M,,,-1.00M,25.00M,-80.68M,-51.00M,,2011-12,-0.26,0.36,0.10,,2011-12,-0.26,0.36,0.10,,2011-12,0.40,,2011-12,AOR,Restated
2011-09,2.268B,2.268B,845.00M,1.423B,-111.00M,121.00M,113.00M,,-113.00M,,749.00M,674.00M,,113.00M,-113.00M,-111.00M,-113.00M,450.00M,163.00M,287.00M,,,-2.00M,285.00M,355.79M,563.00M,,2011-09,1.18,0.00,1.18,,2011-09,1.18,0.00,1.18,,2011-09,0.385,,2011-09,AOR,Restated
2011-06,1.781B,1.781B,687.00M,1.094B,10.00M,109.00M,104.00M,,-104.00M,,776.00M,318.00M,,104.00M,-104.00M,10.00M,-104.00M,224.00M,85.00M,139.00M,,,-1.00M,138.00M,131.79M,328.00M,,2011-06,0.57,0.00,0.57,,2011-06,0.57,0.00,0.57,,2011-06,0.385,,2011-06,AOR,Restated
2011-03,1.904B,1.904B,894.00M,1.01B,11.00M,125.00M,119.00M,,-119.00M,,783.00M,227.00M,,119.00M,-119.00M,11.00M,-119.00M,119.00M,45.00M,74.00M,,,-3.00M,71.00M,64.16M,238.00M,,2011-03,0.29,0.00,0.29,,2011-03,0.29,0.00,0.29,,2011-03,0.385,,2011-03,AOR,Restated
2010-12,1.706B,1.706B,2.564B,-858.00M,-18.00M,107.00M,120.00M,,-87.00M,,-1.056B,198.00M,,120.00M,-87.00M,-27.00M,-87.00M,84.00M,30.00M,54.00M,,,-2.00M,52.00M,63.57M,204.00M,,2010-12,0.21,,0.21,,2010-12,0.21,,0.21,,2010-12,0.385,,2010-12,AOR,Restated
2010-09,2.267B,2.267B,821.00M,1.446B,-575.00M,119.00M,130.00M,,-130.00M,,768.00M,678.00M,,130.00M,-130.00M,-575.00M,-130.00M,-27.00M,137.00M,-164.00M,,,-3.00M,-167.00M,206.75M,103.00M,,2010-09,-0.70,0.00,-0.70,,2010-09,-0.70,0.00,-0.70,,2010-09,0.385,,2010-09,AOR,
2010-06,1.725B,1.725B,637.00M,1.088B,22.00M,102.00M,115.00M,,-115.00M,,757.00M,331.00M,,115.00M,-115.00M,22.00M,-115.00M,238.00M,83.00M,155.00M,,,-3.00M,152.00M,137.67M,353.00M,,2010-06,0.64,0.00,0.64,,2010-06,0.64,0.00,0.64,,2010-06,0.385,,2010-06,AOR,Restated
2010-03,1.94B,1.94B,897.00M,1.043B,15.00M,121.00M,132.00M,,-132.00M,,745.00M,298.00M,,132.00M,-132.00M,15.00M,-132.00M,181.00M,75.00M,106.00M,,,-4.00M,102.00M,92.25M,313.00M,,2010-03,0.43,0.00,0.43,,2010-03,0.43,0.00,0.43,,2010-03,0.385,,2010-03,AOR,Restated
2009-12,1.72B,1.72B,701.00M,1.019B,6.00M,109.00M,132.00M,,-132.00M,,767.00M,252.00M,,132.00M,-132.00M,6.00M,-132.00M,126.00M,44.00M,82.00M,,,-3.00M,79.00M,75.10M,258.00M,,2009-12,0.30,0.00,0.30,,2009-12,0.30,0.00,0.30,,2009-12,0.385,,2009-12,AOR,Restated
2009-09,1.815B,1.815B,619.00M,1.196B,13.00M,104.00M,134.00M,,-134.00M,422.00M,711.00M,485.00M,,134.00M,-134.00M,13.00M,-134.00M,364.00M,135.00M,229.00M,,,-2.00M,227.00M,218.82M,498.00M,,2009-09,1.04,0.00,1.04,,2009-09,1.04,0.00,1.04,,2009-09,0.385,,2009-09,AOR,Restated
2009-06,1.684B,1.684B,589.00M,1.095B,10.00M,97.00M,124.00M,,-124.00M,451.00M,730.00M,365.00M,,124.00M,-124.00M,10.00M,-124.00M,251.00M,83.00M,168.00M,,,-3.00M,165.00M,158.31M,375.00M,,2009-06,0.77,0.00,0.77,,2009-06,0.77,0.00,0.77,,2009-06,0.385,,2009-06,AOR,Restated
2009-03,1.916B,1.916B,890.00M,1.026B,4.00M,110.00M,118.00M,8.00M,-110.00M,421.00M,705.00M,321.00M,8.00M,118.00M,-110.00M,4.00M,-110.00M,215.00M,70.00M,145.00M,,,-4.00M,141.00M,138.30M,333.00M,,2009-03,0.66,0.00,0.66,,2009-03,0.66,0.00,0.66,,2009-03,0.385,,2009-03,AOR,Restated
2008-12,1.938B,1.938B,978.00M,960.00M,-3.00M,104.00M,109.00M,,-109.00M,,777.00M,183.00M,,109.00M,-109.00M,-3.00M,-109.00M,71.00M,8.00M,63.00M,,,-6.00M,57.00M,59.66M,180.00M,,2008-12,0.27,0.00,0.27,,2008-12,0.27,0.00,0.27,,2008-12,0.635,,2008-12,AOR,Restated
2008-09,2.06B,2.06B,905.00M,1.155B,13.00M,98.00M,113.00M,,-113.00M,456.00M,727.00M,428.00M,,113.00M,-113.00M,13.00M,-113.00M,328.00M,113.00M,215.00M,,,-11.00M,204.00M,195.48M,441.00M,,2008-09,0.97,0.00,0.97,,2008-09,0.97,0.00,0.97,,2008-09,0.635,,2008-09,,Restated
2008-06,1.79B,1.79B,611.00M,1.179B,11.00M,89.00M,118.00M,,-118.00M,476.00M,736.00M,443.00M,,118.00M,-118.00M,11.00M,-118.00M,336.00M,119.00M,217.00M,,,-11.00M,206.00M,198.90M,454.00M,,2008-06,0.98,0.00,0.98,,2008-06,0.98,0.00,0.98,,2008-06,0.635,,2008-06,,Restated
2008-03,2.081B,2.081B,1.048B,1.033B,15.00M,113.00M,100.00M,,-100.00M,430.00M,712.00M,321.00M,,100.00M,-100.00M,15.00M,-100.00M,236.00M,87.00M,149.00M,,,-11.00M,138.00M,128.53M,336.00M,,2008-03,0.66,0.00,0.66,,2008-03,0.66,0.00,0.66,,2008-03,0.635,,2008-03,,Restated
2007-12,1.796B,1.796B,862.00M,934.00M,76.00M,86.00M,,,,458.00M,691.00M,243.00M,,,,76.00M,,159.00M,51.00M,108.00M,,,-10.00M,108.00M,56.38M,243.00M,,2007-12,0.52,0.00,0.52,,2007-12,0.52,0.00,0.52,,2007-12,0.635,,2007-12,,
2007-09,1.997B,1.997B,825.00M,1.172B,-7.00M,97.00M,,,,417.00M,690.00M,482.00M,,,,-7.00M,,374.00M,130.00M,244.00M,,,-9.00M,244.00M,248.57M,482.00M,,2007-09,1.18,0.00,1.18,,2007-09,1.18,0.00,1.18,,2007-09,0.635,,2007-09,,
2007-06,1.728B,1.728B,710.00M,1.018B,12.00M,96.00M,,,,420.00M,692.00M,326.00M,,,,12.00M,,221.00M,78.00M,143.00M,,,-9.00M,143.00M,135.24M,326.00M,,2007-06,0.69,0.00,0.69,,2007-06,0.69,0.00,0.69,,2007-06,0.635,,2007-06,,
2007-03,2.024B,2.024B,636.00M,1.388B,-3.00M,102.00M,,,,810.00M,1.095B,293.00M,,,,-3.00M,,194.00M,71.00M,123.00M,,,-10.00M,123.00M,124.90M,293.00M,,2007-03,0.59,0.00,0.59,,2007-03,0.59,0.00,0.59,,2007-03,0.635,,2007-03,,
2006-12,1.62B,1.62B,786.00M,834.00M,37.00M,89.00M,,,,419.00M,680.00M,154.00M,,,,37.00M,,72.00M,11.00M,61.00M,,,-7.00M,61.00M,29.65M,154.00M,,2006-12,0.29,0.00,0.29,,2006-12,0.29,,0.29,,2006-12,0.635,,2006-12,,
2006-09,1.91B,1.91B,707.00M,1.203B,2.00M,99.00M,,,,395.00M,656.00M,547.00M,,,,2.00M,,454.00M,161.00M,293.00M,,,-13.00M,293.00M,291.71M,547.00M,,2006-09,1.42,0.00,1.42,,2006-09,1.42,0.00,1.42,,2006-09,0.635,,2006-09,,
2006-06,1.55B,1.55B,628.00M,922.00M,2.00M,90.00M,,,,394.00M,646.00M,276.00M,,,,2.00M,,191.00M,68.00M,123.00M,,,-8.00M,123.00M,121.71M,276.00M,,2006-06,0.60,0.00,0.60,,2006-06,0.60,0.00,0.60,,2006-06,0.635,,2006-06,,
2006-03,1.80B,1.80B,978.00M,822.00M,4.00M,113.00M,,,,348.00M,626.00M,196.00M,,,,4.00M,,114.00M,44.00M,70.00M,,,-10.00M,70.00M,67.54M,196.00M,,2006-03,0.34,0.00,0.34,,2006-03,0.34,0.00,0.34,,2006-03,0.635,,2006-03,,
2005-12,1.701B,1.701B,938.00M,763.00M,23.00M,81.00M,,,,378.00M,619.00M,144.00M,,,,23.00M,,68.00M,26.00M,42.00M,,,-4.00M,20.00M,27.79M,144.00M,,2005-12,0.19,-0.11,0.08,,2005-12,0.0977,,0.08,,2005-12,0.635,,2005-12,,
2005-09,1.868B,1.868B,711.00M,1.157B,-2.00M,98.00M,,,,391.00M,647.00M,510.00M,,,,-2.00M,,439.00M,159.00M,280.00M,,,-5.00M,280.00M,281.28M,510.00M,,2005-09,1.37,0.00,1.37,,2005-09,1.37,0.00,1.37,,2005-09,0.635,,2005-09,,
2005-06,1.584B,1.584B,591.00M,993.00M,-4.00M,95.00M,,,,375.00M,627.00M,366.00M,,,,-4.00M,,285.00M,100.00M,185.00M,,,-4.00M,185.00M,187.60M,366.00M,,2005-06,0.93,0.00,0.93,,2005-06,0.93,0.00,0.93,,2005-06,0.635,,2005-06,,
2005-03,1.625B,1.625B,770.00M,855.00M,1.00M,91.00M,,,,345.00M,593.00M,262.00M,,,,1.00M,,192.00M,71.00M,121.00M,,,-3.00M,121.00M,120.37M,262.00M,,2005-03,0.62,0.00,0.62,,2005-03,0.62,0.00,0.62,,2005-03,0.635,,2005-03,,
2004-12,1.477B,1.477B,653.00M,824.00M,25.00M,81.00M,,,,381.00M,621.00M,203.00M,,,,25.00M,,123.00M,40.00M,83.00M,,,-3.00M,83.00M,66.13M,203.00M,,2004-12,0.40,0.00,0.40,,2004-12,0.40,,0.40,,2004-12,0.635,,2004-12,,
2004-09,1.307B,1.307B,367.00M,940.00M,-7.00M,77.00M,,,,314.00M,527.00M,413.00M,,,,-7.00M,,355.00M,123.00M,232.00M,,,-4.00M,232.00M,236.57M,413.00M,,2004-09,1.20,0.00,1.20,,2004-09,1.20,0.00,1.20,,2004-09,0.635,,2004-09,,
2004-06,1.149B,1.149B,354.00M,795.00M,-2.00M,74.00M,,,,343.00M,549.00M,246.00M,,,,-2.00M,,178.00M,60.00M,118.00M,,,-2.00M,118.00M,119.33M,246.00M,,2004-06,0.65,0.00,0.65,,2004-06,0.65,0.00,0.65,,2004-06,0.635,,2004-06,,
2004-03,1.218B,1.218B,486.00M,732.00M,2.00M,80.00M,,,,306.00M,516.00M,216.00M,,,,2.00M,,156.00M,59.00M,97.00M,,,-3.00M,97.00M,95.76M,216.00M,,2004-03,0.55,0.00,0.55,,2004-03,0.55,0.00,0.55,,2004-03,0.635,,2004-03,,
2003-12,1.017B,1.017B,363.00M,654.00M,8.00M,61.00M,,,,323.00M,515.00M,139.00M,,,,8.00M,,66.00M,28.00M,38.00M,,0.00,,38.00M,33.20M,139.00M,,2003-12,0.34,-0.11,0.23,,2003-12,0.2333,,0.23,,2003-12,0.635,,2003-12,,
2003-09,1.353B,1.353B,387.00M,966.00M,-1.00M,83.00M,,,,251.00M,466.00M,500.00M,,,,-1.00M,,429.00M,154.00M,275.00M,,,-2.00M,275.00M,275.64M,500.00M,,2003-09,1.70,0.00,1.70,,2003-09,1.70,0.00,1.70,,2003-09,0.635,,2003-09,,
2003-06,1.088B,1.088B,322.00M,766.00M,1.00M,77.00M,,,,307.00M,516.00M,250.00M,,,,1.00M,,177.00M,67.00M,110.00M,,,-4.00M,110.00M,109.38M,250.00M,,2003-06,0.68,0.00,0.68,,2003-06,0.68,0.00,0.68,,2003-06,0.635,,2003-06,,
2003-03,1.108B,1.108B,232.00M,876.00M,3.00M,78.00M,,,,473.00M,675.00M,201.00M,,,,3.00M,,135.00M,52.00M,83.00M,,18.00M,,101.00M,81.16M,201.00M,,2003-03,0.52,0.11,0.63,,2003-03,0.52,0.11,0.63,,2003-03,0.635,,2003-03,,
2002-12,823.00M,823.00M,41.00M,782.00M,1.00M,51.00M,,,,615.00M,776.00M,6.00M,,,,1.00M,,-51.00M,-19.00M,-32.00M,,,,-32.00M,-32.63M,6.00M,,2002-12,-0.27,0.00,-0.27,,2002-12,-0.27,0.00,-0.27,,2002-12,0.635,,2002-12,,
2002-09,1.166B,1.166B,265.00M,901.00M,3.00M,74.00M,,,,278.00M,460.00M,441.00M,,,,3.00M,,385.00M,145.00M,240.00M,,,,240.00M,238.13M,441.00M,,2002-09,1.64,0.00,1.64,,2002-09,1.63,0.00,1.63,,2002-09,0.635,,2002-09,,
2002-06,978.00M,978.00M,231.00M,747.00M,-34.00M,69.00M,,,,295.00M,470.00M,277.00M,,,,-34.00M,,188.00M,73.00M,115.00M,,,,115.00M,135.80M,277.00M,,2002-06,0.80,0.00,0.80,,2002-06,0.80,0.00,0.80,,2002-06,0.635,,2002-06,,
