,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-04,3.733B,,,,128.00M,836.00M,964.00M,964.00M,-2.702B,,,,296.00M,,25.00M,-277.00M,56.00M,91.00M,,,127.00M,-3.00M,2.313B,,-189.00M,1.00M,-188.00M,0.00,49.00M,-16.00M,-155.00M,,0.00,,0.00,80.00M,-349.00M,-269.00M,-766.00M,-766.00M,-12.00M,-1.047B,,7.076B,1.111B,8.187B,,80.00M,0.00,0.00,-349.00M,,AOR,Restated
2018-01,6.566B,,,,126.00M,1.058B,1.184B,1.184B,-5.832B,,,,299.00M,,-115.00M,199.00M,250.00M,-403.00M,,,-463.00M,-417.00M,1.685B,,-220.00M,237.00M,17.00M,-4.004B,-244.00M,4.00M,-4.227B,,-856.00M,,-856.00M,34.00M,0.00,34.00M,-755.00M,-755.00M,-9.00M,-1.586B,,11.20B,-4.128B,7.076B,,34.00M,0.00,-856.00M,0.00,,AOR,Restated
2017-10,561.00M,,,7.00M,117.00M,1.102B,1.219B,1.219B,-74.00M,,,,252.00M,,-314.00M,-31.00M,-16.00M,-63.00M,,,418.00M,308.00M,1.959B,,-233.00M,440.00M,207.00M,0.00,193.00M,-4.00M,396.00M,,3.99B,,3.99B,66.00M,0.00,66.00M,-439.00M,-439.00M,-17.00M,3.60B,,5.249B,5.955B,11.20B,,66.00M,3.98B,10.00M,0.00,,AOR,Restated
2017-07,507.00M,,,0.00,334.00M,3.184B,1.211B,1.211B,12.00M,,,,251.00M,,27.00M,-344.00M,-119.00M,217.00M,,,-106.00M,-352.00M,1.656B,,-255.00M,1.00M,-254.00M,-3.00M,0.00,-1.00M,-258.00M,,-6.00M,,-6.00M,41.00M,0.00,41.00M,-438.00M,-438.00M,0.00,-403.00M,,4.254B,995.00M,5.249B,,41.00M,0.00,-6.00M,0.00,,AOR,Restated
2017-04,464.00M,,,0.00,,,1.193B,1.193B,-86.00M,,,,216.00M,,27.00M,-126.00M,31.00M,-114.00M,,,-22.00M,-231.00M,1.583B,,-256.00M,0.00,-256.00M,-37.00M,-200.00M,0.00,-493.00M,,-4.00M,,-4.00M,89.00M,0.00,89.00M,-437.00M,-437.00M,-20.00M,-372.00M,,3.536B,718.00M,4.254B,,89.00M,0.00,-4.00M,0.00,,AOR,Restated
2017-01,252.00M,,,159.00M,,,1.114B,1.114B,-25.00M,,,,202.00M,,1.00M,234.00M,65.00M,-137.00M,,,-512.00M,-350.00M,1.353B,,-325.00M,,-325.00M,10.00M,,-4.00M,-319.00M,,-222.00M,,-222.00M,61.00M,,61.00M,-431.00M,-431.00M,-3.00M,-595.00M,,3.097B,439.00M,3.536B,,61.00M,13.45B,-13.67B,,,AOR,Restated
2016-10,-668.00M,,,49.00M,,,700.00M,700.00M,718.00M,,,,205.00M,-21.00M,374.00M,0.00,-92.00M,94.00M,,,-7.00M,-5.00M,1.352B,,-193.00M,0.00,-193.00M,200.00M,15.00M,4.00M,26.00M,,-113.00M,,-113.00M,78.00M,,78.00M,-213.00M,-213.00M,6.00M,-242.00M,,1.961B,1.136B,3.097B,,78.00M,3.584B,-3.697B,,,AOR,Restated
2016-07,-315.00M,,,21.00M,,,1.058B,1.058B,-181.00M,,,,219.00M,-10.00M,198.00M,-322.00M,168.00M,156.00M,,,-29.00M,-27.00M,963.00M,,-232.00M,5.00M,-227.00M,610.00M,58.00M,-15.00M,426.00M,,-1.306B,,-1.306B,38.00M,,38.00M,-211.00M,-211.00M,10.00M,-1.469B,,2.041B,-80.00M,1.961B,,38.00M,0.00,-1.306B,,,AOR,Restated
2016-04,-1.255B,,,30.00M,,,1.04B,1.04B,-164.00M,,,,198.00M,-35.00M,57.00M,-128.00M,886.00M,-149.00M,,,142.00M,751.00M,622.00M,,-158.00M,,-158.00M,-10.04B,-27.00M,13.00M,-10.21B,,9.623B,,9.623B,107.00M,,107.00M,-204.00M,-204.00M,-69.00M,9.457B,,2.169B,-128.00M,2.041B,,107.00M,15.93B,-6.303B,,,AOR,Restated
2016-01,377.00M,,,,,,244.00M,244.00M,-8.00M,,,,57.00M,-23.00M,30.00M,-41.00M,34.00M,-68.00M,,,-128.00M,-203.00M,474.00M,,-140.00M,,-140.00M,68.00M,,-13.00M,-85.00M,,-11.00M,,-11.00M,72.00M,,72.00M,-122.00M,-122.00M,19.00M,-42.00M,,1.822B,347.00M,2.169B,,72.00M,0.00,-11.00M,,,AOR,Restated
2015-10,429.00M,14.00M,,14.00M,,,250.00M,250.00M,-185.00M,,,,63.00M,-23.00M,-26.00M,-209.00M,-1.00M,81.00M,,,189.00M,60.00M,582.00M,,-106.00M,47.00M,-59.00M,0.00,-5.00M,,-64.00M,,-12.00M,,-12.00M,55.00M,,55.00M,-116.00M,-116.00M,23.00M,-50.00M,,1.354B,468.00M,1.822B,,55.00M,0.00,-12.00M,,,AOR,Restated
2015-07,240.00M,0.00,,-3.00M,,,256.00M,256.00M,-33.00M,,,,63.00M,-32.00M,78.00M,-2.00M,20.00M,-29.00M,,,34.00M,23.00M,592.00M,,-148.00M,0.00,-148.00M,-394.00M,0.00,,-542.00M,,-1.188B,0.00,-1.188B,56.00M,,56.00M,-104.00M,-104.00M,32.00M,-1.204B,,2.508B,-1.154B,1.354B,,56.00M,0.00,-1.188B,,,AOR,Restated
2015-04,344.00M,0.00,,13.00M,,,230.00M,230.00M,4.00M,,,,57.00M,-50.00M,7.00M,-40.00M,10.00M,55.00M,,,33.00M,58.00M,663.00M,,-177.00M,37.00M,-140.00M,0.00,-9.00M,,-149.00M,,-605.00M,0.00,-605.00M,79.00M,,79.00M,-99.00M,-99.00M,50.00M,-575.00M,,2.569B,-61.00M,2.508B,,79.00M,0.00,-605.00M,,,AOR,Restated
2015-01,351.00M,-14.00M,,-14.00M,,,226.00M,226.00M,-6.00M,,,,49.00M,-20.00M,18.00M,64.00M,33.00M,-78.00M,,,-142.00M,-123.00M,481.00M,,-162.00M,26.00M,-136.00M,650.00M,0.00,,514.00M,,-12.00M,,-12.00M,51.00M,,51.00M,-89.00M,-89.00M,20.00M,-30.00M,,1.604B,965.00M,2.569B,,51.00M,,-12.00M,,,AOR,Restated
2014-10,135.00M,,,,,,250.00M,250.00M,-72.00M,,,,54.00M,-39.00M,-10.00M,-180.00M,-6.00M,52.00M,,,197.00M,63.00M,381.00M,,-189.00M,0.00,-189.00M,133.00M,21.00M,,-35.00M,,-11.00M,0.00,-11.00M,38.00M,0.00,38.00M,-81.00M,-81.00M,35.00M,-19.00M,,1.277B,327.00M,1.604B,,38.00M,0.00,-11.00M,0.00,,AOR,Restated
2014-07,-164.00M,0.00,,0.00,,,257.00M,257.00M,-30.00M,,,,55.00M,11.00M,17.00M,11.00M,215.00M,-23.00M,,,-35.00M,168.00M,314.00M,,-95.00M,0.00,-95.00M,-5.644B,0.00,,-5.739B,,999.00M,4.60B,5.599B,33.00M,0.00,33.00M,-73.00M,-73.00M,-135.00M,5.424B,,1.278B,-1.00M,1.277B,,33.00M,5.60B,-1.00M,0.00,,AOR,Restated
2014-04,158.00M,0.00,,0.00,,,61.00M,61.00M,6.00M,,,,30.00M,-8.00M,0.00,4.00M,-15.00M,8.00M,,,7.00M,4.00M,251.00M,,-73.00M,0.00,-73.00M,0.00,14.00M,,-59.00M,,0.00,,0.00,34.00M,0.00,34.00M,-68.00M,-68.00M,8.00M,-26.00M,,1.112B,166.00M,1.278B,,34.00M,,0.00,0.00,,AOR,Restated
2014-01,134.00M,0.00,,0.00,,,57.00M,57.00M,4.00M,,,,24.00M,-3.00M,-3.00M,95.00M,-1.00M,-24.00M,,,-54.00M,16.00M,229.00M,,-52.00M,0.00,-52.00M,0.00,,,-52.00M,,0.00,,0.00,19.00M,-12.00M,7.00M,-62.00M,-62.00M,5.00M,-50.00M,,985.00M,127.00M,1.112B,,19.00M,,0.00,-12.00M,,AOR,Restated
2013-10,172.00M,,,0.00,,,58.00M,58.00M,-3.00M,,,5.00M,22.00M,-14.00M,-15.00M,-53.00M,-1.00M,9.00M,,,32.00M,-13.00M,212.00M,,-57.00M,,-57.00M,-5.00M,8.00M,,-54.00M,,1.00M,0.00,1.00M,41.00M,-33.00M,8.00M,-57.00M,-57.00M,12.00M,-36.00M,,863.00M,122.00M,985.00M,,41.00M,0.00,1.00M,-33.00M,,AOR,Restated
2013-07,142.00M,,-1.00M,-1.00M,,,46.00M,46.00M,6.00M,,,-4.00M,20.00M,-3.00M,-30.00M,-43.00M,-20.00M,11.00M,,,-21.00M,-73.00M,137.00M,,-65.00M,,-65.00M,-372.00M,-1.00M,,-438.00M,,0.00,0.00,0.00,32.00M,-38.00M,-6.00M,-52.00M,-52.00M,3.00M,-55.00M,,1.219B,-356.00M,863.00M,,32.00M,0.00,0.00,-38.00M,,AOR,Restated
2013-04,113.00M,,1.00M,1.00M,,,42.00M,42.00M,0.00,,,1.00M,18.00M,0.00,19.00M,-5.00M,-20.00M,36.00M,,,2.00M,13.00M,188.00M,,-47.00M,,-47.00M,-37.00M,0.00,,-84.00M,,-1.00M,,-1.00M,18.00M,-11.00M,7.00M,-47.00M,-47.00M,5.00M,-36.00M,,1.151B,68.00M,1.219B,,18.00M,,-1.00M,-11.00M,,AOR,Restated
2013-01,125.00M,,,,,,41.00M,41.00M,0.00,,,-2.00M,17.00M,0.00,15.00M,75.00M,-14.00M,-34.00M,,,-23.00M,4.00M,185.00M,,-67.00M,,-67.00M,,-9.00M,,-76.00M,,,,,10.00M,-13.00M,-3.00M,-42.00M,-42.00M,3.00M,-42.00M,,1.084B,67.00M,1.151B,,10.00M,,,-13.00M,,AOR,Restated
2012-10,159.00M,,,0.00,,,40.00M,40.00M,4.00M,,,,14.00M,-3.00M,0.00,-11.00M,22.00M,12.00M,,,-22.00M,1.00M,215.00M,,-73.00M,,-73.00M,-2.00M,,,-74.00M,,0.00,,0.00,16.00M,-10.00M,6.00M,-39.00M,-39.00M,3.00M,-30.00M,,973.00M,111.00M,1.084B,,16.00M,,0.00,-10.00M,,AOR,Restated
2012-07,145.00M,,-1.00M,-1.00M,,,40.00M,40.00M,8.00M,,,,15.00M,-5.00M,3.00M,-56.00M,2.00M,-27.00M,,,4.00M,-77.00M,128.00M,,-65.00M,,-65.00M,-2.00M,,,-67.00M,,-1.00M,,-1.00M,6.00M,-15.00M,-9.00M,-37.00M,-37.00M,5.00M,-42.00M,,954.00M,19.00M,973.00M,,6.00M,,-1.00M,-15.00M,,AOR,Restated
2012-04,134.00M,,1.00M,1.00M,,,38.00M,38.00M,2.00M,,,,13.00M,-1.00M,0.00,34.00M,-25.00M,21.00M,,,-6.00M,24.00M,211.00M,,-56.00M,,-56.00M,0.00,,,-56.00M,,-1.00M,,-1.00M,17.00M,-6.00M,11.00M,-32.00M,-32.00M,2.00M,-20.00M,,819.00M,135.00M,954.00M,,17.00M,,-1.00M,-6.00M,,AOR,Restated
2012-01,125.00M,,,,,,37.00M,37.00M,,,,,11.00M,,2.00M,20.00M,1.00M,-8.00M,,,-49.00M,-36.00M,139.00M,,-47.00M,,-47.00M,0.00,,,-47.00M,,,,,5.00M,-79.00M,-74.00M,-29.00M,-29.00M,1.00M,-102.00M,,829.00M,-10.00M,819.00M,,5.00M,,,-79.00M,,AOR,Restated
2011-10,,,0.00,0.00,,,39.00M,39.00M,,-1.00M,0.00,,11.00M,-6.00M,-405.00M,-43.00M,6.00M,23.00M,,,5.00M,-9.00M,195.00M,,-37.00M,,-37.00M,-8.00M,,8.00M,-38.00M,,-1.00M,,-1.00M,15.00M,-25.00M,-10.00M,,-27.00M,6.00M,-32.00M,,704.00M,125.00M,829.00M,,15.00M,,-1.00M,-25.00M,,AOR,Restated
2011-07,,,0.00,0.00,,,39.00M,39.00M,,1.00M,0.00,,11.00M,0.00,144.00M,4.00M,-6.00M,-13.00M,,,31.00M,16.00M,211.00M,,-24.00M,,-24.00M,,,0.00,-24.00M,,0.00,,0.00,11.00M,-68.00M,-57.00M,,-22.00M,,-79.00M,,596.00M,108.00M,704.00M,,11.00M,,0.00,-68.00M,,AOR,Restated
2011-04,,,1.00M,2.00M,,,38.00M,38.00M,,,0.00,,9.00M,0.00,135.00M,2.00M,9.00M,45.00M,,,13.00M,69.00M,253.00M,,-19.00M,,-19.00M,9.00M,,-9.00M,-19.00M,,-1.00M,,-1.00M,22.00M,0.00,22.00M,,-20.00M,-2.00M,-1.00M,,363.00M,233.00M,596.00M,,22.00M,,-1.00M,0.00,,AOR,Restated
2011-01,,,,5.00M,,,41.00M,41.00M,,,0.00,,7.00M,-2.00M,127.00M,-5.00M,-14.00M,-30.00M,,,-62.00M,-111.00M,67.00M,,-32.00M,,-32.00M,-9.00M,,,-41.00M,,-231.00M,,-231.00M,22.00M,0.00,22.00M,,-17.00M,2.00M,-224.00M,,561.00M,-198.00M,363.00M,,22.00M,,-231.00M,0.00,,AOR,Restated
2010-10,415.00M,,1.00M,1.00M,,,40.00M,40.00M,,1.00M,,,7.00M,-1.00M,-248.00M,-6.00M,-4.00M,19.00M,,,18.00M,27.00M,217.00M,,-30.00M,0.00,-30.00M,,,0.00,-30.00M,,-1.00M,,-1.00M,6.00M,0.00,6.00M,,0.00,2.00M,7.00M,,367.00M,194.00M,561.00M,,6.00M,,-1.00M,0.00,,AOR,Restated
2010-07,-128.00M,,0.00,0.00,,,40.00M,40.00M,,0.00,,,7.00M,0.00,262.00M,-27.00M,-6.00M,-3.00M,,-4.00M,-15.00M,-55.00M,137.00M,,-22.00M,1.00M,-21.00M,,1.00M,-9.00M,-29.00M,,0.00,,0.00,3.00M,0.00,3.00M,,0.00,0.00,3.00M,,256.00M,111.00M,367.00M,,3.00M,,0.00,0.00,,AOR,Restated
2010-04,90.00M,,0.00,8.00M,,,40.00M,40.00M,,0.00,,,6.00M,-1.00M,3.00M,-46.00M,-12.00M,2.00M,,13.00M,23.00M,-20.00M,115.00M,,-18.00M,1.00M,-17.00M,,-1.00M,,-18.00M,,-1.00M,,-1.00M,15.00M,,15.00M,,0.00,1.00M,15.00M,,144.00M,112.00M,256.00M,,15.00M,,-1.00M,,,AOR,Restated
2010-01,38.00M,,1.00M,1.00M,,,39.00M,39.00M,,1.00M,,,5.00M,0.00,8.00M,-17.00M,-4.00M,5.00M,,-9.00M,-26.00M,-51.00M,41.00M,,-9.00M,,-9.00M,,0.00,,-9.00M,,-364.00M,,-364.00M,4.00M,,4.00M,,0.00,,-360.00M,,472.00M,-328.00M,144.00M,,4.00M,,-364.00M,,,AOR,Restated
2009-10,-21.00M,,1.00M,1.00M,,,40.00M,40.00M,,1.00M,0.00,,5.00M,0.00,8.00M,-8.00M,-9.00M,9.00M,,8.00M,11.00M,11.00M,46.00M,,-21.00M,0.00,-20.00M,,0.00,0.00,-21.00M,,-112.00M,,-112.00M,304.00M,0.00,304.00M,,,1.00M,193.00M,,254.00M,218.00M,472.00M,,304.00M,,-112.00M,0.00,,AOR,Restated
2009-07,2.00M,,1.00M,2.00M,,,40.00M,40.00M,,1.00M,0.00,,3.00M,0.00,0.00,7.00M,-2.00M,-21.00M,,7.00M,-7.00M,-16.00M,31.00M,,-12.00M,0.00,-12.00M,-2.00M,0.00,2.00M,-12.00M,,-1.00M,,-1.00M,0.00,-5.00M,-5.00M,,,0.00,-6.00M,,241.00M,13.00M,254.00M,,0.00,,-1.00M,-5.00M,,AOR,Restated
2009-04,-31.00M,,0.00,0.00,,,39.00M,39.00M,,1.00M,2.00M,,4.00M,0.00,0.00,1.00M,28.00M,1.00M,24.00M,-34.00M,30.00M,50.00M,66.00M,,-13.00M,0.00,-13.00M,2.00M,-7.00M,,-18.00M,,0.00,,0.00,0.00,-1.00M,-1.00M,,,-1.00M,-2.00M,,195.00M,46.00M,241.00M,,0.00,,0.00,-1.00M,,,Restated
2009-01,6.00M,,0.00,-1.00M,,,41.00M,41.00M,,1.00M,,,0.00,,1.00M,0.00,10.00M,-5.00M,-24.00M,,-32.00M,-51.00M,-4.00M,,-12.00M,,-12.00M,,,,-12.00M,,-2.00M,,-2.00M,0.00,,0.00,,,,-2.00M,,213.00M,-18.00M,195.00M,,0.00,,-2.00M,,,AOR,
