,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-10,11.20B,,11.20B,2.448B,155.00M,2.603B,189.00M,696.00M,562.00M,1.447B,440.00M,,129.00M,15.82B,0.00,177.00M,579.00M,2.925B,411.00M,4.092B,-1.493B,2.599B,24.71B,10.83B,35.54B,458.00M,38.60B,54.42B,,1.105B,123.00M,1.228B,260.00M,1.488B,,117.00M,,117.00M,51.00M,51.00M,247.00M,2.529B,17.43B,,17.43B,10.02B,,10.02B,,2.901B,1.253B,28.70B,31.23B,,20.50B,-129.00M,,,-91.00M,20.28B,,AOR,Restated
2017-07,5.249B,200.00M,5.449B,2.417B,,2.417B,237.00M,689.00M,505.00M,1.431B,,,646.00M,9.943B,,,,,,,,2.909B,24.71B,11.93B,36.63B,457.00M,40.00B,49.94B,,1.158B,,1.158B,,1.158B,,,,,,,514.00M,2.218B,13.57B,,13.57B,9.859B,,9.859B,503.00M,2.902B,1.086B,25.02B,27.24B,,20.18B,-245.00M,,,-133.00M,19.80B,,AOR,Restated
2017-04,4.254B,200.00M,4.454B,2.073B,,2.073B,197.00M,632.00M,482.00M,1.311B,,,630.00M,8.468B,,,,,,,,2.762B,24.71B,13.02B,37.72B,897.00M,41.38B,49.85B,,925.00M,,925.00M,,925.00M,,,,,,,663.00M,2.052B,13.57B,,13.57B,10.24B,,10.24B,508.00M,2.918B,1.14B,25.45B,27.51B,,19.87B,-311.00M,,,-133.00M,19.42B,,AOR,Restated
2017-01,3.536B,,3.536B,1.947B,,1.947B,246.00M,612.00M,478.00M,1.336B,,,531.00M,7.35B,,,,,,,,2.646B,24.70B,14.07B,38.77B,854.00M,42.27B,49.62B,,1.047B,,1.047B,,1.047B,,,,,,,739.00M,2.122B,13.56B,,13.56B,10.27B,,10.27B,518.00M,2.977B,1.131B,25.48B,27.61B,,19.50B,-337.00M,,,-134.00M,19.03B,,AOR,Restated
2016-10,3.097B,,3.097B,2.181B,,2.181B,373.00M,596.00M,431.00M,1.40B,,,447.00M,7.125B,0.00,268.00M,534.00M,2.475B,361.00M,3.638B,-1.129B,2.509B,24.73B,15.07B,39.80B,532.00M,42.84B,49.97B,,1.261B,117.00M,1.378B,331.00M,1.709B,,454.00M,,454.00M,,,398.00M,3.078B,13.19B,,13.19B,10.29B,,10.29B,531.00M,2.984B,1.006B,25.01B,28.09B,,19.24B,-215.00M,,,-134.00M,18.89B,,AOR,Restated
2016-07,1.961B,,1.961B,2.181B,,2.181B,309.00M,498.00M,499.00M,1.306B,,,354.00M,6.048B,,,,,,,,2.573B,24.78B,15.82B,40.60B,528.00M,43.70B,49.75B,,1.127B,,1.127B,,1.127B,,334.00M,,334.00M,,,843.00M,2.728B,13.38B,,13.38B,9.614B,,9.614B,468.00M,3.031B,1.057B,24.52B,27.25B,,18.93B,619.00M,,,-72.00M,19.47B,,AOR,Restated
2016-04,2.041B,,2.041B,1.857B,,1.857B,268.00M,479.00M,720.00M,1.467B,,,480.00M,6.687B,,,,,,,,2.486B,24.78B,16.94B,41.72B,514.00M,44.72B,51.41B,,985.00M,,985.00M,,985.00M,,344.00M,,344.00M,,,1.019B,2.651B,14.66B,,14.66B,,,,475.00M,3.06B,10.86B,25.99B,28.64B,,18.66B,1.116B,,,-73.00M,19.70B,,AOR,Restated
2016-01,2.169B,,2.169B,1.06B,,1.06B,88.00M,232.00M,170.00M,490.00M,,,248.00M,3.971B,,,,,,,,1.505B,1.685B,3.089B,4.774B,527.00M,6.806B,10.78B,,523.00M,,523.00M,,523.00M,,46.00M,,46.00M,,,192.00M,862.00M,3.892B,,3.892B,,,,469.00M,,433.00M,4.794B,5.656B,,2.699B,2.495B,,,-73.00M,5.121B,,AOR,Restated
2015-10,1.822B,,1.822B,1.019B,,1.019B,76.00M,271.00M,177.00M,524.00M,,,394.00M,3.759B,0.00,37.00M,419.00M,1.627B,153.00M,2.236B,-776.00M,1.46B,1.674B,3.277B,4.951B,345.00M,6.756B,10.52B,,617.00M,,617.00M,,617.00M,,46.00M,,46.00M,,,206.00M,1.119B,3.826B,,3.826B,9.00M,,9.00M,475.00M,0.00,372.00M,4.682B,5.801B,,2.547B,2.24B,,,-73.00M,4.714B,,AOR,Restated
2015-07,1.354B,,1.354B,809.00M,,809.00M,93.00M,257.00M,157.00M,507.00M,,,390.00M,3.169B,,,,,,,,1.392B,1.729B,3.469B,5.198B,229.00M,6.819B,9.988B,,501.00M,,501.00M,,501.00M,,46.00M,,46.00M,,,175.00M,952.00M,3.915B,,3.915B,,,,467.00M,,373.00M,4.755B,5.707B,,2.403B,1.927B,,,-49.00M,4.281B,,AOR,Restated
2015-04,2.508B,,2.508B,758.00M,,758.00M,85.00M,243.00M,162.00M,490.00M,,,316.00M,4.076B,,,,,,,,1.344B,1.596B,3.28B,4.876B,236.00M,6.456B,10.53B,,501.00M,,501.00M,,501.00M,,46.00M,,46.00M,,,178.00M,906.00M,4.852B,,4.852B,,,,481.00M,,232.00M,5.565B,6.471B,,2.319B,1.791B,,,-49.00M,4.061B,,AOR,Restated
2015-01,2.569B,,2.569B,718.00M,,718.00M,63.00M,264.00M,173.00M,500.00M,,,307.00M,4.098B,,,,,,,,1.269B,1.596B,3.445B,5.041B,289.00M,6.599B,10.70B,,452.00M,,452.00M,,452.00M,,46.00M,,46.00M,,,215.00M,845.00M,5.454B,,5.454B,,,,496.00M,,274.00M,6.224B,7.069B,,2.131B,1.546B,,,-49.00M,3.628B,,AOR,Restated
2014-10,1.604B,,1.604B,782.00M,,782.00M,84.00M,250.00M,185.00M,519.00M,,,302.00M,3.835B,0.00,37.00M,300.00M,1.316B,198.00M,1.851B,-693.00M,1.158B,1.596B,3.617B,5.213B,285.00M,6.656B,10.49B,,515.00M,57.00M,572.00M,,572.00M,,46.00M,,46.00M,,,179.00M,1.016B,5.463B,,5.463B,,,,506.00M,,43.00M,6.232B,7.248B,,2.009B,1.284B,,,-50.00M,3.243B,,AOR,Restated
2014-07,1.277B,,1.277B,590.00M,,590.00M,88.00M,254.00M,140.00M,482.00M,,234.00M,228.00M,3.84B,,,,,,,,1.016B,1.458B,3.62B,5.078B,328.00M,6.422B,10.26B,,459.00M,,459.00M,,459.00M,,46.00M,,46.00M,,,228.00M,940.00M,5.472B,,5.472B,,,,481.00M,,271.00M,6.224B,7.164B,,1.875B,1.23B,,,-7.00M,3.098B,,AOR,Restated
2014-04,1.278B,,1.278B,319.00M,,319.00M,85.00M,156.00M,60.00M,301.00M,,,136.00M,2.034B,,,,,,,,731.00M,392.00M,441.00M,833.00M,73.00M,1.637B,3.671B,,274.00M,,274.00M,,274.00M,,,,,,,56.00M,416.00M,,,,,,,,,101.00M,101.00M,517.00M,,1.694B,1.467B,,,-7.00M,3.154B,,AOR,Restated
2014-01,1.112B,,1.112B,323.00M,,323.00M,84.00M,146.00M,56.00M,286.00M,,,138.00M,1.859B,,,,,,,,684.00M,392.00M,467.00M,859.00M,70.00M,1.613B,3.472B,,257.00M,,257.00M,,257.00M,,,1.00M,1.00M,,,47.00M,364.00M,,1.00M,1.00M,,,,,,115.00M,116.00M,480.00M,,1.622B,1.377B,,,-7.00M,2.992B,,AOR,Restated
2013-10,985.00M,,985.00M,418.00M,,418.00M,78.00M,154.00M,53.00M,285.00M,,,130.00M,1.818B,0.00,12.00M,182.00M,955.00M,83.00M,1.232B,-571.00M,661.00M,391.00M,492.00M,883.00M,53.00M,1.597B,3.415B,,278.00M,15.00M,293.00M,,293.00M,,,,,,,32.00M,414.00M,,,,,,,62.00M,,53.00M,115.00M,529.00M,,1.587B,1.305B,,,-6.00M,2.886B,,AOR,Restated
2013-07,863.00M,,863.00M,365.00M,,365.00M,79.00M,151.00M,54.00M,284.00M,,,129.00M,1.641B,,,,,,,,620.00M,393.00M,514.00M,907.00M,36.00M,1.563B,3.204B,,266.00M,,266.00M,,266.00M,,,2.00M,2.00M,,,32.00M,380.00M,,1.00M,1.00M,,,,,,97.00M,98.00M,478.00M,,1.538B,1.19B,,,-2.00M,2.726B,,AOR,Restated
2013-04,1.219B,,1.219B,271.00M,,271.00M,55.00M,122.00M,52.00M,229.00M,,,99.00M,1.818B,,,,,,,,561.00M,201.00M,393.00M,594.00M,66.00M,1.221B,3.039B,,240.00M,,240.00M,,240.00M,,,1.00M,1.00M,,,30.00M,330.00M,,2.00M,2.00M,,,,,,96.00M,98.00M,428.00M,,1.518B,1.10B,,,-7.00M,2.611B,,AOR,Restated
2013-01,1.151B,,1.151B,266.00M,,266.00M,61.00M,101.00M,46.00M,208.00M,,,88.00M,1.713B,,,,,,,,529.00M,180.00M,403.00M,583.00M,67.00M,1.179B,2.892B,,196.00M,,196.00M,,196.00M,,,1.00M,1.00M,,,32.00M,277.00M,,2.00M,2.00M,,,,,,95.00M,97.00M,374.00M,,1.493B,1.034B,,,-9.00M,2.518B,,AOR,Restated
2012-10,1.084B,0.00,1.084B,341.00M,15.00M,359.00M,53.00M,99.00M,42.00M,194.00M,24.00M,14.00M,8.00M,1.691B,0.00,11.00M,158.00M,692.00M,127.00M,988.00M,-485.00M,503.00M,180.00M,422.00M,602.00M,66.00M,1.171B,2.862B,,248.00M,16.00M,264.00M,5.00M,269.00M,,,1.00M,1.00M,8.00M,8.00M,7.00M,346.00M,,2.00M,2.00M,,,,,,95.00M,97.00M,443.00M,,1.479B,951.00M,,,-11.00M,2.419B,,AOR,Restated
2012-07,973.00M,,973.00M,330.00M,,330.00M,51.00M,119.00M,46.00M,216.00M,,,62.00M,1.581B,,,,,,,,453.00M,180.00M,441.00M,621.00M,60.00M,1.134B,2.715B,,239.00M,,239.00M,,239.00M,,,1.00M,1.00M,,,33.00M,342.00M,,2.00M,2.00M,,,,,,82.00M,84.00M,426.00M,,0.00,831.00M,1.456B,,2.00M,2.289B,,AOR,Restated
2012-04,954.00M,,954.00M,274.00M,,274.00M,59.00M,106.00M,53.00M,218.00M,,,62.00M,1.508B,,,,,,,,402.00M,177.00M,461.00M,638.00M,63.00M,1.103B,2.611B,,257.00M,,257.00M,,257.00M,,,1.00M,1.00M,,,41.00M,356.00M,,3.00M,3.00M,,,,,,85.00M,88.00M,444.00M,,0.00,723.00M,1.442B,,2.00M,2.167B,,AOR,Restated
2012-01,819.00M,,819.00M,308.00M,,308.00M,36.00M,106.00M,51.00M,193.00M,,,52.00M,1.372B,,,,,,,,354.00M,177.00M,480.00M,657.00M,61.00M,1.072B,2.444B,,222.00M,,222.00M,,222.00M,,,2.00M,2.00M,,,39.00M,314.00M,,3.00M,3.00M,,,,,,87.00M,90.00M,404.00M,,0.00,621.00M,1.416B,,3.00M,2.04B,,AOR,Restated
2011-10,829.00M,,829.00M,328.00M,,328.00M,40.00M,106.00M,48.00M,194.00M,,,42.00M,1.393B,0.00,11.00M,133.00M,563.00M,30.00M,737.00M,-421.00M,316.00M,177.00M,499.00M,676.00M,61.00M,1.053B,2.446B,,221.00M,10.00M,231.00M,5.00M,236.00M,,,2.00M,2.00M,10.00M,10.00M,13.00M,350.00M,,4.00M,4.00M,,,,,,86.00M,90.00M,440.00M,,0.00,525.00M,1.479B,,2.00M,2.006B,,AOR,Restated
2011-07,704.00M,,704.00M,285.00M,,285.00M,45.00M,107.00M,48.00M,200.00M,,,40.00M,1.229B,,,,,,,,296.00M,177.00M,519.00M,696.00M,52.00M,1.044B,2.273B,,196.00M,,196.00M,0.00,196.00M,,,2.00M,2.00M,,,25.00M,311.00M,,4.00M,4.00M,,,,,,88.00M,92.00M,403.00M,,0.00,398.00M,1.472B,,0.00,1.87B,,AOR,Restated
2011-04,596.00M,,596.00M,289.00M,,289.00M,37.00M,112.00M,45.00M,194.00M,,,49.00M,1.128B,,,,,,,,285.00M,177.00M,538.00M,715.00M,49.00M,1.049B,2.177B,,206.00M,,206.00M,62.00M,268.00M,,,2.00M,2.00M,,,26.00M,296.00M,,4.00M,4.00M,,,,,,86.00M,90.00M,386.00M,,0.00,276.00M,1.518B,,-3.00M,1.791B,,AOR,Restated
2011-01,363.00M,,363.00M,291.00M,,291.00M,36.00M,106.00M,61.00M,203.00M,,,53.00M,910.00M,,,,,,,,281.00M,175.00M,557.00M,732.00M,48.00M,1.061B,1.971B,,156.00M,,156.00M,51.00M,207.00M,,,2.00M,2.00M,,,28.00M,237.00M,,5.00M,5.00M,,,,,,85.00M,90.00M,327.00M,,0.00,161.00M,1.487B,,-4.00M,1.644B,,AOR,Restated
2010-10,561.00M,,561.00M,285.00M,,285.00M,32.00M,96.00M,61.00M,189.00M,,,52.00M,1.087B,0.00,11.00M,130.00M,499.00M,,640.00M,-359.00M,281.00M,172.00M,573.00M,745.00M,44.00M,1.07B,2.157B,,198.00M,,198.00M,94.00M,292.00M,230.00M,230.00M,2.00M,232.00M,,,41.00M,565.00M,,4.00M,4.00M,,,,,,83.00M,87.00M,652.00M,,0.00,59.00M,1.45B,,-4.00M,1.505B,,AOR,Restated
2010-07,367.00M,,367.00M,279.00M,,279.00M,30.00M,90.00M,65.00M,185.00M,,,42.00M,873.00M,,,,,,,,266.00M,173.00M,592.00M,765.00M,16.00M,1.047B,1.92B,,172.00M,,172.00M,74.00M,246.00M,,,2.00M,2.00M,,,37.00M,285.00M,230.00M,4.00M,234.00M,,,,,,68.00M,302.00M,587.00M,,0.00,-105.00M,1.435B,,3.00M,1.333B,,AOR,Restated
2010-04,256.00M,,256.00M,249.00M,,249.00M,28.00M,87.00M,63.00M,178.00M,,,44.00M,727.00M,,,,,,,,261.00M,171.00M,607.00M,778.00M,16.00M,1.055B,1.782B,,169.00M,,169.00M,12.00M,181.00M,,,2.00M,2.00M,,,98.00M,281.00M,230.00M,4.00M,234.00M,,,,,,67.00M,301.00M,582.00M,,0.00,-228.00M,1.425B,,3.00M,1.20B,,AOR,Restated
2010-01,144.00M,,144.00M,203.00M,,203.00M,25.00M,72.00M,69.00M,166.00M,,,44.00M,557.00M,,,,,,,,254.00M,171.00M,627.00M,798.00M,23.00M,1.075B,1.632B,,160.00M,,160.00M,5.00M,165.00M,,,3.00M,3.00M,,,80.00M,248.00M,230.00M,2.00M,232.00M,,,,,,65.00M,297.00M,545.00M,,0.00,-318.00M,1.402B,,3.00M,1.087B,,AOR,Restated
2009-10,472.00M,,472.00M,186.00M,,186.00M,22.00M,70.00M,70.00M,162.00M,,,44.00M,864.00M,0.00,11.00M,128.00M,419.00M,,558.00M,-294.00M,264.00M,171.00M,647.00M,818.00M,24.00M,1.106B,1.97B,,154.00M,,154.00M,80.00M,234.00M,364.00M,364.00M,2.00M,366.00M,,,33.00M,633.00M,230.00M,3.00M,233.00M,,,,,,64.00M,297.00M,930.00M,,0.00,-356.00M,1.393B,,3.00M,1.04B,,AOR,Restated
2009-07,254.00M,,254.00M,178.00M,,178.00M,26.00M,66.00M,61.00M,153.00M,,,31.00M,616.00M,,,,,,,,273.00M,171.00M,665.00M,836.00M,50.00M,1.159B,1.775B,,152.00M,,152.00M,13.00M,165.00M,,,2.00M,2.00M,,,84.00M,251.00M,700.00M,3.00M,703.00M,,,,,,63.00M,766.00M,1.017B,,0.00,-335.00M,1.084B,,9.00M,758.00M,,AOR,Restated
2009-04,241.00M,,241.00M,185.00M,,185.00M,,,,151.00M,,,38.00M,615.00M,,,,,,,,276.00M,171.00M,685.00M,856.00M,58.00M,1.19B,1.805B,,167.00M,,167.00M,30.00M,197.00M,,,2.00M,2.00M,,,83.00M,282.00M,700.00M,4.00M,704.00M,,,,,,61.00M,765.00M,1.047B,,0.00,-337.00M,1.086B,,9.00M,758.00M,,,Restated
2008-10,213.00M,,213.00M,184.00M,,184.00M,21.00M,87.00M,80.00M,188.00M,,,34.00M,619.00M,0.00,11.00M,129.00M,375.00M,,515.00M,-216.00M,299.00M,169.00M,721.00M,890.00M,63.00M,1.252B,1.871B,,174.00M,,174.00M,32.00M,206.00M,,,2.00M,2.00M,,,120.00M,328.00M,703.00M,5.00M,708.00M,,,,,,55.00M,763.00M,1.091B,,0.00,-312.00M,1.084B,,8.00M,780.00M,,,Restated
