,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-01,4.139B,4.139B,2.138B,2.001B,201.00M,808.00M,440.00M,-205.00M,111.00M,-111.00M,,1.449B,552.00M,111.00M,-111.00M,-174.00M,-111.00M,267.00M,10.00M,257.00M,-5.00M,-13.00M,,239.00M,441.32M,1.492B,1.114B,378.00M,,0.6115,-0.0100,1.107,0.6015,,0.5815,-0.0100,1.032,0.5714,,398.00M,437.90M,1.02,,AOR,Restated
2016-10,4.136B,4.136B,1.965B,2.171B,224.00M,806.00M,356.00M,-453.00M,106.00M,-96.00M,,1.386B,785.00M,106.00M,-96.00M,-454.00M,-96.00M,235.00M,841.00M,-606.00M,-62.00M,36.00M,,-632.00M,-298.20M,1.041B,700.00M,341.00M,,-1.444,-0.1504,-0.7607,-1.594,,-1.444,-0.1504,-0.7979,-1.594,,398.00M,420.94M,0.51,,AOR,Restated
2016-07,3.792B,3.792B,2.01B,1.782B,230.00M,814.00M,728.00M,-295.00M,139.00M,-139.00M,,1.772B,10.00M,139.00M,-139.00M,-291.00M,-139.00M,-420.00M,-117.00M,-303.00M,-12.00M,17.00M,,-298.00M,-73.18M,777.00M,1.058B,-281.00M,,-0.7218,-0.0301,-0.1830,-0.7519,,-0.7218,-0.0301,-0.2126,-0.7519,,395.01M,417.95M,0.50,,AOR,Restated
2016-04,3.541B,3.541B,2.495B,1.046B,238.00M,787.00M,735.00M,-340.00M,256.00M,-256.00M,,1.76B,-714.00M,256.00M,-256.00M,-346.00M,-256.00M,-1.316B,-99.00M,-1.217B,-38.00M,69.00M,,-1.186B,-833.58M,-20.00M,1.04B,-1.06B,,-2.937,-0.0902,-2.133,-3.028,,-2.937,-0.0902,-2.178,-3.028,,391.02M,413.96M,0.49,,AOR,Restated
2016-01,1.771B,1.771B,830.00M,941.00M,114.00M,267.00M,54.00M,-31.00M,84.00M,-84.00M,,435.00M,506.00M,84.00M,-84.00M,-28.00M,-84.00M,394.00M,17.00M,377.00M,0.00,0.00,,377.00M,406.66M,722.00M,244.00M,478.00M,,1.363,0.00,1.471,1.363,,1.303,0.00,1.406,1.303,,276.31M,288.28M,0.44,,AOR,Restated
2015-10,1.84B,1.84B,843.00M,997.00M,118.00M,287.00M,63.00M,-15.00M,41.00M,-33.00M,,468.00M,529.00M,41.00M,-33.00M,-11.00M,-33.00M,485.00M,15.00M,470.00M,-41.00M,,,429.00M,484.54M,776.00M,250.00M,526.00M,,1.704,-0.1504,1.757,1.554,,1.644,-0.1504,1.697,1.494,,275.31M,275.31M,0.42,,AOR,Restated
2015-07,1.735B,1.735B,851.00M,884.00M,143.00M,276.00M,68.00M,-95.00M,43.00M,-43.00M,,487.00M,397.00M,43.00M,-43.00M,-87.00M,-43.00M,267.00M,23.00M,244.00M,-4.00M,0.00,,240.00M,330.82M,566.00M,256.00M,310.00M,,0.9223,-0.0100,1.251,0.9123,,0.8521,-0.0100,1.155,0.8421,,264.34M,286.28M,0.40,,AOR,Restated
2015-04,1.614B,1.614B,768.00M,846.00M,108.00M,251.00M,59.00M,-23.00M,53.00M,-53.00M,,418.00M,428.00M,53.00M,-53.00M,-11.00M,-53.00M,364.00M,25.00M,339.00M,5.00M,0.00,,344.00M,360.42M,647.00M,230.00M,417.00M,,1.313,0.0200,1.397,1.333,,1.193,0.0200,1.269,1.213,,257.36M,283.29M,0.38,,AOR,Restated
2015-01,1.635B,1.635B,809.00M,826.00M,117.00M,235.00M,59.00M,-14.00M,54.00M,-54.00M,,411.00M,415.00M,54.00M,-54.00M,-10.00M,-54.00M,351.00M,13.00M,338.00M,13.00M,,,351.00M,351.48M,631.00M,226.00M,405.00M,,1.333,0.0501,1.386,1.383,,1.223,0.0401,1.272,1.263,,254.36M,277.30M,0.35,,AOR,Restated
2014-10,1.59B,1.59B,802.00M,788.00M,129.00M,234.00M,91.00M,-33.00M,54.00M,-48.00M,,454.00M,334.00M,54.00M,-48.00M,-23.00M,-48.00M,263.00M,126.00M,137.00M,-2.00M,,,135.00M,158.45M,567.00M,250.00M,317.00M,,0.5414,-0.0100,0.6270,0.5313,,0.5013,-0.0100,0.5800,0.5013,,250.37M,272.32M,0.32,,AOR,Restated
2014-07,1.269B,1.269B,876.00M,393.00M,137.00M,240.00M,91.00M,-87.00M,55.00M,-55.00M,,468.00M,-75.00M,55.00M,-55.00M,-89.00M,-55.00M,-219.00M,-99.00M,-120.00M,-44.00M,,,-164.00M,-63.45M,93.00M,257.00M,-164.00M,,-0.4812,-0.1704,-0.2562,-0.6516,,-0.4812,-0.1704,-0.2562,-0.6516,,251.37M,251.37M,0.29,,AOR,Restated
2014-04,701.00M,701.00M,344.00M,357.00M,67.00M,114.00M,8.00M,-8.00M,1.00M,-1.00M,,189.00M,168.00M,1.00M,-1.00M,-8.00M,-1.00M,159.00M,1.00M,158.00M,0.00,,,158.00M,165.95M,221.00M,61.00M,160.00M,,0.6316,0.00,0.6633,0.6316,,0.6115,0.00,0.6424,0.6115,,250.37M,257.36M,0.27,,AOR,Restated
2014-01,709.00M,709.00M,370.00M,339.00M,74.00M,107.00M,7.00M,-12.00M,0.00,0.00,,188.00M,151.00M,0.00,0.00,-12.00M,0.00,139.00M,5.00M,134.00M,0.00,,,134.00M,145.57M,196.00M,57.00M,139.00M,,0.5414,0.00,0.5879,0.5414,,0.5313,0.00,0.5768,0.5313,,248.38M,254.36M,0.25,,AOR,Restated
2013-10,738.00M,738.00M,392.00M,346.00M,60.00M,109.00M,7.00M,0.00,0.00,4.00M,,176.00M,170.00M,0.00,4.00M,6.00M,4.00M,180.00M,8.00M,172.00M,0.00,,,172.00M,172.00M,238.00M,58.00M,180.00M,,0.6917,0.00,0.6917,0.6917,,0.6817,0.00,0.6817,0.6817,,249.38M,254.36M,0.23,,AOR,Restated
2013-07,644.00M,644.00M,340.00M,304.00M,57.00M,101.00M,6.00M,0.00,1.00M,-1.00M,,164.00M,140.00M,1.00M,-1.00M,5.00M,-1.00M,144.00M,2.00M,142.00M,0.00,,,142.00M,142.00M,191.00M,46.00M,145.00M,,0.5714,0.00,0.5714,0.5714,,0.5614,0.00,0.5614,0.5614,,247.38M,251.37M,0.21,,AOR,Restated
2013-04,562.00M,562.00M,290.00M,272.00M,52.00M,95.00M,6.00M,-1.00M,1.00M,-1.00M,,153.00M,119.00M,1.00M,-1.00M,,-1.00M,118.00M,5.00M,113.00M,,,,113.00M,113.96M,161.00M,42.00M,119.00M,,0.4612,,0.4651,0.4612,,0.4511,,0.4550,0.4511,,245.38M,250.37M,0.19,,AOR,Restated
2013-01,576.00M,576.00M,300.00M,276.00M,53.00M,93.00M,5.00M,-1.00M,,,,151.00M,125.00M,,,1.00M,,126.00M,1.00M,125.00M,,,,125.00M,125.99M,166.00M,41.00M,125.00M,,0.5113,,0.5153,0.5113,,0.5013,,0.5052,0.5013,,245.38M,250.37M,0.17,,AOR,Restated
2012-10,618.00M,618.00M,319.00M,299.00M,49.00M,80.00M,5.00M,-1.00M,0.00,4.00M,,134.00M,165.00M,0.00,4.00M,-4.00M,4.00M,165.00M,6.00M,159.00M,,,,159.00M,159.96M,205.00M,40.00M,165.00M,,0.6516,,0.6556,0.6516,,0.6416,,0.6455,0.6416,,244.39M,246.38M,0.16,,AOR,Restated
2012-07,606.00M,606.00M,311.00M,295.00M,49.00M,89.00M,6.00M,-2.00M,0.00,0.00,,144.00M,151.00M,0.00,0.00,-1.00M,0.00,150.00M,5.00M,145.00M,,,,145.00M,146.93M,190.00M,40.00M,150.00M,,0.5915,,0.5994,0.5915,,0.5815,,0.5892,0.5815,,244.39M,249.38M,0.15,,AOR,Restated
2012-04,577.00M,577.00M,299.00M,278.00M,51.00M,84.00M,5.00M,-1.00M,0.00,0.00,,140.00M,138.00M,0.00,0.00,2.00M,0.00,140.00M,6.00M,134.00M,,,,134.00M,134.96M,178.00M,38.00M,140.00M,,0.5514,,0.5553,0.5514,,0.5414,,0.5452,0.5414,,243.39M,249.38M,0.13,,AOR,Restated
2012-01,563.00M,563.00M,293.00M,270.00M,50.00M,82.00M,5.00M,-1.00M,1.00M,-1.00M,,137.00M,133.00M,1.00M,-1.00M,-2.00M,-1.00M,130.00M,5.00M,125.00M,,,,125.00M,125.96M,168.00M,37.00M,131.00M,,0.5113,,0.5152,0.5113,,0.5013,,0.5051,0.5013,,244.39M,249.38M,0.12,,AOR,Restated
2011-10,623.00M,623.00M,319.00M,304.00M,55.00M,83.00M,6.00M,-2.00M,-1.00M,1.00M,,144.00M,160.00M,-1.00M,1.00M,-2.00M,1.00M,159.00M,5.00M,154.00M,,,,154.00M,155.94M,197.00M,39.00M,158.00M,,0.6316,,0.6396,0.6316,,0.6216,,0.6294,0.6216,,241.40M,248.38M,0.11,,AOR,Restated
2011-07,603.00M,603.00M,306.00M,297.00M,60.00M,85.00M,5.00M,-2.00M,0.00,0.00,,150.00M,147.00M,0.00,0.00,-2.00M,0.00,145.00M,1.00M,144.00M,,,,144.00M,145.99M,184.00M,39.00M,145.00M,,0.5915,0.00,0.5996,0.5915,,0.5714,0.00,0.5793,0.5714,,245.38M,252.37M,0.09,,AOR,Restated
2011-04,560.00M,560.00M,285.00M,275.00M,55.00M,76.00M,5.00M,-1.00M,1.00M,-1.00M,,136.00M,139.00M,1.00M,-1.00M,-1.00M,-1.00M,137.00M,2.00M,135.00M,,,,135.00M,135.99M,176.00M,38.00M,138.00M,,0.5514,0.00,0.5554,0.5514,,0.5414,0.00,0.5453,0.5414,,244.39M,251.37M,0.08,,AOR,Restated
2011-01,550.00M,550.00M,279.00M,271.00M,50.00M,73.00M,6.00M,-19.00M,3.00M,-3.00M,,129.00M,142.00M,3.00M,-3.00M,-19.00M,-3.00M,120.00M,1.00M,119.00M,,,,119.00M,137.84M,164.00M,41.00M,123.00M,,0.4912,0.00,0.5693,0.4912,,0.4812,0.00,0.5568,0.4812,,241.40M,249.38M,0.07,,AOR,Restated
2010-10,572.00M,572.00M,296.00M,276.00M,51.00M,75.00M,5.00M,0.00,7.00M,-7.00M,,131.00M,145.00M,7.00M,-7.00M,0.00,-7.00M,138.00M,-26.00M,164.00M,,,,164.00M,164.00M,185.00M,40.00M,145.00M,,0.6917,0.00,0.6917,0.6917,,0.6717,0.00,0.6717,0.6717,,237.40M,245.38M,,,AOR,Restated
2010-07,550.00M,550.00M,287.00M,263.00M,51.00M,71.00M,5.00M,-1.00M,8.00M,-8.00M,,127.00M,136.00M,8.00M,-8.00M,-1.00M,-8.00M,127.00M,4.00M,123.00M,,,,123.00M,123.97M,175.00M,40.00M,135.00M,,0.5113,0.00,0.5153,0.5113,,0.5013,0.00,0.5052,0.5013,,238.40M,246.38M,,,AOR,Restated
2010-04,515.00M,515.00M,282.00M,233.00M,48.00M,70.00M,6.00M,-2.00M,8.00M,-8.00M,,124.00M,109.00M,8.00M,-8.00M,-2.00M,-8.00M,99.00M,9.00M,90.00M,,,,90.00M,91.82M,147.00M,40.00M,107.00M,,0.3810,0.00,0.3886,0.3810,,0.3709,0.00,0.3783,0.3709,,237.40M,245.38M,,,AOR,Restated
2010-01,456.00M,456.00M,262.00M,194.00M,46.00M,64.00M,5.00M,-26.00M,11.00M,-11.00M,,115.00M,79.00M,11.00M,-11.00M,-26.00M,-11.00M,42.00M,4.00M,38.00M,,,,38.00M,61.52M,92.00M,39.00M,53.00M,,0.1604,0.00,0.2603,0.1604,,0.1604,0.00,0.2571,0.1604,,235.41M,243.39M,,,AOR,Restated
2009-10,428.00M,428.00M,250.00M,178.00M,101.00M,65.00M,5.00M,-10.00M,19.00M,-19.00M,,171.00M,7.00M,19.00M,-19.00M,-10.00M,-19.00M,-22.00M,-1.00M,-21.00M,,,,-21.00M,-11.45M,37.00M,40.00M,-3.00M,,-0.0902,0.00,-0.0493,-0.0902,,-0.0902,0.00,-0.0493,-0.0902,,233.42M,233.42M,,,AOR,Restated
2009-07,363.00M,363.00M,222.00M,141.00M,40.00M,59.00M,5.00M,-9.00M,20.00M,-20.00M,,104.00M,37.00M,20.00M,-20.00M,-9.00M,-20.00M,8.00M,6.00M,2.00M,,,,2.00M,7.85M,68.00M,40.00M,28.00M,,0.0100,0.00,0.0376,0.0100,,0.0100,0.00,0.0369,0.0100,,212.47M,217.46M,,,AOR,Restated
2009-04,325.00M,325.00M,227.00M,98.00M,42.00M,59.00M,5.00M,-5.00M,20.00M,-20.00M,,106.00M,-8.00M,20.00M,-20.00M,-5.00M,-20.00M,-33.00M,-2.00M,-31.00M,,,,-31.00M,-26.30M,26.00M,39.00M,-13.00M,,-0.1404,0.00,-0.1183,-0.1404,,-0.1404,0.00,-0.1183,-0.1404,,213.46M,213.46M,,,,Restated
2009-01,368.00M,368.00M,225.00M,143.00M,40.00M,62.00M,21.00M,-10.00M,18.00M,-18.00M,-21.00M,102.00M,41.00M,18.00M,-18.00M,-10.00M,-18.00M,11.00M,5.00M,6.00M,,,,6.00M,12.50M,70.00M,41.00M,29.00M,,0.0301,0.00,0.0605,0.0301,,0.0301,0.00,0.0598,0.0301,,213.46M,218.45M,,,AOR,
2008-10,447.00M,447.00M,279.00M,168.00M,48.00M,69.00M,7.00M,-7.00M,21.00M,-21.00M,,124.00M,44.00M,21.00M,-21.00M,-7.00M,-21.00M,16.00M,-9.00M,25.00M,-7.00M,,,18.00M,29.55M,79.00M,42.00M,37.00M,,0.1203,-0.0301,0.1416,0.0902,,0.1103,-0.0301,0.1311,0.0802,,213.46M,218.45M,,,,Restated
2008-07,439.00M,439.00M,268.00M,171.00M,50.00M,68.00M,7.00M,-2.00M,20.00M,-20.00M,,125.00M,46.00M,20.00M,-20.00M,-2.00M,-20.00M,24.00M,5.00M,19.00M,25.00M,,,44.00M,20.58M,84.00M,40.00M,44.00M,,0.0902,0.1203,0.0976,0.2105,,0.0902,0.1103,0.0975,0.2005,,213.46M,218.45M,,,AOR,
