,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-05,11.01B,11.01B,2.173B,8.841B,2.315B,305.00M,2.62B,1.543B,415.00M,-102.00M,548.00M,351.00M,-197.00M,,4.578B,4.263B,351.00M,548.00M,-197.00M,-159.00M,-197.00M,3.907B,631.00M,3.276B,,,3.276B,3.385B,5.157B,702.00M,4.455B,0.84,,,0.8669,0.84,0.82,,,0.8463,0.82,4.046B,4.148B,0.19
2018-02,9.676B,9.676B,1.996B,7.68B,2.042B,339.00M,2.381B,1.496B,394.00M,-94.00M,533.00M,313.00M,-220.00M,,4.271B,3.409B,313.00M,533.00M,-220.00M,2.00M,-220.00M,3.191B,7.238B,-4.047B,,,-4.047B,-3.953B,4.423B,699.00M,3.724B,-0.98,,,-0.9572,-0.98,-0.98,,,-0.9572,-0.98,4.122B,4.122B,0.19
2017-11,9.589B,9.589B,1.96B,7.629B,2.088B,320.00M,2.408B,1.473B,400.00M,-309.00M,475.00M,281.00M,-194.00M,,4.281B,3.348B,281.00M,475.00M,-194.00M,-328.00M,-194.00M,2.826B,612.00M,2.214B,,,2.214B,2.461B,3.989B,688.00M,3.301B,0.53,,,0.5893,0.53,0.52,,,0.5776,0.52,4.16B,4.283B,0.19
2017-08,9.104B,9.104B,1.928B,7.176B,1.989B,319.00M,2.308B,1.572B,411.00M,-136.00M,469.00M,257.00M,-212.00M,,4.291B,2.885B,257.00M,469.00M,-212.00M,-173.00M,-212.00M,2.50B,356.00M,2.144B,,,2.144B,2.264B,3.665B,696.00M,2.969B,0.52,,,0.5489,0.52,0.5,,,0.528,0.5,4.156B,4.284B,0.19
2017-05,10.96B,10.96B,1.986B,8.971B,2.202B,313.00M,2.515B,1.602B,441.00M,-136.00M,481.00M,226.00M,-255.00M,,4.558B,4.413B,226.00M,481.00M,-255.00M,-234.00M,-255.00M,3.924B,575.00M,3.349B,,,3.349B,3.508B,5.124B,719.00M,4.405B,0.78,,,0.8184,0.78,0.76,,,0.7974,0.76,4.13B,4.247B,0.19
2017-02,9.205B,9.205B,1.892B,7.313B,2.004B,241.00M,2.245B,1.521B,397.00M,-191.00M,450.00M,197.00M,-253.00M,,4.163B,3.15B,197.00M,450.00M,-253.00M,-199.00M,-253.00M,2.698B,459.00M,2.239B,,,2.239B,2.414B,3.804B,656.00M,3.148B,0.55,,,0.5926,0.55,0.53,,,0.5717,0.53,4.107B,4.204B,0.15
2016-11,9.035B,9.035B,1.797B,7.238B,1.96B,303.00M,2.263B,1.51B,302.00M,-126.00M,451.00M,204.00M,-247.00M,,4.075B,3.163B,204.00M,451.00M,-247.00M,-231.00M,-247.00M,2.685B,653.00M,2.032B,,,2.032B,2.180B,3.679B,543.00M,3.136B,0.5,,,0.536,0.5,0.48,,,0.5152,0.48,4.104B,4.195B,0.15
2016-08,8.595B,8.595B,1.776B,6.819B,1.919B,315.00M,2.234B,1.52B,311.00M,-113.00M,416.00M,177.00M,-239.00M,,4.065B,2.754B,177.00M,416.00M,-239.00M,-142.00M,-239.00M,2.373B,541.00M,1.832B,,,1.832B,1.929B,3.322B,533.00M,2.789B,0.44,,,0.4636,0.44,0.43,,,0.453,0.43,4.119B,4.221B,0.15
2016-05,10.59B,10.59B,1.936B,8.658B,2.306B,323.00M,2.629B,1.534B,355.00M,-172.00M,362.00M,156.00M,-206.00M,,4.518B,4.14B,156.00M,362.00M,-206.00M,-202.00M,-206.00M,3.732B,918.00M,2.814B,,,2.814B,2.975B,4.677B,583.00M,4.094B,0.68,,,0.7189,0.68,0.66,,,0.6981,0.66,4.146B,4.236B,0.15
2016-02,9.012B,9.012B,1.839B,7.173B,1.903B,290.00M,2.193B,1.419B,408.00M,-126.00M,360.00M,141.00M,-219.00M,,4.02B,3.153B,141.00M,360.00M,-219.00M,-202.00M,-219.00M,2.732B,590.00M,2.142B,,,2.142B,2.253B,3.714B,622.00M,3.092B,0.51,,,0.5364,0.51,0.5,,,0.526,0.5,4.182B,4.256B,0.15
2015-11,8.993B,8.993B,1.853B,7.14B,1.945B,285.00M,2.23B,1.444B,423.00M,-88.00M,371.00M,123.00M,-248.00M,,4.097B,3.043B,123.00M,371.00M,-248.00M,-127.00M,-248.00M,2.668B,471.00M,2.197B,,,2.197B,2.293B,3.672B,633.00M,3.039B,0.52,,,0.5425,0.52,0.51,,,0.5321,0.51,4.239B,4.316B,0.15
2015-08,8.448B,8.448B,1.85B,6.598B,1.731B,257.00M,1.988B,1.39B,452.00M,-114.00M,374.00M,117.00M,-257.00M,,3.83B,2.768B,117.00M,374.00M,-257.00M,-201.00M,-257.00M,2.31B,563.00M,1.747B,,,1.747B,1.852B,3.355B,671.00M,2.684B,0.4,,,0.4243,0.4,0.4,,,0.4238,0.4,4.317B,4.412B,0.15
2015-05,10.71B,10.71B,2.053B,8.653B,2.212B,278.00M,2.49B,1.436B,507.00M,-238.00M,326.00M,99.00M,-227.00M,,4.433B,4.22B,99.00M,326.00M,-227.00M,-296.00M,-227.00M,3.697B,940.00M,2.757B,,,2.757B,2.973B,4.74B,717.00M,4.023B,0.63,,,0.6796,0.63,0.62,,,0.6684,0.62,4.359B,4.464B,0.15
2015-02,9.327B,9.327B,1.90B,7.427B,1.839B,252.00M,2.091B,1.37B,527.00M,-56.00M,273.00M,82.00M,-191.00M,,3.988B,3.439B,82.00M,273.00M,-191.00M,-98.00M,-191.00M,3.15B,655.00M,2.495B,,,2.495B,2.565B,4.127B,704.00M,3.423B,0.57,,,0.5859,0.57,0.56,,,0.5755,0.56,4.389B,4.494B,0.12
2014-11,9.598B,9.598B,1.899B,7.699B,1.897B,272.00M,2.169B,1.389B,568.00M,-31.00M,282.00M,79.00M,-203.00M,,4.126B,3.573B,79.00M,282.00M,-203.00M,-101.00M,-203.00M,3.269B,767.00M,2.502B,,,2.502B,2.550B,4.284B,733.00M,3.551B,0.57,,,0.5809,0.57,0.56,,,0.5707,0.56,4.417B,4.505B,0.12
2014-08,8.596B,8.596B,1.681B,6.915B,1.706B,276.00M,1.982B,1.329B,547.00M,-94.00M,261.00M,89.00M,-172.00M,,3.858B,3.057B,89.00M,261.00M,-172.00M,-167.00M,-172.00M,2.718B,534.00M,2.184B,,,2.184B,2.292B,3.686B,707.00M,2.979B,0.49,,,0.5144,0.49,0.48,,,0.5038,0.48,4.451B,4.548B,0.12
2014-05,11.32B,11.32B,1.932B,9.388B,2.241B,265.00M,2.506B,1.348B,568.00M,-57.00M,240.00M,74.00M,-166.00M,,4.422B,4.966B,74.00M,240.00M,-166.00M,-212.00M,-166.00M,4.588B,942.00M,3.646B,,,3.646B,3.810B,5.552B,724.00M,4.828B,0.81,,,0.8466,0.81,0.8,,,0.8358,0.8,4.474B,4.568B,0.12
2014-02,9.307B,9.307B,1.775B,7.532B,1.829B,251.00M,2.08B,1.292B,560.00M,-33.00M,228.00M,67.00M,-161.00M,,3.932B,3.60B,67.00M,228.00M,-161.00M,-190.00M,-161.00M,3.249B,684.00M,2.565B,,,2.565B,2.708B,4.187B,710.00M,3.477B,0.57,,,0.6018,0.57,0.56,,,0.5913,0.56,4.496B,4.575B,0.12
2013-11,9.275B,9.275B,1.807B,7.468B,1.877B,262.00M,2.139B,1.273B,577.00M,-69.00M,230.00M,65.00M,-165.00M,,3.989B,3.479B,65.00M,230.00M,-165.00M,-111.00M,-165.00M,3.203B,650.00M,2.553B,,,2.553B,2.643B,4.162B,729.00M,3.433B,0.56,,,0.5799,0.56,0.56,,,0.5796,0.56,4.535B,4.60B,0.12
2013-08,8.372B,8.372B,1.721B,6.651B,1.62B,260.00M,1.88B,1.237B,595.00M,-66.00M,217.00M,57.00M,-160.00M,,3.712B,2.939B,57.00M,217.00M,-160.00M,-116.00M,-160.00M,2.663B,472.00M,2.191B,,,2.191B,2.274B,3.625B,745.00M,2.88B,0.48,,,0.498,0.48,0.47,,,0.4878,0.47,4.608B,4.674B,0.12
2013-05,10.95B,10.95B,2.094B,8.853B,1.942B,274.00M,2.216B,1.264B,596.00M,223.00M,209.00M,57.00M,-152.00M,,4.076B,4.777B,57.00M,209.00M,-152.00M,201.00M,-152.00M,4.826B,1.02B,3.806B,,,3.806B,3.640B,5.777B,742.00M,5.035B,0.81,,,0.7745,0.81,0.8,,,0.765,0.8,4.682B,4.757B,0.0
2013-02,8.958B,8.958B,1.716B,7.242B,1.802B,260.00M,2.062B,1.186B,586.00M,-74.00M,205.00M,62.00M,-143.00M,,3.834B,3.408B,62.00M,205.00M,-143.00M,-175.00M,-143.00M,3.09B,586.00M,2.504B,,,2.504B,2.634B,4.02B,725.00M,3.295B,0.53,,,0.5575,0.53,0.52,,,0.5471,0.52,4.735B,4.812B,0.18
2012-11,9.094B,9.094B,1.794B,7.30B,1.773B,263.00M,2.036B,1.199B,584.00M,-10.00M,195.00M,61.00M,-134.00M,,3.819B,3.481B,61.00M,195.00M,-134.00M,-67.00M,-134.00M,3.28B,699.00M,2.581B,,,2.581B,2.618B,4.193B,718.00M,3.475B,0.54,,,0.5477,0.54,0.53,,,0.5376,0.53,4.792B,4.868B,0.06
2012-08,8.181B,8.181B,1.775B,6.406B,1.545B,275.00M,1.82B,1.201B,619.00M,113.00M,188.00M,57.00M,-131.00M,,3.64B,2.766B,57.00M,188.00M,-131.00M,67.00M,-131.00M,2.702B,668.00M,2.034B,,,2.034B,1.968B,3.636B,746.00M,2.89B,0.42,,,0.4065,0.42,0.41,,,0.3967,0.41,4.867B,4.939B,0.06
2012-05,10.92B,10.92B,2.143B,8.773B,1.963B,278.00M,2.241B,1.226B,640.00M,-71.00M,192.00M,56.00M,-136.00M,,4.107B,4.666B,56.00M,192.00M,-136.00M,-147.00M,-136.00M,4.383B,931.00M,3.452B,,,3.452B,3.537B,5.351B,776.00M,4.575B,0.69,,,0.7072,0.69,0.68,,,0.6969,0.68,4.949B,5.026B,0.06
2012-02,9.039B,9.039B,1.908B,7.131B,1.70B,261.00M,1.961B,1.145B,606.00M,-102.00M,190.00M,60.00M,-130.00M,,3.712B,3.419B,60.00M,190.00M,-130.00M,-141.00M,-130.00M,3.148B,650.00M,2.498B,,,2.498B,2.601B,4.068B,730.00M,3.338B,0.5,,,0.5206,0.5,0.49,,,0.5103,0.49,5.007B,5.08B,0.06
2011-11,8.792B,8.792B,1.956B,6.836B,1.697B,277.00M,1.974B,1.102B,592.00M,-57.00M,192.00M,58.00M,-134.00M,,3.668B,3.168B,58.00M,192.00M,-134.00M,-74.00M,-134.00M,2.96B,768.00M,2.192B,,,2.192B,2.242B,3.853B,701.00M,3.152B,0.43,,,0.4398,0.43,0.43,,,0.4397,0.43,5.041B,5.123B,0.06
2011-08,8.374B,8.374B,1.988B,6.386B,1.63B,311.00M,1.941B,1.05B,592.00M,-120.00M,192.00M,57.00M,-135.00M,,3.583B,2.803B,57.00M,192.00M,-135.00M,-197.00M,-135.00M,2.471B,631.00M,1.84B,,,1.84B,1.951B,3.372B,709.00M,2.663B,0.36,,,0.3819,0.36,0.36,,,0.3815,0.36,5.062B,5.15B,0.06
2011-05,10.78B,10.78B,2.169B,8.606B,2.097B,256.00M,2.353B,1.17B,599.00M,-135.00M,195.00M,45.00M,-150.00M,,4.122B,4.484B,45.00M,195.00M,-150.00M,-164.00M,-150.00M,4.17B,961.00M,3.209B,,,3.209B,3.344B,5.049B,684.00M,4.365B,0.63,,,0.6567,0.63,0.63,,,0.6562,0.63,5.066B,5.161B,0.06
2011-02,8.764B,8.764B,2.012B,6.752B,1.618B,286.00M,1.904B,1.127B,612.00M,-120.00M,204.00M,44.00M,-160.00M,,3.643B,3.109B,44.00M,204.00M,-160.00M,-150.00M,-160.00M,2.799B,683.00M,2.116B,,,2.116B,2.229B,3.704B,701.00M,3.003B,0.42,0.0,,0.4424,0.42,0.41,0.0,,0.432,0.41,5.057B,5.149B,0.05
2010-11,8.582B,8.582B,2.157B,6.425B,1.53B,156.00M,1.686B,1.119B,614.00M,-218.00M,214.00M,39.00M,-175.00M,,3.419B,3.006B,39.00M,214.00M,-175.00M,-185.00M,-175.00M,2.646B,776.00M,1.87B,,,1.87B,2.001B,3.569B,709.00M,2.86B,0.37,0.0,,0.3959,0.37,0.37,0.0,,0.3956,0.37,5.044B,5.117B,0.05
2010-08,7.502B,7.502B,2.062B,5.44B,1.333B,272.00M,1.605B,1.103B,603.00M,-221.00M,196.00M,34.00M,-162.00M,,3.311B,2.129B,34.00M,196.00M,-162.00M,-172.00M,-162.00M,1.795B,443.00M,1.352B,,,1.352B,1.482B,2.693B,702.00M,1.991B,0.27,0.0,,0.2958,0.27,0.27,0.0,,0.2955,0.27,5.026B,5.083B,0.05
2010-05,9.505B,9.505B,2.242B,7.263B,1.745B,292.00M,2.037B,1.063B,604.00M,-236.00M,201.00M,31.00M,-170.00M,,3.704B,3.559B,31.00M,201.00M,-170.00M,-314.00M,-170.00M,3.075B,712.00M,2.363B,,,2.363B,2.574B,3.982B,706.00M,3.276B,0.47,,,0.5121,0.47,0.47,,,0.5115,0.47,5.02B,5.091B,0.05
2010-02,6.404B,6.404B,1.419B,4.985B,1.241B,236.00M,1.477B,823.00M,502.00M,-354.00M,186.00M,27.00M,-159.00M,,2.802B,2.183B,27.00M,186.00M,-159.00M,-442.00M,-159.00M,1.582B,393.00M,1.189B,,,1.189B,1.521B,2.343B,575.00M,1.768B,0.24,0.0,,0.3062,0.24,0.23,0.0,,0.2954,0.23,5.015B,5.076B,0.05
2009-11,5.858B,5.858B,1.096B,4.762B,1.133B,183.00M,1.316B,708.00M,436.00M,-91.00M,188.00M,,-188.00M,,2.46B,2.302B,,188.00M,-188.00M,-91.00M,-188.00M,2.023B,565.00M,1.458B,,,1.458B,1.524B,2.709B,498.00M,2.211B,0.29,0.0,,0.3031,0.29,0.29,0.0,,0.303,0.29,5.01B,5.064B,0.05
2009-08,5.054B,5.054B,1.008B,4.046B,960.00M,201.00M,1.161B,660.00M,431.00M,-53.00M,179.00M,,-179.00M,,2.252B,1.794B,,179.00M,-179.00M,-53.00M,-179.00M,1.562B,438.00M,1.124B,,,1.124B,1.162B,2.233B,492.00M,1.741B,0.22,0.0,,0.2276,0.22,0.22,0.0,,0.2275,0.22,5.009B,5.063B,0.05
2009-05,6.861B,6.861B,1.179B,5.682B,1.326B,214.00M,1.54B,730.00M,437.00M,-285.00M,159.00M,,120.00M,,2.707B,2.975B,,159.00M,120.00M,-340.00M,120.00M,2.755B,864.00M,1.891B,,,1.891B,2.087B,3.416B,502.00M,2.914B,0.37,0.0,,0.4092,0.37,0.37,0.0,,0.4088,0.37,4.995B,5.043B,0.05
2009-02,5.453B,5.453B,1.111B,4.342B,1.054B,192.00M,1.246B,677.00M,437.00M,-18.00M,154.00M,,-154.00M,,2.36B,1.982B,,154.00M,-154.00M,-18.00M,-154.00M,1.81B,481.00M,1.329B,,,1.329B,1.342B,2.465B,501.00M,1.964B,0.27,0.0,,0.2726,0.27,0.26,0.0,,0.2626,0.26,5.005B,5.056B,
2008-11,5.607B,5.607B,939.00M,4.668B,1.146B,174.00M,1.32B,651.00M,427.00M,-30.00M,157.00M,,-157.00M,257.00M,2.655B,2.013B,,157.00M,-157.00M,-30.00M,-157.00M,1.826B,530.00M,1.296B,,,1.296B,1.317B,2.479B,496.00M,1.983B,0.25,0.0,,0.2542,0.25,0.25,0.0,,0.2541,0.25,5.127B,5.187B,
2008-08,5.331B,5.331B,1.026B,4.305B,1.112B,488.00M,1.60B,708.00M,413.00M,19.00M,159.00M,,-159.00M,,2.721B,1.584B,,159.00M,-159.00M,19.00M,-159.00M,1.444B,367.00M,1.077B,,,1.077B,1.063B,2.08B,477.00M,1.603B,0.21,0.0,,0.2072,0.21,0.21,0.0,,0.2073,0.21,5.152B,5.235B,
2008-05,7.239B,7.239B,1.341B,5.898B,,,1.726B,734.00M,345.00M,185.00M,,,,,2.805B,3.093B,,,,185.00M,,2.941B,904.00M,2.037B,,,2.037B,1.909B,3.723B,411.00M,3.312B,0.4,0.0,,0.3751,0.4,0.39,0.0,,0.3655,0.39,5.148B,5.232B,
2008-02,5.349B,5.349B,1.243B,4.106B,,,1.289B,682.00M,292.00M,44.00M,,,,,2.263B,1.843B,,,,44.00M,,1.877B,537.00M,1.34B,,-17.00M,1.34B,1.309B,2.20B,357.00M,1.843B,0.26,0.0,,0.2539,0.26,0.26,0.0,,0.254,0.26,5.148B,5.235B,
2007-11,5.313B,5.313B,1.238B,4.075B,,,1.301B,674.00M,290.00M,21.00M,,,,,2.265B,1.81B,,,,21.00M,,1.815B,512.00M,1.303B,,-16.00M,1.303B,1.288B,2.17B,360.00M,1.81B,0.25,0.0,,0.2471,0.25,0.25,0.0,,0.2471,0.25,5.125B,5.232B,
2007-08,4.529B,4.529B,1.159B,3.37B,,,1.169B,652.00M,285.00M,30.00M,,,,,2.106B,1.264B,,,,30.00M,,1.20B,360.00M,840.00M,,,840.00M,819.00M,1.616B,352.00M,1.264B,0.16,0.0,,0.1559,0.16,0.16,0.0,,0.156,0.16,5.11B,5.217B,
2007-05,5.829B,5.829B,1.159B,4.67B,,,1.464B,599.00M,255.00M,-115.00M,,,,,2.318B,2.352B,,,,-115.00M,,2.264B,660.00M,1.604B,,,1.604B,1.685B,2.672B,320.00M,2.352B,0.32,0.0,,0.3359,0.32,0.3,0.0,,0.3156,0.3,5.122B,5.224B,
2007-02,4.414B,4.414B,1.03B,3.384B,,,1.142B,570.00M,222.00M,-9.00M,,,,,1.934B,1.45B,,,,-9.00M,,1.406B,373.00M,1.033B,,-20.00M,1.033B,1.040B,1.732B,282.00M,1.45B,0.2,0.0,,0.2013,0.2,0.2,0.0,,0.2013,0.2,5.159B,5.257B,
2006-11,4.163B,4.163B,1.025B,3.138B,,,1.085B,519.00M,202.00M,43.00M,,,,,1.806B,1.332B,,,,43.00M,,1.354B,387.00M,967.00M,,-20.00M,967.00M,936.29M,1.60B,268.00M,1.332B,0.19,0.0,,0.1841,0.19,0.18,0.0,,0.1742,0.18,5.184B,5.287B,
2006-08,3.591B,3.591B,980.00M,2.611B,,,907.00M,506.00M,198.00M,45.00M,,,,,1.611B,1.00B,,,,45.00M,,962.00M,292.00M,670.00M,,,670.00M,638.66M,1.257B,257.00M,1.00B,0.13,0.0,,0.124,0.13,0.13,0.0,,0.1241,0.13,5.217B,5.307B,
2006-05,4.851B,4.851B,964.00M,3.887B,,,1.246B,537.00M,185.00M,-55.00M,,,,,1.968B,1.919B,,,,-55.00M,,1.879B,579.00M,1.30B,,,1.30B,1.338B,2.134B,215.00M,1.919B,0.25,0.0,,0.2572,0.25,0.24,0.0,,0.2471,0.24,5.277B,5.362B,
2006-02,3.47B,3.47B,790.00M,2.68B,,,902.00M,467.00M,148.00M,-77.00M,,,,,1.517B,1.163B,,,,-77.00M,,1.078B,313.00M,765.00M,,-9.00M,765.00M,819.64M,1.395B,232.00M,1.163B,0.15,0.0,,0.1605,0.15,0.14,0.0,,0.1503,0.14,5.207B,5.304B,
2005-11,3.292B,3.292B,757.00M,2.535B,,,815.00M,468.00M,126.00M,-6.00M,,,,,1.409B,1.126B,,,,-3.00M,,1.122B,324.00M,798.00M,,-9.00M,798.00M,802.27M,1.293B,167.00M,1.126B,0.15,0.0,,0.1508,0.15,0.15,0.0,,0.1508,0.15,5.152B,5.238B,
2005-08,2.768B,2.768B,723.00M,2.045B,,,771.00M,400.00M,123.00M,-24.00M,,,,,1.294B,751.00M,,,,-22.00M,,733.00M,214.00M,519.00M,,,519.00M,535.99M,943.00M,192.00M,751.00M,0.1,0.0,,0.1033,0.1,0.1,0.0,,0.1032,0.1,5.148B,5.244B,
2005-05,3.878B,3.878B,790.00M,3.088B,,,957.00M,457.00M,122.00M,-173.00M,,,,,1.536B,1.552B,,,,-173.00M,,1.388B,366.00M,1.022B,,,1.022B,1.149B,1.738B,186.00M,1.552B,0.2,0.0,,0.2248,0.2,0.19,0.0,,0.2143,0.19,5.145B,5.237B,
2005-02,2.95B,2.95B,716.00M,2.234B,,,814.00M,411.00M,81.00M,-148.00M,,,,,1.306B,928.00M,,,,-148.00M,,771.00M,231.00M,540.00M,,-8.00M,540.00M,643.66M,1.062B,134.00M,928.00M,0.11,0.0,,0.1302,0.11,0.1,0.0,,0.1198,0.1,5.122B,5.23B,
2004-11,2.756B,2.756B,590.00M,2.166B,,,708.00M,320.00M,7.00M,29.00M,,,,,1.035B,1.131B,,,,29.00M,,1.154B,339.00M,815.00M,,,815.00M,794.52M,1.183B,52.00M,1.131B,0.16,0.0,,0.156,0.16,0.16,0.0,,0.1561,0.16,5.123B,5.218B,
2004-08,2.215B,2.215B,555.00M,1.66B,,,604.00M,303.00M,9.00M,-37.00M,,,,,916.00M,744.00M,,,,-37.00M,,738.00M,229.00M,509.00M,,,509.00M,534.52M,797.00M,53.00M,744.00M,0.1,0.0,,0.105,0.1,0.1,0.0,,0.1049,0.1,5.154B,5.241B,
2004-05,3.076B,3.076B,573.00M,2.503B,,,758.00M,320.00M,7.00M,-114.00M,,,,,1.085B,1.418B,,,,-114.00M,,1.419B,429.00M,990.00M,,,990.00M,1.070B,1.473B,55.00M,1.418B,0.19,0.0,,0.2053,0.19,0.18,0.0,,0.1951,0.18,5.185B,5.284B,
2004-02,2.509B,2.509B,582.00M,1.927B,,,655.00M,322.00M,8.00M,9.00M,,,,,985.00M,942.00M,,,,9.00M,,947.00M,312.00M,635.00M,,,635.00M,628.97M,1.00B,58.00M,942.00M,0.12,0.0,,0.1188,0.12,0.12,0.0,,0.1189,0.12,5.218B,5.337B,
2003-11,2.498B,2.498B,455.00M,2.043B,,,805.00M,323.00M,,-3.00M,,,,,1.128B,915.00M,,,,-7.00M,,916.00M,299.00M,617.00M,,-18.00M,617.00M,619.02M,975.00M,60.00M,915.00M,0.12,0.0,,0.1204,0.12,0.12,0.0,,0.1204,0.12,5.226B,5.337B,
