,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2015-03,2.362B,2.362B,1.581B,781.00M,,,,,,-18.00M,289.00M,,-289.00M,,514.00M,267.00M,,289.00M,-289.00M,-24.00M,-289.00M,-46.00M,35.00M,-81.00M,,,-81.00M,-66.60M,757.00M,514.00M,2015-03,-0.8073,,,-0.6647,2015-03,-0.8073,,-0.8073,,2015-03,100.96M,100.96M,,2015-03,AOR,Restated
2014-12,2.36B,2.36B,1.529B,831.00M,,,,,,-20.00M,273.00M,,-273.00M,,534.00M,297.00M,,273.00M,-273.00M,-24.00M,-273.00M,0.00,48.00M,-48.00M,,,-48.00M,-24.00M,807.00M,534.00M,2014-12,-0.4866,,,-0.2459,2014-12,-0.4866,,-0.4866,,2014-12,99.70M,99.70M,,2014-12,AOR,Restated
2014-09,2.287B,2.287B,1.518B,769.00M,,,,,,-16.00M,217.00M,,-217.00M,,535.00M,234.00M,,217.00M,-217.00M,-11.00M,-217.00M,6.00M,59.00M,-53.00M,,,-53.00M,-45.85M,758.00M,535.00M,2014-09,-0.5419,,,-0.4692,2014-09,-0.5419,,-0.5419,,2014-09,98.37M,98.37M,,2014-09,AOR,Restated
2014-06,2.259B,2.259B,1.479B,780.00M,,,,,,-16.00M,210.00M,,-210.00M,,528.00M,252.00M,,210.00M,-210.00M,-22.00M,-210.00M,20.00M,65.00M,-45.00M,,,-45.00M,-30.70M,758.00M,528.00M,2014-06,-0.4645,,,-0.3180,2014-06,-0.4645,,-0.4645,,2014-06,97.63M,97.63M,,2014-06,AOR,Restated
2014-03,2.202B,2.202B,1.447B,755.00M,,,,,,-10.00M,211.00M,,-211.00M,,505.00M,250.00M,,211.00M,-211.00M,-12.00M,-211.00M,27.00M,64.00M,-37.00M,,,-37.00M,-29.20M,743.00M,505.00M,2014-03,-0.3871,,,-0.3060,2014-03,-0.3871,,-0.3871,,2014-03,96.24M,96.24M,,2014-03,AOR,Restated
2013-12,2.148B,2.148B,1.395B,753.00M,,,,,,-9.00M,211.00M,,-211.00M,,500.00M,253.00M,,211.00M,-211.00M,-7.00M,-211.00M,35.00M,-4.00M,39.00M,,,39.00M,43.55M,746.00M,500.00M,2013-12,0.4203,,,0.4687,2013-12,0.3871,,0.3871,,2013-12,93.91M,93.91M,,2013-12,AOR,Restated
2013-09,2.118B,2.118B,1.397B,721.00M,,,,,,-19.00M,214.00M,,-214.00M,,493.00M,228.00M,,214.00M,-214.00M,-27.00M,-214.00M,-13.00M,57.00M,-70.00M,,,-70.00M,-52.45M,694.00M,493.00M,2013-09,-0.7520,,,-0.5635,2013-09,-0.7520,,-0.7520,,2013-09,93.06M,93.06M,,2013-09,AOR,Restated
2013-06,1.972B,1.972B,1.295B,677.00M,,,,,,-86.00M,211.00M,,-211.00M,,436.00M,241.00M,,211.00M,-211.00M,-68.00M,-211.00M,-38.00M,58.00M,-96.00M,,,-96.00M,-53.10M,609.00M,436.00M,2013-06,-1.062,,,-0.5901,2013-06,-1.062,,-1.062,,2013-06,90.96M,90.96M,,2013-06,AOR,Restated
2013-03,1.917B,1.917B,1.258B,659.00M,,,,,,-53.00M,210.00M,,-210.00M,,425.00M,234.00M,,210.00M,-210.00M,-57.00M,-210.00M,-33.00M,9.00M,-42.00M,,,-42.00M,-5.60M,602.00M,425.00M,2013-03,-0.4645,,,-0.0632,2013-03,-0.4645,,-0.4645,,2013-03,90.72M,90.72M,,2013-03,AOR,Restated
2012-12,1.913B,1.913B,1.228B,685.00M,,,,,,5.00M,216.00M,,-216.00M,,466.00M,219.00M,,216.00M,-216.00M,6.00M,-216.00M,9.00M,49.00M,-40.00M,,,-40.00M,-43.25M,691.00M,466.00M,2012-12,-0.4424,,,-0.4783,2012-12,-0.4424,,-0.4424,,2012-12,90.43M,90.43M,,2012-12,AOR,Restated
2012-09,1.88B,1.88B,1.242B,638.00M,,,,,,-3.00M,229.00M,,-229.00M,,424.00M,214.00M,,229.00M,-229.00M,-3.00M,-229.00M,-18.00M,69.00M,-87.00M,,,-87.00M,-85.05M,635.00M,424.00M,2012-09,-0.9622,,,-0.9405,2012-09,-0.9622,,-0.9622,,2012-09,90.14M,90.14M,,2012-09,AOR,Restated
2012-06,1.884B,1.884B,1.204B,680.00M,,,,,,-55.00M,225.00M,,-225.00M,,415.00M,265.00M,,225.00M,-225.00M,-55.00M,-225.00M,-15.00M,68.00M,-83.00M,,,-83.00M,-47.25M,625.00M,415.00M,2012-06,-0.9290,,,-0.5316,2012-06,-0.9290,,-0.9290,,2012-06,89.96M,89.96M,,2012-06,AOR,Restated
2012-03,1.827B,1.827B,1.186B,641.00M,,,,,,-18.00M,237.00M,,-237.00M,,408.00M,233.00M,,237.00M,-237.00M,-19.00M,-237.00M,-23.00M,71.00M,-94.00M,,,-94.00M,-82.30M,622.00M,408.00M,2012-03,-1.051,,,-0.9205,2012-03,-1.051,,-1.051,,2012-03,89.91M,89.91M,,2012-03,AOR,Restated
2011-12,1.834B,1.834B,2.22B,-386.00M,,,,,,-22.00M,,,-245.00M,,-658.00M,272.00M,,,-245.00M,-27.00M,-245.00M,0.00,67.00M,-67.00M,,,-67.00M,-45.00M,528.00M,411.00M,2011-12,-0.7189,,,-0.4870,2011-12,-0.7189,,-0.7189,,2011-12,94.88M,94.88M,,2011-12,AOR,Restated
2011-09,1.809B,1.809B,792.00M,1.017B,,,374.00M,,,-6.00M,,,-244.00M,1.00M,780.00M,237.00M,,,-244.00M,-6.00M,-244.00M,-13.00M,72.00M,-85.00M,,,-85.00M,-81.10M,642.00M,405.00M,2011-09,-0.8737,0.00,,-0.8339,2011-09,-0.8737,0.00,-0.8737,,2011-09,98.03M,98.03M,,2011-09,AOR,Restated
2011-06,1.791B,1.791B,784.00M,1.007B,,,343.00M,,,-2.00M,241.00M,,-241.00M,1.00M,737.00M,270.00M,,241.00M,-241.00M,-55.00M,-241.00M,-26.00M,81.00M,-107.00M,,,-107.00M,-71.25M,608.00M,393.00M,2011-06,-1.084,0.00,,-0.7220,2011-06,-1.084,0.00,-1.084,,2011-06,98.80M,98.80M,,2011-06,AOR,Restated
2011-03,1.77B,1.77B,768.00M,1.002B,,,345.00M,,,,233.00M,,-233.00M,5.00M,733.00M,269.00M,,233.00M,-233.00M,-67.00M,-233.00M,-31.00M,79.00M,-110.00M,,,-110.00M,-66.45M,585.00M,383.00M,2011-03,-1.073,0.00,,-0.6474,2011-03,-1.073,0.00,-1.073,,2011-03,102.38M,102.38M,,2011-03,AOR,Restated
2010-12,1.784B,1.784B,2.169B,-385.00M,,,,,,-88.00M,232.00M,,-232.00M,,-670.00M,285.00M,,232.00M,-232.00M,-54.00M,-232.00M,-1.00M,84.00M,-85.00M,,,-85.00M,-27.80M,621.00M,390.00M,2010-12,-0.8295,,,-0.2712,2010-12,-0.8295,,-0.8295,,2010-12,102.46M,102.46M,,2010-12,AOR,Restated
2010-09,1.769B,1.769B,788.00M,981.00M,,,356.00M,,,-1.00M,222.00M,,-222.00M,,741.00M,240.00M,,222.00M,-222.00M,-4.00M,-222.00M,14.00M,109.00M,-95.00M,,,-95.00M,-92.40M,621.00M,385.00M,2010-09,-0.9290,0.00,,-0.9036,2010-09,-0.9290,0.00,-0.9290,,2010-09,102.27M,102.27M,,2010-09,AOR,Restated
2010-06,1.771B,1.771B,773.00M,998.00M,,,357.00M,,,-38.00M,,,-219.00M,2.00M,739.00M,259.00M,,,-219.00M,-38.00M,-219.00M,2.00M,83.00M,-81.00M,,,-81.00M,-56.30M,639.00M,380.00M,2010-06,-0.7963,0.00,,-0.5548,2010-06,-0.7963,0.00,-0.7963,,2010-06,102.27M,102.27M,,2010-06,AOR,Restated
2010-03,1.735B,1.735B,756.00M,979.00M,,,347.00M,,,-4.00M,,,-204.00M,12.00M,728.00M,251.00M,,,-204.00M,-4.00M,-204.00M,43.00M,19.00M,24.00M,,,24.00M,26.60M,620.00M,369.00M,2010-03,0.2322,0.00,,0.2577,2010-03,0.2322,0.00,0.2322,,2010-03,102.19M,103.88M,,2010-03,AOR,Restated
2009-09,1.693B,1.693B,739.00M,954.00M,,,354.00M,,,-3.052B,,,-206.00M,10.00M,691.00M,263.00M,,,-206.00M,-3.052B,-206.00M,-2.995B,-565.00M,-2.43B,,,-1.035B,1.441B,590.00M,327.00M,2009-09,-3.019,0.00,,4.205,2009-09,-3.019,0.00,-3.019,,2009-09,342.75M,342.75M,,2009-09,AOR,Restated
2009-06,1.69B,1.69B,715.00M,975.00M,,,343.00M,,,-184.00M,,,-216.00M,2.00M,674.00M,301.00M,,,-216.00M,-184.00M,-216.00M,-99.00M,60.00M,-159.00M,,,-112.00M,7.60M,630.00M,329.00M,2009-06,-0.3318,0.00,,0.0172,2009-06,-0.3318,0.00,-0.3318,,2009-06,342.68M,342.68M,,2009-06,AOR,Restated
2009-03,1.662B,1.662B,713.00M,949.00M,,,344.00M,,,-144.00M,,,-463.00M,-50.00M,615.00M,334.00M,,,-463.00M,-144.00M,-463.00M,-273.00M,61.00M,-334.00M,,,-205.00M,-111.40M,655.00M,321.00M,2009-03,-0.5972,0.00,,-0.3234,2009-03,-0.5972,0.00,-0.5972,,2009-03,341.87M,341.87M,,2009-03,AOR,Restated
2008-12,1.656B,1.656B,703.00M,953.00M,,,342.00M,,,-1.591B,,,-486.00M,,620.00M,333.00M,,,-486.00M,,-486.00M,-1.774B,-277.00M,-1.497B,,,-1.496B,-153.43M,662.00M,329.00M,2008-12,-4.413,0.00,,-0.4842,2008-12,-4.413,0.00,-4.413,,2008-12,341.74M,341.74M,,2008-12,AOR,Restated
2008-09,1.636B,1.636B,710.00M,926.00M,,,371.00M,,,6.00M,,,-478.00M,15.00M,718.00M,208.00M,,,-478.00M,6.00M,-478.00M,-264.00M,57.00M,-321.00M,,,-322.00M,-325.90M,540.00M,332.00M,2008-09,-0.9511,0.00,,-0.9626,2008-09,-0.9511,0.00,-0.9511,,2008-09,338.30M,338.30M,,2008-09,,Restated
2008-06,1.623B,1.623B,698.00M,925.00M,,,342.00M,,,26.00M,,,-475.00M,25.00M,695.00M,230.00M,,,-475.00M,26.00M,-475.00M,-213.00M,59.00M,-272.00M,,,-274.00M,-290.90M,558.00M,328.00M,2008-06,-0.8184,0.00,,-0.8687,2008-06,-0.8184,0.00,-0.8184,,2008-06,336.05M,336.05M,,2008-06,,Restated
2008-03,1.564B,1.564B,681.00M,883.00M,,,346.00M,,,-38.00M,,,-466.00M,11.00M,678.00M,205.00M,,,-466.00M,-38.00M,-466.00M,-299.00M,58.00M,-357.00M,,,-359.00M,-334.30M,526.00M,321.00M,2008-03,-1.073,0.00,,-0.9990,2008-03,-1.073,0.00,-1.073,,2008-03,334.63M,334.63M,,2008-03,,Restated
2007-12,1.553B,1.553B,663.00M,890.00M,,,328.00M,,,-154.00M,,,,,588.00M,302.00M,,,,-102.00M,,-339.00M,40.00M,-379.00M,,,-386.00M,-285.90M,631.00M,329.00M,2007-12,-1.161,0.00,,-0.8620,2007-12,-1.161,0.00,-1.161,,2007-12,334.51M,334.51M,,2007-12,,Restated
2007-09,1.525B,1.525B,679.00M,846.00M,,,341.00M,,,-84.00M,,,,64.00M,739.00M,107.00M,,,,-84.00M,,-366.00M,41.00M,-407.00M,,,-407.00M,-352.40M,441.00M,334.00M,2007-09,-1.217,0.00,,-1.053,2007-09,-1.217,0.00,-1.217,,2007-09,333.87M,333.87M,,2007-09,,
2007-06,1.499B,1.499B,647.00M,852.00M,,,318.00M,,,-29.00M,,,,,652.00M,200.00M,,,,-29.00M,,-301.00M,59.00M,-360.00M,,,-360.00M,-341.15M,534.00M,334.00M,2007-06,-1.084,0.00,,-1.027,2007-06,-1.084,0.00,-1.084,,2007-06,332.37M,332.37M,,2007-06,,
2007-03,1.425B,1.425B,631.00M,794.00M,,,307.00M,,,-2.00M,,,,,638.00M,156.00M,,,,-2.00M,,-312.00M,69.00M,-381.00M,,,-381.00M,-379.70M,487.00M,331.00M,2007-03,-1.150,0.00,,-1.146,2007-03,-1.150,0.00,-1.150,,2007-03,331.05M,331.05M,,2007-03,,
2006-12,1.413B,1.413B,608.00M,805.00M,,,305.00M,,,-10.00M,,,,7.00M,642.00M,163.00M,,,,-10.00M,,-315.00M,63.00M,-378.00M,-18.00M,,-396.00M,-372.00M,493.00M,330.00M,2006-12,-1.117,-0.0885,,-1.099,2006-12,-1.117,-0.0885,-1.205,,2006-12,330.69M,330.69M,,2006-12,,
2006-09,1.388B,1.388B,615.00M,773.00M,,,309.00M,,,69.00M,,,,64.00M,707.00M,66.00M,,,,69.00M,,-269.00M,64.00M,-333.00M,200.00M,,-133.00M,-374.40M,400.00M,334.00M,2006-09,-1.128,0.6746,,-1.268,2006-09,-1.128,0.6746,-0.4534,,2006-09,295.59M,295.59M,,2006-09,,
2006-06,1.383B,1.383B,611.00M,772.00M,,,279.00M,,,-28.00M,,,,7.00M,626.00M,146.00M,,,,-28.00M,,-350.00M,52.00M,-402.00M,20.00M,,-382.00M,-385.20M,486.00M,340.00M,2006-06,-1.405,0.0774,,-1.346,2006-06,-1.405,0.0774,-1.327,,2006-06,287.22M,287.22M,,2006-06,,
2006-03,1.32B,1.32B,604.00M,716.00M,,,275.00M,,,-88.00M,,,,,625.00M,91.00M,,,,-88.00M,,-465.00M,8.00M,-473.00M,14.00M,,-459.00M,-420.20M,449.00M,358.00M,2006-03,-1.648,0.0442,,-1.464,2006-03,-1.648,0.0442,-1.604,,2006-03,287.01M,287.01M,,2006-03,,
2005-12,1.287B,1.287B,558.00M,729.00M,,,266.00M,,,28.00M,,,,4.00M,621.00M,108.00M,,,,28.00M,,-307.00M,32.00M,-339.00M,3.00M,0.00,-336.00M,-355.80M,473.00M,365.00M,2005-12,-1.194,0.0111,,-1.253,2005-12,-1.194,0.0111,-1.183,,2005-12,287.13M,287.13M,,2005-12,,
2005-09,1.265B,1.265B,564.00M,701.00M,,,263.00M,,,485.00M,,,,22.00M,647.00M,54.00M,,,,485.00M,,96.00M,24.00M,72.00M,4.00M,1.00M,76.00M,-291.75M,429.00M,375.00M,2005-09,0.2544,0.0111,,-1.018,2005-09,0.0885,0.0111,0.0995,,2005-09,285.92M,915.59M,,2005-09,,
2005-06,1.266B,1.266B,546.00M,720.00M,,,250.00M,,,11.00M,,,,6.00M,620.00M,100.00M,,,,11.00M,,-334.00M,25.00M,-359.00M,4.00M,1.00M,-355.00M,-365.60M,478.00M,378.00M,2005-06,-1.305,0.0111,,-1.329,2005-06,-1.305,0.0111,-1.294,,2005-06,274.53M,274.53M,,2005-06,,
2005-03,1.271B,1.271B,559.00M,712.00M,,,237.00M,,,-8.00M,,,,43.00M,661.00M,51.00M,,,,-8.00M,,-337.00M,15.00M,-352.00M,,1.00M,-352.00M,-347.20M,432.00M,381.00M,2005-03,-1.283,0.00,,-1.265,2005-03,-1.283,0.00,-1.283,,2005-03,274.25M,274.25M,,2005-03,,
2004-12,1.059B,1.059B,442.00M,617.00M,,,196.00M,,,152.00M,,,,-119.00M,405.00M,212.00M,,,,152.00M,,-198.00M,-18.00M,-204.00M,,1.00M,-339.00M,-342.18M,602.00M,390.00M,2004-12,-1.205,0.00,0.00,-1.710,2004-12,-1.205,0.00,-1.205,,2004-12,274.09M,274.09M,,2004-12,,
2004-09,1.248B,1.248B,525.00M,723.00M,,,260.00M,,,-2.444B,,,,2.436B,3.067B,-2.344B,,,,-2.444B,,-2.776B,-213.00M,-2.529B,,1.00M,-3.294B,-272.53M,-1.973B,371.00M,2004-09,-12.04,0.00,-0.0000,-3.797,2004-09,-12.04,0.00,-12.04,,2004-09,273.62M,273.62M,,2004-09,,
2004-06,1.239B,1.239B,515.00M,724.00M,,,256.00M,,,-60.00M,,,,89.00M,709.00M,15.00M,,,,-60.00M,,-372.00M,43.00M,-415.00M,,1.00M,-415.00M,-379.00M,379.00M,364.00M,2004-06,-1.537,0.00,,-1.405,2004-06,-1.537,0.00,-1.537,,2004-06,271.73M,271.73M,,2004-06,,
2004-03,1.214B,1.214B,512.00M,702.00M,,,239.00M,,,65.00M,,,,-82.00M,527.00M,175.00M,,,,65.00M,,-239.00M,54.00M,-293.00M,,1.00M,-293.00M,-332.00M,545.00M,370.00M,2004-03,-1.106,0.00,,-1.252,2004-03,-1.106,0.00,-1.106,,2004-03,266.83M,266.83M,,2004-03,,
2003-12,1.217B,1.217B,495.00M,722.00M,,,241.00M,,,87.00M,,,,-64.00M,512.00M,210.00M,,,,87.00M,,-81.00M,-24.00M,-57.00M,,1.00M,-57.00M,-118.22M,545.00M,335.00M,2003-12,-0.2212,0.00,,-0.4506,2003-12,-0.2212,0.00,-0.2212,,2003-12,266.81M,266.81M,,2003-12,,
2003-09,1.207B,1.207B,484.00M,723.00M,,,236.00M,,,285.00M,,,,8.00M,606.00M,117.00M,,,,285.00M,,9.00M,-28.00M,37.00M,,1.00M,37.00M,-134.00M,479.00M,362.00M,2003-09,0.1327,0.00,,-0.5093,2003-09,0.0774,0.00,0.0774,,2003-09,266.35M,576.72M,,2003-09,,
2003-06,1.217B,1.217B,488.00M,729.00M,,,232.00M,,,-20.00M,,,,8.00M,617.00M,112.00M,,,,-20.00M,,-135.00M,-98.00M,-37.00M,,1.00M,-37.00M,-25.00M,498.00M,386.00M,2003-06,-0.1438,0.00,,-0.0987,2003-06,-0.1438,0.00,-0.1438,,2003-06,266.26M,266.26M,,2003-06,,
2003-03,1.178B,1.178B,485.00M,693.00M,,,235.00M,,,1.00M,,,,2.00M,607.00M,86.00M,,,,1.00M,,-141.00M,40.00M,-181.00M,,1.00M,-181.00M,-181.60M,456.00M,370.00M,2003-03,-0.6857,0.00,,-0.6879,2003-03,-0.6857,0.00,-0.6857,,2003-03,266.26M,266.26M,,2003-03,,
