,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2013-12,10.57B,10.57B,8.998B,1.576B,1.038B,,57.00M,3.00M,-58.00M,,1.038B,538.00M,3.00M,57.00M,-58.00M,115.00M,-58.00M,595.00M,111.00M,484.00M,18.00M,-33.00M,,469.00M,448.57M,652.00M,,2013-12,0.7016,0.0314,,2013-12,0.6911,0.0314,0.6874,2013-12,643.77M,651.50M,2013-12,AOR,Restated
2013-09,6.435B,6.435B,4.729B,1.706B,603.00M,-705.00M,60.00M,7.00M,-59.00M,,603.00M,1.103B,7.00M,60.00M,-59.00M,-606.00M,-59.00M,438.00M,447.00M,-9.00M,153.00M,-39.00M,,105.00M,407.00M,498.00M,,2013-09,0.1608,0.2094,,2013-09,0.1571,0.2094,0.8469,2013-09,652.93M,659.62M,2013-09,AOR,Restated
2013-06,10.50B,10.50B,8.935B,1.564B,977.00M,-114.00M,67.00M,5.00M,-67.00M,,977.00M,587.00M,5.00M,67.00M,-67.00M,-40.00M,-67.00M,480.00M,-72.00M,552.00M,20.00M,-22.00M,,550.00M,626.90M,547.00M,,2013-06,0.8063,0.0314,,2013-06,0.8063,0.0314,0.9533,2013-06,653.12M,659.05M,2013-06,AOR,Restated
2013-03,10.10B,10.10B,8.662B,1.44B,1.044B,-84.00M,69.00M,3.00M,-71.00M,,1.044B,396.00M,3.00M,69.00M,-71.00M,68.00M,-71.00M,393.00M,214.00M,179.00M,14.00M,-29.00M,,164.00M,201.35M,462.00M,,2013-03,0.2304,0.0209,,2013-03,0.2304,0.0209,0.3084,2013-03,653.22M,658.38M,2013-03,AOR,Restated
2012-12,10.42B,10.42B,8.906B,1.516B,1.052B,,60.00M,4.00M,-61.00M,,1.052B,464.00M,4.00M,60.00M,-61.00M,85.00M,-61.00M,488.00M,99.00M,389.00M,,-30.00M,,359.00M,359.00M,548.00M,,2012-12,0.5550,,,2012-12,0.5445,,0.5445,2012-12,652.36M,655.80M,2012-12,AOR,Restated
2012-09,9.041B,9.041B,7.834B,1.207B,1.253B,-195.00M,66.00M,8.00M,-63.00M,,1.253B,-46.00M,8.00M,66.00M,-63.00M,-123.00M,-63.00M,-232.00M,-125.00M,-107.00M,,-28.00M,,-50.00M,-10.20M,-166.00M,,2012-09,-0.0123,,,2012-09,-0.0123,,0.1781,2012-09,651.98M,655.61M,2012-09,AOR,Restated
2012-06,10.58B,10.58B,9.04B,1.541B,973.00M,-52.00M,60.00M,2.00M,-60.00M,,973.00M,568.00M,2.00M,60.00M,-60.00M,19.00M,-60.00M,527.00M,71.00M,456.00M,,-25.00M,,431.00M,475.37M,587.00M,,2012-06,0.6597,,,2012-06,0.6597,,0.7271,2012-06,652.65M,657.80M,2012-06,AOR,Restated
2012-03,10.56B,10.56B,9.012B,1.553B,1.05B,0.00,63.00M,,-63.00M,,1.05B,503.00M,,63.00M,-63.00M,79.00M,-63.00M,519.00M,102.00M,417.00M,,-38.00M,,379.00M,379.00M,582.00M,,2012-03,0.5864,,,2012-03,0.5759,,0.5759,2012-03,649.40M,658.85M,2012-03,AOR,Restated
2011-12,10.42B,10.42B,8.881B,1.536B,1.035B,,49.00M,,-49.00M,,1.035B,501.00M,,49.00M,-49.00M,120.00M,-49.00M,572.00M,113.00M,459.00M,,-35.00M,,424.00M,424.00M,621.00M,,2011-12,0.6492,,,2011-12,0.6492,,0.6492,2011-12,649.21M,658.09M,2011-12,AOR,Restated
2011-09,10.79B,10.79B,9.167B,1.621B,1.338B,0.00,62.00M,,-81.00M,,1.338B,283.00M,,62.00M,-81.00M,146.00M,-81.00M,348.00M,-16.00M,364.00M,,-35.00M,,329.00M,329.00M,410.00M,,2011-09,0.5131,,,2011-09,0.5026,,0.5026,2011-09,648.92M,658.57M,2011-09,AOR,Restated
2011-06,10.36B,10.36B,8.814B,1.55B,1.094B,0.00,43.00M,,-43.00M,,1.094B,456.00M,,43.00M,-43.00M,56.00M,-43.00M,469.00M,89.00M,380.00M,,-23.00M,,357.00M,357.00M,512.00M,,2011-06,0.5550,0.00,,2011-06,0.5445,0.00,0.5445,2011-06,648.06M,660.10M,2011-06,AOR,Restated
2011-03,10.14B,10.14B,8.67B,1.474B,1.014B,,46.00M,,-46.00M,,1.014B,460.00M,,46.00M,-46.00M,61.00M,-46.00M,475.00M,90.00M,385.00M,,-31.00M,,354.00M,354.00M,521.00M,,2011-03,0.5445,0.00,,2011-03,0.5340,0.00,0.5340,2011-03,646.82M,659.90M,2011-03,AOR,Restated
2010-12,9.537B,9.537B,8.123B,1.414B,947.00M,,35.00M,,-35.00M,,947.00M,467.00M,,35.00M,-35.00M,66.00M,-35.00M,498.00M,95.00M,403.00M,,-28.00M,,375.00M,375.00M,533.00M,,2010-12,0.5864,0.00,,2010-12,0.5759,0.00,0.5759,2010-12,645.01M,656.85M,2010-12,AOR,Restated
2010-09,9.04B,9.04B,7.617B,1.423B,1.171B,,53.00M,,-53.00M,,1.171B,252.00M,,53.00M,-53.00M,98.00M,-53.00M,297.00M,4.00M,293.00M,,-28.00M,,265.00M,265.00M,350.00M,,2010-09,0.4084,,,2010-09,0.4084,,0.4084,2010-09,642.91M,652.36M,2010-09,AOR,Restated
2010-06,8.54B,8.54B,7.201B,1.339B,895.00M,,39.00M,,-39.00M,,895.00M,444.00M,,39.00M,-39.00M,52.00M,-39.00M,457.00M,31.00M,426.00M,,-8.00M,,418.00M,418.00M,496.00M,,2010-06,0.6492,0.00,,2010-06,0.6387,0.00,0.6387,2010-06,642.43M,652.74M,2010-06,AOR,
2010-03,8.317B,8.317B,7.094B,1.223B,847.00M,,43.00M,,-43.00M,,847.00M,376.00M,,43.00M,-43.00M,51.00M,-43.00M,384.00M,87.00M,297.00M,,-23.00M,,274.00M,274.00M,427.00M,,2010-03,0.4293,0.00,,2010-03,0.4188,0.00,0.4188,2010-03,641.47M,651.88M,2010-03,AOR,Restated
2009-12,8.408B,8.408B,7.172B,1.236B,883.00M,,35.00M,,-35.00M,,883.00M,353.00M,,35.00M,-35.00M,53.00M,-35.00M,371.00M,5.00M,366.00M,,-16.00M,,350.00M,350.00M,406.00M,,2009-12,0.5445,0.00,,2009-12,0.5445,0.00,0.5445,2009-12,640.42M,650.36M,2009-12,AOR,Restated
2009-09,7.867B,7.867B,6.724B,1.143B,761.00M,-111.00M,72.00M,,-72.00M,,761.00M,382.00M,,72.00M,-72.00M,-84.00M,-72.00M,226.00M,-77.00M,303.00M,,-3.00M,,300.00M,372.15M,298.00M,,2009-09,0.5236,0.00,,2009-09,0.5236,0.00,0.6496,2009-09,572.52M,572.52M,2009-09,AOR,Restated
2009-06,6.979B,6.979B,5.94B,1.039B,787.00M,0.00,65.00M,,-65.00M,,787.00M,252.00M,,65.00M,-65.00M,30.00M,-65.00M,217.00M,50.00M,167.00M,,-4.00M,,163.00M,163.00M,282.00M,,2009-06,0.2827,0.00,,2009-06,0.2723,0.00,0.2723,2009-06,567.94M,645.77M,2009-06,AOR,Restated
2009-03,6.315B,6.315B,5.633B,682.00M,803.00M,-230.00M,46.00M,,-46.00M,,803.00M,-121.00M,,46.00M,-46.00M,-228.00M,-46.00M,-395.00M,-183.00M,-212.00M,,19.00M,,-193.00M,-43.50M,-349.00M,,2009-03,-0.3456,0.00,,2009-03,-0.3456,0.00,-0.0818,2009-03,566.89M,566.89M,2009-03,AOR,Restated
2008-12,7.336B,7.336B,6.651B,685.00M,859.00M,,56.00M,,-56.00M,,859.00M,-174.00M,,56.00M,-56.00M,-136.00M,-56.00M,-366.00M,242.00M,-608.00M,,0.00,,-608.00M,-608.00M,-310.00M,,2008-12,-1.068,0.00,,2008-12,-1.068,0.00,-1.068,2008-12,566.79M,566.79M,2008-12,,Restated
2008-09,9.307B,9.307B,7.883B,1.424B,850.00M,-495.00M,54.00M,,-54.00M,,850.00M,574.00M,,54.00M,-54.00M,-464.00M,-54.00M,56.00M,55.00M,1.00M,,15.00M,,16.00M,337.75M,110.00M,,2008-09,0.0314,0.00,,2008-09,0.0314,0.00,0.5925,2008-09,566.70M,573.48M,2008-09,AOR,Restated
2008-06,9.865B,9.865B,8.38B,1.485B,877.00M,0.00,69.00M,,-69.00M,,877.00M,608.00M,,69.00M,-69.00M,37.00M,-69.00M,576.00M,121.00M,455.00M,,-16.00M,,439.00M,439.00M,645.00M,,2008-06,0.7749,0.00,,2008-06,0.7644,0.00,0.7644,2008-06,566.22M,573.86M,2008-06,,Restated
2008-03,9.406B,9.406B,8.096B,1.31B,888.00M,0.00,66.00M,,-66.00M,,888.00M,422.00M,,66.00M,-66.00M,31.00M,-66.00M,387.00M,81.00M,306.00M,,-17.00M,,289.00M,289.00M,453.00M,,2008-03,0.5131,0.00,,2008-03,0.5026,0.00,0.5026,2008-03,566.12M,573.67M,2008-03,,Restated
2007-12,9.484B,9.484B,8.177B,1.307B,950.00M,,,,,,950.00M,357.00M,,,,17.00M,,305.00M,64.00M,235.00M,,-6.00M,,235.00M,235.00M,357.00M,,2007-12,0.4188,0.00,,2007-12,0.4084,0.00,0.4084,2007-12,561.06M,575.45M,2007-12,,
2007-09,9.011B,9.011B,7.586B,1.425B,786.00M,,,,,,786.00M,639.00M,,,,21.00M,,592.00M,124.00M,469.00M,-3.00M,1.00M,,466.00M,469.00M,728.00M,,2007-09,2.484,-0.0159,,2007-09,2.484,-0.0159,2.484,2007-09,188.83M,188.83M,2007-09,AOR,Restated
2007-06,8.911B,8.911B,7.527B,1.384B,831.00M,,,,,,831.00M,553.00M,,,,20.00M,,502.00M,106.00M,396.00M,,,,396.00M,396.00M,553.00M,,2007-06,8.419,0.00,,2007-06,8.293,0.00,8.293,2007-06,47.04M,47.75M,2007-06,,
2007-03,8.492B,8.492B,7.299B,1.193B,861.00M,,,,,,861.00M,332.00M,,,,19.00M,,282.00M,17.00M,262.00M,-34.00M,-3.00M,,228.00M,262.00M,332.00M,,2007-03,5.571,-0.7120,,2007-03,5.487,-0.7120,5.487,2007-03,46.93M,47.75M,2007-03,,
2006-12,8.21B,8.21B,7.136B,1.074B,803.00M,,,,,,803.00M,271.00M,,,,29.00M,,231.00M,53.00M,168.00M,-6.00M,-10.00M,,162.00M,168.00M,271.00M,,2006-12,0.3037,-0.0105,,2006-12,0.2932,-0.0105,0.2932,2006-12,46.91M,46.91M,2006-12,,
2006-09,8.15B,8.15B,6.904B,1.246B,732.00M,-1.00M,,,,,732.00M,514.00M,,,,39.00M,,478.00M,100.00M,368.00M,-1.00M,-10.00M,,360.00M,368.79M,429.00M,,2006-09,7.723,-0.0214,,2006-09,7.723,-0.0214,7.740,2006-09,46.74M,46.74M,2006-09,AOR,Restated
2006-06,8.39B,8.39B,7.178B,1.212B,736.00M,-197.00M,,,,,736.00M,476.00M,,,,-169.00M,,233.00M,-111.00M,336.00M,2.00M,-8.00M,,338.00M,454.20M,476.00M,,2006-06,7.204,0.0419,,2006-06,7.120,0.0419,9.625,2006-06,46.65M,47.19M,2006-06,,
2006-03,8.167B,8.167B,7.114B,1.053B,787.00M,-8.00M,,,,,787.00M,266.00M,,,,12.00M,,209.00M,36.00M,162.00M,3.00M,-11.00M,,165.00M,168.62M,266.00M,,2006-03,3.476,0.0838,,2006-03,3.476,0.0419,3.618,2006-03,46.35M,46.90M,2006-03,,
2005-12,7.528B,7.528B,6.606B,922.00M,681.00M,,,,,,681.00M,241.00M,,,,24.00M,,218.00M,38.00M,167.00M,-2.00M,-13.00M,,165.00M,167.00M,241.00M,,2005-12,3.644,-0.0419,,2005-12,3.602,-0.0419,3.602,2005-12,45.81M,46.35M,2005-12,,
2005-09,6.90B,6.90B,5.951B,949.00M,513.00M,-3.00M,,,,,513.00M,436.00M,,,,10.00M,,415.00M,110.00M,292.00M,-9.00M,-13.00M,,283.00M,294.20M,271.00M,,2005-09,6.366,-0.2094,,2005-09,6.325,-0.2094,6.372,2005-09,46.05M,46.31M,2005-09,AOR,Restated
2005-06,7.062B,7.062B,6.162B,900.00M,532.00M,-8.00M,,,,,532.00M,368.00M,,,,11.00M,,356.00M,94.00M,255.00M,,-7.00M,,255.00M,260.89M,368.00M,,2005-06,5.571,0.00,,2005-06,5.487,0.00,5.614,2005-06,45.78M,46.47M,2005-06,,
2005-03,6.899B,6.899B,6.072B,827.00M,574.00M,-222.00M,,,,,574.00M,253.00M,,,,-203.00M,,22.00M,-38.00M,54.00M,149.00M,-6.00M,,203.00M,187.20M,253.00M,,2005-03,1.173,3.267,,2005-03,1.173,3.183,4.031,2005-03,45.72M,46.60M,2005-03,,
2004-12,6.618B,6.618B,5.812B,805.40M,586.10M,-4.20M,,,,,586.10M,219.30M,,,,17.10M,,209.90M,38.90M,156.20M,12.20M,-14.80M,,168.40M,159.62M,219.30M,,2004-12,3.435,0.2513,,2004-12,3.393,0.2513,3.467,2004-12,45.69M,46.21M,2004-12,,
2004-09,5.679B,5.679B,4.928B,750.80M,450.80M,-96.60M,,,,0.00,450.80M,300.00M,,,,-52.70M,,303.20M,50.60M,254.50M,18.50M,1.90M,,273.00M,334.98M,263.20M,,2004-09,5.654,0.4188,,2004-09,5.529,0.3770,7.257,2004-09,45.22M,46.58M,2004-09,AOR,Restated
2004-06,6.476B,6.476B,5.602B,873.90M,530.80M,-20.70M,,,,,530.80M,343.10M,,,,-2.30M,,319.60M,91.00M,209.30M,13.00M,-19.30M,,222.30M,224.11M,343.10M,,2004-06,4.607,0.2932,,2004-06,4.524,0.2932,4.844,2004-06,45.36M,46.15M,2004-06,,
2004-03,6.306B,6.306B,5.489B,817.80M,575.20M,-4.20M,,,,-84.40M,490.80M,327.00M,,,,12.10M,,231.70M,65.50M,147.50M,10.20M,-18.70M,,157.70M,150.51M,327.00M,,2004-03,3.267,0.2094,,2004-03,3.225,0.2094,3.291,2004-03,45.36M,45.92M,2004-03,,
2003-12,6.293B,6.293B,5.447B,845.60M,592.10M,-24.60M,,,,,592.10M,253.50M,,,,-6.80M,,221.40M,46.70M,159.20M,5.30M,-15.50M,,164.50M,178.61M,253.50M,,2003-12,3.644,0.1257,,2003-12,3.476,0.1257,4.339,2003-12,22.51M,22.51M,2003-12,,
2003-09,6.000B,6.000B,5.127B,872.90M,512.80M,-26.30M,,,,,512.80M,360.10M,,,,-8.90M,,325.50M,100.90M,267.10M,,-4.30M,5.50M,220.30M,238.45M,369.70M,,2003-09,9.979,,,2003-09,9.979,,10.82,2003-09,21.52M,21.52M,2003-09,AOR,Restated
2003-06,5.960B,5.960B,5.124B,835.70M,519.40M,-11.70M,,,,,519.40M,316.30M,,,,2.90M,,295.80M,91.70M,190.00M,,-14.10M,,190.00M,198.07M,316.30M,,2003-06,4.398,0.00,,2003-06,4.188,0.00,4.548,2003-06,21.42M,22.46M,2003-06,,
2003-03,5.503B,5.503B,4.741B,762.20M,524.90M,-15.10M,,,,,524.90M,237.30M,,,,-0.50M,,209.50M,64.80M,132.20M,,-12.50M,,132.20M,142.63M,237.30M,,2003-03,6.115,0.00,,2003-03,5.864,0.00,6.326,2003-03,21.62M,22.54M,2003-03,,
2002-12,5.183B,5.183B,4.434B,749.40M,501.50M,-2.40M,,,,,501.50M,247.90M,,,,5.90M,,226.70M,70.40M,140.40M,,-15.90M,1.70M,140.40M,142.05M,247.90M,,2002-12,0.2720,0.00,,2002-12,0.2580,0.00,0.2611,2002-12,509.91M,541.45M,2002-12,,
