,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-03,7.891B,8.426B,6.427B,1.999B,319.00M,,319.00M,,,-51.00M,139.00M,11.00M,-128.00M,1.309B,1.628B,371.00M,11.00M,139.00M,-128.00M,-93.00M,-128.00M,150.00M,51.00M,99.00M,,,,,99.00M,132.66M,289.00M,,289.00M,,0.32,,,,0.4273,0.32,,0.32,,,,0.4270,0.32,,313.70M,314.60M,0.00,,AOR,Restated
2016-12,10.04B,9.054B,6.24B,2.814B,408.00M,,408.00M,,,-76.00M,184.00M,11.00M,-173.00M,1.319B,1.727B,1.087B,11.00M,184.00M,-173.00M,-76.00M,-173.00M,838.00M,470.00M,368.00M,,,,,368.00M,413.60M,1.022B,,1.022B,,1.262,,,,1.407,1.262,,1.26,,,,1.404,1.26,,314.90M,315.60M,0.00,,AOR,Restated
2016-09,8.827B,9.913B,6.468B,3.445B,345.00M,,345.00M,,,-45.00M,130.00M,14.00M,-116.00M,1.431B,1.776B,1.669B,14.00M,130.00M,-116.00M,-43.00M,-116.00M,1.51B,545.00M,965.00M,,,,,965.00M,993.76M,1.64B,,1.64B,,3.02,,,,3.110,3.02,,3.01,,,,3.100,3.01,,320.00M,320.40M,0.00,,AOR,Restated
2016-06,8.311B,9.396B,6.235B,3.161B,339.00M,,339.00M,,,-434.00M,143.00M,9.00M,-134.00M,1.328B,1.667B,1.494B,9.00M,143.00M,-134.00M,-429.00M,-134.00M,931.00M,343.00M,588.00M,,,,,588.00M,861.85M,1.074B,,1.074B,,1.78,,,,2.609,1.78,,1.78,,,,2.608,1.78,,330.50M,330.80M,0.00,,AOR,Restated
2016-03,7.184B,8.195B,5.814B,2.381B,303.00M,,303.00M,,,-190.00M,145.00M,8.00M,-137.00M,1.239B,1.542B,839.00M,8.00M,145.00M,-137.00M,-208.00M,-137.00M,494.00M,181.00M,313.00M,,,,,313.00M,433.46M,639.00M,,639.00M,,0.88,,,,1.220,0.88,,0.88,,,,1.220,0.88,,354.30M,354.60M,0.00,,AOR,Restated
2015-12,7.96B,9.036B,6.212B,2.824B,316.00M,,316.00M,,,-131.00M,154.00M,9.00M,-145.00M,1.296B,1.612B,1.212B,9.00M,154.00M,-145.00M,-162.00M,-145.00M,905.00M,82.00M,823.00M,,,,,823.00M,942.13M,1.059B,,1.059B,,2.24,,,,2.564,2.24,,2.24,,,,2.564,2.24,,367.40M,367.60M,0.00,,AOR,Restated
2015-09,9.195B,10.31B,6.669B,3.637B,366.00M,,366.00M,,,-76.00M,151.00M,5.00M,-146.00M,1.296B,1.662B,1.975B,5.00M,151.00M,-146.00M,-223.00M,-146.00M,1.606B,-3.21B,4.816B,,,,,4.816B,4.862B,1.757B,,1.757B,,12.83,,,,12.95,12.83,,12.82,,,,12.94,12.82,,375.00M,376.00M,0.00,,AOR,Restated
2015-06,8.905B,9.914B,6.766B,3.148B,348.00M,,348.00M,,,-55.00M,154.00M,6.00M,-148.00M,1.30B,1.648B,1.50B,6.00M,154.00M,-148.00M,-155.00M,-148.00M,1.197B,4.00M,1.193B,,,,,1.193B,1.248B,1.351B,,1.351B,,3.14,,,,3.284,3.14,,3.14,,,,3.284,3.14,,380.00M,380.00M,0.00,,AOR,Restated
2015-03,7.662B,8.608B,6.305B,2.303B,312.00M,,312.00M,,,-64.00M,161.00M,5.00M,-156.00M,1.186B,1.498B,805.00M,5.00M,161.00M,-156.00M,-138.00M,-156.00M,511.00M,3.00M,508.00M,,,,,508.00M,571.68M,672.00M,,672.00M,,1.33,,,,1.497,1.33,,1.32,,,,1.486,1.32,,382.00M,384.00M,0.00,,AOR,Restated
2014-12,8.343B,9.313B,7.007B,2.306B,334.00M,,334.00M,,,-179.00M,164.00M,5.00M,-159.00M,1.168B,1.502B,804.00M,5.00M,164.00M,-159.00M,-622.00M,-159.00M,23.00M,-5.00M,28.00M,,,,,28.00M,144.35M,187.00M,,187.00M,,0.08,,,,0.3908,0.08,,0.07,,,,0.3808,0.07,,374.40M,374.40M,0.00,,AOR,Restated
2014-09,9.551B,10.56B,7.714B,2.849B,375.00M,,375.00M,,,-43.00M,173.00M,8.00M,-165.00M,1.24B,1.615B,1.234B,8.00M,173.00M,-165.00M,-149.00M,-165.00M,920.00M,-4.00M,924.00M,,,,,924.00M,951.95M,1.093B,,1.093B,,2.50,,,,2.576,2.50,,2.37,,,,2.441,2.37,,370.00M,393.00M,0.00,,AOR,Restated
2014-06,9.213B,10.33B,7.556B,2.773B,346.00M,,346.00M,,,-169.00M,173.00M,4.00M,-169.00M,1.352B,1.698B,1.075B,4.00M,173.00M,-169.00M,-115.00M,-169.00M,791.00M,2.00M,789.00M,,,,,789.00M,957.57M,964.00M,,964.00M,,2.12,,,,2.572,2.12,,2.01,,,,2.436,2.01,,373.00M,396.00M,0.00,,AOR,Restated
2014-03,7.593B,8.696B,7.292B,1.404B,318.00M,,318.00M,,,-52.00M,173.00M,5.00M,-168.00M,1.383B,1.701B,-297.00M,5.00M,173.00M,-168.00M,-141.00M,-168.00M,-606.00M,3.00M,-609.00M,,,,,-609.00M,-575.20M,-433.00M,,-433.00M,,-1.66,,,,-1.568,-1.66,,-1.66,,,,-1.568,-1.66,,368.00M,368.00M,0.00,,AOR,Restated
2013-12,8.197B,9.329B,7.289B,2.04B,338.00M,,338.00M,,,-165.00M,179.00M,5.00M,-174.00M,1.302B,1.64B,400.00M,5.00M,179.00M,-174.00M,-114.00M,-174.00M,112.00M,-28.00M,140.00M,,,,,140.00M,247.25M,291.00M,,291.00M,,0.39,,,,0.6855,0.39,,0.37,,,,0.6422,0.37,,363.00M,394.00M,0.00,,AOR,Restated
2013-09,9.117B,10.23B,7.77B,2.458B,377.00M,,377.00M,,,-211.00M,183.00M,5.00M,-178.00M,1.362B,1.739B,719.00M,5.00M,183.00M,-178.00M,-159.00M,-178.00M,382.00M,3.00M,379.00M,,,,,379.00M,588.34M,565.00M,,565.00M,,1.06,,,,1.646,1.06,,0.98,,,,1.510,0.98,,357.00M,395.00M,0.00,,AOR,Restated
2013-06,8.904B,10.00B,7.518B,2.483B,347.00M,,347.00M,,,-52.00M,182.00M,6.00M,-176.00M,1.314B,1.661B,822.00M,6.00M,182.00M,-176.00M,-175.00M,-176.00M,471.00M,2.00M,469.00M,,,,,469.00M,520.78M,653.00M,,653.00M,,1.37,,,,1.522,1.37,,1.21,,,,1.341,1.21,,341.00M,394.00M,0.00,,AOR,Restated
2013-03,7.786B,8.721B,7.348B,1.373B,328.00M,,328.00M,,,-92.00M,190.00M,5.00M,-185.00M,1.217B,1.545B,-172.00M,5.00M,190.00M,-185.00M,-69.00M,-185.00M,-426.00M,-9.00M,-417.00M,,,,,-417.00M,-326.94M,-236.00M,,-236.00M,,-1.256,,,,-0.9848,-1.256,,-1.256,,,,-0.9848,-1.256,,332.00M,332.00M,0.00,,AOR,Restated
2012-12,7.776B,8.702B,7.20B,1.502B,314.00M,,314.00M,,,-439.00M,193.00M,7.00M,-186.00M,1.214B,1.528B,-26.00M,7.00M,193.00M,-186.00M,-420.00M,-186.00M,-632.00M,-12.00M,-620.00M,,,,,-620.00M,-189.34M,-439.00M,,-439.00M,,-1.87,,,,-0.5689,-1.87,,-1.87,,,,-0.5689,-1.87,,331.00M,331.00M,0.00,,AOR,Restated
2012-09,9.02B,9.909B,7.669B,2.24B,356.00M,,356.00M,,,-514.00M,193.00M,4.00M,-189.00M,1.17B,1.526B,714.00M,4.00M,193.00M,-189.00M,-510.00M,-189.00M,15.00M,9.00M,6.00M,,,,,6.00M,340.10M,208.00M,,208.00M,,0.02,,,,1.029,0.02,,0.02,,,,1.026,0.02,,331.00M,332.00M,0.00,,AOR,Restated
2012-06,9.033B,9.939B,7.639B,2.30B,345.00M,,345.00M,,,-206.00M,204.00M,7.00M,-197.00M,1.174B,1.519B,781.00M,7.00M,204.00M,-197.00M,-244.00M,-197.00M,340.00M,1.00M,339.00M,,,,,339.00M,544.39M,544.00M,,544.00M,,1.02,,,,1.641,1.02,,0.89,,,,1.413,0.89,,331.00M,393.00M,0.00,,AOR,Restated
2012-03,7.772B,8.602B,7.249B,1.353B,337.00M,,337.00M,,,-164.00M,208.00M,5.00M,-203.00M,1.123B,1.46B,-107.00M,5.00M,208.00M,-203.00M,-137.00M,-203.00M,-447.00M,1.00M,-448.00M,,,,,-448.00M,-341.40M,-239.00M,,-239.00M,,-1.36,,,,-1.037,-1.36,,-1.36,,,,-1.037,-1.36,,330.00M,330.00M,0.00,,AOR,Restated
2011-12,5.496B,8.928B,14.80B,-5.872B,333.00M,,-6.169B,,,-155.00M,210.00M,5.00M,-205.00M,1.16B,-6.166B,294.00M,5.00M,210.00M,-205.00M,-235.00M,-205.00M,-146.00M,-8.00M,-138.00M,,,,,-138.00M,8.507M,454.00M,390.00M,64.00M,,-0.42,,,,0.0253,-0.42,,-0.42,,,,0.0059,-0.42,,329.00M,344.00M,0.00,,AOR,Restated
2011-09,10.17B,10.17B,4.913B,5.258B,377.00M,2.275B,2.652B,,255.00M,-184.00M,217.00M,6.00M,-211.00M,1.167B,4.203B,1.055B,6.00M,217.00M,-211.00M,-184.00M,-211.00M,660.00M,7.00M,653.00M,,,,,653.00M,835.05M,1.261B,384.00M,877.00M,,1.97,0.00,,,2.522,1.97,,1.69,0.00,,,2.154,1.69,,330.00M,392.00M,0.00,,AOR,Restated
2011-06,9.809B,9.809B,4.788B,5.021B,375.00M,2.168B,2.543B,,252.00M,-175.00M,242.00M,5.00M,-237.00M,1.139B,4.067B,954.00M,5.00M,242.00M,-237.00M,-175.00M,-237.00M,542.00M,4.00M,538.00M,,,,,538.00M,711.71M,1.169B,385.00M,784.00M,,1.63,0.00,,,2.156,1.63,,1.39,0.00,,,1.824,1.39,,330.00M,400.00M,0.00,,AOR,Restated
2011-03,8.202B,8.202B,4.41B,3.792B,350.00M,1.806B,2.156B,,726.00M,-78.00M,254.00M,10.00M,-244.00M,1.137B,3.681B,111.00M,10.00M,254.00M,-244.00M,-78.00M,-244.00M,-211.00M,2.00M,-213.00M,,,,,-213.00M,-162.30M,431.00M,388.00M,43.00M,,-0.65,0.00,,,-0.4954,-0.65,,-0.65,0.00,,,-0.4954,-0.65,,328.00M,328.00M,0.00,,AOR,Restated
2010-12,6.207B,8.464B,10.30B,-1.832B,338.00M,,-2.842B,,,-526.00M,243.00M,0.00,-243.00M,1.286B,-2.232B,400.00M,0.00,243.00M,-243.00M,-481.00M,-243.00M,-324.00M,1.00M,-325.00M,,,,,-325.00M,16.90M,322.00M,403.00M,-81.00M,,-0.9941,,,,0.0485,-0.9941,,-1.70,,,,-0.6574,-1.70,,327.92M,327.92M,0.00,,AOR,Restated
2010-09,5.417B,5.417B,2.563B,2.854B,204.00M,1.129B,1.333B,,350.00M,-47.00M,177.00M,7.00M,-170.00M,685.00M,2.25B,604.00M,7.00M,177.00M,-170.00M,-47.00M,-170.00M,387.00M,0.00,387.00M,,,,,387.00M,434.00M,796.00M,232.00M,564.00M,,2.30,0.00,,,2.580,2.30,,1.75,0.00,,,1.95,1.75,,168.00M,235.00M,0.00,,AOR,Restated
2010-06,5.161B,5.161B,2.407B,2.754B,198.00M,1.142B,1.34B,,81.00M,-103.00M,178.00M,5.00M,-173.00M,644.00M,2.207B,547.00M,5.00M,178.00M,-173.00M,-103.00M,-173.00M,271.00M,-2.00M,273.00M,,,,,273.00M,339.95M,672.00M,223.00M,449.00M,,1.62,0.00,,,2.019,1.62,,1.29,0.00,,,1.575,1.29,,168.00M,235.00M,0.00,,AOR,Restated
2010-03,4.241B,4.241B,2.155B,2.086B,172.00M,990.00M,1.162B,,338.00M,6.00M,183.00M,1.00M,-182.00M,609.00M,1.992B,94.00M,1.00M,183.00M,-182.00M,6.00M,-182.00M,-82.00M,1.00M,-82.00M,,,,,-82.00M,-85.90M,322.00M,221.00M,101.00M,,-0.49,0.00,,,-0.5134,-0.49,,-0.49,0.00,,,-0.5134,-0.49,,167.00M,167.00M,0.00,,AOR,Restated
2009-12,4.193B,4.193B,-148.00M,4.341B,268.00M,1.081B,1.349B,,416.00M,-106.00M,170.00M,14.00M,-156.00M,1.868B,3.459B,882.00M,14.00M,170.00M,-156.00M,-106.00M,-156.00M,-212.00M,29.00M,-240.00M,,,,,-240.00M,-171.10M,200.00M,242.00M,-42.00M,,-1.49,0.00,,,-1.082,-1.49,,-1.49,0.00,,,-1.082,-1.49,,168.70M,168.70M,0.00,,AOR,Restated
2009-09,4.433B,4.433B,2.116B,2.317B,145.00M,954.00M,1.099B,,314.00M,-53.00M,143.00M,3.00M,-140.00M,239.00M,1.558B,759.00M,3.00M,143.00M,-140.00M,-53.00M,-140.00M,-62.00M,-4.00M,-57.00M,,,,,-57.00M,-7.419M,301.00M,220.00M,81.00M,,-0.39,0.00,,,-0.0495,-0.39,,-0.39,0.00,,,-0.0495,-0.39,,145.60M,145.60M,0.00,,AOR,Restated
2009-06,4.018B,4.018B,933.00M,3.085B,139.00M,1.671B,1.81B,,318.00M,-53.00M,135.00M,7.00M,-128.00M,222.00M,2.254B,831.00M,7.00M,135.00M,-128.00M,-53.00M,-128.00M,14.00M,-13.00M,28.00M,,,,,28.00M,62.45M,371.00M,222.00M,149.00M,,0.19,0.00,,,0.4274,0.19,,0.19,0.00,,,0.4274,0.19,,145.10M,145.10M,0.00,,AOR,Restated
2009-03,3.691B,3.691B,1.055B,2.636B,118.00M,1.592B,1.71B,,309.00M,-125.00M,134.00M,10.00M,-124.00M,238.00M,2.181B,455.00M,10.00M,134.00M,-124.00M,-125.00M,-124.00M,-412.00M,-29.00M,-382.00M,,,,,-382.00M,-265.80M,-45.00M,233.00M,-278.00M,,-2.64,0.00,,,-1.837,-2.64,,-2.64,0.00,,,-1.837,-2.64,,144.70M,144.70M,0.00,,AOR,Restated
2008-12,4.547B,4.547B,5.404B,-857.00M,152.00M,-1.459B,-1.307B,,306.00M,-498.00M,143.00M,16.00M,-127.00M,263.00M,-782.00M,-75.00M,16.00M,143.00M,-127.00M,-498.00M,-127.00M,-1.312B,5.00M,-1.321B,,,,,-1.315B,-991.30M,-907.00M,262.00M,-1.169B,,-9.97,0.00,,,-7.510,-9.97,,-9.97,0.00,,,-7.510,-9.97,,131.60M,131.60M,0.00,,AOR,Restated
2008-09,5.565B,5.565B,2.782B,2.783B,181.00M,1.919B,2.10B,,337.00M,-177.00M,144.00M,30.00M,-114.00M,275.00M,2.609B,174.00M,30.00M,144.00M,-114.00M,-177.00M,-114.00M,-791.00M,2.00M,-792.00M,,,,,-792.00M,-676.95M,-413.00M,234.00M,-647.00M,,-6.22,0.00,,,-5.316,-6.22,,-6.22,0.00,,,-5.316,-6.22,,127.30M,127.30M,0.00,,AOR,Restated
2008-06,5.371B,5.371B,2.28B,3.091B,193.00M,2.026B,2.219B,,299.00M,-2.475B,137.00M,33.00M,-104.00M,252.00M,2.687B,404.00M,33.00M,137.00M,-104.00M,-2.472B,-104.00M,-2.77B,-29.00M,-2.74B,,,,,-2.74B,-290.91M,-2.417B,216.00M,-2.633B,,-21.57,0.00,,,-2.301,-21.57,,-21.57,0.00,,,-2.301,-21.57,,127.10M,127.10M,0.00,,AOR,Restated
2008-03,4.711B,4.711B,1.976B,2.735B,184.00M,1.825B,2.009B,,329.00M,-21.00M,147.00M,53.00M,-94.00M,289.00M,2.518B,217.00M,53.00M,147.00M,-94.00M,-19.00M,-94.00M,-554.00M,-3.00M,-549.00M,,,,,-549.00M,-528.11M,-187.00M,220.00M,-407.00M,,-4.55,0.00,,,-4.378,-4.55,,-4.55,0.00,,,-4.378,-4.55,,121.10M,121.10M,0.00,,AOR,Restated
2007-12,5.03B,5.03B,1.861B,3.169B,183.00M,1.877B,2.06B,,321.00M,9.00M,136.00M,52.00M,-84.00M,300.00M,2.591B,578.00M,52.00M,136.00M,-84.00M,50.00M,-84.00M,-98.00M,-43.00M,-53.00M,,,,,-53.00M,-58.85M,269.00M,231.00M,38.00M,,-0.48,0.00,,,-0.5297,-0.48,,-0.48,0.00,,,-0.5179,-0.48,,117.70M,154.30M,0.00,,AOR,Restated
2007-09,5.527B,5.527B,1.728B,3.799B,211.00M,1.813B,2.024B,,303.00M,16.00M,156.00M,71.00M,-85.00M,290.00M,2.559B,1.24B,71.00M,156.00M,-85.00M,16.00M,-85.00M,565.00M,232.00M,334.00M,,,,,334.00M,323.60M,966.00M,245.00M,721.00M,,2.82,0.00,,,2.731,2.82,,2.21,0.00,,,2.143,2.21,,117.50M,154.10M,0.00,,AOR,Restated
2007-06,5.213B,5.213B,1.582B,3.631B,197.00M,1.752B,1.949B,,320.00M,1.00M,139.00M,66.00M,-73.00M,276.00M,2.454B,1.177B,66.00M,139.00M,-73.00M,1.00M,-73.00M,465.00M,192.00M,274.00M,,,,,274.00M,273.35M,833.00M,229.00M,604.00M,,2.31,0.00,,,2.304,2.31,,1.83,0.00,,,1.826,1.83,,117.40M,153.40M,0.00,,AOR,Restated
2007-03,4.373B,4.373B,1.378B,2.995B,188.00M,1.76B,1.948B,,338.00M,-2.00M,206.00M,63.00M,-143.00M,243.00M,2.411B,584.00M,63.00M,206.00M,-143.00M,-2.00M,-143.00M,-237.00M,-84.00M,-152.00M,,,,,-152.00M,-150.71M,189.00M,220.00M,-31.00M,,-1.32,0.00,,,-1.309,-1.32,,-1.32,0.00,,,-1.309,-1.32,,117.00M,117.00M,0.00,,AOR,Restated
2006-12,4.586B,4.586B,143.00M,4.443B,,,1.052B,228.00M,,14.00M,,,,3.14B,4.42B,23.00M,,,,14.00M,,-99.00M,-39.00M,-61.00M,,,,,-61.00M,-69.48M,251.00M,228.00M,23.00M,,-0.55,0.00,,,-0.6229,-0.55,,-0.55,0.00,,,-0.6229,-0.55,,116.31M,116.31M,0.00,,AOR,Restated
2006-09,5.176B,5.176B,153.00M,5.023B,,,1.06B,226.00M,,6.00M,,,,3.402B,4.688B,335.00M,,,,6.00M,,249.00M,60.00M,190.00M,,,,,190.00M,185.45M,561.00M,226.00M,335.00M,,1.62,0.00,,,1.581,1.62,,1.30,0.00,,,1.261,1.30,,117.28M,117.28M,0.00,,AOR,Restated
2006-06,5.113B,5.113B,190.00M,4.923B,208.00M,,208.00M,218.00M,,0.00,,,,4.237B,4.663B,260.00M,,,,,,116.00M,0.00,119.00M,,,,,119.00M,119.00M,478.00M,218.00M,260.00M,,1.01,0.00,,,1.01,1.01,,0.93,0.00,,,0.93,0.93,,117.82M,127.96M,0.00,,AOR,Restated
2006-03,4.465B,4.465B,193.00M,4.272B,201.00M,,201.00M,,,,,,,4.026B,4.443B,-171.00M,,,,,,22.62B,0.00,22.63B,,,,,22.63B,22.63B,45.00M,216.00M,-171.00M,,194.66,0.00,,,194.66,194.66,,194.66,0.00,,,194.66,194.66,,116.24M,116.24M,0.00,,AOR,Restated
2005-12,4.404B,4.386B,6.682B,-2.296B,78.00M,-698.00M,-620.00M,,-607.00M,-20.60B,136.00M,16.00M,-120.00M,288.00M,-96.00M,-2.20B,16.00M,136.00M,-120.00M,-20.60B,-120.00M,-16.90B,0.00,-16.90B,,,,,-16.90B,3.692B,-16.52B,253.00M,-16.77B,,-145.47,0.00,,,31.78,-145.47,,-145.47,0.00,,,31.78,-145.47,,116.20M,116.20M,0.00,,AOR,Restated
