,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,,,,,,,,,,,,,,,,,,2.443B,,-727.00M,,,-139.00M,-115.00M,23.00M,-958.00M,,-554.00M,,-554.00M,,-440.00M,-440.00M,,,-10.00M,-1.004B,,2.51B,481.00M,2.991B,,,568.00M,-1.122B,-440.00M,,,,AOR,Restated
2018-03,,,,,,,,,,,,,,,,,,1.709B,,-944.00M,,,0.00,244.00M,5.00M,-695.00M,,466.00M,,466.00M,,-529.00M,-529.00M,,,-32.00M,-95.00M,,1.591B,919.00M,2.51B,,,673.00M,-207.00M,-529.00M,,,,AOR,Restated
2017-12,,,,,,,,,,,,,,,,,,789.00M,,-970.00M,-8.00M,-8.00M,-2.00M,140.00M,-9.00M,-849.00M,,239.00M,,239.00M,,-553.00M,-553.00M,,,-14.00M,-328.00M,,1.979B,-388.00M,1.591B,,,418.00M,-179.00M,-553.00M,,,,AOR,Restated
2017-09,,,,,,,,,,,,,,,,,,577.00M,,-1.12B,3.00M,3.00M,0.00,-178.00M,19.00M,-1.276B,,758.00M,,758.00M,,-579.00M,-579.00M,,,-2.00M,177.00M,,2.501B,-522.00M,1.979B,,,980.00M,-222.00M,-579.00M,,,,AOR,Restated
2017-06,,,,,,,,,,,,,,,,,,1.561B,,-1.089B,1.00M,1.00M,,-62.00M,115.00M,-1.035B,,146.00M,,146.00M,,-454.00M,-454.00M,,,-10.00M,-318.00M,,2.293B,208.00M,2.501B,,,384.00M,-238.00M,-454.00M,,,,AOR,Restated
2017-03,,,,,,,,,,,,,,,,,,547.00M,,-691.00M,4.00M,4.00M,,36.00M,8.00M,-643.00M,,409.00M,,409.00M,,-258.00M,-258.00M,,,-65.00M,86.00M,,2.303B,-10.00M,2.293B,,,755.00M,-346.00M,-258.00M,,,,AOR,Restated
2016-12,,,,,,,,,,,,,,,,,,658.00M,,-880.00M,-24.00M,-24.00M,-6.00M,-24.00M,60.00M,-874.00M,,-47.00M,,-47.00M,,-172.00M,-172.00M,,,-16.00M,-235.00M,,2.754B,-451.00M,2.303B,,,298.00M,-345.00M,-172.00M,,,,AOR,Restated
2016-09,,,,,,,,,,,,,,,,,,1.138B,,-689.00M,5.00M,5.00M,0.00,-23.00M,1.00M,-706.00M,,-52.00M,,-52.00M,,-260.00M,-260.00M,,,-16.00M,-328.00M,,2.65B,104.00M,2.754B,,,435.00M,-487.00M,-260.00M,,,,AOR,Restated
2016-06,,,,,,,,,,,,,,,,,,2.547B,,-838.00M,2.00M,2.00M,32.00M,-24.00M,-7.00M,-835.00M,,-225.00M,,-225.00M,,-790.00M,-790.00M,,,-22.00M,-1.037B,,1.975B,675.00M,2.65B,,,33.00M,-258.00M,-790.00M,,,,AOR,Restated
2016-03,,,,,,,,,,,,,,,,,,1.199B,,-816.00M,17.00M,17.00M,-40.00M,15.00M,1.00M,-823.00M,,-219.00M,,-219.00M,,-1.392B,-1.392B,,,-2.00M,-1.613B,,3.212B,-1.237B,1.975B,,,42.00M,-261.00M,-1.392B,,,,AOR,Restated
2015-12,,,,,,,,,,,,,,,,,,1.115B,,-763.00M,36.00M,36.00M,130.00M,-20.00M,-271.00M,-888.00M,,-233.00M,,-233.00M,,-523.00M,-523.00M,,,-22.00M,-762.00M,,3.427B,-535.00M,3.212B,,,460.00M,-693.00M,-523.00M,,,,AOR,Restated
2015-09,,,,,,,,,,,,,,,,,,1.30B,,-673.00M,14.00M,14.00M,0.00,15.00M,98.00M,-546.00M,,149.00M,,149.00M,,-265.00M,-265.00M,,,-7.00M,-123.00M,,2.796B,631.00M,3.427B,,,385.00M,-236.00M,-265.00M,,,,AOR,Restated
2015-06,,,,,,,,,,,,,,,,,,1.752B,,-1.101B,19.00M,19.00M,-130.00M,66.00M,18.00M,-1.128B,,-924.00M,,-924.00M,,-250.00M,-250.00M,,,-6.00M,-1.18B,,3.352B,-556.00M,2.796B,,,128.00M,-1.052B,-250.00M,,,,AOR,Restated
2015-03,,,,,,,,,,,,,,,,,,1.825B,,-210.00M,17.00M,17.00M,,129.00M,19.00M,-45.00M,,-220.00M,,-220.00M,,-195.00M,-195.00M,,,-15.00M,-430.00M,,2.002B,1.35B,3.352B,,,100.00M,-320.00M,-195.00M,,,,AOR,Restated
2014-12,,,,,,,,,,,,,,,,,,-98.00M,,-660.00M,21.00M,21.00M,,14.00M,-76.00M,-701.00M,,-293.00M,,-293.00M,,-92.00M,-92.00M,,,-66.00M,-391.00M,,3.117B,-1.19B,2.322B,,,255.00M,-548.00M,-92.00M,,,,AOR,Restated
2014-09,,,,,,,,,,,,,,,,,,574.00M,,-392.00M,30.00M,30.00M,0.00,3.00M,61.00M,-298.00M,,-330.00M,,-330.00M,,-220.00M,-220.00M,,,-33.00M,-583.00M,,3.424B,-307.00M,3.117B,,,782.00M,-1.112B,-220.00M,,,,AOR,Restated
2014-06,,,,,,,,,,,,,,,,,,1.464B,,-589.00M,8.00M,8.00M,0.00,-363.00M,39.00M,-905.00M,,-85.00M,,-85.00M,,0.00,0.00,,,-59.00M,-144.00M,,3.009B,415.00M,3.424B,,,248.00M,-333.00M,0.00,,,,AOR,Restated
2014-03,,,,,,,,,,,,,,,,,,694.00M,,-364.00M,35.00M,35.00M,,-111.00M,13.00M,-427.00M,,-490.00M,,-490.00M,,0.00,0.00,,,12.00M,-478.00M,,3.22B,-211.00M,3.009B,,,147.00M,-637.00M,0.00,,,,AOR,Restated
2013-12,,,,,,,,,,,,,,,,,,-334.00M,,-765.00M,87.00M,87.00M,,-98.00M,53.00M,-723.00M,,348.00M,,348.00M,,,,,,-35.00M,342.00M,,3.935B,-715.00M,3.22B,,,604.00M,-256.00M,,,,,AOR,Restated
2013-09,,,,,,,,,,,,,,,,,,237.00M,,-578.00M,48.00M,48.00M,,19.00M,45.00M,-466.00M,,46.00M,,46.00M,,0.00,0.00,,,-25.00M,21.00M,,4.143B,-208.00M,3.935B,,,299.00M,-253.00M,0.00,,,,AOR,Restated
2013-06,,,,,,,,,,,,,,,,,,1.148B,,-446.00M,8.00M,8.00M,,36.00M,0.00,-402.00M,,-129.00M,,-129.00M,,,,,,-12.00M,-141.00M,,3.538B,605.00M,4.143B,,,411.00M,-540.00M,,,,,AOR,Restated
2013-03,,,,,,,,,,,,,,,,,,393.00M,,-375.00M,9.00M,9.00M,,-77.00M,12.00M,-431.00M,,-1.161B,,-1.161B,,,,,,-33.00M,-1.194B,,4.77B,-1.232B,3.538B,,,109.00M,-1.27B,,,,,AOR,Restated
2012-12,,,,,,,,,,,,,,,,,,90.00M,,-989.00M,37.00M,37.00M,,-223.00M,23.00M,-1.152B,,765.00M,,765.00M,,,,,,-79.00M,703.00M,,5.129B,-359.00M,4.77B,,,1.035B,-270.00M,,,,,AOR,Restated
2012-09,,,,,,,,,,,,,,,,,,-238.00M,,-408.00M,1.00M,1.00M,,74.00M,103.00M,-230.00M,,-487.00M,,-487.00M,,,,,,-2.00M,-489.00M,,6.086B,-957.00M,5.129B,,,0.00,-487.00M,,,,,AOR,Restated
2012-06,,,,,,,,,,,,,,,,,,959.00M,,-318.00M,56.00M,56.00M,,52.00M,-3.00M,-213.00M,,-258.00M,,-258.00M,,,,,,-8.00M,-266.00M,,5.606B,480.00M,6.086B,,,0.00,-258.00M,,,,,AOR,Restated
2012-03,,,,,,,,,,,,,,,,,,124.00M,,-301.00M,89.00M,89.00M,,-148.00M,-2.00M,-362.00M,,-416.00M,,-416.00M,,,,,,14.00M,-402.00M,,6.246B,-640.00M,5.606B,,,86.00M,-502.00M,,,,,AOR,Restated
2011-12,-138.00M,,-135.00M,,390.00M,390.00M,,171.00M,,,-48.00M,430.00M,176.00M,28.00M,-521.00M,-99.00M,14.00M,265.00M,,-209.00M,16.00M,647.00M,,-144.00M,-180.00M,-517.00M,,-483.00M,,-483.00M,,,,,,-29.00M,-486.00M,,6.984B,-738.00M,6.246B,,,10.00M,-493.00M,,,,,AOR,Restated
2011-09,653.00M,,112.00M,,384.00M,384.00M,,-52.00M,,,-73.00M,-130.00M,-201.00M,42.00M,-648.00M,298.00M,-639.00M,385.00M,,-211.00M,53.00M,-508.00M,,-311.00M,16.00M,-453.00M,,-471.00M,,-471.00M,,,,,,4.00M,-467.00M,,7.519B,-535.00M,6.984B,,,0.00,-471.00M,,,,,AOR,Restated
2011-06,325.00M,,,,385.00M,385.00M,,-75.00M,,,233.00M,-8.00M,104.00M,-61.00M,84.00M,-234.00M,-115.00M,753.00M,,-177.00M,15.00M,188.00M,,-336.00M,-11.00M,-509.00M,,-890.00M,,-890.00M,,,,,,0.00,-890.00M,,8.165B,-646.00M,7.519B,,,110.00M,-1.00B,,,,,AOR,Restated
2011-03,,,,,388.00M,388.00M,,-44.00M,,,-175.00M,-379.00M,98.00M,-190.00M,1.326B,-19.00M,836.00M,1.005B,,-243.00M,39.00M,-204.00M,,-107.00M,-9.00M,-320.00M,,-621.00M,,-621.00M,,,,,,32.00M,-589.00M,,8.069B,96.00M,8.165B,,,32.00M,-653.00M,,,,,AOR,Restated
2010-12,253.00M,,,,403.00M,403.00M,,-12.00M,,,-549.00M,262.00M,8.00M,118.00M,-227.00M,-154.00M,7.00M,106.00M,,-204.00M,23.00M,235.00M,,-84.00M,39.00M,3.472B,,-686.00M,,-686.00M,,,,,,221.00M,-447.00M,,4.938B,3.131B,8.069B,,,91.00M,-777.00M,,,,,AOR,Restated
2010-09,-191.00M,,,,232.00M,232.00M,,4.00M,,,674.00M,29.00M,124.00M,24.00M,-249.00M,-202.00M,-274.00M,445.00M,,-88.00M,0.00,-212.00M,,0.00,31.00M,-57.00M,,-363.00M,,-363.00M,,,,,,7.00M,-356.00M,,4.906B,32.00M,4.938B,,,0.00,-363.00M,,,,,AOR,Restated
2010-06,273.00M,,,,223.00M,223.00M,,8.00M,,,-367.00M,-98.00M,83.00M,-83.00M,748.00M,87.00M,737.00M,874.00M,,-31.00M,21.00M,63.00M,,0.00,-9.00M,-19.00M,,550.00M,,550.00M,,,,,,-15.00M,535.00M,,3.516B,1.39B,4.906B,,,686.00M,-136.00M,,,,,AOR,Restated
2010-03,-82.00M,,,,221.00M,221.00M,,,,,522.00M,-226.00M,40.00M,,,7.00M,-179.00M,482.00M,,-93.00M,4.00M,-38.00M,,0.00,13.00M,-76.00M,,78.00M,,78.00M,,,,,,-10.00M,68.00M,,3.042B,474.00M,3.516B,,,1.309B,-1.231B,,,,,AOR,Restated
2009-12,-240.00M,,74.00M,,242.00M,242.00M,,,-250.00M,,1.244B,149.00M,,,-145.00M,-940.00M,-1.084B,88.00M,,-87.00M,252.00M,165.00M,,0.00,-193.00M,-28.00M,,364.00M,,364.00M,132.00M,,130.00M,,,-37.00M,457.00M,,2.525B,517.00M,3.042B,,132.00M,586.00M,-222.00M,,,,,AOR,Restated
2009-09,-57.00M,,160.00M,,220.00M,220.00M,,,43.00M,,-447.00M,8.00M,,,145.00M,-16.00M,137.00M,56.00M,,-60.00M,-94.00M,-154.00M,,-20.00M,131.00M,-43.00M,,-73.00M,,-73.00M,27.00M,,27.00M,,,-8.00M,-54.00M,,2.566B,-41.00M,2.525B,,27.00M,187.00M,-260.00M,,,,,AOR,Restated
2009-06,28.00M,,,,222.00M,222.00M,,,207.00M,,-661.00M,-52.00M,,,,652.00M,600.00M,396.00M,,-91.00M,0.00,-91.00M,,3.00M,14.00M,-74.00M,,-213.00M,,-213.00M,0.00,,0.00,,,0.00,-213.00M,,2.457B,109.00M,2.566B,,0.00,0.00,-213.00M,,,,,AOR,Restated
2009-03,-382.00M,,,,233.00M,233.00M,,,,,238.00M,,,,,337.00M,337.00M,426.00M,,-79.00M,94.00M,15.00M,,17.00M,33.00M,65.00M,,-155.00M,,-155.00M,63.00M,,63.00M,,,19.00M,-73.00M,,2.039B,418.00M,2.457B,,63.00M,134.00M,-289.00M,,,,,AOR,Restated
2008-12,-1.315B,,,,262.00M,262.00M,,,125.00M,,-1.738B,361.00M,,635.00M,-1.305B,-404.00M,-916.00M,-989.00M,,-91.00M,35.00M,-56.00M,,-41.00M,242.00M,145.00M,,-36.00M,,-36.00M,107.00M,,96.00M,0.00,0.00,-108.00M,-48.00M,,2.931B,-892.00M,2.039B,,107.00M,0.00,-36.00M,,,,,AOR,Restated
2008-09,-792.00M,,,,234.00M,234.00M,,,-9.00M,,-9.00M,43.00M,,-378.00M,-25.00M,540.00M,180.00M,-387.00M,,-117.00M,45.00M,-72.00M,,-101.00M,552.00M,379.00M,,41.00M,,41.00M,0.00,,0.00,-2.00M,-2.00M,1.00M,40.00M,,2.899B,32.00M,2.931B,,0.00,253.00M,-212.00M,,,,,AOR,Restated
2008-06,-2.74B,,,,216.00M,216.00M,,,2.50B,,2.50B,-6.00M,,,903.00M,-656.00M,241.00M,217.00M,,-148.00M,14.00M,-134.00M,,600.00M,6.00M,472.00M,,-384.00M,,-384.00M,0.00,,0.00,0.00,0.00,156.00M,-228.00M,,2.438B,461.00M,2.899B,,0.00,84.00M,-468.00M,,,,,AOR,Restated
2008-03,-549.00M,,,,220.00M,220.00M,,,0.00,,0.00,-203.00M,,,39.00M,413.00M,249.00M,-80.00M,,-119.00M,0.00,-119.00M,,1.837B,7.00M,1.725B,,-203.00M,,-203.00M,0.00,,0.00,-251.00M,-251.00M,-12.00M,-466.00M,,1.259B,1.179B,2.438B,,0.00,0.00,-203.00M,,,,,AOR,Restated
2007-12,-53.00M,,,,231.00M,231.00M,-54.00M,,-89.00M,,258.00M,210.00M,,-269.00M,-355.00M,-187.00M,-212.00M,132.00M,,-295.00M,5.00M,-225.00M,,653.00M,134.00M,497.00M,,-703.00M,,-703.00M,,,,,0.00,46.00M,-633.00M,,1.263B,-4.00M,1.259B,,,0.00,-703.00M,,,,,AOR,Restated
2007-09,334.00M,,,,245.00M,245.00M,233.00M,,0.00,,-34.00M,47.00M,,0.00,-581.00M,98.00M,-436.00M,342.00M,,-282.00M,3.00M,-279.00M,,-334.00M,11.00M,-602.00M,,-149.00M,,-149.00M,,,,,0.00,5.00M,-144.00M,,1.667B,-404.00M,1.263B,,,0.00,-149.00M,,,,,AOR,Restated
2007-06,274.00M,,,,229.00M,229.00M,193.00M,,0.00,,0.00,-60.00M,,,334.00M,64.00M,338.00M,1.034B,,-78.00M,11.00M,-67.00M,,-2.389B,-33.00M,-2.489B,,-66.00M,,-66.00M,,,,,0.00,12.00M,-54.00M,,3.176B,-1.509B,1.667B,,,694.00M,-760.00M,,,,,AOR,Restated
2007-03,-152.00M,,,,220.00M,220.00M,-62.00M,,,,,-256.00M,,,851.00M,25.00M,620.00M,626.00M,,-68.00M,,-68.00M,,119.00M,-17.00M,34.00M,,-1.317B,,-1.317B,,,,,,1.00M,-1.316B,,3.832B,-656.00M,3.176B,,,,-1.317B,,,,,AOR,Restated
2006-12,,,,,-660.00M,-660.00M,-39.00M,,,,793.00M,226.00M,-52.00M,,,,174.00M,293.00M,,-110.00M,,-71.00M,,-240.00M,-90.00M,-401.00M,,-219.00M,,-219.00M,,,,,,72.00M,-141.00M,,5.712B,-249.00M,3.832B,,,0.00,-219.00M,,,,,AOR,Restated
2006-09,,,,,226.00M,226.00M,60.00M,,,,-196.00M,33.00M,8.00M,,,,41.00M,131.00M,,-93.00M,,-93.00M,,102.00M,-15.00M,-6.00M,,-134.00M,,-134.00M,,,,,,-4.00M,-138.00M,,4.094B,-13.00M,5.712B,,,0.00,-134.00M,,,,,AOR,Restated
2006-06,,,,,218.00M,218.00M,,,,,526.00M,-59.00M,,,,,-59.00M,685.00M,,-67.00M,,-67.00M,,-69.00M,68.00M,-68.00M,,-150.00M,,-150.00M,,,,,,-6.00M,-156.00M,,3.633B,461.00M,4.094B,,,0.00,-150.00M,,,,,AOR,Restated
2006-03,,,,,216.00M,216.00M,,,,,394.00M,-157.00M,,,,,-157.00M,453.00M,,-92.00M,,-92.00M,,138.00M,179.00M,225.00M,,1.273B,,1.273B,,,,,,-56.00M,1.217B,,1.761B,1.895B,3.633B,,,2.961B,-1.688B,,,,,AOR,Restated
2005-12,-297.00M,102.00M,154.00M,,253.00M,253.00M,0.00,-63.00M,,0.00,242.00M,227.00M,155.00M,212.00M,-625.00M,145.00M,114.00M,403.00M,,-218.00M,177.00M,-41.00M,,2.00M,-18.00M,-57.00M,,-127.00M,,-127.00M,,,,,,-30.00M,-157.00M,,3.343B,49.00M,1.761B,,,0.00,-127.00M,,,,,AOR,Restated
2005-09,-278.00M,,,,206.00M,206.00M,0.00,,,0.00,-548.00M,13.00M,-55.00M,-174.00M,625.00M,69.00M,478.00M,-142.00M,,-155.00M,118.00M,-37.00M,,-59.00M,-25.00M,-121.00M,,-74.00M,,-74.00M,,,,,,308.00M,234.00M,,1.677B,-29.00M,3.343B,,,0.00,-74.00M,,,,,AOR,Restated
2005-06,302.00M,-93.00M,-93.00M,,205.00M,205.00M,,21.00M,,,577.00M,46.00M,-55.00M,22.00M,,-467.00M,-454.00M,558.00M,,-84.00M,13.00M,-71.00M,,42.00M,-103.00M,-132.00M,,-123.00M,,-123.00M,,,,,,22.00M,-101.00M,,1.382B,359.00M,1.677B,,,0.00,-123.00M,,,,,AOR,Restated
2005-03,-302.00M,93.00M,93.00M,,209.00M,209.00M,,-21.00M,,0.00,58.00M,-177.00M,68.00M,-135.00M,,467.00M,223.00M,260.00M,,-13.00M,22.00M,9.00M,,20.00M,-10.00M,19.00M,,-55.00M,,-55.00M,,,,,,-31.00M,-86.00M,,1.223B,159.00M,1.382B,,,0.00,-55.00M,,,,,AOR,Restated
2004-12,,,,,,,,,,,71.00M,,,,,,-198.00M,-247.00M,,-47.00M,4.00M,-43.00M,,163.00M,-35.00M,85.00M,,-285.00M,,-285.00M,,,,,,212.00M,-73.00M,,1.493B,-383.00M,1.223B,,,-513.00M,228.00M,,,,,AOR,Restated
2004-09,,,,,,,,,,,-172.00M,,,,,,80.00M,-92.00M,,-70.00M,4.00M,-66.00M,,-12.00M,-25.00M,-103.00M,,46.00M,,46.00M,,,,,,300.00M,346.00M,,1.377B,151.00M,1.493B,,,368.00M,-322.00M,,,,,AOR,Restated
2004-06,,,,,,,,,,,-39.00M,,,,,,101.00M,62.00M,,-90.00M,6.00M,-84.00M,,0.00,-199.00M,-283.00M,,90.00M,,90.00M,,,,,,-308.00M,-218.00M,,1.859B,-439.00M,1.377B,,,145.00M,-55.00M,,,,,AOR,Restated
2004-03,,,,,,,,,,,281.00M,,,,,,95.00M,376.00M,,-60.00M,7.00M,-53.00M,,67.00M,-9.00M,5.00M,,-275.00M,,-275.00M,,,,,,148.00M,-127.00M,,1.64B,254.00M,1.859B,,,,-275.00M,,,,,AOR,Restated
2003-12,,,,,,,,,,,-1.109B,,,,,,236.00M,65.00M,,-64.00M,3.00M,-61.00M,,211.00M,-41.00M,109.00M,,-295.00M,,-295.00M,,,,,,191.00M,-104.00M,,1.619B,70.00M,1.64B,,,114.00M,-409.00M,,,,,AOR,Restated
2003-09,,,,,,,,,,,70.00M,,,,,,216.00M,286.00M,,-86.00M,53.00M,-33.00M,,141.00M,102.00M,210.00M,,-197.00M,,-197.00M,,,,,,98.00M,-99.00M,,1.272B,397.00M,1.619B,,,-2.00M,-195.00M,,,,,AOR,Restated
2003-06,,,,,,,,,,,582.00M,,,,,,256.00M,838.00M,,,61.00M,61.00M,,5.00M,-88.00M,-22.00M,,-46.00M,,-46.00M,,,,,,-61.00M,-107.00M,,637.00M,709.00M,1.272B,,,48.00M,-94.00M,,,,,AOR,Restated
2003-03,,,,,,,,,,,-212.00M,,,,,,24.00M,-188.00M,,,6.00M,6.00M,,103.00M,-135.00M,-26.00M,,-26.00M,,-26.00M,,,,,,,-26.00M,,886.00M,-240.00M,637.00M,,,92.00M,-118.00M,,,,,AOR,Restated
2002-12,,,,,,,,,,,1.527B,,,,,,-397.00M,-447.00M,,,1.00M,-156.00M,,87.00M,-233.00M,-302.00M,,-418.00M,0.00,-418.00M,,,,,0.00,1.042B,624.00M,,1.011B,-125.00M,886.00M,,,-133.00M,-152.00M,,,,,AOR,
2002-09,,,,,,,,,,,-697.00M,,,,,,0.00,-697.00M,,,319.00M,319.00M,,-3.00M,-122.00M,194.00M,,18.00M,0.00,18.00M,,,,,-2.00M,-324.00M,-308.00M,,1.822B,-811.00M,1.011B,,,172.00M,-154.00M,,,,,AOR,Restated
2002-06,,,,,,,,,,,90.00M,,,,,,0.00,90.00M,,,4.00M,4.00M,,-9.00M,-123.00M,-128.00M,,-152.00M,-133.00M,-285.00M,,,,,-3.00M,74.00M,-214.00M,,2.074B,-252.00M,1.822B,,,369.00M,-654.00M,,,,,AOR,Restated
2002-03,,,,,,,,,,,-85.00M,,,,,,0.00,-85.00M,,,40.00M,40.00M,,477.00M,-210.00M,307.00M,,-56.00M,,-56.00M,,,,,-2.00M,222.00M,164.00M,,1.688B,386.00M,2.074B,,,542.00M,-598.00M,,,,,AOR,Restated
2001-12,,,,,,,,,,,,,,,,,,-734.00M,,-1.951B,11.00M,-1.94B,,-48.00M,1.819B,-201.00M,,359.00M,0.00,359.00M,,,,,-3.00M,157.00M,513.00M,,2.11B,-422.00M,1.688B,,,503.00M,-144.00M,,,,,AOR,Restated
2001-09,,,,,,,,,,,,,,,,,,183.00M,,1.324B,163.00M,1.487B,,-151.00M,-1.911B,-575.00M,,1.709B,0.00,1.709B,,,,,-8.00M,3.00M,1.704B,,798.00M,1.312B,2.11B,,,1.771B,-62.00M,,,,,AOR,Restated
2001-06,,,,,,,,,,,,,,,,,,179.00M,,-1.324B,3.00M,-1.321B,,65.00M,590.00M,-666.00M,,57.00M,0.00,57.00M,,,,,-39.00M,17.00M,35.00M,,1.25B,-452.00M,798.00M,,,211.00M,-154.00M,,,,,AOR,Restated
2001-03,,,,,,,,,,,,,,,,,,212.00M,,,1.00M,1.00M,,118.00M,-646.00M,-527.00M,,-105.00M,,-105.00M,,,,,-38.00M,29.00M,-114.00M,,1.679B,-429.00M,1.25B,,,0.00,-105.00M,,,,,AOR,Restated
2000-12,,,,,,,,,,,,,,,,,,-52.00M,,,256.00M,-2.282B,,38.00M,1.979B,-265.00M,,1.549B,0.00,1.549B,,0.00,0.00,,-39.00M,-132.00M,1.378B,,618.00M,1.061B,1.679B,,,1.693B,-83.00M,0.00,,,,,Restated
2000-09,,,,,,,,,,,,,,,,,,422.00M,,,62.00M,62.00M,,-53.00M,-850.00M,-841.00M,,419.00M,0.00,419.00M,,0.00,0.00,,-38.00M,-5.00M,376.00M,,661.00M,-43.00M,618.00M,,,622.00M,-203.00M,0.00,,,,AOR,Restated
