,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-09,1.908B,1.908B,808.00M,1.10B,3.00M,86.00M,155.00M,,-155.00M,,773.00M,327.00M,,155.00M,-155.00M,27.00M,-155.00M,199.00M,76.00M,123.00M,,0.00,,,123.00M,112.49M,597.00M,243.00M,354.00M,0.29,0.0,0.0,,0.2651,0.29,0.29,0.0,0.0,,0.2653,0.29,422.00M,425.00M,0.195
2010-06,1.756B,1.756B,778.00M,978.00M,3.00M,88.00M,157.00M,,-157.00M,,715.00M,263.00M,,157.00M,-157.00M,20.00M,-157.00M,126.00M,45.00M,81.00M,,,,,81.00M,72.64M,500.00M,217.00M,283.00M,0.2,0.0,,,0.1791,0.2,0.2,0.0,,,0.1792,0.2,400.00M,402.00M,0.195
2010-03,3.023B,3.023B,1.935B,1.088B,1.00M,117.00M,158.00M,,-158.00M,,731.00M,357.00M,,158.00M,-158.00M,17.00M,-158.00M,216.00M,102.00M,114.00M,,,,,114.00M,106.20M,574.00M,200.00M,374.00M,0.29,0.0,,,0.2702,0.29,0.29,0.0,,,0.2703,0.29,393.00M,395.00M,0.195
2009-12,2.299B,2.299B,1.29B,1.009B,8.00M,91.00M,162.00M,,-162.00M,,710.00M,299.00M,,162.00M,-162.00M,15.00M,-162.00M,152.00M,47.00M,105.00M,,,,,105.00M,99.47M,495.00M,181.00M,314.00M,0.27,0.0,,,0.2558,0.27,0.27,0.0,,,0.256,0.27,389.00M,395.00M,0.19
2009-09,1.576B,1.576B,582.00M,994.00M,9.00M,84.00M,158.00M,,-158.00M,415.00M,707.00M,287.00M,,158.00M,-158.00M,23.00M,-158.00M,152.00M,38.00M,114.00M,,,,,114.00M,94.50M,518.00M,188.00M,310.00M,0.31,0.0,,,0.2573,0.31,0.31,0.0,,,0.2576,0.31,370.00M,372.00M,0.19
2009-06,1.64B,1.64B,710.00M,930.00M,18.00M,91.00M,162.00M,,-162.00M,398.00M,677.00M,253.00M,,162.00M,-162.00M,38.00M,-162.00M,129.00M,43.00M,86.00M,,,,,86.00M,68.00M,499.00M,208.00M,291.00M,0.24,0.0,,,0.1889,0.24,0.24,0.0,,,0.1892,0.24,352.00M,354.00M,0.19
2009-03,2.766B,2.766B,1.789B,977.00M,4.00M,113.00M,162.00M,,-162.00M,413.00M,692.00M,285.00M,,162.00M,-162.00M,-8.00M,-162.00M,115.00M,48.00M,67.00M,,,,,67.00M,72.20M,443.00M,166.00M,277.00M,0.19,0.0,,,0.205,0.19,0.19,0.0,,,0.2049,0.19,347.00M,349.00M,0.19
2008-12,2.774B,2.774B,1.791B,983.00M,4.00M,88.00M,156.00M,,-156.00M,,680.00M,303.00M,,156.00M,-156.00M,5.00M,-156.00M,152.00M,65.00M,87.00M,,,,,87.00M,87.00M,476.00M,168.00M,308.00M,0.24,0.0,,,0.24,0.24,0.24,0.0,,,0.24,0.24,343.04M,349.44M,0.1825
2008-09,2.515B,2.515B,1.532B,983.00M,6.00M,81.00M,150.00M,,-150.00M,371.00M,646.00M,337.00M,,150.00M,-150.00M,26.00M,-150.00M,213.00M,77.00M,136.00M,,,,,136.00M,134.08M,557.00M,194.00M,363.00M,0.4,0.0,,,0.3944,0.4,0.39,0.0,,,0.3844,0.39,342.23M,344.58M,0.1825
2008-06,2.67B,2.67B,1.75B,920.00M,,93.00M,149.00M,,-149.00M,342.00M,623.00M,297.00M,,149.00M,-149.00M,14.00M,-149.00M,162.00M,61.00M,101.00M,,,,,101.00M,101.00M,499.00M,188.00M,311.00M,0.3,0.0,,,0.3,0.3,0.3,0.0,,,0.3,0.3,331.35M,342.03M,0.1825
2008-03,3.363B,3.363B,2.393B,970.00M,4.00M,111.00M,149.00M,,-149.00M,365.00M,634.00M,336.00M,,149.00M,-149.00M,9.00M,-149.00M,196.00M,74.00M,122.00M,,,,,122.00M,122.00M,503.00M,158.00M,345.00M,0.37,0.0,,,0.37,0.37,0.36,0.0,,,0.36,0.36,327.28M,327.28M,0.1825
2007-12,2.602B,2.602B,,,,,,,,,,8.709B,,,,,,,,108.00M,,,,,108.00M,108.00M,8.886B,177.00M,8.709B,0.34,0.0,,,0.34,0.34,0.32,0.0,,,0.32,0.32,322.58M,342.97M,0.17
2007-09,1.882B,1.882B,991.00M,891.00M,-18.00M,85.00M,,,,317.00M,572.00M,319.00M,,,,-18.00M,,145.00M,54.00M,91.00M,,,,,91.00M,102.30M,533.00M,214.00M,319.00M,0.29,0.0,,,0.326,0.29,0.27,0.0,,,0.3035,0.27,313.79M,337.04M,0.17
2007-06,2.033B,2.033B,1.208B,825.00M,7.00M,93.00M,,,,330.00M,583.00M,242.00M,,,,7.00M,,98.00M,28.00M,70.00M,,,,,70.00M,65.00M,402.00M,141.00M,242.00M,0.22,0.0,,,0.2043,0.22,0.2,0.0,,,0.1857,0.2,318.18M,350.00M,0.17
2007-03,3.106B,3.106B,2.15B,956.00M,3.00M,106.00M,,,,352.00M,603.00M,353.00M,,,,3.00M,,202.00M,72.00M,130.00M,,,,,130.00M,128.07M,517.00M,164.00M,353.00M,0.41,0.0,,,0.4039,0.41,0.38,0.0,,,0.3744,0.38,317.07M,342.11M,0.17
