,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2014-11,2.584B,2.584B,2.164B,419.87M,57.66M,57.66M,7.531M,5.192M,-5.192M,,57.66M,362.21M,5.192M,-5.192M,20.93M,-5.192M,377.94M,125.27M,252.67M,,,-7.348M,245.32M,240.29M,394.52M,,2014-11,1.176,,,,2014-11,1.049,,,,2014-11,206.58M,,2014-11,AOR,Restated
2014-08,2.014B,2.014B,1.728B,286.35M,43.07M,43.07M,-3.059M,8.381M,-8.381M,,43.07M,243.28M,8.381M,-8.381M,27.43M,-8.381M,262.34M,88.90M,173.44M,,,4.317M,177.76M,179.80M,281.23M,,2014-08,0.8529,,,,2014-08,0.7647,,,,2014-08,206.40M,,2014-08,AOR,Restated
2014-05,1.819B,1.819B,1.591B,228.23M,38.32M,38.32M,5.96M,10.29M,-10.29M,,38.32M,189.91M,10.29M,-10.29M,24.01M,-10.29M,203.63M,81.01M,122.62M,,,15.10M,137.72M,133.96M,222.72M,,2014-05,0.6569,,,,2014-05,0.5980,,,,2014-05,206.04M,,2014-05,AOR,Restated
2014-02,1.363B,1.363B,1.198B,164.75M,38.11M,38.11M,7.132M,12.69M,-12.69M,,38.11M,126.64M,12.69M,-12.69M,11.93M,-12.69M,125.88M,45.91M,79.96M,,,-1.848M,78.12M,73.62M,146.41M,,2014-02,0.3725,,,,2014-02,0.3431,,,,2014-02,205.99M,,2014-02,AOR,Restated
2013-11,1.915B,1.915B,1.602B,313.46M,43.32M,43.32M,12.63M,20.54M,-20.54M,,43.32M,270.14M,20.54M,-20.54M,27.37M,-20.54M,276.97M,93.96M,183.02M,,,-18.93M,164.08M,155.74M,306.18M,,2013-11,0.8235,,,,2013-11,0.7157,,,,2013-11,195.37M,,2013-11,AOR,Restated
2013-08,1.603B,1.603B,1.375B,227.68M,37.62M,37.62M,7.278M,22.23M,-22.23M,,37.62M,190.06M,22.23M,-22.23M,21.53M,-22.23M,189.36M,67.20M,122.15M,,,-1.492M,120.66M,115.99M,219.53M,,2013-08,0.6078,,,,2013-08,0.5294,,,,2013-08,194.61M,,2013-08,AOR,Restated
2013-05,1.427B,1.427B,1.232B,194.56M,33.85M,33.85M,11.56M,25.11M,-25.11M,,33.85M,160.71M,25.11M,-25.11M,26.69M,-25.11M,162.29M,19.49M,142.80M,,,-5.362M,137.44M,127.31M,194.80M,,2013-05,0.6961,,,,2013-05,0.5980,,,,2013-05,193.81M,,2013-05,AOR,Restated
2013-02,990.24M,990.24M,894.05M,96.19M,31.27M,31.27M,9.341M,26.03M,-26.03M,,31.27M,64.92M,26.03M,-26.03M,14.43M,-26.03M,53.32M,-3.637M,56.96M,,,0.534M,57.49M,48.79M,85.68M,,2013-02,0.2941,,,,2013-02,0.2549,,,,2013-02,193.34M,,2013-02,AOR,Restated
2012-11,1.350B,1.350B,1.172B,177.87M,39.04M,39.04M,5.555M,23.04M,-23.04M,,39.04M,138.83M,23.04M,-23.04M,-10.86M,-23.04M,104.92M,-18.60M,123.52M,,,0.824M,124.34M,120.73M,135.68M,,2012-11,0.6373,,,,2012-11,0.5490,,,,2012-11,191.21M,,2012-11,AOR,Restated
2012-08,1.100B,1.100B,978.27M,121.49M,32.29M,32.29M,-2.272M,22.66M,-22.66M,,32.29M,89.20M,22.66M,-22.66M,-7.909M,-22.66M,58.64M,-12.78M,71.41M,,,15.70M,87.11M,88.59M,89.17M,,2012-08,0.4510,,,,2012-08,0.3922,,,,2012-08,190.50M,,2012-08,AOR,Restated
2012-05,930.16M,930.16M,832.66M,97.50M,29.17M,29.17M,5.212M,23.80M,-23.80M,,29.17M,68.33M,23.80M,-23.80M,7.574M,-23.80M,52.10M,-402.32M,454.42M,,,-1.721M,452.70M,449.32M,80.77M,,2012-05,2.343,,,,2012-05,2.020,,,,2012-05,190.16M,,2012-05,AOR,Restated
2012-02,724.86M,724.86M,678.08M,46.78M,26.84M,26.84M,1.994M,24.85M,-24.85M,,26.84M,19.93M,24.85M,-24.85M,11.37M,-24.85M,6.453M,-1.524M,7.977M,,,6.991M,14.97M,13.67M,38.93M,,2012-02,0.0784,,,,2012-02,0.0784,,,,2012-02,189.72M,,2012-02,AOR,Restated
2011-11,952.65M,952.65M,889.25M,63.41M,,28.53M,-7.872M,22.00M,-22.00M,,28.53M,34.88M,22.00M,-22.00M,-1.108M,-22.00M,11.77M,-13.70M,25.47M,,,4.807M,30.28M,35.39M,42.95M,,2011-11,0.1569,,,,2011-11,0.1471,,,,2011-11,188.42M,,2011-11,AOR,Restated
2011-08,820.19M,820.19M,754.86M,65.34M,,22.78M,16.68M,24.11M,-24.11M,,22.78M,42.56M,24.11M,-24.11M,5.626M,-24.11M,24.08M,0.579M,23.50M,,,-2.77M,20.73M,4.448M,52.86M,,2011-08,0.1078,0.00,,,2011-08,0.1078,0.00,,,2011-08,188.36M,,2011-08,AOR,Restated
2011-05,764.49M,764.49M,719.91M,44.58M,,20.60M,27.26M,22.47M,-22.47M,,20.60M,23.98M,22.47M,-22.47M,24.28M,-22.47M,25.80M,0.953M,24.85M,,,-11.06M,13.78M,-12.47M,52.15M,,2011-05,0.0686,0.00,,,2011-05,0.0686,0.00,,,2011-05,188.31M,,2011-05,AOR,Restated
2011-02,558.04M,558.04M,532.64M,25.40M,,23.35M,29.96M,22.08M,-22.08M,,23.35M,2.051M,22.08M,-22.08M,56.35M,-22.08M,36.32M,-2.405M,38.73M,,,-11.32M,27.41M,-0.6500M,62.17M,,2011-02,0.1471,0.00,,,2011-02,0.1373,0.00,,,2011-02,187.84M,,2011-02,AOR,Restated
2010-11,860.12M,860.12M,1.084B,-223.97M,,25.06M,2.977M,16.58M,-16.58M,,25.06M,-249.02M,16.58M,-16.58M,29.47M,-16.58M,38.78M,-3.737M,42.52M,,,-10.49M,32.03M,30.09M,59.15M,,2010-11,0.1667,0.00,,,2010-11,0.1667,0.00,,,2010-11,186.76M,,2010-11,AOR,Restated
2010-08,824.98M,824.98M,654.62M,170.36M,,23.99M,0.324M,17.67M,-17.67M,,23.99M,146.37M,17.67M,-17.67M,7.953M,-17.67M,39.44M,0.605M,38.83M,,,-8.795M,30.04M,29.72M,60.48M,,2010-08,0.1569,0.00,,,2010-08,0.1569,0.00,,,2010-08,186.73M,,2010-08,AOR,Restated
2010-05,814.48M,814.48M,737.09M,77.40M,,22.23M,-1.655M,17.52M,-17.52M,,22.23M,55.16M,17.52M,-17.52M,-2.091M,-17.52M,35.55M,-11.03M,46.58M,,,-6.865M,39.72M,40.79M,56.52M,,2010-05,0.2059,0.00,,,2010-05,0.2059,0.00,,,2010-05,186.67M,,2010-05,AOR,Restated
2010-02,574.44M,574.44M,557.63M,16.81M,,22.64M,5.309M,18.66M,-18.66M,,22.64M,-5.832M,18.66M,-18.66M,5.452M,-18.66M,-19.04M,-11.57M,-7.473M,,,0.95M,-6.523M,-9.974M,2.524M,,2010-02,-0.0392,0.00,,,2010-02,-0.0392,0.00,,,2010-02,186.31M,,2010-02,AOR,Restated
2009-11,913.74M,913.74M,1.111B,-197.00M,,32.76M,-25.32M,21.90M,-21.90M,,32.76M,-229.76M,21.90M,-21.90M,-51.13M,-21.90M,-302.79M,-320.48M,17.69M,,,17.88M,35.57M,52.03M,-275.04M,,2009-11,0.2647,0.00,,,2009-11,0.2647,0.00,,,2009-11,185.82M,,2009-11,AOR,Restated
2009-08,720.73M,720.73M,770.82M,-50.09M,,27.56M,-29.27M,22.43M,-22.43M,,27.56M,-77.64M,22.43M,-22.43M,-71.57M,-22.43M,-171.64M,2.74M,-174.38M,,,2.779M,-171.60M,-152.58M,-145.32M,,2009-08,-0.9510,0.00,,,2009-08,-0.9510,0.00,,,2009-08,180.31M,,2009-08,AOR,Restated
2009-05,891.85M,891.85M,909.82M,-17.97M,,29.77M,-8.029M,14.49M,-14.49M,,29.77M,-47.75M,14.49M,-14.49M,-67.92M,-14.49M,-130.16M,1.547M,-131.70M,,,6.52M,-125.18M,-119.97M,-110.83M,,2009-05,-0.7451,0.00,,,2009-05,-0.7451,0.00,,,2009-05,167.87M,,2009-05,AOR,Restated
2009-02,593.06M,593.06M,670.65M,-77.59M,,27.48M,-35.80M,12.03M,-12.03M,,27.48M,-105.06M,12.03M,-12.03M,-38.72M,-12.03M,-155.82M,1.848M,-157.66M,,,1.734M,-155.93M,-130.76M,-138.46M,,2009-02,-0.9608,0.00,,,2009-02,-0.9608,0.00,,,2009-02,161.79M,,2009-02,,Restated
2008-11,1.278B,1.278B,1.386B,-107.46M,,31.30M,73.60M,,,,31.30M,-138.76M,,,67.31M,,-99.05M,716.04M,-815.09M,,,,-810.99M,-858.83M,-230.75M,,2008-11,-5.029,0.00,,,2008-11,-5.029,0.00,,,2008-11,161.70M,,2008-11,,Restated
2008-08,1.107B,1.107B,1.157B,-50.88M,,34.05M,-43.21M,,,,34.05M,-84.93M,,,-54.17M,,-139.10M,-50.14M,-88.96M,,,,-88.96M,-61.33M,-77.38M,,2008-08,-0.5490,0.00,,,2008-08,-0.5490,0.00,,,2008-08,161.67M,,2008-08,,Restated
2008-05,1.128B,1.128B,1.205B,-77.02M,,29.58M,-47.87M,,,,29.58M,-106.61M,,,-66.79M,,-173.40M,-52.27M,-121.13M,,,0.218M,-120.92M,-87.47M,-98.75M,,2008-05,-0.7451,0.00,,,2008-05,-0.7451,0.00,,,2008-05,161.51M,,2008-05,,Restated
2008-02,1.063B,1.063B,1.137B,-74.46M,,34.82M,-21.79M,,,,34.82M,-109.29M,,,-44.77M,,-154.29M,-66.08M,-88.22M,,,-0.234M,-88.22M,-74.05M,-98.76M,,2008-02,-0.5490,0.00,,,2008-02,-0.5490,0.00,,,2008-02,160.68M,,2008-02,,
2007-11,2.177B,2.177B,3.660B,-1.483B,,35.77M,-256.73M,,,,35.77M,-1.519B,,,-451.49M,,-1.969B,-717.44M,-1.252B,,,1.263M,-1.252B,-1.088B,-1.501B,,2007-11,-7.784,0.00,,,2007-11,-7.784,0.00,,,2007-11,160.59M,,2007-11,,
2007-08,2.342B,2.342B,2.995B,-653.20M,,44.70M,-10.51M,,,,44.70M,-697.90M,,,-137.92M,,-837.64M,-323.79M,-513.85M,,,-1.822M,-513.85M,-507.40M,-684.29M,,2007-08,-3.186,0.00,,,2007-08,-3.186,0.00,,,2007-08,161.27M,,2007-08,,
2007-05,2.876B,2.876B,3.173B,-297.28M,,45.82M,-12.83M,,,,45.82M,-343.09M,,,-39.35M,,-383.27M,-139.07M,-244.20M,,,-0.824M,-244.20M,-236.03M,-330.08M,,2007-05,-1.520,0.00,,,2007-05,-1.520,0.00,,,2007-05,160.70M,,2007-05,,
2007-02,2.792B,2.792B,2.811B,-19.13M,,46.92M,189.72M,,,,46.92M,-66.05M,,,175.52M,,108.92M,40.30M,68.62M,,,-0.544M,68.62M,-50.90M,-53.44M,,2007-02,0.4314,0.00,,,2007-02,0.4216,0.00,,,2007-02,159.08M,,2007-02,,
2006-11,4.266B,4.266B,4.491B,-224.46M,,34.02M,8.977M,,,,34.02M,-258.49M,,,-50.64M,,-310.48M,-114.88M,-195.60M,,,-1.36M,-195.60M,-201.26M,-245.76M,,2006-11,-1.206,0.00,,,2006-11,-1.206,0.00,,,2006-11,160.28M,,2006-11,,
2006-08,4.182B,4.182B,3.818B,364.08M,,50.86M,21.84M,,,,50.86M,313.22M,,,15.94M,,328.06M,121.38M,206.68M,,,-1.101M,206.68M,192.91M,325.01M,,2006-08,1.284,0.00,,,2006-08,1.275,0.00,,,2006-08,160.92M,,2006-08,,
2006-05,4.578B,4.578B,4.030B,547.38M,,56.53M,16.38M,,,,56.53M,490.85M,,,31.17M,,515.47M,190.72M,324.75M,,,-6.541M,324.75M,314.43M,502.18M,,2006-05,2.00,0.00,,,2006-05,1.961,0.00,,,2006-05,162.37M,,2006-05,,
2006-02,3.241B,3.241B,2.832B,408.29M,,51.89M,19.43M,,,,51.89M,356.40M,,,57.62M,,409.61M,151.55M,258.05M,,,-4.413M,258.05M,245.81M,370.55M,,2006-02,1.608,0.00,,,2006-02,1.549,0.00,,,2006-02,160.50M,,2006-02,,
2005-11,5.030B,5.030B,4.138B,891.96M,,63.53M,37.20M,,,,63.53M,828.43M,,,116.33M,,933.59M,352.43M,581.16M,0.00,,-11.18M,581.16M,558.01M,845.02M,,2005-11,3.532,-0.0018,,,2005-11,3.461,-0.0098,,,2005-11,157.90M,,2005-11,,
2005-08,3.498B,3.498B,2.935B,563.46M,,45.74M,20.43M,,,,45.74M,517.71M,,,37.23M,,541.77M,204.52M,337.25M,,,-13.17M,337.25M,324.53M,537.80M,,2005-08,2.137,0.00,,,2005-08,2.020,0.00,,,2005-08,157.80M,,2005-08,,
2005-05,2.933B,2.933B,2.505B,428.46M,,40.83M,-15.24M,,,,40.83M,387.63M,,,6.508M,,374.69M,141.44M,233.24M,10.29M,,-19.45M,243.54M,242.73M,404.31M,,2005-05,1.480,0.0686,,,2005-05,1.392,0.0588,,,2005-05,157.22M,,2005-05,,
2005-02,2.407B,2.407B,2.090B,317.39M,,37.16M,14.00M,,,,37.16M,280.23M,,,30.14M,,310.37M,117.16M,193.21M,,,,193.21M,184.49M,299.52M,,2005-02,1.225,0.00,,,2005-02,1.147,0.00,,,2005-02,157.66M,,2005-02,,
2004-11,3.549B,3.549B,2.994B,555.33M,,47.61M,50.68M,,,,47.61M,507.72M,,,112.50M,,609.43M,230.06M,379.37M,0.365M,,,379.73M,347.82M,527.30M,,2004-11,2.392,0.0098,,,2004-11,2.235,0.00,,,2004-11,157.80M,,2004-11,,
2004-08,2.747B,2.747B,2.372B,375.67M,,34.18M,10.26M,,,,34.18M,341.48M,,,19.94M,,361.43M,136.44M,224.99M,0.234M,,,225.22M,218.60M,361.61M,,2004-08,1.422,0.00,,,2004-08,1.333,0.00,,,2004-08,158.43M,,2004-08,,
2004-05,2.342B,2.342B,2.020B,321.81M,,31.25M,18.70M,,,,31.25M,290.56M,,,32.66M,,323.22M,122.02M,201.20M,0.207M,,,201.41M,189.56M,309.14M,,2004-05,1.275,0.00,,,2004-05,1.196,0.00,,,2004-05,158.03M,,2004-05,,
2004-02,1.863B,1.863B,1.634B,229.06M,,28.68M,18.04M,,,,28.68M,200.38M,,,23.31M,,223.70M,84.45M,139.25M,,,,139.25M,128.02M,215.40M,,2004-02,0.8824,0.00,,,2004-02,0.8235,0.00,,,2004-02,157.82M,,2004-02,,
2003-11,2.936B,2.936B,2.488B,448.28M,,36.61M,6.274M,,,,36.61M,411.68M,,,43.23M,,454.91M,171.73M,283.18M,,,,283.18M,279.28M,427.20M,,2003-11,1.819,0.00,,,2003-11,1.681,0.00,,,2003-11,159.60M,,2003-11,,
2003-08,2.268B,2.268B,1.946B,321.38M,,27.49M,4.864M,,,,27.49M,293.90M,,,29.92M,,323.82M,122.24M,201.58M,,,,201.58M,198.55M,311.52M,,2003-08,1.319,0.00,,,2003-08,1.191,0.00,,,2003-08,152.87M,,2003-08,,
2003-05,2.103B,2.103B,1.836B,266.65M,,25.73M,5.295M,,,,25.73M,240.92M,,,16.61M,,257.53M,97.22M,160.32M,,,,160.32M,157.02M,262.91M,,2003-05,1.108,0.00,,,2003-05,1.00,0.00,,,2003-05,144.71M,,2003-05,,
2003-02,1.600B,1.600B,1.422B,178.42M,,21.66M,5.43M,,,,21.66M,156.76M,,,14.03M,,170.79M,64.47M,106.32M,,,,106.32M,102.94M,177.54M,,2003-02,0.7353,0.00,,,2003-02,0.6667,0.00,,,2003-02,144.59M,,2003-02,,
2002-11,2.601B,2.601B,2.243B,358.02M,,29.98M,7.854M,,,,29.98M,328.04M,,,33.42M,,361.46M,136.45M,225.01M,,,,225.01M,220.12M,349.33M,,2002-11,1.564,0.00,,,2002-11,1.412,0.00,,,2002-11,144.54M,,2002-11,,
2002-08,1.848B,1.848B,1.611B,236.76M,,19.58M,7.102M,,,,19.58M,217.19M,,,11.28M,,228.46M,86.24M,142.22M,,,,142.22M,137.80M,235.77M,,2002-08,0.9902,0.00,,,2002-08,0.8971,0.00,,,2002-08,143.63M,,2002-08,,
2002-05,1.572B,1.572B,1.351B,220.60M,,19.78M,,,,,19.78M,200.82M,,,,,170.29M,64.29M,106.01M,,,,106.01M,106.01M,216.92M,,2002-05,0.7402,0.00,,,2002-05,0.6716,0.00,,,2002-05,143.21M,,2002-05,,
2002-02,1.248B,1.248B,1.092B,156.16M,,16.62M,,,,,16.62M,139.54M,,,,,115.49M,43.60M,71.89M,,,,71.89M,71.89M,155.95M,,2002-02,0.5080,0.00,,,2002-02,0.4590,0.00,,,2002-02,141.51M,,2002-02,,
2001-11,1.907B,1.907B,1.749B,157.71M,,22.11M,,,,,22.11M,135.60M,,,,,264.84M,101.96M,162.88M,,,,162.88M,162.88M,154.28M,,2001-11,-1.814,0.00,,,2001-11,-1.814,0.00,,,2001-11,140.58M,,2001-11,,
2001-08,1.578B,1.578B,1.354B,223.71M,,19.54M,,,,,19.54M,204.17M,,,,,173.49M,66.79M,106.70M,,,,106.70M,106.70M,222.11M,,2001-08,0.7531,0.00,,,2001-08,0.6818,0.00,,,2001-08,141.67M,,2001-08,,
2001-05,1.392B,1.392B,1.186B,205.49M,,18.39M,,,,,18.39M,187.10M,,,,,157.73M,60.73M,97.01M,,,,97.01M,97.01M,202.74M,,2001-05,0.6907,0.00,,,2001-05,0.6239,0.00,,,2001-05,140.44M,,2001-05,,
2001-02,1.104B,1.104B,981.15M,122.90M,,15.79M,,,,,15.79M,107.11M,,,,,83.36M,32.09M,51.27M,,,,51.27M,51.27M,123.51M,,2001-02,0.3699,0.00,,,2001-02,0.3342,0.00,,,2001-02,138.60M,,2001-02,,
2000-11,1.722B,1.722B,1.469B,253.18M,,16.28M,,,,,32.66M,220.52M,,,,,179.47M,70.00M,109.48M,,,,109.48M,109.48M,236.90M,,2000-11,0.8289,0.00,,,2000-11,0.7398,0.00,,,2000-11,137.76M,,2000-11,,
2000-08,1.376B,1.376B,1.219B,157.10M,,13.55M,,,,,29.26M,127.84M,,,,,100.01M,39.00M,61.01M,,,,61.01M,61.01M,143.54M,,2000-08,0.4412,0.00,,,2000-08,0.4011,0.00,,,2000-08,138.28M,,2000-08,,
2000-05,968.18M,968.18M,864.71M,103.47M,,11.27M,,,,,23.97M,79.50M,,,,,59.74M,23.30M,36.44M,,,,36.44M,36.44M,92.20M,,2000-05,0.3075,0.00,,,2000-05,0.2852,0.00,,,2000-05,118.51M,,2000-05,,
2000-02,640.37M,640.37M,571.19M,69.18M,,9.057M,,,,,22.80M,46.38M,,,,,36.41M,14.20M,22.21M,,,,22.21M,22.21M,60.12M,,2000-02,0.1872,0.00,,,2000-02,0.1783,0.00,,,2000-02,118.67M,,2000-02,,
