,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-02,136.82M,-164.88M,-0.207M,-0.883M,2.431M,-163.54M,,,19.57M,19.57M,33.79M,,5.486M,,17.77M,,12.09M,-22.41M,-548.72M,-46.32M,422.99M,-26.58M,-221.05M,,-155.53M,,2018-02,-40.81M,,-40.81M,-39.90M,1.877M,-1.004B,,2018-02,-381.95M,,-381.95M,0.00,-25.36M,-25.36M,-9.617M,,-33.42M,-450.35M,,2.694B,-1.610B,1.084B,,2018-02,0.00,78.11M,-25.36M,,2018-02,AOR,Restated
2017-11,297.78M,0.00,,-0.055M,-36.64M,-49.48M,,,19.42M,19.42M,95.08M,,37.55M,,18.05M,-0.001M,7.11M,-72.26M,241.09M,213.82M,-224.53M,-6.696M,151.42M,,654.66M,,2017-11,-44.67M,,-44.67M,-35.17M,136.64M,112.47M,,2017-11,899.06M,,899.06M,0.027M,0.05M,0.077M,-9.427M,,166.55M,1.056B,,837.73M,1.823B,2.694B,,2017-11,0.027M,1.191B,0.05M,,2017-11,AOR,Restated
2017-08,243.59M,0.00,0.00,-1.69M,-6.852M,-8.542M,,,17.49M,17.49M,-17.22M,,14.43M,,18.49M,0.00,3.139M,308.56M,-247.40M,199.18M,-21.44M,-38.30M,200.58M,,487.47M,,2017-08,-20.06M,0.00,-20.06M,-30.05M,-12.29M,-84.02M,,2017-08,-506.74M,,-506.74M,0.00,-27.02M,-27.02M,-9.403M,,-6.531M,-549.70M,,983.97M,-146.24M,837.73M,,2017-08,0.00,38.86M,-27.02M,,2017-08,AOR,Restated
2017-05,200.71M,,,-1.676M,6.349M,4.673M,,,17.68M,17.68M,49.43M,,20.32M,,12.31M,-0.027M,12.34M,-247.90M,-53.47M,-45.26M,-199.12M,-23.22M,-568.97M,,-239.08M,,2017-05,-21.26M,,-21.26M,-6.559M,11.50M,-107.45M,,2017-05,435.28M,,435.28M,0.594M,0.00,0.594M,-9.378M,,-25.06M,401.44M,,929.06M,54.91M,983.97M,,2017-05,0.594M,457.70M,0.00,,2017-05,AOR,Restated
2017-02,29.67M,,,-1.698M,-12.34M,-14.03M,,,11.74M,11.74M,-36.23M,,25.48M,,12.50M,-1.953M,5.062M,264.71M,-601.71M,-11.06M,339.49M,23.69M,15.12M,,79.32M,,2017-02,-25.78M,,-25.78M,-47.27M,-9.326M,-766.08M,,2017-02,330.29M,,330.29M,0.099M,-0.083M,0.016M,-9.40M,,-34.61M,286.29M,,1.330B,-400.47M,929.06M,,2017-02,0.099M,892.86M,-0.083M,,2017-02,AOR,Restated
2016-11,310.47M,,-1.898M,-4.129M,-26.78M,-32.81M,,,14.43M,14.43M,43.65M,,18.31M,,20.89M,0.00,4.184M,-300.95M,388.68M,45.52M,-36.39M,-14.28M,82.58M,,510.88M,,2016-11,-21.59M,7.838M,-13.75M,-21.79M,24.50M,30.84M,,2016-11,10.88M,,10.88M,0.00,-0.031M,-0.031M,-9.102M,,-30.04M,-28.29M,,816.10M,513.43M,1.330B,,2016-11,0.00,-14.47M,-0.031M,,2016-11,AOR,Restated
2016-08,233.13M,,-12.56M,-4.413M,6.998M,-8.82M,,,13.03M,13.03M,8.295M,,11.02M,,12.36M,0.00,10.96M,-195.98M,-23.43M,74.56M,32.79M,-4.683M,-116.73M,,172.30M,,2016-08,-15.63M,17.45M,1.819M,-0.033M,12.36M,32.95M,,2016-08,-170.51M,,-170.51M,18.88M,-18.90M,-0.023M,-9.031M,,-25.07M,-204.64M,,815.48M,0.618M,816.10M,,2016-08,18.88M,-231.56M,-18.90M,,2016-08,AOR,Restated
2016-05,224.04M,,,-5.608M,-11.24M,-16.43M,,,12.68M,12.68M,2.136M,,9.895M,,11.12M,-0.01M,4.812M,-26.37M,-191.70M,151.81M,-134.63M,-23.38M,-224.27M,,40.50M,,2016-05,-20.76M,,-20.76M,-8.251M,-4.059M,-83.04M,,2016-05,251.57M,,251.57M,0.594M,-0.752M,-0.158M,-8.639M,,-105.22M,137.55M,,720.46M,95.02M,815.48M,,2016-05,0.594M,382.92M,-0.752M,,2016-05,AOR,Restated
2016-02,145.45M,,,-7.23M,-24.18M,-31.41M,,,10.08M,10.08M,43.40M,,5.976M,,11.14M,-7.029M,5.941M,262.45M,-677.08M,-250.47M,228.32M,10.13M,-426.64M,,-215.89M,,2016-02,-18.45M,,-18.45M,-24.66M,-7.321M,-66.59M,,2016-02,51.72M,,51.72M,0.00,-0.219M,-0.219M,-8.552M,,-198.46M,-155.51M,,1.158B,-437.99M,720.46M,,2016-02,0.00,506.76M,-0.219M,,2016-02,AOR,Restated
2015-11,292.66M,,0.00,-21.50M,-34.50M,-55.58M,,,13.22M,13.22M,-1.747M,,8.954M,,11.67M,0.00,18.10M,-130.58M,157.20M,176.20M,149.19M,12.06M,364.07M,,668.77M,,2015-11,-30.43M,0.00,-30.43M,-12.70M,-44.51M,-82.71M,,2015-11,-148.85M,,-148.85M,-0.001M,-0.055M,-0.056M,-8.427M,,-75.57M,-232.90M,,805.29M,353.15M,1.158B,,2015-11,-0.001M,-92.99M,-0.055M,,2015-11,AOR,Restated
2015-08,225.04M,,0.00,-6.188M,-25.89M,-28.79M,,,11.54M,11.54M,-6.299M,,7.631M,,11.55M,0.00,12.45M,28.85M,-165.32M,20.58M,-207.32M,-12.41M,-335.61M,,-93.88M,,2015-08,-10.20M,0.00,-10.20M,-4.281M,-20.23M,-8.345M,,2015-08,214.22M,,214.22M,-0.006M,-22.16M,-22.17M,-8.347M,,-196.34M,-12.64M,,920.16M,-114.86M,805.29M,,2015-08,-0.006M,247.55M,-22.16M,,2015-08,AOR,Restated
2015-05,184.58M,,0.527M,-5.286M,-13.40M,-17.63M,,,10.60M,10.60M,-25.21M,,4.539M,,10.40M,-0.078M,14.39M,-195.38M,-397.57M,238.67M,-43.93M,-52.47M,-450.68M,,-264.27M,,2015-05,-21.78M,73.73M,51.95M,-7.875M,4.623M,59.86M,,2015-05,340.13M,,340.13M,1.185M,-0.786M,0.399M,-8.21M,,-26.18M,306.14M,,818.43M,101.73M,920.16M,,2015-05,1.185M,912.74M,-0.786M,,2015-05,AOR,Restated
2015-02,116.92M,,-6.472M,-3.405M,-31.38M,-41.87M,,,8.306M,8.306M,27.62M,,4.055M,,10.25M,-0.035M,5.936M,210.67M,-721.22M,-209.67M,-216.67M,45.54M,-891.35M,,-730.26M,,2015-02,-28.95M,,-28.95M,-50.26M,3.583M,-67.19M,,2015-02,392.03M,,392.03M,8.227M,-0.186M,8.041M,-8.208M,,-57.79M,334.07M,,1.282B,-463.38M,818.43M,,2015-02,8.227M,547.26M,-0.186M,,2015-02,AOR,Restated
2014-11,252.67M,,0.00,-16.33M,-12.12M,-28.87M,,,11.38M,11.38M,-1.027M,,21.18M,,12.13M,-4.49M,10.29M,-171.52M,-32.71M,174.14M,-146.92M,10.81M,-166.21M,,110.01M,,2014-11,-10.18M,43.94M,33.75M,12.21M,-17.02M,195.90M,,2014-11,196.37M,,196.37M,-0.004M,-8.271M,-8.275M,-8.21M,,-37.50M,142.38M,,833.51M,448.30M,1.282B,,2014-11,-0.004M,549.52M,-8.271M,,2014-11,AOR,Restated
2014-08,173.44M,,0.00,-3.933M,-32.84M,-38.28M,,,10.52M,10.52M,-23.33M,,11.15M,,11.30M,-2.725M,11.26M,121.59M,-353.61M,85.93M,-193.00M,-6.272M,-345.36M,,-176.80M,,2014-08,-4.203M,0.00,-4.203M,-9.296M,25.31M,54.55M,,2014-08,54.54M,,54.54M,0.301M,-11.59M,-11.29M,-8.21M,,-39.51M,-4.47M,,960.24M,-126.73M,833.51M,,2014-08,0.301M,132.34M,-11.59M,,2014-08,AOR,Restated
2014-05,122.62M,,0.00,-7.194M,-18.15M,-27.97M,,,8.806M,8.806M,57.60M,,35.10M,,8.55M,-0.145M,5.574M,-132.15M,-389.09M,140.07M,-110.86M,-47.91M,-539.94M,,-327.09M,,2014-05,-4.681M,0.00,-4.681M,47.81M,1.329M,112.64M,,2014-05,339.92M,,339.92M,0.882M,-0.566M,0.316M,-8.186M,,-31.65M,300.39M,,874.30M,85.94M,960.24M,,2014-05,0.882M,426.79M,-0.566M,,2014-05,AOR,Restated
2014-02,79.96M,,0.00,-9.441M,-10.27M,-19.71M,,,7.839M,7.839M,42.08M,,9.025M,,8.741M,-0.137M,7.36M,69.08M,-592.01M,-74.06M,55.43M,10.46M,-531.10M,,-394.61M,,2014-02,-3.531M,,-3.531M,-20.21M,7.439M,75.27M,,2014-02,257.01M,,257.01M,12.42M,0.00,12.42M,-8.169M,,-38.13M,223.13M,,970.50M,-96.21M,874.30M,,2014-02,12.42M,364.78M,0.00,,2014-02,AOR,Restated
2013-11,183.02M,,,-10.30M,-7.069M,-31.80M,,,8.666M,8.666M,83.68M,,-0.273M,,10.16M,0.00,8.205M,-94.52M,-157.76M,45.58M,129.47M,22.94M,-54.29M,,210.02M,,2013-11,-3.195M,,137.37M,-5.409M,73.71M,255.20M,,2013-11,-18.33M,,-18.33M,0.169M,-12.13M,-11.96M,-7.77M,,-28.43M,-66.50M,,571.77M,398.74M,970.50M,,2013-11,0.169M,200.24M,-12.13M,,2013-11,AOR,Restated
2013-08,122.15M,,,-12.57M,-15.54M,-28.12M,,,7.944M,7.944M,61.76M,,8.773M,,10.33M,-1.908M,-1.094M,9.469M,-516.72M,119.30M,-208.26M,7.578M,-588.63M,,-407.83M,,2013-08,-1.952M,,-1.952M,-15.69M,-25.32M,32.03M,,2013-08,71.74M,,71.74M,4.325M,-0.108M,4.217M,-7.752M,,-12.31M,55.89M,,891.68M,-319.91M,571.77M,,2013-08,4.325M,200.11M,-0.108M,,2013-08,AOR,Restated
2013-05,142.80M,,,-15.35M,-17.97M,-33.31M,,,7.406M,7.406M,13.90M,,7.312M,,6.708M,-5.227M,14.40M,22.59M,-438.06M,57.96M,-46.50M,-38.65M,-442.67M,,-288.42M,,2013-05,-1.718M,,-1.718M,12.31M,-17.84M,141.97M,,2013-05,-34.96M,,-34.96M,7.952M,-0.083M,7.869M,-7.697M,,-169.20M,-203.99M,,1.242B,-350.44M,891.68M,,2013-05,7.952M,80.22M,-0.083M,,2013-05,AOR,Restated
2013-02,56.96M,,,-10.14M,-5.306M,-16.44M,,,6.333M,6.333M,-7.73M,,7.885M,,6.486M,-3.013M,10.42M,-0.24M,-514.60M,-41.11M,167.42M,5.976M,-382.55M,,-321.49M,,2013-02,-1.261M,,-1.261M,-14.20M,232.34M,260.05M,,2013-02,-6.018M,,-6.018M,21.67M,,21.67M,-7.693M,,-15.14M,-7.181M,,1.311B,-68.63M,1.242B,,2013-02,21.67M,362.03M,,,2013-02,AOR,Restated
2012-11,123.52M,,,-7.252M,8.482M,1.23M,,,7.713M,7.713M,-45.14M,,7.092M,,7.564M,-9.242M,29.38M,-31.58M,-8.178M,65.81M,-82.99M,-11.40M,-68.33M,,65.86M,,2012-11,0.379M,0.00,0.379M,-31.67M,-9.103M,4.341M,,2012-11,400.92M,,400.92M,15.85M,-17.15M,-1.298M,-7.639M,,3.397M,395.38M,,845.16M,465.58M,1.311B,,2012-11,15.85M,460.22M,-17.15M,,2012-11,AOR,Restated
2012-08,71.41M,,,-0.418M,-7.56M,-1.468M,,,7.877M,7.877M,-19.41M,,22.99M,,8.249M,-1.572M,13.94M,-25.95M,-224.94M,28.72M,-154.48M,-4.336M,-380.99M,,-276.70M,,2012-08,-3.201M,-0.39M,-3.591M,20.63M,-36.18M,62.75M,,2012-08,267.23M,,267.23M,4.249M,0.00,4.249M,-7.623M,,-34.14M,229.72M,,829.38M,15.78M,845.16M,,2012-08,4.249M,348.60M,0.00,,2012-08,AOR,Restated
2012-05,454.42M,,,-6.27M,3.812M,-2.458M,,,4.861M,4.861M,-403.01M,,2.418M,,7.771M,0.00,9.619M,-26.77M,-157.77M,36.75M,3.683M,-15.05M,-159.17M,,-81.36M,,2012-05,,-0.75M,-0.75M,-3.934M,-19.20M,21.49M,,2012-05,-15.88M,,-15.88M,1.313M,0.00,1.313M,-7.57M,,-11.51M,-33.65M,,922.91M,-93.52M,829.38M,,2012-05,1.313M,2.456M,0.00,,2012-05,AOR,Restated
2012-02,7.977M,,,-5.831M,-19.54M,-26.36M,,,7.63M,7.63M,0.00,,4.748M,,8.161M,0.00,7.697M,101.67M,-172.16M,-103.15M,30.87M,-0.41M,-143.18M,,-132.44M,,2012-02,,1.14M,1.14M,4.075M,141.71M,156.71M,,2012-02,-262.89M,,-262.89M,10.76M,,10.76M,-7.562M,,-5.272M,-264.96M,,1.164B,-240.70M,922.91M,,2012-02,10.76M,78.09M,,,2012-02,AOR,Restated
2011-11,25.47M,,,-80.23M,-5.611M,-90.58M,,,9.179M,9.179M,0.00,-12.62M,-25.00M,56.91M,7.827M,0.283M,55.35M,-142.89M,79.23M,-32.98M,,-47.61M,-205.69M,,-143.55M,,2011-11,-6.629M,0.00,-6.629M,112.56M,-7.914M,25.48M,,2011-11,381.17M,,381.17M,1.204M,-5.695M,-4.491M,,33.83M,-48.68M,354.35M,,927.33M,236.27M,1.164B,,2011-11,1.204M,489.79M,-5.695M,,2011-11,AOR,Restated
2011-08,23.50M,,,1.552M,11.25M,12.80M,,,4.67M,4.67M,0.00,4.218M,40.04M,-21.57M,4.714M,-0.022M,-3.469M,-9.15M,-67.41M,7.517M,,-97.40M,-166.45M,,-120.19M,,2011-08,-2.00M,,-2.00M,-60.22M,-15.29M,-66.06M,,2011-08,5.859M,,5.859M,0.694M,-0.019M,0.675M,,-16.56M,-0.358M,-17.87M,,1.131B,-204.12M,927.33M,,2011-08,0.694M,1.748M,-0.019M,,2011-08,AOR,Restated
2011-05,24.85M,,,-1.494M,8.505M,7.011M,,,3.884M,3.884M,0.00,4.339M,6.942M,-17.96M,4.776M,-0.003M,4.078M,-23.91M,30.35M,14.37M,,-63.78M,-42.98M,,-5.066M,,2011-05,-1.307M,-0.008M,-1.315M,-52.40M,-45.92M,-93.43M,,2011-05,33.42M,,33.42M,0.099M,-0.01M,0.089M,,-6.409M,3.735M,23.36M,,1.207B,-75.13M,1.131B,,2011-05,0.099M,1.134M,-0.01M,,2011-05,AOR,Restated
2011-02,38.73M,,,-4.801M,-5.836M,-10.64M,,,3.767M,3.767M,,4.061M,0.00,-17.38M,6.73M,-0.258M,18.01M,43.69M,-81.07M,-95.75M,,99.78M,-33.35M,,9.675M,,2011-02,,0.008M,0.008M,-35.48M,25.70M,-2.136M,,2011-02,-177.10M,0.00,-177.10M,4.754M,,4.754M,,-10.86M,-4.416M,-195.09M,,1.394B,-187.55M,1.207B,,2011-02,4.754M,0.075M,,,2011-02,AOR,Restated
2010-11,42.52M,,,,-4.30M,-16.01M,,,3.794M,3.794M,,3.392M,27.10M,,11.08M,0.00,-35.86M,-7.268M,115.08M,-44.33M,,-40.93M,22.54M,,85.14M,,2010-11,-4.459M,,-4.459M,7.355M,54.59M,-116.21M,,2010-11,406.66M,,406.66M,0.469M,0.00,0.469M,22.18M,-3.517M,-8.547M,387.67M,,1.038B,356.60M,1.394B,,2010-11,0.469M,447.31M,0.00,,2010-11,AOR,Restated
2010-08,38.83M,,,,-1.634M,-7.401M,,,3.376M,3.376M,,1.989M,27.42M,,5.356M,0.00,32.61M,-41.33M,-99.06M,20.35M,,-20.14M,-140.18M,,-85.59M,,2010-08,0.339M,,0.339M,-125.11M,3.919M,-113.97M,,2010-08,-5.585M,,-5.585M,0.016M,-0.013M,0.003M,-22.18M,-8.159M,1.155M,-19.98M,,1.257B,-219.53M,1.038B,,2010-08,0.016M,0.443M,-0.013M,,2010-08,AOR,Restated
2010-05,46.58M,,,,3.088M,10.09M,,,3.446M,3.446M,,0.797M,-8.921M,,5.341M,0.00,15.11M,203.40M,-39.71M,-24.53M,,-26.35M,112.81M,,185.26M,,2010-05,0.978M,,0.978M,102.60M,-125.90M,-19.08M,,2010-05,199.78M,,199.78M,0.863M,-0.22M,0.643M,7.386M,-11.56M,-3.783M,177.69M,,913.20M,343.86M,1.257B,,2010-05,0.863M,526.59M,-0.22M,,2010-05,AOR,Restated
2010-02,-7.473M,,,,8.99M,0.086M,,,2.904M,2.904M,,0.382M,8.921M,,6.298M,0.00,-0.143M,185.64M,-91.55M,-72.36M,,56.71M,78.44M,,89.42M,,2010-02,-1.92M,,-1.92M,-431.73M,,-424.11M,,2010-02,-187.40M,,-187.40M,0.89M,-1.573M,-0.683M,-7.386M,-16.07M,2.00M,-209.54M,,1.457B,-544.23M,913.20M,,2010-02,0.89M,1.163M,-1.573M,,2010-02,AOR,Restated
2009-11,17.69M,,,,26.21M,26.19M,,,5.851M,5.851M,,0.373M,247.89M,,8.429M,,256.69M,-399.21M,165.08M,18.63M,,-57.00M,-272.50M,,33.93M,,2009-11,0.832M,,1.161M,-41.60M,,-40.54M,,2009-11,1.547M,,1.547M,0.312M,-0.436M,-0.124M,-7.328M,-10.75M,-2.346M,-19.00M,,1.483B,-25.61M,1.457B,,2009-11,0.312M,2.369M,-0.436M,,2009-11,AOR,Restated
2009-08,-174.38M,,,,42.66M,41.49M,,,3.891M,3.891M,,0.369M,86.78M,,6.371M,,93.52M,46.22M,38.87M,-4.78M,,89.36M,169.67M,,134.19M,,2009-08,-0.183M,,-0.183M,-156.99M,,-136.66M,,2009-08,-169.29M,,-169.29M,97.34M,-0.055M,97.29M,-7.004M,-14.83M,0.03M,-93.80M,,1.579B,-96.28M,1.483B,,2009-08,97.34M,-49.17M,-0.055M,,2009-08,AOR,Restated
2009-05,-131.70M,,,,60.65M,60.65M,,,4.834M,4.834M,,0.273M,49.02M,,7.872M,,57.16M,16.64M,256.39M,-20.24M,,-71.20M,181.60M,,172.53M,,2009-05,-0.649M,,-0.747M,-42.12M,,-41.20M,,2009-05,126.47M,0.00,126.47M,123.78M,-0.389M,123.39M,-6.844M,-4.307M,-5.818M,232.89M,,1.215B,364.22M,1.579B,,2009-05,123.78M,440.52M,-0.389M,,2009-05,AOR,Restated
2009-02,-157.66M,,,,3.899M,3.899M,,,5.329M,5.329M,,0.721M,88.45M,,7.72M,,96.89M,218.47M,-31.38M,-89.51M,,34.15M,131.74M,,80.20M,,2009-02,,,0.098M,-58.85M,,-56.72M,,2009-02,-1.436M,,-1.436M,0.00,-0.686M,-0.686M,-6.412M,-3.768M,0.51M,-11.79M,,1.203B,11.68M,1.215B,,2009-02,0.00,18.58M,-0.686M,,2009-02,,Restated
2008-11,-815.09M,,,,9.567M,-123.53M,,,6.457M,6.457M,1.018B,0.784M,210.78M,,8.583M,,8.903M,-283.28M,333.29M,-112.89M,,-5.24M,-68.12M,,246.47M,,2008-11,2.234M,,3.624M,-364.28M,343.85M,-9.451M,,2008-11,-315.45M,347.27M,31.82M,0.00,-0.072M,-0.072M,-6.414M,-4.288M,5.946M,26.99M,,939.42M,264.01M,1.203B,,2008-11,0.00,2.554M,-0.072M,,2008-11,,Restated
2008-08,-298.10M,,,,20.87M,20.87M,,,7.554M,7.554M,-48.84M,0.572M,354.68M,,6.415M,,-19.32M,76.24M,-60.33M,11.29M,,36.54M,63.74M,,87.57M,,2008-08,-1.288M,,-1.288M,11.14M,-112.83M,-76.98M,,2008-08,160.77M,-347.27M,-186.50M,0.00,-0.145M,-0.145M,-77.07M,-44.15M,175.22M,-81.23M,,1.010B,-70.63M,939.42M,,2008-08,0.00,0.121M,-0.145M,,2008-08,,Restated
2008-05,88.22M,,,,49.79M,20.30M,-9.888M,-0.644M,7.856M,7.856M,-58.34M,1.306M,,,14.87M,,-89.48M,890.06M,58.54M,-116.29M,-0.46M,-894.31M,-62.45M,,-77.73M,,2008-05,-0.946M,-0.317M,-1.263M,1.455M,-103.29M,-48.65M,,2008-05,-289.80M,0.00,3.205M,0.00,-1.197M,-1.197M,,,-16.03M,-39.71M,,1.176B,-166.09M,1.010B,,2008-05,0.00,0.873M,-1.197M,,2008-05,,Restated
2008-02,-88.22M,,,,,29.49M,9.888M,0.644M,10.53M,10.53M,-138.00M,,,,,,93.77M,145.63M,-39.24M,-128.31M,0.46M,958.42M,936.95M,,844.52M,,2008-02,,0.317M,0.317M,-3.207M,-127.73M,-130.62M,,2008-02,,,-293.01M,0.224M,-0.344M,-0.12M,,,-14.10M,-332.96M,,795.19M,380.95M,1.176B,,2008-02,0.224M,,-0.344M,,2008-02,,
