,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,869.00M,4.984B,2.064B,7.048B,4.192B,,4.192B,550.00M,503.00M,,1.053B,894.00M,,,,13.19B,,112.71B,-66.71B,46.00B,,,,9.572B,399.00M,,,1.572B,57.54B,70.73B,3.886B,1.341B,5.227B,1.137B,6.364B,,337.00M,337.00M,,7.109B,7.789B,16.71B,,16.71B,5.409B,6.57B,,1.832B,172.00M,,,32.90B,40.01B,18.00M,29.66B,46.64B,40.41B,,,,,-5.371B,30.55B
2017-12,948.00M,6.325B,3.772B,10.10B,4.32B,,4.32B,548.00M,512.00M,,1.06B,1.035B,,,,16.51B,110.43B,110.43B,-64.75B,45.68B,,,,9.224B,461.00M,375.00M,,1.107B,56.85B,73.36B,4.03B,1.038B,5.068B,1.029B,6.097B,,2.575B,2.575B,,9.397B,7.631B,17.13B,,17.13B,5.282B,6.551B,,1.854B,194.00M,,,33.16B,42.56B,18.00M,29.39B,46.62B,39.91B,,,,,-5.518B,30.61B
2017-09,925.00M,6.911B,4.78B,11.69B,3.364B,,3.364B,558.00M,465.00M,,1.023B,876.00M,,,,16.95B,,110.78B,-64.12B,46.67B,,,,9.696B,461.00M,,,1.081B,57.91B,74.86B,3.416B,1.005B,4.421B,851.00M,5.272B,,1.331B,1.331B,,7.131B,7.763B,19.67B,,19.67B,6.262B,7.679B,,1.903B,212.00M,,,37.02B,44.15B,18.00M,28.13B,46.60B,38.95B,,,,,-5.292B,30.50B
2017-06,779.00M,7.534B,4.266B,11.80B,3.163B,,3.163B,572.00M,447.00M,,1.019B,3.897B,,,,19.88B,,108.86B,-62.02B,46.85B,,,,9.681B,522.00M,,,1.076B,58.12B,78.00B,3.434B,791.00M,4.225B,1.394B,5.619B,,3.798B,3.798B,,9.926B,7.631B,19.67B,,19.67B,6.335B,7.779B,,2.499B,213.00M,,,37.58B,47.50B,18.00M,28.03B,46.56B,37.98B,,,,,-6.342B,30.29B
2017-03,842.00M,3.109B,252.00M,3.361B,3.359B,,3.359B,588.00M,509.00M,,1.097B,2.911B,,,,10.73B,,120.84B,-66.40B,54.44B,,,,21.15B,522.00M,,,1.13B,77.24B,87.97B,3.531B,756.00M,4.287B,1.679B,5.966B,,1.095B,1.095B,,7.526B,7.884B,25.34B,,25.34B,7.568B,9.088B,,2.534B,248.00M,,,44.85B,52.37B,18.00M,31.80B,46.51B,37.02B,,,,,-5.961B,35.35B
2016-12,623.00M,3.61B,50.00M,3.66B,3.414B,,3.414B,600.00M,418.00M,,1.018B,517.00M,,,,8.609B,131.41B,131.41B,-73.08B,58.33B,,,,20.46B,581.00M,631.00M,,1.16B,81.16B,89.77B,3.653B,484.00M,4.137B,994.00M,5.131B,,1.089B,1.089B,,6.909B,8.425B,26.19B,,26.19B,8.949B,10.47B,,2.552B,252.00M,,,47.64B,54.55B,18.00M,31.55B,46.51B,36.91B,,,,,-6.193B,34.97B
2016-09,728.00M,4.09B,234.00M,4.324B,3.32B,,3.32B,672.00M,436.00M,,1.108B,889.00M,,,,9.641B,,134.63B,-72.98B,61.65B,,,,21.28B,581.00M,,,1.13B,84.64B,94.28B,3.751B,394.00M,4.145B,1.299B,5.444B,,1.336B,1.336B,,7.537B,9.82B,27.35B,,27.35B,9.034B,10.65B,,2.471B,286.00M,,,50.29B,57.83B,18.00M,31.90B,46.48B,36.78B,,,,,-5.444B,36.17B
2016-06,837.00M,2.863B,1.289B,4.152B,3.316B,,3.316B,687.00M,463.00M,,1.15B,641.00M,,,,9.259B,,137.93B,-74.24B,63.68B,,,,21.38B,639.00M,,,1.086B,86.80B,96.05B,3.818B,554.00M,4.372B,1.107B,5.479B,,1.331B,1.331B,,7.348B,9.82B,27.35B,,27.35B,9.655B,11.18B,,2.533B,287.00M,,,50.88B,58.22B,18.00M,33.25B,46.43B,36.78B,,,,,-5.371B,37.54B
2016-03,1.016B,4.866B,307.00M,5.173B,3.954B,,3.954B,680.00M,392.00M,,1.072B,735.00M,,,,10.93B,,139.52B,-73.52B,66.00B,,,,21.17B,639.00M,,,1.094B,88.90B,99.83B,4.165B,701.00M,4.866B,1.379B,6.245B,,2.079B,2.079B,,8.825B,9.877B,27.38B,,27.38B,10.33B,11.86B,,2.493B,318.00M,,,51.60B,60.43B,18.00M,34.63B,46.36B,36.78B,,,,,-5.146B,39.09B
2015-12,528.00M,2.368B,0.00,2.368B,4.514B,,4.514B,718.00M,406.00M,,1.124B,783.00M,,,,8.789B,136.86B,136.86B,-70.41B,66.45B,,,,20.49B,696.00M,,,1.063B,88.70B,97.48B,4.933B,499.00M,5.432B,1.51B,6.942B,,1.427B,1.427B,,9.256B,9.58B,23.45B,,23.45B,11.00B,12.83B,,2.286B,320.00M,,,48.15B,57.40B,18.00M,36.41B,46.36B,36.78B,,,,,-6.247B,39.76B
2015-09,546.00M,2.413B,,2.413B,4.464B,,4.464B,755.00M,388.00M,,1.143B,1.644B,,,,9.664B,,146.25B,-74.42B,71.83B,,,,22.81B,696.00M,,,955.00M,96.28B,105.95B,5.211B,659.00M,5.87B,1.381B,7.251B,,175.00M,175.00M,,8.287B,10.28B,24.72B,,24.72B,13.32B,15.25B,,2.864B,345.00M,,,53.11B,61.39B,18.00M,40.79B,46.31B,36.78B,,,,,-6.125B,44.21B
2015-06,677.00M,3.813B,,3.813B,5.179B,,5.179B,803.00M,474.00M,,1.277B,1.675B,,,,11.94B,,148.24B,-73.85B,74.39B,,,,23.90B,750.00M,,,1.02B,100.06B,112.00B,5.869B,880.00M,6.749B,1.227B,7.976B,,138.00M,138.00M,,8.734B,10.57B,24.79B,,24.79B,14.37B,16.10B,,2.849B,349.00M,,,54.30B,63.03B,18.00M,42.78B,46.24B,36.78B,,,,,-3.641B,48.62B
2015-03,535.00M,2.664B,,2.664B,5.379B,,5.379B,777.00M,456.00M,,1.233B,1.564B,,,,10.84B,,144.48B,-70.26B,74.22B,,,,23.22B,750.00M,,,1.008B,99.20B,110.04B,6.75B,864.00M,7.614B,1.204B,8.818B,,193.00M,193.00M,,9.563B,10.30B,22.32B,,22.32B,14.04B,15.87B,,2.979B,356.00M,,,51.47B,61.03B,18.00M,43.87B,46.14B,36.78B,,,,,-4.589B,48.65B
2014-12,946.00M,5.062B,,5.062B,6.807B,,6.807B,793.00M,538.00M,,1.331B,1.868B,,,,15.07B,146.23B,146.23B,-70.79B,75.44B,,,,24.34B,804.00M,,,888.00M,101.47B,116.54B,8.026B,1.051B,9.077B,1.40B,10.48B,,182.00M,182.00M,,11.54B,10.65B,22.38B,,22.38B,15.07B,16.74B,,2.964B,362.00M,,,52.73B,64.27B,18.00M,44.50B,46.07B,36.78B,,,,,-1.902B,51.91B
2014-09,713.00M,5.408B,374.00M,5.782B,7.453B,,7.453B,794.00M,536.00M,,1.33B,1.688B,,,,16.25B,,145.91B,-70.12B,75.79B,,,,24.62B,1.202B,,,1.126B,102.73B,118.99B,8.692B,1.655B,10.35B,1.393B,11.74B,,1.688B,1.688B,,14.14B,9.803B,19.50B,,19.50B,16.08B,17.66B,,2.219B,387.00M,,,49.18B,63.32B,18.00M,45.45B,46.00B,36.78B,,,,,585.00M,55.27B
2014-06,812.00M,6.142B,288.00M,6.43B,8.204B,,8.204B,801.00M,490.00M,,1.291B,2.911B,,,,18.84B,,144.94B,-69.51B,75.42B,,,,24.94B,1.272B,,,1.173B,102.81B,121.65B,9.254B,2.77B,12.02B,1.905B,13.93B,,1.664B,1.664B,,16.19B,10.10B,19.57B,,19.57B,16.01B,17.76B,,2.345B,371.00M,,,49.77B,65.96B,18.00M,43.65B,45.93B,36.78B,,,,,2.498B,55.32B
2014-03,1.014B,7.52B,210.00M,7.73B,8.651B,,8.651B,753.00M,468.00M,,1.221B,2.798B,,,,20.40B,,140.92B,-66.89B,74.02B,,,,23.26B,1.289B,,,1.05B,99.62B,120.02B,9.604B,3.485B,13.09B,1.821B,14.91B,,1.712B,1.712B,,17.12B,9.908B,19.49B,,19.49B,15.54B,17.49B,,2.394B,399.00M,,,49.29B,66.40B,18.00M,42.43B,45.75B,36.78B,,,,,1.802B,53.22B
2013-12,636.00M,6.246B,272.00M,6.518B,8.487B,,8.487B,742.00M,452.00M,,1.194B,2.824B,,,,19.02B,138.15B,138.15B,-65.32B,72.83B,,,,23.91B,1.357B,,,943.00M,99.03B,118.06B,9.314B,2.713B,12.03B,1.671B,13.70B,,589.00M,589.00M,,15.13B,9.883B,21.07B,,21.07B,15.22B,17.02B,,2.459B,402.00M,,,50.44B,65.56B,18.00M,41.16B,45.69B,36.78B,,,,,2.002B,52.09B
2013-09,759.00M,3.883B,,3.883B,8.405B,,8.405B,762.00M,506.00M,,1.268B,9.001B,0.00,,,22.56B,,134.53B,-63.40B,71.13B,,,,23.79B,1.374B,,,908.00M,97.20B,119.76B,10.33B,2.911B,13.24B,1.841B,15.08B,,572.00M,572.00M,,16.34B,9.159B,21.10B,,21.10B,14.74B,16.58B,,2.847B,424.00M,,,51.89B,68.22B,18.00M,39.53B,45.64B,36.78B,,,,,2.712B,51.11B
2013-06,757.00M,3.909B,75.00M,3.984B,8.42B,,8.42B,742.00M,392.00M,,1.134B,9.064B,0.00,,,22.60B,,130.26B,-60.82B,69.44B,,,,22.58B,1.44B,,,891.00M,94.34B,116.95B,10.44B,2.813B,13.25B,2.375B,15.62B,,554.00M,554.00M,,16.72B,8.761B,21.17B,,21.17B,13.99B,15.76B,,3.203B,424.00M,,,51.30B,68.02B,18.00M,37.90B,45.53B,36.78B,,,,,1.84B,48.51B
2013-03,681.00M,5.422B,23.00M,5.445B,8.898B,,8.898B,737.00M,396.00M,,1.133B,8.759B,0.00,,,24.24B,,127.41B,-59.52B,67.89B,,,,23.32B,1.455B,,,885.00M,93.54B,117.78B,10.42B,3.658B,14.08B,2.453B,16.53B,,1.351B,1.351B,,18.32B,8.65B,20.32B,,20.32B,13.61B,15.38B,,3.271B,437.00M,,,50.22B,68.54B,18.00M,36.66B,45.42B,36.78B,,,,,3.478B,48.80B
2012-12,829.00M,3.618B,0.00,3.618B,9.182B,,9.182B,721.00M,244.00M,,965.00M,9.476B,748.00M,,,23.99B,126.18B,126.18B,-58.92B,67.26B,,,,23.49B,1.517B,,,886.00M,93.16B,117.14B,10.01B,3.366B,13.38B,2.367B,15.75B,,955.00M,955.00M,,17.44B,8.947B,20.77B,,20.77B,13.18B,15.40B,,3.346B,440.00M,,,51.27B,68.72B,18.00M,35.34B,45.32B,36.78B,,,,,4.087B,47.99B
2012-09,,1.268B,0.00,1.268B,9.021B,,9.183B,740.00M,436.00M,,1.176B,1.686B,2.468B,,,15.78B,,133.50B,-59.89B,73.61B,0.00,10.00M,10.00M,23.50B,1.564B,,,902.00M,99.59B,115.37B,9.982B,2.837B,12.82B,1.551B,14.37B,,2.335B,2.335B,,17.38B,8.421B,18.78B,,18.78B,14.16B,14.16B,,3.222B,471.00M,,2.523B,50.11B,67.49B,18.00M,34.76B,45.13B,36.84B,,,,,4.339B,47.41B
2012-06,,1.044B,0.00,1.044B,7.719B,,7.719B,695.00M,483.00M,,1.178B,1.971B,5.00B,,,16.91B,,128.45B,-57.22B,71.23B,0.00,11.00M,11.00M,23.37B,1.597B,,,889.00M,97.10B,114.01B,9.096B,2.819B,11.92B,1.672B,13.59B,,4.179B,4.179B,,18.36B,8.224B,18.83B,,18.83B,13.60B,13.60B,,2.873B,472.00M,,2.48B,49.20B,67.56B,18.00M,33.76B,45.02B,36.70B,,,,,3.877B,45.97B
2012-03,,3.707B,508.00M,4.215B,15.58B,1.908B,17.48B,1.001B,5.071B,,6.072B,3.246B,6.05B,,,37.07B,25.29B,151.25B,-65.69B,85.56B,3.33B,742.00M,4.072B,33.57B,,1.615B,,995.00M,125.82B,162.88B,19.64B,4.751B,26.30B,2.427B,28.73B,,7.002B,7.002B,,36.43B,,21.36B,,21.36B,18.71B,18.71B,9.073B,4.033B,509.00M,,2.842B,59.41B,95.84B,18.00M,51.29B,44.94B,33.68B,,0.00,,3.972B,3.972B,66.53B
2011-12,1.169B,5.78B,581.00M,6.361B,16.53B,,16.53B,998.00M,3.633B,,4.631B,2.70B,0.00,,,30.22B,149.21B,149.21B,-65.03B,84.18B,3.332B,745.00M,4.077B,32.11B,1.675B,,,972.00M,123.01B,153.23B,19.65B,4.22B,23.87B,2.071B,25.94B,,1.013B,1.013B,,28.07B,9.329B,21.61B,,21.61B,18.04B,20.82B,,4.068B,510.00M,,,59.41B,87.48B,17.00M,49.05B,44.72B,31.79B,,,,,3.246B,65.24B
2011-09,,3.437B,2.589B,6.026B,16.42B,,16.42B,1.00B,6.164B,,7.164B,2.785B,,,,32.39B,147.00B,147.14B,-64.04B,83.09B,3.606B,764.00M,4.37B,32.15B,,,,2.686B,122.30B,154.69B,20.84B,4.573B,25.41B,2.018B,27.43B,,616.00M,616.00M,,28.94B,,22.53B,,22.53B,17.98B,17.98B,9.286B,3.078B,520.00M,,2.781B,59.43B,88.36B,17.00M,46.68B,44.61B,28.67B,,-23.00M,,3.203B,3.18B,65.81B
2011-06,,5.505B,2.635B,8.14B,14.68B,2.127B,16.80B,1.012B,5.974B,,6.986B,2.747B,,,,34.68B,27.00B,150.22B,-65.96B,84.27B,3.606B,792.00M,4.398B,34.02B,,1.736B,,968.00M,125.39B,160.07B,18.81B,4.836B,25.85B,2.112B,27.97B,,606.00M,606.00M,,29.34B,,22.59B,,22.59B,18.06B,18.06B,9.492B,3.432B,519.00M,,2.617B,60.15B,89.49B,17.00M,44.96B,44.47B,24.86B,,-32.00M,,6.125B,6.093B,70.06B
2011-03,,6.172B,2.231B,8.403B,14.55B,,16.41B,971.00M,6.973B,,7.944B,2.858B,,,,35.61B,147.28B,147.41B,-63.64B,83.76B,3.63B,797.00M,4.427B,32.79B,,2.138B,,909.00M,124.03B,159.64B,20.20B,5.445B,25.65B,2.333B,27.98B,,605.00M,605.00M,,29.22B,,22.60B,,22.60B,17.53B,17.53B,9.455B,3.59B,549.00M,,2.59B,59.90B,89.12B,17.00M,42.48B,44.31B,21.71B,,-41.00M,,5.547B,5.506B,69.97B
2010-12,,9.454B,2.056B,11.51B,13.79B,2.025B,15.81B,943.00M,4.254B,,5.197B,2.141B,,,,34.66B,143.10B,143.22B,-60.67B,82.55B,3.633B,801.00M,4.434B,31.58B,2.18B,,,905.00M,121.65B,156.31B,18.40B,4.874B,23.27B,2.129B,25.40B,,936.00M,936.00M,,27.42B,9.199B,22.66B,,22.66B,17.34B,17.34B,,3.683B,547.00M,,2.599B,59.79B,87.20B,17.00M,40.40B,44.13B,20.08B,,-47.00M,,4.773B,4.726B,68.56B
2010-09,,7.996B,2.856B,10.85B,13.48B,,13.48B,970.00M,6.771B,,7.741B,3.246B,,,,35.32B,,140.57B,-59.11B,81.46B,3.637B,806.00M,4.443B,31.18B,2.175B,,,756.00M,120.02B,155.33B,16.06B,5.186B,21.25B,3.027B,24.28B,,376.00M,376.00M,,25.42B,8.518B,23.22B,,23.22B,17.29B,20.03B,,3.732B,556.00M,,,60.00B,85.42B,17.00M,39.16B,43.96B,17.47B,,,,,4.405B,69.36B
2010-06,,4.12B,,4.12B,13.20B,,13.20B,968.00M,6.151B,,7.119B,2.23B,,,,26.67B,,138.32B,-57.05B,81.27B,3.638B,808.00M,4.446B,35.96B,2.394B,,,724.00M,124.79B,151.46B,15.38B,4.508B,19.88B,2.035B,21.92B,,3.082B,3.082B,,25.67B,8.389B,23.20B,,23.20B,17.01B,19.76B,,3.836B,574.00M,,,59.84B,85.51B,17.00M,36.92B,43.87B,16.60B,,,,,1.881B,65.37B
2010-03,,855.00M,,855.00M,12.63B,,12.63B,995.00M,6.305B,,7.30B,2.808B,,,,23.59B,2.796B,141.37B,-54.74B,86.62B,3.635B,815.00M,4.45B,36.76B,2.56B,,,820.00M,131.22B,154.81B,15.94B,4.105B,20.04B,3.80B,23.84B,,2.763B,2.763B,,26.60B,,26.22B,,26.22B,17.89B,20.92B,,4.138B,580.00M,,13.50B,64.79B,91.39B,17.00M,32.75B,43.74B,16.21B,-69.00M,,,3.275B,3.206B,62.84B
2009-12,,542.00M,0.00,542.00M,13.22B,,13.22B,985.00M,3.955B,,4.94B,2.47B,,,,21.17B,,141.24B,-53.53B,87.71B,3.638B,823.00M,4.461B,35.74B,2.352B,,,708.00M,130.97B,152.14B,15.48B,3.402B,18.89B,2.234B,21.12B,,1.728B,1.728B,,23.70B,8.713B,26.92B,,26.92B,17.96B,21.05B,,4.13B,590.00M,,,65.83B,89.52B,17.00M,32.21B,43.68B,16.21B,,,,,3.065B,62.02B
2009-09,,641.00M,,641.00M,12.53B,,12.53B,998.00M,5.27B,,6.268B,2.814B,,,,22.25B,2.775B,138.20B,-51.06B,87.14B,3.715B,831.00M,4.546B,35.66B,2.186B,,,642.00M,130.17B,152.43B,14.86B,3.844B,18.71B,3.154B,21.86B,,2.796B,2.796B,,24.66B,,27.66B,5.177B,32.84B,18.29B,21.34B,,3.662B,587.00M,,7.836B,65.67B,90.33B,17.00M,32.18B,43.58B,16.21B,-83.00M,,,2.712B,2.629B,61.51B
2009-06,,888.00M,,888.00M,12.50B,,12.50B,950.00M,5.231B,,6.181B,3.508B,,,,23.07B,,134.25B,-48.01B,86.25B,3.715B,835.00M,4.55B,33.55B,2.038B,,,614.00M,127.00B,150.07B,14.97B,3.816B,18.79B,2.861B,21.65B,,1.438B,1.438B,,23.09B,,28.93B,5.343B,34.27B,18.14B,20.95B,,4.178B,1.078B,,7.58B,66.98B,90.07B,17.00M,31.39B,43.51B,16.21B,-89.00M,,,998.00M,909.00M,58.93B
2009-03,,802.00M,,802.00M,10.32B,,10.32B,907.00M,5.573B,,6.48B,2.602B,,,,20.20B,,128.35B,-44.30B,84.06B,3.777B,837.00M,4.614B,31.72B,1.995B,,,659.00M,123.05B,143.25B,13.32B,4.143B,17.46B,2.784B,20.25B,,82.00M,82.00M,,20.33B,,29.30B,5.507B,34.80B,17.98B,20.66B,,4.085B,1.098B,,7.177B,66.73B,87.06B,17.00M,30.79B,43.42B,16.21B,-95.00M,,,-2.118B,-2.213B,55.10B
2008-12,,755.00M,,755.00M,12.00B,,12.00B,863.00M,,4.232B,5.095B,2.998B,,,,20.84B,,126.44B,-42.50B,83.95B,3.778B,846.00M,4.624B,,,,,33.45B,122.02B,142.86B,13.99B,,13.99B,6.481B,20.47B,,370.00M,370.00M,939.00M,21.78B,,27.08B,,27.08B,18.17B,18.17B,,,1.10B,,19.57B,64.82B,86.60B,17.00M,30.64B,43.40B,16.21B,,,-431.00M,-2.248B,-2.679B,55.16B
2008-09,,1.116B,,1.116B,16.99B,,16.99B,914.00M,,5.827B,6.741B,3.483B,,,,28.33B,,130.82B,-41.56B,89.26B,29.22B,861.00M,30.08B,,,,,36.94B,156.28B,184.61B,19.24B,,19.24B,9.128B,28.36B,,387.00M,387.00M,758.00M,29.51B,,21.71B,,21.71B,20.41B,20.41B,,,1.127B,,18.97B,61.09B,90.60B,17.00M,63.10B,43.31B,16.18B,,,3.192B,-559.00M,2.633B,92.88B
2008-06,,787.00M,,787.00M,20.46B,,20.46B,903.00M,,5.854B,6.757B,5.51B,,,,33.52B,,126.35B,-36.36B,89.99B,29.23B,873.00M,30.10B,,,,,36.55B,156.64B,190.16B,23.36B,,23.36B,10.42B,33.78B,,385.00M,385.00M,681.00M,34.85B,,21.54B,,21.54B,21.04B,21.04B,,,1.144B,,19.18B,61.77B,96.61B,17.00M,58.62B,43.26B,13.69B,,,,,4.189B,92.40B
2008-03,,1.423B,,1.423B,17.15B,,17.15B,877.00M,,6.118B,6.995B,3.039B,,,,28.61B,,127.79B,-38.59B,89.21B,29.35B,884.00M,30.24B,,,,,35.22B,154.67B,183.28B,20.69B,,20.69B,9.45B,30.14B,,384.00M,384.00M,597.00M,31.12B,,21.11B,,21.11B,21.00B,21.00B,,,1.151B,,19.31B,61.43B,92.55B,17.00M,53.91B,42.83B,11.20B,,,,,4.016B,89.58B
