,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-03,599.00M,-43.00M,-65.00M,,,,1.979B,-1.314B,581.00M,,48.00M,78.00M,-76.00M,10.00M,-50.00M,,,-38.00M,,1.79B,-966.00M,,,,-203.00M,195.00M,-974.00M,-839.00M,-839.00M,,-158.00M,-158.00M,-331.00M,-331.00M,-16.00M,-1.344B,3.61B,-528.00M,27.00M,3.109B,,,0.00,-839.00M,-158.00M
2016-12,-19.00M,,141.00M,,,,2.061B,-69.00M,-8.00M,,61.00M,-292.00M,22.00M,59.00M,-99.00M,,,-310.00M,,1.443B,-999.00M,,,,178.00M,874.00M,53.00M,-1.412B,-1.412B,,-137.00M,-137.00M,-313.00M,-313.00M,-44.00M,-1.906B,4.09B,-410.00M,-70.00M,3.61B,,,0.00,-1.412B,-137.00M
2016-09,-1.026B,,-51.00M,,,,2.425B,-695.00M,310.00M,,75.00M,15.00M,45.00M,97.00M,-107.00M,,,50.00M,,1.28B,-916.00M,,,,1.063B,128.00M,275.00M,-12.00M,-12.00M,,-7.00M,-7.00M,-314.00M,-314.00M,-14.00M,-347.00M,2.863B,1.208B,19.00M,4.09B,,,0.00,-12.00M,-7.00M
2016-06,-1.058B,,-128.00M,,,,2.329B,-630.00M,525.00M,,221.00M,548.00M,-84.00M,-60.00M,-374.00M,,,30.00M,,1.259B,-1.133B,,,,-990.00M,1.00M,-2.122B,-763.00M,-763.00M,,-3.00M,-3.00M,-313.00M,-313.00M,-41.00M,-1.12B,4.866B,-1.983B,-20.00M,2.863B,,,0.00,-763.00M,-3.00M
2016-03,-1.456B,,-23.00M,,,,2.247B,-827.00M,496.00M,,-17.00M,549.00M,61.00M,9.00M,-870.00M,,,-251.00M,,421.00M,-1.821B,,,,-302.00M,58.00M,-2.065B,4.53B,4.53B,,-42.00M,-42.00M,-313.00M,-313.00M,-38.00M,4.137B,2.368B,2.493B,5.00M,4.866B,,,4.594B,-64.00M,-42.00M
2015-12,-3.437B,,-368.00M,,,,2.382B,-1.488B,3.954B,,698.00M,-103.00M,7.00M,-16.00M,-112.00M,,,-224.00M,,1.596B,-2.137B,,,,0.00,1.511B,-626.00M,-11.00M,-11.00M,,-13.00M,-13.00M,-923.00M,-923.00M,-28.00M,-975.00M,2.413B,-5.00M,-40.00M,2.368B,,,0.00,-11.00M,-13.00M
2015-09,-1.056B,,-18.00M,,,,2.271B,-682.00M,549.00M,,317.00M,494.00M,117.00M,102.00M,-122.00M,,,591.00M,,1.934B,-2.174B,,,,0.00,-75.00M,-2.249B,-30.00M,-30.00M,,-23.00M,-23.00M,-922.00M,-922.00M,-15.00M,-990.00M,3.813B,-1.305B,-95.00M,2.413B,,,0.00,-30.00M,-23.00M
2015-06,-164.00M,,-52.00M,,,,2.329B,35.00M,480.00M,,-199.00M,51.00M,-35.00M,-81.00M,-269.00M,,,-334.00M,,1.974B,-2.407B,,,,0.00,-59.00M,-2.466B,2.493B,2.493B,,-12.00M,-12.00M,-909.00M,-909.00M,-17.00M,1.555B,2.664B,1.063B,86.00M,3.813B,,,2.498B,-5.00M,-12.00M
2015-03,286.00M,,-52.00M,,,,2.131B,-637.00M,327.00M,,-12.00M,1.368B,77.00M,234.00M,-1.734B,,,-55.00M,,2.068B,-3.332B,,,,0.00,18.00M,-3.314B,-57.00M,-57.00M,,-34.00M,-34.00M,-910.00M,-910.00M,-18.00M,-1.019B,5.062B,-2.265B,-133.00M,2.664B,,,0.00,-57.00M,-34.00M
2014-12,-24.00M,-257.00M,-335.00M,,,,2.271B,-315.00M,1.228B,,430.00M,593.00M,-31.00M,-1.00M,-1.005B,,,-444.00M,0.00,2.811B,-4.356B,,,,362.00M,423.00M,-3.571B,1.485B,1.485B,8.00M,0.00,8.00M,-907.00M,-907.00M,-44.00M,542.00M,5.408B,-218.00M,-128.00M,5.062B,,8.00M,2.994B,-1.509B,0.00
2014-09,1.649B,-347.00M,-351.00M,,,,2.096B,391.00M,373.00M,,-224.00M,554.00M,-59.00M,49.00M,-634.00M,,,-90.00M,27.00M,3.871B,-4.588B,,,,-101.00M,1.197B,-3.502B,-55.00M,-55.00M,-19.00M,,-19.00M,-907.00M,-907.00M,8.00M,-973.00M,6.142B,-604.00M,-130.00M,5.408B,,-19.00M,0.00,-55.00M,
2014-06,2.065B,-450.00M,-457.00M,,,,2.07B,403.00M,351.00M,,-188.00M,370.00M,-76.00M,-221.00M,-838.00M,,,-765.00M,72.00M,3.551B,-4.246B,,,,-71.00M,164.00M,-4.194B,0.00,0.00,46.00M,32.00M,78.00M,-856.00M,-856.00M,-11.00M,-789.00M,7.52B,-1.432B,54.00M,6.142B,,46.00M,0.00,0.00,32.00M
2014-03,2.117B,1.131B,1.122B,,,,1.892B,230.00M,70.00M,,233.00M,-290.00M,-27.00M,-17.00M,948.00M,,,614.00M,58.00M,6.336B,-3.895B,,,,63.00M,156.00M,-3.698B,-450.00M,-450.00M,,-32.00M,-32.00M,-855.00M,-855.00M,-17.00M,-1.354B,6.246B,1.284B,-10.00M,7.52B,,,,-450.00M,-32.00M
2013-12,1.508B,-237.00M,-257.00M,,,,1.893B,169.00M,596.00M,,26.00M,-78.00M,23.00M,89.00M,-54.00M,,,-20.00M,50.00M,3.965B,-4.256B,,,,-264.00M,6.844B,2.261B,0.00,0.00,8.00M,,8.00M,-853.00M,-853.00M,-3.028B,-3.873B,3.883B,2.353B,10.00M,6.246B,,8.00M,,0.00,
2013-09,2.439B,-357.00M,-1.426B,,,,1.902B,458.00M,134.00M,,312.00M,163.00M,-122.00M,64.00M,-280.00M,,,-175.00M,61.00M,3.705B,-4.185B,,,,75.00M,1.553B,-2.718B,-48.00M,-48.00M,12.00M,5.00M,17.00M,-852.00M,-852.00M,-202.00M,-1.085B,3.909B,-98.00M,72.00M,3.883B,,12.00M,,-48.00M,5.00M
2013-06,2.066B,-199.00M,-294.00M,,,,1.832B,443.00M,204.00M,,122.00M,410.00M,-2.00M,-105.00M,-987.00M,,,-684.00M,52.00M,3.741B,-3.705B,,,,-51.00M,531.00M,-3.415B,-850.00M,-850.00M,,5.00M,5.00M,-814.00M,-814.00M,-186.00M,-1.845B,5.422B,-1.519B,6.00M,3.909B,,,,-850.00M,5.00M
2013-03,2.024B,-29.00M,-87.00M,,,,1.807B,241.00M,38.00M,,-397.00M,249.00M,-177.00M,-131.00M,1.041B,,,982.00M,122.00M,4.73B,-3.391B,,,,-23.00M,1.17B,-2.433B,-48.00M,-48.00M,,-10.00M,-10.00M,-815.00M,-815.00M,543.00M,-330.00M,3.618B,1.967B,-163.00M,5.422B,,,,-48.00M,-10.00M
2012-12,1.842B,-187.00M,-203.00M,,,,1.779B,586.00M,555.00M,,-317.00M,-104.00M,209.00M,137.00M,-614.00M,,,-372.00M,0.00,3.87B,-3.452B,,,,0.00,704.00M,-2.929B,614.00M,614.00M,55.00M,0.00,55.00M,-809.00M,-809.00M,1.542B,1.402B,1.268B,2.343B,7.00M,3.618B,,55.00M,1.511B,-897.00M,0.00
2012-09,1.74B,-153.00M,-271.00M,,,,1.65B,396.00M,69.00M,,153.00M,-1.376B,-23.00M,208.00M,894.00M,,,-297.00M,80.00M,3.52B,-3.279B,,,,0.00,729.00M,-2.773B,-1.967B,-1.967B,38.00M,-149.00M,-111.00M,-808.00M,-808.00M,2.354B,-532.00M,1.044B,215.00M,9.00M,1.268B,,38.00M,-346.00M,-1.621B,-149.00M
2012-06,1.72B,-179.00M,-762.00M,,,,1.58B,284.00M,198.00M,,-176.00M,-552.00M,-59.00M,89.00M,-244.00M,,,-766.00M,272.00M,2.35B,-3.623B,,,,505.00M,487.00M,-2.915B,831.00M,831.00M,9.00M,-3.05B,-3.041B,-818.00M,-818.00M,2.648B,-2.081B,3.707B,-2.646B,-17.00M,1.044B,,9.00M,831.00M,0.00,-3.05B
2012-03,2.179B,-77.00M,-1.017B,,,,1.571B,131.00M,732.00M,,278.00M,166.00M,83.00M,79.00M,-132.00M,,,196.00M,112.00M,4.182B,-3.818B,,,,92.00M,1.147B,-3.01B,-47.00M,-47.00M,36.00M,-1.899B,-1.863B,-843.00M,-843.00M,-199.00M,-3.27B,5.78B,-2.098B,25.00M,3.707B,,36.00M,,-47.00M,-1.899B
2011-12,1.076B,161.00M,179.00M,-5.339B,-319.00M,-5.658B,1.169B,110.00M,500.00M,,199.00M,-829.00M,-89.00M,-77.00M,319.00M,,,-676.00M,3.255B,5.812B,-2.467B,-1.954B,-1.954B,,2.023B,2.227B,1.124B,-515.00M,-515.00M,-13.00M,-3.139B,-3.152B,-871.00M,-871.00M,-142.00M,-4.687B,3.437B,2.249B,94.00M,5.78B,,-13.00M,0.00,-515.00M,-3.139B
2011-09,1.495B,-7.00M,253.00M,5.339B,319.00M,5.658B,1.964B,271.00M,290.00M,,-391.00M,697.00M,-85.00M,100.00M,449.00M,,,1.161B,570.00M,5.613B,-3.357B,91.00M,91.00M,,-29.00M,34.00M,-3.245B,-41.00M,-41.00M,10.00M,-3.199B,-3.189B,-900.00M,-900.00M,-185.00M,-4.322B,5.505B,-1.954B,-114.00M,3.437B,,10.00M,0.00,-41.00M,-3.199B
2011-06,1.575B,238.00M,206.00M,,,,1.624B,-128.00M,0.00,,234.00M,-125.00M,2.762B,223.00M,-1.965B,,,895.00M,1.868B,6.274B,-2.506B,76.00M,76.00M,,-424.00M,23.00M,-2.683B,-5.00M,-5.00M,24.00M,-3.149B,-3.125B,-917.00M,-917.00M,-174.00M,-4.235B,6.172B,-644.00M,-23.00M,5.505B,,24.00M,0.00,-5.00M,-3.149B
2011-03,3.042B,-523.00M,-1.139B,,,,2.07B,87.00M,0.00,,-23.00M,-681.00M,-2.669B,-546.00M,1.806B,,,-2.09B,,1.947B,-2.884B,1.787B,1.787B,,-1.17B,56.00M,-2.211B,-373.00M,-373.00M,75.00M,-1.636B,-1.561B,-944.00M,-944.00M,-183.00M,-3.061B,9.454B,-3.325B,43.00M,6.172B,,75.00M,0.00,-373.00M,-1.636B
2010-12,941.00M,1.285B,393.00M,,,,1.16B,-38.00M,-1.125B,,-405.00M,1.00M,2.855B,609.00M,-1.232B,,,2.233B,,6.191B,-1.164B,-12.23B,-12.23B,,-790.00M,14.79B,-1.119B,32.00M,32.00M,-59.00M,-2.475B,-2.534B,-799.00M,-799.00M,-162.00M,-3.492B,7.996B,1.58B,-122.00M,9.454B,,-59.00M,22.00M,10.00M,-2.475B
2010-09,3.069B,-453.00M,-1.851B,,,,2.246B,-392.00M,59.00M,,554.00M,-348.00M,-497.00M,-370.00M,1.869B,,,654.00M,,4.339B,-2.291B,6.29B,6.29B,,-3.00M,105.00M,4.101B,-2.838B,-2.838B,24.00M,-868.00M,-844.00M,-816.00M,-816.00M,-189.00M,-4.687B,4.12B,3.753B,123.00M,7.996B,,24.00M,31.00M,-2.869B,-868.00M
2010-06,4.183B,-686.00M,-3.935B,,,,2.28B,-508.00M,1.532B,,-171.00M,-6.00M,38.00M,309.00M,-247.00M,,,94.00M,,3.475B,-2.009B,5.811B,5.811B,,32.00M,6.00M,3.84B,-2.717B,-2.717B,26.00M,-390.00M,-364.00M,-816.00M,-816.00M,-169.00M,-4.066B,855.00M,3.249B,16.00M,4.12B,,26.00M,-297.00M,-2.42B,-390.00M
2010-03,2.112B,-503.00M,-527.00M,,,,2.318B,-35.00M,91.00M,,60.00M,677.00M,-2.439B,-398.00M,1.181B,,,-979.00M,,3.04B,-2.071B,132.00M,132.00M,,-221.00M,3.00M,-2.157B,347.00M,347.00M,9.00M,0.00,9.00M,-744.00M,-744.00M,-186.00M,-574.00M,542.00M,309.00M,4.00M,855.00M,,9.00M,362.00M,-15.00M,0.00
2009-12,1.314B,44.00M,-28.00M,,,,2.391B,-243.00M,560.00M,,461.00M,-1.012B,1.346B,568.00M,-263.00M,,,639.00M,,5.094B,-2.685B,,,,,179.00M,-2.506B,-1.795B,-1.795B,,11.00M,24.00M,-742.00M,-742.00M,-174.00M,-2.687B,641.00M,-99.00M,0.00,542.00M,,,36.00M,-1.831B,11.00M
2009-09,1.487B,-692.00M,-744.00M,,,,2.327B,-269.00M,289.00M,,-230.00M,-159.00M,-53.00M,149.00M,136.00M,,,73.00M,,2.933B,-2.598B,,,,,677.00M,-1.921B,104.00M,104.00M,,10.00M,10.00M,-697.00M,-697.00M,-685.00M,-1.268B,888.00M,-256.00M,9.00M,641.00M,,,22.00M,82.00M,10.00M
2009-06,875.00M,-326.00M,-323.00M,,,,2.347B,-382.00M,166.00M,,285.00M,-1.795B,481.00M,-234.00M,1.147B,,,-401.00M,,2.567B,-2.672B,-86.00M,-86.00M,,,176.00M,-2.582B,989.00M,989.00M,,0.00,0.00,-697.00M,-697.00M,-203.00M,89.00M,802.00M,74.00M,12.00M,888.00M,,,2.996B,-2.007B,0.00
2009-03,816.00M,-280.00M,-319.00M,,,,2.23B,-221.00M,126.00M,,102.00M,1.86B,-1.454B,-201.00M,-1.054B,,,-849.00M,,1.885B,-2.906B,86.00M,86.00M,,,-106.00M,-2.926B,1.931B,1.931B,,-21.00M,-21.00M,-696.00M,-696.00M,-203.00M,1.011B,755.00M,-30.00M,77.00M,802.00M,,,6.033B,-4.102B,-21.00M
2008-12,-31.04B,-2.357B,-238.00M,,,-6.748B,2.264B,-473.00M,35.32B,,-1.512B,4.468B,1.388B,-35.00M,-4.832B,,-2.186B,-1.197B,,3.122B,-8.564B,-729.00M,9.806B,,,1.835B,-7.458B,5.76B,5.353B,16.00M,-749.00M,-733.00M,-2.854B,-696.00M,-192.00M,3.732B,1.116B,-604.00M,243.00M,755.00M,,16.00M,7.657B,-1.897B,-749.00M
2008-09,5.152B,1.988B,-809.00M,,,6.748B,2.361B,48.00M,-306.00M,,712.00M,3.382B,-172.00M,1.66B,-6.699B,,2.186B,357.00M,,7.515B,-3.815B,288.00M,-10.25B,,,-209.00M,-3.736B,-224.00M,183.00M,-3.00M,-2.492B,-2.495B,1.449B,-709.00M,-187.00M,-3.208B,787.00M,571.00M,-242.00M,1.116B,,-3.00M,-2.065B,1.841B,-2.492B
2008-06,5.456B,-1.001B,-1.033B,,,,2.178B,28.00M,146.00M,,162.00M,-2.90B,246.00M,-1.977B,3.128B,,,-1.503B,,5.434B,-3.398B,71.00M,71.00M,,,-83.00M,-3.41B,426.00M,426.00M,178.00M,-2.512B,-2.334B,-719.00M,-719.00M,-44.00M,-2.671B,1.423B,-647.00M,11.00M,787.00M,,178.00M,942.00M,-516.00M,-2.512B
2008-03,4.158B,-987.00M,-1.168B,,,,2.209B,-17.00M,160.00M,,-79.00M,-725.00M,-2.783B,-372.00M,5.204B,,,1.324B,,6.587B,-3.322B,370.00M,370.00M,,,-60.00M,-3.012B,-202.00M,-202.00M,7.00M,-2.496B,-2.489B,-730.00M,-730.00M,-196.00M,-3.617B,1.456B,-42.00M,9.00M,1.423B,,7.00M,1.123B,-1.325B,-2.496B
2007-12,4.371B,,-1.707B,,,2.206B,2.206B,-88.00M,,,1.837B,-2.903B,1.101B,57.00M,1.72B,,326.00M,301.00M,,6.92B,-3.884B,515.00M,-3.369B,,,16.00M,-3.353B,,-202.00M,34.00M,-2.50B,-2.466B,,-652.00M,-155.00M,-3.475B,1.379B,92.00M,-15.00M,1.456B,,34.00M,,,-2.50B
2007-09,3.673B,,786.00M,,,2.052B,2.052B,-125.00M,,,-1.129B,201.00M,-63.00M,145.00M,-45.00M,,496.00M,734.00M,,5.991B,-2.56B,842.00M,-1.718B,,,-118.00M,-1.836B,,-961.00M,70.00M,-2.501B,-2.431B,,-667.00M,-136.00M,-4.195B,1.411B,-40.00M,8.00M,1.379B,,70.00M,,,-2.501B
2007-06,301.00M,,-1.072B,,,2.016B,2.016B,103.00M,,,5.048B,-79.00M,415.00M,218.00M,-442.00M,,-1.742B,-1.63B,,4.766B,-2.50B,872.00M,-1.628B,,,-97.00M,-1.725B,,-865.00M,141.00M,-1.00B,-859.00M,,-668.00M,-104.00M,-2.496B,860.00M,545.00M,6.00M,1.411B,,141.00M,,,-1.00B
2007-03,3.546B,,-1.002B,,,2.024B,2.024B,77.00M,,,78.00M,289.00M,-686.00M,67.00M,1.539B,,941.00M,2.15B,,6.873B,-2.847B,1.343B,-1.504B,,,-144.00M,-1.648B,,-3.491B,40.00M,-1.00B,-960.00M,,-674.00M,-49.00M,-5.174B,817.00M,51.00M,-8.00M,860.00M,,40.00M,,,-1.00B
2006-12,3.197B,,232.00M,,,2.002B,2.002B,-89.00M,,,649.00M,-1.078B,1.094B,297.00M,476.00M,,-1.143B,-354.00M,,5.637B,-4.083B,299.00M,-3.784B,0.00,,-140.00M,-3.924B,,-706.00M,75.00M,-250.00M,-175.00M,,-593.00M,-62.00M,-1.536B,696.00M,177.00M,-56.00M,817.00M,,75.00M,,,-250.00M
2006-09,3.876B,,-557.00M,,,2.137B,2.137B,495.00M,,,411.00M,-618.00M,245.00M,-233.00M,-383.00M,,862.00M,-127.00M,,6.235B,-3.597B,173.00M,-3.424B,-1.00M,,-251.00M,-3.676B,,-1.63B,41.00M,-250.00M,-209.00M,,-593.00M,-76.00M,-2.508B,654.00M,51.00M,-9.00M,696.00M,,41.00M,,,-250.00M
2006-06,5.186B,,-467.00M,,,1.965B,1.965B,-390.00M,,,86.00M,240.00M,-863.00M,-436.00M,456.00M,,-933.00M,-1.536B,,4.844B,-3.402B,68.00M,-3.334B,-94.00M,,-151.00M,-3.579B,,-2.756B,64.00M,-425.00M,-361.00M,,-595.00M,-20.00M,-3.732B,3.008B,-2.467B,113.00M,654.00M,,64.00M,,,-425.00M
2006-03,3.291B,,-343.00M,,,1.18B,1.18B,168.00M,,,168.00M,550.00M,-1.304B,,108.00M,,982.00M,336.00M,,4.80B,-4.514B,5.00M,-4.509B,-14.19B,,-115.00M,-18.81B,,15.32B,40.00M,,40.00M,,-496.00M,-27.00M,14.84B,2.214B,827.00M,-33.00M,3.008B,,40.00M,,,
2005-12,3.782B,,-39.00M,,,1.178B,1.178B,348.00M,,,1.00M,-1.396B,1.093B,743.00M,408.00M,,-1.443B,-595.00M,,4.675B,-3.047B,160.00M,-2.887B,,,-135.00M,-3.022B,,-1.038B,25.00M,-759.00M,-734.00M,,-429.00M,-60.00M,-2.261B,2.803B,-607.00M,19.00M,2.214B,1.00M,25.00M,,,-759.00M
2005-09,3.804B,,-192.00M,,,1.049B,1.049B,261.00M,,,-3.00M,-1.49B,5.00M,-974.00M,1.239B,,2.397B,1.177B,,6.096B,-3.626B,300.00M,-3.326B,,,-58.00M,-3.384B,,-513.00M,114.00M,-589.00M,-475.00M,,-430.00M,-10.00M,-1.428B,1.541B,1.281B,-22.00M,2.803B,-3.00M,114.00M,,,-589.00M
2005-06,3.131B,,-495.00M,,,985.00M,985.00M,369.00M,,,2.00M,695.00M,-377.00M,1.00M,-235.00M,,-1.308B,-1.224B,,2.768B,-3.125B,221.00M,-2.904B,,,4.00M,-2.90B,,-13.00M,108.00M,-382.00M,-274.00M,,-432.00M,33.00M,-686.00M,2.421B,-816.00M,-62.00M,1.541B,2.00M,108.00M,,,-382.00M
2005-03,2.923B,,-881.00M,,,1.041B,1.041B,123.00M,,,-5.00M,-954.00M,-903.00M,-177.00M,1.744B,,1.178B,888.00M,,4.089B,-1.822B,87.00M,-1.735B,,,25.00M,-1.71B,,-986.00M,155.00M,-194.00M,-39.00M,,-348.00M,64.00M,-1.309B,1.387B,1.065B,-36.00M,2.421B,-5.00M,155.00M,,,-194.00M
2004-12,2.48B,,-344.00M,,,1.03B,1.03B,27.00M,,,-6.00M,-1.581B,733.00M,102.00M,729.00M,,27.00M,10.00M,,3.197B,-4.837B,164.00M,-4.673B,,,112.00M,-4.559B,,-471.00M,161.00M,,161.00M,,-346.00M,61.00M,-595.00M,3.263B,-1.964B,82.00M,1.387B,-7.00M,161.00M,,,
