,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,8.798B,8.798B,6.297B,2.501B,99.00M,-5.00M,183.00M,184.00M,-184.00M,95.00M,377.00M,2.124B,184.00M,-184.00M,-164.00M,-184.00M,1.776B,876.00M,900.00M,,,-12.00M,888.00M,913.55M,3.372B,1.412B,1.96B,0.75,,,,0.7717,0.75,0.75,,,,0.7715,0.75,1.180B,1.186B,0.285
2017-12,8.119B,8.119B,6.392B,1.727B,125.00M,-93.00M,205.00M,226.00M,-114.00M,-203.00M,127.00M,1.60B,226.00M,-114.00M,-161.00M,-114.00M,1.325B,-273.00M,1.598B,,,-19.00M,1.579B,1.639B,3.184B,1.633B,1.551B,1.32,,,,1.37,1.32,1.32,,,,1.37,1.32,1.192B,1.192B,0.265
2017-09,6.688B,6.688B,5.756B,932.00M,110.00M,240.00M,175.00M,251.00M,-251.00M,73.00M,358.00M,574.00M,251.00M,-251.00M,330.00M,-251.00M,653.00M,217.00M,436.00M,,,-16.00M,420.00M,262.55M,2.512B,1.608B,904.00M,0.35,,,,0.2201,0.35,0.34,,,,0.2104,0.34,1.212B,1.215B,0.265
2017-06,6.781B,6.781B,5.872B,909.00M,95.00M,-4.418B,198.00M,306.00M,-306.00M,97.00M,390.00M,519.00M,306.00M,-306.00M,-4.574B,-306.00M,-4.361B,-935.00M,-3.426B,,,-14.00M,-3.44B,60.49M,-2.43B,1.625B,-4.055B,-2.78,,,,0.0502,-2.78,-2.78,,,,0.0502,-2.78,1.237B,1.237B,0.265
2017-03,7.518B,7.518B,6.462B,1.056B,97.00M,-153.00M,231.00M,315.00M,-315.00M,550.00M,878.00M,178.00M,315.00M,-315.00M,-95.00M,-315.00M,-232.00M,-831.00M,599.00M,,,-13.00M,586.00M,683.80M,2.062B,1.979B,83.00M,0.47,,,,0.5487,0.47,0.47,,,,0.5483,0.47,1.243B,1.249B,0.265
2016-12,6.809B,6.809B,6.327B,482.00M,-83.00M,340.00M,201.00M,317.00M,-260.00M,142.00M,260.00M,222.00M,317.00M,-260.00M,30.00M,-260.00M,-8.00M,11.00M,-19.00M,,,-16.00M,-35.00M,-257.60M,2.37B,2.061B,309.00M,-0.03,,,,-0.2086,-0.03,-0.03,,,,-0.2086,-0.03,1.246B,1.246B,0.25
2016-09,6.415B,6.415B,6.77B,-355.00M,203.00M,-72.00M,161.00M,335.00M,-335.00M,457.00M,821.00M,-1.176B,335.00M,-335.00M,-143.00M,-335.00M,-1.654B,-628.00M,-1.026B,,,-14.00M,-1.04B,-987.30M,1.106B,2.425B,-1.319B,-0.84,,,,-0.7977,-0.84,-0.84,,,,-0.7977,-0.84,1.246B,1.246B,0.25
2016-06,5.348B,5.348B,5.776B,-428.00M,167.00M,66.00M,197.00M,312.00M,-312.00M,610.00M,974.00M,-1.402B,312.00M,-312.00M,70.00M,-312.00M,-1.644B,-586.00M,-1.058B,,,-13.00M,-1.071B,-1.124B,997.00M,2.329B,-1.332B,-0.86,,,,-0.9029,-0.86,-0.86,,,,-0.9029,-0.86,1.245B,1.245B,0.25
2016-03,5.121B,5.121B,5.826B,-705.00M,186.00M,-113.00M,180.00M,281.00M,-281.00M,505.00M,871.00M,-1.576B,281.00M,-281.00M,-367.00M,-281.00M,-2.224B,-768.00M,-1.456B,,,-13.00M,-1.469B,-1.385B,304.00M,2.247B,-1.943B,-1.18,,,,-1.113,-1.18,-1.18,,,,-1.113,-1.18,1.245B,1.245B,0.25
2015-12,6.293B,6.293B,6.654B,-361.00M,283.00M,-1.658B,246.00M,268.00M,-223.00M,2.02B,2.549B,-2.91B,268.00M,-223.00M,-1.918B,-223.00M,-5.051B,-1.614B,-3.437B,,,-13.00M,-3.45B,-2.308B,-2.401B,2.382B,-4.783B,-2.78,0.0,,,-1.861,-2.78,-2.78,0.0,,,-1.861,-2.78,1.244B,1.244B,0.74
2015-09,7.262B,7.262B,7.374B,-112.00M,293.00M,-6.00M,206.00M,240.00M,-240.00M,1.061B,1.56B,-1.672B,240.00M,-240.00M,171.00M,-240.00M,-1.741B,-685.00M,-1.056B,,,-15.00M,-1.071B,-1.111B,770.00M,2.271B,-1.501B,-0.87,,,,-0.9024,-0.87,-0.87,,,,-0.9024,-0.87,1.242B,1.242B,0.74
2015-06,8.293B,8.293B,7.357B,936.00M,218.00M,-26.00M,225.00M,210.00M,-210.00M,549.00M,992.00M,-56.00M,210.00M,-210.00M,175.00M,-210.00M,-91.00M,73.00M,-164.00M,,,-15.00M,-179.00M,-168.20M,2.448B,2.329B,119.00M,-0.15,,,,-0.1413,-0.15,-0.15,,,,-0.1413,-0.15,1.241B,1.241B,0.73
2015-03,7.716B,7.716B,7.17B,546.00M,159.00M,36.00M,224.00M,202.00M,-202.00M,482.00M,865.00M,-319.00M,202.00M,-202.00M,165.00M,-202.00M,-356.00M,-642.00M,286.00M,,,-14.00M,272.00M,240.80M,1.977B,2.131B,-154.00M,0.22,,,,0.1949,0.22,0.22,,,,0.195,0.22,1.241B,1.246B,0.73
2014-12,11.21B,11.21B,9.988B,1.22B,132.00M,-652.00M,332.00M,173.00M,-90.00M,490.00M,954.00M,266.00M,173.00M,-90.00M,-497.00M,-90.00M,-321.00M,-297.00M,-24.00M,0.00,,-15.00M,-39.00M,330.85M,2.123B,2.271B,-148.00M,-0.03,0.0,,,0.2683,-0.03,-0.03,0.0,,,0.2675,-0.03,1.240B,1.243B,0.73
2014-09,12.08B,12.08B,8.84B,3.24B,203.00M,-104.00M,493.00M,149.00M,-149.00M,459.00M,1.155B,2.085B,149.00M,-149.00M,617.00M,-149.00M,2.553B,904.00M,1.649B,1.078B,,-23.00M,2.704B,1.688B,4.798B,2.096B,2.702B,1.31,0.87,,,1.36,2.18,1.31,0.86,,,1.36,2.17,1.238B,1.247B,0.73
2014-06,13.82B,13.82B,9.595B,4.226B,218.00M,-10.00M,612.00M,155.00M,-155.00M,517.00M,1.347B,2.879B,155.00M,-155.00M,736.00M,-155.00M,3.46B,1.395B,2.065B,33.00M,,-17.00M,2.081B,2.058B,5.685B,2.07B,3.615B,1.65,0.03,,,1.6580000000000001,1.68,1.64,0.03,,,1.6480000000000001,1.67,1.236B,1.245B,0.69
2014-03,15.42B,15.42B,10.91B,4.501B,182.00M,8.00M,651.00M,171.00M,-171.00M,296.00M,1.129B,3.372B,171.00M,-171.00M,497.00M,-171.00M,3.698B,1.581B,2.117B,20.00M,,-14.00M,2.123B,2.110B,5.761B,1.892B,3.869B,1.7,0.02,,,1.705,1.72,1.69,0.02,,,1.695,1.71,1.235B,1.243B,0.69
2013-12,13.25B,13.25B,9.39B,3.864B,247.00M,-478.00M,686.00M,192.00M,-79.00M,60.00M,993.00M,2.871B,192.00M,-79.00M,-234.00M,-79.00M,2.558B,1.05B,1.508B,995.00M,,-16.00M,2.487B,1.787B,4.643B,1.893B,2.75B,1.2,0.81,,,1.439,2.01,1.2,0.8,,,1.4380000000000002,2.0,1.234B,1.242B,0.69
2013-09,13.64B,13.64B,9.572B,4.071B,249.00M,1.068B,664.00M,151.00M,-151.00M,313.00M,1.226B,2.845B,151.00M,-151.00M,1.711B,-151.00M,4.405B,1.966B,2.439B,57.00M,,-16.00M,2.48B,1.735B,6.458B,1.902B,4.556B,1.96,0.05,,,1.401,2.01,1.95,0.05,,,1.395,2.0,1.231B,1.240B,0.69
2013-06,13.35B,13.35B,9.025B,4.325B,193.00M,67.00M,642.00M,139.00M,-139.00M,321.00M,1.156B,3.169B,139.00M,-139.00M,666.00M,-139.00M,3.696B,1.63B,2.066B,-3.00M,,-13.00M,2.05B,2.005B,5.667B,1.832B,3.835B,1.66,0.0,,,1.621,1.66,1.65,0.0,,,1.611,1.65,1.230B,1.237B,0.66
2013-03,14.17B,14.17B,9.328B,4.838B,165.00M,56.00M,892.00M,130.00M,-130.00M,277.00M,1.334B,3.504B,130.00M,-130.00M,413.00M,-130.00M,3.787B,1.763B,2.024B,129.00M,,-14.00M,2.139B,1.950B,5.724B,1.807B,3.917B,1.64,0.1,,,1.591,1.74,1.63,0.1,,,1.5819999999999999,1.73,1.229B,1.236B,0.66
2012-12,15.57B,15.57B,10.65B,4.919B,216.00M,-368.00M,878.00M,161.00M,2.00M,39.00M,1.133B,3.786B,161.00M,2.00M,-166.00M,2.00M,3.622B,1.78B,1.842B,-401.00M,,-15.00M,1.426B,2.082B,5.562B,1.779B,3.783B,1.49,-0.33,,,1.6980000000000002,1.16,1.48,-0.33,,,1.6869999999999998,1.16,1.223B,1.232B,0.66
2012-09,14.14B,14.14B,9.644B,4.497B,329.00M,118.00M,673.00M,161.00M,-161.00M,215.00M,1.217B,3.28B,161.00M,-161.00M,472.00M,-161.00M,3.591B,1.851B,1.74B,73.00M,,-15.00M,1.798B,1.648B,5.402B,1.65B,3.752B,1.41,0.06,,,1.347,1.47,1.4,0.06,,,1.338,1.46,1.220B,1.229B,0.66
2012-06,13.66B,13.66B,9.103B,4.561B,235.00M,501.00M,900.00M,197.00M,-197.00M,265.00M,1.40B,3.161B,197.00M,-197.00M,981.00M,-197.00M,3.945B,2.225B,1.72B,569.00M,,-22.00M,2.267B,1.380B,5.722B,1.58B,4.142B,1.36,0.46,,,1.105,1.82,1.35,0.45,,,1.097,1.8,1.248B,1.258B,0.66
2012-03,14.59B,14.59B,9.208B,5.385B,326.00M,726.00M,1.095B,190.00M,-190.00M,675.00M,2.096B,3.289B,190.00M,-190.00M,1.166B,-190.00M,4.265B,2.086B,2.179B,776.00M,,-18.00M,2.937B,1.692B,6.026B,1.571B,4.455B,1.69,0.6,,,1.325,2.29,1.67,0.6,,,1.308,2.27,1.283B,1.293B,0.66
2011-12,14.56B,14.17B,15.49B,-1.32B,269.00M,49.00M,1.013B,225.00M,-55.00M,-81.00M,-4.138B,2.818B,225.00M,-55.00M,-227.00M,-55.00M,2.536B,1.46B,1.076B,2.334B,,-20.00M,3.39B,991.00M,3.93B,1.169B,2.761B,0.83,1.73,,,0.7804,2.56,0.83,1.72,,,0.7808,2.55,1.311B,1.322B,0.66
2011-09,16.51B,16.25B,9.743B,6.509B,145.00M,0.00,904.00M,230.00M,-230.00M,373.00M,3.067B,3.442B,230.00M,-230.00M,393.00M,-230.00M,3.605B,2.11B,1.495B,1.136B,,-15.00M,2.616B,1.512B,5.799B,1.964B,3.835B,1.09,0.84,,,1.114,1.93,1.08,0.83,,,1.104,1.91,1.358B,1.370B,0.66
2011-06,17.26B,17.29B,9.276B,8.017B,203.00M,-125.00M,1.198B,242.00M,-242.00M,264.00M,3.511B,4.506B,242.00M,-242.00M,250.00M,-242.00M,4.514B,2.214B,2.30B,1.119B,,-17.00M,3.402B,2.364B,6.602B,1.624B,4.756B,1.63,0.8,,,1.6880000000000002,2.43,1.62,0.79,,,1.6780000000000002,2.41,1.399B,1.412B,0.66
2011-03,56.61B,57.23B,45.00B,12.23B,499.00M,-76.00M,4.364B,262.00M,-262.00M,176.00M,7.109B,5.117B,262.00M,-262.00M,941.00M,-262.00M,5.796B,2.754B,3.042B,,,-14.00M,3.028B,3.077B,8.128B,2.07B,6.058B,2.11,0.0,,,2.144,2.11,2.09,0.0,,,2.124,2.09,1.432B,1.445B,0.66
2010-12,-81.59B,-86.26B,-66.30B,-19.96B,-566.00M,7.581B,-9.723B,253.00M,-118.00M,231.00M,-16.90B,-3.057B,253.00M,-118.00M,5.592B,-118.00M,2.417B,1.476B,941.00M,,,-12.00M,2.041B,-3.999B,3.83B,1.16B,2.67B,0.67,0.75,,,-2.721,1.42,0.67,0.74,,,-2.6910000000000003,1.41,1.453B,1.466B,0.55
2010-09,47.15B,48.54B,36.63B,11.91B,493.00M,-159.00M,4.227B,264.00M,-264.00M,252.00M,7.218B,4.693B,264.00M,-264.00M,845.00M,-264.00M,5.274B,2.205B,3.069B,,,-14.00M,3.055B,3.158B,7.784B,2.246B,5.538B,2.06,0.0,,,2.13,2.06,2.05,0.0,,,2.119,2.05,1.482B,1.493B,0.55
2010-06,45.79B,49.04B,34.71B,14.33B,438.00M,-1.699B,4.247B,349.00M,-349.00M,213.00M,7.178B,7.154B,349.00M,-349.00M,-611.00M,-349.00M,6.194B,2.011B,4.183B,,,-19.00M,4.164B,5.311B,8.823B,2.28B,6.543B,2.79,0.0,,,3.56,2.79,2.77,0.0,,,3.534,2.77,1.490B,1.501B,0.55
2010-03,44.82B,44.89B,34.05B,10.85B,444.00M,-241.00M,4.037B,301.00M,-301.00M,383.00M,7.182B,3.664B,301.00M,-301.00M,627.00M,-301.00M,3.99B,1.878B,2.112B,,,-14.00M,2.098B,2.255B,6.609B,2.318B,4.291B,1.41,0.0,,,1.515,1.41,1.4,0.0,,,1.504,1.4,1.493B,1.504B,0.5
2009-12,42.98B,42.98B,35.14B,7.844B,452.00M,-265.00M,4.145B,375.00M,-148.00M,197.00M,4.794B,3.05B,375.00M,-148.00M,-163.00M,-148.00M,2.739B,1.425B,1.314B,,,-29.00M,1.285B,1.446B,5.505B,2.391B,3.114B,0.86,,,,0.9678,0.86,0.86,,,,0.9669,0.86,1.490B,1.501B,0.5
2009-09,40.17B,40.17B,32.87B,7.304B,427.00M,-56.00M,4.205B,336.00M,-336.00M,386.00M,5.018B,2.286B,336.00M,-336.00M,963.00M,-336.00M,2.913B,1.426B,1.487B,,,-17.00M,1.47B,1.495B,5.576B,2.327B,3.249B,0.98,,,,0.997,0.98,0.97,,,,0.9869,0.97,1.488B,1.498B,0.47
2009-06,35.45B,35.45B,29.53B,5.919B,476.00M,-51.00M,3.715B,268.00M,-268.00M,243.00M,4.434B,1.485B,268.00M,-268.00M,721.00M,-268.00M,1.938B,1.063B,875.00M,,,-16.00M,859.00M,799.85M,4.553B,2.347B,2.206B,0.58,,,,0.5402,0.58,0.57,,,,0.5305,0.57,1.486B,1.496B,0.47
2009-03,30.86B,31.24B,22.30B,8.934B,475.00M,-107.00M,3.464B,310.00M,-310.00M,356.00M,6.525B,2.409B,310.00M,-310.00M,-107.00M,-310.00M,1.992B,1.176B,816.00M,,,-16.00M,800.00M,869.55M,4.532B,2.23B,2.302B,0.54,0.0,,,0.5868,0.54,0.54,0.0,,,0.5865,0.54,1.486B,1.495B,0.47
2008-12,44.50B,39.56B,41.13B,-1.562B,561.00M,-33.49B,4.067B,,,,-737.00M,-825.00M,,,-33.41B,,-29.67B,1.374B,-31.04B,,,-19.00M,-31.12B,-9.349B,-27.59B,2.264B,-29.85B,-20.34,,,,-5.692,-20.34,-20.34,,,,-5.692,-20.34,1.486B,1.486B,0.47
2008-09,70.04B,71.37B,52.93B,18.44B,513.00M,-281.00M,5.619B,,,,8.493B,9.946B,,,933.00M,,9.467B,4.279B,5.188B,,,-15.00M,5.188B,5.371B,12.31B,2.361B,9.946B,3.43,0.0,,,3.551,3.43,3.39,0.0,,,3.51,3.39,1.511B,1.528B,0.47
2008-06,71.41B,73.35B,54.32B,19.03B,629.00M,-115.00M,5.796B,210.00M,-210.00M,288.00M,8.891B,10.14B,210.00M,-210.00M,-115.00M,-210.00M,9.812B,4.356B,5.456B,,,-17.00M,5.439B,5.514B,12.20B,2.178B,10.02B,3.54,0.0,,,3.589,3.54,3.5,0.0,,,3.548,3.5,1.535B,1.555B,0.47
2008-03,54.88B,56.55B,40.51B,16.04B,526.00M,-110.00M,5.155B,207.00M,-207.00M,266.00M,8.156B,7.885B,207.00M,-207.00M,-110.00M,-207.00M,7.568B,3.41B,4.158B,,,-19.00M,4.139B,4.210B,9.984B,2.209B,7.775B,2.65,0.0,,,2.696,2.65,2.62,0.0,,,2.665,2.62,1.562B,1.582B,0.47
2007-12,52.68B,54.30B,37.31B,16.99B,1.613B,-236.00M,5.336B,,,,9.155B,7.836B,,,1.102B,,7.324B,2.953B,4.371B,,,-22.00M,4.371B,4.513B,10.04B,2.206B,7.836B,2.72,0.0,,,2.8089999999999997,2.72,2.68,0.0,,,2.7680000000000002,2.68,1.591B,1.612B,0.41
2007-09,46.06B,47.93B,33.70B,14.23B,569.00M,39.00M,4.583B,,,,7.204B,7.029B,,,1.353B,,6.364B,2.691B,3.673B,,,-25.00M,3.673B,3.648B,9.081B,2.052B,7.029B,2.26,0.0,,,2.244,2.26,2.23,0.0,,,2.215,2.23,1.622B,1.644B,0.41
2007-06,47.37B,49.40B,33.64B,15.76B,604.00M,-8.834B,4.697B,,,,7.317B,8.444B,,,-7.328B,,3.518B,3.217B,301.00M,,,-19.00M,301.00M,6.043B,10.46B,2.016B,8.444B,0.18,0.0,,,3.69,0.18,0.18,0.0,,,3.6430000000000002,0.18,1.636B,1.658B,0.41
2007-03,41.32B,41.32B,29.47B,11.85B,527.00M,461.00M,4.374B,,,,6.925B,4.926B,,,1.39B,,6.066B,2.52B,3.546B,,,-21.00M,3.546B,3.246B,6.95B,2.024B,4.926B,2.15,0.0,,,1.9680000000000002,2.15,2.12,0.0,,,1.94,2.12,1.647B,1.669B,0.41
2006-12,41.52B,42.54B,27.87B,14.67B,1.484B,-712.00M,4.526B,,,,8.012B,6.657B,,,156.00M,,5.917B,2.72B,3.197B,,,-16.00M,3.197B,3.624B,8.659B,2.002B,6.657B,1.9,0.0,,,2.1590000000000003,1.9,1.88,0.0,,,2.135,1.88,1.651B,1.674B,0.36
2006-09,48.08B,49.58B,33.39B,16.20B,650.00M,-319.00M,4.853B,,,,7.64B,8.557B,,,877.00M,,7.937B,4.061B,3.876B,,,-21.00M,3.876B,4.067B,10.69B,2.137B,8.557B,2.35,0.0,,,2.4659999999999997,2.35,2.31,0.0,,,2.424,2.31,1.653B,1.676B,0.36
2006-06,47.15B,48.48B,32.28B,16.20B,610.00M,-101.00M,4.421B,,,,6.996B,9.204B,,,1.063B,,8.682B,3.496B,5.186B,,,-21.00M,5.186B,5.247B,11.17B,1.965B,9.204B,3.13,0.0,,,3.167,3.13,3.09,0.0,,,3.1260000000000003,3.09,1.655B,1.678B,0.36
2006-03,46.91B,47.93B,35.78B,12.14B,566.00M,-81.00M,4.387B,,,,6.133B,6.012B,,,879.00M,,5.797B,2.506B,3.291B,,,-18.00M,3.291B,3.340B,7.192B,1.18B,6.012B,2.38,0.0,,,2.415,2.38,2.34,0.0,,,2.375,2.34,1.383B,1.405B,0.36
2005-12,51.26B,52.17B,38.37B,13.80B,1.218B,-50.00M,4.598B,,,,6.994B,6.808B,,,781.00M,,6.621B,2.839B,3.782B,-15.00M,,-12.00M,3.679B,3.812B,7.986B,1.178B,6.808B,2.73,-0.01,,,2.752,2.66,2.69,-0.01,,,2.7110000000000003,2.61,1.385B,1.408B,0.31
2005-09,48.74B,49.66B,36.63B,13.03B,612.00M,-84.00M,4.606B,,,,6.267B,6.762B,,,788.00M,,6.554B,2.75B,3.804B,-4.00M,,-6.00M,3.80B,3.854B,7.811B,1.049B,6.762B,2.73,0.0,,,2.766,2.73,2.68,0.0,,,2.716,2.68,1.394B,1.418B,0.31
2005-06,41.81B,42.61B,30.79B,11.82B,539.00M,-16.00M,4.664B,,,,6.188B,5.635B,,,685.00M,,5.432B,2.301B,3.131B,7.00M,,-5.00M,3.138B,3.141B,6.62B,985.00M,5.635B,2.24,0.01,,,2.247,2.25,2.21,0.0,,,2.217,2.21,1.397B,1.419B,0.31
2005-03,33.48B,38.92B,27.70B,11.22B,539.00M,145.00M,333.00M,,,,1.913B,9.31B,,,1.198B,,4.94B,2.017B,2.923B,-11.00M,,-10.00M,2.912B,2.836B,10.35B,1.041B,9.31B,2.09,-0.01,,,2.028,2.08,2.06,-0.01,,,1.999,2.05,1.398B,1.420B,0.25
2004-12,35.10B,35.10B,29.24B,5.865B,426.00M,-555.00M,325.00M,,,,1.781B,4.084B,,,0.00,,4.275B,1.795B,2.48B,-48.00M,,-3.00M,2.432B,2.813B,5.114B,1.03B,4.084B,1.79,-0.04,,,2.029,1.75,1.76,-0.04,,,1.995,1.72,1.391B,1.414B,0.25
2004-09,30.27B,30.27B,25.11B,5.159B,590.00M,6.00M,257.00M,,,,1.785B,3.374B,,,395.00M,,3.66B,1.649B,2.011B,-5.00M,,-8.00M,2.006B,2.007B,4.312B,938.00M,3.374B,1.45,0.0,,,1.4469999999999998,1.45,1.43,0.0,,,1.4269999999999998,1.43,1.384B,1.403B,0.215
2004-06,27.36B,31.89B,22.37B,9.52B,516.00M,-12.00M,256.00M,,,,1.684B,7.836B,,,310.00M,,3.47B,1.457B,2.013B,62.00M,,-7.00M,2.075B,2.020B,8.748B,912.00M,7.836B,1.46,0.04,,,1.465,1.5,1.44,0.04,,,1.445,1.48,1.379B,1.398B,0.215
2004-03,25.99B,30.22B,21.54B,8.674B,468.00M,53.00M,292.00M,,,,1.678B,6.996B,,,322.00M,,2.964B,1.361B,1.603B,13.00M,,-14.00M,1.616B,1.571B,7.914B,918.00M,6.996B,1.17,0.01,,,1.147,1.18,1.155,0.01,,,1.1320000000000001,1.165,1.372B,1.388B,0.215
2003-12,22.29B,36.08B,19.11B,16.97B,188.00M,47.00M,236.00M,,,,1.335B,15.63B,,,198.00M,,1.678B,692.00M,986.00M,36.00M,18.00M,,1.04B,957.80M,16.54B,911.00M,15.63B,0.725,0.025,0.0,,0.7043,0.765,0.71,0.025,0.0133,,0.6895,0.755,1.363B,1.378B,0.215
2003-09,22.52B,22.91B,18.55B,4.362B,683.00M,93.00M,227.00M,,,,1.768B,2.594B,,,279.00M,,2.31B,1.061B,1.249B,57.00M,,,1.306B,1.193B,3.452B,858.00M,2.594B,0.92,0.04,,,0.879,0.96,0.91,0.04,,,0.8693,0.95,1.361B,1.373B,0.2
2003-06,21.93B,25.57B,18.36B,7.216B,603.00M,-148.00M,237.00M,,,,1.697B,5.519B,,,8.00M,,1.781B,685.00M,1.096B,91.00M,,-6.00M,1.187B,1.187B,6.376B,857.00M,5.519B,0.81,0.065,,,0.877,0.875,0.8,0.065,,,0.8666,0.865,1.360B,1.368B,0.2
