,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,799.02M,,799.02M,309.20M,,309.20M,44.87M,,,1.153B,0.00,,196.80M,,2.683M,51.00M,250.48M,-164.80M,85.68M,1.560B,328.33M,1.888B,,11.09M,16.12M,2.001B,3.154B,,2.385M,,,2.385M,83.82M,86.21M,,,,374.73M,374.73M,,563.52M,2.077B,,2.077B,84.43M,84.43M,68.84M,2.231B,2.794B,,1.295M,1.475B,1.256B,2.322B,-50.08M,360.31M,,AOR,Restated
2017-06,750.58M,,750.58M,289.23M,,289.23M,43.63M,,,1.083B,0.00,,185.32M,,8.34M,51.04M,244.71M,-155.88M,88.82M,1.558B,332.62M,1.891B,,9.992M,16.79M,2.007B,3.090B,,0.329M,,,0.329M,80.84M,81.17M,,,,399.12M,399.12M,,552.40M,2.077B,,2.077B,87.42M,87.42M,66.43M,2.230B,2.783B,,1.295M,1.425B,1.247B,2.312B,-53.36M,307.20M,,AOR,Restated
2017-03,696.97M,,696.97M,262.29M,,262.29M,29.39M,,,988.65M,0.00,,178.40M,,10.56M,50.42M,239.38M,-146.22M,93.16M,1.556B,339.11M,1.896B,,9.687M,18.08M,2.016B,3.005B,,1.138M,3.755M,,4.893M,71.21M,76.10M,,,,378.42M,378.42M,,496.35M,2.076B,,2.076B,91.84M,91.84M,62.18M,2.230B,2.726B,,1.294M,1.369B,1.237B,2.271B,-57.86M,278.84M,,AOR,Restated
2016-12,791.83M,,791.83M,221.50M,,221.50M,42.33M,,,1.056B,0.00,,172.03M,,10.95M,49.44M,232.43M,-136.84M,95.58M,1.556B,347.64M,1.903B,,9.531M,18.30M,2.027B,3.083B,,0.568M,,,0.568M,82.53M,83.10M,,,,334.36M,334.36M,,536.57M,2.075B,,2.075B,94.07M,94.07M,59.14M,2.228B,2.765B,,1.29M,1.322B,1.226B,2.171B,-60.74M,317.60M,,AOR,Restated
2016-09,974.06M,,974.06M,235.80M,,235.80M,52.50M,,,1.262B,0.00,,171.08M,,13.49M,47.92M,232.50M,-133.24M,99.26M,1.558B,358.43M,1.917B,,9.793M,18.81M,2.045B,3.307B,,1.249M,,,1.249M,75.84M,77.08M,,,,343.26M,343.26M,,516.78M,2.074B,,2.074B,102.50M,102.50M,61.81M,2.239B,2.756B,,1.29M,1.280B,1.216B,1.895B,-50.90M,551.52M,,AOR,Restated
2016-06,404.61M,,404.61M,247.50M,,247.50M,84.95M,,,737.06M,0.00,,163.46M,,11.90M,47.78M,223.13M,-125.32M,97.81M,1.560B,368.72M,1.929B,,9.242M,18.08M,2.054B,2.791B,,1.732M,,,1.732M,74.82M,76.55M,,,,365.24M,365.24M,,509.70M,1.581B,,1.581B,105.01M,105.01M,60.61M,1.746B,2.256B,,1.289M,1.242B,1.206B,1.866B,-48.16M,535.15M,,AOR,Restated
2016-03,445.01M,,445.01M,260.17M,,260.17M,58.63M,,,763.81M,0.00,,160.02M,,6.614M,48.13M,214.76M,-118.75M,96.01M,1.564B,380.86M,1.945B,,8.507M,18.26M,2.068B,2.832B,,1.514M,,,1.514M,61.89M,63.40M,,,,359.87M,359.87M,,468.47M,1.580B,,1.580B,106.00M,106.00M,61.55M,1.748B,2.216B,,1.288M,1.197B,1.196B,1.742B,-35.74M,615.66M,,AOR,Restated
2015-12,777.71M,,777.71M,208.24M,,208.24M,77.33M,,,1.063B,0.00,,153.37M,,12.66M,47.58M,213.61M,-114.68M,98.93M,1.566B,391.49M,1.957B,,9.18M,18.50M,2.084B,3.147B,,2.512M,,,2.512M,61.43M,63.94M,,,,317.55M,317.55M,,498.12M,1.579B,,1.579B,110.94M,110.94M,57.04M,1.747B,2.246B,,1.282M,1.158B,1.173B,1.396B,-35.74M,901.49M,,AOR,Restated
2015-09,993.49M,,993.49M,208.24M,,208.24M,70.53M,,14.10M,1.286B,0.00,,146.92M,,10.49M,48.92M,206.33M,-111.37M,94.96M,1.563B,399.94M,1.963B,,,22.44M,2.080B,3.367B,,1.806M,,,1.806M,68.26M,70.06M,,,,328.05M,328.05M,,490.96M,1.579B,,1.579B,123.01M,123.01M,54.86M,1.757B,2.248B,,1.281M,1.122B,1.167B,1.140B,-31.32M,1.119B,,AOR,Restated
2015-06,455.02M,,455.02M,214.49M,,214.49M,90.55M,,16.72M,776.78M,0.00,,145.96M,,3.259M,49.80M,199.02M,-105.73M,93.29M,1.565B,410.20M,1.976B,,,29.91M,2.099B,2.876B,,2.17M,,,2.17M,47.82M,50.00M,,,,338.76M,338.76M,,458.63M,800.00M,,800.00M,128.37M,128.37M,54.92M,983.28M,1.442B,,1.28M,1.082B,1.161B,785.79M,-24.86M,1.434B,,AOR,Restated
2015-03,537.75M,,537.75M,184.83M,,184.83M,48.26M,,17.79M,788.63M,0.00,,133.98M,,13.08M,49.67M,196.73M,-99.23M,97.50M,1.562B,417.61M,1.979B,,,30.94M,2.108B,2.897B,,1.139M,,,1.139M,65.03M,66.16M,,,,344.27M,344.27M,,451.76M,800.00M,,800.00M,136.79M,136.79M,52.27M,989.07M,1.441B,,1.272M,1.046B,1.039B,598.74M,-31.57M,1.456B,,AOR,Restated
2014-12,508.80M,,508.80M,178.72M,,178.72M,59.73M,,22.21M,769.46M,0.00,,128.11M,,9.02M,49.76M,186.88M,-92.81M,94.07M,1.565B,433.63M,1.999B,,3.944M,16.52M,2.113B,2.883B,,2.835M,,,2.835M,47.89M,50.73M,,,,310.78M,310.78M,,472.91M,788.36M,,788.36M,137.84M,137.84M,50.59M,976.79M,1.450B,,1.266M,1.023B,1.022B,588.38M,-24.97M,1.433B,,AOR,Restated
2014-09,448.19M,,448.19M,191.81M,,191.81M,66.47M,,52.12M,758.59M,0.00,,121.92M,,10.60M,54.28M,186.80M,-93.01M,93.79M,1.567B,445.03M,2.012B,,,15.43M,2.122B,2.880B,,1.695M,,,1.695M,64.30M,65.99M,,19.78M,19.78M,321.02M,321.02M,,498.64M,773.17M,,773.17M,171.68M,171.68M,40.25M,985.11M,1.484B,,1.266M,978.36M,1.017B,588.12M,-12.28M,1.397B,,AOR,Restated
2014-06,683.24M,,683.24M,213.43M,,213.43M,64.20M,,46.02M,1.007B,0.00,,107.24M,,27.17M,52.68M,187.08M,-92.28M,94.80M,1.561B,454.52M,2.016B,,,15.89M,2.126B,3.133B,,1.859M,,,1.859M,60.72M,62.58M,,19.78M,19.78M,323.96M,323.96M,,475.49M,778.12M,,778.12M,172.24M,172.24M,40.71M,991.07M,1.467B,,1.264M,947.03M,1.098B,377.63M,-1.543M,1.667B,,AOR,Restated
2014-03,260.45M,,260.45M,191.90M,,191.90M,44.90M,,75.93M,988.86M,0.00,,98.26M,,11.01M,48.35M,157.61M,-77.85M,79.76M,1.547B,462.35M,2.010B,,,15.68M,2.105B,3.094B,,1.542M,,,1.542M,40.25M,41.79M,,19.78M,19.78M,314.25M,314.25M,128.20M,546.65M,783.06M,,783.06M,159.14M,159.14M,41.23M,983.44M,1.530B,,1.261M,850.66M,1.057B,345.55M,-0.021M,1.564B,,AOR,Restated
2013-12,358.43M,,358.43M,169.49M,,169.49M,43.46M,,52.89M,624.27M,0.00,,95.49M,,12.69M,52.78M,160.96M,-75.37M,85.59M,1.813B,595.71M,2.409B,,,17.39M,2.512B,3.136B,,1.198M,,,1.198M,41.21M,42.41M,,19.77M,19.77M,319.74M,319.74M,,503.04M,788.01M,,788.01M,234.65M,234.65M,46.07M,1.069B,1.572B,,1.256M,758.98M,1.073B,268.39M,-0.65M,1.564B,,AOR,Restated
2013-09,283.75M,0.00,283.75M,179.92M,,179.92M,76.04M,,50.39M,590.10M,0.00,,91.89M,,5.202M,50.57M,147.66M,-73.86M,73.81M,1.797B,607.77M,2.405B,,,12.70M,2.491B,3.082B,,1.319M,,,1.319M,46.38M,47.70M,,54.13M,54.13M,334.09M,334.09M,,531.95M,753.28M,,753.28M,229.88M,229.88M,44.33M,1.027B,1.559B,,1.253M,723.00M,1.037B,236.14M,-2.701M,1.522B,,AOR,Restated
2013-06,334.70M,0.00,334.70M,160.10M,,160.10M,69.37M,,53.35M,617.52M,0.00,,81.56M,,2.313M,48.94M,132.81M,-66.82M,65.98M,1.792B,616.82M,2.409B,,,12.46M,2.488B,3.105B,,0.979M,,,0.979M,38.46M,39.44M,,43.12M,43.12M,347.47M,347.47M,,496.47M,775.07M,,775.07M,235.07M,235.07M,42.67M,1.053B,1.549B,,1.251M,667.69M,1.025B,130.85M,-6.775M,1.556B,,AOR,Restated
2013-03,263.03M,0.00,263.03M,166.92M,,166.92M,39.65M,,53.74M,523.33M,0.00,,76.55M,,1.644M,48.80M,127.00M,-62.39M,64.61M,1.799B,631.38M,2.431B,,,13.08M,2.509B,3.032B,,1.138M,,,1.138M,42.58M,43.72M,,43.11M,43.11M,350.47M,350.47M,,482.85M,785.86M,,785.86M,234.50M,234.50M,39.92M,1.060B,1.543B,,1.249M,606.64M,1.017B,130.32M,-5.723M,1.489B,,AOR,Restated
2012-12,183.31M,70.90M,254.21M,153.56M,,153.56M,57.52M,,49.55M,514.84M,0.00,,75.38M,,2.716M,48.40M,126.50M,-59.08M,67.42M,1.783B,641.07M,2.424B,,,12.90M,2.505B,3.020B,,2.985M,,,2.985M,42.49M,45.47M,,43.09M,43.09M,308.02M,308.02M,,509.94M,811.62M,,811.62M,234.24M,234.24M,38.60M,1.084B,1.594B,,1.24M,547.70M,1.000B,120.93M,-2.796M,1.425B,,AOR,Restated
2012-09,340.46M,93.88M,434.34M,124.31M,,124.31M,62.77M,,49.36M,670.78M,0.00,,81.80M,,1.117M,48.81M,131.73M,-67.72M,64.01M,1.709B,597.00M,2.306B,,,12.81M,2.382B,3.053B,,1.694M,,,1.694M,41.58M,43.27M,,43.08M,43.08M,323.50M,323.50M,,493.50M,822.40M,,822.40M,226.80M,226.80M,42.43M,1.092B,1.585B,,1.236M,493.25M,1.029B,52.86M,-2.357M,1.468B,,AOR,Restated
2012-06,273.31M,86.46M,359.77M,136.07M,,136.07M,61.65M,,47.61M,605.10M,0.00,,73.27M,,21.33M,24.17M,118.77M,-63.97M,54.79M,1.709B,612.96M,2.322B,,,13.45M,2.390B,2.995B,,0.657M,,,0.657M,49.04M,49.70M,,43.07M,43.07M,333.89M,333.89M,,483.83M,833.18M,,833.18M,230.23M,230.23M,38.00M,1.101B,1.585B,,1.233M,444.97M,1.020B,52.42M,-4.176M,1.410B,,AOR,Restated
2012-03,266.02M,194.16M,460.18M,172.18M,,172.18M,40.73M,,40.04M,713.13M,0.00,,77.66M,,3.046M,24.69M,105.39M,-65.68M,39.71M,1.709B,628.92M,2.338B,,,22.70M,2.400B,3.113B,,0.166M,,,0.166M,48.44M,48.60M,,10.34M,10.34M,330.05M,330.05M,,421.19M,1.064B,,1.064B,235.43M,235.43M,27.86M,1.327B,1.748B,,1.231M,407.43M,1.011B,52.14M,-2.954M,1.365B,,AOR,Restated
2011-12,252.21M,140.49M,392.70M,180.57M,,180.57M,63.72M,,40.95M,677.94M,0.00,,75.04M,,0.454M,22.22M,97.71M,-60.09M,37.62M,1.709B,644.88M,2.353B,,,23.96M,2.415B,3.093B,,0.239M,,,0.239M,45.50M,45.74M,,10.34M,10.34M,289.22M,289.22M,,452.80M,1.067B,,1.067B,240.46M,240.46M,27.76M,1.335B,1.788B,,1.227M,363.46M,995.66M,49.83M,-5.094M,1.305B,,AOR,Restated
2011-09,221.58M,142.75M,364.33M,166.95M,,166.95M,46.15M,,55.01M,632.44M,0.00,,69.75M,,3.603M,20.58M,93.94M,-57.03M,36.91M,1.709B,661.15M,2.370B,,,25.13M,2.432B,3.064B,,0.431M,,,0.431M,47.07M,47.50M,,10.33M,10.33M,291.04M,291.04M,,433.89M,1.104B,,1.104B,236.37M,236.37M,27.88M,1.368B,1.802B,,1.217M,318.98M,984.25M,38.14M,-4.355M,1.262B,,AOR,Restated
2011-06,175.90M,111.17M,287.06M,177.19M,,177.19M,56.93M,,40.14M,561.32M,0.00,,65.48M,,4.074M,21.52M,91.07M,-55.00M,36.08M,1.709B,677.57M,2.386B,,,26.04M,2.448B,3.010B,,0.625M,,,0.625M,54.35M,54.98M,,10.33M,10.33M,296.79M,296.79M,,423.57M,1.107B,,1.107B,241.54M,241.54M,28.74M,1.377B,1.801B,,1.216M,269.19M,976.67M,38.12M,0.089M,1.209B,,AOR,Restated
2011-03,127.64M,50.16M,177.80M,185.71M,,185.71M,47.94M,,37.51M,448.97M,0.00,,59.77M,,1.73M,19.69M,81.19M,-48.12M,33.06M,1.707B,693.99M,2.401B,,,27.79M,2.462B,2.910B,,0.471M,,,0.471M,46.51M,46.98M,,10.33M,10.33M,284.12M,284.12M,,378.02M,1.109B,,1.109B,246.90M,246.90M,26.26M,1.382B,1.760B,,1.212M,223.53M,963.09M,38.10M,0.289M,1.150B,,AOR,Restated
2010-11,226.58M,73.89M,300.47M,147.66M,,147.66M,40.34M,,47.81M,536.28M,0.00,,68.63M,,0.901M,23.80M,93.33M,-58.96M,34.37M,1.707B,716.25M,2.423B,,,29.59M,2.487B,3.023B,,2.162M,,,2.162M,138.55M,140.71M,,54.92M,54.92M,271.30M,271.30M,,466.92M,1.208B,,1.208B,240.94M,240.94M,27.30M,1.476B,1.943B,,1.205M,176.18M,938.01M,33.32M,-1.966M,1.080B,,AOR,
2010-08,197.74M,42.59M,240.33M,114.53M,,114.53M,61.33M,,29.54M,445.73M,0.00,,52.43M,,0.04M,19.03M,71.50M,-35.89M,35.61M,1.703B,732.93M,2.436B,,,30.70M,2.503B,2.948B,,1.462M,,,1.462M,112.36M,113.83M,,11.66M,11.66M,283.83M,283.83M,,409.32M,1.254B,,1.254B,223.74M,223.74M,27.15M,1.505B,1.914B,,1.193M,145.92M,914.84M,23.38M,-4.374M,1.034B,,AOR,
2010-05,152.15M,61.40M,213.55M,92.53M,,92.53M,32.98M,,23.33M,362.39M,0.00,,39.95M,,0.718M,14.98M,55.64M,-30.26M,25.39M,441.62M,111.63M,553.26M,,,6.901M,585.54M,947.93M,,0.534M,,,0.534M,58.49M,59.02M,,8.245M,8.245M,181.91M,181.91M,,249.17M,62.32M,,62.32M,36.71M,36.71M,23.29M,122.32M,371.50M,,1.057M,135.60M,465.38M,21.62M,-3.987M,576.43M,,AOR,
2010-02,84.35M,358.14M,442.49M,113.90M,,113.90M,21.58M,,23.88M,601.85M,0.00,,41.54M,,0.714M,13.70M,55.96M,-28.70M,27.26M,441.62M,115.91M,557.53M,,,9.236M,594.03M,1.196B,,0.406M,,,0.406M,51.60M,52.01M,,42.09M,42.09M,168.31M,168.31M,,262.41M,327.10M,,327.10M,38.44M,38.44M,22.26M,387.80M,650.21M,,1.057M,111.53M,461.04M,21.61M,-6.348M,545.66M,,AOR,
2009-11,176.02M,295.30M,471.33M,77.18M,,77.18M,29.40M,,24.58M,602.48M,0.00,,41.78M,,0.155M,13.95M,55.88M,-26.50M,29.38M,441.62M,120.19M,561.81M,,,6.592M,597.78M,1.200B,,1.878M,,,1.878M,95.59M,97.47M,,42.09M,42.09M,152.94M,152.94M,,292.50M,337.62M,,337.62M,40.08M,40.08M,23.01M,400.71M,693.21M,,1.054M,84.01M,448.75M,19.17M,-7.59M,507.06M,,AOR,Restated
2009-08,111.70M,250.06M,361.76M,76.51M,,76.51M,13.20M,,28.42M,479.90M,0.00,,38.21M,,0.013M,13.27M,51.50M,-23.60M,27.90M,441.62M,126.46M,568.08M,,,6.683M,602.66M,1.083B,,33.95M,0.017M,,33.96M,74.66M,108.62M,,37.09M,37.09M,166.22M,166.22M,,311.92M,348.14M,,348.14M,43.02M,43.02M,10.40M,401.56M,713.48M,,1.002M,59.48M,318.45M,1.395M,-8.457M,369.08M,,AOR,Restated
2009-05,72.77M,244.88M,317.65M,95.37M,,95.37M,12.97M,,26.87M,452.86M,0.00,,37.76M,,0.00,12.63M,50.39M,-20.54M,29.85M,441.62M,132.89M,574.51M,,,6.635M,611.00M,1.064B,,38.61M,,,38.61M,61.80M,100.41M,,32.09M,32.09M,176.03M,176.03M,,308.52M,358.66M,,358.66M,45.83M,45.83M,10.40M,414.90M,723.42M,,1.002M,38.55M,310.77M,1.286M,-8.603M,340.44M,,AOR,Restated
2009-02,276.88M,,276.88M,99.48M,4.385M,103.86M,11.20M,,20.80M,412.75M,0.00,,34.37M,,0.026M,11.86M,46.25M,-16.48M,29.77M,441.62M,139.48M,581.10M,,,6.442M,617.31M,1.030B,,0.513M,0.284M,36.92M,37.71M,49.90M,87.62M,,27.09M,27.09M,176.80M,176.80M,,291.51M,369.19M,,369.19M,46.90M,46.90M,9.288M,425.37M,716.88M,,1.001M,18.94M,302.29M,0.791M,-8.26M,313.18M,,AOR,Restated
2008-11,268.08M,0.00,268.08M,85.72M,1.765M,87.49M,18.10M,,18.59M,392.26M,0.00,,30.28M,,1.362M,10.88M,42.52M,-14.07M,28.45M,441.62M,145.91M,587.53M,,,6.816M,622.79M,1.015B,,0.90M,,34.99M,35.89M,88.40M,124.30M,,22.09M,22.09M,144.71M,144.71M,,291.09M,379.71M,,379.71M,49.36M,49.36M,8.499M,437.57M,728.67M,,1.001M,2.212M,291.20M,0.681M,-7.354M,286.38M,,,Restated
2008-08,246.45M,,246.45M,85.11M,5.694M,90.80M,9.459M,,19.97M,366.68M,0.00,10.48M,21.71M,,2.829M,,35.02M,-13.04M,21.98M,441.62M,153.03M,594.66M,,,10.14M,626.78M,993.46M,,2.06M,,,2.06M,63.85M,65.91M,,22.25M,22.25M,158.70M,158.70M,35.86M,282.72M,385.07M,,385.07M,52.32M,52.32M,,437.38M,720.10M,,1.001M,-10.61M,282.57M,0.586M,0.985M,273.36M,,,
2008-05,32.29M,,32.29M,106.20M,1.965M,108.17M,16.61M,203.32M,22.24M,382.63M,,,,,,,27.51M,-12.14M,15.37M,441.62M,160.16M,601.78M,,,3.00M,620.15M,1.003B,,,,,,56.25M,56.25M,,22.25M,22.25M,168.82M,168.82M,58.09M,305.41M,391.62M,,391.62M,54.88M,54.88M,,446.51M,751.92M,,1.001M,-29.49M,277.17M,0.557M,2.735M,250.86M,,,
2008-02,21.93M,,21.93M,123.83M,5.595M,129.43M,12.35M,164.10M,17.83M,345.64M,,,,,,,19.11M,-14.38M,4.723M,441.62M,167.28M,608.90M,,,3.00M,616.63M,962.27M,,,,,,35.46M,35.46M,,22.24M,22.24M,167.34M,167.34M,63.39M,288.42M,397.20M,,397.20M,54.47M,54.47M,,451.67M,740.10M,,1.00M,-48.12M,269.95M,,-0.661M,222.17M,,,
2007-11,33.82M,,33.82M,77.75M,2.627M,80.38M,12.16M,137.62M,17.42M,281.40M,0.00,8.532M,9.118M,,,,17.65M,-13.40M,4.246M,441.62M,174.41M,616.03M,,,3.00M,623.28M,904.68M,,0.07M,,,0.07M,64.03M,64.10M,,22.25M,22.25M,125.23M,125.23M,33.36M,244.93M,402.75M,,402.75M,56.98M,56.98M,,459.73M,704.66M,,1.00M,-65.88M,265.10M,,-0.193M,200.02M,,,
