,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,116.83M,-12.04M,,,,-12.04M,7.377M,19.54M,26.91M,26.91M,-3.183M,,9.019M,,0.77M,63.25M,-19.08M,18.67M,,6.02M,68.86M,207.16M,,-7.205M,0.01M,0.01M,21.00M,,,13.80M,,500.00M,500.00M,-155.42M,-155.42M,-33.92M,-33.92M,0.017M,-6.262M,304.42M,,849.83M,525.39M,-7.618M,1.368B,,500.00M,,-155.42M,64.89M,21.25M,,AOR,Restated
2018-03,115.09M,,,,,,8.205M,11.34M,19.54M,19.54M,-1.097M,,9.053M,,1.17M,-134.80M,13.82M,1.255M,,64.56M,-55.16M,88.60M,,-5.872M,0.00,0.00,,,,-5.872M,,,,-91.28M,-91.28M,-34.88M,-34.88M,0.102M,,-126.06M,,889.50M,-43.33M,3.659M,849.83M,,,,-91.28M,8.602M,35.12M,,AOR,Restated
2017-12,64.60M,,,,,,8.118M,11.56M,19.68M,19.68M,-7.45M,,8.908M,,1.259M,-18.42M,-5.012M,14.40M,,65.20M,56.16M,143.15M,,-20.60M,,,,0.00,,-20.60M,,,,-0.111M,-0.111M,-34.41M,-34.41M,0.854M,,-33.67M,,799.02M,88.88M,1.602M,889.50M,,,,-0.111M,28.57M,21.24M,,AOR,Restated
2017-09,85.15M,0.00,,,,0.00,9.325M,10.61M,19.94M,19.94M,-4.372M,,8.931M,,1.607M,-20.51M,-1.288M,4.671M,,7.639M,-9.485M,101.77M,,-11.55M,0.00,0.00,0.00,0.00,,-11.55M,,0.00,0.00,-9.373M,-9.373M,-34.39M,-34.39M,0.508M,,-43.25M,,750.58M,46.97M,1.465M,799.02M,,0.00,,-9.373M,28.92M,35.11M,,AOR,Restated
2017-06,81.27M,,,,,,9.159M,11.12M,20.28M,20.28M,-5.045M,,9.343M,,0.36M,-26.08M,-14.31M,3.855M,,52.54M,16.01M,122.22M,,-7.035M,,,,0.771M,,-6.264M,,,,-40.62M,-40.62M,-25.43M,-25.43M,0.648M,,-65.40M,,696.97M,50.56M,3.054M,750.58M,,,,-40.62M,57.95M,21.24M,,AOR,Restated
2017-03,72.95M,,,,,,8.838M,11.25M,20.09M,20.09M,-2.035M,,9.394M,,0.874M,-40.58M,13.07M,-5.964M,,-30.78M,-64.26M,37.02M,,-9.629M,,,,,,-9.629M,,,,-100.36M,-100.36M,-25.49M,-25.49M,0.625M,,-125.23M,,791.83M,-97.84M,2.978M,696.97M,,,,-100.36M,13.29M,34.92M,,AOR,Restated
2016-12,68.25M,0.00,,,,0.00,9.447M,11.50M,20.94M,20.94M,-9.329M,,8.41M,,0.917M,12.53M,10.94M,6.727M,,19.47M,49.66M,138.85M,,-10.54M,,,0.00,0.00,,-10.54M,,0.00,0.00,-275.70M,-275.70M,-26.26M,-26.26M,0.819M,0.00,-301.14M,,974.06M,-172.82M,-9.405M,791.83M,,0.00,,-275.70M,28.37M,21.25M,,AOR,Restated
2016-09,65.28M,-0.449M,,,,-0.449M,8.312M,11.75M,20.06M,20.06M,-2.882M,,8.318M,,1.415M,9.36M,33.87M,4.168M,,9.379M,56.78M,148.53M,,-13.73M,,,0.657M,0.00,,-13.07M,,500.00M,500.00M,-32.12M,-32.12M,-26.65M,-26.65M,0.779M,-7.183M,434.83M,,404.61M,570.28M,-0.834M,974.06M,,500.00M,,-32.12M,-2.822M,23.23M,,AOR,Restated
2016-06,66.96M,,,,,,8.393M,11.94M,20.34M,20.34M,-0.987M,,8.193M,,0.86M,11.28M,-25.37M,9.265M,,27.56M,22.74M,118.10M,,-12.90M,,,0.00,0.00,,-12.90M,,,,-120.03M,-120.03M,-21.39M,-21.39M,1.004M,,-140.42M,,445.01M,-35.23M,-5.173M,404.61M,,,,-120.03M,61.05M,21.21M,,AOR,Restated
2016-03,60.37M,,,,,,8.168M,11.84M,20.01M,20.01M,-3.769M,,7.08M,,1.068M,-51.66M,22.52M,-2.331M,,-16.39M,-47.87M,36.89M,,-5.46M,,,-0.06M,,,-5.52M,,,,-346.72M,-346.72M,-21.89M,-21.89M,2.438M,,-366.17M,,777.71M,-334.80M,2.107M,445.01M,,,,-346.72M,11.24M,23.45M,,AOR,Restated
2015-12,59.41M,0.00,,,,0.00,7.568M,11.80M,19.37M,19.37M,-4.193M,,8.006M,13.71M,0.925M,-0.418M,-11.70M,-1.967M,,13.44M,-0.646M,96.58M,,-18.56M,0.00,0.00,-6.50M,,,-18.33M,,0.00,0.00,-256.08M,-256.08M,-22.75M,-22.75M,1.198M,-13.71M,-291.34M,,993.49M,-213.09M,-2.691M,777.71M,,0.00,,-256.08M,37.07M,21.19M,,AOR,Restated
2015-09,64.40M,0.00,,,,0.00,8.049M,11.71M,19.76M,19.76M,-2.554M,,6.013M,-0.474M,-5.599M,5.699M,18.42M,18.42M,,9.887M,52.42M,133.96M,,-12.25M,0.00,0.00,0.00,,,-12.25M,,800.00M,800.00M,-347.07M,-347.07M,-24.15M,-24.15M,0.673M,-10.00M,419.45M,,455.02M,541.16M,-2.697M,993.49M,,800.00M,,-347.07M,14.11M,0.175M,,AOR,Restated
2015-06,56.02M,,,,,,8.065M,11.70M,19.76M,19.76M,-6.974M,,7.189M,-10.24M,0.596M,-29.00M,-24.93M,-9.232M,,20.84M,-42.32M,24.03M,,-12.02M,0.055M,0.055M,0.00,,,-11.96M,,,,-87.22M,-87.22M,-20.44M,-20.44M,1.128M,10.24M,-96.28M,,537.75M,-84.22M,1.488M,455.02M,,,,-87.22M,64.37M,20.59M,,AOR,Restated
2015-03,43.83M,,,,,,7.207M,11.70M,18.91M,18.91M,3.433M,,7.35M,-2.99M,4.146M,-7.181M,15.02M,9.65M,,-25.48M,-7.992M,66.68M,,-6.32M,,,0.00,,,-6.32M,,,,-10.35M,-10.35M,-20.41M,-20.41M,0.632M,2.99M,-27.14M,,508.80M,33.23M,-4.275M,537.75M,,,,-10.35M,13.98M,0.161M,,AOR,Restated
2014-12,44.34M,0.00,,,,0.00,7.62M,11.59M,19.21M,19.21M,-5.956M,,6.469M,0.362M,8.362M,11.81M,3.04M,3.031M,,13.38M,31.27M,104.05M,,-8.638M,0.014M,0.014M,-0.041M,,,-8.665M,,5.187M,5.187M,-0.255M,-0.255M,-20.39M,-20.39M,0.672M,-15.16M,-29.95M,,448.19M,65.44M,-4.832M,508.80M,,800.00M,-794.81M,-0.255M,19.00M,2.846M,,AOR,Restated
2014-09,51.71M,-0.005M,,,,-0.005M,6.342M,11.57M,17.92M,17.92M,-2.479M,,7.659M,-0.424M,1.775M,20.45M,-2.136M,-5.494M,,18.60M,31.41M,107.57M,,-20.27M,0.00,0.00,-14.88M,,,-35.15M,,-5.062M,-5.062M,-300.49M,-300.49M,0.00,0.00,3.603M,0.424M,-301.53M,,683.24M,-229.11M,-5.932M,448.19M,,0.00,-5.062M,-300.49M,29.52M,5.041M,,AOR,Restated
2014-06,107.66M,-84.62M,,,,-84.62M,5.921M,11.44M,17.36M,17.36M,29.75M,,7.286M,-1.599M,1.212M,-20.20M,-35.53M,9.19M,,38.29M,-8.25M,68.80M,,-11.90M,0.001M,0.001M,362.81M,,,350.91M,,-5.062M,-5.062M,-1.744M,-1.744M,0.00,0.00,3.696M,1.599M,-1.511M,,260.45M,418.20M,0.181M,683.24M,,,-5.062M,-1.744M,50.76M,4.804M,,AOR,Restated
2014-03,80.40M,,,,,,6.047M,14.01M,20.06M,20.06M,-26.27M,,5.171M,-1.174M,0.464M,-38.88M,9.767M,3.829M,,-28.11M,-53.40M,25.25M,,-10.06M,0.007M,0.007M,,,,-10.05M,,-5.063M,-5.063M,-107.16M,-107.16M,0.00,0.00,1.71M,1.174M,-109.34M,,358.43M,-94.14M,0.566M,260.45M,,,-5.063M,-107.16M,21.13M,4.542M,,AOR,Restated
2013-12,47.26M,0.00,,,,0.00,6.042M,14.76M,20.80M,20.80M,-12.94M,,5.854M,-0.131M,1.913M,10.35M,19.93M,-3.535M,,5.649M,32.39M,95.15M,,-20.81M,0.00,0.00,0.00,0.00,,-20.81M,,0.00,0.00,-2.255M,-2.255M,,,2.394M,0.131M,0.27M,,283.75M,74.60M,0.08M,358.43M,,,0.00,-2.255M,28.52M,5.33M,,AOR,Restated
2013-09,55.31M,0.00,,,,0.00,5.934M,14.45M,20.38M,20.38M,-5.481M,,6.321M,-0.364M,1.039M,-18.83M,-6.103M,7.252M,,9.831M,-7.846M,69.36M,,-14.24M,0.029M,0.029M,0.00,0.00,,-14.21M,,-11.00M,-11.00M,-100.29M,-100.29M,,,2.428M,0.364M,-108.50M,,334.70M,-53.34M,2.393M,283.75M,,,-11.00M,-100.29M,37.50M,4.802M,,AOR,Restated
2013-06,61.05M,0.00,,,,0.00,5.246M,14.51M,19.76M,19.76M,8.499M,,6.018M,-0.23M,1.191M,6.277M,-29.60M,-6.757M,,19.42M,-10.66M,85.63M,,-3.691M,0.00,0.00,-0.10M,0.00,,-3.791M,,-11.00M,-11.00M,-0.242M,-0.242M,,,3.116M,0.23M,-7.896M,,263.03M,73.94M,-2.27M,334.70M,,,-11.00M,-0.242M,51.97M,5.057M,,AOR,Restated
2013-03,58.94M,,,,,,5.08M,14.49M,19.57M,19.57M,-5.143M,,6.811M,-1.172M,-0.10M,-14.21M,19.24M,0.635M,,-13.52M,-7.852M,71.05M,,-4.80M,0.00,0.00,-23.17M,70.90M,,42.93M,,-26.00M,-26.00M,-9.397M,-9.397M,,,3.764M,1.172M,-30.46M,,183.31M,83.52M,-3.798M,263.03M,,,-26.00M,-9.397M,10.18M,5.24M,,AOR,Restated
2012-12,54.45M,,,,,,4.989M,15.42M,20.41M,20.41M,-6.494M,,5.914M,0.531M,1.286M,-21.35M,5.363M,-3.171M,,2.47M,-16.69M,59.41M,,-6.775M,0.351M,0.351M,-119.55M,23.01M,,-102.97M,,-11.00M,-11.00M,-103.06M,-103.06M,,,2.55M,-0.531M,-112.05M,,340.46M,-155.60M,-1.546M,183.31M,,0.00,-11.00M,-103.06M,41.86M,8.151M,,AOR,Restated
2012-09,48.27M,,,,,,4.633M,15.96M,20.59M,20.59M,-6.185M,,7.537M,0.08M,0.901M,12.11M,-1.125M,-1.39M,,16.80M,26.40M,97.60M,,-18.16M,0.00,0.00,0.00,-7.386M,,-25.55M,,-11.00M,-11.00M,-0.441M,-0.441M,,,3.206M,-0.08M,-8.315M,,273.31M,63.73M,3.418M,340.46M,,0.00,-11.00M,-0.441M,34.82M,7.187M,,AOR,Restated
2012-06,37.55M,,,,,,4.662M,15.96M,20.62M,20.62M,-11.83M,,6.029M,-0.397M,19.71M,36.14M,-22.71M,-3.015M,,38.46M,48.88M,120.56M,,-15.65M,,,0.00,107.74M,,92.08M,,-202.66M,-202.66M,-0.174M,-0.174M,,,4.212M,-3.473M,-202.10M,,266.02M,10.54M,-3.26M,273.31M,,876.09M,-1.079B,-0.174M,50.63M,10.54M,,AOR,Restated
2012-03,43.97M,,,,,,4.416M,15.96M,20.38M,20.38M,-5.687M,,5.843M,-1.262M,1.423M,8.574M,24.36M,1.322M,,-29.40M,4.849M,69.51M,,-4.292M,,,0.00,-53.64M,,-57.93M,,-2.812M,-2.812M,-2.309M,-2.309M,,,3.343M,1.262M,-0.516M,,252.21M,11.06M,2.748M,266.02M,,,-2.812M,-2.309M,7.123M,10.86M,,AOR,Restated
2011-12,,,,,,,4.478M,16.27M,20.75M,20.75M,18.58M,-5.206M,7.401M,-3.187M,-122.02M,-13.40M,-14.48M,14.64M,,3.541M,-9.697M,80.07M,,-6.269M,,,,2.293M,,-3.976M,,-37.81M,-37.81M,-11.68M,-11.68M,,,2.672M,3.187M,-43.64M,,221.58M,32.45M,-1.816M,252.21M,,0.00,-37.81M,-11.68M,21.45M,11.44M,,AOR,Restated
2011-09,,,,,,,4.669M,16.42M,21.09M,21.09M,-17.18M,1.508M,7.86M,-0.313M,50.16M,9.074M,10.68M,18.92M,,-7.113M,31.56M,94.68M,,-10.11M,,,,-31.55M,,-41.66M,,-2.811M,-2.811M,-0.027M,-0.027M,,,1.144M,0.313M,-1.381M,,175.90M,51.65M,-5.966M,221.58M,,0.00,-2.811M,-0.027M,19.46M,11.37M,,AOR,Restated
2011-06,,,,,,,5.168M,16.42M,21.59M,21.59M,-7.837M,1.511M,8.008M,-1.186M,45.58M,8.992M,-7.135M,23.54M,,13.06M,38.46M,106.12M,,-2.897M,,,,-60.96M,,-63.85M,,-2.813M,-2.813M,-0.018M,-0.018M,,,5.805M,1.186M,4.16M,,127.64M,46.43M,1.824M,175.90M,,0.00,-2.813M,-0.018M,38.24M,16.32M,,AOR,Restated
2011-03,,,,,,,5.11M,16.69M,21.80M,21.80M,12.06M,2.187M,8.454M,-2.577M,34.65M,-46.95M,-8.332M,-60.44M,,13.26M,-102.46M,-25.88M,,-3.835M,,,,22.71M,,18.88M,,-143.62M,-143.62M,-2.896M,-2.896M,,,6.81M,2.577M,-137.13M,,269.42M,-144.14M,2.354M,127.64M,,1.125B,-1.269B,-2.896M,14.58M,13.58M,,AOR,Restated
2010-11,30.27M,,,,,,5.53M,16.69M,22.22M,22.22M,-3.935M,1.753M,9.341M,2.503M,-5.612M,-34.05M,26.66M,27.02M,-12.06M,-1.983M,5.576M,62.12M,,-6.095M,0.00,-6.095M,-0.30M,-31.26M,,-37.65M,,-37.22M,-37.22M,-9.944M,-9.944M,,,9.27M,40.06M,2.173M,,197.74M,26.64M,2.204M,226.58M,,0.00,-37.22M,-9.944M,2.877M,15.95M,,AOR,
2010-08,10.32M,,,-0.05M,,-0.05M,4.934M,16.35M,21.28M,21.28M,9.444M,4.293M,12.46M,-1.04M,-0.701M,15.34M,-2.90M,9.906M,-16.79M,4.57M,10.13M,66.13M,,-2.399M,0.022M,-7.073M,-1.101B,18.83M,,-1.084B,,1.087B,1.087B,-1.757M,-1.757M,,,11.95M,-32.99M,1.064B,,152.15M,45.95M,-0.359M,197.74M,,1.269B,-181.53M,-1.757M,43.31M,24.15M,,AOR,
2010-05,24.07M,,0.00,0.132M,,0.132M,3.556M,4.277M,7.833M,7.833M,-2.665M,3.254M,5.366M,-0.071M,0.967M,20.54M,-12.21M,8.177M,14.83M,-0.345M,30.98M,69.86M,,-1.411M,,,,296.81M,,295.40M,,-299.08M,-299.08M,-0.004M,-0.004M,,,0.097M,0.071M,-298.91M,,84.35M,66.36M,1.444M,152.15M,,,-299.08M,-0.004M,,,,AOR,
2010-02,27.52M,,0.00,-0.082M,,-0.082M,3.393M,4.278M,7.671M,7.671M,-1.918M,0.127M,5.12M,-1.392M,0.055M,-37.68M,9.005M,-38.70M,18.01M,-2.493M,-51.86M,-14.76M,,-3.285M,,,,-62.26M,,-65.54M,,-10.56M,-10.56M,-2.446M,-2.446M,,,2.117M,1.392M,-9.50M,,176.02M,-89.80M,-1.873M,84.35M,,,-10.56M,-2.446M,,,,AOR,
2009-11,24.54M,,,,,,3.065M,6.268M,9.333M,9.333M,0.888M,0.40M,10.09M,0.00,-6.613M,-0.513M,-8.625M,-15.93M,-14.83M,11.36M,-28.54M,10.10M,,-2.224M,,-2.224M,,-45.08M,,-47.31M,,-5.563M,-5.563M,-17.77M,97.98M,,,0.567M,,99.91M,,111.70M,62.70M,1.62M,176.02M,,,-5.563M,-17.77M,19.61M,4.247M,,AOR,Restated
2009-08,20.92M,,-0.274M,-0.616M,,-0.89M,2.869M,6.429M,9.298M,9.298M,-4.276M,0.543M,8.354M,,0.82M,18.42M,-0.645M,10.70M,-10.52M,-1.051M,16.91M,51.69M,,-1.669M,,-11.19M,,-4.986M,,-6.655M,,-5.562M,-5.562M,-0.109M,-0.109M,,,0.00,,-5.671M,,72.77M,39.36M,-0.429M,111.70M,,,-5.562M,-0.109M,41.78M,14.01M,,AOR,Restated
2009-05,19.62M,,0.146M,-0.147M,,-0.001M,2.972M,6.428M,9.40M,9.40M,-6.736M,0.254M,8.978M,0.00,0.062M,9.26M,-0.843M,10.46M,-3.585M,-0.178M,15.11M,46.68M,,-3.486M,,,,-244.73M,,-248.22M,,-5.562M,-5.562M,-0.495M,-0.495M,,,0.03M,,-6.027M,,276.88M,-207.56M,3.45M,72.77M,,,-5.562M,-0.495M,,,,AOR,Restated
2009-02,16.72M,,0.128M,0.763M,,0.891M,3.051M,6.429M,9.48M,9.48M,-4.214M,0.40M,7.736M,0.00,0.314M,-16.84M,6.723M,-32.52M,33.55M,0.237M,-8.859M,22.47M,,-6.033M,,,,0.00,,-6.033M,,-5.563M,-5.563M,-0.11M,-0.11M,,,0.00,,-5.673M,,268.08M,10.77M,-1.962M,276.88M,,,-5.563M,-0.11M,,,,AOR,Restated
2008-11,12.82M,,,,,4.391M,2.696M,7.001M,9.697M,9.697M,0.029M,,,,-14.25M,2.481M,-10.84M,13.07M,-13.23M,7.414M,-1.109M,43.52M,,-6.459M,,-6.459M,,,0.00,-6.459M,,,-5.563M,-0.095M,-0.095M,,,,0.00,-5.658M,,246.45M,31.40M,-9.775M,268.08M,,,,-0.095M,,,,,Restated
2008-08,18.88M,,,,,0.058M,1.268M,7.249M,8.517M,8.517M,-0.299M,,,,5.673M,17.09M,6.034M,-13.05M,-4.935M,-7.143M,-2.00M,30.83M,,-13.28M,,-13.28M,,,203.32M,190.04M,,,-5.562M,-0.029M,-0.029M,,,,-0.021M,-5.612M,,32.29M,215.25M,-1.095M,246.45M,,,,-0.029M,,,,,
2008-05,18.63M,,,,,0.018M,0.522M,7.125M,7.647M,7.647M,-3.997M,,,,6.348M,19.16M,-4.26M,15.01M,22.66M,-21.22M,31.35M,60.00M,,-4.859M,,-4.859M,,,-39.22M,-44.08M,,,-5.563M,-0.557M,-0.557M,,,,,-6.12M,,21.93M,9.801M,0.564M,32.29M,,,,-0.557M,,,,,
2008-02,17.93M,,,,,,0.484M,7.125M,7.609M,7.609M,-2.911M,,,,4.413M,-45.62M,-0.193M,,18.29M,21.22M,-6.304M,20.74M,,-0.961M,,-0.961M,,,-26.47M,-27.44M,,,-5.562M,,,,,,,-5.562M,,33.82M,-12.26M,0.367M,21.93M,,,,,,,,,
