,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,309.68M,316.09M,68.54M,247.55M,41.55M,21.42M,62.97M,18.20M,9.159M,11.12M,,29.03M,1.31M,-27.72M,101.45M,146.10M,1.31M,29.03M,-27.72M,-0.872M,-27.72M,117.51M,36.24M,81.27M,,,81.27M,81.27M,166.82M,20.28M,146.54M,,0.90,,,0.90,0.90,,0.89,,,0.89,0.89,,90.40M,91.71M,0.28,,AOR,Restated
2017-03,295.61M,301.21M,67.46M,233.74M,42.97M,20.98M,63.95M,18.97M,8.838M,11.25M,,29.02M,0.932M,-28.09M,103.01M,130.73M,0.932M,29.02M,-28.09M,-1.015M,-28.09M,101.62M,28.67M,72.95M,,,72.95M,72.95M,150.74M,20.09M,130.65M,,0.80,,,0.80,0.80,,0.80,,,0.80,0.80,,90.71M,91.62M,0.28,,AOR,Restated
2016-12,284.86M,292.81M,63.82M,228.99M,41.61M,21.47M,63.08M,18.96M,9.447M,11.50M,,29.04M,0.901M,-28.14M,102.98M,126.01M,0.901M,29.04M,-28.14M,-0.779M,-28.14M,97.10M,28.84M,68.25M,,,68.25M,68.25M,147.08M,20.94M,126.13M,,0.73,0.00,,0.73,0.73,,0.73,0.00,,0.73,0.73,,93.31M,93.82M,0.28,,AOR,Restated
2016-09,282.63M,288.43M,62.99M,225.45M,41.51M,21.86M,63.37M,18.75M,8.312M,11.75M,,26.79M,0.799M,-25.99M,102.19M,123.26M,0.799M,26.79M,-25.99M,0.253M,-25.99M,97.52M,32.24M,65.28M,,,65.28M,65.28M,144.38M,20.06M,124.31M,,0.69,,,0.69,0.69,,0.68,,,0.68,0.68,,94.82M,95.47M,0.28,,AOR,Restated
2016-06,282.37M,290.60M,62.13M,228.47M,41.85M,22.02M,63.87M,18.57M,8.393M,11.94M,,22.92M,0.585M,-22.33M,102.78M,125.69M,0.585M,22.92M,-22.33M,-2.814M,-22.33M,100.54M,33.59M,66.96M,,,66.96M,66.96M,143.80M,20.34M,123.46M,,0.69,,,0.69,0.69,,0.69,,,0.69,0.69,,96.41M,96.89M,0.22,,AOR,Restated
2016-03,274.04M,278.83M,63.17M,215.66M,41.69M,21.89M,63.58M,18.93M,8.168M,11.84M,,22.90M,0.621M,-22.28M,102.52M,113.14M,0.621M,22.90M,-22.28M,-0.081M,-22.28M,90.78M,30.41M,60.37M,,,60.37M,60.37M,133.69M,20.01M,113.68M,,0.61,,,0.61,0.61,,0.60,,,0.60,0.60,,99.42M,100.00M,0.22,,AOR,Restated
2015-12,266.10M,272.89M,64.80M,208.09M,39.81M,23.59M,63.40M,17.78M,7.568M,11.80M,,22.90M,0.492M,-22.40M,100.55M,107.54M,0.492M,22.90M,-22.40M,0.297M,-22.40M,85.44M,25.44M,60.00M,-0.593M,,59.41M,60.00M,127.70M,19.37M,108.33M,,0.59,-0.01,,0.59,0.58,,0.58,-0.01,,0.58,0.57,,103.10M,103.85M,0.22,,AOR,Restated
2015-09,264.51M,268.77M,65.59M,203.18M,38.81M,19.96M,58.77M,15.55M,8.049M,11.71M,,17.27M,0.285M,-16.98M,94.08M,109.10M,0.285M,17.27M,-16.98M,6.922M,-16.98M,99.04M,34.64M,64.40M,,,64.40M,64.40M,136.07M,19.76M,116.31M,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,108.77M,109.44M,0.22,,AOR,Restated
2015-06,266.73M,270.58M,67.39M,203.19M,42.03M,22.08M,64.11M,20.81M,8.065M,11.70M,,11.12M,0.185M,-10.93M,104.68M,98.51M,0.185M,11.12M,-10.93M,-0.164M,-10.93M,87.42M,31.40M,56.02M,0.00,,56.02M,56.02M,118.29M,19.76M,98.53M,,0.50,0.00,,0.50,0.50,,0.50,0.00,,0.50,0.50,,112.14M,112.93M,0.18,,AOR,Restated
2015-03,258.17M,262.77M,69.90M,192.86M,41.65M,20.38M,62.02M,23.19M,7.207M,11.70M,,11.11M,0.204M,-10.90M,104.12M,88.74M,0.204M,11.11M,-10.90M,-0.178M,-10.90M,77.66M,28.04M,49.62M,-5.797M,,43.83M,49.62M,107.68M,18.91M,88.77M,,0.44,-0.05,,0.44,0.39,,0.44,-0.05,,0.44,0.39,,112.52M,113.52M,0.18,,AOR,Restated
2014-12,246.54M,251.10M,69.84M,181.27M,40.80M,18.92M,59.73M,17.24M,7.62M,11.59M,,15.79M,0.226M,-15.56M,96.17M,85.09M,0.226M,15.79M,-15.56M,1.199M,-15.56M,70.73M,27.46M,43.27M,1.071M,,44.34M,43.27M,105.73M,19.21M,86.52M,,0.38,0.01,,0.38,0.39,,0.38,0.01,,0.38,0.39,,112.43M,113.42M,0.18,,AOR,Restated
2014-09,246.52M,251.66M,69.77M,181.89M,41.40M,19.52M,60.92M,19.02M,6.342M,11.57M,,5.604M,0.277M,-5.327M,97.86M,84.04M,0.277M,5.604M,-5.327M,1.287M,-5.327M,80.00M,28.27M,51.72M,-0.01M,,51.71M,51.72M,103.52M,17.92M,85.60M,,0.44,0.00,,0.44,0.44,,0.44,0.00,,0.44,0.44,,116.25M,117.16M,,,AOR,Restated
2014-06,249.36M,254.23M,76.82M,177.41M,,71.52M,71.52M,,5.921M,11.44M,,5.366M,0.192M,-5.174M,88.88M,88.53M,0.192M,5.366M,-5.174M,0.726M,-5.174M,84.08M,27.28M,56.80M,50.86M,,107.66M,56.80M,106.81M,17.36M,89.45M,,0.48,0.44,,0.48,0.92,,0.48,0.43,,0.48,0.91,,116.70M,117.66M,,,AOR,Restated
2014-03,235.87M,239.69M,75.43M,164.26M,,67.66M,67.66M,,5.828M,11.27M,,5.059M,0.156M,-4.903M,84.76M,79.50M,0.156M,5.059M,-4.903M,-1.071M,-4.903M,73.53M,26.38M,47.15M,33.25M,,80.40M,47.15M,98.65M,20.06M,78.59M,,0.40,0.28,,0.40,0.68,,0.40,0.28,,0.40,0.68,,117.58M,118.60M,,,AOR,Restated
2013-12,232.63M,236.86M,37.55M,199.31M,,-99.82M,37.88M,,5.57M,11.22M,,6.913M,0.239M,-6.674M,115.67M,83.65M,0.239M,6.913M,-6.674M,0.021M,-6.674M,76.99M,36.12M,40.88M,6.382M,,47.26M,40.88M,104.71M,20.80M,83.91M,,0.40,0.06,,0.40,0.40,,0.39,0.06,,0.39,0.39,,118.91M,119.96M,,,AOR,Restated
2013-09,225.98M,228.61M,68.15M,160.46M,,59.92M,59.92M,,5.443M,11.19M,,5.828M,0.227M,-5.601M,76.55M,83.90M,0.227M,5.828M,-5.601M,-0.563M,-5.601M,77.74M,27.80M,49.94M,5.374M,,55.31M,49.94M,103.95M,20.38M,83.57M,,0.42,0.04,,0.42,0.46,,0.42,0.04,,0.42,0.46,,119.61M,120.58M,,,AOR,Restated
2013-06,223.30M,228.42M,69.70M,158.73M,,52.84M,52.84M,,4.774M,11.22M,,6.499M,0.186M,-6.313M,68.84M,89.89M,0.186M,6.499M,-6.313M,0.328M,-6.313M,83.90M,27.76M,56.14M,4.912M,,61.05M,56.14M,110.16M,19.76M,90.40M,,0.46,0.04,,0.46,0.50,,0.46,0.04,,0.46,0.50,,121.15M,122.07M,,,AOR,Restated
2013-03,216.18M,219.47M,65.30M,154.17M,,55.52M,55.52M,,4.597M,11.17M,,7.016M,0.237M,-6.779M,71.28M,82.89M,0.237M,7.016M,-6.779M,-1.922M,-6.779M,74.19M,21.23M,52.96M,5.979M,,58.94M,52.96M,100.77M,19.57M,81.21M,,0.44,0.05,,0.44,0.49,,0.43,0.05,,0.43,0.48,,120.75M,121.70M,,,AOR,Restated
2012-12,128.30M,123.93M,16.40M,107.53M,,35.89M,35.89M,,2.873M,2.14M,-0.018M,7.151M,-0.013M,-7.164M,40.91M,66.62M,-0.013M,7.151M,-7.164M,0.247M,-7.164M,59.71M,24.70M,35.00M,,,54.45M,35.02M,87.27M,20.41M,66.86M,,0.44,,,0.4401,0.44,,0.44,,,0.4401,0.44,,122.04M,122.96M,,,AOR,Restated
2012-09,231.63M,235.44M,68.35M,167.09M,,62.97M,62.97M,,4.633M,15.96M,0.00,7.314M,0.252M,-7.062M,83.56M,83.53M,0.252M,7.314M,-7.062M,-0.873M,-7.062M,75.59M,27.32M,48.27M,,,48.27M,48.27M,103.50M,20.59M,82.91M,,0.39,,,0.39,0.39,,0.39,,,0.39,0.39,,122.26M,123.45M,,,AOR,Restated
2012-06,232.20M,238.56M,73.24M,165.32M,,57.60M,57.60M,,4.662M,15.96M,0.022M,29.58M,0.237M,-29.34M,78.22M,87.10M,0.237M,29.58M,-29.34M,-0.494M,-29.34M,57.26M,19.72M,37.55M,,,37.55M,37.53M,107.46M,20.62M,86.84M,,0.31,,,0.3099,0.31,,0.30,,,0.2999,0.30,,122.03M,123.30M,,,AOR,Restated
2012-03,221.24M,229.05M,72.29M,156.76M,,55.44M,55.44M,,4.416M,15.96M,0.029M,12.36M,0.223M,-12.13M,75.81M,80.95M,0.223M,12.36M,-12.13M,-0.579M,-12.13M,68.24M,24.27M,43.97M,,,43.97M,43.95M,100.97M,20.38M,80.59M,,0.36,,,0.3598,0.36,,0.35,,,0.3498,0.35,,121.75M,123.11M,,,AOR,Restated
2011-12,193.65M,226.13M,69.12M,157.01M,,,54.51M,,4.478M,16.27M,4.916M,13.27M,0.335M,-12.93M,75.26M,81.76M,0.335M,13.27M,-12.93M,1.302M,-12.93M,70.13M,25.64M,44.49M,,,44.49M,41.37M,104.14M,20.75M,83.40M,,0.37,,,0.3443,0.37,,0.36,,,0.3346,0.36,,121.16M,122.55M,,,AOR,Restated
2011-09,225.03M,225.03M,68.97M,156.06M,,,53.72M,,4.669M,16.42M,1.985M,13.11M,0.184M,-12.93M,74.82M,81.24M,0.184M,13.11M,-12.93M,1.985M,-12.93M,70.30M,20.51M,49.79M,,,49.79M,48.38M,104.50M,21.09M,83.41M,,0.41,0.00,,0.3984,0.41,,0.40,0.00,,0.3885,0.40,,120.83M,122.30M,,,AOR,Restated
2011-06,226.48M,226.48M,68.84M,157.64M,,,53.32M,,5.168M,16.42M,-0.423M,12.85M,0.186M,-12.67M,74.91M,82.73M,0.186M,12.85M,-12.67M,-0.423M,-12.67M,69.64M,23.98M,45.66M,,,45.66M,45.94M,104.08M,21.59M,82.49M,,0.38,0.00,,0.3823,0.38,,0.37,0.00,,0.3723,0.37,,120.59M,122.24M,,,AOR,Restated
2011-03,223.30M,223.30M,70.22M,153.08M,,,51.42M,,5.11M,16.69M,-10.07M,16.59M,0.143M,-16.44M,73.22M,79.86M,0.143M,16.59M,-16.44M,-10.07M,-16.44M,53.34M,19.82M,33.52M,,,33.52M,39.85M,91.73M,21.80M,69.93M,,0.28,0.00,,0.3326,0.28,,0.27,0.00,,0.3219,0.27,,120.28M,122.01M,,,AOR,Restated
2010-11,213.32M,213.32M,69.13M,144.19M,,,49.30M,,5.53M,16.69M,-4.217M,17.50M,0.128M,-17.37M,71.52M,72.66M,0.128M,17.50M,-17.37M,-4.217M,-17.37M,51.08M,20.81M,30.27M,,,30.27M,33.01M,90.80M,22.22M,68.57M,,0.26,0.00,,0.2830,0.26,,0.26,0.00,,0.2826,0.26,,119.28M,121.14M,,,AOR,
2010-08,202.73M,202.73M,69.74M,132.99M,,,63.31M,,4.934M,16.35M,-7.477M,20.42M,0.114M,-20.30M,84.59M,48.40M,0.114M,20.42M,-20.30M,-7.477M,-20.30M,20.62M,10.30M,10.32M,,,10.32M,15.18M,62.32M,21.28M,41.04M,,0.09,0.00,,0.1311,0.09,,0.08,0.00,,0.1204,0.08,,118.34M,120.34M,,,AOR,
2010-05,125.17M,125.17M,30.46M,94.71M,,,40.18M,,3.556M,4.277M,-0.098M,8.991M,0.343M,-8.648M,48.01M,46.70M,0.343M,8.991M,-8.648M,-0.098M,-8.648M,37.95M,13.88M,24.07M,,,24.07M,24.13M,54.78M,7.833M,46.94M,,0.23,0.00,,0.2306,0.23,,0.22,0.00,,0.2206,0.22,,105.34M,106.00M,,,AOR,
2010-02,121.68M,121.68M,29.29M,92.39M,,,37.46M,,3.393M,4.278M,0.608M,4.436M,0.408M,-4.028M,45.13M,47.26M,0.408M,4.436M,-4.028M,0.608M,-4.028M,43.84M,16.32M,27.52M,,,27.52M,27.14M,55.94M,7.671M,48.27M,,0.26,0.00,,0.2564,0.26,,0.26,0.00,,0.2564,0.26,,105.24M,105.84M,,,AOR,
2009-11,118.79M,118.79M,32.21M,86.58M,,,33.49M,,3.065M,6.268M,0.071M,4.513M,0.339M,-4.174M,42.82M,43.76M,0.339M,4.513M,-4.174M,0.071M,-4.174M,39.65M,15.12M,24.54M,,,24.54M,24.49M,53.50M,9.333M,44.17M,,0.25,0.00,,0.2496,0.25,,0.25,0.00,,0.2496,0.25,,101.38M,101.95M,,,AOR,Restated
2009-08,108.87M,108.87M,28.25M,80.62M,,,33.52M,,2.869M,6.429M,0.168M,4.628M,0.373M,-4.255M,42.82M,37.80M,0.373M,4.628M,-4.255M,0.168M,-4.255M,33.71M,12.79M,20.92M,,,20.92M,20.82M,47.64M,9.298M,38.34M,,0.20,0.00,,0.1990,0.20,,0.20,0.00,,0.1990,0.20,,100.40M,100.83M,,,AOR,Restated
2009-05,109.38M,109.38M,29.27M,80.11M,,,34.05M,,2.972M,6.428M,0.002M,4.904M,0.22M,-4.684M,43.45M,36.65M,0.22M,4.904M,-4.684M,0.002M,-4.684M,31.97M,12.35M,19.62M,,,19.62M,19.62M,46.28M,9.40M,36.88M,,0.19,0.00,,0.1900,0.19,,0.19,0.00,,0.1900,0.19,,100.36M,100.37M,,,AOR,Restated
2009-02,105.92M,105.92M,28.94M,76.98M,,,34.72M,,3.051M,6.429M,-0.882M,5.638M,0.121M,-5.517M,44.20M,32.78M,0.121M,5.638M,-5.517M,-0.882M,-5.517M,26.38M,9.661M,16.72M,,,16.72M,17.28M,41.50M,9.48M,32.02M,,0.16,0.00,,0.1656,0.16,,0.16,0.00,,0.1656,0.16,,100.29M,100.29M,,,AOR,Restated
2008-11,107.42M,107.42M,34.17M,73.25M,,,30.95M,,,7.125M,-4.435M,,,,43.05M,30.20M,,,,-4.435M,,20.38M,7.551M,12.82M,,,12.82M,15.62M,43.08M,9.697M,30.99M,,0.13,0.00,,0.1579,0.13,,0.12,0.00,,0.1476,0.12,,100.09M,101.07M,,,,Restated
2008-08,110.40M,110.40M,28.13M,82.27M,,,37.62M,,,7.125M,-3.224M,,,,44.75M,37.52M,,,,-3.224M,,30.15M,11.27M,18.88M,,,18.88M,20.90M,46.04M,8.517M,37.52M,,0.19,0.00,,0.2102,0.19,,0.19,0.00,,0.2099,0.19,,100.05M,101.70M,,,,
2008-05,108.20M,108.20M,30.01M,78.18M,,,37.61M,,,7.125M,0.097M,,,,44.74M,33.45M,,,,0.097M,,30.38M,11.75M,18.63M,,,18.63M,18.57M,41.10M,7.647M,33.45M,,0.19,0.00,,0.1894,0.19,,0.18,0.00,,0.1794,0.18,,100.03M,101.28M,,,,
2008-02,104.95M,104.95M,31.59M,73.36M,,,31.55M,,,7.125M,0.136M,,,,38.68M,34.69M,,,,0.136M,,28.74M,10.80M,17.93M,,,17.93M,17.85M,42.30M,7.609M,34.69M,,0.18,0.00,,0.1792,0.18,,0.18,0.00,,0.1792,0.18,,100.01M,100.73M,,,,
2007-11,101.66M,101.66M,29.72M,71.94M,,,23.94M,,,7.125M,-0.477M,,,,31.06M,40.88M,,,,-0.477M,,34.10M,15.86M,18.24M,,,18.24M,18.55M,48.00M,7.07M,40.88M,,0.21,0.00,,0.2136,0.21,,0.21,0.00,,0.2136,0.21,,86.73M,86.80M,,,,
2007-08,92.41M,92.41M,29.43M,62.98M,,,23.43M,,,6.697M,0.20M,,,,30.13M,32.85M,,,,0.20M,,32.92M,11.54M,21.38M,,,21.38M,21.25M,39.99M,7.138M,32.85M,,0.665,0.00,,0.6635,0.665,,0.665,0.00,,0.6635,0.665,,83.90M,83.90M,,,,
2007-05,88.75M,88.75M,30.34M,58.41M,,,25.49M,,,6.265M,0.026M,,,,31.75M,26.66M,,,,0.026M,,31.70M,11.85M,19.85M,,,19.85M,19.83M,32.92M,6.265M,26.66M,,0.24,0.00,,0.2398,0.24,,0.24,0.00,,0.2398,0.24,,83.90M,83.90M,,,,
2007-02,87.91M,87.91M,,,,,,,,,,,,,,87.91M,,,,,,,,20.75M,,,20.75M,20.75M,87.91M,,87.91M,,0.7075,0.00,,0.7075,0.7075,,0.7075,0.00,,0.7075,0.7075,,29.32M,29.32M,,,,
2006-11,77.67M,77.67M,,,,,,,,,,,,,,-149.73M,,,,,,,,15.84M,2.018M,,17.86M,15.84M,-149.73M,,-149.73M,,0.19,0.02,,0.19,0.20,,0.19,0.02,,0.19,0.20,,83.90M,83.90M,,,,
2006-08,77.68M,77.68M,,,,,,,,,,,,,,77.68M,,,,,,,,15.84M,2.018M,,17.86M,15.84M,77.68M,,77.68M,,0.19,0.03,,0.19,0.22,,0.19,0.03,,0.19,0.22,,83.90M,83.90M,,,,
2006-05,77.68M,77.68M,,,,,,,,,,,,,,77.68M,,,,,,,,15.84M,2.018M,,17.86M,15.84M,77.68M,,77.68M,,0.19,0.03,,0.19,0.22,,0.19,0.00,,0.19,0.19,,83.90M,83.90M,,,,
2006-02,77.68M,77.68M,,,,,,,,,,,,,,77.68M,,,,,,,,15.84M,2.018M,,17.86M,15.84M,77.68M,,77.68M,,0.19,0.00,,0.19,0.19,,0.03,0.00,,0.03,0.03,,83.90M,83.90M,,,,
2005-11,69.62M,69.62M,,,,,,,,,,,,,,-135.23M,,,,,,,,12.61M,0.948M,0.078M,13.64M,12.61M,-135.23M,,-135.23M,,0.15,0.01,0.00,0.15,0.16,,0.15,0.01,0.0009,0.15,0.16,,83.90M,83.90M,,,,
2005-08,69.62M,69.62M,,,,,,,,,,,,,,69.62M,,,,,,,,12.61M,0.948M,0.078M,13.64M,12.61M,69.62M,,69.62M,,0.15,0.01,0.00,0.15,0.16,,0.15,0.01,0.0009,0.15,0.16,,83.90M,83.90M,,,,
2005-05,69.62M,69.62M,,,,,,,,,,,,,,69.62M,,,,,,,,12.61M,0.948M,0.078M,13.64M,12.61M,69.62M,,69.62M,,0.15,0.01,0.00,0.15,0.16,,0.15,0.01,0.0009,0.15,0.16,,83.90M,83.90M,,,,
2005-02,69.62M,69.62M,,,,,,,,,,,,,,69.62M,,,,,,,,12.61M,0.948M,0.078M,13.64M,12.61M,69.62M,,69.62M,,0.15,0.01,0.00,0.15,0.16,,0.15,0.01,0.0009,0.15,0.16,,83.90M,83.90M,,,,
