,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,160.00M,,,152.59M,152.59M,-3.047M,24.94M,,24.94M,-70.61M,1.445M,125.55M,25.30M,,,-7.205M,74.48M,408.96M,-161.78M,,,-8.472M,,-49.71M,,-211.50M,-75.00M,-75.00M,,-87.62M,-87.62M,,,10.04M,-1.723M,-154.31M,370.92M,43.16M,-0.68M,413.40M,,,-75.00M,-87.62M,,
2017-12,336.66M,,,155.48M,155.48M,10.74M,23.80M,,23.80M,-13.76M,-0.063M,-179.46M,31.37M,,,-15.86M,-177.77M,348.91M,-171.29M,,,-7.46M,,-240.88M,,-412.16M,,,,-150.04M,-150.04M,,,15.02M,-3.595M,-138.62M,573.05M,-201.88M,-0.256M,370.92M,,,,-150.04M,,
2017-09,177.42M,,,146.35M,146.35M,10.82M,19.86M,,19.86M,60.64M,-1.12M,-12.01M,-39.44M,,,0.413M,8.485M,362.94M,-148.22M,,,-8.15M,,-103.97M,,-252.19M,0.00,0.00,,-23.39M,-23.39M,,,23.40M,-0.017M,-0.011M,460.43M,110.74M,1.884M,573.05M,,,0.00,-23.39M,,
2017-06,179.68M,,,144.06M,144.06M,14.64M,21.86M,,21.86M,-45.49M,4.477M,-27.16M,12.12M,,,-11.93M,-67.99M,292.24M,-180.83M,,,-7.651M,,-56.82M,,-237.65M,,,,,,,,27.61M,-4.329M,23.28M,378.45M,77.87M,4.105M,460.43M,,,,,,
2017-03,173.21M,,,134.83M,134.83M,11.21M,17.50M,,17.50M,-34.24M,-4.266M,27.27M,-46.21M,,,24.27M,-33.18M,303.58M,-165.54M,,,-6.385M,,61.69M,,-103.85M,0.00,0.00,,0.00,0.00,,,10.68M,-6.314M,4.369M,170.86M,204.10M,3.489M,378.45M,,,0.00,0.00,,
2016-12,149.69M,,,132.85M,132.85M,14.40M,17.64M,,17.64M,34.56M,4.924M,-32.86M,13.39M,,,3.335M,23.35M,337.94M,-201.71M,,,-5.25M,,107.53M,,-94.18M,,,,-500.20M,-500.20M,,,3.308M,0.00,-496.89M,431.50M,-253.13M,-7.504M,170.86M,,,,-500.20M,,
2016-09,169.98M,,,127.29M,127.29M,-45.50M,18.94M,,18.94M,3.017M,-3.044M,5.371M,24.46M,,,10.55M,40.35M,311.06M,-189.76M,,,-5.861M,,-67.86M,,-257.61M,,,,0.00,0.00,,,35.54M,-34.95M,0.591M,377.58M,54.04M,-0.126M,431.50M,,,,0.00,,
2016-06,166.45M,,,124.97M,124.97M,11.60M,20.14M,,20.14M,-61.10M,5.906M,-34.42M,6.908M,,,19.98M,-62.74M,260.43M,-201.85M,,,-3.769M,,67.42M,,-134.43M,,,,-50.02M,-50.02M,,,14.52M,-4.824M,-40.32M,295.59M,85.68M,-3.687M,377.58M,,,,-50.02M,,
2016-03,150.36M,,,119.13M,119.13M,7.978M,17.81M,,17.81M,101.79M,-8.452M,-4.751M,-15.34M,,,-32.31M,40.93M,336.20M,-178.28M,,,-3.592M,,-125.27M,,-303.55M,,,,-150.06M,-150.06M,,,10.42M,-0.419M,-140.05M,402.12M,-107.40M,0.87M,295.59M,,,,-150.06M,,
2015-12,166.11M,,,123.15M,123.15M,60.57M,16.80M,,16.80M,16.00M,7.786M,-13.62M,56.25M,,,12.46M,78.87M,445.50M,-170.04M,,,-3.34M,-106.12M,217.77M,,-58.39M,-14.32M,-14.32M,,-144.99M,-144.99M,,,8.994M,-94.13M,-244.46M,261.76M,142.66M,-2.291M,402.12M,,0.00,,-144.99M,,
2015-09,147.28M,,,115.56M,115.56M,1.805M,18.88M,,18.88M,-45.88M,4.742M,-3.79M,37.07M,,,-4.147M,-12.00M,271.52M,-171.28M,,,-11.20M,0.00,54.50M,,-116.78M,0.00,0.00,,-200.06M,-200.06M,,,9.649M,5.613M,-184.80M,293.98M,-30.06M,-2.163M,261.76M,,0.00,,-200.06M,,
2015-06,115.04M,,,113.07M,113.07M,-1.632M,19.29M,,19.29M,-58.67M,-7.253M,-30.60M,-11.58M,,,-29.00M,-137.10M,108.66M,-158.27M,,,-3.599M,0.00,-66.70M,,-224.97M,0.00,0.00,,0.00,0.00,,,13.80M,6.125M,19.92M,390.34M,-96.38M,0.028M,293.98M,,0.00,,0.00,,
2015-03,110.93M,,,100.44M,100.44M,4.498M,15.16M,,15.16M,-71.58M,7.676M,-7.346M,24.32M,,,30.14M,-16.79M,214.25M,-148.63M,,,-3.296M,-1.372B,514.83M,,-1.006B,500.00M,500.00M,,0.00,0.00,,,19.04M,34.15M,553.18M,635.20M,-238.38M,-6.487M,390.34M,,500.00M,,0.00,,
2014-12,147.87M,,,85.14M,85.14M,85.19M,15.96M,,15.96M,-38.22M,4.602M,-24.49M,-49.60M,,,-3.015M,-110.72M,223.45M,-126.53M,,,-3.279M,0.00,36.68M,,-89.84M,-14.86M,-14.86M,,0.00,0.00,,,12.46M,13.45M,11.05M,496.49M,144.66M,-5.948M,635.20M,,0.00,-14.86M,0.00,,
2014-09,129.00M,,,75.41M,75.41M,19.02M,15.06M,,15.06M,-21.34M,2.936M,-1.855M,11.73M,,,-10.44M,-18.97M,219.52M,-115.52M,,,-3.048M,0.00,82.74M,,-32.78M,-0.006M,-0.006M,,0.00,0.00,,,5.248M,-5.18M,0.062M,315.26M,186.80M,-5.566M,496.49M,,0.00,-0.006M,0.00,,
2014-06,129.03M,,,71.71M,71.71M,0.197M,14.62M,,14.62M,-40.06M,-3.324M,28.54M,52.03M,,,-4.478M,32.71M,248.27M,-108.35M,,,-3.889M,-7.476M,91.47M,,-24.35M,-0.003M,-0.003M,,-142.06M,-142.06M,,,6.002M,6.334M,-129.72M,219.93M,94.19M,1.138M,315.26M,,0.00,-0.003M,-142.06M,,
2014-03,119.53M,,,70.09M,70.09M,2.49M,13.65M,,13.65M,24.84M,3.903M,-16.82M,-84.18M,,,22.28M,-49.97M,155.79M,-117.51M,,,-3.301M,0.00,-20.08M,,-137.58M,-0.066M,-0.066M,,-75.03M,-75.03M,,,8.173M,65.20M,-1.717M,202.38M,16.48M,1.066M,219.93M,,0.00,-0.066M,-75.03M,,
2013-12,60.06M,,,74.08M,74.08M,-42.22M,12.64M,,12.64M,-50.88M,-4.224M,12.25M,67.15M,,,12.61M,36.91M,141.48M,-200.18M,,,-17.01M,0.00,-29.31M,,-229.48M,-14.94M,-14.94M,,0.00,0.00,,,7.354M,10.65M,3.063M,287.52M,-84.94M,-0.201M,202.38M,,,-14.94M,0.00,,
2013-09,115.34M,,,67.23M,67.23M,18.10M,12.53M,,12.53M,2.296M,-4.337M,-20.29M,-44.25M,,,17.61M,-48.97M,164.23M,-135.49M,,,-4.025M,-0.075M,-3.191M,,-138.75M,-0.006M,-0.006M,,-28.25M,-28.25M,,,7.074M,11.95M,-9.236M,270.76M,16.24M,0.516M,287.52M,,,-0.006M,-28.25M,,
2013-06,112.91M,,,62.89M,62.89M,0.043M,10.53M,,10.53M,-32.96M,-1.655M,1.502M,38.38M,,,-15.13M,-9.863M,176.51M,-141.57M,,,-12.46M,0.00,12.88M,,-128.69M,0.00,0.00,,-78.55M,-78.55M,,,9.063M,12.70M,-56.78M,281.46M,-8.968M,-1.726M,270.76M,,,0.00,-78.55M,,
2013-03,110.04M,,,59.34M,59.34M,1.427M,10.59M,,10.59M,71.94M,2.105M,-29.50M,-15.26M,,,2.96M,32.25M,213.65M,-107.09M,,,-23.31M,-67.80M,-16.61M,,-191.50M,-9.75M,-9.75M,,-63.24M,-63.24M,,,7.912M,8.648M,-56.43M,317.12M,-34.28M,-1.379M,281.46M,,,-9.75M,-63.24M,,
2012-12,111.81M,,,60.24M,60.24M,-12.34M,9.809M,,9.809M,-52.60M,0.628M,16.10M,39.96M,,,6.944M,11.03M,180.55M,-96.80M,,,-15.66M,-40.54M,-18.16M,,-155.51M,-15.31M,-15.31M,,0.00,0.00,,,7.045M,11.94M,3.673M,288.10M,28.72M,0.299M,317.12M,,,-15.31M,0.00,,
2012-09,98.89M,,,56.12M,56.12M,31.16M,9.721M,,9.721M,-62.38M,-1.785M,-4.424M,36.72M,,,18.19M,-13.68M,182.21M,-79.09M,,,-1.626M,0.00,-127.99M,,-207.08M,-0.334M,-0.334M,,0.00,0.00,,,6.058M,2.93M,8.654M,302.79M,-16.21M,1.524M,288.10M,,,-0.334M,0.00,,
2012-06,97.83M,,,53.43M,53.43M,-5.17M,8.252M,,8.252M,24.30M,-8.385M,-13.08M,27.28M,,,-1.622M,28.50M,182.84M,-78.26M,,,-2.687M,0.00,-108.35M,,-186.60M,-0.468M,-0.468M,,0.00,0.00,,,14.06M,13.80M,27.40M,281.20M,23.63M,-2.042M,302.79M,,,-0.468M,0.00,,
2012-03,88.71M,,,52.79M,52.79M,-5.31M,8.331M,,8.331M,6.979M,9.263M,-0.823M,-6.991M,,,9.762M,18.19M,162.71M,-52.34M,,,-2.899M,0.00,-100.10M,,-152.44M,-0.97M,-0.97M,,0.00,0.00,,,10.98M,16.30M,26.31M,243.15M,36.58M,1.476M,281.20M,,,-0.97M,0.00,,
2011-12,,,,55.72M,55.72M,-31.36M,7.556M,,-187.52M,-25.15M,-11.13M,8.505M,58.30M,,,14.86M,45.38M,168.49M,-62.53M,,75.60M,-12.22M,-37.27M,-35.65M,,-135.46M,-24.99M,-24.99M,,,,,,2.437M,2.424M,-20.12M,231.19M,12.91M,-0.955M,243.15M,,,-24.99M,,,
2011-09,,,,54.17M,54.17M,1.377M,7.232M,,78.84M,-68.11M,0.769M,12.65M,37.81M,,,4.438M,-12.44M,129.18M,-47.99M,,-23.92M,-3.297M,0.00,-74.06M,,-122.06M,-0.261M,-0.261M,,,,,,6.491M,7.439M,13.67M,214.06M,20.79M,-3.65M,231.19M,,,-0.261M,,,
2011-06,,,,52.53M,52.53M,1.87M,6.187M,,72.04M,-42.64M,0.64M,2.264M,25.78M,,,3.444M,-10.50M,122.13M,-52.76M,,-30.30M,-1.87M,-28.07M,-36.48M,,-117.31M,-0.34M,-0.34M,,,,,,13.63M,10.87M,24.16M,184.57M,28.98M,0.509M,214.06M,,,-0.34M,,,
2011-03,,,,50.14M,50.14M,5.999M,6.944M,,64.56M,6.918M,-2.609M,-13.45M,-3.048M,,,11.05M,-1.138M,126.50M,-45.07M,,-21.37M,-3.228M,,-145.20M,,-190.26M,-0.114M,-0.114M,,,,,,16.34M,14.92M,31.14M,214.51M,-32.62M,2.675M,184.57M,,,-0.114M,,,
2010-12,237.27M,,,52.47M,52.47M,11.56M,6.673M,,-142.91M,-14.46M,-2.986M,18.70M,-11.01M,,,-9.838M,-19.59M,121.75M,-48.91M,,75.34M,-2.746M,0.00,-64.14M,,-113.05M,-25.22M,-25.22M,,,,,,11.46M,8.342M,-5.421M,211.75M,3.273M,-0.509M,214.51M,,,-25.22M,,33.50M,3.404M
2010-09,,,,49.42M,49.42M,12.69M,6.244M,,60.87M,-15.59M,1.15M,2.084M,-2.79M,,,4.876M,-10.27M,118.96M,-45.35M,,-19.33M,-5.483M,0.00,-138.79M,,-184.14M,-0.718M,-0.718M,,,,,,9.042M,4.772M,13.10M,255.80M,-52.09M,8.041M,211.75M,,,-0.718M,,24.82M,0.00
2010-06,-50.29M,,,46.65M,46.65M,2.369M,5.656M,,100.61M,-21.37M,0.909M,-2.523M,39.55M,,,-16.47M,0.089M,110.24M,-44.95M,,-3.387M,-0.318M,0.00,-56.28M,,-101.23M,-1.467M,-1.467M,,,,,,6.608M,5.485M,10.63M,240.21M,19.64M,-4.048M,255.80M,,,-1.467M,,7.102M,3.411M
2010-03,50.29M,,,44.80M,44.80M,3.743M,5.15M,,5.15M,34.04M,1.115M,17.11M,-47.57M,,,-3.182M,1.52M,105.50M,-54.86M,,-52.62M,-2.233M,-14.49M,-53.13M,,-122.47M,-0.219M,-0.219M,,,,,,7.616M,9.143M,16.54M,241.72M,-0.431M,-1.085M,240.21M,,,-0.219M,,56.31M,0.072M
2009-12,60.50M,,,51.98M,51.98M,-12.00M,4.295M,,4.295M,-54.03M,1.30M,-13.27M,32.27M,,8.966M,28.13M,3.364M,108.13M,-64.02M,,-41.40M,-22.62M,0.00,-155.57M,,-219.59M,-25.29M,-25.29M,,,,,,5.152M,3.862M,-16.27M,367.97M,-127.73M,1.479M,241.72M,,,-25.29M,,6.935M,4.266M
2009-09,48.39M,,,48.54M,48.54M,-0.621M,4.52M,,4.52M,-24.56M,1.474M,2.712M,3.711M,,-8.966M,-1.801M,-27.43M,73.40M,-47.18M,,-24.14M,-61.63M,0.00,-32.58M,,-79.77M,-0.207M,-0.207M,,,,,,11.83M,8.91M,20.53M,353.92M,14.16M,-0.111M,367.97M,,,-0.207M,,2.303M,0.035M
2009-06,43.74M,,,46.36M,46.36M,4.946M,3.269M,,3.269M,-0.13M,0.053M,-12.29M,-19.43M,,-0.386M,1.801M,-30.39M,67.93M,-46.86M,,-22.55M,14.28M,0.00,-7.39M,,-54.25M,-6.76M,-6.76M,,,,,,9.948M,5.508M,8.696M,325.18M,22.37M,6.365M,353.92M,,,-6.76M,,37.88M,4.282M
2009-03,40.83M,,,42.73M,42.73M,3.539M,3.702M,,3.702M,32.12M,-2.537M,-3.50M,-19.44M,,0.386M,,7.028M,97.83M,-63.43M,,-43.17M,-20.26M,-3.529M,26.25M,,-40.71M,-0.098M,-0.098M,,,,,,2.861M,1.053M,3.816M,270.49M,60.93M,-6.244M,325.18M,,,-0.098M,,,
2008-12,71.54M,,,46.74M,46.74M,-3.895M,4.107M,8.786M,5.14M,-56.71M,1.208M,0.339M,41.83M,,,-6.208M,-19.55M,98.18M,-54.82M,,-34.45M,-72.71M,0.001M,76.94M,,22.12M,-6.963M,-6.963M,,-23.56M,-23.56M,,,0.984M,2.31M,-27.23M,182.26M,93.07M,-4.835M,270.49M,,,-51.46M,-23.56M,3.719M,4.828M
2008-09,45.01M,,,43.28M,43.28M,-1.046M,3.824M,-2.274M,2.568M,-41.65M,-0.871M,-7.896M,-6.844M,,,13.52M,-43.75M,47.62M,-37.76M,,-19.97M,-0.692M,-2.539M,-114.69M,,-154.99M,-1.105M,-1.105M,,-4.44M,-4.44M,,,3.938M,2.824M,1.217M,291.40M,-106.15M,-2.983M,182.26M,,,-1.105M,-4.44M,21.18M,1.569M
2008-06,35.29M,,,41.82M,41.82M,0.512M,3.307M,-2.226M,2.532M,-9.659M,-0.483M,3.471M,10.05M,,,0.786M,4.164M,85.40M,-41.64M,,-22.86M,-0.648M,-3.181M,0.00,,-44.82M,-6.925M,-6.925M,,,,,,4.572M,2.405M,0.052M,250.51M,40.63M,0.255M,291.40M,,,-6.925M,,4.888M,4.076M
2008-03,36.82M,,,38.63M,38.63M,1.908M,3.445M,-4.286M,4.443M,-0.047M,-2.396M,-7.649M,-20.51M,,,0.25M,-30.35M,50.60M,-48.18M,,-30.82M,-0.247M,0.00,55.26M,,7.084M,-0.324M,-0.324M,,,,,,5.87M,8.762M,14.31M,182.91M,71.99M,-4.398M,250.51M,,,-0.324M,,26.28M,0.039M
2007-12,41.33M,,,41.88M,41.88M,-3.078M,,,1.768M,-26.18M,-1.244M,4.144M,33.95M,,-12.18M,11.97M,10.47M,92.37M,-102.90M,,-102.90M,,-0.104M,-47.02M,49.65M,-100.37M,,-9.481M,5.131M,,5.131M,,,,5.12M,0.77M,194.10M,-7.237M,-3.952M,182.91M,5.131M,,,,,
2007-09,31.23M,,,38.96M,38.96M,1.089M,,,4.424M,1.704M,0.92M,2.668M,-12.42M,,16.27M,-7.115M,2.021M,77.73M,-14.30M,,-14.30M,,-0.112M,10.00M,-49.65M,-54.05M,,-0.391M,6.418M,,6.418M,,,,5.743M,11.77M,158.28M,35.45M,0.378M,194.10M,6.418M,,,,,
2007-06,26.98M,,,37.30M,37.30M,-3.483M,,,2.93M,-3.808M,0.604M,2.72M,-12.33M,,0.709M,9.662M,-2.441M,61.29M,-66.50M,,-66.50M,,1.522M,7.25M,,-57.73M,,-12.05M,6.234M,,6.234M,,,,13.36M,7.544M,146.39M,11.10M,0.785M,158.28M,6.234M,,,,,
2007-03,27.58M,,,34.67M,34.67M,0.976M,,,6.575M,5.477M,5.155M,-3.78M,-7.432M,,-22.52M,-3.523M,-26.62M,43.18M,-66.63M,,-66.63M,,-25.37M,16.49M,,-75.51M,,-0.437M,11.30M,,11.30M,,,,6.134M,17.00M,162.54M,-15.33M,-0.824M,146.39M,11.30M,,,,,
2006-12,39.15M,,,36.17M,36.17M,1.789M,,,1.458M,-6.91M,0.074M,-5.131M,15.40M,,-15.00M,1.946M,-9.619M,68.94M,-53.55M,,-53.55M,,0.005M,6.40M,0.02M,-47.12M,,-7.611M,4.762M,,4.762M,,,,2.928M,0.079M,139.36M,21.90M,1.286M,162.54M,4.762M,,,,,
2006-09,26.73M,,,29.70M,29.70M,-3.287M,,,6.698M,-19.50M,-0.048M,-5.404M,-0.569M,,8.54M,10.06M,-6.929M,52.91M,-72.04M,,-72.04M,,-13.74M,5.745M,32.19M,-47.84M,,-0.85M,8.392M,,8.392M,,,,0.814M,8.356M,124.16M,13.42M,1.784M,139.36M,8.392M,,,,,
2006-06,23.87M,,-6.054M,29.48M,29.48M,2.86M,,,12.42M,-8.913M,-5.733M,-0.789M,0.518M,,12.02M,,-2.899M,59.68M,-29.68M,,-29.68M,,,29.75M,-16.44M,-16.38M,,-19.44M,3.711M,,3.711M,,,,0.382M,-15.34M,103.89M,27.96M,-7.695M,124.16M,3.711M,,,,,
2006-03,20.14M,,6.054M,29.91M,29.91M,1.141M,,,,-3.591M,-2.698M,-10.68M,-0.884M,,11.80M,,-6.057M,51.19M,-37.68M,,-37.68M,,,-12.77M,-15.75M,-66.20M,,-2.887M,5.849M,,5.849M,,,,3.08M,6.042M,113.06M,-8.971M,-0.196M,103.89M,5.849M,,,,,
2005-12,27.37M,,30.29M,17.74M,17.74M,-9.185M,,,,0.283M,-1.019M,6.51M,21.18M,,0.108M,,27.06M,93.28M,-36.04M,,-36.04M,,-0.829M,,-15.18M,-213.29M,,91.19M,8.169M,-0.832M,7.337M,,,,0.802M,99.33M,134.19M,-20.68M,-0.45M,113.06M,8.169M,,,-0.832M,,
2005-09,26.56M,,0.00,33.74M,33.74M,0.294M,,,,-17.48M,2.498M,-19.10M,0.178M,,20.24M,,-13.66M,46.93M,-21.68M,,-21.68M,,-11.54M,,-15.15M,-48.38M,,-20.79M,25.28M,0.593M,25.88M,,,,-0.802M,4.284M,132.34M,2.839M,-0.985M,134.19M,25.28M,,,0.593M,,
2005-06,19.80M,,0.00,31.71M,31.71M,1.146M,,,,-13.67M,-2.812M,-2.59M,3.532M,,7.213M,,-8.327M,44.33M,-29.76M,,-29.76M,,-5.333M,,-15.65M,-50.74M,,0.25M,12.57M,-0.388M,12.18M,,,,,12.43M,126.68M,6.022M,-0.367M,132.34M,12.57M,,,-0.388M,,
2005-03,12.52M,,6.382M,30.87M,30.87M,0.871M,,,,8.363M,-0.745M,-3.605M,-10.51M,,0.177M,,-6.319M,44.32M,-13.09M,,-13.09M,,-101.98M,,-16.49M,-131.56M,,19.33M,5.72M,-0.205M,5.515M,,,,,24.85M,189.78M,-62.39M,-0.713M,126.68M,5.72M,,,-0.205M,,
2004-12,21.43M,,9.191M,24.93M,24.93M,-3.944M,,,,-18.13M,3.147M,-12.16M,10.88M,,20.34M,,4.076M,55.68M,-17.87M,0.00,-17.87M,,-0.189M,,-14.22M,-32.27M,,-4.628M,7.684M,-0.752M,6.932M,,,,0.588M,2.892M,160.95M,26.30M,2.538M,189.78M,7.684M,,,-0.752M,,
2004-09,14.78M,,0.00,22.91M,22.91M,0.892M,,,,-3.59M,-0.046M,2.151M,-1.278M,,9.402M,,6.639M,45.22M,-11.69M,0.00,-11.69M,,-1.53M,,-14.28M,-27.50M,,-0.723M,6.258M,,6.258M,,,,-0.236M,5.299M,137.22M,23.01M,0.71M,160.95M,6.258M,,,,,
2004-06,14.31M,,0.00,21.68M,21.68M,1.66M,,,,0.321M,0.274M,-7.961M,4.782M,,1.64M,,-0.944M,36.71M,-12.55M,0.00,-12.55M,,-0.016M,,-14.33M,-26.89M,,-20.56M,7.106M,0.203M,7.309M,,,,-0.352M,-13.60M,141.53M,-3.783M,-0.521M,137.22M,7.106M,,,0.203M,,
2004-03,14.13M,,-3.023M,21.29M,21.29M,1.687M,,,,-3.349M,0.549M,-2.771M,-4.905M,,7.096M,,-3.38M,30.70M,-14.38M,12.00M,-2.381M,,-0.222M,,-14.11M,-16.71M,,1.027M,4.669M,-0.203M,4.466M,,,,,5.493M,121.84M,19.48M,0.21M,141.53M,4.669M,,,-0.203M,,
2003-12,16.21M,,1.887M,19.16M,19.16M,20.51M,,,,-3.98M,-1.999M,3.358M,-13.39M,,0.574M,,-15.44M,42.48M,-25.49M,,-25.49M,,,,-14.67M,-46.54M,,-0.701M,4.862M,-0.604M,4.258M,,,,0.427M,3.984M,119.80M,-0.077M,2.262M,121.84M,4.862M,,,-0.604M,,
2003-09,12.05M,,0.00,17.21M,17.21M,-0.041M,,,,7.67M,-1.884M,-1.80M,-3.417M,,3.509M,,4.078M,33.29M,-24.17M,,-24.17M,,,,-14.88M,-39.05M,,1.798M,2.546M,0.00,2.546M,,,,-0.179M,4.165M,121.04M,-1.592M,0.208M,119.80M,2.546M,,,0.00,,
2003-06,8.943M,,0.00,16.58M,16.58M,4.159M,,,,-5.023M,0.35M,-0.784M,0.527M,,11.88M,,6.951M,36.63M,-19.61M,,-19.61M,,,,-14.39M,-34.00M,,-12.76M,0.486M,-5.93M,-5.444M,,,,-0.248M,-18.46M,135.04M,-15.83M,1.827M,121.04M,0.486M,,,-5.93M,,
