,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2008-06,160.26M,,3.106M,-13.20M,-34.90M,45.94M,45.94M,-8.109M,,170.63M,-24.33M,-47.49M,-55.76M,199.38M,511.21M,,-21.75M,-31.42M,9.675M,,187.44M,-2.122B,-684.98M,,2.144B,-2.434B,-289.46M,,,,,,77.00M,,-77.12M,7.056M,36.15M,,1.776B,-137.62M,1.639B,,,2.20B,-55.74M,,-3.696M,-407.84M,,,
2008-03,202.20M,,-32.71M,13.20M,34.90M,48.10M,48.10M,-6.203M,,0.13M,24.33M,47.49M,55.76M,61.61M,333.12M,,-18.19M,-8.516M,-9.675M,,109.66M,-37.59M,-1.218B,,329.77M,373.62M,703.40M,,,,,,-77.00M,0.00,-77.00M,-1.137M,893.11M,,1.768B,8.579M,1.776B,,,1.450B,-1.120B,,3.696M,407.84M,,,Restated
2007-12,64.93M,,-0.079M,,,43.86M,43.86M,-29.32M,,81.42M,,,,84.21M,437.02M,,-29.45M,23.60M,,,966.37M,2.054B,-1.222B,,399.90M,498.17M,898.08M,,-12.35M,,,,,,-76.87M,14.17M,1.225B,,1.328B,439.97M,1.768B,,,3.025B,-300.43M,,,,,,Restated
2007-09,199.19M,,1.075M,,,43.71M,43.71M,16.37M,,-7.059M,,,,56.50M,309.78M,,-32.26M,-32.26M,,,-1.113B,-1.130B,-2.275B,,1.050B,1.988B,3.038B,,-71.06M,,,,,,-74.84M,11.89M,1.956B,,336.82M,-9.241M,1.328B,,,1.25B,-200.21M,,,,,,
2007-06,214.17M,,-1.683M,,,44.06M,44.06M,-12.32M,,-12.15M,,,,-56.05M,176.04M,,-25.07M,-25.07M,,,88.31M,-265.27M,-202.03M,,799.69M,-1.116B,-316.01M,,-217.12M,,,,,,-64.46M,10.42M,-104.94M,,1.468B,-130.94M,336.82M,,,799.90M,-0.207M,,,,,,
2007-03,175.97M,,-4.808M,,,46.53M,46.53M,-19.40M,,77.57M,,,,136.06M,411.92M,,-22.95M,-22.95M,,,-350.93M,-709.52M,-1.083B,,772.33M,954.57M,1.727B,,-207.88M,,,,,,-65.73M,34.25M,514.26M,,1.625B,-157.21M,1.468B,,,800.00M,-27.67M,,,,,,
2006-12,213.33M,,-1.829M,,,46.75M,46.75M,-10.14M,,106.77M,,,,-745.94M,-391.07M,,-20.90M,-20.90M,,-482.82M,293.92M,235.98M,26.19M,,1.175B,-1.252B,-77.15M,,-74.96M,,,,,,-66.49M,16.31M,629.86M,,1.360B,264.98M,1.625B,,,1.50B,-325.26M,,,,,,
2006-09,210.37M,,-1.285M,,,47.60M,47.60M,-11.68M,,63.41M,,,,394.32M,702.74M,,-22.11M,-22.11M,,0.00,378.90M,-739.92M,-383.13M,,-13.43M,-958.71M,-972.14M,,-91.78M,,,,,,-66.60M,20.34M,-549.13M,,1.590B,-229.53M,1.360B,,,0.00,-13.43M,,,,,,
2006-06,212.57M,,-3.081M,,,39.33M,39.33M,-46.42M,,265.12M,,,,-347.29M,120.23M,,-43.10M,-43.10M,,494.99M,349.44M,-479.66M,321.67M,,-355.27M,953.47M,598.20M,,-69.42M,,,,,,-66.65M,19.47M,-138.87M,,1.286B,303.03M,1.590B,,,0.00,-355.27M,,,,,,
2006-03,202.92M,,-6.72M,,,42.25M,42.25M,,,-224.15M,,,,93.67M,107.96M,,-5.865M,-5.865M,,-12.17M,60.60M,-373.99M,-331.43M,,-100.90M,-801.52M,-902.42M,,-137.70M,,,,,,-50.08M,34.91M,19.48M,,1.490B,-203.98M,1.286B,,,500.00M,-600.90M,,,,,,
