,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-03,1.293B,1.293B,21.45M,512.01M,533.46M,12.32M,,545.78M,0.004M,871.96M,467.80M,169.27M,298.53M,20.32M,298.53M,298.53M,51.71M,568.67M,,1.74,,1.74,1.74,,1.73,,1.73,1.73,,158.73M,159.18M,0.70,,AOR,Restated
2015-12,1.255B,1.255B,,629.01M,688.24M,9.576M,,697.82M,-0.022M,807.04M,411.04M,140.07M,270.96M,20.32M,270.96M,270.96M,47.86M,506.37M,,1.65,,1.65,1.65,,1.65,,1.65,1.65,,150.17M,150.86M,0.70,,AOR,Restated
2015-09,1.133B,1.133B,,383.35M,383.35M,4.09M,,387.44M,0.00,692.83M,434.71M,154.31M,280.40M,20.32M,280.40M,280.40M,41.96M,511.91M,,1.94,,1.94,1.94,,1.93,,1.93,1.93,,132.63M,133.38M,0.70,,AOR,Restated
2015-06,1.180B,1.180B,,381.76M,381.76M,5.965M,,387.73M,-0.01M,683.13M,453.53M,166.84M,286.69M,20.32M,286.69M,286.69M,42.36M,530.75M,,1.99,,1.99,1.99,,1.98,,1.98,1.98,,132.36M,133.12M,0.70,,AOR,Restated
2015-03,1.100B,1.100B,,410.14M,410.14M,6.793M,,416.94M,-0.098M,659.59M,375.42M,133.80M,241.61M,20.32M,241.61M,241.61M,43.17M,453.92M,,1.66,,1.66,1.66,,1.65,,1.65,1.65,,132.05M,132.77M,0.70,,AOR,Restated
2014-12,1.133B,1.133B,,517.28M,564.39M,7.17M,,571.56M,0.00,681.84M,434.26M,156.71M,277.55M,20.32M,277.55M,277.55M,45.99M,509.03M,,1.93,,1.93,1.93,,1.92,,1.92,1.92,,131.45M,155.04M,0.70,,AOR,Restated
2014-09,1.120B,1.120B,,371.15M,371.15M,7.358M,,378.51M,0.00,669.06M,425.81M,150.47M,275.34M,20.44M,275.34M,275.34M,49.44M,499.78M,,1.92,,1.92,1.92,,1.91,,1.91,1.91,,131.26M,132.13M,0.70,,AOR,Restated
2014-06,1.126B,1.126B,,364.05M,364.05M,9.234M,,373.28M,0.00,669.11M,427.87M,143.53M,284.34M,20.44M,284.34M,284.34M,50.74M,493.04M,,1.99,,1.99,1.99,,1.98,,1.98,1.98,,130.86M,131.83M,0.70,,AOR,Restated
2014-03,1.077B,1.077B,,397.77M,397.77M,10.06M,,407.83M,0.00,656.43M,354.31M,125.29M,229.02M,14.67M,229.02M,229.02M,52.56M,420.82M,,1.63,,1.63,1.63,,1.61,,1.61,1.61,,130.21M,131.13M,0.70,,AOR,Restated
2013-12,1.113B,1.113B,,362.54M,362.54M,10.44M,,372.98M,0.00,666.48M,375.68M,154.26M,221.42M,14.03M,221.42M,221.42M,53.75M,443.66M,,1.57,,1.57,1.57,,1.56,,1.56,1.56,,129.51M,130.48M,0.70,,AOR,Restated
2013-09,1.150B,1.150B,,363.96M,363.96M,10.63M,,374.59M,0.00,673.11M,443.87M,149.39M,294.48M,13.36M,294.48M,294.48M,50.13M,513.45M,,2.13,,2.13,2.13,,2.11,,2.11,2.11,,129.17M,130.26M,0.70,,AOR,Restated
2013-06,1.186B,1.186B,,351.13M,351.13M,12.50M,,363.63M,56.46M,677.59M,530.68M,182.22M,348.47M,13.36M,348.47M,348.47M,49.27M,603.30M,,2.56,,2.56,2.56,,2.55,,2.55,2.55,,128.25M,129.02M,0.70,,AOR,Restated
2013-03,1.089B,1.089B,,386.69M,386.69M,13.34M,,400.03M,-9.80M,656.05M,415.34M,141.22M,274.11M,13.36M,274.11M,274.11M,50.58M,489.26M,,2.00,,2.00,2.00,,1.98,,1.98,1.98,,127.67M,128.64M,0.70,,AOR,Restated
2012-12,1.121B,1.121B,,356.82M,356.82M,13.86M,,370.69M,-14.49M,667.42M,445.44M,149.25M,296.19M,13.36M,296.19M,296.19M,49.77M,523.37M,,2.18,,2.18,2.18,,2.16,,2.16,2.16,,126.93M,140.60M,0.70,,AOR,Restated
2012-09,1.108B,1.108B,,353.82M,353.82M,14.08M,,367.90M,-5.30M,662.72M,446.43M,152.97M,293.46M,13.36M,293.46M,293.46M,51.57M,528.56M,,2.18,,2.18,2.18,,2.17,,2.17,2.17,,125.82M,126.29M,0.70,,AOR,Restated
2012-06,1.040B,1.040B,,360.02M,360.02M,15.91M,,375.92M,-16.58M,647.98M,352.24M,118.86M,233.38M,13.36M,233.38M,233.38M,50.94M,441.64M,,1.71,,1.71,1.71,,1.71,,1.71,1.71,,125.49M,125.90M,0.70,,AOR,Restated
2012-03,997.11M,997.11M,,386.92M,386.92M,16.77M,,403.69M,-11.44M,620.39M,308.42M,101.95M,206.46M,13.36M,206.46M,206.46M,52.27M,402.12M,,1.50,,1.50,1.50,,1.50,,1.50,1.50,,125.22M,125.62M,0.70,,AOR,Restated
2011-12,945.46M,945.46M,,351.75M,351.75M,17.16M,,368.92M,-77.03M,618.03M,202.90M,55.16M,147.74M,,147.74M,147.74M,53.21M,300.87M,,1.03,,1.03,1.03,,1.03,,1.03,1.03,,124.64M,124.75M,0.70,,AOR,Restated
2011-09,1.002B,1.002B,,362.49M,362.49M,17.40M,-223.67M,156.22M,0.089M,616.72M,265.08M,81.97M,183.11M,,183.11M,337.61M,52.40M,368.71M,,1.32,0.00,2.560,1.32,,1.32,0.00,2.557,1.32,,124.58M,124.86M,0.70,,AOR,Restated
2011-06,1.093B,1.093B,,336.51M,336.51M,14.74M,,351.25M,84.21M,586.20M,447.96M,125.60M,322.36M,7.184M,322.36M,322.36M,48.40M,550.01M,,2.43,0.00,2.43,2.43,,2.42,0.00,2.42,2.42,,122.18M,122.80M,0.70,,AOR,Restated
2011-03,889.90M,889.90M,,294.39M,294.39M,12.31M,-136.21M,170.49M,23.31M,568.80M,308.65M,102.38M,206.27M,10.50M,206.27M,297.30M,43.77M,407.33M,,1.59,0.00,2.354,1.59,,1.59,0.00,2.350,1.59,,119.20M,119.85M,0.70,,AOR,Restated
2010-12,896.02M,896.02M,,270.18M,270.18M,13.27M,-162.52M,120.93M,0.861M,574.10M,306.76M,102.32M,204.44M,,204.44M,312.75M,43.40M,415.39M,,1.60,0.00,2.513,1.60,,1.59,0.00,2.500,1.59,,118.62M,119.07M,0.70,,AOR,Restated
2010-09,875.76M,875.76M,,272.25M,272.25M,13.53M,-149.54M,136.24M,1.44M,569.87M,286.63M,94.62M,192.02M,,192.02M,292.19M,44.71M,402.67M,,1.49,0.00,2.337,1.49,,1.48,0.00,2.321,1.48,,118.32M,119.16M,0.70,,AOR,Restated
2010-06,869.34M,869.34M,,276.02M,276.02M,14.83M,-22.38M,268.47M,0.01M,567.23M,279.72M,90.97M,188.75M,10.06M,188.75M,203.85M,45.93M,397.27M,,1.47,0.00,1.598,1.47,,1.46,0.00,1.587,1.46,,118.05M,118.88M,0.70,,AOR,Restated
2010-03,819.75M,819.75M,,294.44M,294.44M,16.48M,,310.91M,-26.34M,556.33M,219.68M,68.72M,150.96M,10.06M,150.96M,150.96M,48.33M,339.73M,,1.16,0.00,1.16,1.16,,1.15,0.00,1.15,1.15,,117.76M,118.26M,0.70,,AOR,Restated
2009-12,770.80M,770.80M,,276.32M,276.32M,16.73M,-503.87M,-210.82M,0.354M,558.72M,201.16M,64.34M,136.82M,,136.82M,479.53M,53.35M,335.11M,,1.06,0.00,3.976,1.06,,1.05,0.00,3.962,1.05,,117.54M,117.70M,0.70,,AOR,Restated
2009-09,901.02M,901.02M,,284.80M,284.80M,16.92M,-64.23M,237.49M,-0.056M,547.66M,171.82M,44.16M,127.66M,10.06M,127.66M,175.39M,48.62M,324.76M,,0.97,0.00,1.377,0.97,,0.97,0.00,1.376,0.97,,117.37M,117.55M,0.70,,AOR,Restated
2009-06,773.42M,773.42M,,11.55M,11.55M,15.23M,,26.78M,0.292M,501.57M,62.51M,11.32M,51.19M,,51.19M,51.19M,44.59M,238.36M,,0.36,0.00,0.36,0.36,,0.36,0.00,0.36,0.36,,113.22M,113.52M,0.70,,AOR,Restated
2009-03,747.10M,747.10M,,258.49M,258.49M,15.37M,-62.81M,211.05M,0.575M,447.81M,83.80M,19.58M,64.22M,,64.22M,112.35M,44.36M,290.51M,,0.49,0.00,0.9258,0.49,,0.49,0.00,0.9258,0.49,,110.44M,110.44M,0.70,,AOR,Restated
2008-12,947.17M,947.17M,,274.96M,274.96M,,,274.96M,158.72M,486.08M,129.67M,27.43M,102.24M,,102.24M,102.24M,45.61M,418.10M,,0.92,0.00,0.92,0.92,,0.92,0.00,0.92,0.92,,110.37M,110.62M,0.70,,AOR,Restated
2008-09,601.96M,601.96M,,236.68M,236.68M,,,236.68M,-152.27M,488.24M,66.19M,-24.99M,91.18M,,91.18M,91.18M,46.14M,379.31M,,0.83,0.00,0.83,0.83,,0.82,0.00,0.82,0.82,,110.26M,110.81M,0.70,,,
2008-06,757.81M,757.81M,,236.13M,236.13M,,,236.13M,-5.421M,486.63M,238.10M,77.84M,160.26M,,160.26M,160.26M,45.94M,569.05M,,1.45,0.00,1.45,1.45,,1.44,0.00,1.44,1.44,,110.19M,111.23M,0.70,,,
2008-03,792.77M,792.77M,,263.31M,263.31M,18.48M,0.00,281.79M,33.45M,478.85M,305.81M,103.61M,202.20M,,202.20M,202.20M,48.10M,711.12M,,1.84,0.00,1.84,1.84,,1.82,0.00,1.82,1.82,,110.02M,110.97M,0.70,,,Restated
2007-12,621.76M,621.76M,,261.88M,261.88M,,,261.88M,-127.28M,470.21M,84.23M,19.30M,64.93M,,64.93M,64.93M,43.86M,526.59M,,0.60,0.00,0.60,0.60,,0.60,0.00,0.60,0.60,,107.86M,109.02M,0.70,,,Restated
2007-09,720.59M,720.59M,,220.75M,220.75M,,,220.75M,-0.138M,467.69M,296.06M,96.87M,199.19M,,199.19M,199.19M,43.71M,721.38M,,1.86,0.00,1.86,1.86,,1.83,0.00,1.83,1.83,,107.06M,108.96M,0.70,,,
2007-06,745.03M,745.03M,,224.70M,224.70M,,,224.70M,0.26M,461.91M,322.38M,108.21M,214.17M,,214.17M,214.17M,44.06M,738.64M,,1.98,0.00,1.98,1.98,,1.95,0.00,1.95,1.95,,107.94M,109.92M,0.60,,,
2007-03,686.91M,686.91M,,236.75M,236.75M,,,236.75M,1.063M,450.43M,260.87M,84.90M,175.97M,,175.97M,175.97M,46.53M,671.50M,,1.60,0.00,1.60,1.60,,1.57,0.00,1.57,1.57,,109.69M,112.19M,0.60,,,
2006-12,723.14M,723.14M,,213.13M,213.13M,,,213.13M,1.139M,466.72M,311.32M,98.00M,213.33M,,213.33M,213.33M,46.75M,715.68M,,1.93,0.00,1.93,1.93,,1.88,0.00,1.88,1.88,,110.61M,113.26M,0.60,,,
2006-09,731.09M,731.09M,,218.98M,218.98M,,,218.98M,1.133M,457.18M,305.14M,94.78M,210.37M,,210.37M,210.37M,47.60M,700.80M,,1.89,0.00,1.89,1.89,,1.85,0.00,1.85,1.85,,111.05M,113.90M,0.60,,,
2006-06,709.22M,709.22M,,217.16M,217.16M,,,217.16M,0.236M,446.61M,315.22M,102.64M,212.57M,,212.57M,212.57M,39.33M,681.52M,,1.91,0.00,1.91,1.91,,1.87,0.00,1.87,1.87,,111.26M,113.97M,0.60,,,
2006-03,699.96M,699.96M,,224.08M,224.08M,,,224.08M,0.058M,447.03M,299.95M,97.04M,202.92M,,202.92M,202.92M,42.25M,630.20M,,1.82,0.00,1.82,1.82,,1.77,0.00,1.77,1.77,,111.69M,114.35M,0.45,,,
2005-12,698.21M,698.21M,,203.32M,203.32M,,,203.32M,-0.384M,449.61M,306.10M,101.11M,204.98M,,204.98M,204.98M,41.73M,609.59M,,1.82,0.00,1.82,1.82,,1.78,0.00,1.78,1.78,,112.52M,115.10M,0.45,,,
2005-09,676.67M,676.67M,,207.70M,207.70M,,,207.70M,-28.00M,455.18M,286.42M,95.35M,191.07M,,191.07M,191.07M,42.94M,552.00M,,1.68,0.00,1.68,1.68,,1.64,0.00,1.64,1.64,,113.53M,116.20M,0.45,,,
2005-06,692.86M,692.86M,,204.61M,204.61M,,,204.61M,0.03M,447.50M,293.42M,96.59M,196.83M,,196.83M,196.83M,43.12M,522.44M,,1.73,0.00,1.73,1.73,,1.69,0.00,1.69,1.69,,113.95M,116.42M,0.45,,,
2005-03,676.31M,676.31M,,206.61M,206.61M,,,206.61M,0.216M,442.06M,284.98M,95.69M,189.29M,,189.29M,189.29M,45.96M,481.24M,,1.65,0.00,1.65,1.65,,1.62,0.00,1.62,1.62,,114.77M,117.18M,0.40,,,
2004-12,679.75M,679.75M,,198.15M,198.15M,,,198.15M,0.362M,442.19M,289.83M,97.62M,192.20M,,192.20M,192.20M,46.39M,456.58M,,1.66,0.00,1.66,1.66,,1.61,0.00,1.61,1.61,,115.85M,119.06M,0.40,,,
2004-09,684.21M,684.21M,,205.00M,205.00M,,,205.00M,,439.28M,260.28M,73.84M,186.44M,,186.44M,186.44M,48.09M,404.06M,,1.59,0.00,1.59,1.59,,1.56,0.00,1.56,1.56,,116.90M,119.66M,0.40,,,
2004-06,666.13M,666.13M,,202.65M,202.65M,,,202.65M,,433.80M,278.92M,94.54M,184.38M,,184.38M,184.38M,49.95M,405.73M,,1.56,0.00,1.56,1.56,,1.53,0.00,1.53,1.53,,118.22M,120.66M,0.40,,,
2004-03,647.45M,647.45M,,200.75M,200.75M,,,200.75M,2.512M,419.30M,237.49M,78.00M,159.49M,,159.49M,159.49M,51.64M,364.32M,,1.33,0.00,1.33,1.33,,1.30,0.00,1.30,1.30,,119.74M,122.32M,0.40,,,
2003-12,655.06M,655.06M,,196.65M,196.65M,,,196.65M,17.94M,421.30M,248.70M,81.80M,166.90M,,166.90M,166.90M,52.83M,377.88M,,1.40,0.00,1.40,1.40,,1.36,0.00,1.36,1.36,,120.10M,123.47M,0.30,,,
2003-09,662.19M,662.19M,,214.12M,214.12M,,,214.12M,0.058M,430.60M,231.79M,75.33M,156.46M,,156.46M,156.46M,51.97M,365.33M,,1.31,0.00,1.31,1.31,,1.28,0.00,1.28,1.28,,119.73M,122.59M,0.30,,,
2003-06,663.79M,663.79M,,205.48M,205.48M,,,205.48M,0.25M,430.89M,196.64M,62.60M,134.04M,,134.04M,134.04M,54.17M,342.15M,,1.12,0.00,1.12,1.12,,1.10,0.00,1.10,1.10,,119.39M,122.37M,0.30,,,
2003-03,448.81M,448.81M,,124.07M,124.07M,,,124.07M,0.233M,315.97M,173.54M,57.00M,116.54M,,116.54M,116.54M,32.69M,293.13M,,1.26,0.00,1.26,1.26,,1.23,0.00,1.23,1.23,,92.40M,95.06M,0.30,,,
2002-12,460.04M,460.04M,,114.12M,114.12M,,,114.12M,0.051M,321.86M,186.28M,60.46M,125.82M,,125.82M,125.82M,32.33M,322.64M,,1.06,0.00,1.06,1.06,,1.03,0.00,1.03,1.03,,114.91M,118.23M,0.30,,,
2002-09,443.54M,443.54M,,113.24M,113.24M,,,113.24M,-0.66M,315.19M,172.71M,55.50M,117.22M,,117.22M,117.22M,32.60M,318.79M,,1.27,0.00,1.27,1.27,,1.23,0.00,1.23,1.23,,92.02M,95.04M,0.25,,,
2002-06,430.66M,430.66M,,115.65M,115.65M,,,115.65M,-0.17M,309.48M,179.44M,57.94M,121.49M,,121.49M,121.49M,32.87M,331.39M,,1.31,0.00,1.31,1.31,,1.26,0.00,1.26,1.26,,92.61M,96.19M,0.25,,,
2002-03,425.29M,425.29M,,123.45M,123.45M,,,123.45M,0.171M,301.06M,168.00M,54.43M,113.58M,,113.58M,113.58M,31.99M,328.13M,,1.22,0.00,1.22,1.22,,1.18,0.00,1.18,1.18,,93.10M,96.25M,0.25,,,
2001-12,432.56M,432.56M,,110.34M,110.34M,,,110.34M,0.00,304.86M,155.25M,53.52M,101.73M,,101.73M,101.73M,47.68M,342.10M,,1.08,0.00,1.08,1.08,,1.05,0.00,1.05,1.05,,94.19M,96.96M,0.25,,,
2001-09,414.46M,414.46M,,109.25M,109.25M,,,109.25M,0.244M,294.30M,150.27M,52.40M,97.87M,,97.87M,97.87M,49.70M,377.94M,,1.02,0.00,1.02,1.02,,0.98,0.00,0.98,0.98,,96.12M,99.60M,0.25,,,
2001-06,404.98M,404.98M,,109.46M,109.46M,,,109.46M,1.55M,287.15M,147.97M,53.16M,94.81M,,94.81M,94.81M,49.05M,400.45M,,0.98,0.00,0.98,0.98,,0.94,0.00,0.94,0.94,,97.12M,100.72M,0.25,,,
2001-03,383.71M,383.71M,,105.89M,105.89M,,,105.89M,0.079M,271.98M,130.41M,46.74M,83.67M,,83.67M,83.67M,47.51M,407.00M,,0.88,0.00,0.88,0.88,,0.85,0.00,0.85,0.85,,95.43M,98.60M,0.25,,,
2000-12,360.83M,360.83M,,99.47M,99.47M,,,99.47M,,258.05M,112.64M,40.67M,71.97M,,71.97M,71.97M,43.74M,399.18M,,0.76,0.00,0.76,0.76,,0.73,0.00,0.73,0.73,,91.94M,95.23M,0.25,,,
2000-09,278.77M,278.77M,,76.10M,76.10M,,,76.10M,,202.26M,115.81M,41.40M,74.42M,,74.42M,74.42M,27.36M,335.44M,,0.97,0.00,0.97,0.97,,0.94,0.00,0.94,0.94,,76.75M,79.42M,0.125,,,
2000-06,272.14M,272.14M,,76.94M,76.94M,,,76.94M,,198.75M,110.43M,38.89M,71.54M,,71.54M,71.54M,26.80M,319.13M,,0.933,0.00,0.933,0.933,,0.907,0.00,0.907,0.907,,76.63M,78.88M,0.125,,,
2000-03,267.12M,267.12M,,76.70M,76.70M,,,76.70M,,195.13M,107.53M,39.29M,68.24M,,68.24M,68.24M,26.23M,311.26M,,0.885,0.00,0.885,0.885,,0.861,0.00,0.861,0.861,,77.11M,79.22M,0.125,,,
1999-12,267.25M,267.25M,,73.40M,73.40M,,,73.40M,,196.90M,104.20M,38.10M,66.10M,,66.10M,66.10M,26.70M,296.93M,,0.85,0.00,0.85,0.85,,0.82,0.00,0.82,0.82,,77.77M,80.61M,0.125,,,
1999-09,265.60M,265.60M,,71.60M,71.60M,,,71.60M,1.40M,193.10M,107.20M,39.60M,67.60M,,67.60M,67.60M,24.40M,287.20M,,0.86,0.00,0.86,0.86,,0.83,0.00,0.83,0.83,,78.02M,81.01M,0.125,,,
1999-06,254.91M,254.91M,,71.40M,71.40M,,,71.40M,,188.10M,100.80M,35.80M,65.00M,,65.00M,65.00M,23.10M,272.10M,,0.84,0.00,0.84,0.84,,0.80,0.00,0.80,0.80,,77.38M,81.25M,0.10,,,
1999-03,254.02M,254.02M,,68.40M,68.40M,,,68.40M,0.20M,181.30M,106.10M,39.20M,66.90M,,66.90M,66.90M,22.80M,281.34M,,0.87,0.00,0.87,0.87,,0.83,0.00,0.83,0.83,,76.90M,80.60M,0.10,,,
1998-12,240.00M,240.00M,,67.70M,67.70M,,,67.70M,,175.10M,94.00M,36.10M,57.90M,,57.90M,57.90M,22.40M,277.50M,,0.75,0.00,0.75,0.75,,0.716,0.00,0.716,0.716,,77.34M,81.04M,0.10,,,
1998-09,239.20M,239.20M,,63.50M,63.50M,,,63.50M,,175.20M,90.20M,33.70M,56.50M,,56.50M,56.50M,22.90M,275.20M,,0.71,0.00,0.71,0.71,,0.68,0.00,0.68,0.68,,79.58M,83.09M,0.10,,,
1998-06,243.50M,243.50M,,69.90M,69.90M,,,69.90M,0.30M,178.40M,75.30M,30.60M,44.70M,,44.70M,44.70M,22.80M,260.00M,,0.56,0.00,0.56,0.56,,0.53,0.00,0.53,0.53,,79.82M,84.34M,0.10,,,
1998-03,212.10M,212.10M,,58.30M,58.30M,,,58.30M,,143.20M,66.20M,17.20M,49.00M,,49.00M,49.00M,11.50M,200.80M,,0.73,0.00,0.73,0.73,,0.70,0.00,0.70,0.70,,67.12M,70.00M,0.08,,,
1997-12,195.20M,195.20M,,54.60M,54.60M,,,54.60M,,144.80M,72.50M,26.20M,46.30M,,46.30M,46.30M,16.60M,205.80M,,0.70,0.00,0.70,0.70,,0.67,0.00,0.67,0.67,,66.14M,69.06M,0.08,,,
1997-09,190.10M,190.10M,,56.30M,56.30M,,,56.30M,,139.90M,73.40M,27.50M,45.90M,,45.90M,45.90M,8.70M,203.20M,,0.70,0.00,0.70,0.70,,0.66,0.00,0.66,0.66,,65.57M,69.55M,0.08,,,
1997-06,182.20M,182.20M,,53.60M,53.60M,,,53.60M,-0.20M,138.20M,69.10M,26.30M,42.80M,,42.80M,42.80M,8.70M,194.80M,,0.65,0.00,0.65,0.65,,0.62,0.00,0.62,0.62,,65.85M,69.03M,0.08,,,
1997-03,182.30M,182.30M,,55.60M,55.60M,,,55.60M,,136.40M,67.10M,25.80M,41.30M,,41.30M,41.30M,8.40M,186.50M,,0.62,0.00,0.62,0.62,,0.58,0.00,0.58,0.58,,66.61M,71.21M,0.08,,,
1996-12,184.20M,184.20M,,54.50M,54.50M,,,54.50M,,136.60M,65.70M,25.30M,40.40M,0.00,40.40M,40.40M,13.30M,185.00M,,0.60,0.00,0.60,0.60,,0.57,0.00,0.57,0.57,,67.39M,70.84M,0.07,,,
