,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-09,782.00M,,,,513.00M,,,355.00M,355.00M,-4.00M,,,-721.00M,54.00M,-55.00M,614.00M,,98.00M,759.00M,1.47B,14.00M,2.409B,,-552.00M,-6.00M,-558.00M,-21.00M,0.00,,-583.00M,,,,836.00M,630.00M,-2.842B,-2.212B,,0.00,,3.00M,-1.368B,,1.953B,458.00M,,2.411B,,630.00M,,,-2.842B,,,
2006-06,1.125B,,,,-459.00M,,,356.00M,356.00M,-32.00M,,,721.00M,-15.00M,7.00M,-512.00M,,200.00M,63.00M,-257.00M,14.00M,1.468B,,-305.00M,6.00M,-299.00M,-34.00M,1.073B,2.00M,739.00M,,,,-232.00M,292.00M,-2.359B,-2.067B,,0.00,,-4.00M,-2.285B,,2.031B,-78.00M,,1.953B,,292.00M,,,-2.359B,,,
2006-03,733.00M,,,,274.00M,,,357.00M,357.00M,-30.00M,,,,557.00M,-37.00M,503.00M,16.00M,-754.00M,-17.00M,268.00M,,1.602B,,-259.00M,,-259.00M,,0.00,-15.00M,-274.00M,,,,-415.00M,298.00M,-517.00M,-219.00M,,-519.00M,,37.00M,-1.116B,,1.819B,212.00M,,2.031B,,298.00M,,,-517.00M,,,
2005-12,734.00M,,,,89.00M,,,369.00M,369.00M,-73.00M,,,,-681.00M,22.00M,-301.00M,-16.00M,436.00M,,-540.00M,,579.00M,,-203.00M,,-203.00M,,81.00M,13.00M,-109.00M,,,,752.00M,39.00M,-1.18B,-1.141B,,,,15.00M,-374.00M,,1.723B,96.00M,,1.819B,,39.00M,,,-1.18B,,,
2005-09,379.00M,,,,228.00M,,,335.00M,335.00M,-325.00M,,,-178.00M,105.00M,-19.00M,92.00M,,184.00M,519.00M,881.00M,,1.341B,,-639.00M,-47.00M,-686.00M,,,-18.00M,-622.00M,,,,-40.00M,-249.00M,-1.059B,-1.308B,,0.00,,316.00M,-1.03B,,2.034B,-311.00M,,1.723B,,-249.00M,,,-1.059B,,,
2005-06,811.00M,,,,217.00M,,,350.00M,350.00M,-3.00M,,,279.00M,406.00M,53.00M,-452.00M,,116.00M,23.00M,146.00M,,1.80B,,-414.00M,0.00,-414.00M,,,34.00M,-380.00M,,,,-516.00M,166.00M,-917.00M,-751.00M,,0.00,,-60.00M,-1.327B,,1.941B,93.00M,,2.034B,,166.00M,,,-917.00M,,,
2005-03,657.00M,,,,-99.00M,,,330.00M,330.00M,74.00M,,,11.00M,216.00M,-26.00M,212.00M,,-177.00M,-226.00M,-1.00M,,972.00M,,-426.00M,100.00M,-326.00M,,,-124.00M,-450.00M,,,,-246.00M,398.00M,-433.00M,-35.00M,,-490.00M,,24.00M,-747.00M,,2.166B,-225.00M,,1.941B,,398.00M,,,-433.00M,,,
2004-12,686.00M,,,,-20.00M,,,326.00M,326.00M,-11.00M,,,-11.00M,-883.00M,14.00M,-107.00M,,,162.00M,-814.00M,,156.00M,,-347.00M,,-347.00M,,,108.00M,-239.00M,,,,103.00M,79.00M,-11.00M,68.00M,,,,36.00M,207.00M,,2.042B,124.00M,,2.166B,,79.00M,,,-11.00M,,,
2004-09,516.00M,,,,2.733B,,,338.00M,338.00M,-201.00M,,,-2.105B,72.00M,-93.00M,411.00M,83.00M,-270.00M,-243.00M,-40.00M,,1.241B,,-533.00M,,-533.00M,-48.00M,,-40.00M,-621.00M,,,,-1.081B,23.00M,,-312.00M,,0.00,,,-1.327B,,3.023B,-707.00M,,2.042B,,23.00M,,,,,,
2004-06,604.00M,,,,-620.00M,,,320.00M,320.00M,-96.00M,,,637.00M,82.00M,43.00M,-176.00M,52.00M,207.00M,-154.00M,54.00M,,899.00M,,-426.00M,,-426.00M,,,-8.00M,-434.00M,,,,-627.00M,37.00M,,37.00M,,0.00,,,-590.00M,,3.148B,-125.00M,,3.023B,,37.00M,,,,,,
2004-03,537.00M,,,,-1.165B,,,279.00M,279.00M,123.00M,,,1.095B,-170.00M,10.00M,325.00M,-135.00M,-30.00M,1.637B,1.637B,,2.506B,,-260.00M,,-260.00M,3.00M,,-9.00M,-266.00M,,,,-508.00M,110.00M,,110.00M,,-430.00M,,,-828.00M,,1.462B,1.412B,,3.148B,,110.00M,,,,,,
2003-12,688.00M,,,,-25.00M,,,273.00M,273.00M,76.00M,,,373.00M,,,,,,-1.387B,-1.387B,,-2.00M,,-208.00M,,-208.00M,-3.00M,,48.00M,-163.00M,,,,13.00M,31.00M,,31.00M,,,,,44.00M,,1.583B,-121.00M,,1.462B,,31.00M,,,,,,
2003-09,415.00M,,,,-327.00M,-812.00M,-14.00M,251.00M,251.00M,44.00M,,,555.00M,,,,,,372.00M,388.00M,,1.326B,,-337.00M,,-171.00M,-130.00M,,-25.00M,-326.00M,,,,-797.00M,10.00M,,10.00M,,0.00,,,-787.00M,,1.37B,213.00M,,1.583B,,10.00M,,,,,,
2003-06,502.00M,,,,31.00M,282.00M,2.00M,284.00M,284.00M,256.00M,,,-426.00M,,,,,,-1.00M,-1.00M,,646.00M,,-264.00M,,-264.00M,,,26.00M,-238.00M,,,,-802.00M,12.00M,,12.00M,,0.00,,,-790.00M,,1.752B,-382.00M,,1.37B,,12.00M,,,,,,
2003-03,314.00M,,,,110.00M,530.00M,12.00M,281.00M,281.00M,115.00M,,,-18.00M,,,,,,541.00M,541.00M,,1.343B,,-255.00M,,-255.00M,23.00M,-29.00M,-22.00M,-283.00M,,,,-270.00M,11.00M,,11.00M,,-429.00M,,,-688.00M,,1.38B,372.00M,,1.752B,,11.00M,,,,,,
2002-12,36.00M,,,,70.00M,,,261.00M,261.00M,26.00M,,,-111.00M,,,,,,-696.00M,-696.00M,,-414.00M,,-193.00M,,-193.00M,-23.00M,29.00M,,-187.00M,,,,724.00M,18.00M,,18.00M,,,,,742.00M,,1.239B,141.00M,,1.38B,,18.00M,,,,,,
2002-09,175.00M,,,,286.00M,260.00M,7.00M,267.00M,267.00M,,,,,,,,,,114.00M,87.00M,,741.00M,,-346.00M,0.00,-346.00M,0.00,-3.00M,-22.00M,-371.00M,,,,-1.329B,2.00M,,2.00M,,0.00,,,-1.327B,,2.196B,-957.00M,,1.239B,,2.00M,,,,,,
2002-06,364.00M,,,,-467.00M,255.00M,9.00M,264.00M,264.00M,,,,,,,,,,704.00M,704.00M,,865.00M,,-254.00M,184.00M,-70.00M,0.00,0.00,-4.00M,-74.00M,,,,-484.00M,20.00M,,20.00M,,0.00,,,-464.00M,,1.869B,327.00M,,2.196B,,20.00M,,,,,,
2002-03,259.00M,,,,181.00M,256.00M,2.00M,258.00M,258.00M,,,,,,,,,,561.00M,561.00M,,1.259B,,-249.00M,16.00M,-233.00M,0.00,50.00M,-8.00M,-191.00M,,,,-64.00M,20.00M,,20.00M,,0.00,,,-44.00M,,845.00M,1.024B,,1.869B,,20.00M,,,,,,
2001-12,438.00M,,,,109.00M,250.00M,3.00M,253.00M,253.00M,,,,,,,,,,-1.379B,-1.379B,,-579.00M,,-237.00M,,-237.00M,-2.845B,545.00M,-3.00M,-2.54B,,,,3.769B,5.00M,,5.00M,,-428.00M,,,3.346B,,618.00M,227.00M,,845.00M,,5.00M,,,,,,
2001-09,53.00M,,,,320.00M,252.00M,145.00M,397.00M,397.00M,,,,,,,,,-149.00M,370.00M,125.00M,,896.00M,,-1.795B,5.00M,-1.79B,0.00,5.00M,1.241B,-544.00M,,,,-1.393B,18.00M,-807.00M,-789.00M,,0.00,,,-2.182B,,2.448B,-1.83B,,618.00M,,18.00M,,,-807.00M,,,
2001-06,392.00M,,,,-138.00M,263.00M,145.00M,408.00M,408.00M,,,,,,,,,,205.00M,205.00M,,867.00M,,896.00M,0.00,896.00M,-36.00M,111.00M,-1.237B,-266.00M,,,,1.101B,83.00M,0.00,83.00M,,0.00,,,1.184B,,663.00M,1.785B,,2.448B,,83.00M,,,0.00,,,
2001-03,-567.00M,,,,1.103B,472.00M,477.00M,419.00M,419.00M,,,,,,,,,438.00M,-575.00M,-137.00M,,818.00M,,-440.00M,25.00M,-415.00M,-424.00M,-39.00M,-4.00M,-882.00M,,,,-484.00M,42.00M,-31.00M,11.00M,,0.00,,,-473.00M,,1.20B,-537.00M,,663.00M,,42.00M,,,-31.00M,,,
2000-12,-36.00M,,,,411.00M,,,530.00M,530.00M,,,,,,,,,-438.00M,,-438.00M,,467.00M,,-456.00M,107.00M,-349.00M,-20.00M,70.00M,-24.00M,-323.00M,,,,853.00M,34.00M,-235.00M,-201.00M,,-438.00M,,,214.00M,,842.00M,358.00M,,1.20B,,34.00M,,,-235.00M,,,
2000-09,167.00M,,,,-386.00M,243.00M,323.00M,566.00M,566.00M,,,,,,,,,402.00M,-660.00M,502.00M,,871.00M,,-644.00M,4.00M,-640.00M,,131.00M,7.00M,-536.00M,,,,-270.00M,138.00M,-51.00M,87.00M,,0.00,,,-183.00M,,690.00M,152.00M,,842.00M,,138.00M,,,-51.00M,,,
2000-06,361.00M,,,,-67.00M,262.00M,340.00M,602.00M,602.00M,,,,,,,,,,-40.00M,-40.00M,,856.00M,,-435.00M,221.00M,-214.00M,,-53.00M,-16.00M,-283.00M,,,,-805.00M,62.00M,0.00,62.00M,,0.00,,,-743.00M,,860.00M,-170.00M,,690.00M,,62.00M,,,0.00,,,
2000-03,77.00M,,,,152.00M,457.00M,570.00M,571.00M,571.00M,,,,,,,,,-336.00M,606.00M,270.00M,,1.07B,,-934.00M,37.00M,-897.00M,,138.00M,378.00M,-381.00M,,,,-1.013B,282.00M,-40.00M,242.00M,,0.00,,-50.00M,-821.00M,,992.00M,-132.00M,,860.00M,,282.00M,,,-40.00M,,,
1999-12,315.00M,,,,-243.00M,,,456.00M,456.00M,,,,,,,,,336.00M,94.00M,430.00M,,958.00M,,,651.00M,651.00M,,-91.00M,-451.00M,109.00M,,,,-30.00M,,-75.00M,-75.00M,,-434.00M,,50.00M,-489.00M,,414.00M,578.00M,,992.00M,,,,,-75.00M,,,
1999-09,85.00M,,,,61.00M,,,990.00M,990.00M,,,,,,,,,-319.00M,-393.00M,79.00M,,1.195B,,-927.00M,,-927.00M,288.00M,,-783.00M,-1.259B,,,,-420.00M,47.00M,0.00,47.00M,,,,,-373.00M,,851.00M,-437.00M,,414.00M,,47.00M,,,0.00,,,
1999-06,367.00M,,,,132.00M,,,879.00M,879.00M,,,,2.00M,,,,,,534.00M,534.00M,,1.914B,,-559.00M,,-559.00M,-288.00M,,-614.00M,-1.461B,,,,-450.00M,157.00M,0.00,157.00M,,,,-99.00M,-392.00M,,790.00M,61.00M,,851.00M,,157.00M,,,0.00,,,
1999-03,226.00M,,,,114.00M,,,942.00M,942.00M,,,,-2.00M,,,,,216.00M,-141.00M,75.00M,,1.355B,,-500.00M,,-500.00M,,,-625.00M,-1.125B,,,,-715.00M,,0.00,0.00,,,,81.00M,-634.00M,,1.194B,-404.00M,,790.00M,,,,,0.00,,,
1998-12,622.00M,,,,-250.00M,,,968.00M,968.00M,,,,,,,,,-216.00M,,-216.00M,,1.124B,,-467.00M,,-467.00M,,,-998.00M,-1.465B,,,,1.409B,,-19.00M,-19.00M,,,,18.00M,1.408B,,127.00M,1.067B,,1.194B,,,,,-19.00M,,,
1998-09,296.00M,,,,59.00M,,,1.187B,1.187B,346.00M,,,251.00M,-664.00M,-46.00M,218.00M,73.00M,-447.00M,,-866.00M,,1.273B,,-2.344B,,-2.344B,,,514.00M,-1.605B,,,,-278.00M,,,,,-107.00M,,-163.00M,-394.00M,,853.00M,-726.00M,,127.00M,,,,,,,,
1998-06,415.00M,,,,-2.00M,,,822.00M,822.00M,,,,70.00M,,,,,,,,,1.305B,,0.00,,0.00,,,-1.505B,-1.505B,,,,495.00M,,,,,-108.00M,,69.00M,456.00M,,597.00M,256.00M,,853.00M,,,,,,,,
1998-03,384.00M,,,,-61.00M,,,219.00M,219.00M,-123.00M,,,-321.00M,867.00M,-35.00M,-473.00M,85.00M,125.00M,,569.00M,,667.00M,,304.00M,-90.00M,214.00M,,,-566.00M,-352.00M,,,,-563.00M,,,,,-107.00M,,65.00M,-605.00M,,0.00,-290.00M,,597.00M,,,,,,,,
1997-12,755.00M,,,,35.00M,,,1.526B,1.526B,123.00M,,,,-867.00M,35.00M,473.00M,-85.00M,-125.00M,,-569.00M,,1.87B,,-487.00M,90.00M,-397.00M,,,-1.806B,-2.203B,,,,964.00M,,,,,-90.00M,,29.00M,903.00M,,317.00M,570.00M,,0.00,,,,,,,,
1997-09,411.00M,,,,-14.00M,,,-599.00M,-599.00M,-32.00M,,,,-32.00M,-27.00M,293.00M,-328.00M,-160.00M,,-254.00M,,-488.00M,,-674.00M,1.601B,927.00M,,-40.00M,337.00M,1.224B,,,,-532.00M,,,,,-89.00M,,127.00M,-947.00M,,0.00,-211.00M,,317.00M,,,,,,,,
1997-06,473.00M,,,,-29.00M,,,1.151B,1.151B,98.00M,,,,175.00M,-10.00M,-17.00M,90.00M,-1.00M,,237.00M,,1.93B,,-663.00M,,-663.00M,,2.00M,-1.519B,-2.18B,,,,-282.00M,,,,,-90.00M,,10.00M,-362.00M,,0.00,-612.00M,,0.00,,,,,,,,
1997-03,333.00M,,,,28.00M,,,1.173B,1.173B,65.00M,,,-29.00M,493.00M,-98.00M,-283.00M,-95.00M,85.00M,,102.00M,,1.672B,,-341.00M,-395.00M,-736.00M,,13.00M,-747.00M,-1.47B,,,,-838.00M,,,,,-88.00M,,1.157B,231.00M,,0.00,433.00M,,0.00,,,,,,,,
1996-12,749.00M,,,,-135.00M,,,1.447B,1.447B,161.00M,,,29.00M,-813.00M,143.00M,615.00M,-108.00M,-103.00M,,-266.00M,,1.985B,,-424.00M,395.00M,-29.00M,,,-1.481B,-1.51B,,,,11.00M,,,,,-75.00M,,18.00M,-46.00M,,278.00M,429.00M,,0.00,,,,,,,,
1996-09,336.00M,,,,22.00M,,,953.00M,953.00M,-245.00M,,,-49.00M,-315.00M,-97.00M,-7.00M,199.00M,30.00M,,-190.00M,,827.00M,,-551.00M,,-551.00M,,59.00M,-547.00M,-1.039B,,,,626.00M,43.00M,,-419.00M,,-74.00M,,,133.00M,,0.00,-79.00M,,0.00,,43.00M,,,,,,
1996-06,406.00M,,,,0.00,,,1.203B,1.203B,94.00M,,,-18.00M,290.00M,24.00M,-119.00M,-121.00M,76.00M,,150.00M,,1.835B,,-484.00M,,-484.00M,,49.00M,-977.00M,-1.412B,,,,-294.00M,22.00M,,22.00M,,-75.00M,,,-347.00M,,0.00,76.00M,,0.00,,22.00M,,,,,,
1996-03,-24.00M,,,,300.00M,,,1.013B,1.013B,73.00M,,,-8.00M,222.00M,-62.00M,-291.00M,-146.00M,-83.00M,,-360.00M,,994.00M,,-71.00M,,-71.00M,,445.00M,-10.59B,-10.22B,,,,8.575B,20.00M,,20.00M,,-75.00M,,-13.00M,8.507B,,0.00,-716.00M,,0.00,,20.00M,,,,,,
1995-12,496.00M,,,,,,,566.00M,566.00M,,,,75.00M,-623.00M,40.00M,171.00M,-7.00M,251.00M,,-168.00M,,969.00M,,-639.00M,,-639.00M,,-162.00M,5.00M,-796.00M,,,,-219.00M,,,,,-47.00M,,13.00M,-253.00M,,1.077B,-80.00M,,0.00,,,,,,,,
1995-09,263.90M,,,,-171.20M,,,512.70M,512.70M,,,,-58.30M,-342.60M,-96.40M,377.30M,-27.50M,173.30M,,84.10M,,764.20M,,-201.40M,,-201.40M,,489.50M,-524.80M,-236.70M,,,,-411.30M,,-0.30M,182.70M,,-47.30M,,-131.40M,-407.30M,,0.00,120.20M,,0.00,,,,,-0.30M,,,
1995-06,318.20M,,,,88.10M,,,415.90M,415.90M,,,,29.00M,389.20M,-103.00M,-102.60M,25.00M,-140.20M,,68.40M,,919.60M,,-271.00M,,-271.00M,,-435.10M,-337.10M,-1.043B,,,,176.00M,,0.00,0.00,,-47.00M,,69.00M,198.00M,,0.00,74.40M,,0.00,,,,,0.00,,,
1995-03,315.50M,,,,-41.40M,,,501.90M,501.90M,,,,43.30M,234.60M,-26.70M,170.30M,-331.50M,188.60M,,235.30M,,1.055B,,-203.60M,,-203.60M,,-124.70M,-507.40M,-835.70M,,,,-479.20M,,0.00,0.00,,-46.90M,,51.90M,-474.20M,,0.00,-255.30M,,0.00,,,,,0.00,,,
1994-12,482.40M,,,,257.50M,,,422.50M,422.50M,,,,-14.00M,-403.20M,70.10M,-30.00M,47.00M,-60.70M,,-376.80M,,771.60M,,-220.00M,,-220.00M,,497.30M,-449.70M,-172.40M,,,,728.50M,,-348.70M,-348.70M,,-38.80M,,10.50M,351.50M,,186.90M,950.70M,,0.00,,,,,-348.70M,,,
1994-09,225.90M,,,,105.80M,,,490.90M,490.90M,,,,132.90M,-234.50M,-75.30M,308.20M,-104.00M,-58.70M,,-164.30M,,791.20M,,-257.70M,,-257.70M,,-551.40M,-356.90M,-1.166B,,,,386.00M,,,,,-39.20M,,78.60M,-145.30M,,0.00,-520.10M,,0.00,,,,,,,,
1994-06,267.50M,,,,137.80M,,,361.60M,361.60M,,,,85.40M,154.00M,-90.40M,-206.90M,88.70M,-156.70M,,-211.30M,,641.00M,,-275.60M,,-275.60M,,121.70M,-196.90M,-350.80M,,,,-166.90M,,,,,-40.20M,,-49.70M,-256.80M,,0.00,33.40M,,0.00,,,,,,,,
1994-03,248.40M,,,,182.90M,,,406.50M,406.50M,,,,7.00M,192.70M,-29.00M,57.10M,-16.10M,-305.10M,,-100.40M,,744.40M,,-255.20M,,-255.20M,,-86.10M,-453.20M,-794.50M,,,,63.40M,,,,,-40.30M,,15.50M,38.60M,,0.00,-11.50M,,0.00,,,,,,,,
1993-12,368.60M,,,,166.20M,,,349.30M,349.30M,,,,6.20M,-392.40M,135.30M,-11.70M,-50.10M,59.30M,,-259.60M,,630.70M,,-237.60M,,-237.60M,,86.10M,-423.90M,-575.40M,,,,268.60M,,,,,-33.50M,,31.70M,266.80M,,363.00M,322.10M,,0.00,,,,,,,,
1993-09,-77.80M,,,,-9.50M,,,402.10M,402.10M,,,,307.30M,-195.30M,-145.40M,376.90M,-48.20M,-43.40M,,-55.40M,,566.70M,,-212.90M,,-212.90M,,-256.00M,-362.30M,-831.20M,,,,426.60M,,,,,-33.50M,,80.30M,441.80M,,0.00,177.30M,,0.00,,,,,,,,
1993-06,283.80M,,,,-390.20M,,,180.60M,180.60M,,,,36.80M,128.30M,-44.00M,95.80M,370.60M,-115.40M,,435.30M,,546.30M,,-179.10M,,-179.10M,,166.30M,-389.90M,-402.70M,,,,-331.10M,,,,,-33.50M,,-13.50M,-378.10M,,0.00,-234.50M,,0.00,,,,,,,,
1993-03,205.00M,,,,307.80M,,,219.30M,219.30M,,,,94.10M,399.90M,-16.00M,-144.70M,22.30M,-283.50M,,-22.00M,,804.20M,,-179.60M,,-179.60M,,-130.60M,-240.80M,-551.00M,,,,-541.10M,,,,,-33.50M,,8.40M,-566.20M,,0.00,-313.00M,,0.00,,,,,,,,
1992-12,260.30M,,,,-19.60M,,,226.40M,226.40M,,,,75.30M,-543.90M,59.30M,216.40M,-147.70M,101.50M,,-314.40M,,228.00M,,-222.10M,,-222.10M,,-401.30M,-251.40M,-874.80M,,,,582.40M,,,,,-28.10M,,60.90M,615.20M,,764.80M,-31.60M,,0.00,,,,,,,,
1992-09,223.70M,,,,507.70M,,,188.30M,188.30M,,,,44.40M,87.90M,-70.40M,83.50M,81.60M,-469.20M,,-286.60M,,677.50M,,-139.00M,,-139.00M,,,171.50M,-660.30M,,,,86.80M,,,,,-27.50M,,8.80M,68.10M,,0.00,85.30M,,0.00,,,,,,,,
1992-06,220.80M,,,,172.90M,,,171.60M,171.60M,,,,67.60M,-249.80M,-3.80M,160.10M,91.90M,-74.00M,,-75.60M,,557.30M,,-78.50M,,-78.50M,,,-392.60M,-471.10M,,,,-82.70M,,,,,-27.50M,,9.20M,-101.00M,,0.00,-14.80M,,0.00,,,,,,,,
1992-03,164.10M,,,,-170.20M,,,201.10M,201.10M,,,,37.80M,325.20M,-82.30M,-118.50M,-78.60M,148.80M,,194.60M,,427.40M,,-148.50M,,-148.50M,,,-121.10M,-269.60M,,,,-116.10M,,,,,-27.50M,,49.40M,-94.20M,,0.00,63.60M,,0.00,,,,,,,,
1991-12,208.10M,,,,-25.30M,,,198.60M,198.60M,,,,5.60M,-324.80M,5.30M,210.80M,-216.20M,113.80M,,-211.10M,,175.90M,,-178.40M,,-178.40M,,,-344.30M,-522.70M,,,,110.20M,,,,,-22.80M,,4.00M,91.40M,,886.10M,-255.40M,,0.00,,,,,,,,
1991-09,174.00M,,,,249.00M,,,232.60M,232.60M,,,,1.20M,-9.30M,1.80M,166.70M,-0.50M,-220.50M,,-61.80M,,595.00M,,-303.20M,,-303.20M,,-3.80M,-169.30M,-476.30M,,,,24.60M,,0.00,0.00,,-22.80M,,5.50M,7.30M,,0.00,126.00M,,0.00,,,,,0.00,,,
1991-06,165.50M,,,,27.90M,,,220.40M,220.40M,,,,8.10M,-170.50M,-34.00M,168.70M,15.90M,29.40M,,9.50M,,431.40M,,-233.30M,,-233.30M,,-239.80M,-164.20M,-637.30M,,,,193.40M,,0.00,0.00,,-22.70M,,4.90M,175.60M,,0.00,-30.30M,,0.00,,,,,0.00,,,
1991-03,126.70M,,,,-146.60M,,,175.70M,175.70M,,,,13.00M,185.50M,-21.00M,-67.80M,3.40M,104.40M,,204.50M,,373.30M,,-243.60M,,-243.60M,,49.30M,-39.20M,-233.50M,,,,-110.50M,,-12.10M,-12.10M,,-22.90M,,12.10M,-133.40M,,0.00,6.40M,,0.00,,,,,-12.10M,,,
1990-12,170.40M,,,,-9.60M,,,165.80M,165.80M,,,,7.40M,-272.50M,10.80M,12.50M,-65.70M,84.50M,,-230.40M,,103.60M,,-257.90M,,-257.90M,,,-127.90M,-385.80M,,,,409.80M,,-169.00M,-169.00M,,-18.80M,,24.40M,246.40M,,819.80M,-35.80M,,0.00,,,,,-169.00M,,,
1990-09,232.70M,,,,79.30M,,,162.00M,162.00M,,,,-123.30M,-19.20M,1.80M,296.90M,,62.50M,,277.90M,,628.60M,,-213.30M,-68.10M,-281.40M,,,-321.40M,-528.60M,,,,-341.00M,,-127.10M,-127.10M,,-19.10M,,-10.20M,-497.40M,,0.00,-397.40M,,0.00,,,,,-127.10M,,,
1990-06,238.40M,,,,-4.60M,,,140.60M,140.60M,,,,86.60M,-106.40M,-40.30M,-7.60M,,-50.40M,,-204.70M,,256.30M,,-211.30M,24.10M,-187.20M,,,-145.10M,-332.30M,,,,1.070B,,-210.80M,-210.80M,,-19.30M,,10.30M,849.70M,,0.00,773.70M,,0.00,,,,,-210.80M,,,
1990-03,178.50M,,,,-28.60M,,,116.50M,116.50M,,,,,168.00M,-2.60M,29.50M,,3.40M,,198.30M,,464.70M,,-175.90M,-7.10M,-183.00M,,,-101.90M,-284.90M,,,,-78.00M,,-89.60M,-89.60M,,-19.40M,,50.40M,-136.60M,,0.00,43.20M,,0.00,,,,,-89.60M,,,
1989-12,174.40M,,,,33.20M,,,119.20M,119.20M,,,,,-208.60M,-3.80M,-18.80M,,-86.30M,,-317.50M,,9.30M,,-115.80M,147.40M,31.60M,,,-67.70M,-36.10M,,,,58.60M,,,,,-16.30M,,4.00M,46.30M,,380.80M,19.50M,,0.00,,,,,,,,
