,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2016-12,3.301B,,3.301B,7.955B,7.955B,,1.772B,,3.333B,16.36B,0.00,1.273B,10.65B,34.03B,38.09B,1.901B,85.95B,-49.69B,36.25B,35.98B,83.89B,119.87B,5.247B,,2.769B,164.14B,180.50B,,6.915B,6.915B,8.008B,14.92B,5.48B,5.48B,1.132B,1.132B,,,21.54B,55.57B,55.57B,34.85B,34.85B,2.231B,1.446B,10.92B,102.79B,124.33B,,56.00M,23.08B,38.23B,7.517B,,,,98.00M,53.94B,,AOR,Restated
2016-09,2.807B,,2.807B,7.533B,7.533B,,,,4.888B,15.23B,,,,,,,85.20B,-49.54B,35.66B,36.65B,83.87B,120.52B,3.857B,,2.658B,162.70B,177.92B,,6.594B,6.594B,6.771B,13.36B,3.333B,3.333B,1.34B,1.34B,,,18.04B,57.10B,57.10B,34.52B,34.52B,2.342B,1.326B,11.12B,104.06B,122.10B,,28.00M,22.51B,38.43B,7.517B,,,,34.00M,53.48B,,AOR,Restated
2016-06,4.665B,,4.665B,6.708B,6.708B,,,,3.404B,14.78B,,,,,,,84.02B,-49.12B,34.90B,33.79B,82.38B,116.17B,3.679B,,2.462B,157.21B,171.98B,,6.359B,6.359B,6.697B,13.06B,2.934B,2.934B,1.611B,1.611B,,,17.60B,52.63B,52.63B,34.51B,34.51B,2.178B,1.248B,10.72B,99.11B,116.71B,,28.00M,22.12B,38.47B,7.517B,,,,1.00M,53.10B,,AOR,Restated
2016-03,5.628B,,5.628B,6.375B,6.375B,,,,3.177B,15.18B,,,,,,,82.73B,-48.61B,34.12B,33.46B,81.96B,115.42B,3.638B,,2.237B,155.42B,170.60B,,6.333B,6.333B,7.239B,13.57B,4.119B,4.119B,1.393B,1.393B,,,19.08B,51.52B,51.52B,33.82B,33.82B,1.87B,1.236B,10.43B,97.00B,116.09B,,29.00M,21.75B,38.46B,7.517B,,,,-84.00M,52.64B,,AOR,Restated
2015-12,2.295B,,2.295B,6.896B,6.896B,,21.00M,,3.091B,12.30B,0.00,1.252B,10.83B,32.59B,37.10B,,81.76B,-48.10B,33.66B,32.94B,82.16B,115.11B,3.224B,,2.272B,154.27B,166.57B,,6.215B,6.215B,7.034B,13.25B,3.627B,3.627B,1.302B,1.302B,,,18.18B,48.99B,48.99B,33.57B,33.57B,1.709B,1.221B,10.64B,94.42B,112.60B,,29.00M,21.41B,38.52B,7.517B,,,,-174.00M,52.27B,,AOR,Restated
2015-09,1.893B,137.00M,2.03B,6.527B,6.527B,,,,2.944B,11.50B,,,,,,,79.63B,-47.46B,32.17B,27.49B,81.97B,109.46B,3.323B,,2.50B,147.46B,158.96B,,5.996B,5.996B,6.946B,12.94B,3.152B,3.152B,1.265B,1.265B,,,17.36B,44.60B,44.60B,33.13B,33.13B,249.00M,1.204B,10.69B,89.63B,106.99B,,29.00M,20.88B,38.52B,7.517B,,,,-195.00M,51.72B,,AOR,Restated
2015-06,3.486B,144.00M,3.63B,7.016B,7.016B,,,,2.673B,13.32B,,,,,,,78.31B,-46.74B,31.57B,27.42B,81.92B,109.34B,2.999B,,2.445B,146.36B,159.67B,,5.88B,5.88B,6.676B,12.56B,3.887B,3.887B,1.122B,1.122B,,,17.56B,44.64B,44.64B,33.20B,33.20B,329.00M,1.108B,10.44B,89.38B,106.94B,,29.00M,21.31B,38.74B,7.517B,,,,-166.00M,52.40B,,AOR,Restated
2015-03,3.937B,158.00M,4.095B,6.144B,6.144B,,,,2.682B,12.92B,,,,,,,77.16B,-46.04B,31.13B,27.30B,81.85B,109.16B,3.235B,,2.319B,145.84B,158.76B,,6.157B,6.157B,7.195B,13.35B,4.18B,4.18B,970.00M,970.00M,,,18.50B,42.95B,42.95B,32.86B,32.86B,340.00M,1.099B,10.84B,87.74B,106.25B,,30.00M,21.19B,38.66B,7.517B,,,,-188.00M,52.17B,,AOR,Restated
2014-12,3.91B,602.00M,4.512B,6.321B,6.321B,,,,2.698B,13.53B,0.00,1.112B,8.65B,31.66B,34.95B,,76.36B,-45.41B,30.95B,27.32B,82.07B,109.39B,3.135B,,2.18B,145.66B,159.19B,,5.638B,5.638B,6.64B,12.28B,4.217B,4.217B,915.00M,915.00M,,,17.41B,43.86B,43.86B,32.96B,32.96B,357.00M,1.066B,10.82B,88.71B,106.12B,,30.00M,21.54B,38.80B,7.517B,,,,-146.00M,52.71B,,AOR,Restated
2014-09,4.547B,531.00M,5.078B,6.172B,6.172B,,,,2.686B,13.94B,,,,,,,75.18B,-44.82B,30.36B,27.32B,82.01B,109.34B,3.129B,,2.474B,145.30B,159.24B,,5.68B,5.68B,6.905B,12.58B,3.523B,3.523B,976.00M,976.00M,,,17.08B,44.83B,44.83B,32.23B,32.23B,355.00M,1.058B,10.39B,88.50B,105.58B,,30.00M,21.80B,38.98B,7.517B,,,,3.00M,53.30B,,AOR,Restated
2014-06,1.529B,2.325B,3.854B,6.232B,6.232B,,,,2.686B,12.77B,,,,,,,74.16B,-44.19B,29.97B,27.32B,81.80B,109.13B,3.072B,,2.517B,144.69B,157.46B,,5.432B,5.432B,8.149B,13.58B,2.947B,2.947B,847.00M,847.00M,,,17.38B,43.60B,43.60B,31.85B,31.85B,361.00M,1.055B,11.24B,87.75B,105.13B,,30.00M,20.43B,39.04B,7.517B,,,,-14.00M,51.97B,,AOR,Restated
2014-03,3.054B,2.389B,5.443B,6.151B,6.151B,,,,2.449B,14.04B,,,,,,,72.97B,-43.38B,29.59B,27.10B,81.57B,108.67B,3.09B,,2.382B,143.73B,157.77B,,5.534B,5.534B,8.674B,14.21B,2.819B,2.819B,776.00M,776.00M,,,17.80B,44.58B,44.58B,31.60B,31.60B,364.00M,1.053B,11.11B,88.34B,106.14B,,30.00M,19.74B,38.98B,7.517B,,,,33.00M,51.27B,,AOR,Restated
2013-12,1.718B,3.573B,5.291B,6.376B,6.376B,,,,2.408B,14.08B,0.00,1.084B,8.057B,30.50B,32.78B,,72.41B,-42.57B,29.84B,27.10B,81.69B,108.78B,3.77B,,2.343B,144.74B,158.81B,,5.528B,5.528B,9.206B,14.73B,3.28B,3.28B,898.00M,898.00M,,,18.91B,44.57B,44.57B,31.94B,31.94B,364.00M,957.00M,11.38B,88.84B,107.76B,,30.00M,19.24B,38.89B,7.517B,,,,56.00M,50.69B,,AOR,Restated
2013-09,1.603B,4.132B,5.735B,5.501B,5.501B,,,,2.171B,13.41B,,,,,,,70.62B,-41.82B,28.81B,27.08B,81.29B,108.36B,3.672B,,2.345B,143.19B,156.60B,,6.032B,6.032B,9.296B,15.33B,2.337B,2.337B,1.001B,1.001B,,,18.67B,44.19B,44.19B,31.26B,31.26B,416.00M,853.00M,11.49B,87.80B,106.46B,,30.00M,18.32B,38.99B,7.517B,,,,-110.00M,49.72B,,AOR,Restated
2013-06,1.389B,3.765B,5.154B,5.507B,5.507B,,,,2.074B,12.74B,,,,,,,69.34B,-41.09B,28.26B,27.08B,81.14B,108.22B,5.299B,,2.311B,144.08B,156.82B,,6.077B,6.077B,9.044B,15.12B,2.535B,2.535B,946.00M,946.00M,,,18.60B,44.11B,44.11B,31.30B,31.30B,395.00M,853.00M,12.46B,88.73B,107.33B,,31.00M,17.51B,38.99B,7.517B,,,,77.00M,49.09B,,AOR,Restated
2013-03,1.839B,2.841B,4.68B,5.063B,5.063B,,,,2.04B,11.78B,,,,,,,68.50B,-40.28B,28.22B,27.00B,81.60B,108.60B,5.433B,,2.332B,144.58B,156.36B,,5.75B,5.75B,9.188B,14.94B,2.177B,2.177B,903.00M,903.00M,,,18.02B,45.05B,45.05B,31.15B,31.15B,461.00M,854.00M,12.64B,89.70B,107.71B,,31.00M,16.73B,38.96B,7.517B,,,,-11.00M,48.19B,,AOR,Restated
2012-12,10.95B,1.464B,12.42B,5.521B,5.521B,,,,2.055B,19.99B,0.00,989.00M,5.468B,29.53B,30.67B,,66.66B,-39.42B,27.23B,26.98B,82.26B,109.24B,6.325B,,2.18B,144.98B,164.97B,,6.206B,6.206B,7.281B,13.49B,2.376B,2.376B,851.00M,851.00M,,,16.71B,38.08B,38.08B,30.11B,30.11B,440.00M,17.00B,13.27B,98.46B,115.18B,,31.00M,16.28B,40.55B,7.517B,,,,15.00M,49.36B,,AOR,Restated
2012-09,8.899B,1.401B,10.30B,5.123B,5.123B,,,,2.643B,18.07B,,,,,,,65.67B,-38.69B,26.98B,27.09B,82.18B,109.27B,5.951B,,2.184B,144.39B,162.45B,,6.25B,6.25B,7.399B,13.65B,2.799B,2.799B,887.00M,887.00M,,,17.34B,35.79B,35.79B,30.23B,30.23B,449.00M,16.90B,12.86B,95.78B,113.11B,,31.00M,15.77B,40.65B,7.517B,,,,-48.00M,48.89B,,AOR,Restated
2012-06,2.101B,2.231B,4.332B,4.387B,4.387B,,,,2.635B,11.35B,,,,,,,64.87B,-37.98B,26.89B,27.01B,77.15B,104.16B,8.018B,5.12B,2.145B,146.33B,157.69B,,,5.73B,6.031B,11.76B,2.954B,2.954B,1.027B,1.027B,,,15.74B,34.18B,34.18B,29.88B,29.88B,16.73B,,13.43B,77.49B,93.23B,,31.00M,14.63B,40.76B,7.517B,,,,-170.00M,47.73B,,AOR,Restated
2012-03,2.207B,,2.207B,4.379B,4.379B,,,,2.769B,9.355B,,,,,,,64.24B,-37.28B,26.96B,26.80B,77.36B,104.17B,10.15B,5.112B,2.203B,148.59B,157.95B,,,5.763B,7.164B,12.93B,2.705B,2.705B,,,,,15.63B,35.08B,35.08B,29.81B,29.81B,16.50B,,13.45B,78.34B,93.97B,,31.00M,14.22B,40.89B,7.517B,,,,-148.00M,47.48B,,AOR,Restated
2011-12,1.62B,54.00M,1.674B,4.652B,4.652B,,,,2.247B,8.573B,0.00,975.00M,5.094B,28.78B,29.24B,,64.09B,-36.53B,27.56B,26.87B,82.77B,109.64B,9.854B,,2.19B,149.24B,157.82B,,5.705B,5.705B,5.379B,11.08B,1.367B,1.367B,790.00M,790.00M,,,13.24B,37.94B,37.94B,29.93B,29.93B,381.00M,16.01B,13.03B,96.92B,110.16B,,32.00M,13.97B,40.94B,7.517B,,,,-152.00M,47.27B,,AOR,Restated
2011-09,1.806B,,1.806B,4.096B,4.096B,,,,2.68B,8.582B,,,,,,,62.96B,-35.52B,27.44B,26.83B,76.83B,103.66B,9.575B,5.369B,2.201B,148.24B,156.83B,,,5.455B,6.243B,11.70B,2.448B,2.448B,,,,,14.15B,38.52B,38.52B,29.66B,29.66B,16.16B,,11.66B,79.84B,93.99B,,32.00M,13.24B,41.08B,7.517B,,,,-147.00M,46.68B,,AOR,Restated
2011-06,1.997B,,1.997B,4.156B,4.156B,,,,2.197B,8.35B,,,,,,,59.12B,-34.50B,24.62B,26.92B,76.83B,103.75B,10.83B,5.106B,2.126B,146.43B,154.78B,,,4.838B,6.509B,11.35B,1.35B,1.35B,,,,,12.70B,38.21B,38.21B,29.48B,29.48B,15.77B,,11.98B,79.67B,92.37B,,32.00M,12.93B,41.30B,7.517B,,,,-105.00M,46.64B,,AOR,Restated
2011-03,1.822B,74.00M,1.896B,3.708B,3.708B,,,,1.943B,7.547B,,,,,,,58.41B,-33.50B,24.91B,27.00B,77.17B,104.17B,10.71B,4.945B,1.977B,146.71B,154.26B,,,4.858B,6.593B,11.45B,2.296B,2.296B,,,,,13.75B,38.13B,38.13B,28.92B,28.92B,15.52B,,11.62B,78.67B,92.41B,,31.00M,12.50B,41.41B,7.517B,,,,-97.00M,46.33B,,AOR,Restated
2010-12,5.984B,81.00M,6.065B,1.855B,1.855B,,,174.00M,792.00M,8.886B,0.00,204.00M,1.981B,53.84B,,,56.02B,-32.50B,23.52B,14.96B,63.04B,78.00B,6.67B,,1.461B,109.65B,118.53B,,,3.291B,3.143B,6.434B,1.80B,1.80B,,,,,8.234B,29.62B,29.62B,28.25B,28.25B,223.00M,,7.862B,65.72B,73.96B,,32.00M,12.16B,39.78B,7.517B,,,,-99.00M,44.35B,,AOR,Restated
2010-09,4.542B,72.00M,4.614B,1.868B,1.868B,,,,690.00M,7.172B,,,,,,,54.56B,-31.23B,23.33B,15.03B,63.20B,78.23B,6.381B,,1.413B,109.35B,116.52B,,,3.297B,3.26B,6.557B,2.30B,2.30B,,,,,8.857B,28.74B,28.74B,27.35B,27.35B,228.00M,,7.571B,63.66B,72.51B,,32.00M,11.52B,39.86B,7.517B,,,,-116.00M,43.78B,,AOR,Restated
2010-06,4.028B,53.00M,4.081B,1.845B,1.845B,,,,665.00M,6.591B,,,,,,,53.40B,-30.19B,23.22B,15.03B,63.32B,78.35B,6.098B,,1.368B,109.04B,115.63B,,,3.126B,3.256B,6.382B,2.308B,2.308B,,,,,8.69B,28.68B,28.68B,27.58B,27.58B,87.00M,,7.154B,63.41B,72.10B,,32.00M,11.03B,39.98B,7.517B,,,,-86.00M,43.44B,,AOR,Restated
2010-03,3.483B,41.00M,3.524B,1.581B,1.581B,,,,863.00M,5.968B,,,,,,,52.45B,-29.01B,23.44B,15.03B,63.43B,78.46B,6.267B,,1.287B,109.45B,115.42B,,,3.006B,3.272B,6.278B,2.337B,2.337B,,,,,8.615B,28.58B,28.58B,27.76B,27.76B,97.00M,,7.288B,63.63B,72.24B,,32.00M,10.52B,40.10B,7.517B,,,,-47.00M,43.08B,,AOR,Restated
2009-12,671.00M,50.00M,721.00M,1.711B,1.711B,,,240.00M,551.00M,3.223B,0.00,206.00M,1.937B,49.52B,,,51.66B,-27.81B,23.86B,14.93B,63.56B,78.49B,5.947B,,1.218B,109.51B,112.73B,,,3.094B,2.999B,6.093B,1.156B,1.156B,,,,,7.249B,27.94B,27.94B,27.80B,27.80B,256.00M,,6.767B,62.51B,69.76B,,32.00M,10.00B,40.25B,7.517B,,,,-46.00M,42.72B,,AOR,Restated
2009-09,862.00M,56.00M,918.00M,1.639B,1.639B,,,,849.00M,3.406B,,,,,,,50.32B,-26.72B,23.60B,14.93B,63.65B,78.58B,5.699B,,1.168B,109.06B,112.46B,,,3.133B,3.005B,6.138B,954.00M,954.00M,,,,,7.092B,28.49B,28.49B,27.57B,27.57B,70.00M,,6.931B,62.99B,70.08B,,33.00M,9.416B,40.45B,7.517B,,,,-72.00M,42.31B,,AOR,Restated
2009-06,3.989B,62.00M,4.051B,1.677B,1.677B,,,,809.00M,6.537B,,,,,,,49.26B,-25.54B,23.72B,14.93B,63.74B,78.67B,5.19B,,1.124B,108.70B,115.24B,,,3.07B,3.32B,6.39B,4.167B,4.167B,,,,,10.56B,28.87B,28.87B,27.39B,27.39B,81.00M,,6.602B,62.87B,73.42B,,33.00M,8.736B,40.56B,7.517B,,,,-80.00M,41.73B,,AOR,Restated
2009-03,1.879B,59.00M,1.938B,1.483B,1.483B,,,,829.00M,4.25B,,,,,,,48.49B,-24.45B,24.04B,14.89B,63.89B,78.78B,4.872B,,1.126B,108.82B,113.07B,,,3.121B,3.119B,6.24B,2.647B,2.647B,,,,,8.887B,29.42B,29.42B,27.19B,27.19B,94.00M,,6.392B,63.00B,71.88B,,33.00M,8.004B,40.67B,7.517B,,,,-93.00M,41.10B,,AOR,Restated
2008-12,1.195B,59.00M,1.254B,1.626B,1.626B,,,292.00M,544.00M,3.716B,0.00,205.00M,1.874B,33.45B,12.15B,,47.68B,-23.24B,24.44B,14.89B,64.01B,78.90B,4.783B,,1.178B,109.30B,113.02B,,,3.393B,3.268B,6.661B,2.278B,2.278B,,,,,8.939B,30.18B,30.18B,26.98B,26.98B,126.00M,,6.342B,63.50B,72.44B,,33.00M,7.427B,40.62B,7.517B,,,,-113.00M,40.45B,,AOR,Restated
2008-09,2.714B,203.00M,2.917B,1.658B,1.658B,,,,938.00M,5.513B,,,,,,,46.58B,-22.67B,23.91B,14.91B,64.02B,78.93B,,,6.142B,108.98B,114.50B,,3.187B,3.187B,2.985B,6.172B,3.087B,3.087B,,,,,9.259B,30.60B,30.60B,27.21B,27.21B,6.925B,,298.00M,58.11B,67.37B,,33.00M,7.196B,40.56B,7.517B,,,,-64.00M,40.20B,,,
2008-06,1.767B,295.00M,2.062B,1.665B,1.665B,,,,920.00M,4.647B,,,,,,,45.41B,-21.57B,23.83B,15.07B,64.06B,79.14B,,,6.28B,109.25B,113.90B,,3.027B,3.027B,3.173B,6.20B,1.889B,1.889B,,,,,8.089B,30.62B,30.62B,27.29B,27.29B,348.00M,,7.207B,65.12B,73.21B,,33.00M,6.967B,40.91B,7.517B,,,,-59.00M,40.34B,,,Restated
2008-03,635.00M,86.00M,721.00M,1.497B,1.497B,,,,886.00M,3.104B,,,,,,,44.90B,-20.96B,23.95B,14.87B,64.14B,79.00B,,,6.767B,109.72B,112.82B,,2.982B,2.982B,3.071B,6.053B,1.35B,1.35B,,,,,7.403B,30.01B,30.01B,27.12B,27.12B,388.00M,,7.11B,64.24B,71.64B,,34.00M,7.187B,41.15B,7.517B,,,,-57.00M,40.80B,,,Restated
2007-12,963.00M,98.00M,1.061B,1.645B,1.645B,,,214.00M,747.00M,3.667B,0.00,202.00M,1.667B,30.35B,11.21B,,43.43B,-19.81B,23.62B,14.70B,62.82B,77.52B,,,8.605B,109.75B,113.42B,,3.336B,3.336B,494.00M,3.83B,1.495B,1.495B,,,,2.627B,7.952B,29.83B,29.83B,26.88B,26.88B,250.00M,,7.167B,63.88B,71.83B,,34.00M,7.191B,41.69B,7.517B,,3.00M,-59.00M,-56.00M,41.34B,,,
