,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,395.00M,-3.00M,7.00M,-1.00M,347.00M,347.00M,-15.00M,23.00M,,23.00M,183.00M,,,-119.00M,-8.00M,,-31.00M,25.00M,809.00M,,-400.00M,,,-232.00M,,-5.00M,-637.00M,,452.00M,452.00M,,-250.00M,-250.00M,-206.00M,-206.00M,23.00M,-57.00M,-38.00M,,293.00M,134.00M,-1.00M,426.00M,,,532.00M,-80.00M,-250.00M,,AOR,Restated
2017-12,903.00M,5.00M,14.00M,12.00M,342.00M,342.00M,-205.00M,27.00M,,24.00M,-383.00M,,,21.00M,75.00M,,-36.00M,-323.00M,792.00M,,-528.00M,,,-40.00M,,-2.00M,-570.00M,,136.00M,136.00M,,0.00,0.00,-184.00M,-184.00M,3.00M,15.00M,-30.00M,,102.00M,192.00M,-1.00M,293.00M,,,1.294B,-1.158B,0.00,,AOR,Restated
2017-09,388.00M,9.00M,8.00M,15.00M,350.00M,350.00M,-43.00M,20.00M,,23.00M,69.00M,,,73.00M,-22.00M,,-30.00M,90.00M,853.00M,,-350.00M,,,-23.00M,,-4.00M,-377.00M,,237.00M,237.00M,,-500.00M,-500.00M,-185.00M,-185.00M,6.00M,-30.00M,-472.00M,,97.00M,4.00M,1.00M,102.00M,,,359.00M,-122.00M,-500.00M,,AOR,Restated
2017-06,361.00M,7.00M,10.00M,15.00M,356.00M,356.00M,-39.00M,18.00M,,23.00M,-108.00M,,,176.00M,5.00M,,-4.00M,69.00M,813.00M,,-299.00M,,,-35.00M,,-2.00M,-336.00M,,-11.00M,-11.00M,,-250.00M,-250.00M,-187.00M,-187.00M,9.00M,-35.00M,-474.00M,,94.00M,3.00M,0.00,97.00M,,,75.00M,-86.00M,-250.00M,,AOR,Restated
2017-03,297.00M,22.00M,7.00M,26.00M,328.00M,328.00M,36.00M,36.00M,,22.00M,151.00M,,,-144.00M,-8.00M,,-33.00M,-34.00M,722.00M,,-332.00M,,,-1.00M,,-4.00M,-337.00M,,-277.00M,-277.00M,,0.00,0.00,-194.00M,-194.00M,77.00M,9.00M,-385.00M,,94.00M,,0.00,94.00M,,,264.00M,-541.00M,0.00,,AOR,Restated
2016-12,334.00M,8.00M,12.00M,14.00M,313.00M,313.00M,53.00M,23.00M,,16.00M,-110.00M,,,119.00M,9.00M,,-35.00M,-17.00M,751.00M,,-377.00M,,,3.00M,,-5.00M,-379.00M,,49.00M,49.00M,,-225.00M,-225.00M,-180.00M,-180.00M,6.00M,-23.00M,-373.00M,,30.00M,-1.00M,0.00,94.00M,,,521.00M,-472.00M,-225.00M,,AOR,Restated
2016-09,304.00M,64.00M,9.00M,65.00M,336.00M,336.00M,34.00M,16.00M,,23.00M,-34.00M,,,29.00M,-13.00M,,-11.00M,-29.00M,758.00M,,-333.00M,,,-20.00M,,-11.00M,-364.00M,,-251.00M,-251.00M,,0.00,0.00,-182.00M,-182.00M,13.00M,18.00M,-402.00M,,39.00M,-8.00M,-1.00M,30.00M,,,442.00M,-693.00M,0.00,,AOR,Restated
2016-06,286.00M,43.00M,16.00M,54.00M,340.00M,340.00M,-46.00M,21.00M,,29.00M,-45.00M,,,133.00M,3.00M,,-20.00M,71.00M,762.00M,,-312.00M,,,-24.00M,,-3.00M,-339.00M,,-77.00M,-77.00M,,-250.00M,-250.00M,-181.00M,-181.00M,26.00M,-7.00M,-489.00M,,104.00M,-66.00M,1.00M,39.00M,,,793.00M,-870.00M,-250.00M,,AOR,Restated
2016-03,256.00M,-1.00M,7.00M,1.00M,312.00M,312.00M,32.00M,30.00M,,23.00M,111.00M,,,-89.00M,-11.00M,,56.00M,67.00M,732.00M,,-317.00M,,,-524.00M,,-6.00M,-847.00M,,654.00M,654.00M,,-250.00M,-250.00M,-183.00M,-183.00M,18.00M,-59.00M,180.00M,,39.00M,65.00M,0.00,104.00M,,,1.301B,-647.00M,-250.00M,,AOR,Restated
2015-12,273.00M,70.00M,10.00M,74.00M,301.00M,301.00M,-16.00M,19.00M,11.00M,22.00M,-107.00M,,,-6.00M,7.00M,,-31.00M,-137.00M,556.00M,,-369.00M,,,-50.00M,,-8.00M,-427.00M,,-66.00M,-66.00M,,0.00,0.00,-172.00M,-172.00M,24.00M,12.00M,-202.00M,,113.00M,-73.00M,-1.00M,39.00M,,,277.00M,-343.00M,0.00,,AOR,Restated
2015-09,337.00M,2.00M,9.00M,8.00M,330.00M,330.00M,88.00M,23.00M,-2.00M,24.00M,-53.00M,,,-38.00M,-2.00M,,-67.00M,-160.00M,657.00M,,-335.00M,,,17.00M,,16.00M,-302.00M,,-46.00M,-46.00M,,-300.00M,-300.00M,-172.00M,-172.00M,6.00M,-2.00M,-514.00M,,273.00M,-159.00M,-1.00M,113.00M,,,194.00M,-240.00M,-300.00M,,AOR,Restated
2015-06,273.00M,2.00M,15.00M,20.00M,322.00M,322.00M,-80.00M,10.00M,-2.00M,22.00M,41.00M,,,142.00M,15.00M,,47.00M,245.00M,816.00M,,-296.00M,,,50.00M,,-5.00M,-251.00M,,-103.00M,-103.00M,,-300.00M,-300.00M,-175.00M,-175.00M,8.00M,-1.00M,-571.00M,,277.00M,-6.00M,2.00M,273.00M,,,49.00M,-152.00M,-300.00M,,AOR,Restated
2015-03,-131.00M,13.00M,8.00M,564.00M,292.00M,292.00M,38.00M,20.00M,-7.00M,22.00M,-59.00M,,,-195.00M,-4.00M,,-53.00M,-311.00M,499.00M,,-233.00M,,,-426.00M,,31.00M,-628.00M,,-212.00M,-212.00M,,,,-176.00M,-176.00M,39.00M,-549.00M,-898.00M,,1.307B,-1.027B,-3.00M,277.00M,,,1.817B,-2.029B,,,AOR,Restated
2014-12,598.00M,-148.00M,6.00M,-146.00M,307.00M,307.00M,-33.00M,25.00M,-2.00M,29.00M,-232.00M,,,9.00M,-24.00M,,-22.00M,-269.00M,520.00M,,-370.00M,,,1.921B,,20.00M,1.571B,,-723.00M,-723.00M,,0.00,0.00,-172.00M,-172.00M,23.00M,-93.00M,-965.00M,,183.00M,1.126B,-2.00M,1.307B,,,453.00M,-1.176B,0.00,,AOR,Restated
2014-09,281.00M,-16.00M,14.00M,-8.00M,329.00M,329.00M,-37.00M,11.00M,-2.00M,28.00M,-28.00M,,,124.00M,-6.00M,,-32.00M,58.00M,672.00M,,-307.00M,,,35.00M,,-10.00M,-282.00M,,397.00M,397.00M,,-600.00M,-600.00M,-172.00M,-172.00M,39.00M,-5.00M,-341.00M,,137.00M,49.00M,-3.00M,183.00M,,,864.00M,-467.00M,-600.00M,,AOR,Restated
2014-06,222.00M,35.00M,13.00M,27.00M,339.00M,339.00M,-33.00M,14.00M,0.00,23.00M,-49.00M,,,3.00M,21.00M,,-18.00M,-43.00M,555.00M,,-208.00M,,,78.00M,,-42.00M,-172.00M,,-410.00M,-410.00M,,0.00,0.00,-175.00M,-175.00M,17.00M,-19.00M,-587.00M,,339.00M,-204.00M,2.00M,137.00M,,,587.00M,-997.00M,0.00,,AOR,Restated
2014-03,237.00M,2.00M,9.00M,7.00M,317.00M,317.00M,-15.00M,15.00M,-1.00M,22.00M,41.00M,,,-19.00M,-10.00M,,-23.00M,-11.00M,584.00M,,-266.00M,,,151.00M,,-7.00M,-122.00M,,-15.00M,-15.00M,,,,-174.00M,-174.00M,14.00M,-4.00M,-179.00M,,58.00M,283.00M,-2.00M,339.00M,,,913.00M,-928.00M,,,AOR,Restated
2013-12,-599.00M,486.00M,15.00M,495.00M,327.00M,327.00M,-182.00M,13.00M,-2.00M,18.00M,30.00M,,,-28.00M,2.00M,,2.00M,6.00M,597.00M,,-447.00M,,,-5.00M,,-16.00M,-468.00M,,181.00M,181.00M,,-239.00M,-239.00M,-171.00M,-171.00M,16.00M,-15.00M,-228.00M,,157.00M,-99.00M,0.00,58.00M,,,575.00M,-394.00M,-239.00M,,AOR,Restated
2013-09,297.00M,23.00M,3.00M,21.00M,344.00M,344.00M,62.00M,11.00M,-1.00M,23.00M,18.00M,,,33.00M,-12.00M,,-62.00M,-23.00M,736.00M,,-323.00M,,,-454.00M,,38.00M,-739.00M,,171.00M,171.00M,,0.00,0.00,-171.00M,-171.00M,18.00M,-12.00M,6.00M,,154.00M,3.00M,0.00,157.00M,,,1.196B,-1.025B,0.00,,AOR,Restated
2013-06,256.00M,11.00M,8.00M,12.00M,339.00M,339.00M,-4.00M,13.00M,-1.00M,12.00M,-92.00M,,,-8.00M,21.00M,,-9.00M,-88.00M,545.00M,,-235.00M,,,-5.00M,,-32.00M,-272.00M,,-290.00M,-290.00M,,,,-171.00M,-171.00M,60.00M,-23.00M,-424.00M,,307.00M,-151.00M,-2.00M,154.00M,,,217.00M,-507.00M,,,AOR,Restated
2013-03,176.00M,15.00M,8.00M,20.00M,323.00M,323.00M,-25.00M,21.00M,-6.00M,24.00M,88.00M,,,-24.00M,-18.00M,,-21.00M,25.00M,577.00M,,-266.00M,,,-155.00M,,,-421.00M,,93.00M,93.00M,,,,-170.00M,-170.00M,38.00M,-2.00M,-41.00M,,194.00M,115.00M,-2.00M,307.00M,,,244.00M,-151.00M,,,AOR,Restated
2012-12,235.00M,26.00M,11.00M,27.00M,326.00M,326.00M,55.00M,8.00M,-1.00M,26.00M,-19.00M,,,-64.00M,-5.00M,,-33.00M,-121.00M,577.00M,,-378.00M,,,-72.00M,,-19.00M,-469.00M,,-90.00M,-90.00M,,,,-165.00M,-165.00M,4.00M,-60.00M,-311.00M,,398.00M,-203.00M,-1.00M,194.00M,,,935.00M,-1.025B,,,AOR,Restated
2012-09,223.00M,36.00M,17.00M,49.00M,331.00M,331.00M,4.00M,6.00M,-1.00M,22.00M,-40.00M,,,2.00M,-19.00M,,-16.00M,-73.00M,574.00M,,-402.00M,,,-37.00M,,-19.00M,-458.00M,,171.00M,171.00M,,,,-164.00M,-164.00M,8.00M,28.00M,43.00M,,237.00M,159.00M,2.00M,398.00M,,,373.00M,-202.00M,,,AOR,Restated
2012-06,219.00M,33.00M,11.00M,41.00M,323.00M,323.00M,5.00M,0.00,-1.00M,21.00M,-128.00M,,,104.00M,7.00M,,66.00M,49.00M,669.00M,,-351.00M,,,-38.00M,,-11.00M,-400.00M,,-41.00M,-41.00M,,,,-165.00M,-165.00M,7.00M,-21.00M,-220.00M,,189.00M,49.00M,-1.00M,237.00M,,,25.00M,-66.00M,,,AOR,Restated
2012-03,183.00M,0.00,7.00M,3.00M,317.00M,317.00M,3.00M,15.00M,-8.00M,21.00M,56.00M,,,-99.00M,-33.00M,,3.00M,-73.00M,475.00M,,-379.00M,,,-136.00M,,12.00M,-503.00M,,82.00M,82.00M,,,,-164.00M,-164.00M,24.00M,16.00M,-42.00M,,258.00M,-70.00M,1.00M,189.00M,,,287.00M,-205.00M,,,AOR,Restated
2011-12,278.00M,,11.00M,9.00M,294.00M,294.00M,150.00M,7.00M,-1.00M,18.00M,36.00M,,,-31.00M,2.00M,,-46.00M,-39.00M,732.00M,,-415.00M,,,-271.00M,,36.00M,-650.00M,,122.00M,122.00M,,-47.00M,-47.00M,,-156.00M,5.00M,-31.00M,-107.00M,,282.00M,-25.00M,1.00M,258.00M,,,200.00M,-78.00M,-47.00M,,AOR,Restated
2011-09,285.00M,,7.00M,2.00M,317.00M,317.00M,9.00M,11.00M,0.00,45.00M,-31.00M,,,71.00M,-7.00M,,-57.00M,-24.00M,659.00M,,-313.00M,,,-571.00M,91.00M,82.00M,-711.00M,,486.00M,486.00M,,-360.00M,-360.00M,,-136.00M,5.00M,-29.00M,-34.00M,,371.00M,-86.00M,-3.00M,282.00M,,,597.00M,-111.00M,-360.00M,,AOR,Restated
2011-06,250.00M,,9.00M,4.00M,319.00M,319.00M,42.00M,10.00M,-3.00M,23.00M,-159.00M,,,-15.00M,10.00M,,-10.00M,-174.00M,478.00M,,-280.00M,,,-50.00M,-36.00M,4.00M,-362.00M,,-148.00M,-148.00M,,-105.00M,-105.00M,,-176.00M,12.00M,-5.00M,-422.00M,,676.00M,-306.00M,1.00M,371.00M,,,8.00M,-156.00M,-105.00M,,AOR,Restated
2011-03,196.00M,,4.00M,1.00M,299.00M,299.00M,-3.00M,17.00M,-4.00M,21.00M,44.00M,,,40.00M,-28.00M,,9.00M,65.00M,600.00M,,-316.00M,,,-94.00M,-55.00M,3.00M,-462.00M,,238.00M,238.00M,,-63.00M,-63.00M,,-169.00M,23.00M,-32.00M,-3.00M,,539.00M,135.00M,2.00M,676.00M,,,396.00M,-158.00M,-63.00M,,AOR,Restated
2010-12,294.00M,,6.00M,0.00,277.00M,277.00M,59.00M,8.00M,-5.00M,12.00M,0.00,,,5.00M,9.00M,,-49.00M,-35.00M,622.00M,,-367.00M,,,-229.00M,162.00M,3.00M,-431.00M,,-47.00M,-47.00M,,-58.00M,-58.00M,,-120.00M,26.00M,-5.00M,-204.00M,,550.00M,-13.00M,2.00M,539.00M,,,133.00M,-180.00M,-58.00M,,AOR,Restated
2010-09,258.00M,,9.00M,2.00M,317.00M,317.00M,70.00M,8.00M,-3.00M,23.00M,-49.00M,,,36.00M,56.00M,,-51.00M,-8.00M,677.00M,,-262.00M,,,-97.00M,-1.00M,8.00M,-352.00M,,-650.00M,-650.00M,,-157.00M,-157.00M,,-157.00M,15.00M,3.00M,-946.00M,,1.169B,-621.00M,2.00M,550.00M,,,69.00M,-719.00M,-157.00M,,AOR,
2010-06,450.00M,,5.00M,0.00,309.00M,309.00M,24.00M,8.00M,-1.00M,-158.00M,-122.00M,,,-74.00M,13.00M,,23.00M,-160.00M,480.00M,,-220.00M,,,-160.00M,-12.00M,4.00M,-388.00M,,548.00M,548.00M,,-166.00M,-166.00M,,-174.00M,6.00M,-6.00M,208.00M,,871.00M,300.00M,-2.00M,1.169B,,,592.00M,-44.00M,-166.00M,,AOR,Restated
2010-03,,,0.00,-5.00M,291.00M,291.00M,1.00M,12.00M,0.00,213.00M,12.00M,,,-24.00M,-31.00M,,16.00M,-27.00M,496.00M,,-255.00M,,,-50.00M,-149.00M,19.00M,-435.00M,,-55.00M,-55.00M,,-120.00M,-120.00M,,-153.00M,7.00M,-10.00M,-331.00M,,1.14B,-270.00M,1.00M,871.00M,,,114.00M,-169.00M,-120.00M,,AOR,Restated
2009-12,331.00M,,1.00M,46.00M,274.00M,274.00M,-84.00M,11.00M,-2.00M,11.00M,46.00M,,,49.00M,15.00M,,23.00M,133.00M,720.00M,,-356.00M,,,-146.00M,-16.00M,98.00M,-420.00M,,-1.219B,530.00M,,-161.00M,-161.00M,,-156.00M,10.00M,3.00M,226.00M,,612.00M,526.00M,2.00M,1.14B,,,-1.026B,-193.00M,-161.00M,,AOR,Restated
2009-09,292.00M,,0.00,18.00M,301.00M,301.00M,25.00M,10.00M,-2.00M,9.00M,-39.00M,,,18.00M,-8.00M,,-49.00M,-78.00M,575.00M,,-240.00M,,,-60.00M,-2.00M,35.00M,-267.00M,,-10.00M,-10.00M,,-65.00M,-65.00M,,-156.00M,2.00M,2.00M,-227.00M,,528.00M,81.00M,3.00M,612.00M,,,118.00M,-128.00M,-65.00M,,AOR,Restated
2009-06,267.00M,,1.00M,0.00,302.00M,302.00M,-25.00M,3.00M,0.00,9.00M,-65.00M,,,24.00M,12.00M,,21.00M,-8.00M,548.00M,,-258.00M,,,-30.00M,-3.00M,24.00M,-267.00M,,-549.00M,-549.00M,,0.00,0.00,,-156.00M,4.00M,0.00,-701.00M,,947.00M,-420.00M,1.00M,528.00M,,,13.00M,-562.00M,0.00,,AOR,Restated
2009-03,170.00M,,,58.00M,289.00M,289.00M,-10.00M,6.00M,,19.00M,87.00M,,,-40.00M,-23.00M,,-37.00M,-13.00M,519.00M,,-325.00M,,,-17.00M,0.00,46.00M,-296.00M,,443.00M,443.00M,,0.00,0.00,,-151.00M,4.00M,-51.00M,245.00M,,480.00M,468.00M,-1.00M,947.00M,,,895.00M,-452.00M,0.00,,AOR,Restated
2008-12,218.00M,,,48.00M,297.00M,297.00M,67.00M,48.00M,-7.00M,91.00M,181.00M,,,-195.00M,20.00M,20.00M,-115.00M,-89.00M,673.00M,,-434.00M,,787.00M,-30.00M,,57.00M,-407.00M,,-260.00M,-145.00M,-36.00M,0.00,-36.00M,,-132.00M,37.00M,-10.00M,-286.00M,,504.00M,-20.00M,-4.00M,480.00M,,-36.00M,1.525B,-1.785B,0.00,,AOR,
2008-09,290.00M,,,-10.00M,326.00M,326.00M,38.00M,-25.00M,7.00M,-19.00M,64.00M,,,76.00M,-2.00M,-20.00M,46.00M,164.00M,771.00M,,-301.00M,,-787.00M,-49.00M,,73.00M,-277.00M,,30.00M,-85.00M,36.00M,-9.00M,27.00M,,-108.00M,-32.00M,-1.00M,-199.00M,,210.00M,295.00M,-1.00M,504.00M,,36.00M,-971.00M,1.001B,-9.00M,,,
2008-06,338.00M,,,17.00M,318.00M,318.00M,28.00M,25.00M,-7.00M,9.00M,-90.00M,,,-42.00M,11.00M,11.00M,-48.00M,-158.00M,570.00M,,-273.00M,,213.00M,-34.00M,,8.00M,-299.00M,,-30.00M,-289.00M,-10.00M,-120.00M,-130.00M,,-158.00M,32.00M,17.00M,-528.00M,,466.00M,-257.00M,1.00M,210.00M,,-10.00M,971.00M,-1.001B,-120.00M,,,Restated
2008-03,241.00M,,,2.00M,297.00M,297.00M,17.00M,,,10.00M,61.00M,,,-22.00M,-38.00M,-11.00M,4.00M,-6.00M,561.00M,,-213.00M,,-213.00M,-55.00M,,68.00M,-200.00M,,,259.00M,10.00M,-281.00M,-271.00M,,-133.00M,,-98.00M,-243.00M,,348.00M,118.00M,,466.00M,,10.00M,,,-281.00M,,,
2007-12,309.00M,,,-32.00M,296.00M,296.00M,17.00M,,,49.00M,-6.00M,,,-78.00M,19.00M,20.00M,-1.00M,-46.00M,593.00M,,-490.00M,,-490.00M,39.00M,117.00M,-20.00M,-354.00M,,,-37.00M,5.00M,-362.00M,-357.00M,,-121.00M,,88.00M,-427.00M,,537.00M,-188.00M,-1.00M,348.00M,,5.00M,,,-362.00M,,,
2007-09,278.00M,,,17.00M,331.00M,331.00M,91.00M,,,4.00M,-21.00M,,,75.00M,6.00M,-9.00M,-1.00M,50.00M,771.00M,,-240.00M,,-240.00M,195.00M,7.00M,-185.00M,-223.00M,,,-82.00M,26.00M,-376.00M,-350.00M,,-123.00M,,-27.00M,-582.00M,,570.00M,-34.00M,1.00M,537.00M,,26.00M,,,-376.00M,,,
2007-06,354.00M,,,18.00M,322.00M,322.00M,-41.00M,,,-38.00M,-46.00M,,,-16.00M,16.00M,-26.00M,-6.00M,-78.00M,537.00M,,-209.00M,,-209.00M,-113.00M,-78.00M,252.00M,-148.00M,,,-29.00M,77.00M,-196.00M,-119.00M,,-125.00M,,-19.00M,-292.00M,,471.00M,97.00M,2.00M,570.00M,,77.00M,,,-196.00M,,,
2007-03,222.00M,,,8.00M,310.00M,310.00M,3.00M,,,2.00M,51.00M,,,-32.00M,-35.00M,-4.00M,13.00M,-7.00M,538.00M,,-272.00M,,-272.00M,67.00M,138.00M,31.00M,-36.00M,,,-108.00M,34.00M,-487.00M,-453.00M,,-126.00M,,42.00M,-645.00M,,614.00M,-143.00M,,471.00M,,34.00M,,,-487.00M,,,
2006-12,246.00M,,,60.00M,321.00M,321.00M,23.00M,,,-1.00M,74.00M,,,-92.00M,12.00M,14.00M,-4.00M,4.00M,653.00M,,-483.00M,,-483.00M,42.00M,148.00M,96.00M,-197.00M,,,-382.00M,76.00M,-138.00M,-62.00M,,-118.00M,,-25.00M,-587.00M,,746.00M,-131.00M,-1.00M,614.00M,,76.00M,,,-138.00M,,,
2006-09,300.00M,,,18.00M,340.00M,340.00M,-49.00M,,,40.00M,-31.00M,,,138.00M,-5.00M,-43.00M,-1.00M,58.00M,707.00M,,-319.00M,,-319.00M,193.00M,182.00M,-88.00M,-32.00M,,,-65.00M,17.00M,-307.00M,-290.00M,,-118.00M,,-25.00M,-498.00M,,569.00M,177.00M,,746.00M,,17.00M,,,-307.00M,,,
2006-06,417.00M,,,-4.00M,345.00M,345.00M,-3.00M,,,-41.00M,-130.00M,,,-2.00M,14.00M,25.00M,-4.00M,-97.00M,617.00M,,-356.00M,-18.00M,-374.00M,-19.00M,20.00M,167.00M,-206.00M,,,-17.00M,77.00M,-252.00M,-175.00M,,-119.00M,,14.00M,-297.00M,,454.00M,114.00M,1.00M,569.00M,,77.00M,,,-252.00M,,,
2006-03,186.00M,,,27.00M,328.00M,328.00M,6.00M,,,,99.00M,,,-89.00M,-22.00M,28.00M,,16.00M,563.00M,,-171.00M,18.00M,-153.00M,-8.00M,-228.00M,36.00M,-353.00M,,,-36.00M,125.00M,-375.00M,-250.00M,,-121.00M,,-14.00M,-421.00M,,666.00M,-211.00M,-1.00M,454.00M,,125.00M,,,-375.00M,,,
2005-12,290.00M,,,11.00M,325.00M,325.00M,-42.00M,,,,-45.00M,,36.00M,63.00M,-13.00M,10.00M,,31.00M,665.00M,,-415.00M,36.00M,-379.00M,-12.00M,-125.00M,92.00M,-424.00M,,,249.00M,61.00M,-133.00M,-72.00M,,-110.00M,,58.00M,125.00M,,300.00M,366.00M,0.00,666.00M,,61.00M,,,-133.00M,,,
