,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2013-10,4.853B,,4.853B,1.606B,,1.606B,11.35B,11.35B,791.00M,18.60B,,,,,38.99B,,,38.99B,-15.43B,23.56B,1.172B,,1.172B,,487.00M,25.22B,43.81B,6.366B,510.00M,6.876B,3.044B,9.92B,,1.317B,,1.317B,1.292B,1.292B,,12.53B,14.69B,,14.69B,360.00M,360.00M,,2.019B,17.07B,29.60B,88.00M,22.71B,7.979B,16.82B,,,254.00M,14.21B
2013-07,3.419B,,3.419B,1.542B,,1.542B,11.09B,11.09B,848.00M,16.90B,,,,,38.75B,,,38.75B,-15.10B,23.65B,1.17B,,1.17B,,477.00M,25.30B,42.19B,6.585B,606.00M,7.191B,3.117B,10.31B,,1.308B,,1.308B,1.379B,1.379B,,13.00B,11.45B,,11.45B,290.00M,290.00M,,1.979B,13.72B,26.71B,88.00M,21.92B,8.001B,14.81B,,,281.00M,15.48B
2013-04,4.337B,,4.337B,1.658B,,1.658B,11.82B,11.82B,800.00M,18.62B,,,,,38.69B,,,38.69B,-14.78B,23.91B,1.187B,,1.187B,,482.00M,25.58B,44.20B,7.384B,1.111B,8.495B,2.814B,11.31B,,1.332B,,1.332B,1.377B,1.377B,,14.02B,11.46B,,11.46B,270.00M,270.00M,,2.054B,13.78B,27.80B,88.00M,20.69B,7.79B,12.60B,,,433.00M,16.39B
2013-01,2.494B,,2.494B,1.395B,,1.395B,10.71B,10.71B,773.00M,15.37B,0.0,8.485B,17.98B,9.338B,658.00M,647.00M,1.382B,38.49B,-14.42B,24.07B,1.17B,,1.17B,,473.00M,25.71B,41.08B,5.376B,494.00M,5.87B,3.001B,8.871B,,1.321B,,1.321B,1.27B,1.27B,,11.46B,9.475B,,9.475B,319.00M,319.00M,,2.051B,11.84B,23.31B,88.00M,20.04B,7.948B,10.69B,,,397.00M,17.78B
2012-10,2.554B,,2.554B,,,1.645B,,10.96B,796.00M,15.96B,,,,,,,,39.79B,-15.67B,24.12B,1.141B,,1.141B,,441.00M,25.71B,41.66B,6.01B,554.00M,6.564B,1.562B,8.126B,,34.00M,,34.00M,1.195B,1.195B,,10.67B,10.78B,,10.78B,371.00M,371.00M,,2.107B,13.26B,23.92B,88.00M,19.45B,7.66B,9.869B,,,411.00M,17.74B
2012-07,2.81B,,2.81B,,,1.505B,,10.91B,1.006B,16.23B,,,,,,,,39.43B,-15.27B,24.15B,1.157B,,1.157B,,441.00M,25.75B,41.98B,6.137B,885.00M,7.022B,1.552B,8.574B,,34.00M,,34.00M,1.256B,1.256B,,11.23B,10.77B,,10.77B,298.00M,298.00M,,2.046B,13.12B,24.35B,87.00M,18.93B,7.255B,8.956B,,,315.00M,17.63B
2012-04,3.191B,,3.191B,,,1.519B,,11.58B,1.06B,17.35B,,,,,,,,39.31B,-14.94B,24.37B,1.139B,,1.139B,,438.00M,25.95B,43.30B,7.135B,995.00M,8.13B,1.454B,9.584B,,33.00M,,33.00M,1.219B,1.219B,,12.10B,10.79B,,10.79B,322.00M,322.00M,,2.112B,13.23B,25.32B,87.00M,17.84B,7.221B,7.623B,,,453.00M,17.98B
2012-01,1.987B,,1.987B,1.245B,,1.245B,10.32B,10.32B,963.00M,14.52B,0.0,8.48B,17.74B,10.04B,588.00M,758.00M,1.372B,38.98B,-14.53B,24.45B,1.12B,,1.12B,135.00M,295.00M,26.00B,40.52B,4.856B,414.00M,5.27B,2.929B,8.199B,,30.00M,,30.00M,1.147B,1.147B,,9.376B,10.76B,,10.76B,340.00M,340.00M,,2.146B,13.24B,22.62B,87.00M,17.25B,6.966B,6.694B,,,293.00M,17.90B
2011-10,2.234B,,2.234B,,,1.384B,,10.72B,1.143B,15.48B,,,,,,,,38.81B,-14.28B,24.53B,1.072B,,1.072B,,417.00M,26.02B,41.50B,5.669B,784.00M,6.453B,1.709B,8.162B,,44.00M,,44.00M,1.153B,1.153B,,10.59B,10.74B,,10.74B,200.00M,200.00M,,2.205B,13.14B,23.73B,86.00M,16.92B,6.698B,6.294B,,,362.00M,17.77B
2011-07,2.551B,,2.551B,,,1.332B,,10.76B,1.218B,15.86B,,,,,,,,38.90B,-14.10B,24.80B,1.177B,,1.177B,,445.00M,26.42B,42.28B,5.89B,815.00M,6.705B,1.758B,8.463B,,44.00M,,44.00M,1.178B,1.178B,,10.95B,10.73B,,10.73B,230.00M,230.00M,,2.136B,13.10B,24.04B,86.00M,16.37B,6.665B,5.493B,,,603.00M,18.23B
2011-04,1.806B,,1.806B,,,1.456B,,11.69B,1.205B,16.16B,,,,,,,,38.74B,-13.75B,24.99B,1.209B,,1.209B,,434.00M,26.64B,42.80B,6.543B,928.00M,7.471B,1.501B,8.972B,,43.00M,,43.00M,1.248B,1.248B,,11.46B,10.72B,,10.72B,237.00M,237.00M,,2.184B,13.14B,24.60B,86.00M,15.40B,6.369B,4.274B,,,613.00M,18.20B
2011-01,545.00M,,545.00M,,,1.085B,,10.62B,1.224B,13.48B,0.0,8.497B,17.61B,9.687B,,654.00M,1.941B,38.38B,-13.32B,25.06B,1.187B,,1.187B,139.00M,260.00M,26.65B,40.12B,4.717B,381.00M,5.098B,2.805B,7.903B,,1.042B,,1.042B,1.177B,1.177B,,10.12B,8.707B,,8.707B,272.00M,272.00M,,2.135B,11.11B,21.24B,86.00M,15.00B,6.556B,3.193B,,,445.00M,18.89B
2010-07,2.395B,,2.395B,,,1.218B,,10.76B,1.385B,15.76B,,,,,,,,37.82B,-12.63B,25.19B,1.187B,,1.187B,,401.00M,26.78B,42.54B,5.919B,759.00M,6.678B,2.889B,9.567B,,2.022B,,2.022B,1.15B,1.15B,,12.74B,7.727B,,7.727B,196.00M,196.00M,,2.428B,10.35B,23.09B,86.00M,14.35B,6.411B,1.794B,,,392.00M,19.44B
2010-04,2.436B,6.00M,2.442B,,,1.342B,,11.48B,1.383B,16.65B,,,,,,,,37.65B,-12.25B,25.40B,1.192B,,1.192B,,377.00M,26.97B,43.62B,7.051B,944.00M,7.995B,2.736B,10.73B,,2.021B,,2.021B,1.225B,1.225B,,13.98B,7.676B,,7.676B,239.00M,239.00M,,2.356B,10.27B,24.25B,86.00M,13.55B,6.321B,1.094B,,,506.00M,19.37B
2010-01,1.421B,,1.421B,,,964.00M,,10.19B,1.327B,13.90B,0.0,8.451B,17.39B,9.091B,,525.00M,1.887B,37.34B,-11.80B,25.55B,1.171B,,1.171B,33.00M,223.00M,26.98B,40.88B,4.863B,470.00M,5.333B,2.852B,8.185B,,1.02B,,1.02B,1.158B,1.158B,,10.36B,8.662B,,8.662B,319.00M,319.00M,,2.14B,11.12B,21.48B,86.00M,13.23B,6.304B,585.00M,,,362.00M,19.39B
2009-10,2.719B,6.00M,2.725B,,,1.188B,,10.82B,1.169B,15.90B,,,,,,,,37.00B,-11.42B,25.58B,1.163B,,1.163B,33.00M,374.00M,27.15B,43.05B,5.829B,916.00M,6.745B,2.764B,9.509B,,1.769B,,1.769B,1.177B,1.177B,,12.46B,8.656B,,8.656B,333.00M,333.00M,,2.226B,11.22B,23.67B,86.00M,13.26B,6.225B,470.00M,,,274.00M,19.38B
2009-07,3.107B,6.00M,3.113B,,,1.225B,,10.80B,1.428B,16.56B,,,,,,,,36.88B,-11.03B,25.85B,1.168B,,1.168B,34.00M,382.00M,27.44B,44.00B,6.018B,765.00M,6.783B,2.845B,9.628B,,1.769B,,1.769B,1.166B,1.166B,,12.56B,9.661B,,9.661B,354.00M,354.00M,,2.251B,12.27B,24.83B,86.00M,12.96B,6.178B,372.00M,,,319.00M,19.17B
2009-04,2.214B,6.00M,2.22B,,,1.283B,,11.43B,1.383B,16.31B,,,,,,,,36.46B,-10.56B,25.89B,1.134B,,1.134B,35.00M,390.00M,27.45B,43.77B,6.901B,852.00M,7.753B,2.776B,10.53B,,1.768B,,1.768B,1.251B,1.251B,,13.55B,9.667B,,9.667B,316.00M,316.00M,,2.242B,12.22B,25.77B,86.00M,12.23B,6.092B,372.00M,,,-38.00M,17.99B
2009-01,519.00M,6.00M,525.00M,,,972.00M,,10.67B,1.192B,13.36B,0.0,8.301B,16.96B,8.741B,,625.00M,1.849B,36.48B,-10.24B,26.23B,1.134B,,1.134B,36.00M,398.00M,27.80B,41.16B,4.822B,626.00M,5.448B,2.773B,8.221B,,1.767B,,1.767B,1.165B,1.165B,,11.15B,9.667B,,9.667B,369.00M,369.00M,,2.198B,12.23B,23.39B,85.00M,12.09B,6.048B,372.00M,,,-77.00M,17.78B
2008-10,864.00M,10.00M,874.00M,1.49B,,1.49B,,11.87B,1.374B,15.61B,,,,,,,,35.72B,-8.936B,26.78B,1.175B,,1.175B,,598.00M,28.56B,44.16B,6.773B,,6.773B,1.016B,7.789B,,3.033B,,3.033B,1.263B,1.263B,796.00M,12.88B,10.35B,,10.35B,554.00M,554.00M,,1.978B,12.88B,25.77B,85.00M,12.52B,5.988B,372.00M,,,177.00M,18.40B
2008-07,1.051B,11.00M,1.062B,1.506B,,1.506B,,11.86B,1.402B,15.83B,,,,,,,,36.79B,-9.711B,27.08B,1.218B,,1.218B,,970.00M,29.26B,45.10B,7.122B,,7.122B,3.103B,10.22B,,300.00M,,300.00M,1.417B,1.417B,695.00M,12.64B,11.37B,,11.37B,498.00M,498.00M,,1.949B,13.81B,26.45B,85.00M,12.18B,5.943B,302.00M,,,740.00M,18.65B
2008-04,767.00M,12.00M,779.00M,1.571B,,1.571B,,12.64B,1.353B,16.34B,,,,,,,,36.41B,-9.295B,27.11B,1.21B,,1.21B,,933.00M,29.26B,45.60B,7.861B,,7.861B,3.01B,10.87B,,795.00M,,795.00M,1.581B,1.581B,872.00M,14.12B,11.34B,,11.34B,460.00M,460.00M,,1.972B,13.77B,27.89B,85.00M,11.36B,5.859B,314.00M,,,711.00M,17.71B
2008-01,445.00M,12.00M,457.00M,,,1.259B,,11.73B,1.227B,14.67B,0.0,8.398B,16.64B,8.05B,,1.435B,1.887B,36.41B,-8.936B,27.48B,1.209B,,1.209B,342.00M,623.00M,29.65B,44.32B,5.732B,505.00M,6.237B,1.854B,8.091B,,2.047B,,2.047B,1.474B,1.474B,,12.71B,11.38B,,11.38B,688.00M,688.00M,,1.833B,13.90B,26.61B,85.00M,11.39B,5.80B,314.00M,,,755.00M,17.71B
2007-10,535.00M,15.00M,550.00M,1.609B,,1.609B,,12.59B,1.378B,16.12B,,,,,,,,35.93B,-8.686B,27.24B,1.199B,,1.199B,,937.00M,29.38B,45.51B,7.569B,,7.569B,3.161B,10.73B,,1.047B,,1.047B,1.614B,1.614B,948.00M,14.34B,11.34B,,11.34B,654.00M,654.00M,,1.725B,13.72B,28.06B,121.00M,35.34B,8.32B,27.20B,,,868.00M,17.45B
2007-07,987.00M,2.037B,3.024B,1.554B,,1.554B,,12.29B,5.007B,21.87B,,,,,,,,34.92B,-8.272B,26.65B,1.189B,,1.189B,,7.154B,34.99B,56.86B,7.686B,,7.686B,3.142B,10.83B,,15.00M,,15.00M,1.691B,1.691B,2.653B,15.19B,11.63B,,11.63B,771.00M,771.00M,,2.103B,14.50B,29.69B,122.00M,34.69B,8.248B,16.48B,,,592.00M,27.18B
2007-04,938.00M,1.143B,2.081B,3.529B,,3.529B,,14.41B,1.496B,21.52B,,,,,,,,34.96B,-8.069B,26.89B,6.357B,,6.357B,,1.316B,34.56B,56.08B,9.706B,,9.706B,3.152B,12.86B,,19.00M,,19.00M,1.806B,1.806B,1.16B,15.84B,11.64B,,11.64B,1.16B,1.16B,,1.765B,14.56B,30.41B,121.00M,33.54B,8.04B,16.48B,,,443.00M,25.67B
2007-01,600.00M,14.00M,614.00M,3.223B,,3.223B,,12.82B,1.341B,18.00B,0.0,8.355B,16.61B,7.799B,475.00M,1.123B,,34.36B,-7.753B,26.60B,6.314B,,6.314B,,1.344B,34.26B,52.26B,7.356B,,7.356B,3.231B,10.59B,,18.00M,,18.00M,1.634B,1.634B,692.00M,12.93B,11.64B,,11.64B,1.416B,1.416B,,1.243B,14.30B,27.23B,121.00M,33.05B,7.93B,16.38B,,,310.00M,25.03B
