,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2017-01,1.744B,,,499.00M,499.00M,,,68.00M,-195.00M,-30.00M,684.00M,-1.078B,-84.00M,,174.00M,-334.00M,,1.864B,-476.00M,8.00M,8.00M,0.00,,,-468.00M,-11.00M,710.00M,699.00M,82.00M,-2.345B,-2.263B,-837.00M,-837.00M,-45.00M,-2.446B,3.589B,-1.05B,-1.00M,2.538B,82.00M,360.00M,339.00M,-2.345B,,
2016-10,1.969B,,,496.00M,496.00M,,,66.00M,66.00M,-17.00M,-958.00M,-529.00M,74.00M,,-59.00M,-1.489B,,1.042B,-448.00M,7.00M,7.00M,0.00,,,-441.00M,1.959B,0.00,1.959B,15.00M,-2.094B,-2.079B,-849.00M,-849.00M,-34.00M,-1.003B,4.018B,-402.00M,-27.00M,3.589B,15.00M,1.97B,-11.00M,-2.094B,,
2016-07,2.441B,,,492.00M,492.00M,,,61.00M,61.00M,-34.00M,824.00M,-510.00M,-82.00M,,49.00M,247.00M,,3.241B,-372.00M,19.00M,19.00M,0.00,,,-353.00M,-11.00M,0.00,-11.00M,92.00M,-1.284B,-1.192B,-856.00M,-856.00M,-24.00M,-2.083B,3.257B,805.00M,-44.00M,4.018B,92.00M,0.00,-11.00M,-1.284B,,
2016-04,1.803B,,,486.00M,486.00M,,,72.00M,72.00M,-57.00M,-1.319B,2.672B,44.00M,,-65.00M,1.275B,,3.636B,-325.00M,4.00M,4.00M,,,,-321.00M,-23.00M,-350.00M,-373.00M,29.00M,-1.157B,-1.128B,-862.00M,-862.00M,25.00M,-2.338B,2.216B,977.00M,64.00M,3.257B,29.00M,2.989B,-3.362B,-1.157B,,
2016-01,1.471B,0.00,0.00,479.00M,479.00M,,,67.00M,67.00M,39.00M,630.00M,-835.00M,-62.00M,,218.00M,-10.00M,,2.007B,-420.00M,19.00M,19.00M,-4.00M,0.00,,-405.00M,-10.00M,350.00M,340.00M,79.00M,-1.957B,-1.878B,-744.00M,-744.00M,-82.00M,-2.364B,3.04B,-762.00M,-62.00M,2.216B,79.00M,60.00M,280.00M,-1.957B,,
2015-10,1.725B,0.00,0.00,469.00M,469.00M,,,55.00M,55.00M,12.00M,-348.00M,-427.00M,74.00M,,-128.00M,-817.00M,,1.432B,-378.00M,16.00M,16.00M,-1.662B,0.00,,-2.024B,1.489B,0.00,1.489B,15.00M,-1.958B,-1.943B,-754.00M,-754.00M,-75.00M,-1.283B,4.936B,-1.875B,-21.00M,3.04B,15.00M,1.499B,-10.00M,-1.958B,,
2015-07,2.234B,-144.00M,-144.00M,461.00M,461.00M,,,53.00M,53.00M,115.00M,370.00M,-528.00M,-87.00M,,56.00M,-74.00M,,2.53B,-383.00M,3.00M,3.00M,,144.00M,,-236.00M,2.483B,0.00,2.483B,87.00M,-1.96B,-1.873B,-764.00M,-764.00M,15.00M,-139.00M,2.827B,2.155B,-46.00M,4.936B,87.00M,2.492B,-9.00M,-1.96B,,
2015-04,1.579B,,,454.00M,454.00M,,,69.00M,69.00M,-347.00M,-1.198B,2.832B,70.00M,,-55.00M,1.302B,,3.404B,-322.00M,5.00M,5.00M,,,,-317.00M,-10.00M,-290.00M,-300.00M,47.00M,-1.125B,-1.078B,-769.00M,-769.00M,146.00M,-2.001B,1.723B,1.086B,18.00M,2.827B,47.00M,0.00,-300.00M,-1.125B,,
2015-01,1.379B,-111.00M,-111.00M,441.00M,441.00M,,,51.00M,51.00M,140.00M,851.00M,-842.00M,-112.00M,,198.00M,235.00M,,1.995B,-443.00M,28.00M,28.00M,-200.00M,111.00M,,-504.00M,-9.00M,290.00M,281.00M,74.00M,-1.422B,-1.348B,-618.00M,-618.00M,-175.00M,-1.86B,2.181B,-369.00M,-89.00M,1.723B,74.00M,290.00M,-9.00M,-1.422B,,
2014-10,1.537B,-100.00M,-100.00M,449.00M,449.00M,,,55.00M,55.00M,18.00M,-386.00M,-558.00M,24.00M,,-77.00M,-979.00M,,962.00M,-368.00M,4.00M,4.00M,0.00,100.00M,,-264.00M,-9.00M,0.00,-9.00M,30.00M,-2.078B,-2.048B,-627.00M,-627.00M,-31.00M,-2.715B,4.216B,-2.017B,-18.00M,2.181B,30.00M,0.00,-9.00M,-2.078B,,
2014-07,2.05B,-112.00M,-112.00M,449.00M,449.00M,,,52.00M,52.00M,194.00M,683.00M,-512.00M,-103.00M,,16.00M,278.00M,,2.717B,-344.00M,9.00M,9.00M,,112.00M,,-223.00M,1.972B,0.00,1.972B,79.00M,-2.25B,-2.171B,-639.00M,-639.00M,48.00M,-790.00M,2.511B,1.704B,1.00M,4.216B,79.00M,1.981B,-9.00M,-2.25B,,
2014-04,1.379B,,,447.00M,447.00M,,,67.00M,67.00M,-433.00M,-1.272B,2.324B,-8.00M,,64.00M,675.00M,,2.568B,-287.00M,7.00M,7.00M,,,,-280.00M,-12.00M,0.00,-12.00M,69.00M,-1.25B,-1.181B,-646.00M,-646.00M,133.00M,-1.706B,1.929B,582.00M,0.00,2.511B,69.00M,,-12.00M,-1.25B,,
2014-01,1.013B,,,440.00M,440.00M,,,59.00M,59.00M,204.00M,228.00M,-345.00M,-42.00M,,90.00M,135.00M,,1.647B,-425.00M,54.00M,54.00M,-191.00M,,,-562.00M,-1.264B,,-1.264B,77.00M,-2.10B,-2.023B,-544.00M,-544.00M,-141.00M,-3.972B,4.853B,-2.887B,-37.00M,1.929B,77.00M,0.00,-1.264B,-2.10B,,
2013-10,1.351B,,,440.00M,440.00M,,,53.00M,53.00M,-66.00M,-264.00M,-349.00M,88.00M,,10.00M,-581.00M,,1.263B,-365.00M,18.00M,18.00M,-2.00M,0.00,,-349.00M,3.22B,,3.22B,14.00M,-2.10B,-2.086B,-556.00M,-556.00M,-50.00M,528.00M,3.419B,1.442B,-8.00M,4.853B,14.00M,3.228B,-8.00M,-2.10B,,
2013-07,1.795B,,,442.00M,442.00M,,,51.00M,51.00M,106.00M,684.00M,-955.00M,-74.00M,,-28.00M,-267.00M,,2.021B,-321.00M,1.00M,1.00M,0.00,0.00,,-320.00M,-9.00M,,-9.00M,86.00M,-2.15B,-2.064B,-566.00M,-566.00M,20.00M,-2.619B,4.337B,-918.00M,0.00,3.419B,86.00M,0.00,-9.00M,-2.15B,,
2013-04,1.226B,,,435.00M,435.00M,,,65.00M,65.00M,-259.00M,-1.103B,2.373B,23.00M,,-63.00M,971.00M,,2.697B,-278.00M,15.00M,15.00M,-13.00M,,,-276.00M,1.986B,,1.986B,64.00M,-2.196B,-2.132B,-577.00M,-577.00M,134.00M,-589.00M,2.494B,1.832B,11.00M,4.337B,64.00M,1.994B,-8.00M,-2.196B,,
2013-01,1.021B,,,427.00M,427.00M,,0.00,60.00M,60.00M,245.00M,246.00M,-367.00M,-71.00M,,30.00M,83.00M,,1.591B,-425.00M,29.00M,29.00M,-49.00M,,,-445.00M,-9.00M,,-9.00M,87.00M,-654.00M,-567.00M,-431.00M,-431.00M,-192.00M,-1.199B,2.554B,-53.00M,-7.00M,2.494B,87.00M,0.00,-9.00M,-654.00M,,
2012-10,947.00M,,,424.00M,424.00M,,97.00M,51.00M,148.00M,-133.00M,-16.00M,-550.00M,204.00M,,99.00M,-396.00M,,1.123B,-336.00M,6.00M,6.00M,-76.00M,,,-406.00M,-7.00M,,-7.00M,144.00M,-700.00M,-556.00M,-432.00M,-432.00M,11.00M,-984.00M,2.81B,-267.00M,11.00M,2.554B,144.00M,0.00,-7.00M,-700.00M,,
2012-07,1.532B,,,423.00M,423.00M,,,49.00M,49.00M,-1.00M,624.00M,-857.00M,35.00M,,-34.00M,-233.00M,,1.771B,-323.00M,8.00M,8.00M,-45.00M,,,-360.00M,-9.00M,,-9.00M,141.00M,-1.499B,-1.358B,-436.00M,-436.00M,35.00M,-1.768B,3.191B,-357.00M,-24.00M,2.81B,141.00M,0.00,-9.00M,-1.499B,,
2012-04,1.035B,,,410.00M,410.00M,,,58.00M,58.00M,-254.00M,-1.204B,2.559B,-75.00M,,-39.00M,987.00M,,2.49B,-228.00M,7.00M,7.00M,0.00,,,-221.00M,-7.00M,,-7.00M,412.00M,-1.131B,-719.00M,-444.00M,-444.00M,87.00M,-1.083B,1.987B,1.186B,18.00M,3.191B,412.00M,0.00,-7.00M,-1.131B,,
2012-01,774.00M,,,417.00M,417.00M,,0.00,58.00M,58.00M,139.00M,371.00M,-1.085B,168.00M,,118.00M,-289.00M,,960.00M,-401.00M,20.00M,20.00M,-65.00M,,,-446.00M,-7.00M,,-7.00M,215.00M,-414.00M,-199.00M,,-445.00M,-100.00M,-751.00M,2.234B,-237.00M,-10.00M,1.987B,215.00M,0.00,-7.00M,-414.00M,,
2011-10,3.109B,,,416.00M,416.00M,,0.00,49.00M,-2.018B,-71.00M,-50.00M,-206.00M,31.00M,,101.00M,-195.00M,,1.204B,-351.00M,9.00M,9.00M,101.00M,,,-241.00M,-7.00M,,-7.00M,8.00M,-805.00M,-797.00M,,-389.00M,-64.00M,-1.257B,2.551B,-294.00M,-23.00M,2.234B,8.00M,0.00,-7.00M,-805.00M,,
2011-07,,,,425.00M,425.00M,,,48.00M,1.363B,122.00M,925.00M,-427.00M,-17.00M,,-50.00M,553.00M,,2.389B,-270.00M,12.00M,12.00M,0.00,,,-258.00M,-7.00M,,-7.00M,49.00M,-950.00M,-901.00M,,-395.00M,-73.00M,-1.376B,1.806B,755.00M,-10.00M,2.551B,49.00M,0.00,-7.00M,-950.00M,,
2011-04,,,,424.00M,424.00M,,,60.00M,812.00M,-360.00M,-990.00M,2.154B,-23.00M,,21.00M,802.00M,,2.098B,-199.00M,15.00M,15.00M,,,,-184.00M,987.00M,,987.00M,34.00M,-1.301B,-1.267B,,-403.00M,19.00M,-664.00M,545.00M,1.25B,11.00M,1.806B,34.00M,1.994B,-1.007B,-1.301B,,
2011-01,,,,426.00M,426.00M,,,53.00M,-2.537B,217.00M,390.00M,-1.128B,22.00M,,32.00M,-467.00M,,599.00M,-407.00M,19.00M,19.00M,0.00,,,-388.00M,-6.00M,,-6.00M,48.00M,-634.00M,-586.00M,,-385.00M,-108.00M,-1.085B,1.425B,-874.00M,-6.00M,545.00M,48.00M,0.00,-6.00M,-634.00M,,
2010-10,,,,426.00M,426.00M,,,49.00M,834.00M,-73.00M,-219.00M,-444.00M,37.00M,,13.00M,-686.00M,,623.00M,-282.00M,21.00M,21.00M,0.00,,,-261.00M,-8.00M,,-8.00M,4.00M,-765.00M,-761.00M,,-391.00M,-176.00M,-1.336B,2.395B,-974.00M,4.00M,1.425B,4.00M,998.00M,-1.006B,-765.00M,,
2010-07,,,,428.00M,428.00M,,,48.00M,1.192B,121.00M,701.00M,-1.066B,19.00M,,-119.00M,-344.00M,,1.324B,-240.00M,17.00M,17.00M,,,,-223.00M,-12.00M,,-12.00M,41.00M,-701.00M,-660.00M,,-394.00M,-71.00M,-1.137B,2.436B,-36.00M,-5.00M,2.395B,41.00M,0.00,-12.00M,-701.00M,,
2010-04,,,,438.00M,438.00M,,,64.00M,725.00M,-367.00M,-1.227B,2.42B,-66.00M,,52.00M,812.00M,,2.039B,-167.00M,27.00M,27.00M,,,,-140.00M,-5.00M,,-5.00M,11.00M,-508.00M,-497.00M,,-399.00M,8.00M,-893.00M,1.421B,1.006B,9.00M,2.436B,11.00M,0.00,-5.00M,-508.00M,,
2010-01,342.00M,,,442.00M,442.00M,,,41.00M,-5.285B,216.00M,653.00M,-1.149B,-89.00M,-20.00M,4.987B,4.598B,,461.00M,-398.00M,17.00M,17.00M,,11.00M,,-370.00M,-759.00M,,-759.00M,36.00M,-115.00M,-79.00M,,-381.00M,-185.00M,-1.404B,2.719B,-1.313B,15.00M,1.421B,36.00M,0.00,-759.00M,-115.00M,,
2009-10,689.00M,,,453.00M,453.00M,,,51.00M,51.00M,29.00M,-34.00M,-54.00M,198.00M,11.00M,-7.00M,143.00M,,1.336B,-215.00M,41.00M,41.00M,,3.00M,,-171.00M,-1.004B,,-1.004B,3.00M,-98.00M,-95.00M,,-382.00M,-89.00M,-1.57B,3.107B,-405.00M,17.00M,2.719B,3.00M,0.00,-1.004B,-98.00M,,
2009-07,1.116B,,,458.00M,458.00M,,,55.00M,55.00M,69.00M,740.00M,-777.00M,22.00M,-12.00M,-70.00M,-28.00M,,1.601B,-181.00M,50.00M,50.00M,,0.00,,-131.00M,-7.00M,,-7.00M,32.00M,,32.00M,,-381.00M,-216.00M,-572.00M,2.214B,898.00M,-5.00M,3.107B,32.00M,,-7.00M,,,
2009-04,514.00M,,,453.00M,453.00M,,,54.00M,54.00M,-337.00M,-734.00M,1.865B,-127.00M,,39.00M,706.00M,,1.727B,-172.00M,70.00M,70.00M,,19.00M,,-83.00M,-4.00M,,-4.00M,2.00M,0.00,2.00M,,-381.00M,426.00M,43.00M,519.00M,1.687B,8.00M,2.214B,2.00M,,-4.00M,0.00,,
2009-01,-54.00M,,164.00M,470.00M,470.00M,,,,451.00M,346.00M,1.108B,-1.486B,65.00M,-398.00M,68.00M,-297.00M,,734.00M,-436.00M,19.00M,1.43B,,52.00M,,-365.00M,,,3.00M,29.00M,0.00,29.00M,,-380.00M,-337.00M,-685.00M,864.00M,-316.00M,-29.00M,519.00M,29.00M,,,0.00,,
2008-10,756.00M,,-164.00M,476.00M,476.00M,289.00M,,,53.00M,33.00M,-222.00M,-239.00M,22.00M,32.00M,74.00M,-300.00M,,1.11B,-451.00M,30.00M,-421.00M,,-83.00M,,-504.00M,,,-290.00M,4.00M,-70.00M,-66.00M,,-381.00M,-27.00M,-764.00M,1.051B,-158.00M,-29.00M,864.00M,4.00M,,,-70.00M,,
2008-07,1.202B,,,482.00M,482.00M,-67.00M,,,50.00M,64.00M,783.00M,-624.00M,2.00M,-311.00M,2.00M,-84.00M,,1.583B,-511.00M,88.00M,-423.00M,,1.00M,,-422.00M,,,-500.00M,36.00M,,36.00M,,-381.00M,-31.00M,-876.00M,767.00M,285.00M,-1.00M,1.051B,36.00M,,,,,
2008-04,356.00M,,,474.00M,474.00M,-222.00M,,,365.00M,-322.00M,-926.00M,1.965B,-96.00M,385.00M,122.00M,1.128B,,2.101B,-449.00M,10.00M,-439.00M,,1.00M,,-438.00M,,,-1.258B,15.00M,,15.00M,,-379.00M,267.00M,-1.355B,445.00M,308.00M,14.00M,767.00M,15.00M,,,,,
2008-01,-3.724B,,,481.00M,481.00M,297.00M,,,4.215B,302.00M,822.00M,-1.918B,320.00M,-611.00M,174.00M,-911.00M,,565.00M,-1.04B,188.00M,2.706B,0.00,-1.00M,,-853.00M,,,983.00M,54.00M,-1.00M,53.00M,,-379.00M,-479.00M,178.00M,535.00M,-110.00M,20.00M,445.00M,54.00M,,,-1.00M,,
2007-10,1.091B,,,462.00M,462.00M,-279.00M,,,69.00M,70.00M,-205.00M,-377.00M,-205.00M,-78.00M,149.00M,-646.00M,14.00M,711.00M,-948.00M,27.00M,-921.00M,8.354B,1.697B,,9.13B,,,741.00M,24.00M,-10.72B,-10.70B,,-444.00M,139.00M,-10.26B,987.00M,-422.00M,-30.00M,535.00M,24.00M,,,-10.72B,,
2007-07,1.587B,,,478.00M,478.00M,41.00M,,,56.00M,70.00M,435.00M,-507.00M,80.00M,-189.00M,90.00M,-21.00M,-14.00M,2.127B,-874.00M,52.00M,-822.00M,1.00M,-893.00M,,-1.714B,,,-4.00M,129.00M,0.00,129.00M,,-443.00M,-45.00M,-363.00M,938.00M,50.00M,-1.00M,987.00M,129.00M,,,0.00,,
2007-04,1.046B,,,485.00M,485.00M,-59.00M,,,55.00M,-326.00M,-1.543B,1.989B,-86.00M,719.00M,44.00M,797.00M,,2.324B,-696.00M,51.00M,-645.00M,-31.00M,-1.129B,,-1.805B,,,-6.00M,69.00M,-91.00M,-22.00M,,-443.00M,280.00M,-191.00M,600.00M,328.00M,10.00M,938.00M,69.00M,,,-91.00M,,
2007-01,925.00M,,,462.00M,462.00M,62.00M,,,93.00M,371.00M,878.00M,-866.00M,-212.00M,-166.00M,-91.00M,-86.00M,,1.456B,-1.032B,49.00M,-983.00M,-110.00M,1.00M,,-1.092B,,,3.479B,121.00M,-3.135B,-3.014B,,-459.00M,-361.00M,-355.00M,603.00M,9.00M,-13.00M,599.00M,121.00M,,,-3.135B,,
2006-10,1.49B,,,492.00M,492.00M,66.00M,,,58.00M,45.00M,0.00,-900.00M,28.00M,-322.00M,35.00M,-1.114B,,992.00M,-1.007B,24.00M,-983.00M,-347.00M,-1.00M,,-1.331B,,,1.366B,24.00M,-754.00M,-730.00M,,-308.00M,-17.00M,311.00M,645.00M,-28.00M,-14.00M,603.00M,24.00M,,,-754.00M,,
2006-07,1.862B,,,482.00M,482.00M,45.00M,,,69.00M,-105.00M,-203.00M,104.00M,-37.00M,-668.00M,107.00M,-802.00M,,1.656B,-798.00M,18.00M,-780.00M,-481.00M,1.307B,,46.00M,,,99.00M,75.00M,-2.241B,-2.166B,,-310.00M,57.00M,-2.32B,1.264B,-618.00M,-1.00M,645.00M,75.00M,,,-2.241B,,
2006-04,1.484B,,,450.00M,450.00M,-127.00M,,,77.00M,-215.00M,-1.238B,2.193B,-4.00M,906.00M,30.00M,1.672B,,3.556B,-705.00M,47.00M,-658.00M,-3.33B,-1.282B,,-5.27B,,,2.582B,161.00M,-554.00M,-393.00M,,-318.00M,290.00M,2.161B,793.00M,447.00M,24.00M,1.264B,161.00M,,,-554.00M,,
2006-01,1.285B,,253.00M,445.00M,445.00M,-332.00M,,,-216.00M,189.00M,689.00M,-2.07B,68.00M,-22.00M,198.00M,-948.00M,,487.00M,-1.028B,39.00M,-989.00M,-295.00M,491.00M,,-793.00M,,,897.00M,147.00M,-236.00M,-89.00M,,-212.00M,-277.00M,183.00M,905.00M,-123.00M,11.00M,793.00M,147.00M,,,-236.00M,,
2005-10,1.538B,,,405.00M,405.00M,-269.00M,,,55.00M,-33.00M,-620.00M,67.00M,144.00M,-50.00M,47.00M,-445.00M,,1.284B,-1.018B,27.00M,-991.00M,-1.405B,1.109B,,-1.287B,,,980.00M,77.00M,-849.00M,-772.00M,,-214.00M,277.00M,174.00M,736.00M,171.00M,-2.00M,905.00M,77.00M,,,-849.00M,,
2005-07,1.768B,,-124.00M,368.00M,368.00M,-96.00M,,,161.00M,-70.00M,179.00M,-288.00M,-77.00M,-408.00M,80.00M,-584.00M,,1.493B,-1.014B,61.00M,-953.00M,-708.00M,727.00M,,-934.00M,,,-3.00M,140.00M,-522.00M,-382.00M,,-214.00M,,-502.00M,683.00M,57.00M,-4.00M,736.00M,140.00M,,,-522.00M,,
2005-04,1.247B,,124.00M,361.00M,361.00M,88.00M,,,,-444.00M,-1.219B,2.439B,-119.00M,864.00M,15.00M,1.536B,,3.356B,-821.00M,37.00M,-784.00M,-138.00M,-650.00M,,-1.572B,,,-3.00M,50.00M,-1.433B,-1.383B,,-217.00M,,-1.603B,506.00M,181.00M,-4.00M,683.00M,50.00M,,,-1.433B,,
2005-01,1.041B,,32.00M,348.00M,348.00M,96.00M,,,,314.00M,115.00M,-1.751B,35.00M,54.00M,-27.00M,-1.26B,,257.00M,-1.17B,25.00M,-1.145B,0.00,1.066B,,-79.00M,,,-3.00M,150.00M,-584.00M,-434.00M,,-187.00M,,-352.00M,675.00M,-174.00M,5.00M,506.00M,150.00M,,,-584.00M,,
