,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2013-01,541.00M,125.00M,666.00M,,,8.60B,8.60B,217.00M,301.00M,9.784B,0.00,6.986B,16.97B,9.78B,,932.00M,,34.67B,-13.19B,21.48B,,,271.00M,,1.134B,22.88B,32.67B,4.657B,178.00M,216.00M,5.051B,136.00M,5.187B,,,47.00M,,47.00M,824.00M,824.00M,980.00M,7.708B,9.03B,,9.03B,455.00M,715.00M,1.17B,,901.00M,11.10B,18.81B,555.00M,13.22B,26.00M,52.00M,13.86B
2012-10,1.091B,209.00M,1.30B,,,,8.995B,235.00M,300.00M,10.83B,34.89B,,,,,,,34.89B,-13.30B,21.59B,,,350.00M,,1.182B,23.12B,33.95B,5.416B,,,5.416B,,5.416B,,,45.00M,,45.00M,788.00M,788.00M,1.784B,8.614B,9.004B,,9.004B,486.00M,720.00M,1.206B,,904.00M,11.11B,19.73B,561.00M,13.60B,9.00M,53.00M,14.22B
2012-07,1.71B,586.00M,2.296B,,,,8.699B,279.00M,325.00M,11.60B,,,,,,,,34.73B,-13.00B,21.73B,,,485.00M,,1.214B,23.43B,35.03B,5.084B,,,5.084B,,5.084B,,,594.00M,,594.00M,847.00M,847.00M,1.936B,9.022B,9.008B,,9.008B,580.00M,726.00M,1.306B,,872.00M,11.19B,20.21B,576.00M,14.20B,2.00M,47.00M,14.82B
2012-04,3.072B,161.00M,3.233B,,,,9.786B,279.00M,330.00M,13.63B,,,,,,,,34.52B,-12.70B,21.82B,,,710.00M,,1.049B,23.58B,37.21B,6.977B,,,6.977B,,6.977B,,,593.00M,,593.00M,881.00M,881.00M,2.053B,11.00B,9.018B,,9.018B,412.00M,716.00M,1.128B,,863.00M,11.01B,22.00B,594.00M,14.56B,0.00,52.00M,15.20B
2012-01,1.014B,286.00M,1.30B,,,8.355B,8.355B,183.00M,234.00M,10.07B,0.00,6.936B,16.64B,9.835B,,921.00M,,34.33B,-12.36B,21.97B,,,504.00M,,1.013B,23.49B,33.56B,4.352B,174.00M,260.00M,4.786B,126.00M,4.912B,,,592.00M,,592.00M,801.00M,801.00M,973.00M,7.891B,7.035B,,7.035B,531.00M,704.00M,1.235B,,865.00M,9.135B,17.03B,621.00M,15.85B,14.00M,46.00M,16.53B
2011-10,675.00M,294.00M,969.00M,,,,8.99B,237.00M,227.00M,10.42B,,,,,,,,33.89B,-12.00B,21.89B,,,705.00M,,850.00M,23.44B,33.87B,5.242B,,,5.242B,,5.242B,,,590.00M,,590.00M,789.00M,789.00M,1.913B,9.156B,6.025B,,6.025B,322.00M,687.00M,1.009B,,867.00M,7.901B,17.06B,630.00M,16.11B,24.00M,46.00M,16.81B
2011-07,568.00M,340.00M,908.00M,,,,8.825B,222.00M,213.00M,10.17B,,,,,,,,22.21B,-11.90M,22.20B,,,857.00M,,825.00M,23.88B,34.04B,5.378B,,,5.378B,,5.378B,,,39.00M,,39.00M,831.00M,831.00M,1.934B,8.677B,6.581B,,6.581B,479.00M,673.00M,1.152B,,856.00M,8.589B,17.27B,630.00M,16.06B,7.00M,82.00M,16.78B
2011-04,1.496B,345.00M,1.841B,,,,9.661B,232.00M,239.00M,11.97B,,,,,,,,33.66B,-11.60B,22.06B,,,1.209B,,642.00M,23.91B,35.88B,6.694B,,,6.694B,,6.694B,,,38.00M,,38.00M,970.00M,970.00M,1.662B,9.921B,6.538B,,6.538B,498.00M,650.00M,1.148B,,818.00M,8.504B,18.42B,659.00M,16.72B,0.00,85.00M,17.46B
2011-01,652.00M,471.00M,1.123B,,,,8.321B,193.00M,330.00M,9.967B,0.00,6.742B,16.53B,9.142B,,930.00M,,33.34B,-11.26B,22.09B,,,1.008B,,635.00M,23.73B,33.70B,4.351B,,,4.351B,667.00M,5.018B,,,36.00M,,36.00M,707.00M,707.00M,1.358B,7.119B,6.537B,,6.537B,467.00M,631.00M,1.098B,,833.00M,8.468B,15.59B,677.00M,17.37B,11.00M,53.00M,18.11B
2010-04,2.677B,675.00M,3.352B,,,,9.899B,202.00M,242.00M,13.70B,,,,,,,,32.58B,-10.20B,22.38B,,,832.00M,,508.00M,23.72B,37.41B,7.062B,,,7.062B,594.00M,7.656B,,,536.00M,,536.00M,901.00M,901.00M,1.788B,10.88B,5.531B,,5.531B,521.00M,,521.00M,,1.462B,7.514B,18.40B,722.00M,18.25B,6.00M,45.00M,19.02B
2010-01,632.00M,425.00M,1.057B,,,,8.249B,208.00M,218.00M,9.732B,0.00,6.519B,15.89B,8.826B,,1.036B,,32.27B,-9.769B,22.50B,,,277.00M,,497.00M,23.27B,33.00B,4.287B,,,4.287B,577.00M,4.864B,,,552.00M,,552.00M,683.00M,683.00M,1.256B,7.355B,4.528B,,4.528B,598.00M,549.00M,1.147B,,906.00M,6.581B,13.94B,729.00M,18.31B,6.00M,27.00M,19.07B
2009-10,1.141B,509.00M,1.65B,,,,8.424B,205.00M,213.00M,10.49B,,,,,,,,32.26B,-9.70B,22.56B,,,864.00M,,496.00M,23.92B,34.41B,5.046B,,,5.046B,558.00M,5.604B,,,553.00M,,553.00M,719.00M,719.00M,2.101B,8.977B,4.524B,,4.524B,556.00M,,556.00M,,933.00M,6.013B,14.99B,739.00M,18.24B,398.00M,46.00M,19.42B
2009-07,1.087B,424.00M,1.511B,,,,8.189B,177.00M,216.00M,10.09B,,,,,,,,32.03B,-9.30B,22.73B,,,900.00M,,462.00M,24.09B,34.18B,4.97B,,,4.97B,540.00M,5.51B,,,561.00M,,561.00M,716.00M,716.00M,2.157B,8.944B,4.515B,,4.515B,564.00M,,564.00M,,983.00M,6.062B,15.01B,738.00M,18.02B,367.00M,46.00M,19.18B
2009-04,682.00M,460.00M,1.142B,,,,9.013B,183.00M,264.00M,10.60B,,,,,,,,31.82B,-9.10B,22.72B,,,448.00M,,444.00M,23.61B,34.21B,5.843B,,,5.843B,535.00M,6.378B,,,52.00M,,52.00M,741.00M,741.00M,2.033B,9.204B,5.023B,,5.023B,594.00M,,594.00M,,951.00M,6.568B,15.77B,737.00M,17.40B,296.00M,5.00M,18.44B
2009-01,245.00M,416.00M,661.00M,,,,8.209B,105.00M,215.00M,9.19B,0.00,6.144B,11.26B,8.797B,,1.702B,3.576B,31.48B,-8.755B,22.72B,,,253.00M,,460.00M,23.44B,32.62B,4.109B,,,4.109B,,4.109B,,,1.021B,,1.021B,674.00M,674.00M,1.322B,7.56B,5.039B,,5.039B,599.00M,,599.00M,,1.372B,7.01B,14.57B,735.00M,17.05B,277.00M,-6.00M,18.06B
2008-10,322.00M,445.00M,767.00M,,,,8.327B,230.00M,197.00M,9.521B,,,,,,,,30.08B,-7.475B,22.60B,,,,,906.00M,23.51B,33.03B,4.831B,,,4.831B,516.00M,5.347B,,,283.00M,,283.00M,748.00M,748.00M,2.053B,8.431B,5.044B,,5.044B,751.00M,,751.00M,,846.00M,6.641B,15.07B,734.00M,17.01B,215.00M,-4.00M,17.96B
2008-07,477.00M,377.00M,854.00M,,,,7.939B,275.00M,236.00M,9.304B,,,,,,,,29.54B,-7.475B,22.07B,,,,,1.179B,23.24B,32.55B,4.786B,,,4.786B,492.00M,5.278B,,,220.00M,,220.00M,816.00M,816.00M,2.214B,8.528B,5.05B,,5.05B,641.00M,,641.00M,,824.00M,6.515B,15.04B,732.00M,16.65B,118.00M,8.00M,17.51B
2008-04,913.00M,295.00M,1.208B,,,,8.438B,259.00M,253.00M,10.16B,,,,,,,,29.12B,-7.475B,21.64B,,,,,855.00M,22.50B,32.65B,5.345B,,,5.345B,481.00M,5.826B,,,181.00M,,181.00M,893.00M,893.00M,2.073B,8.973B,5.576B,,5.576B,699.00M,,699.00M,,787.00M,7.062B,16.04B,731.00M,15.84B,48.00M,5.00M,16.62B
2008-01,281.00M,249.00M,530.00M,,,,7.611B,247.00M,298.00M,8.686B,0.00,5.566B,13.10B,8.118B,,2.053B,,28.84B,-7.475B,21.36B,,,,,822.00M,22.18B,30.87B,3.713B,,,3.713B,424.00M,4.137B,,,1.104B,,1.104B,717.00M,717.00M,1.793B,7.751B,5.576B,,5.576B,670.00M,,670.00M,,774.00M,7.02B,14.77B,729.00M,15.34B,16.00M,8.00M,16.10B
2007-10,336.00M,231.00M,567.00M,,,,7.775B,241.00M,193.00M,8.776B,,,,,,,,26.89B,-6.133B,20.76B,,,,,658.00M,21.41B,30.19B,3.895B,,,3.895B,437.00M,4.332B,,,51.00M,,51.00M,793.00M,793.00M,2.016B,7.192B,5.58B,,5.58B,615.00M,,615.00M,,748.00M,6.943B,14.14B,735.00M,15.28B,20.00M,18.00M,16.05B
2007-07,337.00M,325.00M,662.00M,,,,7.799B,209.00M,181.00M,8.851B,,,,,,,,25.96B,-6.133B,19.82B,,,,,968.00M,20.79B,29.64B,4.167B,,,4.167B,371.00M,4.538B,,,640.00M,,640.00M,819.00M,819.00M,2.043B,8.04B,4.301B,,4.301B,628.00M,,628.00M,,706.00M,5.635B,13.68B,742.00M,15.21B,11.00M,6.00M,15.97B
2007-04,629.00M,571.00M,1.20B,,,,8.501B,201.00M,155.00M,10.06B,,,,,,,,25.32B,-6.133B,19.19B,,,,,725.00M,19.91B,29.97B,5.211B,,,5.211B,377.00M,5.588B,,,92.00M,,92.00M,851.00M,851.00M,2.09B,8.621B,4.306B,,4.306B,657.00M,,657.00M,,659.00M,5.622B,14.24B,753.00M,14.97B,,5.00M,15.73B
2007-01,364.00M,432.00M,796.00M,,,,7.144B,161.00M,213.00M,8.314B,,,,,,,,25.10B,-6.133B,18.97B,,,,,482.00M,19.45B,27.77B,3.524B,,,3.524B,372.00M,3.896B,,,111.00M,,111.00M,731.00M,731.00M,1.801B,6.539B,4.325B,,4.325B,735.00M,,735.00M,,443.00M,5.503B,12.04B,762.00M,14.86B,102.00M,1.00M,15.72B
2006-10,657.00M,464.00M,1.121B,,,,7.219B,157.00M,125.00M,8.622B,,,,,,,,23.25B,-5.065B,18.19B,,,,,363.00M,18.55B,27.17B,3.416B,,,3.416B,373.00M,3.789B,,,89.00M,,89.00M,846.00M,846.00M,1.99B,6.714B,4.337B,,4.337B,683.00M,,683.00M,,353.00M,5.373B,12.09B,760.00M,14.32B,,3.00M,15.09B
2006-07,316.00M,456.00M,772.00M,,,,7.176B,165.00M,215.00M,8.328B,,,,,,,,22.39B,-5.065B,17.32B,,,,,388.00M,17.71B,26.04B,3.629B,,,3.629B,316.00M,3.945B,,,32.00M,,32.00M,826.00M,826.00M,1.859B,6.662B,3.41B,,3.41B,711.00M,,711.00M,,334.00M,4.455B,11.12B,769.00M,13.84B,307.00M,1.00M,14.92B
2006-04,1.14B,517.00M,1.657B,20.00M,20.00M,,7.817B,175.00M,119.00M,9.788B,,,,,,,,21.82B,-5.065B,16.76B,,,,,480.00M,17.24B,27.03B,4.553B,,,4.553B,313.00M,4.866B,,,33.00M,,33.00M,853.00M,853.00M,2.228B,7.98B,3.446B,,3.446B,717.00M,,717.00M,,304.00M,4.467B,12.45B,389.00M,12.98B,1.205B,2.00M,14.58B
