,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,482.90M,,,-78.10M,-10.70M,-88.80M,,17.40M,17.40M,5.20M,,30.90M,,23.20M,169.60M,-276.80M,168.50M,,44.50M,105.80M,576.60M,-24.50M,,-24.50M,-9.70M,-88.70M,,-122.90M,-17.20M,,-17.20M,13.60M,-420.70M,-407.10M,-127.30M,-127.30M,,-161.80M,-713.40M,8.970B,-259.70M,15.80M,8.726B,13.60M,0.00,-17.20M,-420.70M,272.10M,10.80M
2017-12,-571.90M,,,-4.70M,-35.20M,-39.90M,,20.90M,20.90M,-49.90M,,30.30M,,24.40M,-128.60M,1.390B,-168.50M,,-186.10M,906.50M,320.40M,-19.20M,,-19.20M,,-39.40M,,-58.60M,-2.40M,,-2.40M,,-198.70M,-198.70M,-111.70M,-111.70M,,261.70M,-51.10M,8.750B,210.70M,10.00M,8.970B,,0.00,-2.40M,-198.70M,38.80M,14.80M
2017-09,476.50M,,,-914.70M,-19.50M,-934.20M,,18.00M,18.00M,15.80M,,28.40M,,22.70M,-76.30M,0.50M,460.30M,,165.40M,549.90M,177.10M,-25.90M,,-25.90M,0.00,13.00M,0.00,-12.90M,-331.50M,,-331.50M,11.90M,-164.70M,-152.80M,-111.80M,-111.80M,,370.90M,-225.20M,8.786B,-61.00M,24.50M,8.750B,11.90M,19.90M,-351.40M,-164.70M,191.70M,8.80M
2017-06,459.40M,,,-22.50M,-17.90M,-40.40M,,21.80M,21.80M,-7.60M,,31.70M,,8.10M,-9.60M,40.00M,-240.50M,,81.10M,-129.00M,344.00M,-20.20M,,-20.20M,0.00,11.00M,0.00,-9.20M,-243.60M,,-243.60M,0.00,-175.50M,-175.50M,-112.70M,-112.70M,,162.80M,-369.00M,8.776B,-34.20M,44.30M,8.786B,0.00,0.00,-243.60M,-175.50M,188.50M,13.90M
2017-03,435.00M,,,8.80M,-36.30M,-27.50M,,20.60M,20.60M,7.50M,,32.90M,,22.10M,-55.80M,-57.90M,-291.60M,,82.80M,-322.50M,168.10M,-16.00M,,-16.00M,-14.00M,162.50M,0.00,132.50M,-63.70M,,-63.70M,13.00M,-168.90M,-155.90M,-113.30M,-113.30M,,337.00M,4.10M,8.455B,304.70M,16.60M,8.776B,13.00M,0.30M,-64.00M,-168.90M,298.90M,17.40M
2016-12,418.80M,,,-2.00M,-34.20M,-36.20M,,19.90M,19.90M,-6.90M,,30.40M,,4.20M,-19.30M,125.40M,71.80M,,-161.90M,16.00M,446.20M,-12.80M,,-12.80M,,3.60M,-49.20M,-58.40M,-2.80M,,-2.80M,,-256.20M,-256.20M,-103.40M,-103.40M,,-3.50M,-365.90M,8.483B,21.90M,-50.40M,8.455B,,0.40M,-3.20M,-256.20M,33.10M,13.40M
2016-09,473.00M,,,6.40M,-37.10M,-4.20M,,21.30M,21.30M,17.00M,-28.20M,27.50M,0.60M,20.70M,-14.50M,-62.30M,103.10M,,8.30M,34.60M,562.30M,-36.20M,,-36.20M,0.00,136.40M,,100.20M,-90.70M,,-90.70M,10.60M,-251.00M,-240.40M,-104.10M,-104.10M,,10.20M,-425.00M,8.242B,237.50M,3.70M,8.483B,10.60M,3.30M,-94.00M,-251.00M,198.30M,22.10M
2016-06,461.50M,,,3.40M,-11.40M,-8.30M,,19.40M,19.40M,12.20M,0.00,33.70M,-0.30M,23.40M,7.10M,51.90M,73.10M,,62.00M,194.10M,735.70M,-26.30M,,-26.30M,0.00,19.30M,,-7.00M,-27.20M,,-27.20M,0.00,-322.70M,-322.70M,-105.70M,-105.70M,,-53.60M,-509.20M,8.041B,219.50M,-18.40M,8.242B,0.00,11.20M,-38.40M,-322.70M,126.60M,17.80M
2016-03,360.80M,,,2.30M,16.60M,-0.10M,,23.80M,23.80M,-18.40M,28.20M,36.30M,-0.30M,-2.80M,39.10M,-216.40M,-197.10M,,81.40M,-293.00M,134.50M,-16.00M,,-16.00M,0.00,25.80M,,9.80M,51.00M,,51.00M,13.50M,-352.80M,-339.30M,-107.40M,-107.40M,,-7.40M,-403.10M,8.269B,-258.80M,30.80M,8.041B,13.50M,111.70M,-60.70M,-352.80M,385.60M,20.30M
2015-12,462.40M,,,7.60M,-24.80M,-24.40M,,22.60M,22.60M,-1.80M,,34.00M,,37.70M,-42.50M,136.60M,-101.00M,,-228.40M,-235.30M,295.20M,-19.10M,,-19.10M,,108.30M,,89.20M,-26.90M,,-26.90M,,-381.50M,-381.50M,-91.50M,-91.50M,,36.50M,-463.40M,8.368B,-79.00M,-20.10M,8.269B,,1.00M,-27.90M,-381.50M,48.10M,15.50M
2015-09,381.50M,,,2.00M,72.50M,72.60M,,24.80M,24.80M,4.50M,7.40M,33.50M,-2.90M,15.40M,41.10M,-51.80M,-113.60M,,24.60M,-99.70M,437.10M,-25.30M,,-25.30M,,38.90M,,13.60M,-42.90M,,-42.90M,11.90M,-500.30M,-488.40M,-92.40M,-92.40M,,108.70M,-515.00M,8.426B,-64.30M,6.00M,8.368B,11.90M,117.80M,-160.70M,-500.30M,218.90M,20.50M
2015-06,534.00M,,,-10.20M,-1.40M,-25.60M,,23.20M,23.20M,-10.10M,0.80M,33.70M,-2.90M,31.50M,5.50M,41.70M,-55.30M,,117.00M,108.90M,693.50M,-13.80M,,-13.80M,,142.00M,,128.20M,-280.60M,,-280.60M,0.00,-218.30M,-218.30M,-93.00M,-93.00M,,39.70M,-552.20M,8.122B,269.50M,34.60M,8.426B,0.00,137.40M,-418.00M,-218.30M,187.70M,21.00M
2015-03,622.90M,,,-14.80M,-1.20M,-20.60M,,24.50M,24.50M,-18.20M,0.00,37.40M,-3.30M,28.30M,5.30M,-201.10M,-10.10M,,83.90M,-122.00M,549.00M,-13.60M,,-13.60M,,30.20M,,16.60M,368.90M,,368.90M,13.60M,-190.00M,-176.40M,-405.20M,-405.20M,,-4.40M,-217.10M,7.885B,348.50M,-111.40M,8.122B,13.60M,493.80M,-124.90M,-190.00M,461.40M,14.20M
2014-12,566.30M,,,-5.90M,-6.70M,-23.70M,,24.90M,24.90M,23.80M,,35.40M,-1.90M,40.70M,-6.70M,150.80M,21.20M,,-258.40M,-93.10M,572.40M,-16.10M,,-16.10M,,106.60M,,90.50M,-60.10M,,-60.10M,,-151.20M,-151.20M,-75.80M,-75.80M,,-40.80M,-327.90M,7.596B,335.00M,-45.80M,7.885B,,218.50M,-278.60M,-151.20M,57.00M,21.90M
2014-09,630.80M,,,1.30M,0.10M,-16.30M,,21.70M,21.70M,22.30M,,30.80M,-4.10M,28.80M,20.00M,-5.30M,-36.60M,,35.00M,13.10M,727.10M,-14.90M,,-14.90M,,120.00M,1.20M,106.30M,-49.10M,,-49.10M,12.20M,-177.80M,-165.60M,-75.10M,-75.10M,,-573.20M,-863.00M,7.698B,-29.60M,-72.00M,7.596B,12.20M,192.00M,-241.10M,-177.80M,212.00M,16.40M
2014-06,632.10M,,,-52.00M,-33.60M,-93.40M,,22.10M,22.10M,-9.40M,,32.60M,-3.10M,64.90M,-21.70M,37.20M,-13.30M,,123.50M,125.70M,771.50M,-9.80M,,-9.80M,,110.90M,181.30M,282.40M,-47.00M,,-47.00M,0.00,-128.50M,-128.50M,-75.40M,-75.40M,,-18.00M,-268.90M,6.911B,785.00M,1.70M,7.698B,0.00,193.30M,-240.30M,-128.50M,230.20M,23.00M
2014-03,552.80M,,,17.60M,-9.70M,-5.60M,,25.70M,25.70M,-2.50M,,33.40M,-2.20M,-2.10M,14.20M,-224.40M,-246.00M,,171.40M,-284.80M,314.70M,-13.40M,,-13.40M,,-114.60M,14.10M,-113.90M,-37.40M,,-37.40M,13.20M,-178.80M,-165.60M,-75.80M,-75.80M,,287.90M,9.10M,6.700B,209.90M,1.30M,6.911B,13.20M,218.00M,-255.40M,-178.80M,469.10M,18.30M
2013-12,596.00M,,,16.20M,-24.90M,-35.50M,,25.10M,25.10M,-10.40M,,30.90M,-2.80M,42.40M,-126.20M,210.90M,-267.20M,,-138.50M,-321.00M,324.70M,-15.00M,,-15.00M,,99.90M,30.90M,115.80M,-46.50M,,-46.50M,7.20M,-137.10M,-129.90M,-64.10M,-64.10M,,168.00M,-72.50M,6.323B,368.00M,8.60M,6.700B,7.20M,190.30M,-236.80M,-137.10M,68.00M,26.10M
2013-09,510.50M,,,30.30M,-19.70M,-17.00M,,23.00M,23.00M,,,27.20M,-4.30M,23.70M,-79.90M,26.40M,-39.60M,,38.10M,-55.00M,508.10M,-20.60M,,-20.60M,-3.10M,62.20M,16.80M,55.30M,-91.40M,,-91.40M,12.50M,-264.60M,-252.10M,-61.60M,-61.60M,,-105.20M,-510.30M,6.232B,53.10M,37.90M,6.323B,12.50M,213.00M,-304.40M,-264.60M,203.20M,19.90M
2013-06,562.10M,,,-13.70M,-12.10M,-31.00M,,23.70M,23.70M,,,29.10M,-4.30M,46.70M,13.50M,22.00M,-18.70M,,112.70M,129.50M,755.80M,-13.40M,,-13.40M,-1.80M,103.80M,-9.00M,79.60M,-54.10M,,-54.10M,1.50M,-105.10M,-103.60M,-61.80M,-61.80M,,61.60M,-157.90M,5.556B,677.50M,-1.20M,6.232B,1.50M,103.70M,-157.80M,-105.10M,192.60M,30.60M
2013-03,593.40M,,,-31.90M,-20.40M,-50.50M,,25.80M,25.80M,,,29.50M,-6.00M,35.20M,-145.60M,15.40M,-76.30M,,64.50M,-142.00M,485.40M,-15.90M,,-15.90M,0.00,38.00M,41.40M,63.50M,-65.40M,,-65.40M,15.90M,-23.30M,-7.40M,-1.40M,-1.40M,,-135.30M,-209.50M,5.243B,339.40M,-26.30M,5.556B,15.90M,167.60M,-233.00M,-23.30M,368.50M,20.70M
2012-12,504.70M,,,-14.10M,-21.80M,-39.00M,,21.00M,21.00M,,,27.60M,-5.70M,36.50M,-56.10M,40.10M,-76.90M,,-165.80M,-258.70M,286.40M,-12.30M,,-12.30M,5.70M,66.00M,-24.90M,34.50M,-533.00M,,-533.00M,11.40M,-98.00M,-86.60M,-757.90M,-757.90M,,237.10M,-1.140B,6.051B,-819.50M,10.80M,5.243B,11.40M,133.50M,-666.50M,-98.00M,61.60M,30.80M
2012-09,504.00M,,,-9.90M,-18.30M,-36.30M,,18.70M,18.70M,,,23.90M,-1.00M,40.80M,-62.20M,2.60M,-341.50M,,31.40M,-369.70M,180.40M,-16.50M,,-16.50M,0.00,46.90M,233.30M,263.70M,582.80M,0.00,582.80M,17.80M,-98.60M,-80.80M,-57.50M,-57.50M,,-238.70M,205.80M,5.385B,649.90M,16.40M,6.051B,17.80M,672.10M,-89.30M,-98.60M,182.80M,16.10M
2012-06,430.00M,,,-1.00M,11.30M,-1.00M,,-45.00M,-45.00M,,,27.10M,-1.10M,100.00M,-61.90M,-18.60M,-117.80M,,95.80M,-102.50M,407.50M,-16.60M,,-16.60M,0.00,80.30M,104.40M,168.10M,-32.00M,-25.00M,-57.00M,3.10M,-282.00M,-278.90M,-58.10M,-58.10M,,150.00M,-244.00M,5.079B,331.60M,-25.60M,5.385B,3.10M,20.00M,-52.00M,-282.00M,194.90M,29.30M
2012-03,487.80M,,,17.30M,-39.10M,-25.40M,,55.80M,55.80M,,,24.60M,-0.20M,14.30M,-70.80M,-117.30M,-174.40M,,116.20M,-246.30M,310.60M,-18.50M,,-18.50M,0.00,202.10M,21.60M,205.20M,-98.40M,0.00,-98.40M,15.40M,-125.90M,-110.50M,-0.50M,-0.50M,,-155.90M,-365.30M,4.912B,150.50M,16.70M,5.079B,15.40M,16.20M,-114.60M,-125.90M,347.50M,18.20M
2011-12,493.70M,,,10.10M,-22.50M,-47.90M,,52.60M,52.60M,,,25.70M,-17.40M,6.70M,-27.90M,72.80M,-147.10M,,-243.50M,-345.70M,167.70M,-26.80M,,-26.80M,0.00,225.40M,37.80M,236.40M,-109.30M,-5.00M,-114.30M,12.80M,-290.90M,-278.10M,-546.90M,-546.90M,,257.90M,-681.40M,5.199B,-277.30M,-9.40M,4.912B,12.80M,6.60M,-115.90M,-290.90M,94.60M,29.70M
2011-09,356.92M,,,-43.23M,60.34M,100.96M,,-93.36M,-93.36M,3.471M,-13.61M,21.43M,-0.789M,103.14M,-7.378M,-48.82M,20.90M,,107.57M,72.26M,613.20M,-46.98M,,-46.98M,-53.03M,99.42M,3.836M,3.239M,-80.61M,-0.061M,-80.67M,13.64M,-337.10M,-323.46M,-55.11M,-55.11M,,360.80M,-98.44M,4.720B,518.00M,-39.37M,5.199B,13.64M,20.00M,-100.57M,-337.10M,175.87M,18.95M
2011-06,478.20M,,,25.49M,-15.82M,0.032M,,58.14M,58.14M,-6.189M,0.00,22.79M,-0.888M,21.90M,-69.46M,186.03M,-127.17M,,-21.80M,-32.40M,520.26M,-19.57M,,-19.57M,-0.461M,-138.54M,37.53M,-121.04M,-79.42M,-0.007M,-79.43M,7.049M,-203.56M,-196.52M,-55.51M,-55.51M,,-24.48M,-355.94M,4.668B,43.28M,8.265M,4.720B,7.049M,0.00,-79.43M,-203.56M,151.26M,29.78M
2011-03,495.56M,,,6.278M,-19.53M,-41.49M,,61.15M,61.15M,-3.239M,0.45M,22.70M,-0.976M,22.18M,-17.68M,-48.87M,-230.01M,,4.20M,-292.36M,242.57M,-11.14M,,-11.14M,-57.61M,336.63M,41.72M,309.60M,-90.45M,2.735M,-87.71M,15.85M,-215.00M,-199.15M,-55.92M,-55.92M,,121.67M,-221.11M,4.321B,331.05M,16.36M,4.668B,15.85M,0.00,-87.71M,-215.00M,434.78M,43.27M
2010-12,490.12M,,,11.46M,-23.89M,-39.40M,,62.48M,62.48M,5.957M,13.16M,21.78M,-12.05M,22.88M,-135.78M,9.662M,-182.12M,,9.13M,-299.10M,245.78M,-54.00M,,-54.00M,,208.28M,89.82M,244.10M,-89.72M,-2.767M,-92.49M,13.06M,-198.54M,-185.48M,-49.76M,-49.76M,,35.01M,-292.71M,4.124B,197.17M,0.148M,4.321B,13.06M,0.00,-92.49M,-198.54M,,
2010-09,375.86M,,,,-40.34M,-43.95M,,66.60M,66.60M,-10.10M,0.037M,18.99M,-0.665M,68.78M,-42.37M,110.26M,49.41M,,-213.58M,-96.28M,311.06M,-4.413M,,-4.413M,0.00,-79.90M,60.99M,-23.33M,-0.036M,30.01M,29.97M,13.44M,-172.04M,-158.60M,-49.61M,-49.61M,,-2.044M,-180.28M,3.991B,107.46M,25.57M,4.124B,13.44M,-0.036M,30.01M,-172.04M,150.09M,1.499M
2010-06,359.68M,,,,37.73M,25.96M,,69.61M,69.61M,0.094M,0.00,22.34M,-0.62M,-28.69M,-96.88M,110.18M,-21.73M,,174.64M,166.21M,643.54M,-25.12M,,-25.12M,0.00,107.71M,-60.99M,21.60M,841.48M,-286.12M,546.36M,15.43M,-212.27M,-196.84M,-50.06M,-50.06M,,19.88M,319.34M,3.024B,984.48M,-17.48M,3.991B,15.43M,907.48M,-130.51M,-212.27M,383.21M,5.601M
2010-03,358.41M,,,,-13.14M,-13.55M,,65.19M,65.19M,-1.986M,0.001M,20.75M,-0.913M,19.84M,-41.07M,-4.15M,-26.34M,,21.58M,-49.99M,379.32M,-18.27M,,-18.27M,0.00,-81.85M,,-100.12M,44.56M,29.16M,73.72M,4.633M,-117.50M,-112.86M,-50.86M,-50.86M,,-3.362M,-93.37M,2.850B,185.83M,-12.52M,3.024B,4.633M,44.56M,0.00,-117.50M,-40.48M,-1.707M
2009-12,357.55M,,,,-4.15M,-5.865M,,66.00M,66.00M,-0.106M,1.462M,19.62M,-9.502M,11.58M,-101.98M,82.61M,-74.24M,,-19.53M,-113.14M,317.08M,-9.59M,,-9.59M,,78.74M,,69.15M,0.00,192.45M,201.45M,8.303M,-174.00M,-165.69M,-732.97M,-732.97M,,56.62M,-640.59M,3.104B,-254.37M,0.224M,2.850B,8.303M,,0.00,-174.00M,40.48M,1.707M
2009-09,378.44M,,-11.55M,,-26.34M,-36.22M,,51.28M,51.28M,36.90M,3.324M,22.52M,-1.538M,-0.163M,-92.82M,65.17M,,,-274.50M,-302.15M,152.39M,-12.22M,,-12.22M,-0.533M,741.42M,-64.56M,664.11M,-163.06M,62.69M,-100.38M,9.634M,-158.23M,-148.60M,-48.51M,-48.51M,,211.43M,-86.06M,2.371B,730.44M,3.343M,3.104B,9.634M,-56.33M,-94.75M,-158.23M,,
2009-06,306.85M,-36.48M,-0.791M,,8.608M,-28.66M,,40.85M,40.85M,-8.221M,2.092M,22.15M,-0.228M,0.755M,-25.14M,88.15M,,,-156.20M,-93.19M,242.40M,-4.797M,,-4.797M,0.00,-235.00M,47.66M,-192.14M,-16.39M,-23.59M,-39.98M,14.72M,-109.71M,-94.98M,-48.80M,-48.80M,-9.928M,31.18M,-162.51M,2.444B,-112.25M,38.58M,2.371B,14.72M,37.01M,-76.99M,-109.71M,,
2009-03,109.07M,11.02M,0.28M,,,11.30M,,42.46M,42.46M,-12.03M,23.80M,21.05M,-0.145M,1.095M,-35.99M,-34.59M,,38.72M,39.92M,8.055M,204.66M,-5.847M,,-5.847M,0.00,-338.87M,2.586M,-342.13M,-139.11M,-11.21M,-150.32M,,-68.29M,-68.29M,-48.94M,-48.94M,6.844M,16.59M,-244.11M,2.837B,-381.58M,-10.88M,2.444B,,-113.32M,-37.00M,-68.29M,,
2008-12,109.93M,25.46M,12.06M,,,37.52M,,46.68M,46.68M,-3.472M,33.85M,18.72M,-3.012M,4.102M,112.16M,-229.68M,,-38.72M,-46.14M,-202.37M,41.94M,-21.78M,,-21.78M,0.533M,167.04M,14.32M,160.10M,188.03M,22.82M,210.84M,,-40.68M,-40.68M,-46.54M,-46.54M,3.084M,25.36M,152.07M,2.528B,354.12M,-44.88M,2.837B,,278.39M,-67.55M,-40.68M,,
2008-09,300.49M,,,,-15.23M,-28.80M,,58.40M,58.40M,0.055M,8.123M,23.22M,-0.576M,2.996M,69.62M,45.11M,,,-480.88M,-366.14M,-2.237M,-12.61M,,-12.61M,0.00,-578.88M,,-591.49M,-207.53M,,-207.53M,,-226.09M,-226.09M,-47.01M,-47.01M,6.186M,615.42M,140.98M,3.044B,-452.75M,-63.82M,2.528B,,98.37M,-305.90M,-226.09M,,
2008-06,403.31M,,,,11.28M,5.129M,,51.71M,51.71M,-2.759M,0.034M,20.86M,-0.334M,4.381M,-19.08M,93.88M,,,377.25M,452.04M,934.37M,-23.24M,,-23.24M,6.717M,-455.53M,,-472.05M,-910.79M,,-910.79M,,-175.83M,-175.83M,-47.27M,-47.27M,2.152M,53.68M,-1.078B,3.664B,-615.74M,-3.849M,3.044B,,489.22M,-1.400B,-175.83M,-375.78M,-23.36M
2008-03,366.10M,,,,-7.593M,-10.02M,,52.82M,52.82M,13.44M,5.53M,20.33M,-0.395M,3.424M,-18.60M,-90.93M,,37.45M,-106.05M,-178.13M,273.10M,-19.82M,,-19.82M,0.00,322.34M,,302.52M,506.31M,,506.31M,,-360.88M,-360.88M,-47.96M,-47.96M,2.484M,99.98M,199.94M,2.882B,775.55M,5.882M,3.664B,,540.08M,-33.77M,-360.88M,375.78M,23.36M
2007-12,518.32M,,,,-16.81M,-31.07M,,52.28M,52.28M,0.003M,0.158M,16.30M,-26.60M,2.606M,56.52M,-74.91M,,-37.45M,-272.15M,-327.98M,204.01M,-14.55M,,-14.55M,0.00,-320.55M,,-335.10M,99.48M,,99.48M,,-780.51M,-780.51M,-36.79M,-36.79M,2.495M,152.50M,-562.82M,3.584B,-693.92M,-7.993M,2.882B,,124.19M,-24.70M,-780.51M,,
2007-09,436.91M,,,,-7.504M,-31.09M,,31.26M,31.26M,,,32.31M,2.873M,-18.57M,-113.94M,173.04M,,,-395.32M,-336.22M,139.78M,-24.72M,,-24.72M,-3.182M,-149.00M,-23.07M,-199.97M,130.59M,,130.59M,,-163.30M,-163.30M,-36.88M,-36.88M,24.72M,60.38M,15.49M,3.576B,-44.69M,52.83M,3.584B,,171.73M,-41.14M,-163.30M,,
2007-06,468.36M,,,,-56.06M,-129.28M,,58.56M,58.56M,,,19.66M,-36.39M,162.20M,-116.06M,83.34M,,,181.76M,149.04M,670.72M,-25.73M,,-25.73M,-86.71M,-159.69M,-16.00M,-288.14M,-530.89M,,-530.89M,,-521.77M,-521.77M,-37.44M,-37.44M,41.41M,262.98M,-785.70M,3.979B,-403.12M,0.00,3.576B,,105.28M,-636.16M,-521.77M,,
2007-03,440.87M,,,,,,,56.26M,56.26M,,,38.18M,,-299.89M,,76.46M,,,,76.46M,311.87M,-26.10M,,-26.10M,0.00,137.55M,47.13M,158.58M,388.58M,,388.58M,-16.44M,-529.87M,-546.31M,-38.04M,-38.04M,,-301.56M,-497.32M,4.006B,-26.88M,0.00,3.979B,-16.44M,138.00M,250.58M,-529.87M,,
2006-12,426.80M,,,,,,,52.54M,52.54M,,,,,159.13M,,-87.20M,,,,-87.20M,551.27M,-17.59M,,-17.59M,-2.414M,43.36M,,23.36M,-128.38M,,-128.38M,16.44M,-73.72M,-57.28M,-30.39M,-30.39M,,34.33M,-181.72M,3.613B,392.91M,0.00,4.006B,16.44M,122.20M,-250.58M,-73.72M,,
