,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,5.343B,5.554B,944.00M,4.61B,1.127B,760.00M,,,338.00M,231.00M,-107.00M,-3.00M,1.884B,2.726B,231.00M,338.00M,-107.00M,,-107.00M,2.619B,308.00M,2.311B,,2.311B,2.311B,3.428B,471.00M,2.957B,3.27,,,3.27,3.27,3.25,,,3.25,3.25,707.00M,711.00M,1.32
2017-12,5.569B,5.802B,1.059B,4.743B,1.427B,1.043B,,,332.00M,301.00M,-31.00M,28.00M,2.498B,2.245B,301.00M,332.00M,-31.00M,,-31.00M,2.214B,6.478B,-4.264B,,-4.264B,-4.264B,2.995B,449.00M,2.546B,-5.89,,,-5.89,-5.89,-5.89,,,-5.89,-5.89,725.00M,726.00M,1.15
2017-09,5.453B,5.773B,990.00M,4.783B,1.17B,877.00M,,,325.00M,267.00M,-58.00M,297.00M,2.344B,2.439B,267.00M,325.00M,-58.00M,,-58.00M,2.381B,360.00M,2.021B,,2.021B,2.021B,3.17B,464.00M,2.706B,2.78,,,2.78,2.78,2.76,,,2.76,2.76,728.00M,733.00M,1.15
2017-06,5.574B,5.81B,1.024B,4.786B,1.209B,873.00M,,,321.00M,165.00M,-156.00M,6.00M,2.088B,2.698B,165.00M,321.00M,-156.00M,,-156.00M,2.542B,391.00M,2.151B,,2.151B,2.151B,3.381B,518.00M,2.863B,2.93,,,2.93,2.93,2.91,,,2.91,2.91,734.00M,738.00M,1.15
2017-03,5.199B,5.464B,996.00M,4.468B,1.064B,769.00M,,,326.00M,195.00M,-131.00M,44.00M,1.877B,2.591B,195.00M,326.00M,-131.00M,,-131.00M,2.46B,389.00M,2.071B,,2.071B,2.071B,3.31B,524.00M,2.786B,2.81,,,2.81,2.81,2.79,,,2.79,2.79,737.00M,741.00M,1.15
2016-12,5.663B,5.965B,1.067B,4.898B,1.323B,1.078B,,,328.00M,126.00M,-202.00M,12.00M,2.413B,2.485B,126.00M,328.00M,-202.00M,,-202.00M,2.283B,348.00M,1.935B,,1.935B,1.935B,3.17B,559.00M,2.611B,2.61,,,2.61,2.61,2.59,,,2.59,2.59,736.00M,742.00M,1.0
2016-09,5.516B,5.811B,1.027B,4.784B,1.244B,990.00M,,,325.00M,216.00M,-109.00M,23.00M,2.257B,2.527B,216.00M,325.00M,-109.00M,,-109.00M,2.418B,401.00M,2.017B,,2.017B,2.017B,3.246B,503.00M,2.743B,2.7,,,2.7,2.7,2.68,,,2.68,2.68,747.00M,753.00M,1.0
2016-06,5.474B,5.688B,1.05B,4.638B,1.292B,900.00M,,,313.00M,137.00M,-176.00M,66.00M,2.258B,2.38B,137.00M,313.00M,-176.00M,,-176.00M,2.204B,334.00M,1.87B,,1.87B,1.87B,3.039B,522.00M,2.517B,2.49,,,2.49,2.49,2.47,,,2.47,2.47,751.00M,756.00M,1.0
2016-03,5.239B,5.527B,1.018B,4.509B,1.203B,872.00M,,,294.00M,150.00M,-144.00M,32.00M,2.107B,2.402B,150.00M,294.00M,-144.00M,,-144.00M,2.258B,358.00M,1.90B,,1.90B,1.90B,3.073B,521.00M,2.552B,2.52,,,2.52,2.52,2.5,,,2.5,2.5,753.00M,760.00M,1.0
2015-12,5.329B,5.536B,1.071B,4.465B,1.416B,1.093B,,,284.00M,164.00M,-120.00M,-77.00M,2.432B,2.033B,164.00M,284.00M,-120.00M,,-120.00M,1.913B,113.00M,1.80B,,1.80B,1.80B,2.739B,542.00M,2.197B,2.39,,,2.39,2.39,2.37,,,2.37,2.37,752.00M,763.00M,0.79
2015-09,5.516B,5.723B,1.034B,4.689B,1.244B,1.119B,,,282.00M,135.00M,-147.00M,-13.00M,2.35B,2.339B,135.00M,282.00M,-147.00M,,-147.00M,2.192B,329.00M,1.863B,,1.863B,1.863B,2.997B,523.00M,2.474B,2.46,,,2.46,2.46,2.44,,,2.44,2.44,757.00M,764.00M,0.79
2015-06,5.225B,5.37B,1.089B,4.281B,1.16B,964.00M,,,277.00M,198.00M,-79.00M,81.00M,2.205B,2.076B,198.00M,277.00M,-79.00M,,-79.00M,1.997B,344.00M,1.653B,,1.653B,1.653B,2.793B,519.00M,2.274B,2.18,,,2.18,2.18,2.15,,,2.15,2.15,760.00M,768.00M,0.79
2015-03,4.874B,5.033B,1.033B,4.00B,1.026B,894.00M,,,252.00M,106.00M,-146.00M,58.00M,1.978B,2.022B,106.00M,252.00M,-146.00M,,-146.00M,1.876B,253.00M,1.623B,,1.623B,1.623B,2.652B,524.00M,2.128B,2.13,,,2.13,2.13,2.11,,,2.11,2.11,761.00M,770.00M,0.79
2014-12,5.174B,5.331B,1.183B,4.148B,1.327B,1.234B,,,261.00M,88.00M,-173.00M,128.00M,2.689B,1.459B,88.00M,261.00M,-173.00M,,-173.00M,1.286B,-8.00M,1.294B,,1.294B,1.294B,2.072B,525.00M,1.547B,1.7,,,1.7,1.7,1.68,,,1.68,1.68,762.00M,773.00M,0.61
2014-09,4.848B,5.031B,1.068B,3.963B,1.213B,1.018B,,,269.00M,140.00M,-129.00M,266.00M,2.497B,1.466B,140.00M,269.00M,-129.00M,,-129.00M,1.337B,93.00M,1.244B,,1.244B,1.244B,2.149B,543.00M,1.606B,1.63,,,1.63,1.63,1.61,,,1.61,1.61,761.00M,771.00M,0.61
2014-06,4.949B,5.18B,1.081B,4.099B,1.136B,1.018B,,,282.00M,138.00M,-144.00M,43.00M,2.197B,1.902B,138.00M,282.00M,-144.00M,,-144.00M,1.758B,211.00M,1.547B,,1.547B,1.547B,2.546B,506.00M,2.04B,2.04,,,2.04,2.04,2.01,,,2.01,2.01,759.00M,768.00M,0.61
2014-03,4.356B,4.521B,1.09B,3.431B,1.023B,1.027B,,,259.00M,99.00M,-160.00M,17.00M,2.067B,1.364B,99.00M,259.00M,-160.00M,,-160.00M,1.204B,131.00M,1.073B,,1.073B,1.073B,1.981B,518.00M,1.463B,1.42,,,1.42,1.42,1.4,,,1.4,1.4,757.00M,768.00M,0.61
2013-12,4.799B,5.011B,1.029B,3.982B,1.521B,1.249B,,,261.00M,88.00M,-173.00M,25.00M,2.795B,1.187B,88.00M,261.00M,-173.00M,,-173.00M,1.014B,-7.00M,1.021B,,1.021B,1.021B,1.719B,444.00M,1.275B,1.35,,,1.35,1.35,1.33,,,1.33,1.33,756.00M,768.00M,0.47
2013-09,4.647B,4.748B,788.00M,3.96B,1.249B,989.00M,,,257.00M,72.00M,-185.00M,34.00M,2.272B,1.688B,72.00M,257.00M,-185.00M,,-185.00M,1.503B,135.00M,1.368B,,1.368B,1.368B,2.048B,288.00M,1.76B,1.81,,,1.81,1.81,1.79,,,1.79,1.79,754.00M,766.00M,0.47
2013-06,4.595B,4.679B,785.00M,3.894B,1.256B,967.00M,,,241.00M,96.00M,-145.00M,121.00M,2.344B,1.55B,96.00M,241.00M,-145.00M,,-145.00M,1.405B,147.00M,1.258B,,1.258B,1.258B,1.923B,277.00M,1.646B,1.67,,,1.67,1.67,1.65,,,1.65,1.65,752.00M,764.00M,0.47
2013-03,4.151B,4.238B,744.00M,3.494B,1.158B,878.00M,,,263.00M,164.00M,-99.00M,16.00M,2.052B,1.442B,164.00M,263.00M,-99.00M,,-99.00M,1.343B,-91.00M,1.434B,,1.434B,1.434B,1.883B,277.00M,1.606B,1.91,,,1.91,1.91,1.88,,,1.88,1.88,751.00M,764.00M,0.47
2012-12,4.337B,4.421B,922.00M,3.499B,1.373B,938.00M,,,291.00M,126.00M,-165.00M,100.00M,2.411B,1.088B,126.00M,291.00M,-165.00M,,-165.00M,923.00M,135.00M,788.00M,,788.00M,788.00M,1.487B,273.00M,1.214B,1.03,,,1.03,1.03,1.01,,,1.01,1.01,763.00M,781.00M,0.36
2012-09,4.201B,4.319B,775.00M,3.544B,1.131B,880.00M,,,271.00M,111.00M,-160.00M,110.00M,2.121B,1.423B,111.00M,271.00M,-160.00M,,-160.00M,1.263B,156.00M,1.107B,,1.107B,1.107B,1.821B,287.00M,1.534B,1.44,,,1.44,1.44,1.41,,,1.41,1.41,771.00M,783.00M,0.36
2012-06,4.20B,4.477B,752.00M,3.725B,1.231B,826.00M,,,256.00M,124.00M,-132.00M,79.00M,2.136B,1.589B,124.00M,256.00M,-132.00M,,-132.00M,1.457B,191.00M,1.266B,,1.266B,1.266B,1.982B,269.00M,1.713B,1.63,,,1.63,1.63,1.61,,,1.61,1.61,776.00M,785.00M,0.36
2012-03,3.901B,4.048B,750.00M,3.298B,1.079B,736.00M,,,235.00M,124.00M,-111.00M,6.00M,1.821B,1.477B,124.00M,235.00M,-111.00M,,-111.00M,1.366B,182.00M,1.184B,,1.184B,1.184B,1.86B,259.00M,1.601B,1.5,,,1.5,1.5,1.48,,,1.48,1.48,791.00M,800.00M,0.36
2011-12,3.686B,3.973B,937.00M,3.036B,1.221B,851.00M,,,195.00M,84.00M,-111.00M,23.00M,1.874B,1.162B,84.00M,195.00M,-111.00M,,-111.00M,1.051B,117.00M,934.00M,,934.00M,934.00M,1.507B,261.00M,1.246B,1.09,,,1.09,1.09,1.08,,,1.08,1.08,854.00M,858.00M,0.28
2011-09,3.944B,3.944B,605.00M,3.339B,1.125B,761.00M,74.00M,,158.00M,87.00M,-71.00M,854.00M,2.814B,525.00M,87.00M,158.00M,-71.00M,,-71.00M,454.00M,0.00,454.00M,,454.00M,454.00M,877.00M,265.00M,612.00M,0.5,0.0,,0.5,0.5,0.5,0.0,,0.5,0.5,907.00M,914.00M,0.28
2011-06,3.959B,3.959B,602.00M,3.357B,1.13B,819.00M,73.00M,,122.00M,129.00M,7.00M,3.00M,2.025B,1.332B,129.00M,122.00M,7.00M,,7.00M,1.339B,169.00M,1.17B,,1.17B,1.17B,1.722B,261.00M,1.461B,1.26,0.0,,1.26,1.26,1.25,0.0,,1.25,1.25,927.00M,935.00M,
2011-03,3.706B,3.706B,564.00M,3.142B,1.023B,736.00M,74.00M,,135.00M,148.00M,13.00M,16.00M,1.849B,1.293B,148.00M,135.00M,13.00M,,13.00M,1.306B,181.00M,1.125B,,1.125B,1.125B,1.714B,273.00M,1.441B,1.21,0.0,,1.21,1.21,1.2,0.0,,1.2,1.2,933.00M,941.00M,
2010-12,3.448B,3.841B,572.00M,3.269B,1.156B,854.00M,73.00M,,162.00M,93.00M,-69.00M,118.00M,2.201B,1.068B,93.00M,162.00M,-69.00M,,-69.00M,999.00M,-23.00M,1.022B,,1.022B,1.022B,1.422B,261.00M,1.161B,1.09,,,1.09,1.09,1.08,,,1.08,1.08,942.00M,947.00M,
2010-09,3.816B,3.816B,587.00M,3.229B,957.00M,719.00M,74.00M,,150.00M,105.00M,-45.00M,,1.75B,1.479B,105.00M,150.00M,-45.00M,,-45.00M,1.434B,198.00M,1.236B,,1.236B,1.236B,1.837B,253.00M,1.584B,1.29,0.0,,1.29,1.29,1.28,0.0,,1.28,1.28,958.00M,962.00M,
2010-06,3.804B,3.804B,553.00M,3.251B,986.00M,675.00M,73.00M,,147.00M,94.00M,-53.00M,,1.734B,1.517B,94.00M,147.00M,-53.00M,,-53.00M,1.464B,262.00M,1.202B,,1.202B,1.202B,1.862B,251.00M,1.611B,1.25,0.0,,1.25,1.25,1.25,0.0,,1.25,1.25,959.00M,964.00M,
2010-03,3.592B,3.592B,508.00M,3.084B,884.00M,646.00M,74.00M,,,,-61.00M,-1.00M,1.603B,1.481B,,,-61.00M,,-61.00M,1.42B,253.00M,1.167B,,1.167B,1.167B,1.733B,252.00M,1.481B,1.19,0.0,,1.19,1.19,1.18,0.0,,1.18,1.18,982.00M,988.00M,
2009-12,3.809B,3.809B,538.00M,3.271B,1.18B,891.00M,73.00M,,142.00M,94.00M,-48.00M,4.00M,2.148B,1.123B,94.00M,142.00M,-48.00M,,-48.00M,1.075B,144.00M,931.00M,,931.00M,931.00M,1.474B,257.00M,1.217B,0.93,0.0,,0.93,0.93,0.93,0.0,,0.93,0.93,1.004B,1.009B,
2009-09,3.812B,3.812B,545.00M,3.267B,932.00M,647.00M,74.00M,,139.00M,74.00M,-65.00M,9.00M,1.662B,1.605B,74.00M,139.00M,-65.00M,,-65.00M,1.54B,154.00M,1.386B,,1.386B,1.386B,1.951B,272.00M,1.679B,1.36,0.0,,1.36,1.36,1.36,0.0,,1.36,1.36,1.016B,1.022B,
2009-06,3.713B,3.713B,531.00M,3.182B,910.00M,693.00M,73.00M,,150.00M,50.00M,-100.00M,49.00M,1.725B,1.457B,50.00M,150.00M,-100.00M,,-100.00M,1.357B,88.00M,1.269B,,1.269B,1.269B,1.76B,253.00M,1.507B,1.25,0.0,,1.25,1.25,1.25,0.0,,1.25,1.25,1.013B,1.017B,
2009-03,3.308B,3.308B,477.00M,2.831B,798.00M,633.00M,74.00M,,147.00M,58.00M,-89.00M,5.00M,1.51B,1.321B,58.00M,147.00M,-89.00M,,-89.00M,1.232B,213.00M,1.019B,,1.019B,1.019B,1.646B,267.00M,1.379B,0.99,0.0,,0.99,0.99,0.98,0.0,,0.98,0.98,1.032B,1.037B,
2008-12,3.751B,3.751B,558.00M,3.193B,1.111B,798.00M,73.00M,,,,,74.00M,2.056B,1.137B,,,,,,919.00M,102.00M,817.00M,,817.00M,817.00M,1.763B,274.00M,1.489B,0.78,0.0,,0.78,0.78,0.77,0.0,,0.77,0.77,1.055B,1.063B,
2008-09,3.875B,3.875B,677.00M,3.198B,900.00M,729.00M,74.00M,-12.00M,,,,12.00M,1.715B,1.483B,,,,-12.00M,,1.471B,313.00M,1.158B,,1.158B,1.167B,1.751B,268.00M,1.483B,1.09,0.0,,1.099,1.09,1.09,0.0,,1.099,1.09,1.058B,1.064B,
2008-06,3.764B,3.764B,515.00M,3.249B,904.00M,809.00M,73.00M,-284.00M,,,,284.00M,2.07B,1.179B,,,,-284.00M,,1.188B,247.00M,941.00M,,941.00M,1.166B,1.444B,265.00M,1.179B,0.87,0.0,,1.079,0.87,0.87,0.0,,1.078,0.87,1.078B,1.081B,
2008-03,3.613B,3.613B,546.00M,3.067B,874.00M,694.00M,74.00M,-10.00M,,,,10.00M,1.652B,1.415B,,,,-10.00M,,1.437B,301.00M,1.136B,,1.136B,1.144B,1.681B,266.00M,1.415B,1.04,0.0,,1.047,1.04,1.04,0.0,,1.047,1.04,1.089B,1.092B,
2007-12,3.745B,3.745B,606.00M,3.139B,1.001B,822.00M,74.00M,-185.00M,,,,-24.00M,1.873B,1.266B,,,,-185.00M,,1.058B,223.00M,835.00M,,835.00M,981.01M,1.568B,302.00M,1.266B,0.76,0.0,,0.8943,0.76,0.76,0.0,,0.8936,0.76,1.087B,1.093B,
2007-09,3.611B,3.611B,792.00M,2.819B,730.00M,776.00M,76.00M,-844.00M,,,,254.00M,1.836B,983.00M,,,,-844.00M,,372.00M,171.00M,201.00M,,201.00M,749.60M,1.357B,374.00M,983.00M,0.19,0.0,,0.6952,0.19,0.18,0.0,,0.6833,0.18,1.086B,1.09B,
2007-06,3.728B,3.728B,558.00M,3.17B,860.00M,817.00M,74.00M,-289.00M,,,,289.00M,2.04B,1.13B,,,,-289.00M,,1.137B,118.00M,1.019B,,1.019B,1.278B,1.412B,282.00M,1.13B,0.9,0.0,,1.129,0.9,0.9,0.0,,1.128,0.9,1.129B,1.134B,
2007-03,3.687B,3.687B,592.00M,3.095B,770.00M,851.00M,74.00M,,,,,,1.695B,1.40B,,,,,,1.394B,283.00M,1.111B,,1.111B,1.111B,1.644B,244.00M,1.40B,0.95,0.0,,0.95,0.95,0.94,0.0,,0.94,0.94,1.167B,1.177B,
2006-12,3.835B,3.835B,561.00M,3.274B,1.03B,1.051B,74.00M,-130.00M,,,,,1.054B,2.22B,,,,-130.00M,,1.029B,196.00M,833.00M,,833.00M,938.24M,2.42B,200.00M,2.22B,0.72,0.0,,0.8106,0.72,0.71,0.0,,0.7993,0.71,1.161B,1.178B,
2006-09,3.612B,3.612B,489.00M,3.123B,807.00M,872.00M,122.00M,,,,,,1.801B,1.322B,,,,,,1.361B,259.00M,1.102B,,1.102B,1.102B,1.609B,287.00M,1.322B,0.94,0.0,,0.94,0.94,0.94,0.0,,0.94,0.94,1.167B,1.178B,
2006-06,3.604B,3.604B,493.00M,3.111B,840.00M,788.00M,87.00M,-1.101B,,,,,1.715B,1.396B,,,,-1.101B,,316.00M,302.00M,14.00M,,14.00M,674.60M,1.653B,257.00M,1.396B,0.01,0.0,,0.5732,0.01,0.01,0.0,,0.5675,0.01,1.173B,1.185B,
2006-03,3.217B,3.217B,552.00M,2.665B,689.00M,655.00M,87.00M,,,,,,1.431B,1.234B,,,,,,1.314B,313.00M,1.001B,,1.001B,1.001B,1.453B,219.00M,1.234B,0.83,0.0,,0.83,0.83,0.82,0.0,,0.82,0.82,1.202B,1.218B,
2005-12,3.271B,3.271B,511.00M,2.76B,911.00M,661.00M,87.00M,0.00,,,,0.00,1.659B,1.101B,,,,0.00,,1.111B,287.00M,824.00M,,824.00M,824.00M,1.319B,218.00M,1.101B,0.67,0.0,,0.67,0.67,0.67,0.0,,0.67,0.67,1.23B,1.243B,
2005-09,3.154B,3.154B,552.00M,2.602B,656.00M,562.00M,86.00M,,,,,,1.304B,1.298B,,,,,,1.312B,345.00M,967.00M,,967.00M,967.00M,1.502B,204.00M,1.298B,0.78,0.0,,0.78,0.78,0.77,0.0,,0.77,0.77,1.233B,1.249B,
2005-06,3.072B,3.172B,530.00M,2.642B,646.00M,567.00M,87.00M,51.00M,,,,49.00M,1.349B,1.293B,,,,51.00M,,1.299B,270.00M,1.029B,,1.029B,988.60M,1.51B,217.00M,1.293B,0.83,0.0,,0.7972,0.83,0.82,0.0,,0.7877,0.82,1.233B,1.25B,
2005-03,2.735B,2.833B,489.00M,2.344B,577.00M,524.00M,87.00M,98.00M,,,,,1.188B,1.156B,,,,98.00M,,1.146B,292.00M,854.00M,,854.00M,780.97M,1.358B,202.00M,1.156B,0.68,0.0,,0.6215,0.68,0.67,0.0,,0.6134,0.67,1.249B,1.29B,
2004-12,2.909B,2.909B,476.00M,2.433B,816.00M,617.00M,81.00M,0.00,,,,,960.00M,1.473B,,,,0.00,,920.00M,231.00M,689.00M,,689.00M,689.00M,1.666B,193.00M,1.473B,0.54,0.0,,0.54,0.54,0.53,0.0,,0.53,0.53,1.265B,1.311B,
2004-09,2.713B,2.713B,447.00M,2.266B,632.00M,502.00M,84.00M,-554.00M,,,,554.00M,1.772B,494.00M,,,,-554.00M,,509.00M,273.00M,236.00M,,236.00M,568.40M,680.00M,186.00M,494.00M,0.19,0.0,,0.4513,0.19,0.18,0.0,,0.4318,0.18,1.272B,1.32B,
2004-06,2.585B,2.585B,435.00M,2.15B,591.00M,468.00M,84.00M,,,,,,1.143B,1.007B,,,,,,1.017B,269.00M,748.00M,,748.00M,748.00M,1.186B,179.00M,1.007B,0.59,0.0,,0.59,0.59,0.57,0.0,,0.57,0.57,1.268B,1.318B,
2004-03,2.343B,2.343B,373.00M,1.97B,517.00M,441.00M,84.00M,,,,,,1.042B,928.00M,,,,,,949.00M,259.00M,690.00M,,690.00M,690.00M,1.104B,176.00M,928.00M,0.54,0.0,,0.54,0.54,0.52,0.0,,0.52,0.52,1.279B,1.332B,
2003-12,2.346B,2.346B,389.00M,1.957B,630.00M,502.00M,84.00M,14.00M,,,,-14.00M,1.202B,755.00M,,,,14.00M,,770.00M,224.00M,546.00M,,546.00M,536.07M,932.00M,177.00M,755.00M,0.42,0.0,,0.4123,0.42,0.41,0.0,,0.4026,0.41,1.285B,1.34B,
2003-09,2.207B,2.207B,340.00M,1.867B,483.00M,408.00M,84.00M,-36.00M,,,,35.00M,1.01B,857.00M,,,,-36.00M,,866.00M,254.00M,612.00M,,612.00M,637.44M,1.026B,168.80M,857.00M,0.47,0.0,,0.4897,0.47,0.46,0.0,,0.4789,0.46,1.289B,1.348B,
2003-06,2.041B,2.041B,329.10M,1.712B,441.20M,393.70M,84.00M,24.00M,,,,-24.00M,894.90M,817.10M,,,,24.00M,,848.70M,241.50M,607.20M,,607.20M,590.03M,988.50M,171.40M,817.10M,0.47,0.0,,0.4567,0.47,0.45,0.0,,0.4373,0.45,1.288B,1.347B,
2003-03,1.761B,1.761B,283.30M,1.478B,390.10M,351.30M,83.90M,,,,,-9.60M,815.70M,662.20M,,,,9.60M,,688.10M,194.80M,493.30M,,493.30M,493.30M,832.00M,169.80M,662.20M,0.38,0.0,,0.38,0.38,0.37,0.0,,0.37,0.37,1.290B,1.350B,
2002-12,2.005B,1.766B,274.10M,1.492B,487.80M,367.40M,84.40M,-253.50M,,,,-98.70M,840.90M,651.10M,,,,-253.50M,,669.30M,213.00M,456.30M,,456.30M,629.13M,815.00M,163.90M,651.10M,0.46,0.0,,0.5932,0.46,0.46,0.0,,0.5932,0.46,1.298B,1.298B,
2002-09,1.409B,1.499B,226.40M,1.273B,394.90M,312.60M,70.60M,-2.838B,,,,-38.90M,739.20M,533.70M,,,,-2.838B,,-2.466B,155.60M,-2.602B,,-2.602B,-898.50M,689.40M,155.70M,533.70M,-2.1,0.0,,-0.7284,-2.1,-2.1,0.0,,-0.7284,-2.1,1.242B,1.242B,
2002-06,1.169B,1.169B,131.90M,1.037B,320.50M,233.60M,,81.70M,,,,-81.70M,472.40M,564.80M,,,,81.70M,,597.60M,185.20M,412.40M,,412.40M,356.02M,631.50M,66.70M,564.80M,0.4,0.0,,0.3457,0.4,0.38,0.0,,0.3287,0.38,1.039B,1.099B,
2002-03,1.008B,1.008B,103.60M,904.90M,245.80M,203.40M,,,,,,-1.70M,447.50M,457.40M,,,,1.70M,,494.10M,153.20M,340.90M,,340.90M,340.90M,518.10M,60.70M,457.40M,0.32,0.0,,0.32,0.32,0.32,0.0,,0.32,0.32,1.044B,1.086B,
2001-12,1.297B,1.124B,152.50M,971.80M,326.20M,232.60M,,-376.40M,,,,203.90M,762.70M,209.10M,,,,-376.40M,,241.20M,78.20M,163.00M,,163.00M,417.37M,280.10M,71.00M,209.10M,0.15,0.0,,0.3929,0.15,0.15,0.0,,0.3852,0.15,1.047B,1.081B,
2001-09,940.20M,1.003B,102.70M,900.40M,221.80M,216.90M,,57.40M,,,,5.50M,444.20M,456.20M,,,,57.40M,,498.30M,168.40M,329.90M,,329.90M,291.90M,522.90M,66.70M,456.20M,0.31,0.0,,0.2737,0.31,0.3,0.0,,0.265,0.3,1.048B,1.085B,
