,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-03,493.30M,76.70M,,169.80M,169.80M,,,16.40M,-92.80M,-37.80M,38.70M,-18.20M,134.70M,,24.60M,780.80M,-268.20M,,-268.20M,,,393.20M,-7.00M,118.00M,,,-100.00M,136.00M,-450.60M,-314.60M,,,,4.30M,-410.30M,1.852B,488.50M,2.340B,136.00M,,,-450.60M
2002-12,456.30M,76.50M,,163.90M,163.90M,,,,-130.30M,-23.90M,65.00M,25.00M,11.80M,,-52.40M,820.30M,-257.10M,,132.90M,,0.00,88.00M,-407.30M,-186.40M,,,0.30M,174.00M,-114.00M,60.00M,,,,-0.80M,59.50M,1.159B,693.40M,1.852B,174.00M,,,-114.00M
2002-09,-2.602B,3.083B,,155.70M,155.70M,,,,64.60M,-46.50M,-44.30M,-59.60M,-247.30M,,-333.10M,304.10M,-209.30M,,-209.30M,,-1.899B,-456.40M,399.10M,-2.166B,,,0.00,112.60M,0.00,112.60M,,,,2.60M,115.20M,2.905B,-1.746B,1.159B,112.60M,,,0.00
2002-06,412.40M,59.20M,,66.70M,66.70M,,,,-28.40M,-15.60M,20.90M,4.90M,117.60M,,99.40M,637.70M,-110.60M,,-110.60M,,,57.30M,-143.20M,-196.50M,,,0.00,61.90M,-590.70M,-528.80M,,,,11.40M,-517.40M,2.981B,-76.20M,2.905B,61.90M,,,-590.70M
2002-03,340.90M,49.20M,,60.70M,60.70M,,,,-27.90M,-16.00M,-30.60M,24.70M,85.90M,,36.10M,486.90M,-82.00M,,-82.00M,,,-241.90M,8.40M,-315.50M,,,2.765B,79.50M,-715.30M,-635.80M,,,,-8.20M,2.121B,689.10M,2.292B,2.981B,79.50M,,,-715.30M
2001-12,163.00M,186.30M,,71.00M,71.00M,,,,-30.70M,28.80M,66.40M,-25.10M,214.10M,,253.50M,525.50M,-131.30M,,-131.30M,,,173.30M,1.00M,43.00M,,,,96.60M,-249.90M,-153.30M,,,,-10.10M,-163.40M,284.00M,405.10M,689.10M,96.60M,,,-249.90M
2001-09,329.90M,51.30M,,66.70M,66.70M,,,,-104.00M,-29.40M,-27.20M,-14.00M,13.70M,,-160.90M,287.00M,-109.30M,,-109.30M,,,68.80M,20.50M,-20.00M,,,,55.70M,-319.70M,-264.00M,,,,-1.50M,-265.50M,282.50M,1.50M,284.00M,55.70M,,,-319.70M
2001-06,321.90M,52.30M,,68.30M,68.30M,,,,54.20M,-37.90M,0.60M,-22.60M,-84.50M,,-90.20M,352.30M,-114.30M,,-114.30M,,,-377.90M,-14.80M,-507.00M,,,,50.60M,-92.00M,-41.40M,,,,-0.30M,-41.70M,478.90M,-196.40M,282.50M,50.60M,,,-92.00M
2001-03,304.90M,52.40M,,59.90M,59.90M,,,,-42.50M,-47.00M,-46.30M,30.20M,3.80M,,-101.80M,315.40M,-86.90M,,-86.90M,,,9.60M,21.70M,-55.60M,,,,74.80M,-75.90M,-1.10M,,,,-6.30M,-7.40M,226.50M,252.40M,478.90M,74.80M,,,-75.90M
2000-12,210.80M,105.10M,,55.50M,55.50M,,,,-85.90M,-11.60M,21.60M,-38.50M,114.70M,,0.30M,371.70M,-119.70M,,-119.70M,,,-79.40M,-12.70M,-211.80M,,,,67.60M,-154.80M,-87.20M,,,,-6.20M,-93.20M,159.80M,66.70M,226.50M,67.60M,,,-154.80M
2000-09,358.90M,308.80M,,52.50M,52.50M,,,,9.00M,-21.00M,1.50M,10.70M,-113.80M,,-113.60M,606.60M,-129.30M,,-129.30M,,,-209.80M,-3.40M,-342.50M,,,,90.60M,-160.00M,-69.40M,,,,-171.10M,-240.50M,136.20M,23.60M,159.80M,90.60M,,,-160.00M
2000-06,302.60M,-13.20M,,53.00M,53.00M,,,,-53.20M,-35.00M,11.40M,2.50M,93.90M,,19.60M,362.00M,-96.20M,,-96.20M,,,-128.40M,4.70M,-219.90M,,,,48.80M,-260.00M,-211.20M,,,,79.50M,-131.70M,125.80M,10.40M,136.20M,48.80M,,,-260.00M
2000-03,266.20M,4.30M,,50.80M,50.80M,,,,153.10M,-53.30M,25.30M,-26.10M,-126.00M,,-27.00M,294.30M,-92.50M,,-92.50M,,,-153.30M,-16.30M,-262.10M,,,,126.70M,-225.10M,-98.40M,,,,61.10M,-37.30M,130.90M,-5.10M,125.80M,126.70M,,,-225.10M
1999-12,281.60M,1.50M,,48.20M,48.20M,,,,-111.80M,-37.40M,-17.40M,-13.60M,30.40M,,-149.80M,191.30M,-92.90M,,-92.90M,,,127.30M,-7.10M,27.30M,,,-0.20M,47.10M,-351.90M,-304.80M,,,,29.00M,-276.00M,188.30M,-57.40M,130.90M,47.10M,,,-351.90M
1999-09,300.00M,3.30M,,39.40M,39.40M,,,,63.20M,-25.10M,-43.20M,0.90M,-19.60M,,-23.80M,318.90M,-64.30M,,-64.30M,,,-166.30M,-1.00M,-231.60M,,,0.00,70.10M,-202.10M,-132.00M,,,,33.40M,-98.60M,199.60M,-11.30M,188.30M,70.10M,,,-202.10M
1999-06,267.60M,9.20M,,44.80M,44.80M,,,,6.00M,-4.60M,48.90M,12.00M,-19.50M,,42.80M,364.40M,-70.70M,,-70.70M,,,26.10M,-1.10M,-45.70M,,,0.00,32.90M,-268.20M,-235.30M,,,,2.10M,-233.20M,0.00,85.50M,199.60M,32.90M,,,-268.20M
1999-03,247.20M,2.80M,,44.40M,44.40M,,,,-49.70M,-6.40M,-26.50M,-8.30M,-2.80M,,-93.70M,200.70M,-76.30M,,-76.30M,,,-136.30M,-0.90M,-213.50M,,,-6.00M,98.70M,-202.50M,-103.80M,,,,35.60M,-74.20M,201.10M,-87.00M,0.00,98.70M,,,-202.50M
1998-12,238.60M,-9.40M,,35.60M,35.60M,,,,-23.60M,-1.70M,34.30M,1.10M,-22.40M,,-12.30M,280.00M,-87.80M,,-87.80M,,,-58.30M,7.50M,-138.60M,,,0.10M,122.20M,-219.30M,-97.10M,,,,52.60M,-44.40M,0.00,97.00M,0.00,122.20M,,,-219.30M
1998-09,221.00M,4.30M,,35.50M,35.50M,,,,-5.10M,4.20M,2.30M,-26.00M,10.30M,,-14.30M,246.50M,-84.00M,,-84.00M,,,-145.30M,12.80M,-216.50M,,,-4.90M,131.50M,-235.80M,-104.30M,,,,25.30M,-83.90M,0.00,-53.90M,0.00,131.50M,,,-235.80M
1998-06,216.30M,10.20M,,36.60M,36.60M,,,,-2.00M,4.80M,-29.80M,-11.60M,-2.30M,,-40.90M,222.20M,-108.60M,,-108.60M,,,-87.10M,6.10M,-189.60M,,,74.50M,57.40M,-119.20M,-61.80M,,,,8.10M,20.80M,0.00,53.40M,0.00,57.40M,,,-119.20M
