,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2018-03,109.64M,,,0.003M,,,14.87M,14.87M,3.416M,41.32M,41.32M,0.076M,-0.40M,2.908M,-6.024M,,18.85M,15.41M,184.76M,-9.755M,0.00,-9.755M,,,-41.59M,,-51.35M,,,,-150.02M,-150.02M,0.002M,,-150.02M,613.24M,-16.61M,0.53M,597.16M,,,,-150.02M,
2017-12,88.43M,,,0.049M,,,15.18M,15.18M,14.23M,40.95M,40.95M,0.238M,0.722M,-8.216M,11.52M,,26.27M,30.53M,189.96M,-6.491M,1.00M,-5.491M,,,-115.61M,,-121.10M,,,,-150.02M,-150.02M,19.92M,,-130.11M,674.45M,-61.26M,0.046M,613.24M,,,,-150.02M,
2017-09,135.74M,,,0.024M,,,15.54M,15.54M,-3.319M,41.59M,41.59M,3.18M,1.211M,16.25M,-15.95M,,18.81M,23.50M,213.06M,-7.506M,0.00,-7.506M,0.00,,-71.88M,0.087M,-79.30M,,,,-150.02M,-150.02M,0.08M,0.548M,-149.40M,690.91M,-15.63M,-1.98M,674.45M,,,,-150.02M,
2017-06,97.66M,,,-0.456M,,,15.32M,15.32M,-1.093M,43.23M,43.23M,-1.143M,1.503M,-6.802M,-0.386M,,14.79M,7.962M,162.56M,-7.46M,,-7.46M,0.00,,0.188M,-0.051M,-7.323M,,,,-150.02M,-150.02M,28.09M,1.232M,-120.70M,655.77M,34.54M,0.598M,690.91M,,,,-150.02M,
2017-03,93.14M,,,-0.037M,,,15.39M,15.39M,2.731M,43.90M,43.90M,19.18M,1.13M,-16.01M,1.755M,,14.01M,20.06M,175.34M,-9.582M,0.00,-9.582M,0.00,,64.19M,-0.068M,54.54M,,,,-150.02M,-150.02M,0.032M,2.299M,-147.69M,572.93M,82.19M,0.65M,655.77M,,,,-150.02M,
2016-12,94.22M,,,0.03M,,,14.89M,14.89M,-2.945M,46.61M,46.61M,-45.33M,0.374M,37.08M,-0.306M,,44.40M,36.22M,189.31M,-18.13M,0.00,-14.13M,-4.00M,,17.97M,0.032M,-0.129M,,,,-150.02M,-150.02M,18.84M,2.94M,-128.24M,514.57M,60.94M,-2.575M,572.93M,,,,-150.02M,
2016-09,108.94M,,,0.671M,,,14.49M,14.49M,-6.328M,38.32M,38.32M,-5.575M,-0.247M,42.14M,-1.796M,,12.81M,47.33M,204.07M,-19.08M,,-17.58M,-1.50M,,48.45M,-0.032M,29.34M,,,,-150.02M,-150.02M,0.021M,1.012M,-148.99M,429.60M,84.42M,0.559M,514.57M,,,,-150.02M,
2016-06,91.79M,,,-0.009M,,,14.44M,14.44M,1.871M,38.44M,38.44M,2.581M,1.375M,-10.77M,16.22M,,14.18M,23.60M,170.48M,-16.12M,,-16.12M,0.00,,0.533M,0.021M,-15.56M,,,,-150.02M,-150.02M,26.25M,0.218M,-123.55M,398.32M,31.36M,-0.09M,429.60M,,,,-150.02M,
2016-03,75.42M,,,0.004M,,,14.08M,14.08M,3.187M,41.77M,41.77M,12.75M,-1.608M,-1.917M,-15.73M,,4.941M,-1.57M,133.12M,-16.50M,,-16.50M,0.00,,45.99M,-0.031M,29.46M,,,,-200.04M,-200.04M,0.12M,0.184M,-199.74M,433.30M,-37.16M,2.186M,398.32M,,,,-200.04M,
2015-12,89.72M,,,0.027M,,,13.76M,13.76M,4.237M,38.23M,38.23M,-0.022M,0.146M,3.761M,-0.568M,,54.28M,57.60M,203.87M,-16.54M,,-13.29M,-3.25M,,35.99M,0.039M,19.48M,,,,-200.04M,-200.04M,18.47M,1.194M,-180.37M,390.46M,42.99M,-0.152M,433.30M,,,,-200.04M,
2015-09,97.04M,,,0.351M,,,13.36M,13.36M,-7.368M,41.63M,41.63M,-18.59M,-3.69M,19.90M,-0.406M,,40.90M,38.11M,183.34M,-19.15M,,-18.59M,-0.555M,,-185.87M,0.044M,-204.98M,,,,-150.00M,-150.00M,0.013M,2.906M,-147.08M,562.18M,-168.71M,-3.01M,390.46M,,,,-150.00M,
2015-06,93.17M,,,-0.046M,,,12.97M,12.97M,-3.99M,36.52M,36.52M,1.599M,-0.684M,12.43M,-1.335M,,21.92M,33.93M,172.51M,-21.21M,,-21.21M,0.00,,166.45M,-0.057M,145.18M,,,,-150.00M,-150.00M,23.77M,2.425M,-123.80M,367.60M,193.89M,0.689M,562.18M,,,,-150.00M,
2015-03,85.73M,,,-0.03M,,,13.21M,13.21M,-1.444M,36.78M,36.78M,-7.726M,-1.761M,-19.09M,-4.672M,,40.34M,7.086M,142.30M,-15.40M,,-10.18M,-5.219M,,130.43M,-0.387M,114.64M,,,,-156.88M,-156.88M,0.082M,1.548M,-155.25M,268.95M,101.68M,-3.029M,367.60M,,,,-156.88M,
2014-12,89.08M,,,0.007M,,,13.04M,13.04M,0.231M,30.62M,30.62M,-13.97M,-3.111M,26.29M,-0.12M,,43.98M,53.07M,186.40M,-11.32M,,-10.32M,-1.005M,,-54.26M,0.043M,-65.54M,,,,-149.98M,-149.98M,16.57M,2.638M,-130.77M,281.50M,-9.916M,-2.632M,268.95M,,,,-149.98M,
2014-09,94.02M,,,-0.016M,,,12.07M,12.07M,1.299M,25.16M,25.16M,0.069M,-1.328M,20.00M,-0.028M,,17.86M,36.58M,169.86M,-7.082M,,-7.082M,,0.00,27.34M,0.054M,20.32M,,,,-150.00M,-150.00M,0.052M,2.128M,-147.82M,241.97M,42.36M,-2.832M,281.50M,,,,-150.00M,
2014-06,79.47M,,,-0.059M,,,11.38M,11.38M,-0.898M,31.83M,31.83M,-20.09M,-2.433M,-5.632M,14.35M,,29.81M,16.01M,138.23M,-5.517M,,-5.517M,0.00,-49.44M,44.50M,-0.021M,-10.48M,,,,-150.54M,-150.54M,21.33M,3.347M,-125.86M,239.84M,1.889M,0.248M,241.97M,,,,-150.54M,
2014-03,69.64M,,,-0.061M,,,11.24M,11.24M,5.211M,35.64M,35.64M,-3.131M,-1.659M,-29.64M,-26.34M,,20.62M,-40.14M,81.97M,-5.139M,,-5.139M,0.00,,75.75M,0.032M,70.64M,,,,-150.00M,-150.00M,0.729M,4.626M,-144.64M,231.33M,7.961M,0.547M,239.84M,,,,-150.00M,
2013-12,68.05M,,,-0.059M,,,11.44M,11.44M,-8.702M,34.53M,34.53M,-17.75M,-0.025M,33.61M,2.189M,,34.48M,52.51M,158.93M,-4.98M,,-4.98M,0.00,,75.15M,-0.006M,70.17M,,,,-200.00M,-200.00M,13.19M,0.182M,-186.63M,189.69M,42.46M,-0.827M,231.33M,,,,-200.00M,
2013-09,76.23M,,,0.003M,,,10.30M,10.30M,4.075M,22.03M,22.03M,1.683M,-0.767M,9.37M,14.46M,,10.17M,34.91M,148.00M,-5.149M,,-5.149M,,-87.72M,-15.63M,0.101M,-108.40M,,,,-50.00M,-50.00M,0.186M,0.435M,-49.38M,198.28M,-9.784M,1.197M,189.69M,,,,-50.00M,
2013-06,68.18M,,,0.027M,,,9.792M,9.792M,-2.288M,27.86M,27.86M,-12.35M,-0.297M,-5.823M,11.13M,,29.99M,22.65M,126.23M,-6.665M,,-6.665M,,0.00,-117.34M,0.016M,-123.99M,,,,-50.00M,-50.00M,17.36M,1.261M,-31.37M,229.66M,-29.13M,-2.25M,198.28M,,,,-50.00M,
2013-03,63.41M,,,-0.243M,,,9.979M,9.979M,-0.048M,27.61M,27.61M,16.05M,0.76M,-23.17M,-24.22M,,10.30M,-20.28M,80.66M,-6.981M,,-6.981M,,-124.92M,145.24M,-0.001M,13.34M,,,,-50.00M,-50.00M,0.457M,1.892M,-47.65M,184.56M,46.35M,-1.247M,229.66M,,,,-50.00M,
2012-12,69.49M,,,0.026M,,,9.934M,9.934M,-1.265M,26.71M,26.71M,-24.26M,-1.313M,36.41M,-4.979M,,33.70M,39.56M,144.81M,-7.788M,,-7.788M,,,-124.90M,-0.728M,-133.42M,,,,-50.00M,-50.00M,11.58M,0.503M,-37.91M,211.18M,-26.52M,-0.093M,184.56M,,,,-50.00M,
2012-09,67.72M,,,-0.006M,,,10.15M,10.15M,-3.236M,26.34M,26.34M,8.022M,-0.373M,13.04M,12.85M,,13.53M,47.07M,148.56M,-11.32M,,-11.32M,0.00,0.00,-73.84M,0.011M,-85.16M,,,,-50.00M,-50.00M,0.232M,0.945M,-48.82M,195.61M,14.58M,0.998M,211.18M,,,,-50.00M,
2012-06,72.34M,,,0.095M,,,10.05M,10.05M,0.588M,23.54M,23.54M,-10.09M,-0.014M,-7.022M,3.40M,,20.09M,6.363M,113.40M,-5.726M,,-5.726M,0.00,0.00,-89.75M,-0.005M,-95.48M,,,,-50.00M,-50.00M,14.85M,3.97M,-31.18M,209.46M,-13.26M,-0.588M,195.61M,,,,-50.00M,
2012-03,68.64M,,,-0.122M,,,9.113M,9.113M,-1.047M,23.34M,23.34M,4.462M,0.469M,-22.64M,-13.37M,,32.54M,1.456M,101.60M,-7.211M,,-6.961M,-0.25M,-128.34M,31.30M,-0.022M,-104.27M,,,,-50.30M,-50.30M,0.516M,4.057M,-45.73M,257.49M,-48.40M,0.367M,209.46M,,,,-50.30M,
2011-12,66.49M,,,0.579M,,,5.822M,5.822M,-0.598M,22.12M,22.12M,-22.60M,-0.344M,26.58M,-3.879M,,37.29M,37.05M,131.88M,-5.857M,,-5.857M,,,-61.51M,-0.003M,-67.37M,,,,-34.47M,-34.47M,9.577M,1.399M,-23.50M,216.78M,41.01M,-0.307M,257.49M,,,,-34.47M,
2011-09,,,,0.04M,,,5.172M,5.172M,4.874M,22.13M,-84.04M,-11.46M,0.792M,10.39M,-0.452M,,21.87M,21.14M,121.49M,-15.54M,,-9.901M,-5.635M,0.00,-40.53M,0.425M,-55.64M,,,,-150.00M,-150.00M,0.108M,3.402M,-146.49M,299.80M,-80.64M,-2.381M,216.78M,,,,-150.00M,
2011-06,,,,-0.021M,,,5.179M,5.179M,0.693M,22.91M,62.55M,-12.30M,0.213M,-3.167M,16.25M,,8.311M,9.302M,101.08M,-8.84M,,-8.84M,0.00,0.00,35.91M,-0.444M,26.62M,,,,-50.00M,-50.00M,11.91M,3.935M,-34.15M,206.22M,93.55M,0.042M,299.80M,,,,-50.00M,
2011-03,,0.212M,,0.03M,,,5.286M,5.286M,-0.192M,21.77M,55.58M,-0.675M,0.029M,-0.404M,-15.57M,,25.62M,9.006M,91.23M,-6.293M,,-6.213M,-0.08M,0.00,-7.304M,0.077M,-13.52M,,,,-46.53M,-46.53M,0.376M,6.156M,-40.00M,168.13M,37.71M,0.369M,206.22M,,,,-46.53M,
2010-12,,-0.212M,,-0.212M,,,5.25M,5.25M,-0.888M,22.94M,55.66M,-30.08M,0.632M,13.66M,7.771M,,28.18M,20.16M,103.14M,-5.491M,,-5.491M,,,-91.65M,-0.039M,-97.18M,,,,-25.00M,-25.00M,8.842M,10.13M,-6.026M,168.75M,-0.066M,-0.555M,168.13M,,,,-25.00M,
2010-09,151.15M,,,-0.008M,,,5.91M,5.91M,-2.416M,19.78M,-101.71M,-9.715M,-1.069M,12.00M,-6.684M,,19.94M,14.48M,86.39M,-2.506M,,-2.506M,0.00,,-54.76M,2.556M,-54.71M,,,,-20.00M,-20.00M,2.332M,10.11M,-7.555M,143.81M,24.13M,0.813M,168.75M,,,,-20.00M,
2010-06,-62.42M,,,-0.104M,,,5.835M,5.835M,5.319M,17.41M,69.33M,-12.98M,-1.274M,13.44M,-5.899M,,13.54M,6.821M,75.31M,-3.279M,,-3.279M,0.00,,-72.53M,-0.026M,-75.84M,,,,-20.00M,-20.00M,10.19M,6.719M,-3.092M,148.52M,-3.621M,-1.09M,143.81M,,,,-20.00M,
2010-03,33.14M,0.519M,,-0.014M,,,6.094M,6.094M,-1.193M,16.52M,32.64M,18.96M,-1.653M,-6.412M,-3.158M,-28.30M,43.62M,23.06M,77.92M,-3.192M,,-3.192M,0.00,,-63.49M,,-66.68M,,,,-20.00M,-20.00M,5.422M,5.015M,-9.563M,147.28M,1.678M,-0.439M,148.52M,,,,-20.00M,
2009-12,29.28M,-0.519M,,0.001M,,,5.994M,5.994M,6.533M,17.06M,0.949M,-2.633M,-1.00M,-6.871M,-1.323M,28.30M,-2.298M,14.17M,73.99M,-3.648M,,-3.648M,,,-37.35M,,-41.00M,,,,-15.00M,-15.00M,13.73M,4.685M,3.412M,110.84M,36.41M,0.042M,147.28M,,,,-15.00M,
2009-09,28.35M,,-0.009M,-0.029M,,,5.975M,5.975M,-7.409M,15.34M,0.086M,-15.42M,-0.229M,12.74M,5.678M,,13.54M,16.31M,58.62M,-3.437M,,-3.437M,0.00,,-342.84M,329.71M,-16.57M,,,,-24.12M,-24.12M,3.362M,0.80M,-19.96M,88.29M,22.08M,0.468M,110.84M,,,,-24.12M,
2009-06,22.78M,,-0.013M,0.007M,,,6.244M,6.244M,0.377M,12.56M,-0.337M,-1.232M,1.446M,-5.245M,0.865M,,8.781M,4.615M,46.24M,-1.777M,,-1.775M,-0.002M,,259.64M,-329.69M,-71.83M,,,,-15.87M,-15.87M,9.442M,0.244M,-6.188M,119.69M,-31.78M,0.378M,88.29M,,,,-15.87M,
2009-03,18.99M,,0.013M,0.015M,,,7.712M,7.712M,-0.928M,13.26M,-0.087M,10.49M,0.526M,-11.30M,-4.256M,,4.794M,0.253M,39.21M,-3.273M,,-2.569M,-0.704M,,-10.60M,-0.026M,-13.90M,,,,-27.44M,-27.44M,0.444M,-0.702M,-27.70M,122.31M,-2.39M,-0.229M,119.69M,,,,-27.44M,
2008-12,21.42M,,,-0.002M,,,6.476M,6.476M,1.903M,14.91M,2.976M,-6.391M,-5.414M,14.06M,-2.81M,,10.79M,10.23M,57.92M,-3.888M,,-3.888M,,,7.057M,0.026M,3.195M,,,,-20.00M,-20.00M,5.44M,-2.30M,-16.86M,78.30M,44.25M,-0.249M,122.31M,,,,-20.00M,
2008-09,19.70M,,,0.04M,,,6.261M,6.261M,-6.084M,14.76M,0.862M,0.143M,-0.486M,13.56M,6.023M,,4.163M,23.40M,58.94M,-4.722M,,-4.722M,0.00,0.00,-458.04M,421.70M,-41.07M,,,,-50.00M,-50.00M,1.427M,0.443M,-48.13M,109.18M,-30.25M,-0.627M,78.30M,,,,-50.00M,
2008-06,19.13M,,,0.049M,,,6.036M,6.036M,0.259M,45.82M,-30.59M,3.319M,-1.085M,-6.194M,3.057M,,16.00M,15.10M,55.80M,-12.76M,,-12.76M,0.00,0.00,388.81M,-421.69M,-45.64M,,,-9.492M,-50.00M,-59.49M,17.08M,-1.299M,-43.72M,142.76M,-33.55M,-0.018M,109.18M,-9.492M,,,-50.00M,
2008-03,17.74M,,,-0.016M,,,5.836M,5.836M,0.013M,,16.46M,-3.736M,1.611M,-3.232M,-9.775M,,12.04M,-3.093M,36.95M,-5.563M,,-5.563M,,-0.005M,139.13M,-0.08M,133.48M,,,3.574M,-100.00M,-96.43M,,-0.288M,-96.71M,69.52M,73.71M,-0.481M,142.76M,3.574M,,,-100.00M,
2007-12,17.75M,,,-0.015M,,,5.49M,5.49M,0.206M,,16.01M,-7.666M,0.483M,-0.128M,1.123M,,8.738M,2.55M,41.99M,-4.875M,,-4.875M,,-0.99M,-27.27M,0.076M,-33.06M,,,5.918M,,5.918M,,0.923M,6.841M,54.30M,15.78M,-0.55M,69.52M,5.918M,,,,
2007-09,12.88M,,,0.151M,,,4.547M,4.547M,-1.777M,,24.41M,-14.07M,1.15M,7.886M,-0.395M,,12.87M,7.445M,47.66M,-4.792M,,-4.792M,,,165.50M,-0.004M,-46.44M,,,2.322M,,2.322M,,2.594M,4.916M,48.04M,6.142M,0.114M,54.30M,2.322M,,,,
2007-06,21.81M,,,-0.004M,,,3.904M,3.904M,0.90M,,10.53M,-4.506M,-1.363M,-2.689M,2.125M,,7.496M,1.063M,38.20M,-4.519M,,-4.519M,,,-45.83M,0.204M,-50.14M,,,9.158M,,9.158M,,4.157M,13.32M,46.83M,1.372M,-0.166M,48.04M,9.158M,,,,
2007-03,19.96M,,,-0.006M,,,3.80M,3.80M,8.725M,,12.03M,-6.218M,-2.185M,1.929M,-7.568M,,6.491M,-7.551M,36.95M,-4.538M,,-4.538M,,,-24.61M,-0.201M,-29.35M,,,4.678M,,4.678M,,3.831M,8.509M,31.08M,16.11M,-0.365M,46.83M,4.678M,,,,
2006-12,22.35M,,,-0.001M,,,3.611M,3.611M,-1.419M,,9.453M,-5.214M,0.032M,9.466M,1.418M,,7.139M,12.84M,46.84M,-2.605M,,-2.605M,,,-59.60M,-0.008M,-62.22M,,,7.131M,,7.131M,,1.615M,8.746M,37.75M,-6.633M,-0.028M,31.08M,7.131M,,,,
2006-09,17.75M,,,0.277M,,,3.593M,3.593M,-10.41M,,8.55M,-6.391M,2.126M,-0.815M,-3.451M,,6.773M,-1.758M,18.01M,-2.869M,,-2.869M,,0.00,-20.97M,-0.003M,-23.84M,,,1.715M,,1.715M,,,22.60M,21.16M,16.77M,-0.185M,37.75M,1.715M,,,,
2006-06,16.96M,,,-10.71M,,,2.975M,2.975M,10.38M,,16.34M,-4.861M,-4.865M,4.98M,-0.391M,,6.473M,1.336M,37.28M,-9.484M,,-9.484M,,0.00,-34.99M,-0.048M,-44.52M,,,5.466M,,5.466M,,,5.466M,23.00M,-1.777M,-0.063M,21.16M,5.466M,,,,
2006-03,16.07M,,,5.353M,,,2.621M,2.621M,9.711M,,,-2.079M,-0.326M,3.28M,-1.794M,-3.779M,6.564M,1.866M,35.62M,-5.173M,,-5.173M,,0.00,-43.28M,-0.002M,-48.46M,,,17.13M,,17.13M,,,17.13M,18.73M,4.291M,-0.018M,23.00M,17.13M,,,,
2005-12,15.22M,,,5.527M,,,2.396M,2.396M,9.262M,,,-7.481M,0.068M,5.643M,0.058M,3.779M,,2.067M,34.47M,-3.874M,,-3.874M,,-42.78M,-40.94M,0.004M,-87.59M,,,19.95M,,19.95M,,,19.95M,51.87M,-33.17M,0.031M,18.73M,19.95M,,,,
2005-09,14.91M,,,0.53M,,,1.934M,1.934M,6.311M,,4.958M,-4.292M,-0.41M,6.623M,-0.225M,,2.40M,4.096M,32.74M,-4.793M,,-4.793M,,2.133M,3.691M,2.403M,3.434M,,,4.262M,,4.262M,,,4.262M,11.59M,40.43M,-0.152M,51.87M,4.262M,,,,
2005-06,9.89M,,,-24.90M,,,1.602M,1.602M,-1.78M,,34.02M,-3.461M,-0.194M,3.756M,-2.041M,-4.414M,8.71M,2.356M,21.18M,-3.268M,,-3.268M,,-2.133M,-45.36M,-0.034M,-50.80M,,,19.48M,,19.48M,,,19.48M,21.79M,-10.14M,-0.069M,11.59M,19.48M,,,,
2005-03,12.11M,,,12.84M,,,1.679M,1.679M,-6.059M,,,-7.063M,-0.367M,0.986M,-0.001M,3.432M,,-3.013M,17.56M,-1.409M,,-1.409M,,0.00,-41.84M,-0.024M,-43.28M,,,23.79M,,23.79M,,,23.79M,23.80M,-1.922M,-0.089M,21.79M,23.79M,,,,
2004-12,9.993M,,,12.10M,,,1.582M,1.582M,-6.205M,,,-5.64M,-0.031M,2.061M,-1.337M,0.982M,,-3.965M,13.51M,-2.082M,,-2.082M,,-0.395M,-33.67M,0.024M,-36.12M,,,21.33M,,21.33M,,,21.33M,24.90M,-1.28M,0.182M,23.80M,21.33M,,,,
2004-09,19.16M,,,-0.941M,-3.568M,-0.01M,1.777M,1.777M,,,,-3.103M,0.171M,3.637M,-0.611M,-7.015M,,1.207M,11.38M,-1.04M,,-1.04M,,-2.302M,-8.604M,0.015M,-11.93M,,,3.226M,,3.226M,,,3.226M,22.16M,2.674M,0.062M,24.90M,3.226M,,,,
2004-06,7.416M,,,-0.286M,1.246M,0.00,1.246M,1.246M,,,,-0.196M,0.038M,0.221M,0.353M,1.794M,,2.21M,10.59M,-2.631M,,-2.631M,,-26.90M,15.21M,0.00,-14.32M,,,3.839M,,3.839M,,,3.839M,22.16M,0.108M,-0.105M,22.16M,3.839M,,,,
2004-03,5.955M,,,0.748M,1.147M,0.00,1.147M,1.147M,,,,-2.41M,-0.748M,3.29M,-0.512M,2.727M,,2.347M,10.20M,-1.353M,,-1.353M,,,-27.53M,-0.183M,-29.06M,,,13.33M,,13.33M,,,13.33M,27.71M,-5.539M,-0.011M,22.16M,13.33M,,,,
2003-12,3.801M,,,0.497M,1.175M,0.01M,1.185M,1.185M,,,,1.557M,-0.389M,-0.845M,0.128M,2.494M,,2.945M,8.428M,-0.751M,,-0.751M,,,-108.65M,,-109.40M,,,118.08M,,118.08M,,,118.08M,10.35M,17.10M,0.259M,27.71M,118.08M,,,,
2003-09,1.353M,,,0.494M,1.284M,0.006M,1.29M,1.29M,,,,1.14M,-0.095M,0.354M,-0.513M,1.582M,,2.468M,5.605M,-0.708M,0.00,-0.708M,,,9.443M,,-18.64M,,,4.062M,,4.062M,,,4.062M,19.00M,-8.971M,0.324M,10.35M,4.062M,,,,
2003-06,1.399M,,,0.505M,1.252M,0.006M,1.258M,1.258M,,,,-0.172M,-0.166M,-0.957M,-0.057M,1.621M,,0.269M,3.431M,-0.567M,0.004M,-0.563M,,,-1.743M,,-2.306M,,,4.554M,,4.554M,,,4.554M,13.52M,5.679M,-0.201M,19.00M,4.554M,,,,
2003-03,0.815M,,,-0.067M,1.275M,0.005M,1.28M,1.28M,,,,-1.26M,-0.243M,0.822M,0.632M,0.908M,,0.859M,2.887M,-0.355M,0.00,-0.355M,,,-1.001M,,-1.356M,,,2.43M,,2.43M,,,2.43M,9.581M,3.961M,-0.022M,13.52M,2.43M,,,,
2002-12,0.52M,,,0.434M,1.351M,0.066M,1.417M,1.417M,,,,0.646M,0.096M,-0.539M,-0.628M,0.741M,,0.316M,2.687M,-0.954M,0.01M,-0.944M,,,-14.81M,,-15.75M,,,1.787M,,1.787M,,,1.787M,20.80M,-11.28M,0.059M,9.581M,1.787M,,,,
2002-09,-0.423M,,,1.273M,1.379M,0.09M,1.469M,1.469M,,,,-0.928M,-0.035M,-0.798M,-0.382M,1.317M,,-0.826M,1.493M,-0.824M,0.00,-0.824M,,,0.892M,,0.068M,,,0.732M,,0.732M,,,0.732M,18.50M,2.293M,0.012M,20.80M,0.732M,,,,
