,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,OtherIncomeandExpenses,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2017-03,518.25M,518.25M,87.91M,430.34M,164.70M,38.01M,202.71M,89.23M,,,0.135M,,291.95M,138.39M,1.437M,139.82M,46.69M,93.14M,93.14M,93.05M,153.78M,15.39M,138.39M,1.44,,1.439,1.44,1.43,,1.429,1.43,64.48M,65.03M
2016-12,515.96M,515.96M,85.26M,430.70M,164.51M,41.68M,206.19M,87.05M,,,,,293.24M,137.45M,2.643M,140.10M,45.88M,94.22M,94.22M,94.22M,152.34M,14.89M,137.45M,1.45,,1.45,1.45,1.44,,1.44,1.44,65.20M,65.64M
2016-09,525.35M,525.35M,84.95M,440.40M,158.20M,35.19M,193.39M,83.75M,,,-0.63M,,277.14M,163.26M,-0.362M,162.90M,53.97M,108.94M,108.94M,109.36M,177.76M,14.49M,163.26M,1.66,,1.666,1.66,1.64,,1.646,1.64,65.76M,66.65M
2016-06,496.52M,496.52M,84.34M,412.18M,156.62M,34.18M,190.80M,83.04M,,,0.527M,,273.84M,138.34M,1.505M,139.84M,48.05M,91.79M,91.79M,91.44M,152.77M,14.44M,138.34M,1.37,,1.365,1.37,1.37,,1.365,1.37,66.85M,67.24M
2016-03,483.68M,483.68M,82.23M,401.45M,156.47M,34.80M,191.27M,86.29M,,,-8.948M,,277.57M,123.88M,-8.815M,115.07M,39.65M,75.42M,75.42M,81.28M,137.96M,14.08M,123.88M,1.12,,1.207,1.12,1.11,,1.196,1.11,67.55M,67.80M
2015-12,489.49M,489.49M,85.68M,403.80M,157.46M,34.25M,191.71M,81.14M,,,,,272.85M,130.95M,1.135M,132.08M,42.37M,89.72M,89.72M,89.72M,144.71M,13.76M,130.95M,1.29,,1.29,1.29,1.28,,1.28,1.28,69.55M,69.88M
2015-09,501.30M,501.30M,84.66M,416.64M,151.65M,39.73M,191.38M,77.66M,,,0.00,,269.04M,147.60M,1.865M,149.46M,52.43M,97.04M,97.04M,97.04M,160.96M,13.36M,147.60M,1.37,,1.37,1.37,1.36,,1.36,1.36,70.67M,71.38M
2015-06,483.59M,483.59M,85.66M,397.93M,150.83M,32.63M,183.46M,74.34M,,,0.00,,257.80M,140.13M,0.72M,140.85M,47.68M,93.17M,93.17M,93.17M,153.10M,12.97M,140.13M,1.3,,1.3,1.3,1.29,,1.29,1.29,71.51M,71.96M
2015-03,472.14M,472.14M,82.60M,389.55M,151.24M,30.93M,182.17M,74.52M,,,0.00,,256.69M,132.86M,3.266M,136.12M,50.39M,85.73M,85.73M,85.73M,146.07M,13.21M,132.86M,1.19,,1.19,1.19,1.18,,1.18,1.18,72.24M,72.71M
2014-12,462.79M,462.79M,79.35M,383.44M,148.82M,32.25M,181.07M,70.06M,,,,,251.13M,132.32M,2.594M,134.91M,45.83M,89.08M,89.08M,89.08M,145.36M,13.04M,132.32M,1.21,,1.21,1.21,1.21,,1.21,1.21,73.35M,73.86M
2014-09,465.27M,465.27M,81.95M,383.31M,143.28M,27.15M,170.43M,65.40M,,,,,235.83M,147.48M,2.323M,149.80M,55.78M,94.02M,94.02M,94.02M,159.55M,12.07M,147.48M,1.27,,1.27,1.27,1.26,,1.26,1.26,73.80M,74.62M
2014-06,440.28M,440.28M,79.46M,360.82M,139.94M,27.77M,167.72M,67.03M,,,,,234.74M,126.08M,1.193M,127.27M,47.80M,79.47M,79.47M,79.47M,137.46M,11.38M,126.08M,1.06,,1.06,1.06,1.05,,1.05,1.05,74.81M,75.37M
2014-03,420.04M,420.04M,75.66M,344.38M,140.25M,26.03M,166.28M,67.23M,,,,,233.52M,110.86M,0.023M,110.89M,41.25M,69.64M,69.64M,69.64M,122.10M,11.24M,110.86M,0.92,,0.92,0.92,0.91,,0.91,0.91,75.51M,76.24M
2013-12,406.45M,406.45M,72.88M,333.57M,134.80M,25.50M,160.30M,64.13M,,,,,224.44M,109.13M,0.246M,109.38M,41.33M,68.05M,68.05M,68.05M,120.57M,11.44M,109.13M,0.88,,0.88,0.88,0.87,,0.87,0.87,77.44M,77.82M
2013-09,395.33M,395.33M,66.94M,328.39M,119.84M,26.51M,146.35M,54.46M,,,,,203.20M,125.18M,0.732M,125.91M,49.68M,76.23M,76.23M,76.23M,135.48M,10.30M,125.18M,0.97,,0.97,0.97,0.97,,0.97,0.97,78.35M,78.92M
2013-06,370.30M,370.30M,64.92M,305.38M,121.91M,25.33M,147.23M,54.08M,,,,,201.31M,104.08M,2.874M,106.95M,38.77M,68.18M,68.18M,68.18M,113.87M,9.792M,104.08M,0.87,,0.87,0.87,0.86,,0.86,0.86,78.52M,78.86M
2013-03,350.23M,350.23M,60.30M,289.93M,119.03M,25.89M,144.92M,52.53M,,,,,197.45M,92.48M,2.118M,94.59M,31.18M,63.41M,63.41M,63.41M,102.46M,9.979M,92.48M,0.81,,0.81,0.81,0.8,,0.8,0.8,78.60M,79.11M
2012-12,365.45M,365.45M,60.88M,304.57M,122.27M,24.67M,146.94M,48.54M,,,,,195.48M,109.08M,1.55M,110.63M,41.14M,69.49M,69.49M,69.49M,119.02M,9.934M,109.08M,0.88,,0.88,0.88,0.88,,0.88,0.88,78.79M,79.28M
2012-09,362.56M,362.56M,62.68M,299.88M,116.30M,24.02M,140.31M,47.73M,,,,,188.04M,111.83M,0.909M,112.74M,45.03M,67.72M,67.72M,67.72M,121.99M,10.15M,111.83M,0.86,0.0,0.86,0.86,0.85,0.0,0.85,0.85,78.98M,79.62M
2012-06,352.63M,352.63M,60.29M,292.35M,112.06M,23.30M,135.36M,46.98M,,,,,182.35M,110.00M,1.713M,111.71M,39.38M,72.34M,72.34M,72.34M,120.05M,10.05M,110.00M,0.91,,0.91,0.91,0.91,,0.91,0.91,79.14M,79.66M
2012-03,339.62M,339.62M,57.59M,282.03M,111.00M,22.78M,133.78M,43.57M,,,,,177.35M,104.68M,1.428M,106.11M,37.47M,68.64M,68.64M,68.64M,113.79M,9.113M,104.68M,0.87,,0.87,0.87,0.86,,0.86,0.86,79.16M,79.78M
2011-12,322.43M,322.43M,55.61M,266.83M,106.24M,21.68M,127.92M,39.12M,,,,,167.04M,99.79M,1.861M,101.65M,35.16M,66.49M,66.49M,66.49M,105.61M,5.822M,99.79M,0.84,,0.84,0.84,0.83,,0.83,0.83,79.27M,79.82M
2011-09,314.62M,314.62M,55.92M,258.70M,100.94M,21.87M,122.81M,36.55M,,,,,159.36M,99.33M,4.087M,103.42M,35.81M,67.61M,67.61M,67.61M,104.50M,5.172M,99.33M,0.84,,0.84,0.84,0.83,,0.83,0.83,80.31M,80.96M
2011-06,290.71M,290.71M,52.45M,238.26M,93.63M,21.13M,114.76M,35.24M,,,1.889M,,150.00M,88.26M,1.889M,90.15M,27.60M,62.55M,62.55M,61.24M,93.44M,5.179M,88.26M,0.77,0.0,0.7538,0.77,0.77,0.0,0.7539,0.77,80.87M,81.50M
2011-03,277.57M,277.57M,50.67M,226.90M,89.33M,19.85M,109.18M,34.51M,,,1.568M,,143.68M,83.21M,1.568M,84.78M,29.21M,55.58M,55.58M,54.55M,88.50M,5.286M,83.21M,0.69,0.0,0.6773,0.69,0.68,0.0,0.6674,0.68,80.81M,81.62M
2010-12,268.93M,268.93M,48.96M,219.97M,86.82M,20.68M,107.51M,32.61M,,,2.545M,,140.12M,79.86M,2.545M,82.40M,26.74M,55.66M,55.66M,53.94M,85.11M,5.25M,79.86M,0.69,0.0,0.6687,0.69,0.68,0.0,0.6589,0.68,80.64M,81.65M
2010-09,254.27M,254.27M,46.83M,207.45M,80.70M,18.88M,99.57M,31.57M,,,0.068M,,131.14M,76.30M,0.068M,76.37M,28.14M,48.24M,48.24M,48.19M,82.21M,5.91M,76.30M,0.6,0.0,0.5995,0.6,0.59,0.0,0.5895,0.59,80.28M,81.59M
2010-06,230.47M,230.47M,44.58M,185.90M,77.22M,17.66M,94.88M,30.89M,,,3.561M,,125.77M,60.13M,3.561M,63.69M,23.20M,40.50M,40.50M,38.23M,65.96M,5.835M,60.13M,0.51,0.0,0.4816,0.51,0.5,0.0,0.4721,0.5,79.86M,81.03M
2010-03,206.07M,206.07M,41.42M,164.65M,69.64M,16.02M,85.66M,29.13M,,,2.291M,,114.79M,49.86M,2.291M,52.15M,19.00M,33.14M,33.14M,31.69M,55.95M,6.094M,49.86M,0.42,0.0,0.4017,0.42,0.41,0.0,0.392,0.41,79.39M,80.74M
2009-12,191.16M,191.16M,39.13M,152.03M,65.64M,15.95M,81.60M,26.72M,,,1.705M,,108.32M,43.71M,1.705M,45.42M,16.14M,29.28M,29.28M,28.18M,49.71M,5.994M,43.71M,0.37,0.0,0.3561,0.37,0.36,0.0,0.3463,0.36,78.91M,80.33M
2009-09,175.13M,175.13M,36.46M,138.67M,58.40M,14.62M,73.01M,25.52M,,,1.682M,,98.53M,40.14M,1.682M,41.83M,13.48M,28.35M,28.35M,27.21M,46.12M,5.975M,40.14M,0.36,0.0,0.3455,0.36,0.35,0.0,0.3358,0.35,78.49M,80.25M
2009-06,158.23M,158.23M,33.66M,124.57M,55.43M,12.76M,68.19M,25.07M,,,3.027M,,93.26M,31.30M,3.027M,34.33M,11.56M,22.78M,22.78M,20.77M,37.55M,6.244M,31.30M,0.29,0.0,0.2645,0.29,0.29,0.0,0.2648,0.29,78.60M,79.61M
2009-03,154.15M,154.15M,36.58M,117.57M,51.93M,12.06M,63.99M,25.98M,,,-2.193M,,89.96M,27.60M,-2.193M,25.41M,6.423M,18.99M,18.99M,20.62M,35.31M,7.712M,27.60M,0.24,0.0,0.2608,0.24,0.24,0.0,0.2606,0.24,78.92M,79.57M
2008-12,165.57M,165.57M,36.02M,129.55M,59.44M,15.80M,75.24M,27.10M,,,2.879M,,102.34M,27.20M,2.879M,30.08M,8.657M,21.42M,21.42M,19.37M,33.68M,6.476M,27.20M,0.27,0.0,0.2442,0.27,0.27,0.0,0.2444,0.27,79.34M,80.00M
2008-09,171.26M,171.26M,38.91M,132.35M,60.46M,14.63M,75.09M,26.37M,,,3.513M,,106.73M,25.62M,3.513M,29.13M,9.431M,19.70M,19.70M,17.33M,31.88M,6.261M,25.62M,0.24,0.0,0.2101,0.24,0.24,0.0,0.2106,0.24,79.51M,80.79M
2008-06,165.58M,165.58M,38.18M,127.41M,60.48M,13.46M,73.94M,26.28M,,,3.716M,,100.22M,27.19M,3.716M,30.90M,11.77M,19.13M,19.13M,16.83M,33.22M,6.036M,27.19M,0.24,0.0,0.2116,0.24,0.23,0.0,0.2019,0.23,81.10M,81.95M
2008-03,159.14M,159.14M,36.69M,122.45M,,,72.54M,26.42M,,,5.589M,,98.96M,23.50M,5.589M,29.09M,11.34M,17.74M,17.74M,14.34M,29.33M,5.836M,23.50M,0.21,0.0,0.1689,0.21,0.21,0.0,0.1693,0.21,82.97M,83.80M
2007-12,154.18M,154.18M,35.24M,118.94M,,,71.60M,24.33M,,,6.132M,,95.94M,23.01M,6.132M,29.14M,11.39M,17.75M,17.75M,14.02M,28.50M,5.49M,23.01M,0.21,0.0,0.166,0.21,0.21,0.0,0.1666,0.21,84.85M,86.14M
2007-09,145.61M,145.61M,33.35M,112.26M,,,59.36M,19.93M,,,-6.645M,,79.29M,32.97M,-6.645M,26.32M,13.44M,12.88M,12.88M,17.20M,37.52M,4.547M,32.97M,0.155,0.0,0.2062,0.155,0.145,0.0,0.1952,0.145,84.32M,86.05M
2007-06,132.42M,132.42M,29.64M,102.79M,,,57.53M,17.48M,,,7.175M,,75.01M,27.78M,7.175M,34.95M,13.14M,21.81M,21.81M,17.33M,31.68M,3.904M,27.78M,0.26,0.0,0.2065,0.26,0.255,0.0,0.2025,0.255,83.61M,85.31M
2007-03,127.60M,127.60M,28.82M,98.79M,,,56.04M,17.09M,,,7.23M,,73.13M,25.66M,7.23M,32.89M,12.93M,19.96M,19.96M,15.57M,29.46M,3.80M,25.66M,0.12,0.0,0.0935,0.12,0.12,0.0,0.0941,0.12,165.67M,169.56M
2006-12,120.03M,120.03M,26.52M,93.51M,,,51.87M,14.54M,,,6.431M,,66.41M,27.09M,6.431M,33.52M,11.17M,22.35M,22.35M,18.07M,30.70M,3.611M,27.09M,0.27,0.0,0.2177,0.27,0.265,0.0,0.2143,0.265,82.06M,84.64M
2006-09,111.72M,111.72M,24.78M,86.94M,,,49.48M,13.90M,,,5.825M,,63.38M,23.56M,5.825M,29.38M,11.63M,17.75M,17.75M,14.23M,27.15M,3.593M,23.56M,0.2177,,0.1745,0.2177,0.2177,,0.1745,0.2177,81.56M,81.56M
2006-06,100.13M,100.13M,22.52M,77.61M,,,42.54M,12.52M,,,4.759M,,55.06M,22.56M,4.759M,27.31M,10.35M,16.96M,16.96M,14.01M,25.53M,2.975M,22.56M,0.21,0.0,0.1736,0.21,0.205,0.0,0.1695,0.205,81.11M,83.32M
2006-03,94.12M,94.12M,21.29M,72.83M,,,38.31M,12.28M,,,3.877M,,50.59M,22.24M,3.877M,26.12M,10.05M,16.07M,16.07M,13.68M,24.86M,2.621M,22.24M,0.2,0.0,0.1703,0.2,0.195,0.0,0.1664,0.195,80.24M,83.25M
2005-12,88.09M,88.09M,19.57M,68.52M,,,36.26M,10.48M,,,2.97M,,46.74M,21.78M,2.97M,24.75M,9.529M,15.22M,15.22M,13.39M,24.18M,2.396M,21.78M,0.195,0.0,0.1717,0.195,0.185,0.0,0.1626,0.185,78.33M,81.61M
2005-09,80.61M,80.61M,18.46M,62.15M,,,32.91M,9.066M,,,2.925M,,41.98M,20.17M,2.925M,23.10M,8.188M,14.91M,14.91M,13.02M,22.10M,1.934M,20.17M,0.195,0.0,0.1705,0.195,0.19,0.0,0.1656,0.19,76.99M,77.52M
2005-06,73.06M,73.06M,17.06M,56.00M,,,29.54M,7.584M,,,2.123M,,37.12M,18.88M,2.123M,21.00M,8.311M,12.69M,12.69M,11.41M,20.48M,1.602M,18.88M,0.165,0.0,0.1481,0.165,0.16,0.0,0.1437,0.16,75.84M,78.87M
2005-03,67.73M,67.73M,15.73M,52.00M,,,26.74M,7.789M,,,1.641M,,34.53M,17.47M,1.641M,19.12M,7.003M,12.11M,12.11M,11.07M,19.15M,1.679M,17.47M,0.165,0.0,0.1509,0.165,0.155,0.0,0.1416,0.155,73.81M,77.84M
2004-12,60.01M,60.01M,13.91M,46.10M,,,24.65M,6.974M,,,1.387M,,31.62M,14.48M,1.387M,15.86M,5.869M,9.993M,9.993M,9.119M,16.06M,1.582M,14.48M,0.14,0.0,0.1277,0.14,0.13,0.0,0.1184,0.13,71.15M,75.64M
2004-09,50.22M,50.22M,11.56M,38.66M,,,23.16M,6.841M,,,0.891M,,29.99M,8.669M,0.891M,9.56M,-9.596M,19.16M,19.16M,18.62M,10.45M,1.777M,8.669M,0.2755,,0.2678,0.2755,0.2755,,0.2678,0.2755,69.54M,69.54M
2004-06,44.24M,44.24M,10.10M,34.14M,,,20.98M,6.253M,,,0.848M,,27.23M,6.915M,0.848M,7.763M,0.347M,7.416M,7.416M,6.606M,8.161M,1.246M,6.915M,0.11,0.0,0.0982,0.11,0.1,0.0,0.089,0.1,68.76M,73.94M
2004-03,40.65M,40.65M,9.425M,31.22M,,,19.78M,5.90M,,,0.808M,,25.68M,5.547M,0.808M,6.355M,0.40M,5.955M,5.955M,5.198M,6.694M,1.147M,5.547M,0.09,0.0,0.0788,0.09,0.08,0.0,0.0698,0.08,67.54M,73.89M
2003-12,36.08M,36.08M,8.311M,27.77M,,,18.30M,5.444M,,0.01M,0.184M,,23.76M,4.015M,0.184M,4.199M,0.398M,3.801M,3.801M,3.634M,5.20M,1.185M,4.015M,0.065,0.0,0.0622,0.065,0.055,0.0,0.0525,0.055,60.32M,66.24M
2003-09,31.63M,31.63M,7.428M,24.20M,,,17.08M,5.169M,,,-0.375M,,22.17M,2.035M,-0.375M,1.66M,0.307M,1.353M,1.353M,1.659M,3.325M,1.29M,2.035M,0.0247,,0.0303,0.0247,0.0247,,0.0303,0.0247,54.81M,54.81M
2003-06,29.19M,29.19M,6.781M,22.41M,,,16.39M,4.81M,,0.006M,0.352M,,21.21M,1.199M,0.352M,1.551M,0.152M,1.399M,1.399M,1.081M,2.457M,1.258M,1.199M,0.025,0.0,0.019,0.025,0.025,0.0,0.0194,0.025,53.28M,56.93M
2003-03,28.02M,28.02M,6.478M,21.54M,,,15.96M,4.886M,,0.005M,0.312M,,20.85M,0.687M,0.312M,0.999M,0.184M,0.815M,0.815M,0.5605M,1.967M,1.28M,0.687M,0.015,0.0,0.0101,0.015,0.015,0.0,0.0104,0.015,52.33M,54.99M
2002-12,27.06M,27.06M,6.218M,20.84M,,,16.11M,4.395M,,0.066M,0.462M,,20.57M,0.268M,0.462M,0.73M,0.21M,0.52M,0.52M,0.1909M,1.685M,1.417M,0.268M,0.01,0.0,0.0036,0.01,0.01,0.0,0.0039,0.01,51.77M,53.87M
2002-09,27.08M,27.08M,6.406M,20.67M,,,16.49M,4.312M,,0.09M,-0.148M,,20.89M,-0.222M,-0.148M,-0.37M,0.053M,-0.423M,-0.423M,-0.3342M,1.247M,1.469M,-0.222M,-0.01,0.0,-0.0083,-0.01,-0.01,,-0.0083,-0.01,51.35M,51.46M
2002-06,27.06M,27.06M,7.585M,19.48M,,,16.30M,4.785M,,0.106M,-2.484M,,21.20M,-1.716M,-2.484M,-4.20M,0.146M,-4.346M,-4.346M,-2.856M,-0.206M,1.51M,-1.716M,-0.085,0.0,-0.0558,-0.085,-0.085,0.0,-0.0558,-0.085,51.07M,51.07M
2002-03,27.10M,27.10M,7.831M,19.27M,,,16.35M,4.751M,,0.114M,0.273M,,21.21M,-1.942M,0.273M,-1.669M,0.101M,-1.77M,-1.77M,-1.934M,-0.434M,1.508M,-1.942M,-0.035,0.0,-0.0382,-0.035,-0.035,0.0,-0.0382,-0.035,50.41M,50.41M
2001-12,27.02M,27.02M,8.657M,18.37M,,,16.48M,4.137M,,0.133M,0.505M,,20.76M,-2.387M,0.505M,-1.882M,0.189M,-2.071M,-2.071M,-2.374M,-0.819M,1.568M,-2.387M,-0.04,0.0,-0.0461,-0.04,-0.04,0.0,-0.0461,-0.04,49.77M,49.77M
2001-09,26.57M,26.57M,7.325M,19.24M,,,19.10M,3.902M,,0.209M,0.627M,,23.21M,-3.971M,0.627M,-3.344M,8.163M,-11.51M,-11.51M,-11.88M,-2.163M,1.808M,-3.971M,-0.24,0.0,-0.2476,-0.24,-0.24,0.0,-0.2476,-0.24,49.58M,49.58M
2001-06,29.00M,29.00M,10.61M,18.39M,,,15.45M,4.242M,,0.245M,0.562M,,19.94M,-1.544M,0.562M,-0.982M,0.629M,-1.611M,-1.611M,-1.948M,0.065M,1.609M,-1.544M,-0.035,0.0,-0.0426,-0.035,-0.035,0.0,-0.0426,-0.035,44.39M,44.39M
2001-03,27.07M,27.07M,15.40M,11.67M,,,17.13M,4.652M,0.502M,1.595M,1.207M,-0.502M,23.38M,-11.71M,1.207M,-11.00M,-2.26M,-8.742M,-8.742M,-9.701M,-8.814M,2.893M,-11.71M,-0.2,0.0,-0.2219,-0.2,-0.2,0.0,-0.2219,-0.2,43.83M,43.83M
2000-12,24.73M,24.73M,10.58M,14.15M,,,18.28M,4.945M,,,-0.634M,,24.88M,-10.73M,-0.634M,-11.37M,-2.437M,-8.93M,-8.93M,-8.432M,-9.07M,1.663M,-10.73M,-0.205,0.0,-0.1935,-0.205,-0.205,0.0,-0.1935,-0.205,43.35M,43.35M
2000-09,36.65M,36.65M,10.99M,25.66M,,,16.40M,6.07M,,,,,23.93M,1.724M,,2.213M,0.797M,1.416M,1.416M,1.416M,3.187M,1.463M,1.724M,0.035,0.0,0.035,0.035,0.03,0.0,0.03,0.03,43.13M,46.93M
2000-06,29.22M,29.22M,7.588M,21.63M,,,12.80M,3.422M,,,,,17.34M,4.298M,,5.153M,1.308M,3.845M,3.845M,3.845M,5.414M,1.116M,4.298M,0.09,0.0,0.09,0.09,0.085,0.0,0.085,0.085,42.71M,46.01M
2000-03,23.60M,23.60M,6.322M,17.28M,,,10.20M,2.761M,,,,,13.95M,3.328M,,,,4.146M,4.146M,4.146M,4.321M,0.983M,3.328M,0.1,0.0,0.1,0.1,0.09,0.0,0.09,0.09,42.40M,46.21M
1999-12,19.20M,19.20M,5.30M,13.90M,,,7.20M,2.20M,,,,,10.30M,3.60M,,,,4.20M,4.20M,4.20M,4.50M,0.90M,3.60M,0.105,0.0,0.105,0.105,0.09,0.0,0.09,0.09,40.85M,46.12M
1999-09,13.72M,13.72M,2.90M,10.82M,,,6.20M,1.80M,,,,,8.90M,1.925M,,,,2.40M,2.40M,2.40M,2.825M,0.90M,1.925M,0.0661,,0.0661,0.0661,0.0661,,0.0661,0.0661,36.32M,36.32M
1999-06,7.60M,7.60M,2.10M,5.50M,,,5.00M,1.50M,,,,,7.20M,-1.70M,,,,-1.50M,-1.50M,-1.50M,-1.00M,0.70M,-1.70M,-0.0375,0.0,-0.0375,-0.0375,-0.0375,0.0,-0.0375,-0.0375,40.00M,40.00M
1999-03,3.20M,3.20M,,,,,,,,,,,,3.20M,,,,-2.60M,-2.60M,-2.60M,3.20M,,3.20M,-0.1025,0.0,-0.1025,-0.1025,-0.1025,0.0,-0.1025,-0.1025,25.37M,25.37M
1998-12,3.20M,3.20M,,,,,,,,,,,,3.20M,,,,-2.60M,-2.60M,-2.60M,3.20M,,3.20M,-0.1025,0.0,-0.1025,-0.1025,-0.1025,0.0,-0.1025,-0.1025,25.37M,25.37M
