,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,595.92M,428.76M,1.025B,290.92M,,290.92M,9.543M,19.97M,29.51M,,,,62.12M,1.407B,,,,,,,,117.39M,555.96M,,555.96M,350.24M,,36.98M,49.34M,1.110B,2.517B,40.27M,,,40.27M,185.92M,226.20M,,,,,735.98M,735.98M,,,962.17M,,,,0.027M,274.56M,274.59M,53.77M,328.36M,1.291B,21.12M,1.226B,,,,-20.98M,1.227B
2017-12,612.00M,392.56M,1.005B,291.09M,,291.09M,9.455M,19.66M,29.11M,,,,56.06M,1.381B,,,,,,,,117.31M,555.96M,,555.96M,348.21M,,39.72M,51.72M,1.113B,2.494B,46.75M,,,46.75M,176.53M,223.28M,,,,,721.99M,721.99M,,,945.28M,,,,0.036M,269.28M,269.32M,51.97M,321.28M,1.267B,20.03M,1.227B,,,,-19.48M,1.227B
2017-09,673.23M,343.70M,1.017B,291.92M,,291.92M,9.554M,20.28M,29.83M,,,,67.54M,1.406B,0.0,,210.02M,,88.41M,298.43M,-176.01M,122.42M,555.96M,42.55M,598.52M,284.80M,,53.30M,11.22M,1.070B,2.476B,50.76M,28.95M,,79.71M,158.43M,238.14M,,,,,696.40M,696.40M,,,934.54M,,,,0.063M,267.90M,267.96M,44.59M,312.55M,1.247B,17.63M,1.230B,,,,-18.00M,1.229B
2017-06,690.91M,323.34M,1.014B,295.08M,,295.08M,9.962M,21.08M,31.04M,,,54.01M,51.51M,1.446B,,,,,,,,125.14M,555.96M,,555.96M,234.59M,,2.05M,54.93M,972.67M,2.419B,44.54M,,,44.54M,178.71M,223.26M,,,,,686.08M,686.08M,,,909.34M,,,,5.554M,257.78M,263.33M,41.29M,304.62M,1.214B,17.53M,1.203B,,,,-15.46M,1.205B
2017-03,655.77M,358.85M,1.015B,293.87M,,293.87M,10.69M,21.86M,32.55M,,,52.78M,51.02M,1.445B,,,,,,,,126.70M,555.96M,,555.96M,200.25M,,1.992M,58.16M,943.07M,2.388B,47.29M,,,47.29M,184.23M,231.52M,,,,,684.50M,684.50M,,,916.02M,,,,5.149M,245.09M,250.24M,37.05M,287.29M,1.203B,19.40M,1.181B,,,,-15.47M,1.185B
2016-12,572.93M,400.91M,973.84M,313.21M,,313.21M,11.17M,22.51M,33.68M,,,54.06M,52.71M,1.427B,,,,,,,,128.67M,555.96M,,555.96M,223.00M,,1.956M,60.01M,969.60M,2.397B,49.92M,,,49.92M,198.83M,248.76M,,,,,669.93M,669.93M,,,918.68M,,,,3.256M,244.32M,247.58M,35.84M,283.42M,1.202B,17.28M,1.194B,,,,-16.05M,1.195B
2016-09,514.57M,367.82M,882.40M,268.18M,,268.18M,10.41M,23.64M,34.05M,,,51.60M,52.58M,1.289B,0.0,,186.68M,,83.71M,270.40M,-147.15M,123.25M,555.96M,50.50M,606.47M,276.38M,,2.044M,9.389M,1.018B,2.306B,34.12M,31.99M,,66.11M,146.36M,212.47M,,,,,631.77M,631.77M,0.0,,844.24M,,,,4.212M,238.47M,242.68M,34.14M,276.82M,1.121B,13.19M,1.185B,,,,-13.19M,1.185B
2016-06,429.60M,381.11M,810.71M,263.25M,,263.25M,9.509M,24.30M,33.80M,,,49.46M,50.74M,1.208B,,,,,,,,115.14M,555.96M,,555.96M,313.49M,,0.70M,60.53M,1.046B,2.254B,37.45M,,,37.45M,135.12M,172.57M,,,,,626.84M,626.84M,,,799.41M,,,,7.215M,229.33M,236.55M,30.76M,267.31M,1.067B,9.996M,1.190B,,,,-13.32M,1.187B
2016-03,398.32M,376.68M,775.00M,266.18M,,266.18M,9.942M,25.24M,35.18M,,,50.67M,66.94M,1.194B,,,,,,,,107.54M,555.96M,,555.96M,319.29M,,0.68M,64.68M,1.048B,2.242B,37.24M,,,37.24M,143.51M,180.75M,,,,,619.68M,619.68M,,,800.44M,,,,5.544M,222.98M,228.52M,32.19M,260.71M,1.061B,25.18M,1.169B,,,,-13.56M,1.181B
2015-12,433.30M,358.20M,791.50M,279.16M,,279.16M,8.827M,24.74M,33.57M,,,52.84M,51.06M,1.208B,,,,,,,,99.95M,555.96M,,555.96M,383.48M,,0.664M,67.89M,1.108B,2.316B,37.56M,,,37.56M,145.44M,183.00M,,,,,619.58M,619.58M,,,802.58M,,,,1.908M,217.96M,219.87M,31.10M,250.97M,1.054B,16.06M,1.263B,,,,-16.51M,1.263B
2015-09,390.46M,383.88M,774.34M,279.43M,,279.43M,9.371M,24.35M,33.72M,,,50.13M,50.52M,1.188B,0.0,,154.75M,,70.95M,225.70M,-129.79M,95.91M,555.96M,58.80M,614.76M,397.66M,,6.492M,9.332M,1.124B,2.312B,50.81M,23.29M,,74.10M,107.11M,181.22M,,,,,573.91M,573.91M,,,755.12M,,,,0.901M,209.40M,210.30M,30.14M,240.44M,995.56M,10.16M,1.322B,,,,-15.29M,1.317B
2015-06,562.18M,235.53M,797.71M,261.07M,,261.07M,7.525M,22.50M,30.03M,,,46.49M,50.21M,1.186B,,,,,,,,83.51M,556.96M,,556.96M,361.66M,,3.557M,71.16M,1.077B,2.262B,48.99M,,,48.99M,115.40M,164.38M,,,,,553.06M,553.06M,,,717.45M,,,,2.407M,189.48M,191.89M,25.91M,217.80M,935.25M,5.987M,1.334B,,,,-13.36M,1.327B
2015-03,367.60M,298.86M,666.47M,262.62M,,262.62M,7.324M,22.02M,29.34M,,,44.83M,48.86M,1.052B,,,,,,,,68.75M,556.96M,,556.96M,467.70M,,1.315M,74.44M,1.169B,2.221B,34.68M,,,34.68M,118.62M,153.30M,,,,,544.43M,544.43M,,,697.73M,,,,2.778M,176.16M,178.94M,23.22M,202.16M,899.88M,20.68M,1.314B,,,,-13.22M,1.321B
2014-12,268.95M,385.15M,654.10M,255.86M,,255.86M,7.037M,20.54M,27.58M,,,44.96M,44.34M,1.027B,,,,,,,,66.64M,556.96M,,556.96M,512.54M,,1.217M,72.22M,1.210B,2.236B,41.22M,,,41.22M,132.68M,173.91M,,,,,521.72M,521.72M,,,695.62M,,,,3.153M,158.55M,161.71M,23.32M,185.02M,880.65M,5.105M,1.363B,,,,-12.04M,1.356B
2014-09,281.50M,363.88M,645.38M,242.24M,,242.24M,6.425M,18.05M,24.47M,,,42.29M,44.47M,998.85M,0.0,,127.62M,,57.98M,185.59M,-118.80M,66.79M,556.96M,65.26M,622.22M,482.92M,,4.434M,0.798M,1.186B,2.185B,43.77M,14.91M,,58.68M,93.86M,152.54M,,,,,484.44M,484.44M,,,636.98M,,,,3.629M,152.31M,155.94M,22.72M,178.66M,815.64M,15.75M,1.363B,,,,-9.584M,1.369B
2014-06,241.97M,369.39M,611.36M,243.07M,,243.07M,5.284M,17.86M,23.14M,,,22.90M,44.65M,945.12M,,,,,,,,62.65M,556.96M,,556.96M,508.58M,,25.28M,76.89M,1.230B,2.175B,36.40M,,,36.40M,94.44M,130.84M,,,,,480.38M,480.38M,,,611.22M,,,,4.112M,137.06M,141.17M,22.38M,163.55M,774.77M,18.71M,1.389B,,,,-6.834M,1.401B
2014-03,239.84M,383.92M,623.76M,223.47M,,223.47M,5.80M,14.91M,20.71M,,,23.72M,58.75M,950.42M,,,,,,,,61.61M,517.61M,,517.61M,541.17M,,22.83M,72.56M,1.216B,2.166B,40.37M,,,40.37M,96.07M,136.44M,,,,,461.40M,461.40M,,,597.84M,,,,4.429M,126.33M,130.76M,22.66M,153.42M,751.26M,21.32M,1.401B,,,,-7.241M,1.415B
2013-12,231.33M,346.86M,578.19M,220.78M,,220.78M,5.634M,13.42M,19.05M,,,20.53M,32.39M,870.94M,,,,,,,,62.16M,523.73M,,523.73M,657.02M,,25.71M,75.28M,1.344B,2.215B,38.15M,,,38.15M,125.72M,163.87M,,,,,450.10M,450.10M,,,613.97M,,,,5.00M,117.62M,122.62M,24.18M,146.80M,760.77M,109.95M,1.352B,,,,-7.548M,1.454B
2013-09,189.69M,352.45M,542.14M,204.20M,,204.20M,5.517M,13.51M,19.03M,,,16.34M,34.66M,816.37M,0.0,,106.72M,,54.97M,161.69M,-98.17M,63.52M,523.73M,68.13M,591.86M,728.98M,,22.39M,0.86M,1.414B,2.231B,37.31M,4.196M,,41.51M,88.41M,129.92M,,,,,421.43M,421.43M,,,551.35M,,,,5.346M,109.94M,115.29M,25.20M,140.49M,691.84M,262.50M,1.284B,,,,-7.414M,1.539B
2013-06,198.28M,353.04M,551.32M,205.14M,,205.14M,4.973M,13.29M,18.26M,,,10.62M,48.97M,834.31M,,,,,,,,63.72M,447.80M,,447.80M,714.33M,,33.08M,54.56M,1.313B,2.148B,28.69M,,,28.69M,89.78M,118.47M,,,,,411.48M,411.48M,,,529.95M,,,,,108.28M,108.28M,21.39M,129.67M,659.62M,290.14M,1.207B,,,,-9.347M,1.488B
2013-03,229.66M,293.19M,522.85M,192.80M,,192.80M,4.42M,13.54M,17.96M,,,10.58M,60.24M,804.42M,,,,,,,,63.18M,447.80M,,447.80M,662.82M,,31.16M,56.52M,1.261B,2.066B,39.10M,,,39.10M,84.97M,124.07M,,,,,396.68M,396.68M,,,520.74M,,,,,93.98M,93.98M,23.01M,116.99M,637.73M,294.88M,1.139B,,,,-5.908M,1.428B
2012-12,184.56M,333.17M,517.74M,209.08M,,209.08M,4.127M,14.60M,18.72M,,,10.34M,35.92M,791.79M,,,,,,,,62.03M,348.24M,,348.24M,771.30M,,36.23M,28.06M,1.246B,2.038B,32.22M,,,32.22M,117.41M,149.63M,,,,,379.94M,379.94M,,,529.58M,,,,,100.61M,100.61M,21.16M,121.78M,651.35M,315.04M,1.076B,,,,-4.54M,1.386B
2012-09,211.18M,320.97M,532.15M,185.17M,,185.17M,3.845M,13.56M,17.41M,,,10.36M,30.99M,776.08M,0.0,,108.32M,,43.96M,152.28M,-92.68M,59.60M,348.24M,21.28M,369.52M,662.80M,,35.48M,0.179M,1.135B,1.911B,27.03M,8.621M,,35.65M,77.79M,113.44M,,,,,352.59M,352.59M,,,466.03M,,,,0.00,94.69M,94.69M,21.08M,115.77M,581.80M,326.92M,1.006B,,,,-3.829M,1.329B
2012-06,195.61M,324.05M,519.66M,193.70M,,193.70M,3.909M,13.13M,17.04M,,,8.702M,43.78M,782.89M,,,,,,,,54.26M,347.90M,,347.90M,587.34M,,34.94M,30.74M,1.055B,1.838B,32.01M,,,32.01M,69.71M,101.72M,,,,,344.92M,344.92M,,,446.64M,,,,,88.94M,88.94M,20.31M,109.26M,555.90M,0.00,938.59M,349.41M,,,-5.833M,1.282B
2012-03,209.46M,280.15M,489.61M,184.04M,,184.04M,4.068M,12.96M,17.02M,,,8.612M,47.23M,746.52M,,,,,,,,52.28M,347.90M,,347.90M,543.93M,,35.87M,31.77M,1.012B,1.758B,29.90M,,,29.90M,78.62M,108.52M,,,,,325.36M,325.36M,,,433.89M,,,,,87.48M,87.48M,19.68M,107.17M,541.05M,0.00,866.25M,357.03M,,,-6.062M,1.217B
2011-12,257.49M,299.05M,556.54M,187.86M,,187.86M,4.681M,12.81M,17.49M,,,8.604M,33.61M,804.10M,,,,,,,,50.87M,234.69M,,234.69M,558.31M,,35.17M,15.55M,894.59M,1.699B,32.57M,,97.37M,129.93M,,129.93M,,,,,302.82M,302.82M,,,432.75M,,,,,77.21M,77.21M,18.54M,95.74M,528.50M,379.35M,797.61M,,,,-6.772M,1.170B
2011-09,216.78M,325.77M,542.55M,165.68M,2.898M,165.68M,4.232M,12.92M,17.15M,,,8.391M,29.91M,763.67M,0.0,,89.14M,,41.34M,130.49M,-82.49M,48.00M,234.69M,,234.69M,470.20M,,34.76M,17.22M,804.88M,1.569B,33.52M,4.86M,,38.38M,15.22M,53.60M,,,,,270.88M,270.88M,,,372.31M,,,,,72.42M,72.42M,18.39M,90.81M,463.11M,0.00,731.12M,380.74M,,,-6.422M,1.105B
2011-06,299.80M,285.53M,585.33M,154.74M,,154.74M,4.058M,13.88M,17.94M,,,9.197M,30.02M,797.23M,,,,,,,,42.32M,234.70M,,234.70M,471.57M,,38.17M,13.15M,799.91M,1.597B,34.07M,,,34.07M,59.72M,93.79M,,,,,255.23M,255.23M,,,349.02M,,,,,66.65M,66.65M,16.30M,82.95M,431.97M,0.00,663.51M,505.12M,,,-3.46M,1.165B
2011-03,206.22M,269.04M,475.26M,142.90M,,142.90M,4.278M,13.88M,18.15M,,,8.759M,45.77M,690.84M,,,,,,,,37.53M,234.70M,,234.70M,521.92M,,39.61M,13.92M,847.68M,1.539B,30.83M,,,30.83M,63.10M,93.93M,,,,,248.16M,248.16M,,,342.08M,,,,,65.18M,65.18M,18.95M,84.14M,426.22M,0.00,600.96M,515.97M,,,-4.632M,1.112B
2010-12,168.13M,317.44M,485.57M,141.99M,,141.99M,3.707M,14.48M,18.18M,,,8.657M,30.14M,684.54M,,,,,,,,35.52M,234.70M,,234.70M,466.70M,,39.33M,15.05M,791.30M,1.476B,31.25M,,,31.25M,64.10M,95.35M,,,,,232.52M,232.52M,,,327.87M,,,,,55.27M,55.27M,17.60M,72.87M,400.74M,0.00,545.39M,534.19M,,,-4.482M,1.075B
2010-09,168.75M,259.74M,428.50M,112.13M,,112.13M,3.866M,14.95M,18.82M,,,8.767M,37.74M,605.96M,0.0,,69.35M,,36.46M,105.81M,-71.66M,34.16M,234.70M,,234.70M,433.57M,,37.86M,15.95M,756.24M,1.362B,21.18M,,,21.18M,61.77M,82.95M,,,,,204.14M,204.14M,,,287.08M,,,,,55.26M,55.26M,16.15M,71.41M,358.49M,0.00,489.72M,517.22M,,,-3.241M,1.004B
2010-06,143.81M,254.54M,398.36M,102.83M,,102.83M,3.761M,13.99M,17.75M,,2.40M,7.868M,30.89M,560.09M,,,,,,,,35.99M,233.53M,,233.53M,382.30M,,37.76M,17.61M,707.19M,1.267B,22.66M,,,22.66M,47.99M,70.65M,,,,,188.66M,188.66M,,,259.31M,,,,,50.98M,50.98M,15.39M,66.36M,325.67M,0.00,441.49M,504.71M,,,-4.595M,941.60M
2010-03,148.52M,236.72M,385.25M,89.38M,,89.38M,4.244M,12.23M,16.47M,,,8.049M,26.67M,525.82M,,,,,,,,37.06M,233.53M,,233.53M,329.19M,,42.39M,19.12M,661.29M,1.187B,11.73M,,,11.73M,47.41M,59.14M,,,,,179.26M,179.26M,,,238.40M,,,,,47.23M,47.23M,13.90M,61.13M,299.53M,0.00,400.99M,490.18M,,,-3.594M,887.58M
2009-12,147.28M,222.88M,370.16M,108.66M,,108.66M,4.25M,10.57M,14.82M,,,8.095M,24.58M,526.31M,,,,,,,,38.48M,233.53M,,233.53M,279.50M,,41.02M,20.91M,613.43M,1.140B,12.69M,,,12.69M,52.85M,65.55M,,,,,171.20M,171.20M,,,236.75M,,,,,40.22M,40.22M,14.00M,54.23M,290.98M,0.00,367.85M,483.77M,,,-2.849M,848.77M
2009-09,110.84M,206.29M,317.13M,106.97M,,106.97M,5.493M,8.326M,13.82M,,,8.01M,22.25M,468.18M,0.0,,64.44M,,35.09M,99.53M,-60.16M,39.37M,231.88M,,231.88M,257.29M,,49.02M,22.90M,600.46M,1.069B,18.89M,,,18.89M,53.23M,72.12M,,,,,150.89M,150.89M,,,223.01M,,,,,32.24M,32.24M,14.37M,46.61M,269.62M,0.00,338.57M,462.79M,,,-2.337M,799.02M
2009-06,88.29M,175.78M,264.07M,91.64M,,91.64M,4.016M,9.574M,13.59M,,,5.827M,26.32M,401.44M,,,,,,,,40.24M,231.89M,,231.89M,273.86M,,43.98M,26.17M,616.14M,1.018B,16.39M,,,16.39M,43.08M,59.47M,,,,,142.70M,142.70M,,,202.16M,,,,,27.17M,27.17M,13.84M,41.01M,243.18M,0.00,310.22M,467.39M,,,-3.20M,774.41M
2009-03,119.69M,138.83M,258.52M,90.07M,,90.07M,3.698M,11.34M,15.04M,,,5.808M,26.99M,396.42M,,,,,,,,42.85M,231.89M,,231.89M,240.57M,,44.47M,26.75M,586.54M,982.96M,20.78M,,,20.78M,43.22M,64.01M,,,,,135.04M,135.04M,,,199.04M,,,,,25.44M,25.44M,13.97M,39.40M,238.45M,0.00,287.44M,460.94M,,,-3.872M,744.52M
2008-12,122.31M,156.18M,278.49M,100.47M,,100.47M,9.137M,6.425M,15.56M,,,5.843M,22.84M,423.20M,,,,,,46.60M,,46.60M,231.89M,,231.89M,,,43.37M,241.36M,563.22M,986.42M,24.10M,,,24.10M,51.76M,75.86M,,,,,132.32M,132.32M,,,208.18M,,,,,,,,37.63M,245.81M,0.00,268.46M,475.35M,,,-3.202M,740.61M
2008-09,78.30M,111.88M,190.19M,97.06M,,97.06M,3.757M,6.391M,10.15M,,,5.91M,20.07M,323.37M,0.0,,61.21M,,34.07M,95.28M,-47.72M,47.56M,231.89M,,231.89M,261.09M,,46.92M,28.40M,615.85M,939.22M,13.09M,,,13.09M,48.05M,61.14M,,,,,125.68M,125.68M,,,186.82M,,,,,19.32M,19.32M,14.82M,34.14M,220.96M,0.00,247.04M,477.30M,,,-6.076M,718.26M
2008-06,109.18M,158.11M,267.30M,98.06M,,98.06M,3.186M,6.476M,9.662M,,,5.591M,27.45M,408.06M,,,,,,81.97M,-34.34M,47.63M,231.89M,,231.89M,,,38.91M,207.98M,526.41M,934.47M,13.16M,,,13.16M,37.39M,50.55M,,,,,118.69M,118.69M,,,169.24M,,,,,,,,32.73M,201.98M,0.00,227.34M,510.68M,,,-5.517M,732.49M
2008-03,142.76M,188.62M,331.38M,101.80M,,101.80M,3.01M,5.567M,8.577M,,,5.517M,29.30M,476.56M,,,,,,75.05M,-34.34M,40.72M,231.97M,,231.97M,,,39.18M,149.55M,461.42M,937.98M,22.54M,,,22.54M,39.23M,61.77M,,,,,99.47M,99.47M,,,161.24M,,,,,,,,32.16M,193.40M,0.00,208.20M,539.57M,-0.888M,-2.296M,-3.184M,744.58M
2007-12,69.52M,281.00M,350.52M,98.76M,,98.76M,4.108M,6.081M,10.19M,,,5.44M,19.36M,484.28M,,,,,,71.57M,-34.34M,37.23M,234.00M,,234.00M,,,37.69M,199.21M,508.13M,992.41M,24.97M,,,24.97M,39.69M,64.66M,,,,,91.34M,91.34M,,,156.00M,,,,,,,,26.38M,182.37M,0.00,190.46M,620.63M,,,-1.051M,810.04M
2007-09,54.30M,204.17M,258.46M,91.77M,,91.77M,2.969M,7.703M,10.67M,,,5.305M,20.43M,386.65M,0.0,21.05M,49.31M,,,70.36M,-34.34M,36.02M,234.00M,,234.00M,,,38.04M,249.58M,557.64M,944.29M,25.52M,,,25.52M,39.99M,65.52M,,,,,87.90M,87.90M,,,153.41M,,,,,,,,20.30M,173.71M,0.00,172.70M,598.44M,,,-0.564M,770.58M
2007-06,48.04M,345.90M,393.94M,77.69M,,77.69M,3.885M,5.393M,9.278M,,,4.503M,19.63M,505.04M,,,,,,56.30M,-23.00M,33.31M,81.70M,,81.70M,,,10.89M,255.87M,381.77M,886.81M,23.22M,,,23.22M,30.01M,53.23M,,,,,73.42M,73.42M,,,126.66M,,,,,,,,18.31M,144.97M,0.00,159.82M,583.35M,,,-1.332M,741.84M
2007-03,46.83M,384.43M,431.26M,73.14M,,73.14M,3.091M,4.824M,7.915M,,,4.479M,21.75M,538.54M,,,,,,54.69M,-23.00M,31.69M,81.70M,,81.70M,,,11.57M,172.59M,297.56M,836.10M,23.01M,,,23.01M,32.86M,55.88M,,,,,67.41M,67.41M,,,123.29M,,,,,,,,16.29M,139.58M,0.00,138.01M,559.44M,,,-0.928M,696.52M
2006-12,31.08M,384.24M,415.32M,67.25M,,67.25M,2.456M,3.274M,5.73M,,,4.943M,14.17M,507.41M,,,,,,52.95M,-23.00M,29.95M,81.70M,,81.70M,,,20.11M,148.40M,280.16M,787.57M,12.88M,,,12.88M,41.09M,53.97M,,,,,61.16M,61.16M,,,115.13M,,,,,,,,15.90M,131.03M,0.00,118.06M,539.22M,,,-0.734M,656.54M
2006-09,37.75M,336.43M,374.17M,62.75M,,62.75M,3.153M,2.61M,5.763M,,,4.682M,15.61M,462.98M,0.0,16.12M,36.83M,,,52.95M,-23.00M,29.95M,81.70M,10.41M,92.11M,,,18.66M,125.82M,266.54M,729.51M,13.17M,,,13.17M,31.58M,44.76M,,,,,54.88M,54.88M,,,99.64M,,,,,,,,13.42M,113.05M,0.00,95.70M,521.79M,,,-1.038M,616.46M
