,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,371.66M,371.66M,216.50M,155.17M,87.07M,,,0.175M,,,,87.07M,68.10M,,,0.175M,,62.61M,21.23M,41.38M,,,41.38M,41.26M,80.24M,,2008-03,0.51,0.00,,,2008-03,0.50,0.00,,,2008-03,81.07M,,2008-03,,
2007-12,346.00M,346.00M,202.41M,143.59M,82.07M,,,1.903M,,,,82.07M,61.52M,,,1.903M,,58.04M,19.66M,38.38M,0.055M,,38.44M,37.12M,71.37M,,2007-12,0.47,0.00,,,2007-12,0.47,0.00,,,2007-12,80.98M,,2007-12,,
2007-09,334.88M,334.88M,197.22M,137.66M,74.52M,,,0.437M,,,,74.52M,63.15M,,,0.437M,,58.05M,19.23M,38.82M,-0.405M,,38.41M,38.52M,73.09M,,2007-09,0.48,0.00,,,2007-09,0.47,0.00,,,2007-09,80.83M,,2007-09,,
2007-06,344.48M,344.48M,196.95M,147.53M,78.67M,,,0.521M,,,,78.67M,68.86M,,,0.521M,,63.33M,21.49M,41.84M,-0.205M,,41.63M,41.49M,78.32M,,2007-06,0.52,0.00,,,2007-06,0.51,0.00,,,2007-06,80.60M,,2007-06,,
2007-03,333.27M,333.27M,193.60M,139.66M,78.11M,,,0.573M,,,,78.11M,61.55M,,,0.573M,,55.75M,18.92M,36.83M,-0.164M,,36.67M,36.45M,70.81M,,2007-03,0.46,0.00,,,2007-03,0.45,0.00,,,2007-03,80.26M,,2007-03,,
2006-12,302.13M,302.13M,176.54M,125.59M,66.56M,,,0.27M,,,,66.56M,59.03M,,,0.27M,,53.32M,17.13M,36.19M,-0.548M,,35.64M,36.01M,68.41M,,2006-12,0.45,-0.01,,,2006-12,0.44,-0.01,,,2006-12,79.94M,,2006-12,,
2006-09,289.85M,289.85M,171.08M,118.76M,64.35M,,,0.501M,,,,64.35M,54.41M,,,0.501M,,51.55M,18.22M,33.33M,12.66M,,46.00M,33.01M,61.07M,,2006-09,0.42,0.16,,,2006-09,0.41,0.16,,,2006-09,79.69M,,2006-09,,
2006-06,297.17M,297.17M,174.16M,123.01M,67.40M,,,0.255M,,,,67.40M,55.61M,,,0.255M,,51.79M,17.38M,34.41M,0.544M,,34.96M,34.24M,63.58M,,2006-06,0.4333,0.0067,,,2006-06,0.4267,0.0067,,,2006-06,79.52M,,2006-06,,
2006-03,266.39M,266.39M,156.26M,110.13M,62.36M,,,0.011M,,,,62.36M,47.78M,,,0.011M,,44.85M,15.27M,29.58M,0.497M,,30.08M,29.57M,54.18M,,2006-03,0.3733,0.0067,,,2006-03,0.3667,0.0067,,,2006-03,78.96M,,2006-03,,
2005-12,252.87M,252.87M,149.34M,103.53M,56.76M,,,0.078M,,,,56.76M,46.77M,,,0.078M,,43.67M,15.34M,28.33M,0.383M,,28.71M,28.28M,53.25M,,2005-12,0.36,0.0067,,,2005-12,0.3533,0.0067,,,2005-12,78.46M,,2005-12,,
2005-09,249.58M,249.58M,148.27M,101.30M,55.43M,,,0.134M,,,,55.43M,45.87M,,,0.134M,,42.47M,14.48M,27.99M,0.523M,,28.52M,27.90M,52.30M,,2005-09,0.36,0.0067,,,2005-09,0.3533,0.0067,,,2005-09,77.43M,,2005-09,,
2005-06,264.95M,264.95M,155.37M,109.58M,61.99M,,,0.245M,,,,61.99M,47.59M,,,0.245M,,44.57M,15.42M,28.61M,0.324M,,28.93M,28.45M,54.33M,,2005-06,0.3733,0.0067,,,2005-06,0.36,0.0067,,,2005-06,76.44M,,2005-06,,
2005-03,252.06M,252.06M,150.10M,101.96M,61.26M,,,0.13M,,,,61.26M,40.70M,,,0.13M,,36.95M,13.30M,23.64M,,,23.64M,23.56M,47.98M,,2005-03,0.3133,0.00,,,2005-03,0.30,0.00,,,2005-03,76.02M,,2005-03,,
2004-12,215.32M,215.32M,126.58M,88.75M,50.51M,,,-0.08M,,,,50.51M,38.24M,,,-0.08M,,34.30M,11.71M,22.59M,,,22.66M,22.64M,46.00M,,2004-12,0.2967,0.0009,,,2004-12,0.2967,0.0009,,,2004-12,75.70M,,2004-12,,
2004-09,237.56M,237.56M,142.57M,94.99M,55.03M,,,-0.384M,,,,55.03M,39.96M,,,-0.384M,,35.72M,12.50M,23.22M,,,23.22M,23.47M,48.06M,,2004-09,0.3067,0.00,,,2004-09,0.2933,0.00,,,2004-09,75.44M,,2004-09,,
2004-06,233.59M,233.59M,139.67M,93.92M,54.11M,,,-0.235M,,,,54.11M,39.81M,,,-0.235M,,35.96M,13.13M,22.83M,,,22.83M,22.98M,47.72M,,2004-06,0.3067,0.00,,,2004-06,0.2933,0.00,,,2004-06,75.09M,,2004-06,,
2004-03,214.60M,214.60M,128.87M,85.73M,54.44M,,,0.011M,,,,54.44M,31.29M,,,0.011M,,27.86M,10.17M,17.69M,,,17.69M,17.69M,39.06M,,2004-03,0.24,0.00,,,2004-03,0.2333,0.00,,,2004-03,74.21M,,2004-03,,
2003-12,197.96M,197.96M,121.24M,76.72M,48.76M,,,0.533M,,,,48.76M,27.96M,,,0.533M,,25.12M,8.919M,16.20M,,,16.20M,15.86M,34.70M,,2003-12,0.2222,0.00,,,2003-12,0.2133,0.00,,,2003-12,73.77M,,2003-12,,
2003-09,197.31M,197.31M,121.14M,76.18M,47.24M,,,0.005M,,,,47.24M,28.94M,,,0.005M,,25.60M,9.087M,16.51M,,,16.51M,16.51M,36.61M,,2003-09,0.2267,0.00,,,2003-09,0.2178,0.00,,,2003-09,73.49M,,2003-09,,
2003-06,207.15M,207.15M,125.02M,82.12M,52.57M,,,0.341M,,,,52.57M,29.56M,,,0.341M,,26.27M,9.325M,16.94M,,,16.94M,16.72M,37.16M,,2003-06,0.2311,0.00,,,2003-06,0.2267,0.00,,,2003-06,72.86M,,2003-06,,
2003-03,195.50M,195.50M,121.20M,74.30M,50.90M,,,0.02M,,,,50.90M,23.40M,,,0.02M,,19.68M,6.987M,12.70M,,,12.70M,12.68M,31.46M,,2003-03,0.1733,0.00,,,2003-03,0.1733,0.00,,,2003-03,72.65M,,2003-03,,
2002-12,187.54M,187.54M,117.28M,70.26M,47.81M,,,0.248M,,,,47.81M,22.45M,,,0.248M,,18.87M,6.699M,12.17M,,,12.17M,12.01M,29.33M,,2002-12,0.1689,0.00,,,2002-12,0.1644,0.00,,,2002-12,72.56M,,2002-12,,
2002-09,189.10M,189.10M,117.49M,71.61M,44.67M,,,-0.398M,,,,44.67M,26.94M,,,-0.398M,,22.60M,7.81M,14.79M,,,14.79M,15.05M,34.53M,,2002-09,0.2044,0.00,,,2002-09,0.20,0.00,,,2002-09,72.55M,,2002-09,,
2002-06,190.43M,190.43M,116.29M,74.14M,45.87M,,,0.027M,,,,45.87M,28.27M,,,0.027M,,24.39M,8.78M,15.61M,,,15.61M,15.59M,36.06M,,2002-06,0.2178,0.00,,,2002-06,0.2133,0.00,,,2002-06,71.25M,,2002-06,,
2002-03,174.94M,174.94M,109.51M,65.42M,42.92M,,,0.203M,,,,42.92M,22.51M,,,0.203M,,18.04M,6.494M,11.54M,,,11.54M,11.42M,30.36M,,2002-03,0.1689,0.00,,,2002-03,0.1644,0.00,,,2002-03,68.65M,,2002-03,,
2001-12,168.79M,168.79M,109.21M,59.58M,38.81M,,3.625M,-5.263M,,,,42.44M,17.14M,,,-5.263M,,6.948M,2.644M,4.304M,,,4.304M,7.564M,27.52M,,2001-12,0.0622,0.00,,,2001-12,0.0578,0.00,,,2001-12,68.45M,,2001-12,,
2001-09,178.14M,178.14M,113.48M,64.66M,42.30M,,3.571M,0.024M,,,,45.87M,18.78M,,,0.024M,,13.60M,5.418M,8.184M,,,8.184M,8.170M,30.49M,,2001-09,0.12,0.00,,,2001-09,0.1156,0.00,,,2001-09,68.24M,,2001-09,,
2001-06,192.62M,192.62M,121.91M,70.71M,40.98M,,3.49M,0.179M,,,,44.47M,26.24M,,,0.179M,,21.22M,8.229M,12.99M,,,12.99M,12.88M,37.18M,,2001-06,0.1911,0.00,,,2001-06,0.1867,0.00,,,2001-06,67.81M,,2001-06,,
2001-03,187.40M,187.40M,111.72M,75.68M,42.80M,6.898M,3.479M,-5.435M,,,-6.898M,46.28M,29.40M,,,-5.435M,,11.66M,4.43M,7.229M,,,7.229M,10.60M,40.68M,,2001-03,0.1067,0.00,,,2001-03,0.1022,0.00,,,2001-03,67.49M,,2001-03,,
2000-12,166.14M,166.14M,96.10M,70.04M,37.10M,,,1.346M,,,,45.82M,24.22M,,,1.346M,,21.55M,8.017M,13.54M,,,13.54M,12.69M,32.94M,,2000-12,0.20,0.00,,,2000-12,0.1956,0.00,,,2000-12,67.06M,,2000-12,,
2000-09,176.22M,176.22M,99.58M,76.64M,36.59M,,,-0.172M,,,,46.06M,30.58M,,,-0.172M,,26.12M,9.557M,16.56M,,,16.56M,16.67M,40.05M,,2000-09,0.2489,0.00,,,2000-09,0.24,0.00,,,2000-09,66.92M,,2000-09,,
2000-06,185.26M,185.26M,105.76M,79.50M,38.26M,,,0.356M,,,,47.74M,31.76M,,,0.356M,,28.05M,10.52M,17.53M,,,17.53M,17.31M,41.24M,,2000-06,0.2578,0.00,,,2000-06,0.2533,0.00,,,2000-06,67.48M,,2000-06,,
2000-03,176.66M,176.66M,99.99M,76.68M,37.69M,,,-0.499M,,,,46.71M,29.96M,,,-0.499M,,25.30M,9.487M,15.81M,,,15.81M,16.12M,38.98M,,2000-03,0.2356,0.00,,,2000-03,0.2311,0.00,,,2000-03,66.74M,,2000-03,,
1999-12,167.10M,167.10M,97.00M,70.10M,35.10M,,,0.30M,,,,43.70M,26.40M,,,0.30M,,22.30M,8.40M,13.90M,,,13.90M,13.71M,35.00M,,1999-12,0.2083,0.00,,,1999-12,0.2038,0.00,,,1999-12,66.55M,,1999-12,,
