,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,412.97M,412.97M,328.66M,,328.66M,180.44M,37.15M,66.29M,283.88M,,43.78M,1.069B,,,,,267.13M,,267.13M,,267.13M,1.723B,408.19M,2.131B,18.08M,2.416B,3.485B,,2018-03,157.29M,183.58M,112.65M,296.22M,,0.835M,,0.835M,12.59M,12.59M,,,316.28M,859.73M,5.801M,865.53M,131.65M,3.489M,135.14M,100.49M,22.21M,1.152B,1.469B,0.902M,2.163B,722.84M,803.83M,,-65.69M,2.017B,,2018-03,AOR,Restated
2017-12,375.95M,375.95M,297.80M,4.134M,294.17M,169.68M,33.67M,56.38M,259.72M,,74.20M,1.004B,0.00,32.98M,175.47M,453.27M,,14.72M,676.44M,-418.08M,258.35M,1.704B,414.75M,2.119B,18.33M,2.396B,3.400B,,2017-12,147.07M,205.79M,119.58M,325.37M,,0.258M,,0.258M,11.03M,11.03M,,,360.98M,858.79M,0.00,858.79M,137.64M,3.297M,140.94M,99.65M,23.82M,1.152B,1.513B,0.902M,2.058B,716.91M,799.67M,,-89.51M,1.887B,,2017-12,AOR,Restated
2017-09,303.29M,303.29M,307.50M,,307.50M,170.68M,38.14M,57.89M,266.70M,,77.98M,955.48M,,,,,250.89M,,250.89M,,250.89M,1.680B,414.85M,2.095B,16.77M,2.362B,3.318B,,2017-09,137.92M,179.96M,122.94M,302.90M,,0.347M,,0.347M,13.06M,13.06M,,,336.85M,874.85M,,874.85M,172.81M,2.205M,175.01M,100.36M,18.87M,1.171B,1.507B,0.902M,1.993B,712.09M,797.86M,,-97.46M,1.810B,,2017-09,AOR,Restated
2017-06,218.36M,218.36M,307.76M,,307.76M,166.29M,37.91M,60.34M,264.54M,,70.76M,861.42M,,,,,254.23M,,254.23M,,254.23M,1.667B,425.43M,2.092B,16.34M,2.363B,3.224B,,2017-06,139.38M,179.60M,103.93M,283.53M,,0.35M,,0.35M,15.58M,15.58M,,,313.90M,888.50M,,888.50M,171.88M,2.167M,174.04M,100.76M,18.08M,1.183B,1.497B,0.902M,1.937B,707.47M,789.94M,,-128.78M,1.727B,,2017-06,AOR,Restated
2017-03,216.10M,216.10M,294.71M,,294.71M,158.24M,38.46M,61.20M,257.90M,,54.98M,823.68M,,,,,250.11M,,250.11M,,250.11M,1.646B,428.58M,2.074B,15.84M,2.340B,3.164B,,2017-03,135.46M,151.21M,104.87M,256.09M,,0.323M,,0.323M,15.46M,15.46M,,,278.46M,950.28M,,950.28M,171.44M,2.361M,173.80M,98.66M,19.21M,1.244B,1.522B,0.902M,1.911B,702.64M,794.44M,,-178.44M,1.641B,,2017-03,AOR,Restated
2016-12,235.96M,235.96M,275.25M,5.641M,272.81M,154.28M,34.83M,63.75M,252.86M,,61.08M,822.72M,0.00,33.88M,169.26M,427.13M,,10.37M,640.65M,-392.84M,247.82M,1.633B,435.50M,2.068B,16.31M,2.332B,3.155B,,2016-12,128.93M,165.43M,113.73M,279.17M,,1.046M,,1.046M,12.61M,12.61M,,,309.16M,1.014B,,1.014B,166.43M,2.442M,168.87M,93.60M,22.56M,1.302B,1.611B,0.902M,1.835B,697.21M,787.31M,,-201.65M,1.544B,,2016-12,AOR,Restated
2016-09,239.40M,239.40M,287.33M,,287.33M,166.20M,37.00M,72.81M,276.01M,,54.61M,857.35M,,,,,261.09M,,261.09M,,261.09M,1.663B,462.43M,2.125B,18.70M,2.405B,3.262B,,2016-09,117.43M,157.49M,121.74M,279.23M,,1.171M,,1.171M,11.20M,11.20M,,,305.36M,1.100B,,1.100B,182.69M,1.828M,184.52M,98.42M,16.80M,1.402B,1.708B,0.902M,1.803B,692.73M,794.36M,,-147.58M,1.555B,,2016-09,AOR,Restated
2016-06,361.49M,361.49M,296.48M,,296.48M,163.30M,34.32M,60.04M,257.66M,,53.66M,969.28M,,,,,250.90M,,250.90M,,250.90M,1.516B,354.34M,1.871B,18.53M,2.140B,3.109B,,2016-06,129.16M,172.29M,101.64M,273.93M,,1.233M,,1.233M,11.82M,11.82M,,,297.71M,1.054B,,1.054B,152.88M,2.041M,154.92M,86.18M,15.77M,1.315B,1.612B,0.902M,1.759B,689.94M,799.20M,,-153.87M,1.497B,,2016-06,AOR,Restated
2016-03,358.44M,358.44M,296.83M,,296.83M,163.21M,36.01M,79.02M,278.23M,,43.00M,976.51M,,,,,252.51M,,252.51M,,252.51M,1.525B,370.79M,1.896B,17.56M,2.166B,3.142B,,2016-03,140.18M,160.06M,113.83M,273.89M,,1.333M,,1.333M,11.66M,11.66M,,,292.28M,1.094B,,1.094B,154.61M,3.258M,157.87M,83.13M,19.25M,1.357B,1.649B,0.902M,1.735B,685.38M,799.66M,,-128.51M,1.493B,,2016-03,AOR,Restated
2015-12,328.02M,328.02M,262.30M,5.508M,260.00M,141.67M,32.39M,65.07M,239.12M,,35.54M,862.68M,0.00,34.34M,157.95M,428.40M,,13.38M,634.06M,-393.12M,240.94M,1.397B,287.84M,1.684B,17.45M,1.943B,2.805B,,2015-12,128.91M,162.17M,123.85M,286.03M,,1.087M,,1.087M,9.885M,9.885M,,,309.60M,839.71M,,839.71M,110.48M,3.763M,114.25M,76.19M,18.16M,1.053B,1.362B,0.902M,1.667B,679.62M,757.42M,,-146.50M,1.443B,,2015-12,AOR,Restated
2015-09,306.48M,306.48M,272.01M,,272.01M,147.53M,43.78M,61.21M,252.52M,,75.39M,906.40M,,,,,240.27M,,240.27M,,240.27M,1.400B,300.92M,1.701B,22.59M,1.964B,2.870B,,2015-09,129.22M,174.68M,129.72M,304.39M,,0.471M,,0.471M,9.696M,9.696M,,,324.19M,852.78M,,852.78M,153.50M,3.486M,156.99M,85.29M,18.51M,1.118B,1.442B,0.901M,1.625B,674.29M,730.31M,,-141.04M,1.429B,,2015-09,AOR,Restated
2015-06,311.50M,311.50M,286.11M,,286.11M,147.61M,44.62M,68.58M,260.81M,,75.18M,933.60M,,,,,234.63M,,234.63M,,234.63M,1.398B,313.69M,1.711B,23.77M,1.970B,2.903B,,2015-06,136.55M,181.94M,106.65M,288.59M,,0.469M,,0.469M,10.48M,10.48M,,,307.66M,874.78M,,874.78M,152.85M,3.692M,156.54M,87.10M,18.40M,1.141B,1.449B,0.901M,1.570B,671.18M,665.69M,,-121.32M,1.455B,,2015-06,AOR,Restated
2015-03,494.50M,494.50M,267.21M,,267.21M,140.24M,40.31M,63.02M,243.56M,,76.12M,1.081B,,,,,216.34M,,216.34M,,216.34M,1.294B,257.46M,1.551B,20.20M,1.788B,2.869B,,2015-03,131.02M,149.64M,105.63M,255.26M,,88.35M,,88.35M,11.18M,11.18M,,,360.04M,819.86M,,819.86M,130.97M,4.097M,135.06M,86.24M,14.58M,1.058B,1.418B,0.901M,1.550B,666.10M,618.78M,,-147.00M,1.451B,,2015-03,AOR,Restated
2014-12,509.14M,509.14M,260.41M,2.589M,256.04M,137.58M,37.18M,62.87M,237.63M,,72.98M,1.076B,0.00,31.12M,148.75M,409.32M,,14.34M,603.52M,-383.98M,219.54M,1.321B,271.16M,1.592B,15.69M,1.828B,2.903B,,2014-12,127.46M,161.00M,118.64M,279.64M,,98.95M,,98.95M,11.81M,11.81M,,,411.97M,760.40M,,760.40M,130.37M,4.612M,134.98M,90.58M,16.61M,1.005B,1.417B,0.898M,1.484B,647.55M,553.54M,,-92.28M,1.486B,,2014-12,AOR,Restated
2014-09,487.07M,487.07M,270.47M,,270.47M,144.64M,40.96M,65.47M,251.06M,,68.37M,1.077B,,,,,219.82M,,219.82M,,219.82M,1.336B,284.36M,1.621B,21.82M,1.862B,2.939B,,2014-09,134.41M,147.32M,114.95M,262.28M,,103.25M,,103.25M,12.72M,12.72M,,,398.55M,720.17M,,720.17M,144.44M,5.047M,149.49M,64.09M,15.78M,952.86M,1.351B,0.896M,1.466B,640.04M,480.70M,,-38.81M,1.588B,,2014-09,AOR,Restated
2014-06,485.34M,485.34M,272.15M,,272.15M,145.47M,43.06M,65.66M,254.18M,,69.86M,1.082B,,,,,223.40M,,223.40M,,223.40M,1.364B,300.28M,1.664B,22.05M,1.909B,2.991B,,2014-06,146.83M,181.20M,104.49M,285.69M,,111.54M,,111.54M,11.77M,11.77M,,,423.38M,705.33M,,705.33M,147.41M,4.763M,152.17M,66.67M,15.52M,942.74M,1.366B,0.895M,1.395B,629.48M,414.64M,,14.12M,1.625B,,2014-06,AOR,Restated
2014-03,458.38M,458.38M,287.90M,,287.90M,139.52M,43.40M,61.25M,244.18M,,72.92M,1.063B,,,,,216.04M,,216.04M,,216.04M,1.350B,300.71M,1.651B,21.76M,1.888B,2.952B,,2014-03,149.04M,175.51M,117.69M,293.20M,,1.393M,,1.393M,12.34M,12.34M,,,313.98M,778.85M,,778.85M,146.64M,5.184M,151.83M,67.73M,15.42M,1.017B,1.331B,0.894M,1.368B,622.09M,368.85M,,-1.425M,1.621B,,2014-03,AOR,Restated
2013-12,439.63M,439.63M,255.99M,3.075M,253.23M,133.47M,41.90M,55.60M,230.97M,,67.13M,990.95M,0.00,32.72M,150.32M,396.78M,,9.201M,589.02M,-375.53M,213.49M,1.349B,311.23M,1.661B,22.45M,1.897B,2.888B,,2013-12,133.31M,164.93M,107.40M,272.33M,,1.871M,,1.871M,9.455M,9.455M,,,304.61M,772.00M,,772.00M,144.91M,5.578M,150.49M,67.78M,15.09M,1.010B,1.315B,0.892M,1.294B,607.77M,326.10M,,-3.305M,1.573B,,2013-12,AOR,Restated
2013-09,399.80M,399.80M,255.98M,,255.98M,139.86M,40.65M,56.26M,236.77M,,58.22M,950.77M,,,,,214.25M,,214.25M,,214.25M,1.344B,321.40M,1.666B,18.78M,1.899B,2.849B,,2013-09,130.68M,161.38M,116.11M,277.49M,,4.379M,,4.379M,10.70M,10.70M,,,309.04M,780.04M,,780.04M,126.01M,5.948M,131.95M,94.22M,14.88M,1.026B,1.335B,0.891M,1.245B,598.52M,298.47M,,-31.22M,1.515B,,2013-09,AOR,Restated
2013-06,374.49M,374.49M,268.04M,,268.04M,135.87M,39.26M,56.38M,231.50M,,62.07M,936.10M,,,,,213.38M,,213.38M,,213.38M,1.330B,329.03M,1.659B,19.34M,1.892B,2.828B,,2013-06,127.29M,165.43M,101.24M,266.67M,,4.451M,,4.451M,12.58M,12.58M,,-0.001M,294.68M,811.01M,,811.01M,122.29M,6.304M,128.60M,94.75M,14.55M,1.053B,1.348B,0.888M,1.200B,586.11M,245.19M,,-61.92M,1.479B,,2013-06,AOR,Restated
2013-03,341.04M,341.04M,269.87M,,269.87M,136.87M,36.92M,65.79M,239.58M,,71.42M,921.92M,,,,,215.09M,,215.09M,,215.09M,1.326B,339.64M,1.666B,20.01M,1.901B,2.823B,,2013-03,122.38M,147.96M,111.44M,259.40M,,6.776M,,6.776M,11.76M,12.15M,0.386M,,283.62M,815.56M,,815.56M,121.02M,6.811M,127.83M,95.06M,13.87M,1.057B,1.341B,0.884M,1.175B,568.20M,194.09M,,-68.19M,1.482B,,2013-03,AOR,Restated
2012-12,318.86M,318.86M,257.11M,4.577M,256.10M,139.23M,33.02M,62.70M,234.95M,,71.96M,881.86M,0.00,31.79M,141.95M,384.46M,,12.04M,570.24M,-351.08M,219.16M,1.322B,341.37M,1.663B,21.26M,1.904B,2.785B,,2012-12,117.34M,146.88M,111.56M,258.44M,,7.335M,,7.335M,9.682M,9.682M,,,291.43M,779.24M,,779.24M,121.35M,6.534M,127.88M,96.85M,20.00M,1.029B,1.320B,0.877M,1.114B,550.68M,156.70M,,-43.40M,1.465B,,2012-12,AOR,Restated
2012-09,260.50M,260.50M,277.50M,,277.50M,147.18M,38.47M,63.92M,249.56M,,56.29M,843.86M,,,,,,,,,223.76M,1.491B,378.66M,1.869B,20.33M,2.114B,2.957B,,2012-09,117.79M,144.03M,31.15M,175.18M,,5.152M,,5.152M,16.15M,16.45M,0.306M,28.33M,294.04M,782.77M,,782.77M,157.97M,,157.97M,,113.82M,1.055B,1.349B,0.873M,1.249B,536.80M,142.30M,,-35.67M,1.609B,,2012-09,AOR,Restated
2012-06,221.11M,221.11M,,,265.21M,158.38M,35.98M,60.13M,254.50M,,57.27M,798.09M,,,,,,,,,215.67M,1.451B,371.48M,1.822B,20.60M,2.059B,2.857B,,2012-06,114.43M,131.12M,124.17M,255.28M,,5.616M,,5.616M,,,,,260.90M,753.72M,,753.72M,152.85M,,152.85M,,110.07M,1.017B,1.278B,0.871M,1.216B,527.61M,103.10M,,-61.64M,1.579B,,2012-06,AOR,Restated
2012-03,245.54M,245.54M,270.82M,,270.82M,155.25M,39.92M,58.39M,253.56M,,59.14M,829.07M,,,,,,,,,214.15M,1.442B,374.11M,1.816B,19.63M,2.050B,2.879B,,2012-03,116.21M,116.21M,129.26M,245.46M,,3.796M,,3.796M,,,,,249.26M,769.85M,,769.85M,147.12M,,147.12M,,112.32M,1.029B,1.279B,0.869M,1.195B,520.31M,77.10M,,-38.09M,1.601B,,2012-03,AOR,Restated
2011-12,230.26M,230.26M,254.82M,3.889M,252.84M,155.58M,40.51M,58.18M,254.26M,,51.80M,789.16M,0.00,30.32M,128.93M,377.28M,,8.82M,545.35M,-331.63M,213.72M,1.431B,382.22M,1.814B,19.64M,2.047B,2.836B,,2011-12,110.98M,134.66M,95.66M,230.31M,,2.444M,,2.444M,7.954M,8.121M,0.167M,,258.28M,806.37M,,806.37M,142.48M,3.198M,145.68M,91.54M,15.84M,1.065B,1.323B,0.86M,1.142B,490.13M,64.80M,,-55.47M,1.513B,,2011-12,AOR,Restated
2011-09,220.46M,220.46M,,,258.35M,163.33M,44.32M,63.97M,271.62M,,54.88M,805.31M,,,,,,,,,219.70M,1.442B,393.95M,1.836B,33.13M,2.088B,2.894B,,2011-09,119.74M,133.91M,173.85M,307.76M,,85.40M,,85.40M,,,,,393.16M,733.20M,,733.20M,166.32M,,166.32M,,95.62M,995.15M,1.388B,0.859M,1.109B,485.67M,64.63M,,-25.65M,1.505B,,2011-09,AOR,Restated
2011-06,202.96M,202.96M,,,270.23M,154.32M,51.80M,76.27M,282.38M,,58.43M,814.00M,,,,,,,,,231.54M,1.451B,406.34M,1.857B,20.45M,2.109B,2.923B,,2011-06,128.12M,142.21M,122.89M,265.11M,,85.02M,,85.02M,,,,,350.13M,793.12M,,793.12M,169.81M,,169.81M,,98.62M,1.062B,1.412B,0.858M,1.075B,478.17M,64.56M,,22.17M,1.512B,,2011-06,AOR,Restated
2011-03,195.55M,195.55M,,,242.18M,142.11M,26.08M,47.47M,215.65M,,50.63M,704.01M,,,,,,,,,199.70M,1.246B,299.33M,1.546B,16.13M,1.761B,2.465B,,2011-03,112.91M,112.91M,113.00M,225.91M,,102.80M,,102.80M,,,,,328.71M,415.38M,,415.38M,153.92M,,153.92M,,94.44M,663.73M,992.44M,0.854M,1.053B,464.13M,58.85M,,13.86M,1.473B,,2011-03,AOR,Restated
2010-12,235.14M,235.14M,212.90M,5.976M,213.55M,141.32M,24.76M,51.75M,196.55M,,47.52M,692.76M,0.00,23.96M,127.27M,349.79M,,7.003M,508.02M,-319.46M,188.56M,1.207B,281.39M,1.488B,11.98M,1.689B,2.382B,,2010-12,104.06M,142.51M,83.82M,226.33M,,119.44M,,119.44M,7.172M,7.895M,0.723M,,353.67M,408.45M,,408.45M,148.53M,,148.53M,,95.38M,652.37M,1.006B,0.846M,1.005B,441.27M,58.79M,,-12.71M,1.376B,,2010-12,AOR,Restated
2010-09,206.05M,206.05M,,,210.19M,130.03M,25.26M,54.68M,191.70M,,53.02M,660.96M,,,,,,,,,187.02M,1.209B,281.98M,1.491B,7.747M,1.686B,2.346B,,2010-09,94.30M,106.66M,163.12M,269.78M,,11.07M,,11.07M,,,,,280.85M,480.56M,,480.56M,158.54M,,158.54M,,90.75M,729.85M,1.011B,0.843M,975.70M,425.77M,57.45M,,-9.107M,1.336B,,2010-09,AOR,Restated
2010-06,159.14M,159.14M,,,200.43M,116.66M,23.34M,47.08M,170.11M,,47.77M,577.45M,,,,,,,,,179.28M,1.170B,277.43M,1.447B,7.721M,1.634B,2.212B,,2010-06,83.20M,95.43M,131.55M,226.98M,,10.56M,,10.56M,,,,,237.54M,459.83M,,459.83M,152.27M,,152.27M,,89.75M,701.86M,939.39M,0.841M,949.49M,417.94M,57.45M,,-38.69M,1.272B,,2010-06,AOR,Restated
2010-03,71.39M,71.39M,,,206.39M,115.71M,23.22M,46.49M,166.21M,,40.85M,484.83M,,,,,,,,,173.77M,1.163B,271.55M,1.435B,7.061M,1.616B,2.101B,,2010-03,81.39M,81.39M,99.98M,181.37M,,2.609M,,2.609M,,,,,183.98M,383.10M,,383.10M,148.78M,,148.78M,,93.64M,625.52M,809.50M,0.838M,933.60M,408.20M,56.71M,,5.105M,1.291B,,2010-03,AOR,Restated
2009-12,73.53M,73.53M,185.93M,3.412M,183.18M,113.78M,20.67M,43.63M,159.46M,,35.54M,451.71M,0.00,19.78M,125.74M,328.79M,,9.36M,483.66M,-305.38M,178.28M,1.180B,281.35M,1.462B,6.363M,1.646B,2.098B,,2009-12,73.02M,109.38M,67.42M,176.80M,,8.346M,,8.346M,4.48M,4.536M,0.056M,,189.68M,391.75M,,391.75M,148.81M,,148.81M,,99.81M,640.37M,830.05M,0.835M,896.98M,401.57M,56.71M,,25.43M,1.268B,,2009-12,AOR,Restated
2009-09,74.43M,74.43M,,,189.42M,104.09M,20.34M,37.95M,162.38M,,32.36M,458.59M,,,,,,,,,181.01M,1.186B,288.40M,1.475B,8.692M,1.664B,2.123B,,2009-09,76.32M,85.88M,114.68M,200.55M,,6.307M,,6.307M,,,,,206.86M,440.83M,,440.83M,146.86M,,146.86M,,91.92M,679.61M,886.47M,0.833M,873.59M,393.83M,56.60M,,24.72M,1.236B,,2009-09,AOR,Restated
2009-06,67.92M,67.92M,,,201.00M,105.16M,19.72M,42.10M,166.98M,,31.66M,467.54M,,,,,,,,,181.38M,1.177B,292.05M,1.469B,10.46M,1.661B,2.128B,,2009-06,75.22M,84.77M,101.42M,186.19M,,7.038M,,7.038M,,,,,193.23M,500.84M,,500.84M,144.69M,,144.69M,,88.47M,734.01M,927.23M,0.832M,853.48M,388.74M,56.16M,,14.13M,1.201B,,2009-06,AOR,Restated
2009-03,63.10M,63.10M,,,205.73M,108.91M,22.18M,45.71M,176.80M,,31.87M,477.50M,,,,,,,,,179.90M,1.152B,292.95M,1.445B,8.898M,1.634B,2.111B,,2009-03,84.97M,84.97M,98.67M,183.64M,,1.786M,,1.786M,,,,,185.42M,541.77M,,541.77M,137.83M,,137.83M,,93.03M,772.63M,958.05M,0.831M,844.89M,383.86M,55.60M,,-20.78M,1.153B,,2009-03,AOR,Restated
2008-12,61.35M,61.35M,205.78M,5.093M,205.27M,110.29M,22.48M,48.43M,181.20M,,32.87M,480.69M,0.00,19.92M,119.55M,338.61M,2.51M,14.33M,494.92M,-308.64M,186.28M,1.167B,303.23M,1.470B,14.54M,1.671B,2.152B,,2008-12,87.30M,96.83M,117.19M,214.01M,,5.856M,,5.856M,,,,,219.87M,548.14M,,548.14M,141.98M,,141.98M,,97.02M,787.15M,1.007B,0.828M,822.29M,377.15M,55.39M,,-0.092M,1.145B,,2008-12,,Restated
2008-09,233.98M,233.98M,210.19M,,210.19M,103.61M,22.74M,64.17M,190.51M,,22.84M,657.52M,,,,,,,465.10M,-293.01M,172.09M,1.046B,231.66M,1.278B,12.55M,1.463B,2.120B,,2008-09,88.65M,88.65M,106.31M,194.96M,,5.999M,,5.999M,,,,9.787M,210.74M,466.50M,,466.50M,138.43M,,138.43M,,48.54M,653.47M,864.21M,0.828M,830.53M,373.43M,5.393M,,56.58M,1.256B,,2008-09,,
