,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,748.89M,748.89M,585.10M,163.79M,52.80M,5.653M,,,,,52.80M,110.99M,,,,5.653M,,103.07M,25.78M,77.29M,-0.468M,,-0.498M,76.82M,73.05M,179.97M,68.98M,110.99M,0.76,-0.01,,0.7183,0.75,0.75,-0.01,,0.7086,0.75,101.75M,102.48M,0.235
2002-06,708.89M,708.89M,554.85M,154.04M,51.07M,2.621M,,,,,51.07M,102.97M,,,,2.621M,,95.75M,28.33M,67.42M,-2.047M,,3.02M,65.37M,65.57M,169.11M,66.14M,102.97M,0.66,-0.02,,0.6419,0.64,0.66,-0.02,,0.642,0.64,101.71M,102.75M,0.235
2002-03,587.08M,587.08M,496.78M,90.30M,60.72M,0.588M,,,,,60.72M,29.58M,,,,0.588M,,16.63M,5.006M,11.62M,,,-1.411M,11.62M,11.21M,92.68M,63.10M,29.58M,0.11,0.0,,0.106,0.11,0.11,0.0,,0.106,0.11,101.61M,102.64M,0.235
2001-12,573.77M,573.77M,445.96M,127.81M,-7.369M,-28.39M,,,,,-7.369M,135.18M,,,,-28.39M,,94.57M,30.28M,64.28M,,,1.007M,45.10M,83.58M,204.06M,68.88M,135.18M,0.53,-0.08,,0.7218,0.45,0.53,-0.09,,0.7175,0.44,100.64M,102.96M,0.225
2001-09,843.12M,843.12M,631.27M,211.85M,67.70M,0.994M,,,,,67.70M,144.15M,,,,0.994M,,132.23M,40.00M,92.23M,,,1.502M,92.23M,91.53M,216.56M,72.41M,144.15M,0.91,0.0,,0.9032,0.91,0.9,0.0,,0.8932,0.9,101.50M,102.61M,0.225
2001-06,828.32M,828.32M,629.45M,198.88M,70.54M,5.198M,,,,,70.54M,128.34M,,,,5.198M,,118.75M,39.12M,79.63M,,,0.598M,79.63M,76.14M,198.25M,69.92M,128.34M,0.79,0.0,,0.7556,0.79,0.78,0.0,,0.746,0.78,101.41M,102.65M,0.225
2001-03,569.13M,569.13M,483.62M,85.51M,67.07M,-1.509M,,,,,67.07M,18.44M,,,,-1.509M,,8.64M,2.92M,5.72M,,,5.375M,5.72M,6.719M,85.44M,67.00M,18.44M,0.06,0.0,,0.0699,0.06,0.06,0.0,,0.0698,0.06,101.32M,102.25M,0.225
2000-12,630.40M,630.40M,441.29M,189.11M,50.15M,-18.90M,,,,,117.26M,71.85M,,,,-18.90M,,40.18M,5.558M,34.62M,,,1.51M,34.62M,50.91M,138.96M,67.11M,71.85M,0.34,0.0,,0.5008,0.34,0.34,0.0,,0.4995,0.34,101.27M,102.08M,0.21
2000-09,681.21M,681.21M,449.36M,231.86M,54.82M,11.25M,,,,,112.12M,119.74M,,,,11.25M,,125.57M,39.62M,85.95M,,,3.861M,85.95M,78.25M,177.04M,57.30M,119.74M,0.85,0.0,,0.7739,0.85,0.84,0.0,,0.7645,0.84,101.20M,102.08M,0.21
2000-06,665.15M,665.15M,442.61M,222.54M,57.07M,8.954M,,,,,111.90M,110.64M,,,,8.954M,,111.72M,35.66M,76.06M,,,2.06M,76.06M,69.97M,165.48M,54.83M,110.64M,0.75,0.0,,0.6896,0.75,0.75,0.0,,0.6902,0.75,100.93M,102.00M,0.21
2000-03,514.98M,514.98M,362.68M,152.30M,59.58M,4.661M,,,,,112.70M,39.60M,,,,4.661M,,34.77M,11.51M,23.26M,,,0.412M,23.26M,20.14M,92.72M,53.12M,39.60M,0.23,0.0,,0.199,0.23,0.23,0.0,,0.1994,0.23,100.73M,101.90M,0.21
1999-12,605.60M,605.60M,407.90M,197.70M,50.80M,8.60M,,,,,105.40M,92.30M,,,,8.60M,,92.50M,27.70M,64.80M,,,,64.80M,58.78M,146.90M,54.60M,92.30M,0.65,0.0,,0.5899,0.65,0.64,0.0,,0.5809,0.64,100.29M,101.92M,0.195
1999-09,656.40M,656.40M,431.10M,225.30M,48.30M,13.10M,,,,,100.70M,124.60M,,,,13.10M,,125.10M,39.30M,85.80M,,,,85.80M,76.82M,177.00M,52.40M,124.60M,0.85,0.0,,0.761,0.85,0.84,0.0,,0.752,0.84,100.94M,102.14M,0.195
1999-06,611.50M,611.50M,406.90M,204.60M,52.30M,6.50M,,,,,103.40M,101.20M,,,,6.50M,,94.10M,31.40M,62.70M,,,,62.70M,58.37M,152.30M,51.10M,101.20M,0.62,0.0,,0.5772,0.62,0.61,0.0,,0.5679,0.61,101.13M,102.79M,0.195
1999-03,482.20M,482.20M,339.00M,143.20M,54.20M,11.40M,,,,,103.20M,40.00M,,,,11.40M,,39.90M,13.50M,26.40M,,,,26.40M,18.86M,89.00M,49.00M,40.00M,0.26,0.0,,0.1857,0.26,0.26,0.0,,0.1857,0.26,101.54M,101.54M,0.195
1998-12,442.10M,442.10M,270.20M,171.90M,58.30M,3.70M,,,,,93.60M,78.30M,,,,3.70M,,87.10M,27.70M,59.40M,,,,59.40M,56.88M,113.60M,35.30M,78.30M,0.6,0.0,,0.5747,0.6,0.58,0.0,,0.5552,0.58,99.55M,101.68M,0.1733
1998-09,509.50M,509.50M,297.50M,212.00M,47.10M,5.90M,,,,,85.70M,126.30M,,,,5.90M,,130.50M,40.60M,89.90M,,,,89.90M,85.84M,164.90M,34.60M,126.30M,0.89,0.0,,0.8498,0.89,0.88,0.0,,0.8402,0.88,101.01M,102.16M,0.1733
1998-06,465.80M,465.80M,285.90M,179.90M,46.90M,6.00M,,,,,81.50M,98.40M,,,,6.00M,,102.80M,32.80M,70.00M,,,,70.00M,65.91M,135.10M,36.70M,98.40M,0.69,0.0,,0.6497,0.69,0.68,0.0,,0.6403,0.68,101.45M,102.94M,0.1733
