,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,3.857B,185.00M,4.042B,5.356B,1.72B,7.076B,866.00M,536.00M,2.424B,3.826B,,,,,14.96B,,,,,,15.56B,-7.897B,7.659B,24.23B,20.94B,45.17B,913.00M,2.082B,120.00M,55.94B,70.91B,,2.476B,492.00M,212.00M,,3.18B,5.093B,8.273B,,737.00M,737.00M,,9.01B,21.15B,,21.15B,,,9.143B,202.00M,,30.30B,39.31B,,23.22B,23.86B,,9.947B,,,-5.733B,31.40B,,AOR,Restated
2017-12,9.407B,203.00M,9.61B,5.249B,,5.249B,790.00M,472.00M,2.339B,3.601B,1.667B,,,,20.15B,0.00,526.00M,3.613B,10.39B,732.00M,15.26B,-7.658B,7.607B,24.02B,21.47B,45.49B,883.00M,1.944B,176.00M,56.10B,76.25B,,2.402B,489.00M,309.00M,124.00M,3.324B,4.874B,8.198B,,714.00M,714.00M,,8.912B,27.21B,,27.21B,2.006B,2.006B,2.169B,201.00M,4.855B,36.24B,45.15B,,23.21B,23.98B,,10.22B,,,-6.062B,30.90B,,AOR,Restated
2017-09,11.01B,187.00M,11.20B,4.80B,1.895B,6.695B,754.00M,456.00M,2.273B,3.483B,,,,,21.38B,,,,,,14.70B,-7.479B,7.219B,22.07B,18.58B,40.64B,1.386B,1.565B,57.00M,50.87B,72.25B,,1.858B,462.00M,180.00M,,2.50B,4.72B,7.22B,,715.00M,715.00M,,7.935B,23.31B,,23.31B,,,8.785B,186.00M,,32.10B,40.03B,,23.12B,25.32B,,10.29B,,,-6.116B,32.03B,,AOR,Restated
2017-06,9.675B,160.00M,9.835B,4.633B,1.912B,6.545B,798.00M,450.00M,2.355B,3.603B,,,,,19.98B,,,,,,14.48B,-7.19B,7.286B,22.13B,18.65B,40.78B,1.545B,1.552B,,51.17B,71.15B,,1.667B,461.00M,192.00M,,2.32B,4.262B,6.582B,,221.00M,221.00M,,6.803B,23.81B,,23.81B,,,8.75B,186.00M,,32.56B,39.36B,,23.01B,25.20B,,10.36B,,,-6.25B,31.60B,,AOR,Restated
2017-03,8.706B,154.00M,8.86B,4.51B,1.964B,6.474B,782.00M,509.00M,2.704B,3.995B,,,,,19.33B,,,,,,14.17B,-6.907B,7.265B,21.35B,19.40B,40.76B,1.756B,1.779B,,51.56B,70.89B,,1.481B,461.00M,186.00M,,2.128B,4.308B,6.436B,,210.00M,210.00M,,6.646B,23.76B,,23.76B,,,8.93B,185.00M,,32.69B,39.34B,,22.89B,25.39B,,10.38B,,,-6.532B,31.36B,,AOR,Restated
2016-12,18.62B,155.00M,18.78B,3.248B,,3.248B,516.00M,294.00M,1.624B,2.434B,1.806B,,,,26.78B,0.00,408.00M,2.602B,8.394B,962.00M,12.37B,-6.661B,5.705B,7.683B,4.539B,12.22B,2.947B,2.263B,2.753B,25.89B,52.67B,,1.178B,391.00M,188.00M,110.00M,1.867B,3.223B,5.09B,,1.325B,1.325B,245.00M,6.66B,20.68B,,20.68B,356.00M,356.00M,2.154B,179.00M,2.039B,25.29B,31.95B,,13.03B,25.56B,,10.79B,,,-7.263B,20.54B,,AOR,Restated
2016-09,2.50B,2.007B,4.507B,3.32B,1.986B,5.306B,524.00M,326.00M,1.763B,2.613B,,,,,12.98B,,,,,,12.45B,-6.718B,5.734B,7.812B,4.674B,12.49B,2.997B,2.523B,2.779B,26.52B,39.50B,,1.051B,384.00M,240.00M,,1.675B,3.514B,5.189B,,2.535B,2.535B,597.00M,8.321B,5.975B,,5.975B,,,4.245B,120.00M,,10.28B,18.60B,,12.94B,25.16B,,10.79B,,,-6.533B,20.78B,,AOR,Restated
2016-06,2.578B,1.86B,4.438B,3.567B,2.104B,5.671B,608.00M,340.00M,1.865B,2.813B,,,,,12.99B,,,,,,12.71B,-6.886B,5.826B,9.752B,5.311B,15.06B,3.339B,2.613B,2.00M,26.84B,39.83B,,1.153B,383.00M,232.00M,,1.768B,3.648B,5.416B,,2.896B,2.896B,361.00M,8.673B,6.016B,,6.016B,,,4.347B,120.00M,,10.36B,19.04B,,12.84B,25.88B,,10.82B,,,-7.223B,20.68B,,AOR,Restated
2016-03,3.334B,623.00M,3.957B,3.43B,2.157B,5.587B,500.00M,306.00M,1.98B,2.786B,,,,,12.41B,,,,,,12.71B,-6.873B,5.836B,9.775B,5.458B,15.23B,3.552B,2.608B,2.00M,27.23B,39.64B,,1.053B,382.00M,261.00M,,1.696B,3.724B,5.42B,,2.613B,2.613B,360.00M,8.393B,5.977B,,5.977B,,,4.425B,120.00M,,10.40B,18.80B,,12.74B,25.65B,,10.82B,,,-6.851B,20.72B,,AOR,Restated
2015-12,5.001B,1.124B,6.125B,3.418B,,3.418B,539.00M,316.00M,1.744B,2.599B,1.908B,,,,14.16B,0.00,432.00M,2.769B,8.254B,928.00M,12.38B,-6.653B,5.73B,9.638B,5.562B,15.20B,4.041B,2.119B,2.00M,27.09B,41.25B,,1.081B,383.00M,430.00M,140.00M,2.034B,3.649B,5.683B,,3.13B,3.13B,373.00M,9.186B,5.871B,,5.871B,808.00M,808.00M,2.241B,115.00M,1.815B,10.74B,19.92B,,12.73B,25.76B,,10.62B,,,-6.658B,21.21B,,AOR,Restated
2015-09,3.132B,3.007B,6.139B,3.46B,3.523B,6.983B,534.00M,289.00M,1.81B,2.633B,,,,,15.89B,,,,,,12.53B,-6.731B,5.797B,9.75B,5.844B,15.59B,3.055B,1.383B,2.00M,25.83B,41.72B,,1.007B,359.00M,483.00M,,1.849B,4.148B,5.997B,,2.402B,2.402B,356.00M,8.755B,5.953B,,5.953B,,,5.798B,108.00M,,11.75B,20.51B,,12.64B,25.38B,,9.694B,,,-7.211B,21.11B,,AOR,Restated
2015-06,4.048B,7.129B,11.18B,3.553B,3.573B,7.126B,563.00M,303.00M,1.869B,2.735B,,,,,21.13B,,,,,,12.43B,-6.695B,5.738B,9.896B,5.785B,15.68B,243.00M,1.33B,2.00M,22.99B,44.12B,,1.00B,358.00M,589.00M,,1.947B,4.047B,5.994B,,2.899B,2.899B,292.00M,9.185B,5.862B,,5.862B,,,5.952B,118.00M,,11.81B,21.00B,,12.57B,25.16B,,9.716B,,,-5.004B,23.01B,,AOR,Restated
2015-03,3.226B,6.623B,9.849B,3.481B,3.859B,7.34B,556.00M,287.00M,1.78B,2.623B,,,,,19.98B,,,,,,12.25B,-6.552B,5.699B,9.855B,5.979B,15.83B,244.00M,1.33B,3.00M,23.11B,43.10B,,1.012B,358.00M,534.00M,,1.904B,4.029B,5.933B,,2.972B,2.972B,301.00M,9.206B,5.931B,,5.931B,,,5.97B,114.00M,,11.90B,21.11B,,12.46B,24.74B,,9.721B,,,-5.607B,21.87B,,AOR,Restated
2014-12,4.063B,397.00M,4.46B,3.586B,,3.586B,558.00M,278.00M,1.807B,2.643B,1.975B,,,,13.56B,0.00,457.00M,2.968B,8.48B,727.00M,12.63B,-6.697B,5.935B,10.07B,6.198B,16.26B,229.00M,3.288B,1.934B,27.65B,41.21B,,1.064B,362.00M,270.00M,88.00M,1.784B,3.566B,5.35B,,4.437B,4.437B,680.00M,10.47B,3.393B,,3.393B,872.00M,872.00M,2.875B,113.00M,1.853B,9.101B,19.57B,,12.38B,22.87B,,8.678B,,,-5.053B,21.53B,,AOR,Restated
2014-09,3.613B,1.264B,4.877B,3.618B,4.173B,7.791B,533.00M,290.00M,1.873B,2.696B,,,,,16.46B,,,,,,12.69B,-6.822B,5.872B,10.05B,6.094B,16.14B,221.00M,1.772B,2.043B,26.05B,42.51B,,965.00M,332.00M,481.00M,,1.778B,3.742B,5.52B,,4.582B,4.582B,721.00M,10.82B,3.719B,,3.719B,,,4.883B,105.00M,,8.698B,19.52B,,12.21B,22.34B,,8.679B,,,-2.975B,22.89B,,AOR,Restated
2014-06,3.57B,3.492B,7.062B,4.056B,4.065B,8.121B,564.00M,339.00M,1.92B,2.823B,,,,,18.26B,,,,,,13.10B,-7.161B,5.935B,9.751B,5.428B,15.18B,130.00M,1.921B,52.00M,23.22B,41.48B,,1.062B,331.00M,181.00M,,1.574B,4.075B,5.649B,,3.962B,3.962B,242.00M,9.853B,3.403B,,3.403B,,,4.514B,102.00M,,7.918B,17.77B,,12.13B,22.14B,,8.709B,,,-1.952B,23.60B,,AOR,Restated
2014-03,2.06B,4.987B,7.047B,3.883B,3.977B,7.86B,532.00M,322.00M,1.921B,2.775B,,,,,17.93B,,,,,,13.00B,-7.057B,5.948B,9.781B,5.613B,15.39B,122.00M,2.214B,53.00M,23.73B,41.66B,,1.074B,331.00M,152.00M,,1.557B,4.082B,5.639B,,4.378B,4.378B,169.00M,10.19B,3.387B,,3.387B,,,4.599B,99.00M,,7.987B,18.17B,,12.03B,22.00B,,8.713B,,,-1.934B,23.39B,,AOR,Restated
2013-12,3.475B,4.623B,8.098B,3.986B,,3.986B,478.00M,349.00M,1.866B,2.693B,1.504B,,2.528B,,19.25B,0.00,502.00M,2.994B,8.506B,868.00M,12.87B,-6.965B,5.905B,9.772B,5.735B,15.51B,119.00M,2.109B,66.00M,23.71B,42.95B,,1.026B,341.00M,175.00M,136.00M,1.678B,4.27B,5.948B,,3.173B,3.173B,386.00M,9.507B,3.388B,,3.388B,466.00M,466.00M,1.818B,96.00M,2.50B,8.179B,17.69B,,12.05B,21.98B,,6.844B,,,-2.012B,25.17B,,AOR,Restated
2013-09,2.882B,5.723B,8.605B,3.883B,3.918B,7.800B,513.53M,379.14M,1.911B,2.804B,,,,,19.75B,,,,,,12.71B,-6.872B,5.842B,9.724B,5.927B,15.65B,142.53M,2.671B,76.90M,24.38B,44.13B,,1.009B,216.94M,228.18M,,1.454B,4.669B,6.123B,,4.860B,4.860B,348.50M,11.33B,3.403B,,3.403B,,,5.604B,91.69M,,9.013B,20.34B,,11.79B,21.67B,,6.809B,,,-2.957B,23.70B,,AOR,Restated
2013-06,5.572B,3.821B,9.394B,3.939B,3.240B,7.179B,514.12M,353.80M,1.857B,2.725B,,,,,19.83B,,,,,,12.52B,-6.751B,5.769B,9.358B,5.643B,15.00B,154.27M,2.078B,71.11M,23.07B,42.90B,,1.042B,218.05M,138.77M,,1.399B,4.694B,6.093B,,4.524B,4.524B,302.38M,10.92B,3.411B,,3.411B,,,6.139B,91.58M,,9.556B,20.48B,,11.73B,20.32B,,6.487B,,,-3.226B,22.34B,,AOR,Restated
2013-03,4.373B,4.144B,8.517B,3.918B,3.414B,7.332B,537.05M,367.55M,1.806B,2.710B,,,,,19.10B,,,,,,12.42B,-6.625B,5.791B,9.425B,6.058B,15.48B,146.08M,2.098B,71.95M,23.59B,42.69B,,1.088B,218.87M,141.98M,,1.449B,5.052B,6.501B,,3.636B,3.636B,269.54M,10.41B,3.467B,,3.467B,,,6.125B,95.09M,,9.597B,20.00B,,11.62B,20.06B,,6.195B,,,-2.895B,22.59B,,AOR,Restated
2012-12,10.80B,4.372B,15.17B,7.613B,,7.613B,818.00M,629.00M,2.346B,3.793B,1.757B,,2.986B,,31.32B,0.00,605.00M,4.259B,13.11B,954.00M,18.93B,-10.87B,8.063B,15.77B,8.588B,24.36B,274.00M,3.213B,,35.91B,67.24B,,1.797B,221.00M,655.00M,1.02B,3.693B,7.196B,10.89B,,2.391B,2.391B,,13.28B,18.08B,,18.08B,710.00M,710.00M,4.871B,92.00M,3.476B,27.14B,40.42B,,11.76B,24.15B,,5.591B,,,-3.594B,26.72B,,AOR,Restated
2012-09,7.997B,3.508B,11.50B,6.949B,,6.949B,783.42M,530.46M,2.500B,3.814B,4.997B,,,,27.26B,,,,,,18.63B,-10.67B,7.961B,15.71B,8.960B,24.67B,380.38M,2.984B,,35.99B,63.26B,,1.605B,808.26M,709.36M,,3.123B,7.542B,10.67B,,4.225B,4.225B,,16.29B,12.05B,,12.05B,,,7.813B,90.17M,,19.87B,36.15B,,0.00,23.33B,11.42B,4.975B,,,-2.756B,27.01B,,AOR,Restated
2012-06,7.053B,3.949B,11.00B,6.768B,,6.768B,751.02M,503.27M,2.264B,3.518B,4.969B,,,,26.26B,,,,,,18.21B,-10.38B,7.831B,15.36B,8.984B,24.34B,389.90M,3.041B,,35.60B,61.86B,,1.519B,800.45M,477.46M,,2.797B,7.015B,9.812B,,6.083B,6.083B,,17.12B,12.00B,,12.00B,,,8.163B,85.52M,,20.17B,37.29B,,10.82B,22.23B,,5.013B,,,-3.544B,24.49B,,AOR,Restated
2012-03,4.346B,5.181B,9.527B,7.660B,,7.660B,731.61M,497.47M,2.320B,3.549B,4.866B,,,,25.60B,,,,,,18.38B,-10.42B,7.955B,15.90B,9.792B,25.70B,374.75M,2.788B,,36.81B,62.42B,,1.727B,802.61M,759.36M,,3.289B,7.690B,10.98B,,4.785B,4.785B,,16.79B,11.86B,,11.86B,,,8.225B,89.74M,,20.09B,36.87B,,10.38B,21.31B,,4.298B,,,-1.941B,25.45B,,AOR,Restated
2011-12,6.813B,1.285B,8.097B,7.684B,,7.684B,631.36M,432.36M,2.221B,3.284B,2.003B,0.00,2.701B,,23.77B,0.00,633.92M,4.467B,12.22B,698.87M,18.02B,-10.14B,7.874B,15.71B,9.990B,25.70B,378.22M,2.561B,,36.51B,60.28B,,1.721B,754.28M,514.95M,1.049B,4.039B,8.066B,12.11B,,3.375B,3.375B,-0.006M,15.48B,12.04B,,12.04B,703.00M,703.00M,3.301B,86.31M,4.227B,20.27B,35.75B,,9.817B,20.91B,,3.687B,,,-2.597B,24.44B,,AOR,Restated
2011-09,5.049B,2.927B,7.977B,7.044B,,7.044B,584.34M,389.15M,2.296B,3.269B,4.805B,,,,23.09B,,,,,,17.52B,-9.542B,7.977B,16.23B,10.79B,27.02B,392.79M,1.139B,,36.53B,59.63B,,1.602B,747.76M,466.86M,,2.817B,7.649B,10.47B,,3.625B,3.625B,,15.41B,13.10B,,13.10B,,,6.428B,85.17M,,19.53B,34.94B,,0.00,,9.103B,3.691B,,,-860.28M,24.60B,,AOR,Restated
2011-06,4.077B,4.816B,8.893B,7.038B,,7.038B,686.28M,515.88M,2.273B,3.475B,4.726B,,,,24.13B,,,,,,17.63B,-9.498B,8.128B,16.76B,11.74B,28.50B,451.93M,795.16M,,37.87B,62.00B,,1.449B,747.09M,487.38M,,2.683B,6.326B,9.009B,,5.591B,5.591B,,15.84B,12.63B,,12.63B,,,7.067B,90.85M,,19.69B,35.53B,,0.00,,9.006B,3.714B,,,577.78M,26.38B,,AOR,Restated
2011-03,2.740B,5.636B,8.376B,7.160B,,7.160B,620.29M,491.42M,2.289B,3.401B,4.710B,,,,23.65B,,,,,,17.34B,-9.259B,8.078B,16.63B,12.21B,28.84B,390.12M,699.09M,,38.00B,61.65B,,1.577B,746.05M,1.272B,,3.596B,6.396B,9.992B,,6.252B,6.252B,,17.23B,12.53B,,12.53B,,,7.176B,90.68M,,19.71B,36.93B,,0.00,,8.843B,3.719B,,,182.05M,24.63B,,AOR,Restated
2010-12,3.648B,1.803B,5.451B,7.184B,,7.184B,746.42M,383.58M,2.059B,3.189B,1.545B,1.872B,3.076B,,22.32B,0.00,648.99M,4.334B,11.81B,577.46M,17.37B,-9.403B,7.971B,15.93B,12.15B,28.08B,302.05M,1.902B,,38.26B,60.57B,,1.536B,680.75M,1.308B,900.00M,4.424B,6.444B,10.87B,,6.395B,6.395B,-0.228M,17.26B,12.52B,,12.52B,1.112B,1.112B,2.425B,88.33M,4.486B,20.55B,37.81B,,8.745B,19.22B,,3.917B,,,-1.367B,22.68B,,AOR,Restated
2010-09,3.818B,31.81M,3.850B,6.249B,,6.249B,577.93M,705.68M,2.025B,3.309B,4.168B,1.872B,,,19.45B,,,,,,17.26B,-9.319B,7.940B,15.81B,12.65B,28.45B,255.15M,1.277B,,37.93B,57.37B,,1.532B,,874.92M,5.677B,8.084B,,8.084B,,5.806B,5.806B,,15.58B,12.91B,,12.91B,,,7.396B,78.79M,,20.31B,35.89B,,0.00,,8.624B,3.918B,,,-1.483B,21.40B,,AOR,Restated
2010-06,4.322B,51.08M,4.373B,6.338B,,6.338B,510.11M,724.84M,1.934B,3.169B,4.165B,1.871B,,,19.92B,,,,,,16.86B,-8.981B,7.876B,14.22B,10.27B,24.48B,251.24M,854.75M,,33.47B,53.38B,,1.616B,,906.67M,6.299B,8.821B,,8.821B,,5.868B,5.868B,,14.69B,12.61B,,12.61B,,,6.085B,82.92M,,18.70B,33.39B,,0.00,17.98B,8.505B,3.942B,,,-2.629B,19.91B,,AOR,Restated
2010-03,1.567B,255.25M,1.822B,6.520B,,6.520B,525.15M,746.89M,2.139B,3.411B,4.067B,,,1.87B,17.69B,,,,,,16.80B,-8.743B,8.060B,15.01B,10.66B,25.67B,1.120B,816.29M,,35.67B,53.36B,,1.664B,,769.49M,6.302B,8.735B,,8.735B,,6.449B,6.449B,,15.18B,10.88B,,10.88B,,,6.284B,152.24M,,17.16B,32.35B,,0.00,17.37B,8.414B,3.946B,,,-975.67M,20.86B,,AOR,Restated
2009-12,8.809B,1.123B,9.932B,6.542B,,6.542B,527.11M,448.49M,2.289B,3.265B,1.211B,,2.364B,,23.31B,0.00,546.20M,4.010B,11.33B,604.81M,16.49B,-8.867B,7.619B,13.20B,6.292B,19.49B,1.133B,858.21M,,29.10B,52.42B,,1.281B,620.64M,442.14M,,2.343B,4.363B,6.706B,,5.190B,5.190B,36.10M,13.05B,11.27B,,11.27B,,,5.202B,43.10M,,16.47B,29.52B,,0.00,17.05B,8.258B,3.310B,,,854.07M,22.86B,,AOR,Restated
2009-09,4.876B,3.819B,8.695B,5.475B,,5.475B,587.32M,600.33M,2.234B,3.422B,3.824B,,,,21.42B,,,,,,16.13B,-8.612B,7.522B,12.54B,5.913B,18.45B,1.111B,1.346B,,28.43B,49.85B,,1.395B,,1.184B,5.831B,8.411B,,8.411B,,4.078B,4.078B,36.10M,12.52B,11.58B,,11.58B,,,4.371B,39.70M,,15.95B,28.47B,,0.00,16.15B,8.006B,3.322B,,,498.97M,21.34B,,AOR,Restated
2009-06,4.204B,2.684B,6.888B,5.453B,,5.453B,610.79M,647.61M,2.262B,3.521B,3.767B,,,,19.63B,,,,,,15.88B,-8.436B,7.448B,12.22B,5.996B,18.21B,1.052B,1.287B,,28.00B,47.63B,,1.185B,,932.32M,5.557B,7.674B,,7.674B,,4.332B,4.332B,36.10M,12.04B,11.37B,,11.37B,,,4.296B,40.96M,,15.67B,27.71B,,0.00,15.30B,7.927B,3.338B,,,-6.616M,19.88B,,AOR,Restated
2009-03,4.875B,828.98M,5.704B,5.227B,,5.227B,603.52M,686.22M,1.869B,3.159B,3.918B,,,,18.01B,,,,,,15.33B,-8.020B,7.310B,11.65B,6.065B,17.71B,1.054B,1.352B,,27.43B,45.44B,,1.185B,,926.51M,5.502B,7.613B,,7.613B,,4.038B,4.038B,118.85M,11.77B,11.68B,,11.68B,,,4.008B,39.84M,,15.68B,27.45B,,0.00,14.63B,7.853B,3.344B,,,-1.195B,17.94B,,AOR,Restated
2008-12,4.112B,967.60M,5.080B,,,5.466B,531.76M,698.14M,1.546B,2.776B,,,2.463B,1.259B,17.04B,0.00,509.61M,3.699B,10.37B,613.94M,15.19B,-7.970B,7.219B,9.987B,5.151B,15.14B,1.074B,1.945B,,25.38B,42.42B,,1.351B,559.06M,805.40M,,2.716B,5.228B,7.944B,,2.732B,2.732B,915.98M,11.59B,8.713B,,8.713B,,,4.595B,39.14M,,13.31B,24.90B,,0.00,13.83B,7.444B,2.626B,,,-1.164B,17.48B,,AOR,Restated
2008-09,2.810B,956.13M,3.766B,4.994B,,4.994B,604.37M,702.61M,1.793B,3.100B,3.366B,,,,15.23B,,,,,,16.12B,-8.483B,7.641B,10.73B,5.683B,16.41B,,1.390B,1.082B,26.53B,41.75B,,1.224B,,,,1.224B,5.689B,6.913B,,2.096B,2.096B,549.86M,9.559B,9.265B,,9.265B,,,,,3.583B,12.85B,22.41B,,0.00,12.45B,7.309B,2.240B,,,1.823B,19.35B,,,
