,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,7.281B,7.767B,3.282B,4.485B,2.466B,575.00M,562.00M,0.00,210.00M,21.00M,-189.00M,,3.603B,882.00M,21.00M,210.00M,-189.00M,84.00M,-189.00M,777.00M,59.00M,718.00M,15.00M,733.00M,712.46M,1.837B,850.00M,987.00M,,0.41,0.01,0.4068,0.42,,0.40,0.01,0.3969,0.41,,1.758B,1.769B,0.28,,AOR,Restated
2018-03,6.96B,7.39B,3.067B,4.323B,2.542B,589.00M,584.00M,-14.00M,227.00M,28.00M,-199.00M,,3.715B,608.00M,28.00M,227.00M,-199.00M,22.00M,-199.00M,431.00M,22.00M,409.00M,9.00M,418.00M,419.44M,1.51B,852.00M,658.00M,,0.23,0.01,0.2360,0.24,,0.23,0.00,0.2359,0.23,,1.753B,1.765B,0.28,,AOR,Restated
2017-12,7.352B,7.589B,3.282B,4.307B,2.477B,619.00M,560.00M,0.00,246.00M,35.00M,-211.00M,,3.656B,651.00M,35.00M,246.00M,-211.00M,134.00M,-211.00M,574.00M,1.438B,-864.00M,36.00M,-828.00M,-864.00M,1.663B,843.00M,820.00M,,-0.4955,0.0206,-0.4955,-0.4749,,-0.50,0.02,-0.50,-0.48,,1.748B,1.757B,0.265,,AOR,Restated
2017-09,6.829B,6.829B,2.876B,3.953B,2.115B,568.00M,501.00M,0.00,218.00M,36.00M,-182.00M,,3.184B,769.00M,36.00M,218.00M,-182.00M,39.00M,-182.00M,626.00M,65.00M,561.00M,42.00M,603.00M,555.62M,1.60B,756.00M,844.00M,,0.32,0.02,0.3169,0.34,,0.32,0.02,0.3169,0.34,,1.744B,1.754B,0.265,,AOR,Restated
2017-06,6.637B,6.637B,3.189B,3.448B,2.15B,520.00M,392.00M,0.00,214.00M,31.00M,-183.00M,,3.062B,386.00M,31.00M,214.00M,-183.00M,92.00M,-183.00M,295.00M,25.00M,270.00M,13.00M,283.00M,259.02M,1.157B,648.00M,509.00M,,0.15,0.01,0.1437,0.16,,0.15,0.01,0.1437,0.16,,1.741B,1.749B,0.265,,AOR,Restated
2017-03,6.335B,6.335B,3.062B,3.273B,2.44B,553.00M,522.00M,0.00,226.00M,22.00M,-204.00M,,3.515B,-242.00M,22.00M,226.00M,-204.00M,1.182B,-204.00M,736.00M,350.00M,386.00M,33.00M,419.00M,376.40M,1.736B,774.00M,962.00M,,0.22,0.02,0.2144,0.24,,0.22,0.02,0.2145,0.24,,1.727B,1.735B,0.265,,AOR,Restated
2016-12,2.947B,5.333B,2.382B,2.951B,1.673B,368.00M,121.00M,,153.00M,24.00M,-129.00M,,2.162B,789.00M,24.00M,153.00M,-129.00M,215.00M,-129.00M,875.00M,110.00M,765.00M,33.00M,798.00M,763.25M,1.347B,319.00M,1.028B,,0.5194,0.0224,0.5182,0.5418,,0.51,0.02,0.5088,0.53,,1.479B,1.484B,0.26,,AOR,Restated
2016-09,5.302B,5.302B,2.285B,3.017B,1.628B,352.00M,140.00M,,117.00M,22.00M,-95.00M,,2.12B,897.00M,22.00M,117.00M,-95.00M,-981.00M,-95.00M,-179.00M,178.00M,-357.00M,28.00M,-329.00M,-351.60M,278.00M,340.00M,-62.00M,,-0.24,0.02,-0.2363,-0.22,,-0.24,0.02,-0.2363,-0.22,,1.476B,1.476B,0.26,,AOR,Restated
2016-06,5.333B,5.333B,2.287B,3.046B,1.737B,348.00M,145.00M,,103.00M,20.00M,-83.00M,,2.23B,816.00M,20.00M,103.00M,-83.00M,-18.00M,-83.00M,715.00M,116.00M,599.00M,16.00M,615.00M,607.38M,1.165B,347.00M,818.00M,,0.40,0.01,0.4057,0.41,,0.40,0.01,0.4057,0.41,,1.475B,1.480B,0.26,,AOR,Restated
2016-03,4.885B,4.885B,2.14B,2.745B,1.698B,379.00M,144.00M,,58.00M,33.00M,-25.00M,,2.221B,524.00M,33.00M,58.00M,-25.00M,-497.00M,-25.00M,2.00M,-54.00M,56.00M,260.00M,316.00M,342.80M,407.00M,347.00M,60.00M,,0.04,0.17,0.2341,0.21,,0.04,0.17,0.2333,0.21,,1.477B,1.484B,0.26,,AOR,Restated
2015-12,5.188B,5.188B,2.206B,2.982B,1.655B,369.00M,143.00M,,41.00M,32.00M,-9.00M,,2.167B,815.00M,32.00M,41.00M,-9.00M,24.00M,-9.00M,830.00M,135.00M,695.00M,72.00M,767.00M,669.88M,1.237B,366.00M,871.00M,,0.4719,0.0489,0.4550,0.5208,,0.46,0.0489,0.4432,0.51,,1.487B,1.497B,0.24,,AOR,Restated
2015-09,5.15B,5.15B,2.242B,2.908B,1.666B,378.00M,151.00M,,41.00M,25.00M,-16.00M,,2.195B,713.00M,25.00M,41.00M,-16.00M,17.00M,-16.00M,714.00M,118.00M,596.00M,-16.00M,580.00M,584.31M,1.138B,383.00M,755.00M,,0.40,-0.01,0.3922,0.39,,0.39,-0.01,0.3822,0.38,,1.495B,1.505B,0.24,,AOR,Restated
2015-06,5.17B,5.17B,2.218B,2.952B,1.727B,345.00M,151.00M,,44.00M,27.00M,-17.00M,,2.223B,729.00M,27.00M,44.00M,-17.00M,274.00M,-17.00M,986.00M,200.00M,786.00M,-2.00M,784.00M,789.99M,1.382B,352.00M,1.03B,,0.52,0.00,0.5227,0.52,,0.52,0.00,0.5226,0.52,,1.494B,1.504B,0.24,,AOR,Restated
2015-03,4.897B,4.897B,2.081B,2.816B,1.737B,313.00M,156.00M,,37.00M,21.00M,-16.00M,,2.206B,610.00M,21.00M,37.00M,-16.00M,59.00M,-16.00M,653.00M,124.00M,529.00M,1.763B,2.292B,485.25M,1.061B,371.00M,690.00M,,0.35,1.17,0.3209,1.52,,0.35,1.16,0.3211,1.51,,1.505B,1.516B,0.24,,AOR,Restated
2014-12,5.356B,5.356B,2.337B,3.019B,1.666B,361.00M,163.00M,,43.00M,24.00M,-19.00M,,2.19B,829.00M,24.00M,43.00M,-19.00M,-6.00M,-19.00M,804.00M,170.00M,634.00M,270.00M,904.00M,634.00M,1.242B,395.00M,847.00M,,0.4204,0.1797,0.4204,0.6001,,0.41,0.1797,0.41,0.59,,1.510B,1.522B,0.22,,AOR,Restated
2014-09,5.079B,5.079B,2.319B,2.76B,1.595B,305.00M,132.00M,,35.00M,18.00M,-17.00M,,2.032B,728.00M,18.00M,35.00M,-17.00M,4.00M,-17.00M,715.00M,277.00M,438.00M,100.00M,538.00M,437.39M,1.105B,355.00M,750.00M,,0.29,0.07,0.2896,0.36,,0.29,0.07,0.2896,0.36,,1.509B,1.520B,0.22,,AOR,Restated
2014-06,5.057B,5.057B,2.288B,2.769B,1.649B,310.00M,133.00M,,36.00M,19.00M,-17.00M,,2.092B,677.00M,19.00M,36.00M,-17.00M,-2.00M,-17.00M,658.00M,233.00M,425.00M,41.00M,466.00M,425.00M,1.094B,400.00M,694.00M,,0.28,0.03,0.28,0.31,,0.28,0.02,0.28,0.30,,1.507B,1.517B,0.22,,AOR,Restated
2014-03,4.755B,4.755B,2.274B,2.481B,1.62B,369.00M,127.00M,,36.00M,16.00M,-20.00M,,2.116B,365.00M,16.00M,36.00M,-20.00M,-4.00M,-20.00M,341.00M,117.00M,224.00M,151.00M,375.00M,224.66M,775.00M,398.00M,377.00M,,0.14,0.10,0.1404,0.24,,0.14,0.10,0.1404,0.24,,1.533B,1.548B,0.22,,AOR,Restated
2013-12,5.014B,5.014B,2.339B,2.675B,1.541B,359.00M,147.00M,,33.00M,19.00M,-14.00M,,2.047B,628.00M,19.00M,33.00M,-14.00M,-6.00M,-14.00M,608.00M,124.00M,484.00M,105.00M,589.00M,491.96M,1.067B,426.00M,641.00M,,0.3805,0.00,0.3856,0.3805,,0.37,0.00,0.3751,0.37,,1.551B,1.567B,0.14,,AOR,Restated
2013-09,4.825B,4.825B,2.255B,2.57B,1.612B,339.00M,146.00M,,37.00M,16.00M,-21.00M,,2.097B,473.00M,16.00M,37.00M,-21.00M,29.00M,-21.00M,481.00M,-163.00M,644.00M,322.00M,966.00M,642.70M,954.00M,436.00M,518.00M,,0.41,0.21,0.4092,0.62,,0.41,0.20,0.4092,0.61,,1.552B,1.567B,0.14,,AOR,Restated
2013-06,5.446B,5.446B,2.545B,2.901B,1.714B,363.00M,197.00M,,40.00M,17.00M,-23.00M,,2.274B,627.00M,17.00M,40.00M,-23.00M,-3.00M,-23.00M,601.00M,125.00M,476.00M,0.00,476.00M,484.71M,1.077B,436.00M,641.00M,,0.30,0.00,0.3056,0.30,,0.30,0.00,0.3055,0.30,,1.561B,1.577B,0.14,,AOR,Restated
2013-03,5.378B,5.378B,2.432B,2.946B,1.786B,346.00M,199.00M,,41.00M,15.00M,-26.00M,,2.331B,615.00M,15.00M,41.00M,-26.00M,-35.00M,-26.00M,554.00M,10.00M,544.00M,0.00,544.00M,572.48M,1.016B,421.00M,595.00M,,0.35,0.00,0.3682,0.35,,0.34,0.00,0.3580,0.34,,1.569B,1.586B,0.14,,AOR,Restated
2012-12,3.188B,3.188B,1.681B,1.507B,1.158B,377.03M,-4.502M,,-86.09M,-129.71M,-43.62M,,1.531B,-23.39M,-129.71M,-86.09M,-43.62M,-1.377B,-43.62M,-1.444B,-580.21M,-863.98M,1.917B,1.053B,-868.92M,-942.71M,587.57M,-1.530B,,-0.55,1.22,-0.5531,0.67,,-0.55,1.20,-0.5531,0.66,,1.577B,1.595B,0.51,,AOR,Restated
2012-09,5.265B,5.265B,2.489B,2.776B,1.920B,350.65M,195.09M,,152.03M,63.86M,-88.17M,,2.466B,310.02M,63.86M,152.03M,-88.17M,9.463M,-88.17M,231.31M,-107.61M,338.92M,1.604B,1.943B,331.03M,1.143B,759.73M,383.34M,,0.21,1.01,0.2050,1.22,,0.21,1.00,0.2050,1.21,,1.577B,1.594B,0.51,,AOR,Restated
2012-06,5.313B,5.313B,2.370B,2.943B,1.814B,370.60M,194.82M,,83.29M,18.89M,-64.40M,,2.379B,564.19M,18.89M,83.29M,-64.40M,29.71M,-64.40M,529.50M,118.66M,410.84M,1.314B,1.725B,391.80M,1.304B,691.44M,612.79M,,0.26,0.83,0.2479,1.09,,0.26,0.82,0.2480,1.08,,1.572B,1.589B,0.51,,AOR,Restated
2012-03,5.284B,5.284B,2.359B,2.925B,1.842B,363.71M,209.59M,,82.08M,16.27M,-65.81M,,2.415B,509.18M,16.27M,82.08M,-65.81M,20.00M,-65.81M,463.38M,112.16M,351.22M,890.91M,1.242B,362.51M,1.289B,743.27M,545.46M,,0.22,0.57,0.2272,0.79,,0.22,0.56,0.2271,0.78,,1.574B,1.590B,0.48,,AOR,Restated
2011-12,-7.067B,-7.067B,-1.686B,-5.381B,-2.486B,-1.466B,,402.57M,-45.06M,3.60M,48.66M,,-3.068B,-2.313B,3.60M,-45.06M,48.66M,255.39M,48.66M,-2.009B,-25.16M,-1.984B,,1.618B,-2.353B,-1.405B,648.54M,-2.054B,,-1.27,2.31,-1.507,1.04,,-1.27,2.29,-1.505,1.03,,1.562B,1.576B,0.48,,AOR,Restated
2011-09,9.817B,9.817B,3.973B,5.843B,4.239B,1.010B,,5.222M,124.34M,20.82M,-103.52M,,5.249B,594.88M,20.82M,124.34M,-103.52M,10.24M,-103.52M,501.60M,198.41M,303.18M,,303.18M,296.99M,1.464B,838.39M,625.93M,,0.19,0.00,0.1860,0.19,,0.19,0.00,0.1861,0.19,,1.559B,1.568B,0.48,,AOR,Restated
2011-06,9.616B,9.616B,3.870B,5.746B,2.762B,1.038B,,-166.93M,134.13M,18.87M,-115.26M,,3.800B,1.946B,18.87M,134.13M,-115.26M,-156.14M,-115.26M,1.675B,-268.23M,1.943B,,1.943B,2.044B,2.620B,811.41M,1.809B,,1.24,0.00,1.305,1.24,,1.23,0.00,1.295,1.23,,1.557B,1.566B,0.48,,AOR,Restated
2011-03,9.041B,9.041B,3.859B,5.182B,2.850B,930.40M,,-240.86M,145.59M,21.72M,-123.87M,,3.781B,1.401B,21.72M,145.59M,-123.87M,-208.49M,-123.87M,1.069B,204.97M,863.82M,,863.82M,1.032B,1.960B,745.67M,1.214B,,0.56,0.00,0.6686,0.56,,0.55,0.00,0.6581,0.55,,1.552B,1.559B,0.44,,AOR,Restated
2010-12,9.968B,9.968B,4.045B,5.923B,2.797B,1.057B,,-252.25M,151.34M,22.16M,-129.18M,,3.855B,2.068B,22.16M,151.34M,-129.18M,-171.13M,-129.18M,1.768B,326.98M,1.441B,,1.441B,1.631B,2.629B,709.58M,1.919B,,0.92,0.00,1.043,0.92,,0.92,0.00,1.042,0.92,,1.547B,1.556B,0.44,,AOR,Restated
2010-09,8.675B,8.675B,3.741B,4.933B,2.673B,1.079B,,-4.519M,149.10M,15.59M,-133.51M,,3.752B,1.181B,15.59M,149.10M,-133.51M,16.44M,-133.51M,1.064B,173.45M,890.66M,,890.66M,876.90M,1.890B,677.02M,1.213B,,0.58,0.00,0.5711,0.58,,0.57,0.00,0.5611,0.57,,1.545B,1.554B,0.44,,AOR,Restated
2010-06,8.826B,8.826B,3.544B,5.282B,2.743B,857.70M,,-66.85M,134.49M,38.17M,-96.32M,,3.601B,1.681B,38.17M,134.49M,-96.32M,-25.96M,-96.32M,1.559B,267.04M,1.292B,,1.292B,1.313B,2.368B,675.20M,1.693B,,0.83,0.00,0.8439,0.83,,0.83,0.00,0.8439,0.83,,1.544B,1.552B,0.44,,AOR,Restated
2010-03,7.698B,7.698B,3.335B,4.363B,2.162B,730.37M,,-59.61M,118.20M,29.53M,-88.67M,,2.893B,1.470B,29.53M,118.20M,-88.67M,-59.61M,-88.67M,1.322B,319.19M,1.003B,,1.003B,1.048B,2.003B,562.50M,1.440B,,0.65,0.00,0.6792,0.65,,0.64,0.00,0.6690,0.64,,1.548B,1.561B,0.40,,AOR,Restated
2009-12,8.790B,8.790B,3.784B,5.006B,2.225B,917.05M,,-2.697B,123.88M,29.44M,-94.44M,,3.142B,1.864B,29.44M,123.88M,-94.44M,-2.697B,-94.44M,1.823B,284.15M,1.539B,,1.539B,3.816B,2.494B,547.35M,1.947B,,1.00,0.00,2.470,1.00,,0.99,0.00,2.449,0.99,,1.548B,1.560B,0.40,,AOR,Restated
2009-09,7.761B,7.761B,3.360B,4.401B,2.086B,675.74M,,327.82M,134.61M,38.41M,-96.20M,,2.761B,1.640B,38.41M,134.61M,-96.20M,327.82M,-96.20M,1.871B,391.01M,1.480B,,1.480B,1.221B,2.547B,540.71M,2.006B,,0.95,0.00,0.7823,0.95,,0.95,0.00,0.7830,0.95,,1.546B,1.552B,0.40,,AOR,Restated
2009-06,7.495B,7.495B,3.129B,4.366B,2.024B,670.21M,,-1.29M,136.97M,33.88M,-103.09M,,2.694B,1.671B,33.88M,136.97M,-103.09M,-1.29M,-103.09M,1.567B,278.93M,1.288B,,1.288B,1.289B,2.241B,537.40M,1.704B,,0.83,0.00,0.8307,0.83,,0.83,0.00,0.8307,0.83,,1.546B,1.551B,0.40,,AOR,Restated
2009-03,6.718B,6.718B,2.936B,3.782B,2.071B,650.74M,,959.87M,124.19M,36.04M,-88.15M,,2.722B,1.061B,36.04M,124.19M,-88.15M,959.87M,-88.15M,1.932B,493.84M,1.439B,,1.439B,724.06M,2.521B,464.04M,2.057B,,0.93,0.00,0.4677,0.93,,0.92,0.00,0.4609,0.92,,1.546B,1.556B,0.36,,AOR,Restated
2008-12,7.950B,7.950B,3.178B,4.772B,2.297B,731.63M,,143.35M,,,,,3.029B,1.743B,,,,24.36M,,1.686B,296.48M,1.390B,,1.536B,1.272B,2.759B,422.56M,2.337B,,0.89,0.10,0.8138,0.99,,0.89,0.09,0.8151,0.98,,1.551B,1.578B,0.36,,AOR,Restated
2008-09,7.498B,7.498B,3.353B,4.145B,2.068B,680.36M,,46.22M,,,,,2.748B,1.397B,,,,46.22M,,1.373B,288.42M,1.085B,,1.085B,1.048B,1.895B,498.56M,1.397B,,0.70,0.00,0.6764,0.70,,0.69,0.00,0.6667,0.69,,1.546B,1.564B,0.36,,,
2008-06,7.314B,7.314B,3.120B,4.194B,2.052B,656.86M,,217.44M,137.77M,54.45M,-83.32M,,2.709B,1.485B,54.45M,137.77M,-83.32M,234.50M,-83.32M,1.636B,314.30M,1.322B,,1.322B,1.146B,2.240B,465.86M,1.774B,,0.86,0.00,0.7459,0.86,,0.85,0.00,0.7369,0.85,,1.540B,1.553B,0.36,,,Restated
2008-03,6.766B,6.766B,2.961B,3.805B,2.018B,619.96M,,-14.58M,142.53M,49.36M,-93.18M,,2.638B,1.167B,49.36M,142.53M,-93.18M,87.36M,-93.18M,1.161B,222.86M,937.87M,,937.87M,949.65M,1.755B,451.85M,1.303B,,0.61,0.00,0.6176,0.61,,0.60,0.00,0.6075,0.60,,1.544B,1.561B,0.325,,,Restated
2007-12,7.221B,7.221B,3.162B,4.060B,1.879B,662.40M,,-55.50M,,,,,2.542B,1.518B,,,,66.07M,,1.483B,279.90M,1.203B,,1.203B,1.248B,2.001B,483.19M,1.518B,,0.78,0.00,0.8091,0.78,,0.77,0.00,0.7988,0.77,,1.546B,1.563B,0.325,,,
2007-09,6.377B,6.377B,2.864B,3.513B,1.945B,640.72M,,-41.00M,,,,,2.586B,926.55M,,,,73.09M,,893.42M,176.41M,717.00M,,717.00M,749.91M,1.430B,503.77M,926.55M,,0.46,0.00,0.4813,0.46,,0.46,0.00,0.4811,0.46,,1.544B,1.558B,0.325,,,
2007-06,6.371B,6.371B,2.804B,3.566B,1.796B,583.47M,,75.36M,,,,,2.380B,1.186B,,,,191.09M,,1.253B,263.89M,988.74M,,988.74M,929.26M,1.622B,435.50M,1.186B,,0.64,0.00,0.6014,0.64,,0.63,0.00,0.5919,0.63,,1.542B,1.561B,0.325,,,
2007-03,5.946B,5.946B,2.592B,3.354B,1.787B,619.06M,,-129.39M,,,,,2.406B,947.62M,,,,17.24M,,840.66M,143.13M,697.54M,,697.54M,804.90M,1.380B,432.42M,947.62M,,0.45,0.00,0.5197,0.45,,0.45,0.00,0.5189,0.45,,1.540B,1.558B,0.295,,,
2006-12,6.218B,6.218B,2.866B,3.352B,1.703B,596.17M,,-1.324B,,,,,2.299B,1.053B,,,,-1.206B,,-242.10M,234.11M,-476.21M,,-476.21M,318.45M,1.464B,411.11M,1.053B,,-0.31,0.00,0.2082,-0.31,,-0.31,0.00,0.2082,-0.31,,1.534B,1.534B,0.295,,,
2006-09,5.574B,5.574B,2.391B,3.183B,1.662B,617.62M,,-211.43M,,,,,2.279B,903.17M,,,,-89.96M,,726.32M,10.48M,715.84M,,715.84M,924.23M,1.285B,381.44M,903.17M,,0.47,0.00,0.6063,0.47,,0.46,0.00,0.5951,0.46,,1.529B,1.542B,0.295,,,
2006-06,5.501B,5.501B,2.389B,3.113B,1.520B,1.049B,,196.04M,,,,,2.570B,542.78M,,,,196.04M,,657.14M,44.89M,612.24M,,612.24M,429.59M,936.39M,393.61M,542.78M,,0.40,0.00,0.2802,0.40,,0.40,0.00,0.2807,0.40,,1.525B,1.532B,0.295,,,
2006-03,4.580B,4.580B,1.760B,2.821B,1.340B,438.58M,,4.245M,,,,,1.778B,1.043B,,,,105.56M,,1.113B,264.81M,848.56M,16.32M,864.88M,845.32M,1.415B,372.59M,1.043B,,0.56,0.01,0.5579,0.57,,0.55,0.01,0.5479,0.56,,1.530B,1.538B,0.275,,,
2005-12,6.047B,6.047B,2.810B,3.238B,1.447B,490.39M,,-314.48M,,,,,1.937B,1.301B,,,,126.91M,,1.400B,423.51M,976.42M,,976.42M,1.196B,1.639B,337.72M,1.301B,,0.63,0.00,0.7717,0.63,,0.63,0.00,0.7712,0.63,,1.548B,1.554B,0.275,,,
2005-09,5.384B,5.384B,2.677B,2.707B,1.410B,448.87M,,88.22M,,,,,1.859B,847.81M,,,,88.22M,,895.67M,214.96M,680.71M,,680.71M,613.66M,1.191B,343.37M,847.81M,,0.44,0.00,0.3968,0.44,,0.44,0.00,0.3971,0.44,,1.552B,1.564B,0.275,,,
2005-06,5.524B,5.524B,2.632B,2.892B,1.352B,445.26M,,94.80M,,,,,1.797B,1.095B,,,,94.80M,,1.146B,269.42M,877.05M,,877.05M,804.53M,1.428B,332.98M,1.095B,,0.56,0.00,0.5133,0.56,,0.56,0.00,0.5138,0.56,,1.553B,1.569B,0.275,,,
2005-03,5.383B,5.383B,2.523B,2.860B,1.288B,436.66M,,84.26M,,,,,1.724B,1.136B,,,,84.26M,,1.178B,339.97M,837.89M,,837.89M,777.95M,1.481B,344.88M,1.136B,,0.54,0.00,0.5015,0.54,,0.53,0.00,0.4918,0.53,,1.556B,1.570B,0.26,,,
2004-12,5.654B,5.654B,2.627B,3.027B,1.387B,463.97M,,-353.48M,,,,,1.851B,1.176B,,,,21.50M,,1.156B,181.04M,974.60M,0.00,974.60M,1.273B,1.510B,333.36M,1.176B,,0.62,0.00,0.8112,0.62,,0.62,0.00,0.8098,0.62,,1.559B,1.571B,0.26,,,
2004-09,4.682B,4.682B,2.115B,2.567B,1.144B,391.70M,,72.13M,,,,,1.536B,1.031B,,,,72.13M,,1.066B,261.98M,804.08M,,804.08M,749.68M,1.343B,312.80M,1.031B,,0.52,0.00,0.4851,0.52,,0.51,0.00,0.4753,0.51,,1.560B,1.569B,0.26,,,
2004-06,4.703B,4.703B,2.069B,2.634B,1.237B,436.51M,,-49.90M,,,,,1.674B,960.46M,,,,-49.90M,,875.67M,240.79M,634.88M,-0.62M,634.26M,671.05M,1.314B,353.24M,960.46M,,0.41,0.00,0.4332,0.41,,0.40,0.00,0.4230,0.40,,1.560B,1.570B,0.26,,,
2004-03,4.641B,4.641B,2.073B,2.567B,1.153B,404.58M,,53.63M,,,,,1.557B,1.010B,,,,53.63M,,1.028B,265.95M,762.28M,60.63M,822.91M,722.52M,1.299B,289.30M,1.010B,,0.49,0.04,0.4646,0.53,,0.48,0.04,0.4547,0.52,,1.562B,1.572B,0.245,,,
