,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-09,1.943B,,,,,430.34M,329.38M,759.73M,759.73M,75.61M,881.58M,-54.22M,-85.99M,,,,-140.21M,,3.520B,,-530.75M,,-530.75M,-21.62M,431.07M,-10.31M,-131.61M,,0.00,-1.908B,-1.908B,,-1.234M,-1.234M,-805.40M,-805.40M,524.09M,-400.00M,-2.591B,,7.053B,796.94M,147.23M,7.997B,,,,0.00,-1.234M,,AOR,Restated
2012-06,1.725B,,,,,320.89M,370.55M,691.44M,691.44M,85.78M,-837.24M,611.03M,-208.79M,,,,402.24M,,2.067B,,-425.12M,,-425.12M,-110.00M,1.222B,1.159M,688.37M,,0.00,1.298B,1.298B,,-734.43M,-734.43M,-806.98M,-806.98M,359.04M,0.00,115.37M,,4.346B,2.871B,-163.70M,7.053B,,,,0.00,-734.43M,,AOR,Restated
2012-03,1.242B,,,,,354.21M,389.06M,743.27M,743.27M,197.34M,80.40M,132.48M,-170.69M,,,,-38.20M,,2.225B,,-453.33M,,-453.33M,-550.00M,-3.900B,11.15M,-4.892B,,-54.00M,1.399B,1.345B,,-987.69M,-987.69M,-758.55M,-758.55M,687.28M,-120.85M,165.22M,,6.813B,-2.502B,34.70M,4.346B,,,,-54.00M,-987.69M,,AOR,Restated
2011-12,,,,,,240.80M,407.73M,648.54M,648.54M,62.90M,-2.710B,-942.53M,-177.52M,,,-1.151B,-1.470B,,1.401B,,-274.24M,,-274.24M,399.50M,1.633B,6.829M,1.765B,,-3.164M,-1.178B,-1.181B,,-2.572M,-2.572M,,-751.99M,651.54M,,-1.684B,,5.049B,1.482B,282.52M,6.813B,,,,-1.003B,-2.572M,,AOR,Restated
2011-09,,,,,,420.71M,417.67M,838.39M,838.39M,67.84M,303.18M,-243.36M,-2.458M,,,2.091B,1.845B,,3.054B,,-452.00M,,-452.00M,-485.00M,1.932B,-3.199M,992.00M,,-2.157M,-1.962B,-1.964B,,-0.583M,-0.583M,,-751.63M,47.81M,,-2.668B,,4.077B,1.378B,-406.02M,5.049B,,,,-2.157M,-0.583M,,AOR,Restated
2011-06,,,,,,379.37M,432.05M,811.41M,811.41M,76.46M,2.333B,216.94M,5.195M,,,-940.01M,-717.88M,,2.503B,,-372.96M,,-372.96M,-187.50M,-1.109B,1.875B,205.59M,,-1.506B,778.52M,-727.58M,,-2.095M,-2.095M,,-750.41M,93.90M,,-1.386B,,2.740B,1.323B,14.30M,4.077B,,,,-1.506B,-2.095M,,AOR,Restated
2011-03,,,,,,354.12M,391.55M,745.67M,745.67M,175.81M,745.93M,298.95M,44.78M,,,,343.74M,,2.011B,,-391.81M,,-391.81M,0.00,-1.917B,7.804M,-2.301B,,-500.58M,396.21M,-104.37M,,-71.75M,-71.75M,,-683.97M,175.75M,,-684.33M,,3.648B,-974.42M,66.20M,2.740B,,,,-500.58M,-71.75M,,AOR,Restated
2010-12,4.626B,,,,,303.23M,406.35M,709.58M,709.58M,56.95M,-3.438B,-870.87M,192.74M,,,,235.46M,,2.317B,,-291.33M,,-291.33M,-313.20M,-1.825B,-10.59M,-2.440B,,-672.74M,1.216B,543.07M,,-0.652M,-0.652M,,-692.10M,56.37M,,-93.31M,,3.818B,-217.18M,47.41M,3.648B,,,1.00B,-253.07M,-0.652M,,AOR,Restated
2010-09,,,,,,313.16M,363.87M,677.02M,677.02M,72.15M,1.596B,230.37M,-27.05M,,,,203.32M,,2.548B,,-205.08M,,-205.08M,-2.20B,14.32M,-2.23M,-2.393B,,0.00,-73.81M,-73.81M,,-2.326M,-2.326M,,-679.42M,68.46M,,-687.11M,,4.322B,-531.69M,28.13M,3.818B,,,0.00,-1.420B,-2.326M,,AOR,Restated
2010-06,-1.003B,,,,,303.81M,371.39M,675.20M,675.20M,84.22M,2.614B,-45.80M,23.80M,,,,-22.00M,,2.348B,,-273.51M,,-273.51M,-504.40M,1.085B,-3.50M,303.83M,,3.00B,-2.121B,879.14M,,-2.479M,-2.479M,,-679.20M,15.42M,,212.88M,,1.567B,2.865B,-110.12M,4.322B,,,2.225B,0.00,-2.479M,,AOR,Restated
