,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2018-03,708.00M,,,,-33.00M,,921.00M,94.00M,30.00M,-23.00M,,,,,,,-688.00M,,1.009B,,2018-03,,,,,106.00M,-971.00M,,2018-03,478.00M,478.00M,10.00M,0.00,10.00M,-592.00M,-592.00M,,,-104.00M,,2018-03,1.672B,1.606B,,2018-03,,978.00M,-500.00M,0.00,,,,2018-03,Restated
2017-12,497.00M,,,2.00M,-67.00M,,1.076B,-608.00M,521.00M,50.00M,,,,,,,-48.00M,,1.421B,,2017-12,,,,,227.00M,-953.00M,,2017-12,0.00,0.00,3.00M,-13.00M,-10.00M,-592.00M,-592.00M,,,-602.00M,,2017-12,1.806B,1.672B,,2017-12,,0.00,0.00,-13.00M,,,,2017-12,Restated
2017-09,190.00M,,,57.00M,-29.00M,,995.00M,-87.00M,11.00M,-3.00M,,,,,,,9.00M,,1.086B,,2017-09,,,,,-23.00M,-915.00M,,2017-09,0.00,0.00,9.00M,-6.00M,3.00M,-586.00M,-586.00M,,,-583.00M,,2017-09,2.218B,1.806B,,2017-09,,0.00,0.00,-6.00M,,,,2017-09,Restated
2017-06,507.00M,,,-127.00M,-639.00M,,989.00M,84.00M,0.00,827.00M,,,,,,,81.00M,,1.849B,,2017-06,,,,,225.00M,-539.00M,,2017-06,0.00,0.00,4.00M,-6.00M,-2.00M,-584.00M,-584.00M,,,-586.00M,,2017-06,1.494B,2.218B,,2017-06,,0.00,0.00,-6.00M,,,,2017-06,Restated
2017-03,117.00M,,,,,,942.00M,-108.00M,13.00M,76.00M,,,,,,,-535.00M,,505.00M,,2017-03,,,,,91.00M,-672.00M,,2017-03,0.00,0.00,12.00M,,12.00M,-584.00M,-584.00M,,,-572.00M,,2017-03,2.233B,1.494B,,2017-03,,0.00,0.00,,,,,2017-03,Restated
2016-12,-268.00M,,,7.00M,3.00M,,1.05B,-355.00M,526.00M,-111.00M,,,,,,,77.00M,-6.00M,916.00M,,2016-12,,,,,-2.29B,-2.767B,,2016-12,1.485B,1.485B,4.00M,0.00,4.00M,-585.00M,-585.00M,,-1.193B,-289.00M,,2016-12,3.18B,2.233B,,2016-12,,1.485B,0.00,0.00,,,,2016-12,Restated
2016-09,-238.00M,,,-4.00M,-64.00M,,1.046B,-238.00M,61.00M,38.00M,,,,,,,51.00M,-6.00M,650.00M,,2016-09,,,,,-46.00M,-642.00M,,2016-09,0.00,0.00,3.00M,-7.00M,-4.00M,-575.00M,-575.00M,,0.00,-579.00M,,2016-09,3.751B,3.18B,,2016-09,,0.00,0.00,-7.00M,,,,2016-09,Restated
2016-06,-136.00M,,,,0.00,,1.07B,-1.00M,0.00,65.00M,,,,,,,-195.00M,326.00M,1.129B,,2016-06,,,,,-95.00M,-697.00M,,2016-06,708.00M,708.00M,18.00M,-8.00M,10.00M,-575.00M,-575.00M,,0.00,143.00M,,2016-06,3.176B,3.751B,,2016-06,,2.718B,-2.01B,-8.00M,,,,2016-06,Restated
2016-03,-360.00M,,,,-138.00M,,1.102B,77.00M,78.00M,-304.00M,,,,,,,-316.00M,550.00M,689.00M,,2016-03,,,,,217.00M,-637.00M,,2016-03,-700.00M,-700.00M,11.00M,-7.00M,4.00M,-574.00M,-574.00M,,1.193B,-77.00M,,2016-03,3.201B,3.176B,,2016-03,,,-700.00M,-7.00M,,,,2016-03,Restated
2015-12,-5.505B,,,9.00M,2.00M,,1.276B,-955.00M,6.32B,-345.00M,,,,,,,58.00M,114.00M,965.00M,,2015-12,,,,,-104.00M,-305.00M,,2015-12,0.00,0.00,3.00M,-7.00M,-4.00M,-574.00M,-574.00M,,572.00M,-6.00M,,2015-12,2.547B,3.201B,,2015-12,,0.00,0.00,-7.00M,1.00B,246.00M,,2015-12,Restated
2015-09,-2.606B,,,-3.00M,-102.00M,,1.123B,-556.00M,3.128B,23.00M,,,,,,,16.00M,-6.00M,1.02B,,2015-09,,,,,-35.00M,-1.229B,,2015-09,0.00,0.00,11.00M,-50.00M,-39.00M,-577.00M,-577.00M,,616.00M,0.00,,2015-09,2.756B,2.547B,,2015-09,,0.00,,-50.00M,-638.00M,-108.00M,,2015-09,Restated
2015-06,180.00M,,,,-19.00M,,1.116B,202.00M,0.00,-269.00M,,,,,,,-399.00M,-6.00M,805.00M,,2015-06,,,,,-166.00M,-1.683B,,2015-06,1.478B,1.478B,4.00M,-329.00M,-325.00M,-556.00M,-556.00M,,884.00M,1.481B,,2015-06,2.153B,2.756B,,2015-06,,1.478B,0.00,-329.00M,379.00M,19.00M,,2015-06,Restated
2015-03,-215.00M,,,,24.00M,,1.029B,-63.00M,236.00M,110.00M,,,,,,,-555.00M,-5.00M,561.00M,,2015-03,,,,,-73.00M,-2.206B,,2015-03,0.00,0.00,19.00M,-207.00M,-188.00M,-557.00M,-557.00M,,754.00M,9.00M,,2015-03,3.789B,2.153B,,2015-03,,,0.00,-207.00M,259.00M,89.00M,,2015-03,Restated
2014-12,-3.426B,,,16.00M,-1.969B,,1.204B,-1.398B,6.908B,41.00M,,,,,,,1.121B,385.00M,2.866B,,2014-12,,,,,-2.823B,-1.64B,,2014-12,0.00,-1.599B,13.00M,-417.00M,-404.00M,-561.00M,-561.00M,,2.106B,-334.00M,,2014-12,2.897B,3.789B,,2014-12,,-1.599B,0.00,-417.00M,300.00M,19.00M,,2014-12,Restated
2014-09,998.00M,,,22.00M,27.00M,,1.056B,277.00M,0.00,-17.00M,,,,,,,-267.00M,564.00M,2.638B,,2014-09,,,,,-88.00M,-2.742B,,2014-09,0.00,1.599B,4.00M,-507.00M,-503.00M,-565.00M,-565.00M,,79.00M,610.00M,,2014-09,2.391B,2.897B,,2014-09,,1.599B,0.00,-507.00M,900.00M,90.00M,,2014-09,Restated
2014-06,1.161B,,,-3.00M,-528.00M,,1.024B,-182.00M,471.00M,124.00M,,,,,,,204.00M,593.00M,2.867B,,2014-06,,,,,978.00M,-1.715B,,2014-06,-46.00M,-46.00M,3.00M,-630.00M,-627.00M,-570.00M,-570.00M,,150.00M,-1.093B,,2014-06,2.332B,2.391B,,2014-06,,0.00,-46.00M,-630.00M,939.00M,19.00M,,2014-06,Restated
2014-03,1.137B,,,3.00M,3.00M,,977.00M,125.00M,0.00,52.00M,,,,,,,-252.00M,655.00M,2.697B,,2014-03,,,,,-100.00M,-2.373B,,2014-03,-61.00M,-61.00M,13.00M,-946.00M,-933.00M,-514.00M,-514.00M,,123.00M,-1.385B,,2014-03,3.393B,2.332B,,2014-03,,,-61.00M,-946.00M,761.00M,91.00M,,2014-03,Restated
2013-12,658.00M,-1.044B,,37.00M,-1.007B,,307.00M,-102.00M,621.00M,-42.00M,,,,,,,-39.00M,2.596B,2.992B,,2013-12,,,,,-659.00M,-1.424B,,2013-12,-624.00M,-624.00M,3.00M,-879.00M,-876.00M,-519.00M,-519.00M,,73.00M,-1.946B,,2013-12,3.771B,3.393B,,2013-12,,,-624.00M,-879.00M,500.00M,23.00M,,2013-12,Restated
2013-09,1.588B,0.00,,-9.00M,-9.00M,,1.334B,381.00M,0.00,78.00M,,,,,,,218.00M,-29.00M,3.561B,,2013-09,,,,,-50.00M,-2.321B,,2013-09,-66.00M,-66.00M,3.00M,-36.00M,-33.00M,-517.00M,-517.00M,,78.00M,-538.00M,,2013-09,3.069B,3.771B,,2013-09,,0.00,-66.00M,-36.00M,500.00M,93.00M,,2013-09,Restated
2013-06,1.327B,-131.00M,,-9.00M,-140.00M,,1.303B,361.00M,0.00,598.00M,,,,,,,73.00M,-9.00M,3.513B,,2013-06,,,,,106.00M,-2.104B,,2013-06,0.00,0.00,14.00M,-22.00M,-8.00M,-517.00M,-517.00M,,45.00M,-480.00M,,2013-06,2.14B,3.069B,,2013-06,,,0.00,-22.00M,309.00M,23.00M,,2013-06,Restated
2013-03,1.359B,,,-22.00M,-22.00M,,1.259B,274.00M,,79.00M,,,,,,,-228.00M,-9.00M,2.712B,,2013-03,,,,,-125.00M,-2.195B,,2013-03,0.00,0.00,10.00M,-6.00M,4.00M,0.00,0.00,,27.00M,31.00M,,2013-03,1.592B,2.14B,,2013-03,,,0.00,-6.00M,491.00M,99.00M,,2013-03,Restated
2012-12,-442.00M,0.00,,-16.00M,-16.00M,,265.00M,-675.00M,,-412.00M,,,,,,,91.00M,2.279B,2.80B,,2012-12,,,4.00M,,-851.00M,-3.771B,,2012-12,0.00,0.00,24.00M,-379.00M,-355.00M,-876.00M,-876.00M,,34.00M,-1.197B,,2012-12,3.76B,1.592B,,2012-12,,0.00,0.00,-379.00M,500.00M,23.00M,,2012-12,Restated
2012-09,1.379B,0.00,,-6.00M,-6.00M,,1.148B,461.00M,,85.00M,,,,,,,-513.00M,-13.00M,2.541B,,2012-09,,,0.00,,-118.00M,-2.709B,,2012-09,0.00,0.00,3.00M,-52.00M,-49.00M,-439.00M,-439.00M,,6.00M,-482.00M,,2012-09,4.41B,3.76B,,2012-09,,0.00,0.00,-52.00M,500.00M,72.00M,,2012-09,Restated
2012-06,1.332B,0.00,,1.00M,1.00M,,1.087B,444.00M,,129.00M,,,,,,,209.00M,-9.00M,3.193B,,2012-06,,,0.00,,-1.034B,-3.747B,,2012-06,1.736B,1.736B,43.00M,-137.00M,-94.00M,-439.00M,-439.00M,,1.00M,1.204B,,2012-06,3.76B,4.41B,,2012-06,,1.736B,,-137.00M,799.00M,23.00M,,2012-06,Restated
2012-03,1.56B,,,-9.00M,-9.00M,,1.085B,350.00M,,146.00M,,,,,,,-359.00M,-8.00M,2.765B,,2012-03,,,,,-3.00M,-2.415B,,2012-03,,,15.00M,-15.00M,0.00,-374.00M,-374.00M,,3.00M,-371.00M,,2012-03,3.781B,3.76B,,2012-03,,,,-15.00M,501.00M,72.00M,,2012-03,Restated
2011-12,1.641B,,,35.00M,57.00M,,938.00M,437.00M,-109.00M,391.00M,,,,,,,297.00M,-9.00M,3.643B,,2011-12,,,4.12B,,-4.986B,-3.415B,,2011-12,0.00,0.00,3.00M,-115.00M,-112.00M,-376.00M,-376.00M,,2.00M,-486.00M,,2011-12,4.039B,3.781B,,2011-12,,0.00,0.00,-115.00M,,,,2011-12,Restated
2011-09,1.775B,,,-43.00M,-43.00M,,924.00M,482.00M,15.00M,-67.00M,,,,,,,-4.00M,-8.00M,3.074B,,2011-09,,,-4.07B,-45.00M,3.929B,-2.197B,,2011-09,2.111B,1.611B,42.00M,-116.00M,-74.00M,-375.00M,-375.00M,,6.00M,1.168B,,2011-09,1.994B,4.039B,,2011-09,,2.111B,0.00,-116.00M,,,,2011-09,Restated
2011-06,1.819B,,,23.00M,-160.00M,,839.00M,241.00M,45.00M,65.00M,,,,,,,504.00M,-11.00M,3.342B,,2011-06,,,,45.00M,-962.00M,-2.55B,,2011-06,0.00,-500.00M,2.00M,-30.00M,-28.00M,-375.00M,-375.00M,,5.00M,-898.00M,,2011-06,2.10B,1.994B,,2011-06,,0.00,0.00,-30.00M,,,,2011-06,Restated
2011-03,1.405B,,,-48.00M,113.00M,,890.00M,276.00M,49.00M,115.00M,,,,,,,-629.00M,3.00M,2.222B,,2011-03,,,,,-2.986B,-1.741B,,2011-03,-1.523B,-523.00M,3.00M,-13.00M,-10.00M,-310.00M,-310.00M,,-116.00M,-959.00M,,2011-03,2.578B,2.10B,,2011-03,,,-1.523B,-13.00M,,,,2011-03,Restated
2010-12,1.206B,,,0.00,1.00M,,800.00M,133.00M,154.00M,202.00M,,,,,,,244.00M,82.00M,2.822B,,2010-12,,,1.813B,,-4.941B,-4.588B,,2010-12,2.584B,2.584B,3.00M,-56.00M,-53.00M,-311.00M,-311.00M,,17.00M,2.237B,,2010-12,2.107B,2.578B,,2010-12,,2.584B,0.00,-56.00M,,,,2010-12,Restated
2010-09,1.225B,,,5.00M,-1.00M,,792.00M,114.00M,52.00M,120.00M,,,,,,,23.00M,98.00M,2.423B,,2010-09,,,-1.813B,-17.00M,631.00M,-2.299B,,2010-09,-12.00M,-12.00M,2.00M,0.00,2.00M,-310.00M,-310.00M,,2.00M,-318.00M,,2010-09,2.301B,2.107B,,2010-09,,0.00,-12.00M,0.00,,,,2010-09,Restated
2010-06,1.089B,,,-14.00M,13.00M,,798.00M,65.00M,37.00M,-121.00M,,,,,,,191.00M,22.00M,2.094B,,2010-06,,,,17.00M,-410.00M,-1.34B,,2010-06,-72.00M,-72.00M,3.00M,-11.00M,-8.00M,-269.00M,-269.00M,,4.00M,-345.00M,,2010-06,1.892B,2.301B,,2010-06,,,-72.00M,-11.00M,,,,2010-06,Restated
2010-03,1.121B,,,-51.00M,-73.00M,,763.00M,94.00M,32.00M,169.00M,,,,,,,113.00M,8.00M,2.227B,,2010-03,,,,,-220.00M,-1.068B,,2010-03,-227.00M,-227.00M,2.00M,0.00,2.00M,-269.00M,-269.00M,,3.00M,-491.00M,,2010-03,1.224B,1.892B,,2010-03,,,-227.00M,0.00,,,,2010-03,Restated
2009-12,1.183B,,,-73.00M,-76.00M,,390.00M,412.00M,70.00M,158.00M,,,,,,,-294.00M,121.00M,1.964B,,2009-12,4.00M,4.00M,582.00M,49.00M,-1.782B,-2.079B,,2009-12,7.00M,7.00M,2.00M,-11.00M,-9.00M,,-285.00M,,25.00M,-269.00M,,2009-12,1.608B,1.224B,,2009-12,,0.00,7.00M,-11.00M,,,,2009-12,Restated
2009-09,943.00M,,,-66.00M,-66.00M,,769.00M,119.00M,40.00M,117.00M,,,,,,,-271.00M,-9.00M,1.642B,,2009-09,47.00M,47.00M,-582.00M,-13.00M,489.00M,-806.00M,,2009-09,-691.00M,-691.00M,3.00M,-20.00M,-17.00M,,-274.00M,,-1.00M,-983.00M,,2009-09,1.755B,1.608B,,2009-09,,0.00,-691.00M,-20.00M,,,,2009-09,Restated
2009-06,696.00M,,,-46.00M,-53.00M,,742.00M,79.00M,42.00M,8.00M,,,,,,,-77.00M,-16.00M,1.421B,,2009-06,,64.00M,,-19.00M,-489.00M,-1.275B,,2009-06,739.00M,739.00M,3.00M,0.00,3.00M,,-260.00M,,1.00M,483.00M,,2009-06,1.126B,1.755B,,2009-06,,740.00M,-1.00M,0.00,,,,2009-06,Restated
2009-03,380.00M,,,-42.00M,-42.00M,,786.00M,49.00M,48.00M,43.00M,,,,,,,-478.00M,-6.00M,780.00M,,2009-03,,-64.00M,,-32.00M,,-1.167B,,2009-03,-7.00M,-7.00M,10.00M,-9.00M,1.00M,,-260.00M,,2.00M,-264.00M,,2009-03,1.777B,1.126B,,2009-03,,,-7.00M,-9.00M,,,,2009-03,Restated
2008-12,541.00M,,-27.00M,-213.00M,-181.00M,-1.957B,753.00M,-129.00M,244.00M,547.00M,,,,,,600.00M,718.00M,23.00M,2.516B,,2008-12,27.00M,-1.451B,3.293B,63.00M,,-2.759B,,2008-12,947.00M,967.00M,0.00,-24.00M,-24.00M,,-391.00M,,16.00M,568.00M,,2008-12,1.452B,1.777B,,2008-12,-10.00M,1.043B,-96.00M,-24.00M,,,,2008-12,Restated
2008-09,2.229B,,25.00M,111.00M,77.00M,1.957B,683.00M,249.00M,-96.00M,171.00M,,,,,,-822.00M,-159.00M,-49.00M,3.105B,,2008-09,-8.00M,-3.231B,-933.00M,-67.00M,,-2.36B,,2008-09,16.00M,-4.00M,27.00M,-627.00M,-600.00M,,-202.00M,-9.00M,16.00M,-799.00M,,2008-09,1.506B,1.452B,,2008-09,10.00M,-51.00M,67.00M,-627.00M,,,,2008-09,
2008-06,2.366B,,-25.00M,-65.00M,-96.00M,,621.00M,82.00M,53.00M,6.00M,,,,,,,-642.00M,-46.00M,2.344B,,2008-06,8.00M,1.665B,-2.36B,33.00M,,-1.70B,,2008-06,-29.00M,-29.00M,3.00M,-424.00M,-421.00M,,-232.00M,3.00M,46.00M,-633.00M,,2008-06,1.495B,1.506B,,2008-06,,0.00,-29.00M,-424.00M,,,,2008-06,Restated
2008-03,1.819B,,,-46.00M,-40.00M,,653.00M,66.00M,43.00M,72.00M,,,,,,,-21.00M,95.00M,2.687B,,2008-03,,-1.657B,,-20.00M,,-2.51B,,2008-03,13.00M,13.00M,2.00M,-436.00M,-434.00M,,-243.00M,6.00M,12.00M,-646.00M,,2008-03,1.964B,1.495B,,2008-03,,51.00M,-38.00M,-436.00M,,,,2008-03,Restated
2007-12,1.13B,,,,-212.00M,-1.74B,639.00M,60.00M,,336.00M,,,,,,846.00M,194.00M,,2.474B,,2007-12,509.00M,1.497B,531.00M,-17.00M,,-1.342B,,2007-12,,-116.00M,-23.00M,-219.00M,-242.00M,,-208.00M,,-1.00M,-614.00M,,2007-12,1.455B,1.964B,,2007-12,155.00M,,,-294.00M,,,,2007-12,Restated
2007-09,1.324B,,,,68.00M,602.00M,602.00M,32.00M,,-152.00M,,,,,,-498.00M,-498.00M,,1.376B,,2007-09,-63.00M,-943.00M,-18.00M,17.00M,,-944.00M,,2007-09,,24.00M,18.00M,-358.00M,-340.00M,,-186.00M,,20.00M,-482.00M,,2007-09,1.505B,1.455B,,2007-09,5.00M,,,-358.00M,,,,2007-09,
2007-06,1.412B,,,,-349.00M,564.00M,564.00M,-55.00M,,19.00M,,,,,,-265.00M,-265.00M,,1.326B,,2007-06,63.00M,-783.00M,-514.00M,832.00M,,-481.00M,,2007-06,,-255.00M,15.00M,-231.00M,-216.00M,,-184.00M,,15.00M,-640.00M,,2007-06,1.292B,1.505B,,2007-06,-182.00M,,,-231.00M,,,,2007-06,
2007-03,1.212B,,,,-463.00M,574.00M,574.00M,-2.00M,,384.00M,,,,,,-83.00M,-83.00M,,1.622B,,2007-03,,-784.00M,1.00M,424.00M,,-361.00M,,2007-03,,-817.00M,7.00M,-321.00M,-314.00M,,-187.00M,,9.00M,-1.309B,,2007-03,1.339B,1.292B,,2007-03,22.00M,,,-321.00M,,,,2007-03,
2006-12,930.00M,,,,-191.00M,562.00M,562.00M,114.00M,,180.00M,,,,,,495.00M,-50.00M,,1.545B,,2006-12,7.00M,-3.548B,2.68B,54.00M,,-754.00M,,2006-12,,-282.00M,6.00M,-185.00M,-179.00M,,-188.00M,,13.00M,-636.00M,,2006-12,1.214B,1.339B,,2006-12,-71.00M,,,-185.00M,,,,2006-12,
2006-09,1.17B,,,,-110.00M,516.00M,516.00M,52.00M,,137.00M,,,,,,-57.00M,-57.00M,,1.708B,,2006-09,301.00M,-446.00M,-992.00M,8.00M,,-1.446B,,2006-09,,7.00M,20.00M,-318.00M,-298.00M,,-155.00M,,34.00M,-412.00M,,2006-09,1.356B,1.214B,,2006-09,4.00M,,,-318.00M,,,,2006-09,
2006-06,860.00M,,,,-115.00M,467.00M,467.00M,-108.00M,,561.00M,,,,,,-586.00M,-586.00M,,1.079B,,2006-06,674.00M,40.00M,-28.00M,-18.00M,,-56.00M,,2006-06,,-643.00M,13.00M,-794.00M,-781.00M,,-156.00M,,85.00M,-1.495B,,2006-06,1.803B,1.356B,,2006-06,424.00M,,,-794.00M,,,,2006-06,
2006-03,1.231B,,,,-119.00M,463.00M,463.00M,40.00M,,258.00M,,,,,,148.00M,148.00M,,2.021B,,2006-03,,-596.00M,-1.483B,-31.00M,,-2.15B,,2006-03,,25.00M,14.00M,-176.00M,-162.00M,,-147.00M,,8.00M,-276.00M,,2006-03,2.188B,1.803B,,2006-03,99.00M,,,-176.00M,,,,2006-03,
2005-12,1.164B,,,,-310.00M,337.00M,337.00M,-3.00M,,375.00M,,,,,,155.00M,11.00M,,1.574B,,2005-12,185.00M,-2.653B,3.121B,-1.087B,,-719.00M,,2005-12,,3.00M,11.00M,,3.00M,,-126.00M,,-7.00M,-129.00M,,2005-12,1.41B,2.188B,,2005-12,199.00M,,,,,,,2005-12,
2005-09,1.747B,,,,-668.00M,362.00M,362.00M,-9.00M,,5.00M,,,,,,-27.00M,-27.00M,,1.41B,,2005-09,-53.00M,-638.00M,-196.00M,776.00M,-56.00M,-158.00M,,2005-09,,-471.00M,61.00M,,61.00M,,-125.00M,,42.00M,-493.00M,,2005-09,628.00M,1.41B,,2005-09,-61.00M,,,,,,,2005-09,
2005-06,1.532B,,,,-476.00M,329.00M,329.00M,-72.00M,,-95.00M,,,,,,-99.00M,-99.00M,,1.119B,,2005-06,49.00M,-413.00M,-1.399B,302.00M,56.00M,-1.566B,,2005-06,,-17.00M,39.00M,,39.00M,,-123.00M,,30.00M,-71.00M,,2005-06,1.092B,628.00M,,2005-06,141.00M,,,,,,,2005-06,
2005-03,850.00M,,,,108.00M,344.00M,344.00M,30.00M,,-69.00M,,,,,,-29.00M,-29.00M,,1.234B,,2005-03,4.00M,-532.00M,-321.00M,7.00M,,-846.00M,,2005-03,,-413.00M,28.00M,,28.00M,,-109.00M,,-1.00M,-495.00M,,2005-03,1.199B,1.092B,,2005-03,-5.00M,,,,,,,2005-03,
2004-12,736.00M,,,,-507.00M,282.00M,282.00M,86.00M,,785.00M,,,,,,155.00M,-215.00M,,1.167B,,2004-12,2.00M,-235.00M,-35.00M,-250.00M,-38.00M,-806.00M,,2004-12,,-13.00M,49.00M,0.00,49.00M,,-108.00M,,1.00M,-65.00M,,2004-12,785.00M,1.199B,,2004-12,249.00M,,,0.00,,,,2004-12,
