,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,385.80M,385.80M,1.953B,145.40M,143.70M,2.151B,512.10M,197.30M,1.735B,2.444B,,,341.20M,5.323B,,,,,,,,,1.817B,8.948B,3.597B,12.54B,,495.50M,14.86B,20.18B,,2.288B,,2.288B,1.27B,3.558B,,2.080B,2.080B,,2.080B,,,,5.639B,2.831B,2.831B,467.00M,467.00M,603.70M,2.40M,2.451B,6.353B,11.99B,,1.192B,6.274B,4.606B,2.100B,750.00M,,,-1.772B,8.185B,,AOR,Restated
2018-03,405.60M,405.60M,1.781B,148.10M,149.30M,1.986B,479.70M,175.90M,1.695B,2.350B,,,335.90M,5.078B,,,,,,,,,1.770B,8.851B,3.474B,12.33B,,510.00M,14.61B,19.68B,,2.173B,,2.173B,1.26B,3.433B,,1.378B,1.378B,,1.378B,,,,4.810B,2.828B,2.828B,442.30M,442.30M,626.80M,2.60M,2.534B,6.431B,11.24B,,1.192B,6.074B,4.591B,1.909B,750.00M,,,-1.493B,8.439B,,AOR,Restated
2017-12,637.50M,637.50M,1.388B,158.70M,162.30M,1.629B,401.50M,155.50M,1.461B,2.018B,234.60M,,39.80M,4.559B,0.00,163.90M,611.80M,2.744B,,140.00M,3.660B,-1.917B,1.742B,8.776B,3.508B,12.28B,,512.70M,14.54B,19.10B,,2.021B,481.50M,2.502B,636.20M,3.139B,71.30M,982.80M,982.80M,,982.80M,95.60M,95.60M,103.10M,4.392B,2.828B,2.828B,436.10M,436.10M,629.90M,2.80M,2.507B,6.401B,10.79B,,1.192B,5.999B,4.643B,1.924B,750.00M,,,-1.589B,8.302B,,AOR,Restated
2017-09,483.30M,483.30M,2.010B,,,2.010B,433.30M,166.00M,1.648B,2.247B,,,288.20M,5.029B,,,,,,,,,1.677B,8.680B,3.561B,12.24B,,826.40M,14.74B,19.77B,,2.092B,,2.092B,1.325B,3.416B,,585.70M,585.70M,,585.70M,,,,4.002B,3.818B,3.818B,1.182B,1.182B,635.70M,3.10M,2.116B,7.752B,11.75B,,1.192B,5.804B,4.632B,1.974B,750.00M,,,-1.619B,8.016B,,AOR,Restated
2017-06,539.50M,539.50M,1.928B,,,1.928B,408.60M,167.10M,1.502B,2.078B,,,293.70M,4.839B,,,,,,,,,1.650B,8.496B,3.524B,12.02B,,803.20M,14.47B,19.31B,,2.093B,,2.093B,1.182B,3.275B,,591.70M,591.70M,,591.70M,,,,3.867B,3.817B,3.817B,1.178B,1.178B,643.70M,6.40M,2.100B,7.739B,11.61B,,1.192B,5.624B,4.615B,1.988B,750.00M,,,-1.722B,7.70B,,AOR,Restated
2017-03,378.00M,378.00M,1.728B,,,1.728B,362.60M,158.40M,1.456B,1.977B,,,285.60M,4.368B,,,,,,,,,1.538B,8.364B,3.603B,11.97B,,788.00M,14.29B,18.66B,,1.929B,,1.929B,1.118B,3.047B,,1.167B,1.167B,,1.167B,,,,4.214B,3.816B,3.816B,1.175B,1.175B,637.60M,6.60M,2.002B,7.630B,11.84B,,442.30M,5.434B,4.768B,2.002B,,,,-1.808B,6.812B,,AOR,Restated
2016-12,1.132B,1.132B,1.137B,140.10M,103.00M,1.303B,300.50M,133.30M,1.044B,1.478B,193.20M,,159.30M,4.788B,0.00,144.30M,519.30M,2.382B,,114.20M,3.160B,-1.709B,1.451B,6.694B,2.300B,8.994B,,401.70M,10.85B,15.63B,,1.640B,385.60M,2.026B,515.40M,2.541B,68.80M,12.10M,12.10M,,12.10M,81.90M,81.90M,103.30M,2.808B,3.815B,3.815B,735.40M,735.40M,644.30M,6.60M,1.259B,6.454B,9.261B,,442.30M,5.127B,4.774B,2.030B,,,,-1.921B,6.367B,,AOR,Restated
2016-09,420.80M,420.80M,1.730B,,,1.730B,344.40M,128.60M,1.247B,1.720B,,,390.80M,4.262B,,,,,,,,,1.480B,7.131B,2.458B,9.589B,,389.20M,11.46B,15.72B,,1.741B,,1.741B,1.620B,3.361B,,102.20M,102.20M,,102.20M,,,,3.463B,3.815B,3.815B,757.40M,757.40M,620.40M,46.70M,983.60M,6.176B,9.640B,,442.30M,4.959B,4.480B,2.138B,,,,-1.682B,6.034B,,AOR,Restated
2016-06,568.20M,568.20M,1.571B,,,1.571B,342.30M,135.30M,1.211B,1.689B,,,465.40M,4.293B,,,,,,,,,1.462B,7.109B,2.484B,9.593B,,392.50M,11.45B,15.74B,,1.739B,,1.739B,1.613B,3.352B,,357.90M,357.90M,,357.90M,,,,3.710B,3.814B,3.814B,776.70M,776.70M,637.20M,46.60M,952.80M,6.181B,9.891B,,442.30M,4.794B,4.464B,2.158B,,,,-1.711B,5.804B,,AOR,Restated
2016-03,352.20M,352.20M,1.593B,,,1.593B,324.80M,130.90M,1.229B,1.685B,,,386.80M,4.017B,,,,,,,,,1.463B,7.168B,2.533B,9.701B,,426.80M,11.59B,15.61B,,1.662B,,1.662B,1.545B,3.208B,,489.00M,489.00M,,489.00M,,,,3.697B,3.817B,3.817B,817.90M,817.90M,659.80M,46.60M,900.70M,6.196B,9.892B,,442.30M,4.602B,4.451B,2.182B,,,,-1.614B,5.669B,,AOR,Restated
2015-12,465.40M,465.40M,1.165B,130.60M,109.10M,1.332B,305.30M,136.10M,1.085B,1.526B,172.40M,,166.10M,3.662B,0.00,165.20M,525.30M,2.377B,,98.90M,3.167B,-1.717B,1.450B,7.084B,2.542B,9.626B,,389.70M,11.47B,15.13B,,1.533B,429.40M,1.962B,475.70M,2.438B,67.80M,7.60M,7.60M,,7.60M,89.20M,89.20M,199.80M,2.803B,3.792B,3.792B,825.90M,825.90M,669.40M,47.60M,1.179B,6.466B,9.269B,,442.30M,4.492B,4.422B,1.815B,,,,-1.694B,5.812B,,AOR,Restated
2015-09,293.30M,293.30M,1.691B,,,1.691B,359.20M,160.50M,1.347B,1.867B,,,422.10M,4.273B,,,,,,,,,1.408B,7.147B,2.592B,9.740B,,450.40M,11.60B,15.87B,,1.719B,,1.719B,1.246B,2.965B,,457.00M,457.00M,,457.00M,,,,3.422B,3.847B,3.847B,963.60M,963.60M,689.60M,81.60M,1.228B,6.728B,10.15B,,442.30M,4.306B,4.644B,2.136B,,,,-1.582B,5.639B,,AOR,Restated
2015-06,391.90M,391.90M,1.646B,,,1.646B,336.80M,166.90M,1.336B,1.840B,,,448.30M,4.345B,,,,,,,,,1.419B,7.168B,2.631B,9.799B,,436.10M,11.65B,16.00B,,1.765B,,1.765B,1.159B,2.924B,,440.50M,440.50M,,440.50M,,,21.00M,3.385B,3.823B,3.823B,997.50M,997.50M,709.10M,82.30M,1.218B,6.747B,10.13B,,442.30M,4.157B,4.455B,1.777B,,,,-1.455B,5.784B,,AOR,Restated
2015-03,435.50M,435.50M,1.613B,,,1.613B,313.00M,150.80M,1.278B,1.742B,,,509.30M,4.325B,,,,,,,,,1.412B,7.126B,2.662B,9.789B,,418.90M,11.62B,15.94B,,1.675B,,1.675B,1.144B,2.819B,,606.20M,606.20M,,606.20M,,,21.60M,3.447B,3.856B,3.856B,988.30M,988.30M,709.10M,82.00M,1.247B,6.800B,10.25B,,442.30M,4.006B,4.445B,1.713B,,,,-1.528B,5.615B,,AOR,Restated
2014-12,496.60M,496.60M,1.205B,136.40M,116.40M,1.397B,316.30M,141.40M,1.105B,1.563B,180.50M,,282.80M,3.949B,0.00,171.20M,542.80M,2.277B,,89.80M,3.081B,-1.627B,1.454B,7.276B,2.752B,10.03B,,419.00M,11.90B,15.85B,,1.579B,421.90M,2.001B,551.40M,2.552B,69.20M,7.50M,7.50M,,7.50M,84.40M,84.40M,118.40M,2.832B,3.840B,3.840B,992.70M,992.70M,749.90M,82.80M,922.80M,6.505B,9.337B,,442.30M,3.926B,4.727B,1.353B,,,,-1.270B,6.429B,,AOR,Restated
2014-09,486.80M,486.80M,1.861B,,,1.861B,325.10M,150.80M,1.282B,1.758B,,,341.50M,4.452B,,,,,,,,,1.448B,7.488B,2.868B,10.36B,,477.70M,12.28B,16.73B,,1.714B,,1.714B,1.236B,2.950B,,432.70M,432.70M,,432.70M,,,4.70M,3.387B,3.857B,3.857B,964.00M,964.00M,659.50M,83.20M,822.20M,6.302B,9.690B,,442.30M,3.864B,4.867B,1.382B,,,,-785.90M,6.961B,,AOR,Restated
2014-06,515.70M,515.70M,1.789B,,,1.789B,316.40M,146.00M,1.259B,1.722B,,,369.40M,4.401B,,,,,,,,,1.484B,7.637B,2.953B,10.59B,,484.90M,12.56B,16.96B,,1.701B,,1.701B,1.197B,2.898B,,484.00M,484.00M,,484.00M,,,4.90M,3.387B,3.849B,3.849B,1.007B,1.007B,726.90M,82.40M,851.10M,6.434B,9.822B,,442.30M,3.708B,4.861B,1.407B,,,,-502.90M,7.055B,,AOR,Restated
2014-03,432.60M,432.60M,1.796B,,,1.796B,315.60M,138.80M,1.209B,1.663B,,,375.10M,4.271B,,,,,,,,,1.482B,7.610B,3.009B,10.62B,,460.40M,12.56B,16.83B,,1.582B,,1.582B,1.186B,2.767B,,683.50M,683.50M,,683.50M,,,4.90M,3.456B,3.831B,3.831B,1.008B,1.008B,732.40M,81.50M,825.90M,6.398B,9.854B,,442.30M,3.569B,4.848B,1.420B,,,,-494.20M,6.898B,,AOR,Restated
2013-12,496.20M,496.20M,1.366B,141.50M,135.80M,1.578B,274.90M,122.90M,1.076B,1.473B,170.60M,,161.10M,4.017B,0.00,175.60M,537.10M,2.213B,,86.30M,3.012B,-1.533B,1.479B,7.563B,3.037B,10.60B,,439.90M,12.52B,16.54B,,1.553B,358.80M,1.912B,641.90M,2.554B,76.40M,402.60M,402.60M,,402.60M,75.80M,75.80M,127.60M,3.236B,3.799B,3.799B,899.70M,899.70M,744.00M,81.30M,975.50M,6.419B,9.655B,,442.30M,3.485B,4.879B,1.454B,,,,-499.00M,6.799B,,AOR,Restated
2013-09,469.10M,469.10M,1.936B,,,1.936B,281.70M,142.10M,1.206B,1.630B,,,381.20M,4.431B,,,,,,,,,1.455B,7.571B,3.118B,10.69B,,448.30M,12.59B,17.02B,,1.626B,,1.626B,1.098B,2.724B,,1.220B,1.220B,,1.220B,,,5.00M,3.949B,3.397B,3.397B,1.020B,1.020B,772.40M,81.40M,867.10M,6.057B,10.01B,,442.30M,3.506B,5.002B,1.474B,,,,-481.00M,6.937B,,AOR,Restated
2013-06,561.70M,561.70M,1.794B,,,1.794B,273.90M,137.90M,1.064B,1.476B,,,425.10M,4.257B,,,,,,,,,1.398B,7.466B,3.148B,10.61B,,434.70M,12.45B,16.70B,,1.559B,,1.559B,1.082B,2.640B,,1.290B,1.290B,,1.290B,,,,3.930B,3.429B,3.429B,1.004B,1.004B,770.00M,78.60M,846.10M,6.048B,9.978B,,442.30M,3.417B,4.662B,1.169B,,,,-645.90M,6.646B,,AOR,Restated
2013-03,557.50M,557.50M,1.783B,,,1.783B,261.50M,133.50M,1.145B,1.540B,,,462.10M,4.426B,,,,,,,,,1.355B,7.339B,3.340B,10.68B,,437.60M,12.47B,16.90B,,1.515B,,1.515B,1.268B,2.782B,,1.342B,1.342B,,1.342B,,,7.70M,4.133B,3.494B,3.494B,1.033B,1.033B,782.90M,44.40M,795.40M,6.106B,10.24B,,442.30M,3.305B,4.436B,976.70M,,,,-530.20M,6.615B,,AOR,Restated
2012-12,716.00M,716.00M,1.329B,125.90M,137.10M,1.526B,225.90M,121.90M,956.80M,1.305B,199.10M,,194.10M,4.111B,0.00,143.40M,470.70M,2.001B,,73.60M,2.689B,-1.359B,1.330B,7.016B,2.932B,9.947B,,455.80M,11.73B,15.84B,,1.346B,513.70M,1.860B,581.60M,2.441B,78.60M,11.50M,11.50M,,11.50M,78.10M,78.10M,465.30M,3.075B,3.526B,3.526B,946.00M,946.00M,816.10M,60.00M,753.60M,6.042B,9.117B,,442.30M,3.300B,4.474B,1.097B,,,,-388.00M,6.667B,,AOR,Restated
2012-09,769.50M,769.50M,,,,1.830B,309.60M,176.10M,1.216B,1.702B,,,452.50M,4.754B,,,,,,,,,1.386B,7.529B,3.166B,10.69B,,280.30M,12.36B,17.11B,,1.489B,,1.489B,1.636B,3.125B,,,1.545B,,1.545B,,,,4.670B,2.729B,2.729B,1.003B,1.003B,701.00M,59.50M,747.40M,5.18B,9.850B,,442.30M,2.887B,4.658B,448.20M,,,,-270.00M,7.204B,,AOR,Restated
2012-06,577.80M,577.80M,,,,1.676B,283.30M,163.10M,1.128B,1.575B,,,477.30M,4.306B,,,,,,,,,1.295B,7.264B,3.183B,10.45B,,302.40M,12.04B,16.35B,,1.437B,,1.437B,1.329B,2.766B,,,1.006B,,1.006B,,,,3.771B,2.924B,2.924B,993.20M,993.20M,703.30M,47.80M,1.066B,5.687B,9.458B,,442.30M,2.851B,4.644B,479.90M,,,,-547.60M,6.844B,,AOR,Restated
2012-03,883.60M,883.60M,,,,1.726B,291.20M,158.20M,1.140B,1.590B,,,404.20M,4.603B,,,,,,,,,1.268B,7.065B,3.113B,10.18B,,300.80M,11.75B,16.35B,,1.418B,,1.418B,1.286B,2.703B,,,733.70M,,733.70M,,,,3.437B,2.906B,2.906B,951.80M,951.80M,721.10M,58.50M,1.073B,5.652B,9.089B,,440.70M,2.762B,4.579B,239.40M,,,,-272.30M,7.203B,,AOR,Restated
2011-12,906.90M,906.90M,1.345B,100.20M,,1.445B,221.40M,134.80M,914.70M,1.271B,201.90M,,214.60M,5.090B,0.00,129.10M,423.20M,1.657B,,48.70M,2.258B,-1.115B,1.143B,6.438B,2.944B,9.382B,,334.80M,10.86B,15.95B,,1.199B,224.10M,1.423B,147.90M,1.571B,,526.60M,526.60M,,526.60M,171.90M,171.90M,690.20M,3.330B,2.926B,2.926B,851.00M,851.00M,723.80M,63.20M,1.052B,5.552B,8.882B,,440.70M,2.707B,4.581B,308.00M,,,,-349.20M,7.004B,,AOR,Restated
2011-09,851.90M,851.90M,,,,1.837B,295.10M,158.70M,1.151B,1.605B,314.80M,,129.10M,4.737B,,,,,,,,,1.226B,6.979B,3.163B,10.14B,,377.90M,11.75B,16.48B,,1.387B,,1.387B,1.345B,2.732B,,,1.078B,,1.078B,,,,3.810B,2.739B,2.739B,1.047B,1.047B,630.30M,63.70M,1.155B,5.571B,9.381B,,440.70M,2.610B,4.569B,330.20M,,,,-181.60M,7.038B,,AOR,Restated
2011-06,1.915B,1.915B,,,,1.625B,278.40M,120.50M,1.050B,1.448B,199.20M,,151.80M,5.339B,,,,,,,,,1.186B,6.249B,2.845B,9.094B,,414.00M,10.69B,16.03B,,1.268B,,1.268B,1.193B,2.461B,,,943.90M,,943.90M,,,,3.405B,2.729B,2.729B,925.60M,925.60M,648.20M,52.40M,742.20M,5.045B,8.450B,,440.70M,2.521B,4.906B,344.00M,,,,78.40M,7.531B,,AOR,Restated
2011-03,1.884B,1.884B,,,,1.548B,269.00M,116.40M,1.028B,1.414B,203.30M,,126.30M,5.174B,,,,,,,,,1.145B,6.190B,2.873B,9.062B,,374.10M,10.58B,15.76B,,1.171B,,1.171B,1.268B,2.439B,,,553.50M,,553.50M,,,,2.992B,3.008B,3.008B,919.90M,919.90M,657.10M,52.40M,792.60M,5.378B,8.370B,,440.70M,2.392B,4.908B,367.70M,,,,33.30M,7.333B,,AOR,Restated
2010-12,1.745B,1.745B,1.412B,61.90M,,1.417B,239.40M,117.50M,915.10M,1.272B,224.00M,,157.10M,4.816B,,154.50M,464.20M,1.525B,,43.00M,2.187B,-1.020B,1.166B,5.942B,2.872B,8.814B,,343.20M,10.32B,15.14B,,998.60M,,998.60M,1.326B,2.324B,,,417.70M,,417.70M,,,,2.742B,3.018B,3.018B,901.10M,901.10M,642.80M,52.70M,765.50M,5.328B,8.070B,,440.70M,2.302B,4.886B,420.40M,,,,-116.30M,7.017B,,AOR,Restated
2010-09,1.636B,1.636B,,,,1.699B,248.40M,123.50M,1.025B,1.397B,110.20M,,260.00M,5.102B,,,,,,,,,1.142B,5.367B,2.889B,8.256B,,373.10M,9.770B,14.87B,,1.014B,,1.014B,1.415B,2.430B,,,727.50M,,727.50M,,,,3.157B,2.719B,2.719B,433.40M,433.40M,895.50M,28.40M,729.90M,4.778B,7.935B,,440.70M,2.220B,4.945B,445.10M,,,,-174.80M,6.909B,,AOR,Restated
2010-06,1.598B,1.598B,,,,1.55B,212.80M,114.20M,968.20M,1.295B,106.60M,,322.20M,4.872B,,,,,,,,,1.067B,5.039B,2.672B,7.711B,,345.00M,9.123B,14.00B,,979.50M,,979.50M,1.324B,2.303B,,,771.30M,,771.30M,,,,3.075B,2.319B,2.319B,393.70M,393.70M,901.50M,25.30M,672.50M,4.286B,7.361B,,440.70M,2.152B,4.935B,457.10M,,,,-384.40M,6.609B,,AOR,Restated
2010-03,1.505B,1.505B,,,,1.557B,302.50M,157.00M,938.10M,1.398B,146.60M,,376.90M,4.984B,,,,,,,,,1.030B,5.283B,2.907B,8.190B,,430.60M,9.651B,14.63B,,928.70M,,928.70M,1.521B,2.450B,,,708.80M,,708.80M,,,,3.159B,2.743B,2.743B,620.70M,620.70M,923.70M,24.80M,649.60M,4.937B,8.096B,,427.20M,2.161B,4.611B,488.80M,,,,-117.60M,6.514B,,AOR,Restated
2009-12,400.70M,400.70M,518.20M,45.70M,,532.00M,64.40M,49.00M,252.80M,366.20M,73.20M,,39.80M,1.412B,,67.90M,284.20M,1.113B,,29.80M,1.494B,-918.60M,575.90M,1.818B,776.40M,2.595B,,186.50M,3.357B,4.769B,,410.10M,,410.10M,483.50M,893.60M,,,298.40M,,298.40M,,,,1.192B,1.085B,1.085B,120.40M,120.40M,136.70M,25.40M,223.80M,1.566B,2.758B,,230.90M,2.296B,126.70M,509.70M,,,,-76.50M,1.986B,,AOR,Restated
2009-09,207.40M,207.40M,,,,650.50M,71.20M,56.30M,310.00M,437.50M,,,109.70M,1.405B,,,,,,,1.493B,-920.40M,572.20M,1.821B,806.90M,2.628B,85.20M,112.20M,3.398B,4.803B,,372.20M,,372.20M,502.90M,875.10M,,,363.50M,,363.50M,,,,1.239B,1.087B,1.087B,,,,24.50M,542.40M,1.629B,2.868B,,230.90M,2.375B,,525.60M,,,,-87.00M,1.911B,,AOR,Restated
2009-06,156.30M,156.30M,,,,654.90M,79.70M,53.50M,333.30M,466.50M,,,98.20M,1.376B,,,,,,,1.483B,-909.50M,573.90M,1.790B,810.20M,2.601B,,199.20M,3.374B,4.750B,,370.70M,,370.70M,476.20M,846.90M,,,271.40M,,271.40M,,,,1.118B,1.277B,1.277B,,,,24.20M,534.60M,1.812B,2.930B,,230.90M,2.334B,,561.20M,,,,-123.70M,1.796B,,AOR,Restated
2009-03,128.00M,128.00M,,,,659.10M,86.10M,57.20M,360.40M,503.70M,,,100.30M,1.391B,,,,,,,1.458B,-891.80M,566.10M,1.749B,820.90M,2.570B,,196.40M,3.333B,4.724B,,400.80M,,400.80M,482.20M,883.00M,,,215.10M,,215.10M,,,,1.098B,1.385B,1.385B,,,,19.20M,534.00M,1.919B,3.018B,,230.90M,2.288B,,573.50M,,,,-172.80M,1.687B,,AOR,Restated
2008-12,211.60M,211.60M,678.60M,38.90M,,677.70M,91.50M,58.20M,365.00M,514.70M,45.50M,,48.50M,1.498B,,62.30M,277.90M,1.093B,,24.70M,1.458B,-878.20M,579.80M,1.739B,856.90M,2.596B,,192.70M,3.369B,4.867B,,461.50M,,461.50M,504.00M,965.50M,,,227.70M,,227.70M,,,,1.193B,1.384B,1.384B,119.50M,119.50M,,18.50M,445.30M,1.949B,3.142B,,230.90M,2.200B,91.50M,576.80M,,,,-152.00M,1.706B,,AOR,Restated
2008-09,299.30M,299.30M,884.70M,,,884.70M,93.70M,70.90M,406.80M,571.40M,,,93.10M,1.848B,,,,,,,1.477B,-888.70M,588.70M,1.665B,822.20M,2.487B,,197.20M,3.273B,5.121B,,523.80M,,523.80M,516.40M,1.040B,,,456.20M,,456.20M,,,2.40M,1.499B,1.194B,1.194B,,,,,556.60M,1.751B,3.250B,,233.90M,2.289B,,581.50M,,,,-69.80M,1.872B,,,Restated
