,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2014-09,102.42M,-0.303M,,-0.303M,,75.42M,75.42M,7.357M,,7.308M,7.308M,-3.678M,,-6.836M,3.685M,,0.00,-6.829M,185.36M,-161.81M,35.44M,-126.37M,,,0.012M,-126.36M,-27.99M,,-27.99M,,-22.27M,-22.27M,-23.42M,-23.42M,2.459M,12.21M,-59.01M,5.87M,-0.011M,5.859M,,511.67M,-539.66M,-22.27M,42.26M,13.33M
2014-06,93.41M,-2.419M,,-2.419M,,71.73M,71.73M,-12.38M,,8.842M,8.842M,-32.51M,,33.38M,17.18M,,-35.26M,-17.22M,141.96M,-239.75M,45.11M,-194.64M,,,0.009M,-194.63M,23.59M,,23.59M,,-75.42M,-75.42M,-23.30M,-23.30M,4.344M,5.117M,-65.67M,124.21M,-118.34M,5.87M,,471.28M,-447.68M,-75.42M,90.19M,3.504M
2014-03,68.66M,-2.691M,,-2.691M,,68.97M,68.97M,-5.287M,,9.972M,9.972M,-66.59M,,34.99M,8.259M,,42.76M,19.42M,159.04M,-198.26M,40.05M,-158.21M,,,,-158.21M,140.51M,,140.51M,,-0.099M,-0.099M,-23.45M,-23.45M,0.267M,0.32M,117.55M,5.831M,118.38M,124.21M,,897.59M,-757.08M,-0.099M,3.663M,8.802M
2013-12,91.86M,-0.709M,,-0.709M,,66.08M,66.08M,32.28M,,8.752M,8.752M,16.40M,,-2.888M,-41.14M,,-7.501M,-35.14M,163.12M,-120.87M,11.99M,-108.88M,,,-0.002M,-108.88M,14.26M,,14.26M,,-50.00M,-50.00M,-17.58M,-17.58M,0.631M,-1.687M,-54.38M,5.968M,-0.137M,5.831M,,561.00M,-546.74M,-50.00M,30.56M,1.208M
2013-09,89.47M,-3.183M,,-3.183M,,64.29M,64.29M,19.27M,,5.625M,5.625M,-5.271M,,-59.43M,6.884M,,0.00,-57.82M,117.66M,-134.07M,12.14M,-121.93M,,,-0.034M,-121.97M,21.21M,,21.21M,,-17.39M,-17.39M,-17.67M,-17.67M,2.564M,15.64M,4.354M,5.923M,0.045M,5.968M,,525.77M,-504.55M,-17.39M,20.33M,10.82M
2013-06,87.70M,-0.135M,,-0.135M,,62.28M,62.28M,-7.871M,,8.84M,8.84M,-50.31M,,6.396M,15.17M,,-35.26M,-64.00M,86.81M,-112.96M,16.32M,-96.63M,,,0.011M,-96.62M,80.06M,,80.06M,,-65.25M,-65.25M,-17.56M,-17.56M,5.802M,6.933M,9.987M,5.747M,0.176M,5.923M,,544.34M,-464.28M,-65.25M,89.03M,1.849M
2013-03,73.35M,-1.307M,,-1.307M,,60.73M,60.73M,4.398M,,9.137M,9.137M,-63.32M,,90.56M,-4.166M,,37.38M,60.45M,206.76M,-125.54M,10.48M,-115.06M,,,-0.012M,-115.07M,-92.96M,,-92.96M,,-0.046M,-0.046M,0.00,0.00,0.406M,1.066M,-91.53M,5.589M,0.158M,5.747M,,302.64M,-395.60M,-0.046M,2.047M,10.85M
2012-12,83.98M,-5.138M,,-5.138M,,59.05M,59.05M,15.65M,,7.736M,7.736M,38.24M,,-39.56M,-25.66M,,-3.584M,-30.56M,130.70M,-109.90M,19.25M,-90.64M,,,0.455M,-90.19M,40.45M,,40.45M,,-63.65M,-63.65M,-34.11M,-34.11M,14.91M,1.802M,-40.59M,5.659M,-0.07M,5.589M,,431.14M,-390.69M,-63.65M,32.45M,0.708M
2012-09,78.24M,-1.934M,,-1.934M,,57.77M,57.77M,18.27M,,5.59M,5.59M,-32.18M,,27.82M,8.058M,,-4.882M,-1.177M,156.76M,-114.85M,6.693M,-108.16M,,,-0.394M,-108.55M,-32.52M,,-32.52M,,0.00,0.00,-16.54M,-16.54M,-8.747M,9.376M,-48.44M,5.887M,-0.228M,5.659M,,455.18M,-487.70M,0.00,25.12M,12.04M
2012-06,80.45M,-4.064M,,-4.064M,,56.23M,56.23M,-1.581M,,8.288M,8.288M,-24.37M,,11.71M,16.93M,,-29.29M,-25.02M,114.31M,-102.03M,14.93M,-87.10M,,,0.008M,-87.09M,-21.28M,,-21.28M,,0.00,0.00,-16.39M,-16.39M,3.855M,6.776M,-27.04M,5.713M,0.174M,5.887M,,385.26M,-406.54M,0.00,73.33M,1.798M
2012-03,67.68M,-5.709M,,-5.709M,,56.12M,56.12M,-11.54M,,8.101M,8.101M,-36.23M,,22.37M,-4.152M,,49.62M,31.62M,146.27M,-112.72M,28.94M,-83.78M,,,0.016M,-83.77M,-49.21M,,-49.21M,,,,-16.39M,-16.39M,1.218M,2.136M,-62.24M,5.45M,0.263M,5.713M,,334.09M,-383.30M,,1.196M,12.53M
2011-12,72.56M,-4.101M,,-4.101M,,55.63M,55.63M,75.73M,,9.003M,9.003M,13.16M,,-8.529M,,,-67.27M,-61.35M,147.48M,-136.36M,14.76M,-121.60M,,,-0.01M,-121.61M,96.96M,-113.47M,-16.51M,,-7.703M,-7.703M,,-15.19M,-4.323M,,-28.17M,7.747M,-2.297M,5.45M,,361.01M,-377.52M,-7.703M,2.367M,0.694M
2011-09,68.65M,-3.879M,,-3.879M,,54.40M,54.40M,28.93M,,5.205M,5.205M,16.12M,,0.815M,,,10.29M,27.23M,180.54M,-125.57M,12.27M,-113.30M,,,0.264M,-113.04M,0.00,103.66M,103.66M,,-161.08M,-161.08M,,-15.66M,2.17M,,-70.90M,11.15M,-3.402M,7.747M,,324.44M,-220.77M,-161.08M,5.884M,12.26M
2011-06,65.70M,-1.765M,,-1.765M,,52.55M,52.55M,24.88M,,7.129M,7.129M,-37.83M,,48.35M,,,12.08M,22.60M,171.09M,-107.44M,8.826M,-98.62M,,,0.098M,-98.52M,0.00,-33.06M,-33.06M,,-29.98M,-29.98M,,-15.64M,11.86M,,-66.82M,5.393M,5.756M,11.15M,,203.74M,-236.80M,-29.98M,6.673M,1.575M
2011-03,50.10M,-4.364M,,-4.364M,,51.36M,51.36M,-11.83M,,5.504M,5.504M,-51.74M,,43.62M,,,53.94M,45.82M,136.58M,-132.91M,20.56M,-112.35M,,,-0.012M,-112.36M,0.00,42.87M,42.87M,,-55.35M,-55.35M,,-15.75M,1.753M,,-26.48M,7.651M,-2.258M,5.393M,,408.47M,-365.60M,-55.35M,1.453M,16.20M
2010-12,199.62M,1.526M,,1.526M,,50.09M,50.09M,36.70M,0.00,6.416M,-120.19M,19.93M,,-11.02M,,,-54.24M,-54.75M,97.84M,-87.29M,6.721M,-80.57M,,,-0.035M,-80.61M,-159.57M,167.14M,7.564M,,-75.64M,-75.64M,,-14.80M,1.503M,3.237M,-78.14M,68.56M,-60.91M,7.651M,,7.61M,-0.046M,-75.64M,20.63M,0.36M
2010-09,-89.59M,-0.218M,,-0.218M,,49.81M,49.81M,-0.821M,0.00,4.195M,130.80M,-7.452M,,10.22M,,,13.51M,16.27M,121.41M,-44.39M,2.973M,-41.42M,,,0.003M,-41.41M,249.16M,-216.91M,32.26M,,-43.44M,-43.44M,,-14.85M,2.322M,4.566M,-19.15M,7.714M,60.85M,68.56M,,588.10M,-555.84M,-43.44M,29.27M,12.10M
2010-06,52.11M,-0.832M,,-0.832M,,49.15M,49.15M,-7.299M,0.18M,5.593M,5.773M,-22.01M,,27.11M,,,18.15M,23.25M,122.16M,-61.16M,4.889M,-56.27M,,,0.016M,-56.26M,0.00,74.75M,74.75M,,-131.81M,-131.81M,,-14.98M,2.584M,3.486M,-65.97M,7.787M,-0.073M,7.714M,,476.88M,-402.13M,-131.81M,38.10M,0.879M
2010-03,37.48M,-2.20M,,-2.20M,,48.01M,48.01M,11.52M,,5.193M,5.193M,-31.32M,,16.84M,,,1.147M,-13.33M,86.68M,-69.61M,21.93M,-47.67M,,,-0.068M,-47.74M,0.00,-24.98M,-24.98M,,0.00,0.00,,-15.27M,0.393M,0.865M,-38.99M,7.843M,-0.056M,7.787M,,235.42M,-260.40M,0.00,0.718M,12.21M
2009-12,41.66M,-6.748M,-4.075M,-10.82M,,47.49M,47.49M,14.00M,0.00,5.148M,5.148M,13.05M,,43.81M,,,-45.58M,11.28M,108.76M,-71.42M,30.95M,-40.47M,,5.641M,-0.251M,-35.08M,0.00,-59.94M,-59.94M,,0.00,0.00,,-13.99M,10.70M,-7.326M,-70.56M,4.711M,3.132M,7.843M,,261.26M,-321.20M,0.00,9.576M,1.077M
2009-09,39.96M,4.777M,-0.229M,4.548M,,47.10M,47.10M,53.76M,0.00,2.919M,2.919M,-31.90M,,-27.17M,,-1.313M,9.618M,-50.76M,97.52M,-96.77M,30.16M,-66.62M,,1.27M,0.075M,-65.27M,-61.50M,43.20M,-18.30M,,0.00,0.00,,-13.96M,0.291M,0.86M,-31.11M,3.57M,1.141M,4.711M,,335.30M,-353.60M,0.00,1.012M,12.00M
2009-06,24.05M,2.073M,0.223M,2.296M,,47.09M,47.09M,-32.40M,10.28M,4.943M,15.23M,-29.65M,,28.96M,,0.81M,20.93M,21.05M,77.32M,-118.23M,30.13M,-88.10M,,0.185M,-2.327M,-90.24M,-3.50M,19.82M,16.32M,,0.00,0.00,,-13.87M,4.008M,6.466M,12.92M,3.576M,-0.006M,3.57M,,300.32M,-284.00M,0.00,32.98M,2.231M
2009-03,30.76M,0.211M,0.625M,0.836M,,47.36M,47.36M,-2.741M,,4.556M,4.556M,1.72M,,-27.20M,,0.503M,17.53M,-7.45M,73.32M,-66.74M,20.14M,-46.59M,,0.55M,-7.321M,-53.36M,-3.50M,-1.73M,-5.23M,,,,,-13.87M,0.345M,,-18.75M,2.373M,1.203M,3.576M,,359.77M,-365.00M,,14.65M,12.69M
2008-12,53.28M,-0.282M,-0.39M,-0.672M,,50.35M,50.35M,-9.973M,3.934M,5.129M,9.063M,101.87M,,-22.77M,-57.07M,-0.282M,,53.42M,155.47M,-102.20M,13.70M,-88.50M,,0.819M,2.68M,-85.00M,214.37M,-273.07M,-58.70M,,,,,-12.60M,-6.175M,,-70.54M,2.45M,-0.077M,2.373M,,,-1.643B,,23.81M,-2.288M
2008-09,60.30M,0.197M,0.247M,0.444M,,50.67M,50.67M,31.53M,0.00,2.619M,2.619M,2.618M,,-16.77M,14.41M,0.349M,,0.603M,146.17M,-43.66M,31.68M,-11.98M,,1.317M,-0.295M,-10.96M,-127.45M,,-127.45M,,,,,-12.59M,6.023M,,-134.02M,1.26M,1.19M,2.45M,,,-127.45M,,8.206M,15.65M
2008-06,50.60M,-0.366M,1.023M,0.657M,-50.54M,50.73M,50.73M,-12.92M,0.00,3.215M,3.215M,-42.61M,,12.83M,23.56M,0.567M,,-5.657M,86.62M,-74.65M,24.70M,-49.95M,,1.203M,-0.294M,-49.04M,-97.42M,44.43M,-53.00M,,,,,-12.48M,12.94M,,-52.54M,16.22M,-14.96M,1.26M,,,-53.00M,,40.40M,4.437M
2008-03,36.41M,-0.208M,0.855M,0.647M,50.54M,50.54M,50.54M,10.88M,,2.81M,2.81M,-7.048M,,4.179M,19.11M,-0.634M,,15.60M,116.89M,-82.74M,22.28M,-60.45M,,2.936M,0.211M,-57.30M,-3.50M,-44.43M,-47.93M,,,,,-12.46M,2.067M,,-58.32M,14.96M,1.261M,16.22M,,,-47.93M,,9.521M,17.69M
2007-12,54.32M,,0.145M,0.704M,,52.79M,52.79M,6.26M,,2.932M,11.31M,50.80M,,-37.56M,-57.60M,1.519M,12.32M,-30.53M,94.85M,-71.04M,8.78M,-62.26M,,,-0.329M,-71.35M,131.52M,,60.22M,,,-61.47M,,-11.29M,,-14.01M,-12.66M,4.113M,10.84M,14.96M,,135.02M,-3.50M,,18.42M,6.935M
2007-09,50.78M,,0.025M,0.256M,,52.30M,52.30M,23.00M,,2.134M,2.134M,-8.22M,,13.74M,17.87M,0.444M,,23.83M,152.31M,-60.90M,2.562M,-58.34M,,,-0.207M,-58.55M,196.50M,,153.70M,,,-239.51M,,-11.94M,,1.931M,-95.82M,6.174M,-2.061M,4.113M,,200.00M,-3.50M,,6.861M,11.90M
2007-06,63.86M,,1.06M,0.726M,,50.53M,50.53M,-17.16M,,4.323M,2.091M,-21.25M,,-20.78M,39.74M,-1.963M,-39.33M,-43.59M,56.45M,-231.61M,21.58M,-220.20M,,,104.47M,-115.74M,140.40M,,254.50M,,,-193.15M,,-12.64M,,7.263M,55.98M,9.484M,-3.31M,6.174M,,0.00,140.40M,,82.07M,34.06M
2007-03,44.17M,,,,,49.52M,49.52M,-8.603M,,,2.232M,16.50M,,11.05M,,,39.33M,66.88M,154.20M,,,10.17M,,,-105.03M,-94.86M,52.60M,,52.60M,,,-101.66M,,-12.98M,,4.813M,-57.22M,7.371M,2.113M,9.484M,,200.00M,-147.40M,,,
2006-12,57.80M,,,-1.031M,-133.86M,49.74M,49.74M,6.996M,,,2.58M,-14.60M,,-17.89M,,-2.549M,-23.18M,-58.22M,57.88M,377.12M,-420.05M,-42.93M,,,-33.37M,-76.30M,19.90M,,19.90M,,-6.734M,2.489M,,-11.56M,,-3.112M,7.72M,18.08M,-10.70M,7.371M,,23.40M,-3.50M,-6.734M,,
2006-09,57.83M,,,0.091M,45.81M,45.81M,45.81M,3.317M,,,1.329M,-18.17M,,10.98M,,17.16M,-2.478M,7.503M,115.89M,-203.73M,213.10M,9.377M,,,-202.78M,-193.40M,63.00M,,63.00M,,-65.97M,-65.97M,,-11.62M,,100.98M,86.38M,9.21M,8.866M,18.08M,,63.00M,0.00,-65.97M,-59.83M,-3.16M
2006-06,55.33M,,,0.94M,88.05M,44.52M,44.52M,-17.51M,,,1.85M,-17.99M,,7.951M,,-14.62M,37.05M,12.39M,97.53M,-86.77M,206.95M,14.32M,,,-173.77M,-72.82M,93.00M,,93.00M,,-184.69M,-184.69M,,-12.25M,,79.63M,-24.31M,8.821M,0.389M,9.21M,,93.00M,0.00,-184.69M,59.83M,3.16M
2006-03,48.98M,,,,,43.53M,43.53M,12.11M,,,1.702M,36.19M,,-3.954M,,,13.22M,45.45M,151.78M,-86.62M,,19.23M,,,-0.843M,-68.23M,0.00,,0.00,,,,,-12.31M,,-69.83M,-82.13M,7.412M,1.409M,8.821M,,0.00,0.00,,,
2005-12,65.34M,,,-11.55M,-120.45M,42.59M,42.59M,8.966M,,,22.18M,-6.949M,,-35.08M,,17.23M,-49.82M,-74.61M,52.90M,137.49M,-57.96M,141.22M,,,-142.02M,-62.50M,0.00,,0.00,,-43.32M,-32.44M,,-9.268M,,44.09M,2.391M,3.738M,-7.204M,7.412M,,0.00,,-43.32M,-68.10M,-3.918M
2005-09,39.84M,,,11.27M,41.11M,41.11M,41.11M,-3.64M,,,-8.302M,-18.17M,,77.25M,,11.08M,-2.711M,67.45M,147.73M,-125.93M,10.72M,-57.11M,,,58.00M,-57.21M,-67.30M,,-67.30M,,-79.60M,-79.60M,,-9.454M,,75.70M,-80.66M,4.757M,9.858M,3.738M,,-67.30M,,-79.60M,25.63M,1.536M
2005-06,54.63M,,,-0.748M,40.11M,40.11M,40.11M,-27.16M,,,8.302M,1.15M,,-20.71M,-9.751M,1.405M,28.73M,0.826M,75.96M,-116.90M,23.35M,-46.77M,,,47.41M,-46.14M,-0.70M,,-0.70M,,-16.80M,-16.80M,,-9.51M,,,-27.01M,1.953M,2.805M,4.757M,,-0.70M,,-16.80M,41.53M,1.924M
2005-03,47.50M,,,1.03M,39.23M,39.23M,39.23M,27.60M,,,,-10.96M,,-58.13M,9.751M,-29.72M,28.97M,-60.09M,55.27M,-98.56M,23.89M,-37.34M,,,27.88M,-46.80M,68.00M,,68.00M,,-99.51M,-99.51M,,-9.723M,,,-41.24M,34.72M,-32.76M,1.953M,,68.00M,,-99.51M,0.943M,0.458M
