,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2003-09,93.17M,93.17M,266.09M,,266.09M,,57.55M,,,416.81M,,,,,1.314B,-472.91M,841.12M,,,,,39.36M,880.48M,1.297B,109.75M,10.50M,-10.50M,109.75M,56.70M,166.45M,105.00M,105.00M,89.82M,194.82M,,10.50M,10.50M,27.74M,399.50M,9.909M,0.00,9.909M,208.68M,208.68M,3.517M,222.10M,621.60M,,,,,,,675.69M
2003-06,128.33M,128.33M,257.68M,,257.68M,,68.66M,,,454.67M,,,,,1.307B,-464.08M,843.21M,,,,,39.62M,882.83M,1.338B,101.45M,6.676M,-6.676M,101.45M,50.77M,152.22M,97.01M,97.01M,99.20M,196.21M,,6.676M,6.676M,23.34M,378.44M,104.88M,21.76M,126.64M,196.79M,196.79M,3.35M,326.78M,705.22M,,,,,,,632.28M
2003-03,84.28M,84.28M,257.02M,,257.02M,,93.48M,,,434.78M,,,,,1.300B,-461.59M,838.08M,,,,,40.30M,878.38M,1.313B,123.08M,4.002M,-4.002M,123.08M,43.63M,166.70M,97.01M,97.01M,22.98M,119.98M,,4.002M,4.002M,14.63M,305.32M,104.85M,110.81M,215.66M,186.79M,186.79M,3.055M,405.51M,710.83M,,,,,,,602.33M
2002-12,80.63M,80.63M,,,237.16M,9.515M,,,105.88M,433.18M,,,,,1.306B,-461.09M,844.56M,,,,,40.98M,885.55M,1.319B,117.93M,10.74M,,128.67M,,128.67M,,124.15M,,124.15M,,,,72.51M,325.33M,105.00M,,105.00M,181.95M,181.95M,115.96M,402.91M,728.24M,0.418M,459.80M,184.68M,54.42M,,,591.00M
2002-09,85.76M,85.76M,253.93M,,253.93M,,74.73M,,,414.43M,,,,,1.293B,-445.85M,847.30M,,,,,37.19M,884.49M,1.299B,119.28M,,,119.28M,59.89M,179.17M,98.01M,98.01M,29.13M,127.14M,,0.00,0.00,7.161M,313.48M,114.78M,119.44M,234.23M,174.60M,174.60M,2.18M,411.00M,724.48M,,445.08M,,,,,574.44M
2002-06,80.32M,80.32M,246.82M,,246.82M,,79.67M,,,406.81M,,,,,1.266B,-429.38M,836.65M,,,,,46.45M,883.10M,1.290B,120.53M,,,120.53M,52.92M,173.45M,10.00M,10.00M,29.36M,39.36M,,0.00,0.00,18.05M,230.85M,202.76M,126.21M,328.98M,171.37M,171.37M,1.97M,502.32M,733.17M,,,,,,,556.74M
2002-03,12.40M,12.40M,226.23M,,226.23M,,90.91M,,,329.55M,,,,,1.257B,-419.86M,837.60M,,,,,53.40M,891.01M,1.221B,111.68M,,,111.68M,39.35M,151.04M,33.00M,33.00M,28.88M,61.88M,,3.672M,3.672M,12.05M,228.64M,212.98M,133.48M,346.46M,167.57M,167.57M,5.389M,519.42M,748.06M,,412.84M,,,,,472.49M
2001-12,49.24M,49.24M,,,233.25M,8.915M,,,93.39M,384.80M,,,,,1.264B,-432.26M,831.71M,,,,,44.69M,876.40M,1.261B,163.29M,3.15M,,166.44M,,166.44M,,38.43M,,38.43M,,,,60.97M,265.83M,353.61M,,353.61M,177.26M,177.26M,6.194M,537.07M,802.90M,0.39M,407.99M,115.32M,58.34M,,,458.30M
2001-09,63.16M,63.16M,247.21M,,247.21M,,61.38M,,,371.74M,,,,,1.254B,-443.87M,809.85M,,,,,56.45M,866.30M,1.238B,141.50M,11.26M,-11.26M,141.50M,40.96M,182.46M,10.00M,10.00M,31.41M,41.41M,,11.26M,11.26M,16.23M,251.36M,222.92M,136.33M,359.24M,171.86M,171.86M,5.434M,536.54M,787.90M,,399.98M,,,,,450.14M
2001-06,22.49M,22.49M,229.01M,,229.01M,,73.29M,,,324.79M,,,,,1.251B,-440.88M,810.58M,,,,,63.91M,874.49M,1.199B,128.22M,13.00M,-13.00M,128.22M,44.38M,172.60M,10.00M,10.00M,26.38M,36.38M,,13.00M,13.00M,14.81M,236.79M,222.89M,118.53M,341.41M,173.66M,173.66M,5.214M,520.29M,757.08M,,,,,,,442.20M
2001-03,19.22M,19.22M,216.72M,,216.72M,,85.86M,,,321.80M,,,,,1.251B,-435.01M,816.25M,,,,,71.79M,888.05M,1.210B,135.91M,13.00M,-13.00M,135.91M,36.27M,172.18M,62.00M,62.00M,20.76M,82.76M,,13.00M,13.00M,15.03M,282.96M,222.86M,95.34M,318.20M,173.30M,173.30M,5.138M,496.63M,779.60M,,,,,,,430.25M
2000-12,5.37M,5.37M,,,225.80M,7.233M,,,92.57M,330.97M,,,,,1.334B,-489.28M,845.18M,,,,,61.65M,906.83M,1.238B,158.58M,13.00M,,171.59M,,171.59M,,100.89M,,100.89M,,,,52.80M,325.27M,300.39M,,300.39M,173.28M,173.28M,21.06M,494.73M,820.00M,0.39M,385.22M,107.09M,58.20M,-6.502M,-6.502M,417.80M
2000-09,9.147M,9.147M,225.34M,,225.34M,,55.86M,,,290.34M,,,,,1.282B,-475.18M,806.51M,,,,57.48M,,863.99M,1.154B,137.43M,,,137.43M,42.75M,180.18M,,64.11M,,64.11M,,,,4.687M,248.98M,300.17M,,300.17M,182.78M,182.78M,5.436M,488.39M,737.37M,,374.34M,,,,,416.96M
2000-06,5.93M,5.93M,253.55M,,253.55M,,57.78M,,,317.25M,,,,,1.283B,-457.12M,825.82M,,,,53.20M,,879.02M,1.196B,160.54M,,,160.54M,44.62M,205.15M,,60.00M,,60.00M,,,,3.433M,268.58M,331.94M,,331.94M,182.84M,182.84M,5.647M,520.42M,789.01M,,365.21M,,,,,407.26M
2000-03,3.888M,3.888M,238.54M,,238.54M,,72.44M,,,314.87M,,,,,1.273B,-451.90M,821.16M,,,,,57.38M,878.54M,1.193B,168.92M,,,168.92M,36.16M,205.08M,,60.00M,,60.00M,,,,1.982M,267.06M,336.43M,,336.43M,181.07M,181.07M,6.483M,523.98M,791.05M,,354.16M,,,,,402.36M
1999-12,12.61M,12.61M,,,238.57M,7.825M,,,36.14M,295.14M,,,,,1.239B,-453.51M,785.88M,,,,,46.47M,832.36M,1.128B,180.01M,4.185M,,184.19M,,184.19M,,60.00M,,60.00M,,,,30.62M,274.82M,267.64M,,267.64M,176.26M,176.26M,17.59M,461.48M,736.30M,0.39M,350.93M,107.17M,51.78M,-5.324M,-5.324M,391.20M
1999-09,2.817M,2.817M,,,225.30M,,,1.275M,37.43M,266.83M,,,,,1.494B,-568.82M,925.54M,,,,,48.44M,973.98M,1.241B,183.30M,,,183.30M,,183.30M,,19.30M,,19.30M,,,,38.08M,240.68M,417.51M,,417.51M,177.34M,177.34M,7.662M,602.50M,843.18M,,347.13M,,,,,397.63M
1999-06,3.248M,3.248M,,,198.23M,,,1.275M,22.61M,225.37M,,,,,1.473B,-559.99M,913.08M,,,,,30.45M,943.53M,1.169B,122.11M,,,122.11M,,122.11M,,11.30M,,11.30M,,,,44.61M,178.02M,417.48M,,417.48M,175.33M,175.33M,4.192M,596.99M,775.02M,,343.95M,,,,,393.88M
1999-03,3.892M,3.892M,,,190.37M,,,1.275M,26.86M,222.40M,,,,,1.447B,-529.64M,917.67M,,,,,27.55M,945.22M,1.168B,117.13M,,,117.13M,,117.13M,,21.90M,,21.90M,,,,49.33M,188.37M,417.36M,,417.36M,170.37M,170.37M,6.772M,594.51M,782.87M,,334.95M,,,,,384.75M
1998-12,9.227M,9.227M,,,184.37M,6.917M,,1.275M,23.48M,225.27M,,,,,1.418B,-492.63M,925.40M,,,,,20.83M,946.23M,1.172B,147.97M,,,147.97M,,147.97M,,16.35M,,16.35M,,,,41.72M,206.04M,417.04M,,417.04M,165.57M,165.57M,17.34M,599.96M,806.00M,0.39M,326.14M,106.98M,52.24M,-5.621M,-5.621M,365.50M
1998-09,5.133M,5.133M,,,192.84M,,,2.337M,20.72M,221.03M,,,,,1.376B,-461.87M,914.35M,,,,,21.65M,936.00M,1.157B,136.53M,,,136.53M,,136.53M,,15.60M,,15.60M,,,,53.25M,205.38M,417.29M,,417.29M,149.69M,149.69M,18.18M,585.16M,790.55M,,317.04M,,,,,366.47M
1998-06,9.06M,9.06M,,,180.79M,,,2.337M,17.61M,209.80M,,,,,1.326B,-441.52M,884.77M,,,,,21.94M,906.71M,1.117B,135.73M,,,135.73M,,135.73M,,97.35M,,97.35M,,,,46.70M,279.78M,317.74M,,317.74M,146.92M,146.92M,15.25M,479.91M,759.70M,,307.98M,,,,,356.81M
