,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.948B,1.948B,1.699B,248.94M,68.57M,68.57M,,,11.59M,9.152M,,-9.152M,,80.16M,168.78M,,9.152M,-9.152M,,-9.152M,159.63M,41.49M,118.14M,118.14M,118.14M,274.36M,105.58M,168.78M,1.08,,1.08,1.08,1.07,,1.07,1.07,109.75M,110.86M,0.24
2017-12,1.990B,1.990B,1.726B,263.88M,105.58M,105.58M,,,12.50M,6.264M,,-6.029M,,118.07M,145.81M,,6.264M,-6.029M,,-6.029M,139.78M,-245.52M,385.31M,385.31M,385.31M,248.37M,102.32M,146.05M,3.511,,3.511,3.511,3.48,,3.48,3.48,109.75M,110.73M,0.23
2017-09,1.843B,1.843B,1.606B,237.31M,61.59M,61.59M,,,10.74M,8.31M,,-8.31M,,72.33M,164.97M,,8.31M,-8.31M,,-8.31M,156.66M,56.28M,100.38M,100.38M,100.38M,260.93M,95.96M,164.97M,0.92,,0.92,0.92,0.91,,0.91,0.91,109.70M,110.63M,0.23
2017-06,1.727B,1.727B,1.498B,229.31M,54.79M,54.79M,,,10.90M,7.393M,,-7.393M,,65.70M,163.62M,,7.393M,-7.393M,,-7.393M,156.22M,58.35M,97.87M,97.87M,97.87M,256.66M,93.05M,163.62M,0.89,,0.89,0.89,0.88,,0.88,0.88,109.63M,110.82M,0.23
2017-03,1.629B,1.629B,1.418B,211.55M,51.48M,51.48M,,,10.68M,6.817M,,-6.817M,,62.16M,149.39M,,6.817M,-6.817M,,-6.817M,142.57M,39.87M,102.70M,102.70M,102.70M,241.58M,92.19M,149.39M,0.93,,0.93,0.93,0.92,,0.92,0.92,110.88M,112.03M,0.23
2016-12,1.721B,1.721B,1.464B,256.58M,50.42M,50.42M,,,11.80M,5.947M,,-5.876M,,62.22M,194.36M,,5.947M,-5.876M,,-5.876M,188.48M,70.93M,117.56M,117.56M,117.56M,286.22M,91.79M,194.43M,1.056,,1.056,1.056,1.05,,1.05,1.05,111.53M,112.32M,0.22
2016-09,1.691B,1.691B,1.448B,242.53M,47.89M,47.89M,,,11.66M,6.485M,,-6.485M,,59.56M,182.98M,,6.485M,-6.485M,,-6.485M,176.49M,67.07M,109.42M,109.42M,109.42M,273.98M,91.00M,182.98M,0.97,,0.97,0.97,0.97,,0.97,0.97,112.63M,113.36M,0.22
2016-06,1.615B,1.615B,1.385B,229.80M,42.64M,42.64M,,,11.36M,6.42M,,-6.42M,,54.01M,175.79M,,6.42M,-6.42M,,-6.42M,169.37M,64.36M,105.01M,105.01M,105.01M,266.16M,90.36M,175.79M,0.93,,0.93,0.93,0.92,,0.92,0.92,112.67M,113.76M,0.22
2016-03,1.529B,1.529B,1.305B,223.50M,44.48M,44.48M,,,11.13M,6.442M,,-6.442M,,55.61M,167.89M,,6.442M,-6.442M,,-6.442M,161.45M,61.35M,100.10M,100.10M,100.10M,256.24M,88.35M,167.89M,0.89,,0.89,0.89,0.88,,0.88,0.88,113.07M,114.00M,0.22
2015-12,1.621B,1.621B,1.378B,243.26M,38.79M,38.79M,,,11.58M,4.375M,,-4.289M,,50.37M,192.89M,,4.375M,-4.289M,,-4.289M,188.60M,71.86M,116.74M,116.74M,116.74M,281.35M,88.37M,192.98M,1.025,,1.025,1.025,1.01,,1.01,1.01,114.24M,115.03M,0.21
2015-09,1.586B,1.586B,1.342B,244.44M,39.91M,39.91M,,,10.68M,7.838M,,-7.838M,,50.59M,193.85M,,7.838M,-7.838M,,-7.838M,186.01M,70.87M,115.14M,115.14M,115.14M,280.05M,86.20M,193.85M,1.0,,1.0,1.0,0.99,,0.99,0.99,115.46M,116.28M,0.21
2015-06,1.540B,1.540B,1.304B,235.56M,51.09M,51.09M,,,10.73M,6.661M,,-6.661M,,61.82M,173.74M,,6.661M,-6.661M,,-6.661M,167.07M,63.66M,103.42M,103.42M,103.42M,257.40M,83.66M,173.74M,0.89,,0.89,0.89,0.88,,0.88,0.88,116.47M,117.81M,0.21
2015-03,1.440B,1.440B,1.238B,202.31M,37.00M,37.00M,,,10.09M,6.703M,,-6.703M,,47.09M,155.22M,,6.703M,-6.703M,,-6.703M,148.52M,56.58M,91.93M,91.93M,91.93M,236.60M,81.38M,155.22M,0.79,,0.79,0.79,0.78,,0.78,0.78,116.56M,117.80M,0.21
2014-12,1.610B,1.610B,1.374B,235.89M,42.70M,42.70M,,,10.28M,5.67M,,-5.583M,,52.98M,182.90M,,5.67M,-5.583M,,-5.583M,177.32M,67.02M,110.31M,110.31M,110.31M,261.38M,78.39M,182.99M,0.94,,0.94,0.94,0.93,,0.93,0.93,116.94M,118.08M,0.2
2014-09,1.601B,1.601B,1.377B,224.06M,42.07M,42.07M,,,9.893M,6.649M,,-6.649M,,51.96M,172.10M,,6.649M,-6.649M,,-6.649M,165.45M,63.04M,102.41M,102.41M,102.41M,247.52M,75.42M,172.10M,0.87,,0.87,0.87,0.87,,0.87,0.87,117.05M,118.22M,0.2
2014-06,1.548B,1.548B,1.342B,205.47M,36.59M,36.59M,,,9.65M,8.329M,,-8.329M,,46.24M,159.23M,,8.329M,-8.329M,,-8.329M,150.90M,57.49M,93.41M,93.41M,93.41M,230.96M,71.73M,159.23M,0.8,,0.8,0.8,0.79,,0.79,0.79,116.76M,118.54M,0.2
2014-03,1.407B,1.407B,1.250B,157.40M,31.12M,31.12M,,,8.973M,6.38M,,-6.38M,,40.09M,117.31M,,6.38M,-6.38M,,-6.38M,110.93M,42.26M,68.66M,68.66M,68.66M,186.27M,68.97M,117.31M,0.59,,0.59,0.59,0.58,,0.58,0.58,117.25M,118.94M,0.2
2013-12,1.474B,1.474B,1.279B,195.21M,33.09M,33.09M,,,8.584M,4.889M,,-4.82M,,41.68M,153.53M,,4.889M,-4.82M,,-4.82M,148.71M,56.85M,91.86M,91.86M,91.86M,219.68M,66.08M,153.60M,0.7835,,0.7835,0.7835,0.77,,0.77,0.77,117.38M,118.96M,0.15
2013-09,1.436B,1.436B,1.248B,187.83M,28.93M,28.93M,,,8.168M,5.835M,,-5.835M,,37.10M,150.73M,,5.835M,-5.835M,,-5.835M,144.89M,55.42M,89.47M,89.47M,89.47M,215.02M,64.29M,150.73M,0.76,,0.76,0.76,0.75,,0.75,0.75,117.72M,119.36M,0.15
2013-06,1.383B,1.383B,1.198B,184.62M,29.17M,29.17M,,,8.042M,6.23M,,-6.23M,,37.22M,147.41M,,6.23M,-6.23M,,-6.23M,141.18M,53.48M,87.70M,87.70M,87.70M,209.69M,62.28M,147.41M,0.75,,0.75,0.75,0.73,,0.73,0.73,117.14M,119.47M,0.15
2013-03,1.292B,1.292B,1.130B,161.13M,28.57M,28.57M,,,7.513M,6.256M,,-6.256M,,36.09M,125.04M,,6.256M,-6.256M,,-6.256M,118.78M,45.43M,73.35M,73.35M,73.35M,185.77M,60.73M,125.04M,0.62,,0.62,0.62,0.61,,0.61,0.61,117.55M,119.82M,0.15
2012-12,1.338B,1.338B,1.159B,179.12M,28.24M,28.24M,,,7.545M,5.297M,,-5.296M,,35.78M,143.34M,,5.297M,-5.296M,,-5.296M,138.04M,54.06M,83.98M,83.98M,83.98M,202.38M,59.05M,143.34M,0.7145,,0.7145,0.7145,0.7,,0.7,0.7,117.90M,120.02M,0.14
2012-09,1.296B,1.296B,1.128B,168.08M,27.58M,27.58M,,,7.451M,6.346M,,-6.346M,,35.03M,133.05M,,6.346M,-6.346M,,-6.346M,126.71M,48.46M,78.24M,78.24M,78.24M,190.82M,57.77M,133.05M,0.66,,0.66,0.66,0.65,,0.65,0.65,118.13M,120.28M,0.14
2012-06,1.255B,1.255B,1.087B,167.69M,23.15M,23.15M,,,7.323M,6.929M,,-6.929M,,30.48M,137.22M,,6.929M,-6.929M,,-6.929M,130.29M,49.84M,80.45M,80.45M,80.45M,193.44M,56.23M,137.22M,0.69,,0.69,0.69,0.67,,0.67,0.67,117.23M,120.03M,0.14
2012-03,1.166B,1.166B,1.023B,143.28M,19.54M,19.54M,,,7.142M,6.987M,,-6.987M,,26.68M,116.60M,,6.987M,-6.987M,,-6.987M,109.61M,41.93M,67.68M,67.68M,67.68M,172.72M,56.12M,116.60M,0.58,,0.58,0.58,0.57,,0.57,0.57,117.02M,119.75M,0.14
2011-12,1.205B,1.205B,1.885B,-680.13M,-671.97M,-671.97M,,,,6.222M,,-6.214M,,-802.41M,122.29M,,6.222M,-6.214M,,-6.214M,116.07M,43.51M,72.56M,72.56M,72.56M,177.93M,55.63M,122.30M,0.62,,0.62,0.62,0.61,,0.61,0.61,116.81M,119.34M,0.13
2011-09,1.171B,1.171B,736.09M,435.18M,262.10M,262.10M,,,,7.145M,,-7.145M,,316.50M,118.68M,,7.145M,-7.145M,,-7.145M,111.54M,42.88M,68.65M,68.65M,68.65M,173.08M,54.40M,118.68M,0.58,0.0,0.58,0.58,0.57,0.0,0.57,0.57,118.63M,121.13M,0.13
2011-06,1.150B,1.150B,720.88M,428.97M,262.98M,262.98M,,,,6.706M,,-6.706M,,315.53M,113.44M,,6.706M,-6.706M,,-6.706M,106.74M,41.04M,65.70M,65.70M,65.70M,165.99M,52.55M,113.44M,0.55,0.0,0.55,0.55,0.53,0.0,0.53,0.53,120.24M,123.28M,0.13
2011-03,1.001B,1.001B,620.69M,380.09M,238.91M,238.91M,,,,8.434M,,-8.434M,,290.26M,89.82M,,8.434M,-8.434M,,-8.434M,81.39M,31.29M,50.10M,50.10M,50.10M,141.18M,51.36M,89.82M,0.41,0.0,0.41,0.41,0.4,0.0,0.4,0.4,120.98M,123.97M,0.13
2010-12,1.020B,1.020B,1.642B,-621.73M,-599.01M,-599.01M,,,,8.239M,,-8.164M,,-719.08M,97.35M,,8.239M,-8.164M,,-8.164M,89.18M,31.33M,57.85M,57.85M,57.85M,147.52M,50.09M,97.42M,0.47,,0.47,0.47,0.46,,0.46,0.46,122.53M,125.39M,0.12
2010-09,986.02M,986.02M,594.23M,391.80M,250.50M,250.50M,,,,6.662M,,-6.662M,,300.31M,91.49M,,6.662M,-6.662M,,-6.662M,84.83M,32.66M,52.17M,52.17M,52.17M,141.30M,49.81M,91.49M,0.42,0.0,0.42,0.42,0.41,0.0,0.41,0.41,123.39M,126.40M,0.12
2010-06,942.78M,942.78M,565.25M,377.52M,237.03M,237.03M,,,,,,6.611M,,286.18M,91.35M,,,6.611M,,6.611M,84.74M,32.62M,52.11M,52.11M,52.11M,140.50M,49.15M,91.35M,0.41,0.0,0.41,0.41,0.4,0.0,0.4,0.4,125.69M,128.92M,0.12
2010-03,844.67M,844.67M,514.27M,330.41M,214.95M,214.95M,,,,,,-6.494M,,262.97M,67.44M,,,-6.494M,,-6.494M,60.95M,23.46M,37.48M,37.48M,37.48M,115.45M,48.01M,67.44M,0.29,0.0,0.29,0.29,0.29,0.0,0.29,0.29,127.28M,130.40M,0.12
2009-12,876.95M,876.95M,500.55M,376.40M,223.31M,223.31M,,,,,,-6.79M,7.113M,277.92M,98.48M,,,-6.79M,,-6.79M,70.22M,28.56M,41.66M,41.66M,41.66M,47.90M,47.49M,0.414M,0.33,0.0,0.33,0.33,0.32,0.0,0.32,0.32,127.20M,130.10M,0.11
2009-09,833.75M,833.75M,465.65M,368.10M,218.43M,218.43M,,,,,,-6.308M,6.984M,272.51M,95.59M,,,-6.308M,,-6.308M,64.88M,24.91M,39.96M,39.96M,39.96M,142.68M,47.10M,95.59M,0.31,0.0,0.31,0.31,0.31,0.0,0.31,0.31,127.07M,129.82M,0.11
2009-06,769.78M,769.78M,424.09M,345.70M,216.77M,216.77M,,,,,,7.505M,7.022M,270.89M,74.81M,,,7.505M,,7.505M,39.36M,15.31M,24.05M,24.05M,24.05M,121.90M,47.09M,74.81M,0.19,0.0,0.19,0.19,0.19,0.0,0.19,0.19,126.35M,129.36M,0.11
2009-03,722.84M,722.84M,382.43M,340.41M,205.46M,205.46M,,,,,,6.756M,6.895M,259.72M,80.69M,,,6.756M,,6.756M,49.61M,18.85M,30.76M,30.76M,30.76M,128.05M,47.36M,80.69M,0.24,0.0,0.24,0.24,0.24,0.0,0.24,0.24,126.08M,128.56M,0.11
2008-12,879.79M,879.79M,480.13M,399.65M,225.55M,225.55M,,,,3.571M,0.177M,-3.394M,8.004M,283.91M,115.75M,0.177M,3.571M,-3.394M,,-3.394M,83.05M,29.77M,53.28M,53.28M,53.28M,136.97M,50.35M,86.62M,0.42,0.0,0.42,0.42,0.41,0.0,0.41,0.41,126.05M,128.69M,0.1
2008-09,996.43M,996.43M,571.73M,424.70M,232.06M,232.06M,,,,9.694M,0.214M,-9.48M,7.985M,290.72M,133.99M,0.214M,9.694M,-9.48M,,-9.48M,96.54M,36.24M,60.30M,60.30M,60.30M,156.90M,50.67M,106.23M,0.48,0.0,0.48,0.48,0.47,0.0,0.47,0.47,125.91M,129.04M,0.1
2008-06,977.34M,977.34M,561.77M,415.57M,234.15M,234.15M,,,,10.32M,0.257M,-10.06M,8.12M,293.00M,122.57M,0.257M,10.32M,-10.06M,1.023M,-10.06M,82.96M,32.35M,50.60M,50.60M,50.60M,144.01M,50.73M,93.28M,0.4,0.0,0.4,0.4,0.39,0.0,0.39,0.39,125.05M,128.48M,0.1
2008-03,878.38M,878.38M,483.67M,394.71M,228.46M,228.46M,50.54M,,,11.75M,0.244M,-11.51M,8.053M,287.05M,107.66M,0.244M,11.75M,-11.51M,0.855M,-11.51M,59.69M,23.28M,36.41M,36.41M,36.41M,121.98M,50.54M,71.44M,0.29,0.0,0.29,0.29,0.28,0.0,0.28,0.28,124.66M,127.91M,0.1
2007-12,944.95M,944.95M,506.17M,438.78M,261.57M,261.57M,,,,12.16M,0.257M,-11.90M,-7.663M,306.69M,132.08M,0.257M,12.16M,-11.90M,,-11.90M,84.22M,29.90M,54.32M,54.32M,54.32M,149.16M,52.79M,96.38M,0.43,0.0,0.43,0.43,0.42,0.0,0.42,0.42,125.41M,128.53M,0.09
2007-09,891.64M,891.64M,459.14M,432.50M,235.22M,235.22M,,,,12.76M,0.277M,-12.49M,13.74M,301.27M,131.24M,0.277M,12.76M,-12.49M,0.025M,-12.49M,83.39M,32.60M,50.78M,50.78M,50.78M,148.45M,52.30M,96.15M,0.39,0.0,0.39,0.39,0.38,0.0,0.38,0.38,130.54M,133.66M,0.09
2007-06,855.86M,855.86M,429.04M,426.82M,232.87M,232.87M,,,,11.01M,0.24M,-10.77M,13.65M,297.04M,129.78M,0.24M,11.01M,-10.77M,-0.545M,-10.77M,84.91M,21.05M,63.86M,63.86M,63.86M,146.45M,50.53M,95.92M,0.46,0.0,0.46,0.46,0.45,0.0,0.45,0.45,138.56M,142.03M,0.09
2007-03,797.45M,797.45M,,,,,49.52M,,,,,,667.53M,717.05M,80.40M,,,,,,72.53M,28.36M,44.17M,44.17M,44.17M,129.92M,49.52M,80.40M,0.31,0.0,0.31,0.31,0.3,0.0,0.3,0.3,142.97M,146.47M,0.09
2006-12,851.57M,851.57M,,,,,,,,,,,1.417B,756.20M,1.398B,,,,,,88.50M,30.69M,57.80M,57.80M,57.80M,1.448B,49.74M,1.398B,0.4,0.0,0.4,0.4,0.39,0.0,0.39,0.39,144.43M,147.82M,0.08
2006-09,858.26M,858.26M,,,,,45.81M,,,,,,711.96M,757.78M,100.49M,,,,,,94.81M,36.98M,57.83M,57.83M,57.83M,146.30M,45.81M,100.49M,0.4,0.0,0.4,0.4,0.39,0.0,0.39,0.39,145.26M,148.68M,0.08
2006-06,838.25M,838.25M,,,,,44.52M,,,,,,698.32M,742.84M,95.41M,,,,,,90.71M,35.38M,55.33M,55.33M,55.33M,139.93M,44.52M,95.41M,0.37,0.0,0.37,0.37,0.36,0.0,0.36,0.36,150.68M,154.62M,0.08
2006-03,779.90M,779.90M,,,,,,,,,,,654.98M,698.51M,81.39M,,,,,,80.30M,31.32M,48.98M,48.98M,48.98M,124.92M,43.53M,81.39M,0.32,0.0,0.32,0.32,0.31,0.0,0.31,0.31,154.05M,158.24M,0.08
2005-12,858.38M,858.38M,,,,,42.59M,,,,,,744.04M,738.60M,1.309B,,,,,,103.34M,38.00M,65.34M,65.34M,65.34M,1.351B,42.59M,1.309B,0.42,0.0,0.42,0.42,0.41,0.0,0.41,0.41,154.57M,159.21M,0.06
2005-09,801.14M,801.14M,425.52M,375.62M,30.06M,30.06M,41.11M,-26.66M,-9.178M,,,,662.36M,724.35M,-348.74M,,,,-26.66M,,62.86M,23.02M,39.84M,39.84M,56.74M,-307.63M,41.11M,-348.74M,0.25,0.0,0.3578,0.25,0.25,0.0,0.3548,0.25,156.71M,161.17M,0.06
2005-06,759.21M,759.21M,392.37M,366.84M,23.81M,23.81M,40.11M,-1.284M,-9.33M,,,,624.68M,679.28M,-312.44M,,,,-1.284M,,90.19M,35.56M,54.63M,54.63M,55.41M,-272.33M,40.11M,-312.44M,0.34,0.0,0.3449,0.34,0.33,0.0,0.3348,0.33,158.39M,163.48M,0.06
2005-03,709.18M,709.18M,371.22M,337.96M,21.54M,21.54M,39.23M,-0.851M,-8.885M,,,,589.88M,641.77M,-303.81M,,,,-0.851M,,77.23M,29.74M,47.50M,47.50M,48.02M,-264.58M,39.23M,-303.81M,0.3,0.0,0.3033,0.3,0.29,0.0,0.2931,0.29,160.70M,166.41M,0.06
2004-12,770.80M,770.65M,379.30M,391.35M,47.96M,47.96M,38.54M,-0.44M,-8.444M,,,,614.06M,692.12M,-300.77M,,,,-0.44M,,89.46M,69.94M,19.53M,19.53M,19.79M,-262.23M,-261.01M,-300.77M,0.13,0.0,0.1317,0.13,0.12,0.0,0.1216,0.12,158.29M,163.93M,0.015
2004-09,718.61M,718.61M,364.74M,353.88M,24.86M,24.86M,37.46M,-0.647M,-9.088M,,,,597.67M,650.90M,-297.03M,,,,-0.647M,,80.46M,32.59M,47.88M,47.88M,48.26M,-259.57M,37.46M,-297.03M,0.3,0.0,0.3024,0.3,0.29,0.0,0.2923,0.29,162.13M,167.36M,0.015
2004-06,679.04M,679.04M,340.40M,338.63M,21.85M,21.85M,36.73M,-0.914M,-8.763M,,,,565.42M,615.23M,-276.60M,,,,-0.914M,,76.68M,31.06M,45.62M,45.62M,46.17M,-239.87M,36.73M,-276.60M,0.28,0.0,0.2834,0.28,0.27,0.0,0.2733,0.27,161.00M,166.41M,0.015
2004-03,617.70M,617.70M,315.18M,302.52M,21.59M,21.59M,37.04M,-0.469M,-8.725M,,,,522.59M,572.50M,-269.98M,,,,-0.469M,,55.42M,22.44M,32.97M,32.97M,33.26M,-232.94M,37.04M,-269.98M,0.205,0.0,0.2068,0.205,0.2,0.0,0.2017,0.2,160.33M,165.93M,0.0
2003-12,640.75M,641.28M,,,,95.51M,,,,,,,547.16M,646.65M,-1.220B,,,,,,56.13M,29.10M,27.03M,27.03M,27.03M,-1.183B,-263.23M,-1.220B,0.165,0.0,0.165,0.165,0.155,0.0,0.155,0.155,164.96M,173.15M,0.0
2003-09,621.64M,621.64M,,,,7.996M,,,,,,,517.88M,564.07M,57.58M,,,,,,53.11M,20.45M,32.66M,32.66M,32.66M,95.77M,38.20M,57.58M,0.205,0.0,0.205,0.205,0.2,0.0,0.2,0.2,159.60M,165.12M,0.0
2003-06,599.87M,599.87M,,,,10.39M,,,,,,,505.76M,553.43M,46.44M,,,,,,41.01M,15.88M,25.13M,25.13M,25.13M,83.71M,37.27M,46.44M,0.16,0.0,0.16,0.16,0.155,0.0,0.155,0.155,158.05M,162.63M,0.0
2003-03,571.21M,571.21M,,,,7.824M,,,,,,,501.99M,547.35M,23.86M,,,,,,18.03M,6.851M,11.18M,11.18M,11.18M,61.40M,37.54M,23.86M,0.07,0.0,0.07,0.07,0.07,0.0,0.07,0.07,157.36M,161.15M,0.0
2002-12,597.66M,597.78M,281.96M,315.82M,51.54M,51.54M,37.50M,0.071M,-7.76M,,,,-1.345B,-1.264B,1.580B,,,,0.071M,,25.40M,10.67M,14.73M,14.73M,14.68M,1.618B,-254.20M,1.580B,0.0925,0.0,0.0922,0.0925,0.09,0.0,0.0897,0.09,159.08M,164.68M,0.0
2002-09,582.67M,582.67M,288.42M,294.25M,20.85M,20.85M,36.45M,-0.144M,-8.71M,,,,519.47M,568.06M,-273.81M,,,,-0.144M,,22.34M,5.585M,16.76M,16.76M,16.86M,-237.36M,36.45M,-273.81M,0.1075,0.0,0.1082,0.1075,0.105,0.0,0.1057,0.105,156.91M,160.98M,0.0
2002-06,557.33M,557.33M,273.57M,283.75M,21.86M,21.86M,35.92M,-0.83M,-8.339M,,,,493.08M,542.52M,-258.77M,,,,-0.83M,,20.77M,5.287M,15.48M,15.48M,16.10M,-222.85M,35.92M,-258.77M,0.105,0.0,0.1092,0.105,0.1,0.0,0.104,0.1,148.43M,153.21M,0.0
2002-03,510.22M,510.22M,252.11M,258.11M,15.77M,15.77M,35.98M,-0.45M,-7.988M,,,,463.78M,507.55M,-249.44M,,,,-0.45M,,6.345M,1.491M,4.854M,4.854M,5.198M,-213.46M,35.98M,-249.44M,0.0325,0.0,0.0349,0.0325,0.0325,0.0,0.0348,0.0325,145.06M,149.08M,0.0
2001-12,546.24M,546.24M,240.24M,306.00M,35.34M,35.34M,36.19M,-1.324M,-7.563M,,,,451.24M,515.21M,-209.21M,,,,-1.324M,,25.71M,7.532M,18.18M,18.14M,19.07M,-173.02M,-249.32M,-209.21M,0.125,0.0,0.1314,0.125,0.125,0.0,0.1314,0.125,146.45M,146.45M,0.0
2001-09,537.16M,537.16M,273.09M,264.07M,19.97M,19.97M,35.72M,-0.771M,-8.66M,,,,491.06M,538.08M,-274.02M,,,,-0.771M,,5.352M,0.803M,4.549M,4.549M,5.204M,-238.30M,35.72M,-274.02M,0.0325,0.0,0.0371,0.0325,0.03,0.0,0.0344,0.03,143.36M,147.38M,0.0
2001-06,521.49M,521.49M,258.39M,263.10M,18.86M,18.86M,35.34M,-0.155M,-8.321M,,,,472.04M,517.92M,-254.82M,,,,-0.155M,,9.746M,1.178M,8.568M,8.568M,8.704M,-219.49M,35.34M,-254.82M,0.06,0.0,0.061,0.06,0.06,0.0,0.061,0.06,141.25M,143.24M,0.0
2001-03,495.42M,495.42M,247.15M,248.26M,12.59M,12.59M,35.51M,0.166M,-8.072M,,,,459.24M,499.27M,-251.00M,,,,0.166M,,2.269M,0.624M,1.645M,1.645M,1.525M,-215.49M,35.51M,-251.00M,0.0125,0.0,0.0116,0.0125,0.0125,0.0,0.0117,0.0125,141.09M,143.17M,0.0
2000-12,533.97M,533.92M,260.62M,273.30M,42.15M,42.15M,35.48M,1.193M,-8.258M,,,,457.17M,526.54M,-253.24M,,,,1.193M,,12.81M,1.921M,10.88M,10.91M,9.896M,-217.76M,-233.30M,-253.24M,0.0775,0.0,0.0704,0.0775,0.0775,0.0,0.0704,0.0775,141.97M,141.97M,0.0
