,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2009-09,2.937B,2.937B,1.009B,1.928B,50.07M,25.02M,128.85M,130.13M,87.36M,-42.78M,,1.141B,787.08M,87.36M,130.13M,-42.78M,25.02M,-42.78M,740.58M,280.41M,460.17M,,,,4.998M,1.250B,378.91M,870.71M,,2009-09,,2.270,2.35,,2009-09,,2.241,2.32,193.42M,195.88M,0.75,,2009-09,AOR,Restated
2009-06,2.521B,2.521B,904.22M,1.617B,49.31M,-71.62M,122.40M,152.64M,58.89M,-93.75M,,1.129B,487.82M,58.89M,152.64M,-93.75M,-71.62M,-93.75M,322.45M,90.64M,231.81M,,,,4.998M,823.86M,348.76M,475.10M,,2009-06,,1.423,1.16,,2009-06,,1.400,1.14,196.11M,198.24M,0.75,,2009-06,AOR,Restated
2009-03,2.789B,2.789B,1.226B,1.563B,48.74M,27.20M,134.40M,147.26M,46.39M,-100.87M,,1.086B,477.05M,46.39M,147.26M,-100.87M,27.20M,-100.87M,403.38M,163.05M,240.33M,,,,4.998M,899.08M,348.44M,550.64M,,2009-03,,1.135,1.22,,2009-03,,1.118,1.20,192.59M,198.06M,0.75,,2009-03,AOR,Restated
2008-12,3.001B,3.001B,1.620B,1.381B,,-83.99M,121.62M,,,,,963.99M,416.62M,,,,-83.99M,,249.28M,58.74M,190.54M,,,,4.998M,1.021B,494.74M,526.02M,,2008-12,,1.249,0.91,,2008-12,,1.172,0.87,189.37M,212.85M,0.75,,2008-12,,Restated
2008-09,3.964B,3.964B,2.034B,1.930B,,6.659M,140.82M,,,,773.04M,1.178B,752.09M,,,,6.659M,,638.53M,168.24M,470.29M,,,,4.998M,1.063B,311.17M,752.09M,,2008-09,,2.444,2.47,,2008-09,,2.385,2.41,190.38M,194.96M,0.75,,2008-09,,
2008-06,3.264B,3.264B,1.531B,1.733B,,-11.40M,125.94M,143.00M,47.80M,-95.19M,791.36M,1.165B,568.11M,47.80M,143.00M,-95.19M,-13.98M,-95.19M,458.94M,183.01M,275.93M,,,,4.975M,896.73M,294.79M,601.94M,,2008-06,,1.456,1.42,,2008-06,,1.405,1.37,191.33M,197.86M,0.75,,2008-06,,Restated
2008-03,2.865B,2.865B,1.161B,1.704B,,-17.48M,108.57M,,,,743.80M,1.097B,606.23M,,,,-17.48M,,501.75M,193.00M,308.75M,,,,4.998M,897.21M,290.98M,606.23M,,2008-03,,1.656,1.60,,2008-03,,1.614,1.56,192.64M,198.30M,0.75,,2008-03,,
2007-12,2.732B,2.732B,1.164B,1.568B,,-7.336M,120.90M,,,,864.38M,1.239B,329.40M,,,,-7.336M,,224.95M,31.06M,193.89M,,,,6.321M,627.38M,297.98M,329.40M,,2007-12,,1.033,1.00,,2007-12,,1.001,0.97,193.96M,201.03M,0.75,,2007-12,,
2007-09,3.289B,3.289B,1.330B,1.959B,,-4.671M,129.12M,,,,780.66M,1.149B,810.33M,,,,-4.671M,,692.00M,230.84M,461.16M,,,,6.375M,1.093B,282.66M,810.33M,,2007-09,,2.386,2.37,,2007-09,,2.316,2.30,194.86M,200.53M,0.75,,2007-09,,
2007-06,2.769B,2.769B,1.197B,1.573B,,-5.982M,116.35M,,,,739.71M,1.095B,478.04M,,,,-5.982M,,374.05M,106.45M,267.60M,,,,6.188M,758.77M,280.73M,478.04M,,2007-06,,1.382,1.36,,2007-06,,1.341,1.32,196.98M,203.42M,0.54,,2007-06,,
2007-03,2.694B,2.694B,1.232B,1.462B,,-9.917M,122.68M,,,,668.72M,1.024B,438.59M,,,,-9.917M,,358.26M,146.06M,212.20M,,,,6.221M,708.83M,270.24M,438.59M,,2007-03,,1.092,1.06,,2007-03,,1.061,1.03,200.55M,206.13M,0.54,,2007-03,,
2006-12,2.481B,2.481B,1.188B,1.293B,,64.39M,100.57M,,,,532.92M,1.012B,280.72M,,,,64.39M,,254.87M,-1.126M,255.99M,-10.33M,,,5.161M,550.25M,269.53M,280.72M,,2006-12,,1.162,1.30,,2006-12,,1.146,1.28,205.72M,210.46M,0.54,,2006-12,,
2006-09,3.255B,3.255B,1.638B,1.616B,,67.30M,133.53M,,,,627.92M,993.49M,622.84M,,,,67.30M,,599.18M,202.44M,396.74M,-1.05M,,,6.811M,891.84M,269.00M,622.84M,,2006-09,,1.656,1.87,,2006-09,,1.620,1.83,208.38M,212.40M,0.54,,2006-09,,
2006-06,2.629B,2.629B,1.282B,1.347B,,59.45M,91.13M,,,,609.49M,918.56M,428.36M,,,,59.45M,,391.58M,122.90M,268.68M,13.12M,,,7.774M,683.19M,254.82M,428.36M,,2006-06,,1.094,1.35,,2006-06,,1.077,1.33,207.98M,211.56M,0.54,,2006-06,,
2006-03,2.568B,2.568B,1.302B,1.266B,,41.40M,103.34M,,,,607.02M,915.74M,350.74M,,,,41.40M,,322.74M,118.83M,203.90M,-2.239M,,,8.038M,592.55M,241.81M,350.74M,,2006-03,,0.8141,0.93,,2006-03,,0.8063,0.92,207.73M,211.37M,0.54,,2006-03,,
2005-12,2.652B,2.652B,1.425B,1.227B,,38.51M,98.17M,,,,505.58M,966.10M,261.18M,,,,38.51M,,197.64M,93.11M,104.52M,-33.51M,,,6.21M,515.64M,254.46M,261.18M,,2005-12,,0.4986,0.44,,2005-12,,0.4906,0.44,207.47M,211.14M,0.54,,2005-12,,
2005-09,2.898B,2.898B,1.397B,1.501B,,-1.958M,98.72M,,,,530.70M,846.63M,654.34M,,,,-1.958M,,585.58M,222.08M,363.50M,-7.108M,,,6.436M,907.28M,252.94M,654.34M,,2005-09,,1.716,1.68,,2005-09,,1.686,1.65,207.91M,212.34M,0.54,,2005-09,,
2005-06,2.445B,2.445B,1.067B,1.378B,,31.29M,95.02M,,,,595.26M,894.70M,483.62M,,,,31.29M,,447.21M,151.85M,295.36M,-2.811M,,,6.398M,724.99M,241.37M,483.62M,,2005-06,,1.272,1.36,,2005-06,,1.244,1.33,211.13M,215.57M,0.54,,2005-06,,
2005-03,2.110B,2.110B,930.61M,1.180B,,47.25M,90.62M,,,,580.45M,886.58M,292.99M,,,,47.25M,,271.99M,92.24M,179.74M,-1.366M,,,6.383M,546.08M,253.09M,292.99M,,2005-03,,0.6642,0.80,,2005-03,,0.6572,0.79,214.13M,218.63M,0.54,,2005-03,,
2004-12,1.985B,1.985B,783.47M,1.202B,,39.31M,90.48M,,,,615.91M,1.087B,114.94M,,,,39.31M,,55.83M,-81.66M,137.49M,,,,6.037M,384.26M,269.32M,114.94M,,2004-12,,0.5909,0.71,,2004-12,,0.5739,0.69,197.95M,203.19M,0.54,,2004-12,,
2004-09,2.964B,2.964B,1.448B,1.515B,,-30.76M,112.57M,,,,594.96M,943.85M,571.47M,,,,-30.76M,,462.82M,174.78M,288.05M,,,,5.803M,845.54M,274.07M,571.47M,,2004-09,,1.324,1.24,,2004-09,,1.303,1.22,226.88M,231.13M,0.45,,2004-09,,
2004-06,2.485B,2.485B,1.083B,1.402B,,33.86M,103.28M,,,,588.96M,907.88M,494.31M,,,,33.86M,,437.21M,166.20M,271.01M,,,,5.829M,747.05M,252.74M,494.31M,,2004-06,,1.068,1.16,,2004-06,,1.050,1.14,228.71M,232.78M,0.45,,2004-06,,
2004-03,2.252B,2.252B,999.65M,1.252B,,41.08M,97.30M,,,,581.21M,889.16M,362.74M,,,,41.08M,,319.01M,106.00M,213.02M,,,,5.855M,611.74M,249.00M,362.74M,,2004-03,,0.7809,0.90,,2004-03,,0.7633,0.88,230.26M,234.98M,0.45,,2004-03,,
2003-12,2.103B,2.103B,1.006B,1.097B,,20.60M,102.06M,,,,741.39M,1.057B,40.57M,,,,20.60M,,-36.77M,-8.994M,-27.78M,,-5.848M,,5.855M,292.22M,251.66M,40.57M,,2003-12,0.00,-0.2280,-0.18,,2003-12,-0.0276,-0.2267,-0.18,228.78M,233.42M,0.45,,2003-12,,
2003-09,2.700B,2.700B,1.137B,1.563B,,68.03M,105.36M,,,,617.74M,943.77M,619.00M,,,,68.03M,,592.47M,220.82M,371.65M,,,,5.876M,875.60M,256.60M,619.00M,,2003-09,,1.413,1.60,,2003-09,,1.386,1.57,228.11M,232.52M,0.45,,2003-09,,
2003-06,2.354B,2.354B,983.28M,1.371B,,-88.48M,100.50M,,,,568.74M,874.69M,495.94M,,,,-88.48M,,337.35M,125.83M,211.52M,,,,5.876M,735.74M,239.81M,495.94M,,2003-06,,1.155,0.91,,2003-06,,1.130,0.89,226.61M,231.58M,0.35,,2003-06,,
2003-03,2.038B,2.038B,756.74M,1.281B,,-61.06M,97.74M,,,,400.78M,709.56M,571.43M,,,,-61.06M,,410.42M,152.42M,258.00M,,142.92M,-4.709M,5.916M,819.97M,248.54M,571.43M,,2003-03,0.0000,1.302,1.77,,2003-03,0.6262,1.268,1.73,223.67M,228.23M,0.35,,2003-03,,
2002-12,1.879B,1.879B,674.91M,1.204B,,197.61M,88.71M,,,,969.68M,1.272B,-68.32M,,,,197.61M,,24.30M,-57.38M,81.67M,,,,5.916M,151.32M,219.64M,-68.32M,,2002-12,,-0.1836,0.35,,2002-12,,-0.1823,0.34,222.18M,227.00M,0.35,,2002-12,,
