,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,57.92M,1.206B,,1.206B,602.14M,163.04M,1.082B,940.58M,231.95M,,,3.656B,2.201B,2.348B,,52.53B,-21.70B,30.83B,377.17M,377.17M,7.116B,260.49M,195.29M,43.63B,47.28B,,2018-03,1.261B,,158.67M,1.597B,,2.065B,2.065B,1.419M,2.067B,403.07M,1.373B,912.10M,131.95M,5.233B,6.818B,15.59B,21.63M,15.61B,4.670B,4.670B,2.821B,,197.80M,409.01M,34.07B,2018-03,2.548M,8.494B,5.417B,5.377B,,-561.50M,7.975B,,2018-03,AOR,Restated
2017-12,56.63M,781.27M,,781.27M,659.76M,169.38M,1.213B,905.86M,156.33M,,,3.285B,2.414B,1.981B,,52.13B,-21.77B,30.37B,377.17M,377.17M,7.212B,417.50M,112.06M,43.42B,46.71B,,2017-12,1.452B,,214.97M,1.855B,,2.338B,2.338B,1.502M,2.340B,401.33M,547.85M,0.00,221.77M,5.036B,6.664B,14.32B,22.02M,14.34B,4.686B,4.686B,2.911B,,197.80M,393.75M,33.68B,2017-12,2.548M,7.978B,5.433B,5.398B,,-23.53M,7.993B,,2017-12,AOR,Restated
2017-09,87.30M,546.29M,,546.29M,740.92M,152.33M,1.313B,878.64M,366.32M,,,3.471B,2.224B,2.191B,,51.04B,-21.38B,29.66B,377.17M,377.17M,6.983B,363.20M,129.21M,42.93B,46.40B,,2017-09,1.105B,,248.01M,1.534B,,2.222B,2.222B,2.043M,2.224B,403.26M,465.13M,,172.74M,4.461B,6.587B,13.98B,22.78M,14.00B,7.759B,7.759B,2.694B,,203.18M,409.12M,33.25B,2017-09,2.548M,8.618B,5.421B,5.462B,,111.68M,8.690B,,2017-09,AOR,Restated
2017-06,67.24M,934.50M,,934.50M,566.73M,138.28M,1.120B,869.08M,252.79M,,,3.599B,2.278B,1.742B,,50.36B,-21.10B,29.27B,377.17M,377.17M,6.797B,354.76M,141.78M,42.41B,46.01B,,2017-06,1.166B,,178.91M,1.528B,,1.952B,1.952B,2.387M,1.954B,401.09M,461.78M,,224.47M,4.241B,6.593B,14.31B,23.18M,14.33B,7.468B,7.468B,2.860B,,203.18M,375.43M,33.40B,2017-06,2.548M,8.376B,5.410B,5.470B,,52.77M,8.371B,,2017-06,AOR,Restated
2017-03,60.87M,1.083B,,1.083B,499.70M,134.22M,973.14M,854.40M,208.36M,,,3.397B,2.313B,1.594B,,49.71B,-20.84B,28.87B,377.17M,377.17M,6.670B,354.28M,167.29M,41.92B,45.32B,,2017-03,1.149B,,122.28M,1.445B,,1.657B,1.657B,2.721M,1.660B,403.84M,508.76M,,192.06M,3.879B,6.556B,13.93B,23.57M,13.95B,7.786B,7.786B,2.953B,,203.18M,378.62M,33.38B,2017-03,2.548M,8.122B,5.398B,5.477B,,10.96M,8.057B,,2017-03,AOR,Restated
2016-12,129.58M,1.188B,,1.188B,643.07M,158.42M,1.170B,878.12M,193.45M,,,3.684B,2.530B,1.378B,,49.51B,-20.89B,28.62B,377.17M,377.17M,5.724B,356.98M,1.606B,42.22B,45.90B,,2016-12,1.286B,,181.11M,1.654B,,779.91M,779.91M,2.423M,782.33M,403.31M,506.06M,,180.84M,3.200B,6.474B,14.47B,24.58M,14.49B,7.722B,7.722B,3.036B,,203.18M,1.122B,34.62B,2016-12,2.548M,8.196B,5.417B,5.499B,,-34.97M,8.082B,,2016-12,AOR,Restated
2016-09,101.90M,1.307B,,1.307B,713.58M,227.28M,1.380B,1.107B,285.79M,,,4.340B,2.478B,1.451B,,51.82B,-21.80B,30.03B,377.17M,377.17M,5.672B,362.14M,1.643B,43.40B,47.74B,,2016-09,1.063B,,239.51M,1.484B,,1.184B,1.184B,2.743M,1.186B,402.79M,521.02M,,200.93M,3.452B,6.565B,13.86B,24.96M,13.89B,8.740B,8.740B,2.885B,,233.18M,382.28M,34.22B,2016-09,2.548M,10.12B,5.404B,5.499B,,38.14M,10.07B,,2016-09,AOR,Restated
2016-06,103.28M,996.10M,,996.10M,499.66M,237.48M,1.170B,1.112B,292.84M,,,3.852B,2.552B,1.258B,,51.16B,-21.39B,29.77B,377.17M,377.17M,5.560B,361.39M,587.57M,42.03B,45.88B,,2016-06,967.08M,,217.13M,1.369B,,1.697B,1.697B,2.815M,1.699B,424.98M,696.71M,,193.67M,4.022B,5.331B,13.11B,25.57M,13.14B,8.412B,8.412B,3.018B,,318.18M,394.99M,32.10B,2016-06,2.548M,9.887B,5.393B,5.516B,,-9.155M,9.758B,,2016-06,AOR,Restated
2016-03,81.62M,1.092B,,1.092B,518.21M,170.77M,993.42M,1.101B,541.62M,,,4.001B,2.625B,1.427B,,51.03B,-21.33B,29.69B,377.17M,377.17M,5.456B,360.65M,620.53M,41.93B,45.93B,,2016-03,888.35M,,194.08M,1.249B,,1.563B,1.563B,2.762M,1.566B,423.56M,785.46M,,176.06M,3.839B,5.265B,13.50B,26.29M,13.53B,8.699B,8.699B,3.098B,,318.18M,392.92M,32.73B,2016-03,2.548M,9.472B,5.385B,5.528B,,29.79M,9.361B,,2016-03,AOR,Restated
2015-12,63.50M,1.351B,,1.351B,568.60M,178.36M,1.069B,1.091B,344.87M,,,4.067B,3.151B,1.457B,,49.47B,-20.95B,28.51B,377.17M,377.17M,5.354B,293.80M,561.61M,40.58B,44.65B,,2015-12,1.072B,,210.08M,1.476B,,708.72M,708.72M,2.709M,711.43M,419.41M,655.39M,,184.18M,3.090B,5.251B,13.11B,27.00M,13.14B,8.541B,8.541B,3.187B,,318.18M,449.86M,32.30B,2015-12,2.548M,9.394B,5.404B,5.552B,,8.951M,9.257B,,2015-12,AOR,Restated
2015-09,79.64M,1.041B,,1.041B,766.38M,190.98M,1.333B,1.095B,400.11M,2.951M,,4.117B,2.996B,1.425B,,49.55B,-20.88B,28.68B,377.17M,377.17M,5.228B,291.43M,738.51M,40.92B,45.04B,,2015-09,1.042B,,236.34M,1.450B,,1.061B,1.061B,2.657M,1.063B,419.96M,670.53M,93.56M,215.16M,3.454B,5.142B,13.05B,27.70M,13.08B,8.940B,8.940B,3.334B,,210.76M,464.77M,32.43B,2015-09,2.548M,9.446B,5.379B,5.553B,,-117.80M,9.157B,,2015-09,AOR,Restated
2015-06,60.00M,910.37M,,910.37M,598.21M,191.93M,1.190B,1.151B,446.88M,15.58M,,4.085B,3.053B,1.350B,,50.40B,-20.92B,29.48B,377.17M,377.17M,5.424B,295.34M,949.32M,42.18B,46.27B,,2015-06,1.013B,,109.08M,1.309B,,1.735B,1.735B,2.606M,1.737B,417.30M,649.67M,124.60M,244.53M,3.998B,4.898B,12.09B,28.38M,12.12B,9.440B,9.440B,3.522B,,210.76M,486.35M,32.02B,2015-06,96.55M,10.32B,5.362B,5.478B,,-46.82M,10.25B,,2015-06,AOR,Restated
2015-03,67.12M,1.181B,,1.181B,602.84M,174.03M,1.068B,1.158B,304.11M,22.95M,,4.140B,3.095B,1.388B,,50.10B,-20.66B,29.43B,377.17M,377.17M,5.488B,291.84M,965.24M,42.24B,46.38B,,2015-03,941.60M,,60.17M,1.165B,,1.705B,1.705B,2.557M,1.708B,415.20M,655.99M,94.72M,177.57M,3.765B,4.933B,12.31B,29.05M,12.34B,9.410B,9.410B,3.585B,,210.76M,539.43M,32.38B,2015-03,96.55M,10.32B,5.352B,5.479B,,-59.74M,10.23B,,2015-03,AOR,Restated
2014-12,131.33M,1.422B,,1.422B,561.25M,220.34M,1.103B,1.124B,343.22M,27.78M,,4.390B,3.292B,1.426B,,49.98B,-20.64B,29.34B,377.17M,377.17M,5.407B,286.45M,807.51M,42.02B,46.41B,,2014-12,1.166B,,128.11M,1.501B,,1.498B,1.498B,2.508M,1.500B,412.17M,541.81M,38.04M,248.25M,3.849B,4.876B,12.39B,29.71M,12.42B,9.381B,9.381B,3.638B,,210.76M,557.65M,32.46B,2014-12,96.55M,10.17B,5.375B,5.498B,,-42.31M,10.10B,,2014-12,AOR,Restated
2014-09,90.91M,1.069B,,1.069B,730.62M,219.30M,1.313B,1.109B,281.80M,14.16M,,4.265B,3.102B,1.914B,,49.17B,-20.27B,28.90B,377.17M,377.17M,5.220B,281.38M,903.21M,40.28B,44.54B,,2014-09,1.104B,,210.84M,1.492B,,2.005B,2.005B,2.46M,2.008B,406.11M,549.47M,55.13M,351.64M,4.454B,4.676B,11.63B,30.35M,11.67B,9.320B,9.320B,2.044B,,210.76M,591.78M,29.85B,2014-09,96.55M,10.20B,5.368B,5.441B,,20.38M,10.24B,,2014-09,AOR,Restated
2014-06,148.64M,650.07M,,650.07M,669.80M,191.15M,1.233B,1.110B,600.76M,33.24M,,4.245B,2.810B,1.668B,,48.42B,-19.97B,28.45B,377.17M,377.17M,5.203B,214.73M,947.58M,39.91B,44.15B,,2014-06,1.160B,,151.78M,1.494B,,1.722B,1.722B,2.413M,1.724B,401.06M,451.70M,36.10M,406.09M,4.128B,4.228B,11.94B,30.99M,11.97B,9.245B,9.245B,2.207B,,210.76M,622.15M,29.87B,2014-06,96.55M,10.12B,5.358B,5.448B,,31.07M,10.16B,,2014-06,AOR,Restated
2014-03,108.05M,908.48M,,908.48M,667.47M,184.62M,1.128B,1.119B,424.75M,64.89M,,4.193B,2.872B,1.646B,,48.07B,-19.69B,28.38B,377.17M,377.17M,5.030B,214.70M,961.22M,39.68B,43.88B,,2014-03,1.146B,,111.26M,1.413B,,1.628B,1.628B,2.368M,1.630B,372.72M,422.54M,28.38M,394.88M,3.917B,4.159B,12.20B,31.61M,12.23B,9.137B,9.137B,2.285B,,210.76M,579.76M,29.92B,2014-03,96.55M,10.08B,5.351B,5.478B,,-5.202M,10.04B,,2014-03,AOR,Restated
2013-12,129.98M,739.13M,,739.13M,636.33M,195.03M,1.172B,1.124B,410.49M,175.07M,,3.930B,3.121B,1.515B,,47.94B,-19.65B,28.29B,377.17M,377.17M,4.943B,234.21M,887.16M,39.48B,43.41B,,2013-12,1.173B,,191.09M,1.545B,,1.504B,1.504B,2.323M,1.506B,371.00M,456.94M,28.31M,484.51M,4.061B,4.049B,12.14B,32.22M,12.17B,8.988B,8.988B,2.321B,,210.76M,583.67M,29.62B,2013-12,96.55M,9.825B,5.368B,5.534B,,-29.32M,9.726B,,2013-12,AOR,Restated
2013-09,102.95M,365.33M,49.74M,415.07M,719.55M,170.62M,1.268B,1.104B,247.58M,84.06M,6.256M,3.490B,2.939B,1.599B,,47.56B,-19.55B,28.01B,377.17M,377.17M,4.672B,238.55M,922.50M,39.83B,43.32B,,2013-09,900.13M,,327.57M,1.387B,,1.312B,1.312B,2.717M,1.315B,366.15M,423.24M,35.10M,260.17M,3.439B,3.818B,12.28B,32.81M,12.31B,8.597B,8.597B,3.719B,,186.51M,563.50M,30.38B,2013-09,96.55M,9.826B,5.362B,5.539B,,-243.53M,9.502B,,2013-09,AOR,Restated
2013-06,86.32M,311.37M,36.92M,348.29M,619.73M,224.06M,1.222B,1.143B,263.29M,112.61M,14.60M,3.592B,3.012B,1.573B,,47.36B,-19.34B,28.02B,377.17M,377.17M,4.508B,239.04M,964.36M,39.67B,43.26B,,2013-06,1.170B,,275.54M,1.627B,,1.616B,1.616B,3.111M,1.619B,365.22M,390.44M,22.10M,254.17M,3.984B,3.697B,12.09B,33.40M,12.13B,8.608B,8.608B,3.754B,,186.51M,538.77M,29.91B,2013-06,96.55M,9.734B,5.356B,5.543B,,-274.30M,9.369B,,2013-06,AOR,Restated
2013-03,66.11M,262.93M,44.44M,307.37M,604.57M,157.98M,1.032B,1.147B,225.38M,192.82M,16.88M,3.323B,2.990B,1.414B,,46.83B,-19.07B,27.76B,377.17M,377.17M,4.499B,239.04M,983.64M,39.47B,42.79B,,2013-03,1.036B,,298.07M,1.488B,,1.705B,1.705B,3.495M,1.708B,361.30M,403.99M,15.00M,198.74M,3.896B,3.642B,11.73B,33.98M,11.76B,8.620B,8.620B,3.757B,,186.51M,574.56M,29.59B,2013-03,96.55M,9.718B,5.350B,5.554B,,-303.66M,9.307B,,2013-03,AOR,Restated
2012-12,112.99M,532.57M,46.04M,578.61M,536.92M,161.41M,1.002B,1.142B,242.92M,306.90M,16.88M,3.683B,3.456B,1.366B,,47.12B,-19.13B,27.99B,377.17M,377.17M,4.237B,209.95M,936.65M,39.52B,43.20B,,2012-12,1.217B,,333.72M,1.736B,,1.515B,1.515B,3.88M,1.518B,359.08M,468.63M,13.11M,287.83M,4.106B,3.876B,11.92B,34.54M,11.95B,8.585B,8.585B,3.726B,,186.51M,577.91M,29.81B,2012-12,96.55M,9.705B,5.358B,5.575B,,-293.08M,9.291B,,2012-12,AOR,Restated
2012-09,97.00M,749.72M,,749.72M,661.50M,155.04M,1.147B,1.136B,371.69M,4.533M,70.03M,3.808B,1.805B,1.966B,811.53M,45.42B,-18.73B,26.69B,377.17M,377.17M,4.633B,231.24M,,38.22B,42.02B,,2012-09,1.363B,,322.86M,1.844B,356.17M,787.71M,1.144B,3.816M,1.148B,361.17M,562.42M,73.69M,318.96M,3.924B,3.826B,11.75B,35.53M,11.78B,8.450B,8.450B,3.052B,,186.51M,551.57M,28.81B,2012-09,2.548M,9.556B,5.354B,5.585B,,-136.79M,9.285B,,2012-09,AOR,Restated
2012-06,90.28M,283.39M,,283.39M,678.33M,,1.037B,1.134B,367.74M,4.337M,72.81M,3.204B,1.765B,1.583B,812.21M,44.82B,-18.56B,26.26B,377.17M,377.17M,4.466B,268.33M,1.066B,37.71B,40.92B,,2012-06,1.036B,,265.79M,1.478B,103.72M,420.39M,524.10M,3.753M,527.86M,357.40M,626.42M,83.11M,363.16M,3.042B,3.768B,11.97B,36.51M,12.01B,8.244B,8.244B,3.097B,,186.51M,537.87M,28.75B,2012-06,2.548M,9.366B,5.356B,5.620B,,-75.60M,9.124B,,2012-06,AOR,Restated
2012-03,63.12M,685.00M,,685.00M,568.52M,,829.06M,1.119B,452.04M,4.65M,86.16M,3.476B,1.759B,2.025B,808.79M,44.24B,-18.39B,25.85B,377.17M,377.17M,4.505B,289.80M,,37.45B,40.93B,,2012-03,916.25M,,188.65M,1.256B,141.11M,315.28M,456.39M,3.692M,460.08M,354.18M,728.03M,94.13M,419.99M,2.911B,3.724B,12.12B,37.47M,12.16B,8.446B,8.446B,3.127B,,186.51M,560.70M,29.01B,2012-03,2.548M,9.148B,5.352B,5.622B,,33.67M,9.008B,,2012-03,AOR,Restated
2011-12,81.47M,694.44M,50.30M,744.74M,537.40M,166.19M,1.002B,1.097B,291.74M,9.856M,36.80M,3.623B,3.247B,1.780B,,44.76B,-18.47B,26.29B,377.17M,377.17M,3.833B,191.20M,955.69M,37.08B,40.70B,,2011-12,1.069B,,278.24M,1.531B,,2.301B,2.301B,3.631M,2.305B,351.74M,707.51M,99.93M,363.62M,4.951B,3.682B,10.04B,38.42M,10.08B,8.381B,8.381B,3.134B,,186.51M,501.95M,26.70B,2011-12,96.55M,9.447B,5.361B,5.680B,,-168.45M,9.055B,,2011-12,AOR,Restated
2011-09,135.67M,987.14M,,987.14M,919.28M,,1.248B,1.075B,284.42M,5.292M,233.66M,4.154B,1.663B,1.904B,789.90M,43.18B,-18.12B,25.06B,377.17M,377.17M,4.024B,230.20M,,35.01B,39.16B,,2011-09,882.65M,,,1.047B,144.87M,2.022B,2.167B,3.578M,2.171B,347.18M,481.57M,64.82M,421.31M,4.161B,3.666B,10.24B,39.34M,10.28B,8.685B,8.685B,1.899B,,216.75M,547.15M,25.94B,2011-09,2.548M,9.439B,5.363B,5.701B,,-138.34M,9.059B,,2011-09,AOR,Restated
2011-06,94.97M,529.86M,,529.86M,825.12M,,1.203B,1.082B,541.87M,6.975M,100.29M,3.863B,1.712B,1.800B,790.53M,42.82B,-17.92B,24.90B,377.17M,377.17M,4.231B,253.11M,,35.27B,39.13B,,2011-06,1.044B,,,1.222B,130.80M,128.06M,258.86M,3.599M,262.46M,345.08M,459.37M,99.15M,257.85M,2.242B,3.609B,12.06B,40.18M,12.10B,9.152B,9.152B,1.943B,,216.74M,599.02M,28.20B,2011-06,2.548M,8.958B,5.366B,5.653B,,-75.16M,8.692B,,2011-06,AOR,Restated
2011-03,103.80M,726.24M,,726.24M,667.64M,,932.14M,1.087B,618.99M,9.301M,88.84M,3.778B,1.793B,1.764B,796.57M,42.14B,-17.68B,24.46B,377.17M,377.17M,4.182B,246.47M,,34.82B,38.60B,,2011-03,986.31M,,,1.136B,183.08M,208.66M,391.73M,3.461M,395.20M,340.28M,496.20M,68.57M,243.44M,2.311B,3.559B,11.58B,41.19M,11.62B,9.048B,9.048B,1.984B,,216.74M,621.98M,27.66B,2011-03,2.548M,8.790B,5.367B,5.556B,,-67.18M,8.629B,,2011-03,AOR,Restated
2010-12,76.29M,1.294B,,1.294B,732.68M,,1.036B,1.074B,547.84M,8.472M,95.20M,4.339B,1.636B,1.662B,800.08M,41.58B,-17.47B,24.11B,377.17M,377.17M,4.042B,226.72M,,34.35B,38.69B,,2010-12,1.181B,,0.00,1.399B,154.14M,299.55M,453.68M,3.388M,457.07M,335.06M,550.77M,49.31M,329.76M,2.776B,3.544B,11.32B,42.08M,11.36B,8.866B,8.866B,2.175B,,,835.30M,27.32B,2010-12,2.548M,8.689B,5.367B,5.525B,,-38.21M,8.590B,,2010-12,AOR,Restated
2010-09,87.62M,1.931B,,1.931B,866.89M,,1.217B,1.046B,500.29M,4.508M,62.26M,5.047B,1.521B,1.644B,793.24M,41.17B,-17.35B,23.82B,377.17M,377.17M,3.864B,246.90M,1.028B,33.62B,38.67B,,2010-09,1.009B,,,1.198B,167.92M,588.78M,756.70M,3.352M,760.05M,330.29M,510.11M,86.56M,403.81M,2.914B,3.483B,11.44B,42.87M,11.49B,8.442B,8.442B,2.112B,,216.74M,631.72M,26.93B,2010-09,2.548M,8.611B,5.367B,5.322B,,72.57M,8.826B,,2010-09,AOR,Restated
2010-06,77.16M,1.336B,,1.336B,615.44M,177.16M,1.166B,1.038B,467.80M,25.40M,59.05M,4.363B,1.517B,1.679B,782.34M,40.94B,-17.20B,23.75B,377.17M,377.17M,3.245B,74.75M,1.152B,33.39B,37.75B,,2010-06,976.74M,,,1.148B,203.97M,590.45M,794.43M,2.432M,796.86M,327.80M,443.06M,5.33M,377.34M,2.807B,3.141B,11.02B,36.00M,11.06B,8.004B,8.304B,2.181B,,216.72M,657.32M,26.08B,2010-06,2.548M,8.273B,5.377B,4.851B,,-31.06M,8.865B,,2010-06,AOR,Restated
2010-03,75.45M,1.657B,,1.657B,542.22M,144.12M,937.00M,1.037B,733.67M,24.16M,105.04M,4.733B,1.488B,1.668B,782.72M,40.76B,-16.98B,23.79B,377.17M,377.17M,3.482B,74.03M,1.122B,33.38B,38.11B,,2010-03,877.09M,,,1.038B,175.50M,800.41M,975.91M,2.395M,978.31M,325.86M,451.44M,7.10M,535.89M,3.060B,3.084B,11.14B,36.62M,11.17B,7.906B,8.210B,2.199B,,216.72M,677.46M,26.10B,2010-03,2.548M,8.115B,5.373B,4.716B,,85.39M,8.954B,,2010-03,AOR,Restated
2009-12,85.86M,1.710B,,1.710B,678.36M,,980.83M,1.023B,386.04M,0.00,83.10M,4.534B,1.515B,1.547B,783.10M,40.50B,-16.87B,23.64B,377.17M,377.17M,3.371B,172.20M,,33.03B,37.56B,,2009-12,998.23M,,,1.191B,30.03M,711.96M,741.99M,212.50M,954.48M,323.34M,591.56M,48.58M,402.41M,3.194B,3.081B,10.71B,,10.71B,7.971B,7.971B,2.241B,,,1.283B,25.66B,2009-12,2.548M,8.043B,5.370B,4.727B,,-75.18M,8.707B,,2009-12,AOR,Restated
