,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-04,60.90M,0.00,0.00,69.00M,69.00M,,24.40M,27.20M,,,,,-10.60M,170.90M,-46.50M,,-46.50M,-127.50M,,,-174.00M,69.00M,11.60M,80.60M,,0.00,0.00,-1.50M,-1.50M,0.00,-0.20M,78.90M,91.70M,75.80M,-2.60M,164.90M,,284.90M,-204.30M,0.00
2018-01,-122.50M,,,66.60M,66.60M,,,259.10M,,,,,-177.00M,26.20M,-51.40M,,-51.40M,-1.193B,,,-1.245B,1.227B,4.80M,1.232B,,0.00,0.00,,,-10.50M,-3.90M,1.217B,88.80M,-1.00M,3.90M,91.70M,,1.678B,-445.80M,0.00
2017-10,88.60M,,,47.20M,47.20M,,0.00,9.40M,,,,9.80M,52.50M,199.00M,-31.80M,,-31.80M,-57.10M,,,-88.90M,-31.00M,-9.40M,-40.40M,,-25.50M,-25.50M,-1.40M,-1.40M,0.30M,0.00,-67.00M,46.00M,43.10M,-0.30M,88.80M,,349.00M,-177.70M,-25.50M
2017-07,103.60M,,,47.20M,47.20M,,0.00,2.90M,,,,,0.80M,154.50M,-38.10M,,-38.10M,-23.20M,,,-61.30M,-164.80M,-9.90M,-174.70M,,0.00,0.00,0.00,0.00,4.40M,-0.60M,-170.90M,121.30M,-77.70M,2.40M,46.00M,,445.80M,-620.50M,0.00
2017-04,104.90M,,,46.20M,46.20M,,0.00,9.80M,,,,30.30M,-29.20M,131.70M,-28.60M,,-28.60M,-0.40M,,,-29.00M,148.00M,-186.50M,-38.50M,,-29.50M,-29.50M,-1.50M,-1.50M,-1.90M,-2.10M,-73.50M,91.10M,29.20M,1.00M,121.30M,,352.90M,-391.40M,-29.50M
2017-01,75.80M,,,47.80M,47.80M,,,15.10M,,,,-30.30M,-30.30M,108.40M,-28.70M,,-28.70M,-173.40M,,,-202.10M,97.00M,-5.90M,91.10M,,,,,,-8.10M,0.50M,83.50M,100.80M,-10.20M,0.50M,91.10M,,266.10M,-175.00M,
2016-10,60.50M,,,47.40M,47.40M,,,4.50M,,,,60.10M,58.40M,193.30M,-35.20M,,-35.20M,-14.80M,,,-50.00M,0.00,-108.90M,-108.90M,,0.00,0.00,-1.40M,-1.40M,1.00M,6.40M,-102.90M,62.60M,40.40M,-2.20M,100.80M,,63.00M,-171.90M,0.00
2016-07,88.20M,,,49.50M,49.50M,,,-15.80M,,,,7.00M,7.00M,128.90M,-31.10M,,-31.10M,-105.80M,,,-136.90M,0.00,0.60M,0.60M,,0.00,0.00,0.00,0.00,17.60M,10.80M,29.00M,44.50M,21.00M,-2.90M,62.60M,,147.00M,-146.40M,0.00
2016-04,74.50M,,,47.90M,47.90M,,,6.70M,,,,-31.20M,-31.20M,97.90M,-41.20M,,-41.20M,-84.60M,,,-125.80M,88.10M,-22.90M,65.20M,,0.00,0.00,-1.50M,-1.50M,-0.50M,-8.50M,54.70M,16.00M,26.80M,1.70M,44.50M,,1.00B,-934.80M,0.00
2016-01,51.70M,,,53.50M,53.50M,,,14.70M,,,,-30.40M,-30.40M,89.50M,-45.10M,,-45.10M,-60.90M,,,-106.00M,28.80M,-0.70M,28.10M,,,,,,-10.90M,0.60M,17.80M,16.40M,1.30M,-1.70M,16.00M,,367.30M,-339.20M,
2015-10,36.97M,,,50.10M,50.10M,,,-21.29M,,,,60.17M,-9.23M,104.45M,-58.29M,,-58.29M,-43.72M,,,-102.01M,-11.97M,53.15M,41.18M,,-51.30M,-51.30M,-1.452M,-1.452M,0.896M,8.151M,-2.528M,17.00M,-0.086M,-0.497M,16.40M,,540.15M,-498.97M,-51.30M
2015-07,45.24M,,,53.91M,53.91M,,,-8.672M,,,,5.488M,5.488M,95.97M,-66.35M,,-66.35M,-0.426M,,,-66.77M,-35.20M,-3.966M,-39.17M,,0.00,0.00,0.00,0.00,0.966M,8.518M,-29.68M,17.91M,-0.488M,-0.418M,17.00M,,226.93M,-266.10M,0.00
2015-04,61.14M,,,44.50M,44.50M,,,14.20M,,,,-9.201M,-9.201M,110.64M,-53.37M,,-53.37M,-0.548M,,,-53.92M,-196.63M,146.20M,-50.43M,,0.00,0.00,-1.448M,-1.448M,4.108M,-6.472M,-54.24M,16.43M,2.479M,-0.996M,17.91M,,378.31M,-428.74M,0.00
2015-01,61.75M,,,42.88M,42.88M,,,31.36M,,,,-56.16M,-56.16M,79.84M,-65.00M,,-65.00M,-0.204M,,,-65.20M,21.80M,-10.68M,11.12M,,-16.00M,-16.00M,,,-10.77M,-4.597M,-20.25M,25.22M,-5.605M,-3.189M,16.43M,,240.60M,-229.48M,-16.00M
2014-10,31.26M,,,42.55M,42.55M,,,-10.27M,,,,66.76M,93.94M,152.06M,-60.13M,,-60.13M,-1.110B,,-0.754M,-1.171B,895.42M,-3.596M,891.82M,,-25.78M,-25.78M,-1.448M,-1.448M,1.705M,5.947M,872.25M,173.79M,-146.28M,-2.285M,25.22M,,1.199B,-306.98M,-25.78M
2014-07,88.67M,,,32.50M,32.50M,,,-4.878M,,,,-8.434M,-8.434M,107.86M,-55.76M,,-55.76M,,,-0.306M,-56.07M,-0.04M,9.392M,9.352M,,0.00,0.00,0.00,0.00,18.17M,12.52M,40.04M,82.66M,91.84M,-0.712M,173.79M,,427.60M,-418.25M,0.00
2014-04,79.64M,,,31.75M,31.75M,,,7.883M,,,,7.063M,7.063M,126.33M,-61.20M,,-61.20M,-1.489M,,1.06M,-61.63M,-0.121M,-12.59M,-12.71M,,0.00,0.00,-1.436M,-1.436M,-3.235M,5.84M,-11.54M,28.83M,53.16M,0.67M,82.66M,,448.40M,-461.11M,0.00
2014-01,72.26M,,,31.40M,31.40M,,,24.48M,,,,-59.57M,-59.57M,68.57M,-60.98M,,-60.98M,1.489M,,1.359M,-58.13M,0.00,-0.534M,-0.534M,,-50.00M,-50.00M,,,-8.052M,0.002M,-58.58M,77.39M,-48.14M,-0.424M,28.83M,,486.90M,-487.43M,-50.00M
2013-10,57.31M,,,31.76M,31.76M,,,-2.849M,0.055M,,,77.59M,52.64M,150.34M,-72.06M,,-72.06M,-4.048M,,0.00,-76.11M,86.37M,12.66M,99.03M,,-122.97M,-122.97M,-1.469M,-1.469M,0.193M,1.762M,-23.46M,25.48M,50.77M,1.141M,77.39M,,804.66M,-705.63M,-122.97M
2013-07,89.19M,,,31.12M,31.12M,,,-9.882M,,,,-7.37M,-7.37M,103.06M,-38.57M,,-38.57M,-0.867M,,0.00,-39.44M,-76.23M,-0.17M,-76.40M,,0.00,0.00,0.00,0.00,11.56M,13.03M,-51.81M,14.44M,11.81M,-0.765M,25.48M,,323.43M,-399.83M,0.00
2013-04,75.47M,,,30.94M,30.94M,,,11.22M,11.18M,,,-13.91M,-2.722M,114.90M,-38.18M,,-38.18M,-4.44M,,0.694M,-41.92M,-86.03M,0.067M,-85.96M,,0.00,0.00,-1.449M,-1.449M,8.079M,7.134M,-72.20M,14.44M,0.781M,-0.785M,14.44M,,311.07M,-397.03M,0.00
2013-01,74.94M,,,31.52M,31.52M,,,11.97M,-11.18M,,,-59.63M,-70.81M,47.62M,-29.32M,,-29.32M,-3.69M,,0.56M,-32.44M,29.23M,8.483M,37.71M,,-44.36M,-44.36M,,,-0.541M,-6.935M,-14.12M,12.84M,1.053M,0.552M,14.44M,,348.88M,-311.17M,-44.36M
2012-10,72.15M,,3.728M,30.82M,30.82M,,,-21.98M,-4.956M,,,86.74M,26.59M,114.82M,-32.64M,,-32.64M,-0.35M,,0.00,-32.99M,-105.95M,-0.574M,-106.52M,,0.00,0.00,-1.436M,-1.436M,27.89M,-2.189M,-82.25M,12.73M,-0.423M,0.531M,12.84M,,109.89M,-216.41M,0.00
2012-07,66.95M,,1.404M,27.82M,27.82M,,,3.783M,,,,-21.85M,-21.85M,78.11M,-24.08M,,-24.08M,-144.32M,0.00,1.884M,-166.52M,166.51M,-54.30M,112.22M,,-25.01M,-25.01M,0.00,0.00,3.303M,3.867M,94.38M,7.745M,5.969M,-0.982M,12.73M,,576.19M,-463.97M,-25.01M
2012-04,54.92M,,,26.75M,26.75M,,,10.53M,,,,-11.56M,-11.56M,80.64M,-23.10M,,-23.10M,-0.249M,,3.174M,-20.18M,-96.02M,5.026M,-91.00M,,0.00,0.00,-1.421M,-1.421M,26.47M,5.576M,-60.37M,7.681M,0.09M,-0.026M,7.745M,,240.70M,-331.70M,0.00
2012-01,54.62M,,,25.82M,25.82M,,,9.394M,0.00,,,-48.28M,-48.28M,41.55M,-19.95M,,-19.95M,-0.398M,,1.566M,-18.78M,43.66M,-13.79M,29.87M,,-46.14M,-46.14M,,,-2.613M,-1.314M,-20.20M,5.175M,2.568M,-0.062M,7.681M,,335.69M,-305.81M,-46.14M
2011-10,,,12.07M,26.34M,26.34M,,,-127.42M,,,,,17.48M,110.99M,-32.51M,,-32.51M,-17.04M,,,-49.55M,-79.03M,14.24M,-64.79M,-76.87M,0.00,-76.87M,-1.431M,-1.431M,,-2.622M,-63.68M,7.872M,-2.243M,-0.454M,5.175M,-76.87M,260.84M,-325.62M,0.00
2011-07,,,0.00,25.40M,25.40M,,,47.58M,,,,,14.49M,87.47M,-19.14M,,-19.14M,-4.367M,,,-23.51M,-117.63M,9.637M,-107.99M,40.71M,0.00,40.71M,0.00,0.00,,2.837M,-64.45M,8.43M,-0.485M,-0.073M,7.872M,40.71M,142.10M,-250.10M,0.00
2011-04,,,16.49M,23.51M,23.51M,,,40.52M,,,,,-15.62M,64.89M,-23.23M,,-23.23M,-4.15M,,,-27.38M,-62.19M,1.111M,-61.08M,29.98M,0.00,29.98M,-1.385M,-1.385M,,-0.317M,-32.80M,3.32M,4.709M,0.401M,8.43M,29.98M,525.96M,-587.03M,0.00
2011-01,,,,22.89M,22.89M,,,49.32M,,,,,0.714M,72.93M,-28.78M,,-28.78M,-32.45M,,,-61.23M,-5.253M,-3.673M,-8.926M,6.188M,0.00,6.188M,,,,-9.207M,-11.94M,3.573M,-0.248M,-0.005M,3.32M,6.188M,508.95M,-517.87M,0.00
2010-10,112.80M,,,23.22M,23.22M,,,-98.78M,,,,,22.12M,64.61M,-32.77M,,-32.77M,-0.405M,,,-33.17M,-32.40M,-3.139M,-35.54M,-5.439M,,-5.439M,-1.37M,-1.37M,,0.00,-31.25M,3.24M,0.188M,0.145M,3.573M,-5.439M,206.72M,-242.25M,
2010-07,,,,23.89M,23.89M,,,48.05M,,,,,3.351M,75.29M,-16.87M,,-16.87M,-1.471M,,,-18.34M,-75.01M,8.731M,-66.28M,2.732M,,2.732M,0.00,0.00,,0.00,-63.54M,9.829M,-6.592M,0.003M,3.24M,2.732M,84.82M,-151.10M,
2010-04,-20.42M,,,23.99M,23.99M,,,48.19M,,,,,19.86M,71.62M,-11.21M,,-11.21M,-22.46M,,,-33.67M,-28.82M,-1.552M,-30.37M,1.788M,,1.788M,-1.362M,-1.362M,,0.00,-29.94M,1.822M,8.002M,0.005M,9.829M,1.788M,163.93M,-194.30M,
2010-01,20.42M,,,22.90M,22.90M,,,12.17M,,,,,0.645M,56.14M,-12.91M,,-12.91M,-8.507M,,,-21.42M,-46.22M,8.068M,-38.16M,0.919M,,0.919M,,,,0.407M,-36.83M,3.932M,-2.106M,-0.004M,1.822M,0.919M,120.75M,-158.91M,
2009-10,30.12M,,,24.61M,24.61M,,,-19.84M,,,,,13.32M,78.48M,-19.96M,,-19.96M,-0.675M,,,-20.64M,-27.69M,-29.81M,-57.50M,1.116M,0.031M,1.147M,-1.357M,-1.357M,,0.00,-57.71M,3.79M,0.128M,0.014M,3.932M,1.116M,151.94M,-209.44M,0.031M
2009-07,21.91M,,,21.99M,21.99M,,,8.286M,,,,,23.73M,75.91M,-19.88M,,-19.88M,-0.351M,,,-20.23M,-46.27M,-10.35M,-56.62M,,-0.001M,-0.001M,0.00,0.00,,0.00,-56.62M,4.472M,-0.94M,0.258M,3.79M,,97.32M,-153.94M,-0.001M
2009-04,24.65M,,,21.01M,21.01M,,,30.81M,,,,,-32.63M,43.84M,-19.97M,,-19.97M,-2.451M,,,-22.42M,-22.99M,5.427M,-17.56M,,-0.03M,-0.03M,-1.355M,-1.355M,,-0.001M,-18.95M,1.885M,2.471M,0.116M,4.472M,,230.72M,-248.28M,-0.03M
2009-01,23.87M,,,25.00M,25.00M,,,-16.74M,,,,,-7.225M,24.90M,-34.10M,,-34.10M,-1.254M,,,-35.35M,11.63M,-1.224M,10.40M,0.00,,0.00,,,,0.136M,10.54M,1.944M,0.093M,-0.152M,1.885M,0.00,256.49M,-246.08M,
2008-10,29.48M,,,19.79M,19.79M,,,46.31M,,,,,,41.01M,-22.60M,,-22.60M,-0.161M,,,-22.76M,-29.10M,6.119M,-22.98M,-2.693M,,-2.693M,0.00,0.00,,0.00,-19.42M,3.438M,-1.181M,-0.313M,1.944M,-2.693M,168.60M,-191.58M,
2008-07,17.88M,,,21.26M,21.26M,,,4.887M,,,,,,44.03M,-25.41M,,-25.41M,-0.649M,,,-26.06M,-13.10M,-2.364M,-15.46M,0.321M,,0.321M,-1.35M,-1.35M,,0.00,-16.49M,1.911M,1.479M,0.048M,3.438M,0.321M,432.15M,-447.61M,
2008-04,11.24M,,,21.02M,21.02M,,,-15.17M,,,,,,17.08M,-34.15M,,-34.15M,-1.348M,,,-35.49M,23.50M,-7.60M,15.90M,0.046M,,0.046M,0.00,0.00,,1.758M,17.70M,2.586M,-0.706M,0.031M,1.911M,0.046M,141.58M,-125.68M,
2008-01,6.877M,,,20.11M,20.11M,,,-32.58M,,,,,,-5.592M,-42.73M,,-42.73M,-1.714M,,,-44.44M,48.10M,0.34M,48.44M,2.326M,,2.326M,-1.349M,-1.349M,,,49.42M,3.226M,-0.617M,-0.023M,2.586M,2.326M,151.89M,-103.45M,
2007-10,-24.19M,,,28.86M,28.86M,,,9.845M,,,,3.123M,20.40M,38.12M,-54.94M,,-54.94M,-3.333M,,,-58.27M,,,15.31M,1.68M,,1.68M,,0.00,,-1.763M,15.22M,8.061M,-4.925M,0.09M,3.226M,1.68M,,,
2007-07,8.18M,,,22.71M,22.71M,,,-3.758M,,,,20.29M,20.29M,47.43M,-38.60M,,-38.60M,-8.843M,,,-47.44M,,,-4.609M,2.265M,,2.265M,,-1.344M,,-0.27M,-3.958M,12.03M,-3.971M,-0.001M,8.061M,2.265M,,,
2007-04,-0.527M,,,16.87M,16.87M,,,4.739M,,,,26.59M,26.59M,47.67M,-40.05M,,-40.05M,-34.85M,,,-74.90M,,,12.16M,3.822M,,3.822M,,0.00,,-0.663M,15.32M,23.54M,-11.90M,0.393M,12.03M,3.822M,,,
2007-01,5.348M,,,16.07M,16.07M,,,14.45M,,,,-35.10M,-35.10M,0.761M,-50.04M,,-50.04M,-33.94M,,,-83.98M,,,108.79M,1.491M,,1.491M,,-1.337M,,-10.39M,98.56M,8.224M,15.34M,-0.018M,23.54M,1.491M,,,
2006-10,13.60M,,,16.63M,16.63M,,,-22.82M,,,,41.68M,33.92M,47.86M,-30.33M,,-30.33M,-4.902M,,,-35.23M,,,-16.40M,0.489M,,0.489M,,0.00,,-1.17M,-17.08M,12.72M,-4.458M,-0.042M,8.224M,0.489M,,,
2006-07,20.98M,,,15.75M,15.75M,,,8.266M,,,,-6.495M,-6.495M,38.50M,-41.06M,,-41.06M,-1.816M,,,-42.87M,,,2.174M,0.031M,,0.031M,,-1.336M,,-0.34M,0.529M,16.56M,-3.847M,0.016M,12.72M,0.031M,,,
2006-04,13.70M,,,15.10M,15.10M,,,24.41M,,,,-6.139M,-6.139M,47.07M,-41.28M,,-41.28M,-6.505M,,,-47.78M,,,-9.001M,-0.044M,,-0.044M,,0.00,,1.51M,-7.535M,24.60M,-8.249M,0.207M,16.56M,-0.044M,,,
2006-01,17.95M,,,14.18M,14.18M,,,8.87M,,,,-11.70M,-11.70M,29.30M,-42.20M,,-42.20M,-54.73M,,,-96.93M,,,60.82M,2.544M,,2.544M,,-1.335M,,-0.625M,61.41M,30.83M,-6.229M,,24.60M,2.544M,,,
2005-10,8.567M,,,13.91M,13.91M,,,-6.63M,,,,11.12M,26.02M,64.54M,-41.24M,,-41.24M,-1.983M,0.00,,-43.22M,,,-16.17M,7.879M,,7.879M,,0.00,,0.00,-8.29M,18.05M,13.04M,-0.258M,30.83M,7.879M,,,
2005-07,37.62M,,,13.67M,13.67M,,,-1.943M,,,,-8.726M,-8.726M,40.62M,-37.04M,,-37.04M,-2.042M,0.00,,-39.08M,,,1.432M,0.97M,,0.97M,,-1.323M,,0.00,1.079M,17.12M,2.616M,-1.686M,18.05M,0.97M,,,
2005-04,27.83M,,,12.88M,12.88M,,,6.113M,,,,-3.942M,-3.942M,42.88M,-27.19M,,-27.19M,-7.323M,0.00,,-34.51M,,,-25.24M,5.611M,0.983M,6.594M,,-0.983M,,0.00,-19.62M,28.49M,-11.26M,-0.114M,17.12M,5.611M,,,0.983M
2005-01,17.71M,,,8.182M,8.182M,,,7.627M,,,,2.289M,2.289M,35.81M,-11.63M,,-11.63M,-615.66M,1.779M,,-625.51M,,,576.60M,10.70M,-0.983M,9.72M,,,,-7.697M,578.62M,39.37M,-11.08M,0.204M,28.49M,10.70M,,,-0.983M
2004-10,28.72M,,,4.096M,4.096M,,,-7.257M,,,,30.59M,-2.509M,35.24M,-9.95M,,-9.95M,-8.836M,0.00,,-18.79M,,,-4.609M,1.565M,,1.565M,,0.001M,,,-3.043M,26.08M,13.41M,-0.113M,39.37M,1.565M,,,
2004-07,24.05M,,,4.028M,4.028M,,,5.209M,,,,-4.181M,-4.181M,29.10M,-11.31M,,-11.31M,-4.262M,0.00,,-15.57M,,,-8.428M,1.226M,,1.226M,,-0.981M,,,-8.183M,20.73M,5.351M,-0.007M,26.08M,1.226M,,,
2004-04,21.70M,,,3.938M,3.938M,,,4.441M,,-6.403M,,6.375M,-0.028M,30.05M,-12.38M,,-12.38M,-45.70M,1.665M,,-56.42M,,,-3.415M,5.146M,,5.146M,,0.00,,,1.731M,45.32M,-24.64M,0.043M,20.73M,5.146M,,,
2004-01,18.36M,,,3.589M,3.589M,,,0.491M,,6.403M,,-22.03M,-15.63M,6.809M,-6.864M,,-6.864M,-5.145M,2.145M,,-9.864M,,,-4.044M,5.829M,,5.829M,,-0.963M,,,0.822M,47.43M,-2.233M,0.124M,45.32M,5.829M,,,
2003-10,21.04M,,1.598M,3.433M,3.433M,,,,,-1.778M,15.43M,9.078M,-1.931M,31.41M,-11.12M,,-11.12M,-11.44M,,0.00,-20.94M,,,-6.078M,13.48M,,13.48M,,0.00,,-1.162M,6.237M,30.80M,16.70M,-0.066M,47.43M,13.48M,,,
2003-07,18.66M,,,3.144M,3.144M,,,,,-3.307M,0.769M,-1.265M,-3.803M,18.00M,-9.348M,,-9.348M,-25.20M,,0.013M,-34.53M,,,29.22M,7.169M,,7.169M,,-1.025M,,0.085M,35.44M,11.90M,18.92M,-0.014M,30.80M,7.169M,,,
2003-04,15.21M,,-7.72M,2.977M,2.977M,,,,,6.981M,-1.26M,10.84M,16.56M,27.03M,-7.508M,,-7.508M,-6.282M,,0.009M,-13.78M,,,-13.34M,2.599M,,2.599M,,0.00,,-0.001M,-10.75M,9.054M,2.503M,0.338M,11.90M,2.599M,,,
2003-01,13.86M,,7.72M,2.971M,2.971M,,,,,-1.297M,-1.482M,-18.66M,-21.43M,3.112M,-5.898M,,-5.898M,-32.24M,,-0.029M,-38.17M,,,33.94M,0.741M,,0.741M,,-0.927M,,-0.084M,33.67M,10.26M,-1.389M,0.188M,9.054M,0.741M,,,
2002-10,16.19M,,,2.88M,2.88M,5.781M,,,,-10.10M,7.681M,3.502M,-9.783M,16.01M,-6.472M,,-6.472M,-5.616M,0.00,-0.015M,-12.10M,,,-5.708M,2.935M,,2.935M,,0.00,,-0.047M,-2.82M,8.79M,1.09M,0.375M,10.26M,2.935M,,,
2002-07,13.36M,,,3.344M,3.344M,1.087M,,,,-0.535M,1.795M,-3.80M,-2.54M,15.25M,-4.97M,,-4.97M,-85.15M,0.325M,0.149M,-89.64M,,,65.64M,1.214M,,1.214M,,-0.766M,,0.00,66.09M,17.03M,-8.307M,0.064M,8.79M,1.214M,,,
2002-04,9.918M,,,3.052M,3.052M,4.868M,,,,-2.634M,0.651M,4.659M,2.676M,20.51M,-5.719M,,-5.719M,-39.97M,0.435M,-0.025M,-45.28M,,,35.51M,1.646M,,1.646M,,0.00,,0.047M,37.20M,4.867M,12.44M,-0.27M,17.03M,1.646M,,,
2002-01,9.405M,,,2.093M,2.093M,,,,,3.142M,-6.111M,-4.361M,-7.33M,4.168M,-6.273M,,-6.273M,-5.403M,3.622M,-0.012M,-8.066M,,,-3.711M,0.33M,,0.33M,,-0.761M,,,-4.142M,12.93M,-8.04M,-0.021M,4.867M,0.33M,,,
2001-10,11.76M,,,3.082M,3.082M,5.566M,,,,-1.364M,0.79M,15.26M,-15.38M,5.68M,-5.20M,,-5.20M,-12.28M,,0.194M,-17.28M,,,13.14M,0.467M,1.038M,1.505M,,-1.038M,,,13.61M,11.27M,2.008M,-0.348M,12.93M,0.467M,,,1.038M
2001-07,10.36M,,,2.838M,2.838M,1.026M,,,,-1.094M,0.113M,-3.401M,-4.382M,9.843M,-4.612M,,-4.612M,-16.15M,,-0.133M,-20.89M,,,3.432M,7.606M,-1.038M,6.568M,,0.289M,,,10.29M,11.90M,-0.759M,0.13M,11.27M,7.606M,,,-1.038M
2001-04,8.71M,,,2.532M,2.532M,3.027M,,,,0.737M,-5.169M,-2.191M,-6.623M,7.646M,-3.91M,,-3.91M,-16.39M,,-0.043M,-20.34M,,,3.477M,9.112M,,9.112M,,0.00,,-0.063M,12.53M,11.98M,-0.172M,0.089M,11.90M,9.112M,,,
2001-01,6.309M,,,2.536M,2.536M,3.276M,,,,,,-9.671M,-9.671M,2.45M,-3.269M,,-3.269M,-3.402M,,-0.018M,-6.689M,,,0.058M,1.727M,,1.727M,,-0.289M,,0.063M,1.559M,14.61M,-2.68M,0.052M,11.98M,1.727M,,,
2000-10,9.149M,,,2.34M,2.34M,2.543M,,-0.086M,,,,6.243M,-1.751M,12.62M,-27.93M,,-27.93M,24.42M,,0.00,-3.504M,,,-3.847M,0.058M,0.848M,0.906M,,-1.134M,,-0.047M,-4.122M,9.428M,4.995M,0.185M,14.61M,0.058M,,,0.848M
2000-07,8.229M,,,4.303M,4.303M,8.351M,,-2.148M,,,,-6.243M,-6.243M,12.49M,-4.988M,,-4.988M,-0.946M,,-1.386M,-7.32M,,,-2.48M,3.02M,-0.848M,2.172M,,0.564M,,-0.897M,-0.641M,4.747M,4.531M,0.15M,9.428M,3.02M,,,-0.848M
