,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-04,631.30M,631.30M,226.80M,404.50M,247.90M,247.90M,20.80M,36.70M,-24.40M,18.70M,-18.70M,,305.40M,99.10M,18.70M,-18.70M,-26.40M,-18.70M,54.00M,-6.90M,60.90M,,,,,60.90M,80.24M,141.70M,69.00M,72.70M,1.24,,,,1.6340000000000001,1.24,1.23,,,,1.62,1.23,49.10M,49.60M,0.0
2018-01,590.00M,590.00M,219.10M,370.90M,,225.90M,18.80M,36.00M,,18.40M,-18.40M,,280.70M,90.20M,18.40M,-18.40M,3.00M,-18.40M,74.80M,197.30M,-122.50M,,,,,-122.50M,-124.76M,159.80M,66.60M,93.20M,-2.5,,,,-2.546,-2.5,-2.5,,,,-2.546,-2.5,48.90M,48.90M,0.03
2017-10,561.50M,561.50M,208.10M,353.40M,,208.50M,18.60M,17.80M,,10.10M,-10.10M,,244.90M,108.50M,10.10M,-10.10M,-1.80M,-10.10M,96.60M,8.00M,88.60M,,,,,88.60M,88.60M,153.90M,47.20M,106.70M,1.8159999999999998,,,,1.8159999999999998,1.8159999999999998,1.78,,,,1.78,1.78,48.90M,49.90M,0.0
2017-07,556.00M,556.00M,199.80M,356.20M,208.70M,208.70M,17.50M,17.20M,0.00,8.30M,-8.30M,,243.40M,112.80M,8.30M,-8.30M,3.20M,-8.30M,107.70M,4.10M,103.60M,,,,,103.60M,103.60M,163.20M,47.20M,116.00M,2.12,,,,2.12,2.12,2.09,,,,2.09,2.09,48.90M,49.60M,0.03
2017-04,522.40M,522.40M,178.50M,343.90M,193.30M,193.30M,16.80M,16.70M,0.00,7.70M,-7.70M,,226.80M,117.10M,7.70M,-7.70M,0.10M,-7.70M,109.50M,4.60M,104.90M,,,,,104.90M,104.90M,163.40M,46.20M,117.20M,2.14,,,,2.14,2.14,2.12,,,,2.12,2.12,49.00M,49.50M,0.0
2017-01,499.10M,499.10M,186.70M,312.40M,188.60M,188.60M,16.30M,16.80M,,7.30M,-7.30M,,221.70M,90.70M,7.30M,-7.30M,-3.30M,-7.30M,80.10M,4.30M,75.80M,,,,,75.80M,75.80M,135.20M,47.80M,87.40M,1.55,,,,1.55,1.55,1.53,,,,1.53,1.53,48.80M,49.40M,0.03
2016-10,518.60M,518.60M,222.60M,296.00M,189.10M,189.10M,18.00M,14.70M,,5.30M,-5.30M,,221.80M,74.20M,5.30M,-5.30M,-0.10M,-5.30M,68.80M,8.30M,60.50M,,,0.00,,60.50M,60.50M,121.50M,47.40M,74.10M,1.24,,,,1.24,1.24,1.23,,,,1.23,1.23,48.80M,49.30M,0.0
2016-07,514.70M,514.70M,198.10M,316.60M,182.40M,182.40M,15.90M,15.60M,,8.00M,-8.00M,,213.90M,102.70M,8.00M,-8.00M,-1.30M,-8.00M,93.40M,5.20M,88.20M,,,-0.30M,,87.90M,87.90M,150.90M,49.50M,101.40M,1.81,,,,1.81,1.81,1.79,,,,1.79,1.79,48.60M,49.00M,0.03
2016-04,483.80M,483.80M,185.30M,298.50M,177.70M,177.70M,16.70M,14.30M,,7.60M,-7.60M,,208.70M,89.80M,7.60M,-7.60M,0.40M,-7.60M,82.60M,8.20M,74.40M,,,-0.30M,,74.10M,74.10M,138.10M,47.90M,90.20M,1.53,,,,1.53,1.53,1.52,,,,1.52,1.52,48.40M,48.90M,0.0
2016-01,449.60M,449.60M,187.60M,262.00M,173.60M,173.60M,14.80M,16.20M,,5.30M,-5.30M,,204.60M,57.40M,5.30M,-5.30M,-1.40M,-5.30M,50.70M,-1.00M,51.70M,,,-0.30M,,51.40M,51.40M,109.50M,53.50M,56.00M,1.06,,,,1.06,1.06,1.05,,,,1.05,1.05,48.30M,48.80M,0.03
2015-10,455.58M,455.58M,202.23M,253.35M,179.60M,179.60M,18.37M,13.09M,,4.777M,-4.777M,,211.06M,42.28M,4.777M,-4.777M,-1.063M,-4.777M,36.44M,-0.529M,36.97M,,,-0.315M,,36.66M,36.66M,91.32M,50.10M,41.22M,0.7599,,,,0.7599,0.7599,0.75,,,,0.75,0.75,48.74M,49.33M,0.0
2015-07,461.68M,461.68M,188.79M,272.89M,191.78M,191.78M,18.30M,12.50M,,4.69M,-4.69M,,222.58M,50.31M,4.69M,-4.69M,-1.02M,-4.69M,44.60M,-0.642M,45.24M,,,-0.292M,,44.95M,44.95M,103.20M,53.91M,49.29M,0.92,,,,0.92,0.92,0.91,,,,0.91,0.91,48.60M,49.24M,0.03
2015-04,434.68M,434.68M,166.96M,267.72M,167.58M,167.58M,16.82M,12.32M,,4.692M,-4.692M,,196.72M,71.00M,4.692M,-4.692M,0.686M,-4.692M,66.99M,5.855M,61.14M,,,-0.424M,,60.71M,60.71M,116.19M,44.50M,71.68M,1.25,,,,1.25,1.25,1.23,,,,1.23,1.23,48.46M,49.16M,0.0
2015-01,445.17M,445.17M,168.82M,276.35M,173.54M,173.54M,16.11M,13.60M,,3.941M,-3.941M,,203.24M,73.11M,3.941M,-3.941M,-1.702M,-3.941M,67.46M,5.716M,61.75M,,,-0.57M,,61.18M,61.18M,114.29M,42.88M,71.41M,1.27,,,,1.27,1.27,1.25,,,,1.25,1.25,48.20M,49.08M,0.03
2014-10,468.00M,468.00M,188.44M,279.55M,208.02M,208.02M,18.18M,13.98M,,3.252M,-3.252M,,240.18M,39.38M,3.252M,-3.252M,-1.248M,-3.252M,34.88M,3.618M,31.26M,,,-0.471M,,30.79M,30.79M,80.68M,42.55M,38.13M,0.6395,,,,0.6395,0.6395,0.63,,,,0.63,0.63,48.27M,49.14M,0.0
2014-07,432.48M,432.48M,151.89M,280.59M,161.20M,161.20M,16.07M,6.752M,,1.499M,-1.499M,,184.02M,96.56M,1.499M,-1.499M,-0.683M,-1.499M,94.38M,5.711M,88.67M,,,-0.605M,,88.07M,88.07M,128.38M,32.50M,95.88M,1.83,,,,1.83,1.83,1.8,,,,1.8,1.8,48.04M,48.92M,0.03
2014-04,412.32M,412.32M,143.82M,268.50M,155.80M,155.80M,16.30M,7.476M,,1.558M,-1.558M,,179.58M,88.92M,1.558M,-1.558M,0.455M,-1.558M,87.82M,8.185M,79.64M,,,-0.476M,,79.16M,79.16M,121.13M,31.75M,89.38M,1.65,,,,1.65,1.65,1.62,,,,1.62,1.62,47.92M,48.75M,0.0
2014-01,404.98M,404.98M,142.05M,262.93M,158.09M,158.09M,15.71M,7.507M,,1.656M,-1.656M,,181.31M,81.62M,1.656M,-1.656M,-0.51M,-1.656M,79.46M,7.191M,72.26M,,,-0.422M,,71.84M,71.84M,112.51M,31.40M,81.11M,1.5,,,,1.5,1.5,1.47,,,,1.47,1.47,48.01M,49.01M,0.03
2013-10,411.85M,411.85M,147.99M,263.86M,157.25M,157.25M,15.82M,7.686M,,1.90M,-1.90M,,180.75M,83.10M,1.90M,-1.90M,-20.11M,-1.90M,61.09M,3.78M,57.31M,,,0.085M,,57.40M,57.40M,94.76M,31.76M,62.99M,1.196,,,,1.196,1.196,1.15,,,,1.15,1.15,48.70M,49.87M,0.0
2013-07,411.99M,411.99M,143.72M,268.27M,152.14M,152.14M,14.86M,7.66M,,2.258M,-2.258M,,174.67M,93.61M,2.258M,-2.258M,-0.086M,-2.258M,91.26M,2.072M,89.19M,,,-0.241M,,88.95M,88.95M,124.64M,31.12M,93.52M,1.82,,,,1.82,1.82,1.79,,,,1.79,1.79,48.79M,49.75M,0.03
2013-04,384.04M,384.04M,129.86M,254.18M,150.69M,150.69M,14.49M,7.523M,,2.444M,-2.444M,,172.71M,81.47M,2.444M,-2.444M,-0.089M,-2.444M,78.94M,3.473M,75.47M,,,-0.331M,,75.14M,75.14M,112.33M,30.94M,81.38M,1.55,,,,1.55,1.55,1.52,,,,1.52,1.52,48.49M,49.48M,0.0
2013-01,379.84M,379.84M,139.34M,240.50M,136.57M,136.57M,13.65M,7.371M,,2.567M,-2.567M,,157.59M,82.90M,2.567M,-2.567M,0.638M,-2.567M,80.98M,6.041M,74.94M,,,-0.268M,,74.67M,74.67M,115.07M,31.52M,83.54M,1.54,,,,1.54,1.54,1.5,,,,1.5,1.5,48.48M,49.63M,0.03
2012-10,396.30M,396.30M,143.54M,252.76M,147.36M,147.36M,14.12M,7.302M,0.00,2.722M,-2.722M,,168.78M,83.98M,2.722M,-2.722M,1.381M,-2.722M,82.64M,10.49M,72.15M,,,-0.226M,,71.92M,71.92M,116.18M,30.82M,85.36M,1.485,,,,1.485,1.485,1.46,,,,1.46,1.46,48.16M,49.40M,0.0
2012-07,378.19M,378.19M,138.09M,240.10M,143.83M,143.83M,13.16M,5.861M,-1.404M,2.315M,-2.315M,,162.85M,77.25M,2.315M,-2.315M,-3.548M,-2.315M,71.39M,4.433M,66.95M,,,-0.079M,,66.88M,68.19M,101.53M,27.82M,73.70M,1.39,,,,1.4169999999999998,1.39,1.36,,,,1.3869999999999998,1.36,48.11M,49.30M,0.03
2012-04,344.59M,344.59M,123.89M,220.70M,136.96M,136.96M,13.03M,5.263M,,3.071M,-3.071M,,155.26M,65.44M,3.071M,-3.071M,0.31M,-3.071M,62.68M,7.758M,54.92M,,,0.00,,54.92M,54.92M,92.50M,26.75M,65.75M,1.15,,,,1.15,1.15,1.12,,,,1.12,1.12,47.71M,49.01M,0.0
2012-01,326.06M,326.06M,115.61M,210.45M,131.75M,131.75M,11.42M,5.552M,,3.662M,-3.662M,,148.72M,61.73M,3.662M,-3.662M,0.681M,-3.662M,58.75M,4.124M,54.62M,,,0.00,,54.62M,54.62M,88.22M,25.82M,62.41M,1.15,,,,1.15,1.15,1.12,,,,1.12,1.12,47.67M,48.79M,0.03
2011-10,360.91M,360.91M,137.28M,223.63M,,139.68M,11.74M,5.589M,0.128M,2.906M,-2.906M,,157.01M,66.62M,2.906M,-2.906M,-0.835M,-2.906M,62.88M,6.242M,56.64M,,,,,56.64M,56.52M,92.12M,26.34M,65.79M,1.19,,,,1.188,1.19,1.17,,,,1.168,1.17,47.80M,48.15M,0.0
2011-07,351.40M,351.40M,148.59M,202.80M,,133.62M,11.72M,5.493M,0.386M,3.217M,-3.217M,,150.84M,51.97M,3.217M,-3.217M,0.386M,-3.217M,49.14M,4.919M,44.22M,,,,,44.22M,43.87M,77.76M,25.40M,52.35M,0.93,0.0,,,0.9227,0.93,0.9,0.0,,,0.8929,0.9,47.32M,49.01M,0.03
2011-04,325.30M,325.30M,123.54M,201.76M,,126.38M,10.39M,4.734M,-16.27M,4.268M,-4.268M,,141.51M,60.26M,4.268M,-4.268M,-16.27M,-4.268M,39.72M,4.36M,35.36M,,,,,35.36M,49.84M,67.50M,23.51M,43.99M,0.76,0.0,,,1.071,0.76,0.73,0.0,,,1.03,0.73,46.51M,48.24M,0.0
2011-01,293.23M,293.23M,116.62M,176.61M,,113.45M,9.727M,4.713M,-0.734M,6.951M,-6.951M,,127.89M,48.71M,6.951M,-6.951M,-0.734M,-6.951M,41.03M,1.813M,39.22M,,,,,39.22M,39.92M,70.87M,22.89M,47.98M,0.85,0.0,,,0.8653,0.85,0.83,0.0,,,0.8448,0.83,45.99M,47.39M,0.03
2010-10,313.35M,313.35M,125.87M,187.48M,,109.87M,10.49M,4.617M,-53.58M,7.984M,-7.984M,,124.98M,62.50M,7.984M,-7.984M,-54.64M,-7.984M,53.88M,5.678M,48.20M,,,,,48.20M,96.13M,85.08M,23.22M,61.86M,1.06,,,,2.108,1.06,1.03,,,,2.043,1.03,45.74M,47.32M,0.0
2010-07,295.64M,295.64M,119.65M,175.99M,,111.26M,8.588M,4.723M,0.971M,8.729M,-8.729M,,124.58M,51.41M,8.729M,-8.729M,0.971M,-8.729M,43.65M,3.925M,39.73M,,,,,39.73M,38.84M,76.27M,23.89M,52.38M,0.87,0.0,,,0.8506,0.87,0.86,0.0,,,0.841,0.86,45.60M,46.40M,0.03
2010-04,289.27M,289.27M,125.78M,163.49M,,111.34M,8.573M,4.499M,-26.88M,9.73M,-9.73M,,124.41M,39.08M,9.73M,-9.73M,-26.88M,-9.73M,2.472M,-1.984M,4.456M,,,,,4.456M,21.93M,36.19M,23.99M,12.20M,0.1,0.0,,,0.4841,0.1,0.1,0.0,,,0.4768,0.1,45.48M,46.37M,0.0
2010-01,260.26M,260.26M,110.50M,149.76M,,100.58M,7.626M,4.217M,-2.691M,10.22M,-10.22M,,112.42M,37.34M,10.22M,-10.22M,-2.691M,-10.22M,24.43M,4.003M,20.42M,,,,,20.42M,22.67M,57.56M,22.90M,34.65M,0.45,0.0,,,0.4997,0.45,0.44,0.0,,,0.4888,0.44,45.29M,46.12M,0.03
2009-10,283.46M,283.46M,124.55M,158.91M,,102.86M,8.266M,5.37M,0.395M,10.77M,-10.77M,,116.49M,42.41M,10.77M,-10.77M,0.395M,-10.77M,32.04M,1.92M,30.12M,,,,,30.12M,29.75M,67.42M,24.61M,42.81M,0.67,0.0,,,0.6618,0.67,0.66,0.0,,,0.6519,0.66,45.20M,45.81M,0.0
2009-07,285.23M,285.23M,138.84M,146.40M,,100.04M,7.737M,4.233M,-0.617M,11.08M,-11.08M,,112.01M,34.39M,11.08M,-11.08M,-0.617M,-11.08M,22.68M,0.777M,21.91M,,,,,21.91M,22.50M,55.76M,21.99M,33.77M,0.48,0.0,,,0.4932,0.48,0.48,0.0,,,0.493,0.48,45.18M,45.69M,0.03
2009-04,260.59M,260.59M,111.54M,149.06M,,93.70M,10.06M,4.08M,0.26M,10.83M,-10.83M,,107.85M,41.21M,10.83M,-10.83M,0.26M,-10.83M,30.64M,5.988M,24.65M,,,,,24.65M,24.44M,62.47M,21.01M,41.47M,0.55,0.0,,,0.5454,0.55,0.54,0.0,,,0.5354,0.54,45.17M,45.52M,0.0
2009-01,251.14M,251.14M,109.01M,142.14M,,94.99M,7.232M,4.177M,5.191M,11.46M,-11.46M,,106.40M,35.73M,11.46M,-11.46M,5.191M,-11.46M,29.47M,5.595M,23.87M,,,,,23.87M,19.67M,65.92M,25.00M,40.92M,0.53,0.0,,,0.4368,0.53,0.53,0.0,,,0.4368,0.53,45.14M,45.14M,0.03
2008-10,266.84M,266.84M,104.80M,162.04M,,101.26M,9.19M,4.096M,-1.901M,12.34M,-12.34M,,114.54M,47.50M,12.34M,-12.34M,-1.901M,-12.34M,33.26M,3.779M,29.48M,,,,,29.48M,31.16M,65.40M,19.79M,45.60M,0.66,0.0,,,0.6974,0.66,0.64,0.0,,,0.6774,0.64,45.06M,45.06M,0.0
2008-07,278.51M,278.51M,123.42M,155.10M,,110.64M,9.03M,4.211M,1.565M,15.27M,-15.27M,,123.88M,31.22M,15.27M,-15.27M,1.565M,-15.27M,17.52M,-0.363M,17.88M,,,,,17.88M,16.86M,54.04M,21.26M,32.78M,0.4,0.0,,,0.3774,0.4,0.39,0.0,,,0.3683,0.39,44.99M,46.93M,0.03
2008-04,259.25M,259.25M,109.24M,150.01M,,107.53M,9.116M,4.371M,-0.976M,12.07M,-12.07M,,121.02M,28.99M,12.07M,-12.07M,-0.976M,-12.07M,15.95M,4.705M,11.24M,,,,,11.24M,11.93M,49.03M,21.02M,28.02M,0.25,0.0,,,0.2653,0.25,0.25,0.0,,,0.2644,0.25,44.99M,47.74M,0.0
2008-01,242.77M,242.77M,99.89M,142.88M,,109.88M,8.131M,4.097M,-0.823M,11.11M,-11.11M,,122.11M,20.77M,11.11M,-11.11M,-0.823M,-11.11M,9.487M,2.61M,6.877M,,,,,6.877M,7.474M,40.70M,20.11M,20.59M,0.15,0.0,,,0.1633,0.15,0.15,0.0,,,0.1632,0.15,44.94M,45.13M,0.03
2007-10,253.82M,253.82M,136.58M,117.24M,,104.97M,9.277M,4.191M,-7.208M,,,,118.44M,-1.202M,,,-7.208M,,-18.82M,5.369M,-24.19M,,,,,-24.19M,-19.51M,27.66M,28.86M,-1.202M,-0.54,0.0,,,-0.4355,-0.54,-0.54,0.0,,,-0.4355,-0.54,44.84M,44.84M,0.0
2007-07,251.86M,251.86M,105.94M,145.92M,,104.52M,11.51M,4.16M,-1.56M,,,,120.19M,25.73M,,,-1.56M,,13.08M,4.905M,8.18M,,,,,8.18M,9.155M,48.44M,22.71M,25.73M,0.18,0.0,,,0.2018,0.18,0.18,0.0,,,0.2004,0.18,44.78M,47.78M,0.03
2007-04,225.54M,225.54M,99.08M,126.46M,,100.93M,7.957M,4.192M,-2.833M,,,,113.08M,13.37M,,,-2.833M,,-0.378M,0.149M,-0.527M,,,,,-0.527M,1.314M,30.25M,16.87M,13.37M,-0.01,0.0,,,0.0312,-0.01,-0.01,0.0,,,0.0312,-0.01,44.64M,44.64M,0.0
2007-01,219.42M,219.42M,89.51M,129.91M,,97.52M,11.11M,3.651M,-1.046M,,,,112.28M,17.63M,,,-1.046M,,6.789M,1.441M,5.348M,,,,,5.348M,6.172M,33.69M,16.07M,17.63M,0.12,0.0,,,0.1385,0.12,0.12,0.0,,,0.1373,0.12,44.57M,47.57M,0.03
2006-10,216.03M,216.03M,88.33M,127.69M,,94.76M,8.437M,3.541M,1.153M,,,,106.74M,20.96M,,,1.153M,,13.33M,-0.27M,13.60M,,,,,13.60M,12.91M,37.58M,16.63M,20.96M,0.31,0.0,,,0.2945,0.31,0.3,0.0,,,0.2854,0.3,44.54M,47.43M,0.0
2006-07,225.80M,225.80M,88.04M,137.76M,,90.04M,6.264M,3.53M,-5.208M,,,,99.83M,37.93M,,,-5.208M,,24.29M,3.312M,20.98M,,,,,20.98M,25.47M,53.68M,15.75M,37.93M,0.47,0.0,,,0.571,0.47,0.45,0.0,,,0.5447,0.45,44.53M,47.48M,0.03
2006-04,211.40M,211.40M,80.03M,131.36M,,88.60M,13.91M,3.503M,-2.061M,,,-220.00M,-113.98M,245.35M,,,-2.061M,,15.59M,1.892M,13.70M,,,,,13.70M,15.51M,260.44M,15.10M,245.35M,0.31,0.0,,,0.3507,0.31,0.3,0.0,,,0.3381,0.3,44.52M,47.58M,0.0
2006-01,205.74M,205.74M,76.58M,129.16M,,84.45M,5.932M,3.729M,-6.586M,,,,94.11M,35.05M,,,-6.586M,,20.12M,2.169M,17.95M,,,,,17.95M,23.83M,49.23M,14.18M,35.05M,0.4,0.0,,,0.5321,0.4,0.39,0.0,,,0.5134,0.39,44.50M,47.61M,0.03
2005-10,220.64M,220.64M,85.46M,135.18M,,77.33M,27.57M,3.375M,-4.684M,,,,108.27M,26.90M,,,-4.684M,,13.86M,5.297M,8.567M,,,,,8.567M,11.46M,40.82M,13.91M,26.90M,0.0444,,,,0.1145,0.0444,0.0444,0.0,,,0.1101,0.0444,41.26M,44.00M,0.0
2005-07,222.93M,222.93M,84.10M,138.83M,,80.76M,7.124M,3.328M,-2.48M,,,,91.21M,47.62M,,,-2.48M,,37.04M,-0.582M,37.62M,,,,,37.62M,39.11M,61.29M,13.67M,47.62M,0.85,0.0,,,0.8837,0.85,0.8,0.0,,,0.8311,0.8,44.12M,47.85M,0.03
2005-04,215.49M,215.49M,84.78M,130.71M,,79.47M,5.356M,3.391M,0.568M,,,,88.22M,42.49M,,,0.568M,,35.20M,7.374M,27.83M,,,,,27.83M,27.38M,55.37M,12.88M,42.49M,0.63,0.0,,,0.6198,0.63,0.59,0.0,,,0.5807,0.59,43.98M,48.10M,0.0
2005-01,147.55M,147.55M,55.43M,92.12M,,60.40M,2.83M,1.61M,-1.48M,,,,64.84M,27.28M,,,-1.48M,,22.36M,4.646M,17.71M,,,,,17.71M,18.88M,35.46M,8.182M,27.28M,0.5,0.0,,,0.5333,0.5,0.46,0.0,,,0.4897,0.46,35.21M,39.48M,0.03
2004-10,130.81M,130.81M,46.46M,84.36M,,49.41M,1.921M,0.615M,0.539M,,,,51.94M,32.41M,,,0.539M,,31.38M,2.656M,28.72M,,,,,28.72M,28.23M,36.51M,4.096M,32.41M,0.8643,,,,0.8491,0.8643,0.7,0.0,,,0.6882,0.7,32.47M,41.70M,0.0
2004-07,129.08M,129.08M,45.94M,83.13M,,49.01M,1.825M,0.629M,-0.459M,,,,51.47M,31.67M,,,-0.459M,,29.76M,5.707M,24.05M,,,,,24.05M,24.42M,35.70M,4.028M,31.67M,0.74,0.0,,,0.7514,0.74,0.7,0.0,,,0.7109,0.7,32.68M,34.13M,0.03
2004-04,120.55M,120.55M,42.17M,78.38M,,48.88M,1.222M,0.463M,1.182M,,,,50.56M,27.82M,,,1.182M,,27.52M,5.818M,21.70M,,,,,21.70M,20.77M,31.76M,3.938M,27.82M,0.67,0.0,,,0.6414,0.67,0.61,0.0,,,0.5845,0.61,32.55M,36.52M,0.0
2004-01,109.73M,109.73M,39.78M,69.96M,,43.24M,1.525M,0.345M,0.48M,,,,45.11M,24.85M,,,0.48M,,23.84M,5.483M,18.36M,,,,,18.36M,17.99M,28.44M,3.589M,24.85M,0.57,0.0,,,0.5585,0.57,0.55,0.0,,,0.539,0.55,32.17M,33.54M,0.03
2003-10,112.97M,112.97M,38.18M,74.78M,,43.87M,1.579M,0.392M,0.538M,,,,45.84M,28.94M,,,0.538M,,27.69M,6.645M,21.04M,,,,,21.04M,20.63M,32.38M,3.433M,28.94M,0.66,0.0,,,0.6471,0.66,0.6,0.0,,,0.589,0.6,31.74M,37.13M,0.0
2003-07,108.44M,108.44M,39.81M,68.63M,,41.52M,1.40M,0.388M,0.375M,,,,43.31M,25.33M,,,0.375M,,24.05M,5.383M,18.66M,,,,,18.66M,18.37M,28.47M,3.144M,25.33M,0.6,0.0,,,0.5907,0.6,0.58,0.0,,,0.571,0.58,31.25M,32.40M,0.03
2003-04,96.37M,96.37M,33.95M,62.42M,,39.59M,1.279M,0.399M,0.818M,,,,41.27M,21.15M,,,0.818M,,20.28M,5.071M,15.21M,,,,,15.21M,14.60M,24.13M,2.977M,21.15M,0.49,0.0,,,0.4702,0.49,0.48,0.0,,,0.4607,0.48,31.00M,31.79M,0.0
