,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-04,,164.90M,,164.90M,432.60M,432.60M,113.00M,13.80M,378.00M,,504.80M,170.10M,,,1.272B,,,,,,,1.887B,-920.80M,966.50M,2.461B,1.602B,4.063B,36.70M,75.70M,5.142B,6.414B,153.80M,,153.80M,,153.80M,,41.30M,,41.30M,,41.30M,187.70M,460.40M,2.442B,,2.442B,38.00M,38.00M,,109.20M,0.10M,,2.766B,3.226B,5.30M,2.371B,1.542B,415.10M,,-316.00M,3.188B
2018-01,,91.70M,,91.70M,413.80M,413.80M,114.20M,15.60M,376.50M,,506.30M,163.70M,,,1.176B,,,,,,,,,952.00M,2.454B,1.588B,4.042B,22.50M,76.40M,5.093B,6.269B,107.90M,,107.90M,,107.90M,,29.60M,,29.60M,,29.60M,204.00M,415.70M,2.373B,,2.373B,40.80M,40.80M,,106.40M,0.10M,,2.696B,3.112B,5.30M,2.310B,1.529B,415.10M,,-273.00M,3.156B
2017-10,,88.80M,,88.80M,316.60M,316.60M,107.00M,13.30M,333.80M,,454.10M,93.70M,,,953.20M,0.0,17.70M,279.20M,1.270B,,190.10M,1.758B,-847.40M,910.10M,2.355B,504.70M,2.860B,60.30M,75.60M,3.906B,4.859B,142.10M,,142.10M,,142.10M,,23.40M,,23.40M,,23.40M,146.50M,396.10M,1.149B,,1.149B,38.80M,38.80M,,98.70M,0.10M,,1.287B,1.683B,5.20M,2.434B,1.527B,415.10M,,-375.30M,3.176B
2017-07,,46.00M,,46.00M,335.90M,335.90M,104.70M,15.10M,334.10M,,453.90M,96.30M,0.00,,932.10M,,,,,,,,,894.90M,2.334B,487.90M,2.822B,66.10M,68.20M,3.851B,4.783B,112.20M,,112.20M,,112.20M,,,,33.40M,,33.40M,150.10M,371.20M,1.18B,,1.18B,30.90M,30.90M,,107.40M,0.10M,,1.318B,1.690B,5.20M,2.346B,1.517B,389.70M,,-384.80M,3.093B
2017-04,,121.30M,,121.30M,311.20M,311.20M,101.10M,14.70M,321.80M,,437.60M,88.20M,0.00,,958.30M,,,,,,,,,886.50M,2.303B,485.00M,2.788B,59.70M,57.60M,3.792B,4.750B,100.40M,,100.40M,,100.40M,,,,41.30M,,41.30M,139.00M,343.20M,1.346B,,1.346B,25.60M,25.60M,,95.60M,0.20M,,1.467B,1.81B,5.20M,2.243B,1.504B,389.70M,,-423.10M,2.940B
2017-01,,91.10M,,91.10M,290.90M,290.90M,98.00M,13.50M,309.90M,,421.40M,80.50M,0.00,,883.90M,,,,,,,,,879.10M,2.280B,498.50M,2.778B,57.80M,57.60M,3.773B,4.657B,100.30M,,100.30M,,100.30M,,,,223.50M,,223.50M,134.20M,517.90M,1.201B,,1.201B,26.80M,26.80M,,91.60M,0.10M,,1.319B,1.837B,5.20M,2.139B,1.497B,360.10M,,-461.40M,2.819B
2016-10,,100.80M,,100.80M,291.40M,291.40M,86.00M,12.60M,319.10M,,417.70M,77.50M,49.70M,,937.10M,0.0,18.20M,259.90M,1.171B,,154.00M,1.603B,-725.50M,877.70M,2.165B,441.10M,2.606B,6.10M,51.90M,3.542B,4.479B,107.40M,,107.40M,,107.40M,,17.10M,209.20M,226.30M,,226.30M,131.80M,543.20M,1.107B,,1.107B,37.50M,37.50M,,94.60M,0.10M,,1.240B,1.783B,5.20M,2.046B,1.494B,360.10M,,-489.60M,2.696B
2016-07,,62.61M,,62.61M,307.34M,307.34M,85.90M,12.50M,331.90M,-0.041M,430.26M,86.84M,42.59M,,929.64M,,,,,,,,,922.21M,2.228B,454.50M,2.683B,6.696M,51.56M,3.663B,4.593B,87.69M,,87.69M,,87.69M,,,,31.69M,,31.69M,131.97M,320.24M,1.412B,,1.412B,43.77M,43.77M,,78.88M,6.714M,,1.535B,1.855B,5.203M,1.990B,1.476B,360.15M,,-380.03M,2.731B
2016-04,,44.46M,,44.46M,298.82M,298.82M,85.80M,15.60M,332.20M,-0.004M,433.60M,96.97M,41.26M,,915.12M,,,,,,,,,964.36M,2.233B,551.30M,2.785B,5.969M,45.55M,3.800B,4.601B,105.76M,,105.76M,,105.76M,,,,30.19M,,30.19M,127.23M,322.22M,1.411B,,1.411B,37.57M,37.57M,,85.50M,6.705M,,1.534B,1.856B,5.174M,1.903B,1.443B,360.15M,,-253.15M,2.738B
2016-01,,16.05M,,16.05M,278.89M,278.89M,87.00M,14.20M,329.70M,-0.002M,430.90M,78.95M,39.72M,,844.50M,,,,,,,,,948.17M,2.157B,406.80M,2.564B,6.307M,38.72M,3.557B,4.402B,116.43M,,116.43M,,116.43M,,,,46.70M,,46.70M,128.44M,347.97M,1.331B,,1.331B,35.60M,35.60M,,80.88M,6.769M,,1.447B,1.795B,5.168M,1.829B,1.431B,360.15M,,-305.43M,2.600B
2015-10,,16.43M,,16.43M,282.92M,282.92M,80.90M,14.50M,324.30M,-0.008M,419.69M,80.66M,41.73M,,841.43M,0.0,19.80M,226.10M,1.085B,,319.70M,1.651B,-683.60M,967.10M,2.197B,411.10M,2.608B,4.51M,38.66M,3.618B,4.460B,116.91M,,116.91M,,116.91M,,240.40M,3.40M,243.80M,,243.80M,140.70M,568.78M,1.105B,,1.105B,31.02M,31.02M,,80.75M,6.395M,0.008M,1.217B,1.786B,5.156M,1.779B,1.435B,360.15M,,-191.64M,2.668B
2015-07,,17.00M,,17.00M,280.16M,280.16M,78.05M,14.47M,313.44M,,405.97M,72.57M,38.99M,,814.69M,,,,,,,,,974.88M,2.189B,402.29M,2.591B,8.602M,33.07M,3.608B,4.423B,114.48M,,114.48M,,114.48M,,,,237.56M,,237.56M,115.84M,529.59M,1.070B,,1.070B,67.92M,67.92M,,60.94M,6.363M,,1.199B,1.729B,5.154M,1.743B,1.417B,308.84M,,-168.14M,2.688B
2015-04,,17.91M,,17.91M,267.18M,267.18M,76.86M,15.73M,309.94M,,402.54M,76.56M,35.77M,,799.97M,,,,,,,,,961.76M,2.178B,411.23M,2.589B,8.554M,33.60M,3.593B,4.393B,100.54M,,100.54M,,100.54M,,,,242.16M,,242.16M,139.99M,535.64M,1.106B,,1.106B,69.16M,69.16M,,66.58M,6.071M,,1.241B,1.777B,5.151M,1.699B,1.399B,308.84M,,-185.37M,2.610B
2015-01,,16.43M,,16.43M,275.90M,275.90M,77.98M,16.27M,295.85M,,390.10M,68.35M,36.33M,,787.11M,,,,,,,,,928.63M,2.158B,418.04M,2.576B,8.23M,36.16M,3.549B,4.336B,87.34M,,87.34M,,87.34M,,,,92.80M,,92.80M,151.86M,382.58M,1.303B,,1.303B,69.38M,69.38M,,64.26M,16.11M,,1.436B,1.819B,5.121M,1.639B,1.386B,308.84M,,-219.75M,2.501B
2014-10,,25.22M,,25.22M,276.28M,276.28M,76.90M,14.30M,290.30M,-0.026M,381.47M,68.42M,40.22M,,791.62M,0.0,20.60M,205.50M,980.80M,,319.00M,1.526B,-588.60M,937.30M,2.221B,453.60M,2.675B,15.73M,39.14M,3.667B,4.458B,116.35M,4.034M,120.39M,,120.39M,,,,101.52M,,101.52M,152.37M,442.18M,1.281B,,1.281B,69.52M,69.52M,,77.36M,18.56M,,1.428B,1.870B,5.099M,1.579B,1.387B,294.66M,,-106.18M,2.570B
2014-07,,173.79M,,173.79M,261.96M,261.96M,80.11M,13.91M,259.36M,,353.38M,67.23M,39.44M,,895.81M,,,,,,,,,843.41M,1.391B,176.29M,1.567B,18.63M,42.31M,2.472B,3.367B,87.21M,,87.21M,,87.21M,,,,46.49M,,46.49M,104.47M,297.69M,301.45M,,301.45M,26.15M,26.15M,,65.81M,19.20M,,393.41M,691.10M,5.097M,1.548B,1.375B,270.65M,,-0.726M,2.657B
2014-04,,82.66M,,82.66M,239.77M,239.77M,77.96M,12.39M,255.47M,,345.82M,59.18M,37.26M,,764.68M,,,,,,,,,817.44M,1.394B,185.00M,1.579B,15.74M,45.21M,2.457B,3.222B,86.25M,,86.25M,,86.25M,,,,33.92M,,33.92M,92.21M,264.67M,301.51M,,301.51M,25.37M,25.37M,,68.36M,18.73M,,395.24M,659.90M,5.064M,1.461B,1.341B,272.10M,,8.031M,2.543B
2014-01,,28.83M,,28.83M,235.29M,235.29M,77.62M,11.91M,249.96M,,339.50M,61.98M,35.50M,,701.09M,,,,,,,1.295B,-525.17M,769.40M,1.388B,190.81M,1.579B,18.88M,46.58M,2.414B,3.115B,74.77M,1.607M,76.38M,,76.38M,,,,44.15M,,44.15M,97.88M,268.31M,301.59M,,301.59M,24.45M,24.45M,,66.50M,18.63M,,392.54M,660.85M,5.056M,1.382B,1.332B,272.10M,,-12.21M,2.435B
2013-10,,77.39M,,77.39M,229.54M,229.54M,79.33M,10.52M,249.07M,,338.92M,60.22M,41.18M,,747.24M,0.0,16.28M,184.62M,831.36M,,208.32M,1.241B,-500.71M,739.87M,1.388B,198.77M,1.586B,16.28M,47.49M,2.390B,3.137B,108.17M,2.518M,110.69M,,110.69M,0.00,42.99M,,42.99M,,42.99M,104.16M,321.25M,301.67M,,301.67M,24.88M,24.88M,,65.96M,18.96M,,392.51M,713.77M,5.034M,1.312B,1.329B,225.92M,,-15.76M,2.405B
2013-07,,25.48M,,25.48M,247.30M,247.30M,80.25M,13.32M,246.33M,,339.91M,53.31M,40.01M,,706.01M,,,,,,,1.128B,-473.76M,654.10M,1.379B,203.40M,1.582B,17.02M,47.70M,2.301B,3.007B,76.57M,0.01M,76.58M,,76.58M,,,,28.34M,,28.34M,88.54M,249.29M,215.29M,,215.29M,23.30M,23.30M,,81.39M,22.12M,,319.98M,569.27M,5.033M,1.254B,1.315B,102.95M,,-56.39M,2.416B
2013-04,,14.44M,,14.44M,224.49M,224.49M,77.38M,14.27M,247.67M,,339.32M,60.17M,37.36M,,675.79M,,,,,,,1.092B,-455.31M,636.88M,1.382B,210.62M,1.592B,13.94M,47.72M,2.291B,2.967B,73.78M,0.00,73.78M,,73.78M,,,,28.96M,,28.96M,79.01M,228.92M,291.55M,,291.55M,26.35M,26.35M,,83.42M,22.30M,,401.32M,630.24M,5.007M,1.167B,1.292B,105.56M,,-44.00M,2.314B
2013-01,,14.44M,,14.44M,241.17M,241.17M,76.78M,11.95M,236.67M,,325.39M,65.87M,33.97M,,680.85M,,,,,,,1.076B,-438.95M,637.00M,1.375B,214.56M,1.589B,17.07M,45.56M,2.289B,2.970B,61.92M,3.532M,65.45M,,65.45M,,,,30.46M,,30.46M,84.66M,226.13M,377.51M,,377.51M,30.34M,30.34M,,86.01M,17.49M,,493.86M,720.00M,4.975M,1.092B,1.272B,106.86M,,-29.50M,2.232B
2012-10,,12.84M,,12.84M,234.30M,234.30M,75.50M,10.14M,234.56M,,320.20M,51.11M,39.42M,,657.86M,0.0,10.17M,192.16M,766.88M,,90.88M,1.060B,-419.83M,640.26M,1.370B,214.78M,1.585B,14.43M,43.80M,2.284B,2.941B,85.06M,3.64M,88.70M,,88.70M,,25.28M,,25.28M,,25.28M,89.13M,262.55M,348.42M,,348.42M,30.97M,30.97M,,86.28M,20.41M,,465.67M,728.23M,4.945M,1.019B,1.265B,64.75M,,-31.26M,2.193B
2012-07,,12.73M,,12.73M,228.59M,228.59M,66.86M,14.87M,219.96M,,301.69M,47.96M,37.14M,,628.11M,,,,,,,1.018B,-399.96M,617.62M,1.361B,220.35M,1.581B,12.44M,44.90M,2.256B,2.884B,66.25M,1.976M,68.23M,,68.23M,,,,25.86M,,25.86M,89.29M,232.08M,454.22M,,454.22M,30.75M,30.75M,,70.22M,22.18M,,555.20M,787.27M,4.897M,946.70M,1.231B,69.35M,,-38.63M,2.074B
2012-04,,7.745M,,7.745M,202.88M,202.88M,67.72M,12.75M,205.60M,,286.07M,46.36M,33.23M,,576.28M,,,,,,,979.08M,-385.48M,593.60M,1.275B,118.08M,1.394B,20.24M,44.92M,2.052B,2.629B,54.93M,2.507M,57.43M,,57.43M,,,,44.22M,,44.22M,84.10M,228.12M,275.09M,,275.09M,19.01M,19.01M,,68.38M,,,362.48M,590.60M,4.892M,881.26M,1.218B,45.36M,,-21.07M,2.038B
2012-01,,7.681M,,7.681M,200.16M,200.16M,63.92M,11.03M,197.82M,,272.77M,45.54M,29.11M,,555.26M,,,,,,,945.07M,-361.83M,583.24M,1.272B,122.87M,1.395B,21.21M,44.65M,2.044B,2.599B,48.20M,0.383M,48.59M,,48.59M,,,,39.19M,,39.19M,78.46M,206.39M,371.11M,,371.11M,18.63M,18.63M,,65.78M,,,455.52M,661.91M,4.819M,826.34M,1.185B,48.73M,,-29.98M,1.937B
2011-10,,5.175M,,5.175M,214.78M,214.78M,62.83M,15.44M,175.31M,,253.58M,33.12M,33.68M,,540.35M,0.0,6.614M,160.76M,671.66M,,116.94M,955.98M,-346.78M,609.20M,1.277B,128.34M,1.405B,21.83M,48.23M,2.084B,2.625B,61.76M,2.828M,64.58M,,64.58M,,40.48M,12.50M,52.98M,,52.98M,100.85M,267.21M,327.45M,,327.45M,20.13M,20.13M,,72.24M,0.00,,419.82M,687.03M,4.802M,773.14M,1.180B,2.59M,,-18.11M,1.937B
2011-07,,7.872M,,7.872M,218.42M,218.42M,63.41M,10.27M,169.70M,,243.37M,40.92M,33.06M,,543.64M,,,,,,,953.88M,-352.79M,601.09M,1.270B,125.84M,1.396B,27.21M,47.26M,2.072B,2.615B,58.90M,5.933M,64.84M,,64.84M,,,,38.74M,,38.74M,91.06M,237.69M,406.48M,,406.48M,18.96M,18.96M,,64.51M,,,489.96M,727.66M,4.791M,716.50M,1.174B,2.59M,,-4.54M,1.888B
2011-04,,8.43M,,8.43M,203.76M,203.76M,56.67M,9.093M,183.62M,,249.38M,47.87M,28.99M,,538.44M,,,,,,,944.40M,-338.40M,606.00M,1.278B,127.95M,1.406B,29.73M,45.17M,2.087B,2.625B,51.64M,9.426M,61.07M,,61.07M,,,,29.10M,,29.10M,79.48M,206.15M,524.12M,,524.12M,20.96M,20.96M,,63.64M,,,608.72M,814.87M,4.711M,679.79M,1.126B,2.744M,,2.075M,1.810B
2011-01,,3.32M,,3.32M,189.46M,189.46M,51.23M,10.53M,178.24M,,240.00M,43.56M,27.00M,,503.34M,,,,,,,916.24M,-320.42M,595.82M,1.269B,130.38M,1.399B,25.49M,48.17M,2.069B,2.572B,48.34M,3.068M,51.41M,32.64M,84.05M,,,,15.49M,,15.49M,86.54M,186.07M,586.72M,,586.72M,20.20M,20.20M,56.64M,,,,663.56M,849.64M,4.648M,644.43M,1.095B,4.322M,,-17.01M,1.722B
2010-10,,3.573M,,3.573M,197.49M,197.49M,47.41M,8.937M,171.55M,,227.90M,33.55M,28.83M,,491.34M,,,,,,,919.27M,-325.38M,593.89M,1.262B,114.18M,1.376B,23.07M,40.57M,2.034B,2.525B,51.79M,4.494M,56.29M,47.20M,103.49M,,,,19.16M,,19.16M,76.88M,199.52M,591.98M,,591.98M,20.20M,20.20M,,46.54M,,,658.72M,858.24M,4.614M,600.52M,1.084B,4.805M,,-17.33M,1.667B
2010-07,,3.24M,,3.24M,190.06M,190.06M,48.11M,8.367M,177.83M,,234.32M,33.75M,29.91M,,491.27M,,,,,,,886.96M,-317.22M,569.75M,1.256B,118.53M,1.375B,25.72M,41.28M,2.012B,2.503B,41.95M,9.745M,51.70M,68.56M,120.26M,,,,22.30M,,22.30M,81.62M,224.18M,624.37M,,624.37M,15.20M,15.20M,,45.18M,,,684.75M,908.93M,4.598M,552.32M,1.076B,4.805M,,-33.53M,1.594B
2010-04,,9.829M,,9.829M,174.29M,174.29M,44.80M,7.869M,186.09M,,238.76M,42.54M,28.03M,,493.45M,,,,,,,872.46M,-302.97M,569.49M,1.255B,120.86M,1.376B,28.47M,41.78M,2.016B,2.509B,42.82M,10.47M,53.29M,65.84M,119.13M,,,,13.57M,,13.57M,75.56M,208.26M,699.38M,,699.38M,12.58M,12.58M,,46.28M,,,758.24M,966.50M,4.589M,513.97M,1.071B,4.805M,,-41.70M,1.543B
2010-01,,1.822M,,1.822M,174.94M,174.94M,45.76M,7.924M,198.16M,,251.84M,42.46M,25.34M,,496.41M,,,,,,,878.61M,-291.89M,586.72M,1.255B,114.96M,1.370B,25.03M,43.52M,2.025B,2.521B,36.10M,5.981M,42.09M,36.77M,78.86M,,,,19.14M,,19.14M,80.81M,178.81M,724.18M,,724.18M,15.05M,15.05M,,51.31M,,,790.54M,969.34M,4.573M,509.51M,1.067B,4.805M,,-24.04M,1.552B
2009-10,,3.932M,,3.932M,170.94M,170.94M,47.40M,6.122M,207.32M,,260.85M,44.80M,23.36M,,503.88M,,,,,,,882.32M,-279.75M,602.57M,1.257B,114.70M,1.372B,27.78M,45.95M,2.048B,2.552B,36.88M,4.40M,41.28M,39.38M,80.66M,,,,9.844M,,9.844M,84.91M,175.41M,771.63M,,771.63M,16.46M,16.46M,,48.06M,,,836.15M,1.012B,4.557M,490.45M,1.063B,5.035M,,-12.92M,1.540B
2009-07,,3.79M,,3.79M,170.28M,170.28M,51.90M,6.908M,218.04M,,276.85M,46.16M,20.94M,,518.02M,,,,,,,874.44M,-266.10M,608.34M,1.261B,119.81M,1.381B,28.86M,45.62M,2.063B,2.581B,44.87M,11.71M,56.58M,34.58M,91.17M,,,,38.45M,,38.45M,82.52M,212.13M,800.52M,,800.52M,13.06M,13.06M,,41.34M,,,854.92M,1.067B,4.552M,469.96M,1.051B,5.265M,,-5.947M,1.514B
2009-04,,4.472M,,4.472M,156.41M,156.41M,50.34M,8.023M,229.83M,,288.20M,49.82M,25.64M,,524.53M,,,,,,,834.30M,-245.91M,588.39M,1.245B,123.76M,1.369B,26.44M,38.24M,2.022B,2.546B,47.14M,12.82M,59.96M,31.03M,90.98M,,,,47.21M,,47.21M,73.84M,212.04M,848.38M,,848.38M,12.97M,12.97M,,44.38M,,,905.73M,1.118B,4.552M,449.41M,1.049B,5.265M,,-68.85M,1.429B
2009-01,,1.885M,,1.885M,158.76M,158.76M,48.06M,8.679M,229.85M,,286.59M,62.35M,26.95M,,536.53M,,,,,,,809.87M,-228.64M,581.22M,1.241B,127.58M,1.369B,28.44M,35.75M,2.014B,2.551B,45.86M,11.50M,57.36M,38.57M,95.93M,,,,41.79M,,41.79M,116.11M,253.83M,871.37M,,871.37M,12.62M,12.62M,,34.08M,,,918.07M,1.172B,4.552M,424.76M,1.044B,5.419M,,-89.01M,1.379B
2008-10,,1.944M,,1.944M,159.16M,159.16M,45.38M,8.399M,229.68M,,283.45M,55.14M,26.34M,,526.03M,,,,,,,822.35M,-219.70M,602.65M,1.252B,130.59M,1.382B,25.64M,51.00M,2.062B,2.588B,63.64M,4.378M,68.01M,144.38M,212.39M,,,,43.01M,,43.01M,,255.41M,861.78M,,861.78M,15.20M,15.20M,,38.16M,,,915.13M,1.171B,4.548M,402.24M,1.041B,5.419M,,-25.24M,1.417B
2008-07,,3.438M,,3.438M,180.49M,180.49M,50.72M,10.24M,234.90M,,295.86M,,26.28M,62.59M,568.67M,,,,,,,873.60M,-227.68M,645.92M,1.286B,134.88M,1.421B,22.10M,17.78M,2.107B,2.676B,66.04M,,66.04M,21.10M,87.14M,,,,36.89M,,36.89M,115.84M,239.87M,890.87M,,890.87M,12.40M,12.40M,,,,35.79M,939.05M,1.179B,4.536M,372.76M,1.035B,5.419M,,90.15M,1.497B
2008-04,,1.911M,,1.911M,176.27M,176.27M,48.18M,9.306M,235.91M,,293.40M,59.81M,25.28M,,556.67M,,,,,,,859.87M,-221.73M,638.14M,1.257B,138.03M,1.395B,25.25M,14.62M,2.073B,2.630B,68.11M,,68.11M,22.71M,90.82M,,,,39.26M,,39.26M,110.71M,240.79M,901.79M,,901.79M,12.54M,12.54M,,,,40.84M,955.16M,1.196B,4.534M,356.23M,1.031B,5.419M,,47.26M,1.434B
