,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,367.22M,,367.22M,1.415B,1.415B,456.19M,191.15M,459.49M,972.89M,196.94M,,,2.952B,0.00,69.63M,626.01M,1.989B,2.685B,-1.654B,1.031B,4.683B,1.610B,6.293B,,267.73M,7.591B,10.54B,,2018-03,997.70M,430.24M,1.453B,,,425.40M,0.851M,426.25M,,426.25M,,,,,2.081B,,3.032B,,3.032B,438.02M,,438.02M,,4.017B,6.097B,,2018-03,257.28M,5.122B,,-151.52M,-151.52M,4.446B,,2018-03,AOR,Restated
2017-12,753.96M,,753.96M,1.184B,1.184B,400.01M,128.30M,251.40M,677.04M,175.63M,,,2.790B,0.00,54.92M,517.05M,1.473B,2.045B,-1.257B,787.94M,3.686B,1.283B,4.969B,,2.111B,7.868B,10.66B,,2017-12,882.01M,300.45M,1.233B,51.36M,,230.70M,350.40M,581.10M,,581.10M,48.27M,48.27M,,,2.328B,8.043M,2.987B,,2.987B,348.20M,9.916M,435.98M,34.10M,3.947B,6.275B,,2017-12,256.99M,5.077B,,-194.76M,-194.76M,4.383B,,2017-12,AOR,Restated
2017-09,322.04M,,322.04M,1.447B,1.447B,476.16M,170.03M,461.52M,982.20M,117.98M,,,2.869B,0.00,72.51M,633.14M,1.931B,2.636B,-1.624B,1.013B,4.634B,1.741B,6.375B,,236.98M,7.625B,10.49B,,2017-09,976.26M,437.35M,1.432B,,,132.50M,351.59M,484.09M,,484.09M,,,,,2.167B,,2.985B,,2.985B,610.50M,,610.50M,,4.050B,6.218B,,2017-09,256.90M,4.972B,,-192.23M,-192.23M,4.276B,,2017-09,AOR,Restated
2017-06,301.59M,,301.59M,1.396B,1.396B,485.70M,161.84M,437.39M,962.07M,100.18M,,,2.760B,0.00,70.91M,615.39M,1.862B,2.548B,-1.569B,978.62M,4.564B,1.758B,6.322B,,232.28M,7.533B,10.29B,,2017-06,954.12M,428.53M,1.397B,,,253.90M,353.06M,606.96M,,606.96M,,,,,2.215B,,2.925B,,2.925B,630.08M,,630.08M,,4.005B,6.220B,,2017-06,256.85M,4.972B,,-287.38M,-287.38M,4.072B,,2017-06,AOR,Restated
2017-03,415.53M,,415.53M,1.299B,1.299B,475.71M,157.65M,418.78M,942.18M,104.79M,,,2.762B,0.00,69.19M,601.61M,1.815B,2.486B,-1.540B,946.38M,4.509B,1.782B,6.291B,,239.19M,7.476B,10.24B,,2017-03,880.76M,423.78M,1.381B,,,391.30M,357.13M,748.43M,,748.43M,,,,,2.319B,,2.888B,,2.888B,643.36M,,643.36M,,3.966B,6.285B,,2017-03,256.77M,4.972B,,-313.32M,-313.32M,3.953B,,2017-03,AOR,Restated
2016-12,349.15M,,349.15M,1.265B,1.265B,428.29M,138.65M,409.31M,870.49M,104.36M,,,2.589B,0.00,68.58M,597.52M,1.803B,2.469B,-1.523B,945.67M,4.563B,1.803B,6.366B,,215.53M,7.527B,10.12B,,2016-12,830.32M,304.71M,1.209B,48.65M,,407.60M,6.95M,414.55M,,414.55M,42.00M,42.00M,,,2.137B,36.35M,3.207B,,3.207B,710.17M,12.53M,796.39M,30.33M,4.180B,6.316B,,2016-12,256.54M,4.972B,,-359.33M,-359.33M,3.800B,,2016-12,AOR,Restated
2016-09,514.76M,,514.76M,1.199B,1.199B,355.77M,152.29M,426.74M,828.29M,119.42M,,,2.739B,0.00,55.28M,553.66M,1.776B,2.385B,-1.546B,839.43M,4.040B,1.476B,5.516B,,204.19M,6.559B,9.298B,,2016-09,748.80M,361.29M,1.136B,,,507.10M,6.88M,513.98M,,513.98M,,,,20.28M,1.891B,,2.614B,,2.614B,586.41M,,586.41M,,3.618B,5.509B,,2016-09,256.45M,4.972B,,-267.68M,-267.68M,3.789B,,2016-09,AOR,Restated
2016-06,255.14M,,255.14M,1.180B,1.180B,354.17M,154.84M,436.76M,833.91M,110.56M,,,2.380B,0.00,56.10M,555.34M,1.780B,2.392B,-1.538B,853.58M,4.034B,1.500B,5.534B,,211.36M,6.599B,8.979B,,2016-06,723.69M,354.59M,1.099B,,,337.00M,7.157M,344.16M,,344.16M,,,,,1.640B,,2.607B,,2.607B,593.78M,,593.78M,,3.625B,5.265B,,2016-06,256.32M,4.972B,,-281.54M,-281.54M,3.714B,,2016-06,AOR,Restated
2016-03,243.72M,,243.72M,1.167B,1.167B,347.67M,145.95M,467.20M,849.83M,84.89M,,,2.346B,0.00,56.38M,543.29M,1.764B,2.364B,-1.505B,858.98M,4.035B,1.543B,5.578B,,198.14M,6.635B,8.981B,,2016-03,706.19M,348.62M,1.064B,,,401.30M,4.558M,405.86M,,405.86M,,,,,1.649B,,2.611B,,2.611B,603.50M,,603.50M,,3.634B,5.283B,,2016-03,256.25M,4.972B,,-241.61M,-241.61M,3.698B,,2016-03,AOR,Restated
2015-12,362.18M,,362.18M,1.120B,1.120B,333.55M,135.62M,443.03M,802.90M,133.44M,,,2.419B,0.00,55.57M,546.81M,1.772B,2.374B,-1.520B,854.27M,3.737B,1.413B,5.151B,,182.18M,6.187B,8.606B,,2015-12,650.88M,240.86M,923.45M,41.50M,,151.00M,0.122M,151.12M,,151.12M,28.07M,28.07M,,,1.562B,2.964M,2.604B,,2.604B,575.71M,12.44M,662.81M,30.03M,3.399B,4.962B,,2015-12,256.11M,4.972B,,-254.57M,-254.57M,3.645B,,2015-12,AOR,Restated
2015-09,662.67M,,662.67M,1.194B,1.194B,342.17M,147.22M,433.63M,810.72M,84.22M,63.37M,,2.815B,0.00,54.41M,536.88M,1.741B,2.332B,-1.508B,824.03M,3.442B,1.230B,4.672B,,167.87M,5.664B,8.479B,,2015-09,622.81M,351.67M,991.82M,,,161.20M,300.10M,461.30M,,461.30M,,,,,1.669B,,2.225B,,2.225B,569.20M,,569.20M,,3.244B,4.913B,,2015-09,256.07M,4.972B,,-251.14M,-251.14M,3.566B,,2015-09,AOR,Restated
2015-06,595.17M,,595.17M,1.149B,1.149B,353.93M,158.64M,454.39M,844.36M,80.96M,67.22M,,2.737B,0.00,53.53M,535.53M,1.729B,2.319B,-1.491B,827.91M,3.456B,1.276B,4.732B,,169.95M,5.730B,8.467B,,2015-06,606.35M,349.48M,1.037B,,,81.90M,300.05M,381.95M,,381.95M,,,,,1.614B,,2.225B,,2.225B,577.26M,,577.26M,,3.261B,4.874B,,2015-06,256.06M,4.872B,,-197.63M,-197.63M,3.592B,,2015-06,AOR,Restated
2015-03,538.49M,,538.49M,1.133B,1.133B,346.98M,154.76M,483.92M,861.95M,72.22M,65.68M,,2.672B,0.00,53.12M,532.30M,1.694B,2.280B,-1.458B,821.74M,3.464B,1.309B,4.773B,,380.24M,5.975B,8.647B,,2015-03,584.10M,350.78M,967.38M,,,325.50M,300.00M,625.50M,,625.50M,,,,,1.782B,,2.218B,,2.218B,578.44M,,578.44M,,3.286B,5.068B,,2015-03,256.01M,4.572B,,-237.94M,-237.94M,3.579B,,2015-03,AOR,Restated
2014-12,681.58M,,681.58M,1.187B,1.187B,352.02M,147.72M,483.91M,863.74M,101.90M,,,2.834B,0.00,55.08M,537.47M,1.699B,2.291B,-1.454B,837.07M,3.492B,1.370B,4.861B,,498.18M,6.196B,9.030B,,2014-12,615.33M,250.77M,905.12M,46.70M,,478.00M,299.96M,777.96M,,777.96M,20.68M,20.68M,,15.57M,2.268B,2.684M,2.253B,,2.253B,504.62M,8.599M,607.19M,31.84M,3.062B,5.330B,,2014-12,255.89M,4.372B,,-158.93M,-158.93M,3.701B,,2014-12,AOR,Restated
2014-09,706.23M,,706.23M,1.339B,1.339B,389.53M,184.98M,463.14M,908.05M,105.30M,58.16M,,3.116B,0.00,57.02M,558.10M,1.743B,2.358B,-1.539B,818.73M,3.446B,1.327B,4.774B,,250.58M,5.843B,8.959B,,2014-09,649.80M,329.18M,986.29M,,,150.50M,2.566M,153.07M,,153.07M,,,,,1.394B,,2.570B,,2.570B,533.99M,,533.99M,,3.643B,5.037B,,2014-09,255.83M,4.163B,,-35.01M,-35.01M,3.922B,,2014-09,AOR,Restated
2014-06,547.39M,,547.39M,1.303B,1.303B,394.35M,174.40M,453.54M,890.61M,101.36M,60.74M,,2.904B,0.00,58.06M,558.26M,1.737B,2.353B,-1.532B,821.59M,3.351B,1.280B,4.630B,,439.71M,5.892B,8.795B,,2014-06,625.51M,326.46M,954.60M,,,48.00M,2.749M,50.75M,,50.75M,,,,,1.232B,,2.596B,,2.596B,503.79M,,503.79M,,3.667B,4.898B,,2014-06,255.76M,4.088B,,40.33M,40.33M,3.897B,,2014-06,AOR,Restated
2014-03,486.04M,,486.04M,1.238B,1.238B,379.46M,161.34M,434.36M,840.49M,74.60M,62.22M,,2.702B,0.00,58.19M,537.11M,1.724B,2.319B,-1.501B,817.82M,3.329B,1.312B,4.642B,,502.96M,5.963B,8.664B,,2014-03,607.62M,315.06M,957.82M,,,74.30M,2.795M,77.10M,,77.10M,,,,,1.231B,,2.602B,,2.602B,511.83M,,511.83M,,3.685B,4.916B,,2014-03,255.47M,4.063B,,25.75M,25.75M,3.748B,,2014-03,AOR,Restated
2013-12,803.88M,,803.88M,1.077B,1.077B,338.62M,127.61M,367.01M,715.31M,62.04M,60.10M,,2.718B,0.00,56.12M,517.09M,1.596B,2.169B,-1.381B,787.85M,3.109B,1.259B,4.367B,,2.982B,8.137B,10.86B,,2013-12,522.71M,215.32M,782.73M,39.82M,,226.50M,2.778M,229.28M,,229.28M,22.84M,22.84M,,,1.342B,3.10M,2.599B,,2.599B,491.85M,7.751M,821.34M,35.50M,4.136B,5.478B,,2013-12,255.32M,3.772B,,67.72M,67.72M,5.377B,,2013-12,AOR,Restated
2013-09,739.82M,,739.82M,1.438B,1.438B,426.65M,190.24M,487.19M,949.62M,69.86M,66.36M,,3.263B,0.00,65.59M,603.96M,2.337B,3.007B,-1.858B,1.149B,4.159B,1.553B,5.711B,,541.72M,7.402B,10.67B,,2013-09,677.99M,356.92M,1.044B,,,668.90M,3.235M,672.14M,,672.14M,,,,,2.019B,,2.190B,,2.190B,519.35M,,519.35M,,3.362B,5.381B,,2013-09,255.22M,3.722B,,62.88M,62.88M,5.284B,,2013-09,AOR,Restated
2013-06,605.95M,,605.95M,1.399B,1.399B,403.37M,182.94M,384.91M,917.22M,63.08M,63.81M,,3.049B,0.00,64.75M,589.63M,2.285B,2.940B,-1.802B,1.138B,4.106B,1.564B,5.670B,,492.38M,7.300B,10.35B,,2013-06,664.06M,352.65M,1.039B,,,662.20M,3.581M,665.78M,,665.78M,,,,,1.975B,,2.190B,,2.190B,480.94M,,480.94M,,3.393B,5.368B,,2013-06,254.88M,3.665B,,-83.24M,-83.24M,4.981B,,2013-06,AOR,Restated
2013-03,571.36M,,571.36M,1.309B,1.309B,392.20M,184.51M,382.15M,905.95M,65.90M,67.21M,,2.920B,0.00,66.33M,603.73M,2.240B,2.910B,-1.769B,1.141B,4.082B,1.575B,5.656B,,517.36M,7.315B,10.23B,,2013-03,648.41M,339.60M,1.015B,,,698.40M,4.198M,702.60M,,702.60M,,,,,1.951B,,2.190B,,2.190B,487.88M,,487.88M,,3.522B,5.473B,,2013-03,254.68M,3.606B,,-86.18M,-86.18M,4.762B,,2013-03,AOR,Restated
2012-12,800.08M,,800.08M,1.226B,1.226B,386.12M,182.06M,453.50M,872.84M,79.09M,49.94M,,3.028B,0.00,70.08M,605.45M,2.232B,2.907B,-1.740B,1.167B,4.115B,1.625B,5.740B,,508.98M,7.416B,10.44B,,2012-12,651.36M,245.84M,960.22M,41.07M,,607.50M,3.266M,610.77M,,610.77M,39.94M,39.94M,,,1.987B,2.69M,2.189B,,2.189B,462.24M,15.47M,920.45M,28.26M,3.538B,5.525B,,2012-12,254.12M,3.314B,,-54.91M,-54.91M,4.919B,,2012-12,AOR,Restated
2012-09,794.10M,,794.10M,1.412B,1.412B,424.48M,207.71M,345.48M,923.39M,107.01M,40.30M,,3.277B,0.00,63.55M,626.42M,2.223B,2.913B,-1.799B,1.114B,4.047B,1.345B,5.392B,123.75M,3.485M,6.633B,9.910B,,2012-09,607.16M,335.38M,955.93M,,3.134M,,,3.134M,,3.134M,,,,,1.276B,,2.192B,,2.192B,506.58M,,506.58M,,3.422B,4.697B,,2012-09,253.55M,2.958B,,,-6.574M,5.213B,,2012-09,AOR,Restated
2012-06,785.96M,,785.96M,1.320B,1.320B,411.53M,201.32M,361.09M,921.04M,137.98M,40.09M,,3.205B,0.00,63.03M,613.15M,2.168B,2.845B,-1.758B,1.086B,4.021B,1.371B,5.392B,117.97M,3.028M,6.599B,9.804B,,2012-06,620.60M,331.40M,978.37M,,3.402M,,,3.402M,,3.402M,,,,,1.262B,,2.192B,,2.192B,508.08M,,508.08M,,3.432B,4.694B,,2012-06,253.11M,2.764B,,,-99.86M,5.110B,,2012-06,AOR,Restated
2012-03,899.98M,,899.98M,1.274B,1.274B,416.05M,187.48M,330.47M,880.44M,146.26M,38.40M,,3.239B,0.00,63.28M,607.54M,2.113B,2.784B,-1.715B,1.069B,3.960B,1.307B,5.267B,,123.81M,6.460B,9.699B,,2012-03,603.54M,323.38M,952.59M,,3.51M,,,3.51M,,3.51M,,,,,1.206B,,2.192B,,2.192B,477.63M,,477.63M,,3.403B,4.609B,,2012-03,251.31M,2.610B,,,,5.090B,,2012-03,AOR,Restated
2011-12,1.207B,,1.207B,1.119B,1.119B,340.56M,158.82M,289.77M,733.81M,148.39M,40.38M,,3.248B,0.00,51.32M,562.78M,1.947B,2.561B,-1.590B,970.70M,3.507B,1.185B,4.691B,,590.19M,6.252B,9.501B,,2011-12,515.85M,231.10M,801.72M,33.66M,,0.00,1.022M,1.022M,,1.022M,33.78M,33.78M,,,1.140B,4.078M,2.186B,,2.186B,348.52M,29.64M,731.67M,19.48M,3.430B,4.570B,,2011-12,250.59M,2.565B,,-47.51M,-47.51M,4.931B,,2011-12,AOR,Restated
2011-09,917.02M,0.00,917.02M,1.340B,1.340B,383.77M,204.53M,316.68M,848.93M,114.83M,72.14M,,3.293B,0.00,54.41M,579.67M,2.048B,2.682B,-1.689B,992.64M,3.879B,1.215B,5.094B,110.39M,23.13M,6.220B,9.513B,,2011-09,591.94M,340.03M,1.003B,,0.559M,,,0.559M,,0.559M,,,,,1.287B,,2.186B,,2.186B,452.68M,,452.68M,,3.347B,4.634B,,2011-09,250.51M,2.452B,,,17.13M,4.879B,,2011-09,AOR,Restated
2011-06,1.397B,0.00,1.397B,,1.323B,402.17M,212.39M,323.93M,882.51M,71.51M,78.50M,,3.753B,0.00,57.08M,601.81M,2.050B,2.709B,-1.772B,936.80M,3.617B,1.039B,4.655B,113.77M,22.59M,5.729B,9.482B,,2011-06,596.32M,332.32M,968.95M,,47.75M,,,47.75M,,47.75M,,,,,1.264B,,2.186B,,2.186B,446.58M,,446.58M,,3.305B,4.569B,,2011-06,250.46M,2.421B,,,141.46M,4.913B,,2011-06,AOR,Restated
2011-03,1.378B,0.00,1.378B,,1.213B,387.44M,193.66M,316.80M,845.23M,73.30M,81.32M,,3.591B,0.00,56.78M,596.01M,1.992B,2.645B,-1.739B,905.65M,3.616B,1.069B,4.685B,112.50M,65.89M,5.769B,9.360B,,2011-03,591.99M,546.24M,1.234B,,39.60M,,,39.60M,,39.60M,,,,,1.274B,,2.186B,,2.186B,459.68M,,459.68M,,3.342B,4.616B,,2011-03,250.00M,2.352B,,,121.82M,4.744B,,2011-03,AOR,Restated
2010-12,1.187B,121.73M,1.309B,,1.088B,349.63M,161.60M,253.91M,714.11M,61.24M,89.72M,,3.262B,0.00,50.76M,567.94M,1.922B,2.540B,-1.693B,847.19M,3.368B,907.52M,4.276B,111.14M,67.13M,5.301B,8.563B,,2010-12,469.04M,628.93M,1.177B,,16.92M,,,16.92M,,16.92M,,,,,1.194B,,1.791B,,1.791B,381.30M,,381.30M,,2.842B,4.036B,,2010-12,249.36M,2.322B,,,50.16M,4.527B,,2010-12,AOR,Restated
2010-03,690.30M,321.71M,1.012B,,990.40M,299.46M,155.50M,214.08M,619.53M,59.58M,74.19M,,2.756B,0.00,47.04M,551.82M,1.839B,2.438B,-1.615B,822.64M,3.320B,936.00M,4.256B,112.36M,80.37M,5.271B,8.027B,,2010-03,437.60M,495.12M,1.024B,,162.94M,,,162.94M,,162.94M,,,,,1.186B,,1.825B,,1.825B,292.25M,,837.92M,,2.784B,3.970B,,2010-03,247.85M,2.228B,,,0.915M,4.057B,,2010-03,AOR,Restated
2009-12,714.36M,223.81M,938.17M,,878.75M,291.34M,136.73M,191.85M,570.86M,64.92M,70.00M,,2.523B,0.00,48.01M,555.26M,1.841B,2.444B,-1.615B,828.92M,3.350B,950.75M,4.301B,113.11M,116.70M,5.360B,7.882B,,2009-12,357.00M,537.55M,933.55M,,35.62M,,,35.62M,,35.62M,,,,,969.18M,,1.825B,,1.825B,292.34M,,292.34M,,2.830B,3.799B,,2009-12,247.34M,2.199B,,,84.84M,4.084B,,2009-12,AOR,Restated
2009-09,597.50M,332.00M,929.50M,,935.95M,297.53M,138.44M,183.94M,567.32M,79.21M,77.58M,,2.590B,0.00,49.54M,555.52M,1.839B,2.444B,-1.601B,843.31M,3.274B,899.03M,4.173B,114.09M,52.25M,5.183B,7.772B,,2009-09,363.66M,527.58M,909.58M,,33.88M,,,33.88M,,33.88M,,,,,943.45M,,1.827B,,1.827B,325.74M,,902.21M,,2.788B,3.732B,,2009-09,246.79M,2.206B,,,123.16M,4.040B,,2009-09,AOR,Restated
2009-06,693.56M,142.54M,836.10M,,872.19M,305.49M,139.71M,201.78M,592.16M,105.85M,74.02M,,2.480B,0.00,49.27M,546.86M,1.811B,2.407B,-1.558B,849.47M,3.257B,917.06M,4.174B,112.08M,55.02M,5.190B,7.670B,,2009-06,348.97M,503.34M,866.45M,,134.04M,,,134.04M,,134.04M,,,,,1.000B,,1.845B,,1.845B,328.44M,,862.36M,,2.766B,3.767B,,2009-06,246.75M,2.206B,,,50.07M,3.904B,,2009-06,AOR,Restated
2009-03,500.31M,262.64M,762.95M,,873.00M,316.12M,145.52M,215.80M,617.57M,84.28M,78.12M,,2.416B,0.00,48.68M,539.18M,1.785B,2.373B,-1.522B,850.60M,3.245B,926.81M,4.172B,103.84M,54.38M,5.181B,7.597B,,2009-03,345.97M,497.57M,864.29M,,146.65M,,,146.65M,,146.65M,,,,,1.011B,,1.861B,,1.861B,325.97M,,885.84M,,2.812B,3.823B,,2009-03,246.63M,2.206B,,,-21.85M,3.773B,,2009-03,AOR,Restated
2008-12,547.41M,279.46M,826.87M,,1.013B,319.41M,144.02M,231.51M,636.12M,64.34M,73.69M,,2.614B,0.00,49.02M,547.22M,1.793B,2.389B,-1.517B,872.13M,3.256B,952.41M,4.208B,103.90M,69.11M,5.253B,7.867B,,2008-12,373.44M,620.13M,1.013B,,224.94M,,,224.94M,,224.94M,,,,,1.238B,,1.861B,,1.861B,314.40M,,897.01M,,2.837B,4.074B,,2008-12,246.62M,2.206B,,,10.82M,3.793B,,2008-12,AOR,
2008-09,575.93M,219.36M,795.29M,1.194B,1.194B,329.36M,161.86M,260.59M,695.92M,73.57M,67.60M,,2.827B,0.00,55.18M,541.90M,1.809B,2.406B,-1.510B,896.33M,3.320B,1.004B,4.324B,,269.61M,5.490B,8.316B,,2008-09,469.77M,619.17M,1.089B,,408.07M,,,408.07M,,408.07M,,40.02M,40.02M,,1.537B,,1.861B,,1.861B,310.73M,,310.73M,,2.865B,4.402B,,2008-09,246.57M,2.206B,,,204.35M,3.914B,,2008-09,,Restated
