,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,3.859B,3.859B,1.077B,,1.302B,3.274B,179.00M,723.00M,,4.176B,,,381.00M,10.34B,,,,,,,22.92B,,,,,,,,3.762B,26.68B,37.03B,,2.42B,73.00M,569.00M,,3.062B,,3.062B,380.00M,,4.00M,,4.00M,,,,353.00M,3.799B,3.631B,11.12B,,11.12B,3.702B,3.702B,,,,3.368B,,1.931B,20.39B,24.19B,,158.00M,-13.16B,26.67B,3.726B,,-464.00M,9.474B,,AOR,Restated
2018-03,3.702B,3.702B,1.222B,,1.444B,3.067B,138.00M,680.00M,,3.885B,,,367.00M,10.11B,,,,,,,22.79B,,,,,,,,3.739B,26.53B,36.64B,,2.209B,72.00M,749.00M,,3.03B,,3.03B,396.00M,,483.00M,,483.00M,,,,435.00M,4.344B,3.63B,11.12B,,11.12B,3.642B,3.642B,,,,3.27B,,1.972B,20.37B,24.71B,,158.00M,-14.03B,26.73B,3.726B,,-475.00M,8.656B,,AOR,Restated
2017-12,4.526B,4.526B,1.322B,,1.665B,3.01B,154.00M,985.00M,,4.149B,,,286.00M,10.63B,7.553B,16.10B,,2.971B,64.80B,-41.80B,22.99B,,307.00M,307.00M,262.00M,,1.067B,,2.046B,26.68B,37.30B,,1.546B,0.00,712.00M,140.00M,2.398B,477.00M,2.875B,420.00M,,1.414B,,1.414B,91.00M,91.00M,,,4.914B,3.602B,11.82B,,11.82B,3.954B,3.954B,,1.154B,,3.319B,,567.00M,21.09B,26.01B,,158.00M,-14.72B,26.75B,3.723B,,-487.00M,7.977B,,AOR,Restated
2017-09,4.957B,4.957B,1.024B,,1.546B,2.954B,154.00M,749.00M,,3.857B,,,241.00M,11.15B,,,,,22.93B,,22.93B,,,,,,,,3.243B,26.18B,37.33B,,2.098B,,464.00M,,2.562B,,2.562B,419.00M,,2.215B,,2.215B,,,,321.00M,5.517B,3.498B,12.57B,,12.57B,3.771B,3.771B,,,,3.257B,,1.744B,21.58B,27.10B,,158.00M,-15.76B,26.74B,3.722B,,-443.00M,6.973B,,AOR,Restated
2017-06,4.667B,4.667B,802.00M,,1.434B,2.918B,121.00M,603.00M,,3.642B,,,211.00M,10.42B,,,,,23.12B,,23.12B,,,,,,,,3.511B,26.63B,37.04B,,1.88B,,196.00M,,2.076B,,2.076B,379.00M,,2.216B,,2.216B,,,,273.00M,4.944B,3.512B,13.14B,,13.14B,3.87B,3.87B,,,,3.32B,,1.586B,22.11B,27.05B,,158.00M,-16.04B,26.73B,3.72B,,-456.00M,6.673B,,AOR,Restated
2017-03,4.001B,4.001B,734.00M,,1.399B,2.824B,177.00M,762.00M,,3.763B,,,196.00M,9.767B,,,,,23.17B,,23.17B,,,,,,,,3.635B,26.81B,36.58B,,1.78B,,190.00M,,1.97B,,1.97B,388.00M,,2.228B,,2.228B,,,,256.00M,4.842B,3.507B,13.14B,,13.14B,3.786B,3.786B,,,,3.269B,,1.719B,22.15B,26.99B,,158.00M,-16.31B,26.72B,3.717B,,-537.00M,6.318B,,AOR,Restated
2016-12,4.245B,4.245B,1.126B,,2.005B,2.899B,114.00M,629.00M,,3.642B,,,199.00M,10.44B,7.479B,15.47B,,2.831B,63.46B,-40.17B,23.29B,,305.00M,305.00M,303.00M,,769.00M,,2.212B,26.88B,37.32B,,1.54B,,156.00M,205.00M,1.901B,400.00M,2.301B,369.00M,,1.232B,,1.232B,82.00M,82.00M,,205.00M,4.265B,3.538B,14.80B,,14.80B,3.935B,3.935B,43.00M,1.345B,,3.206B,,139.00M,23.80B,28.06B,,157.00M,-16.54B,26.69B,3.708B,,-548.00M,6.051B,,AOR,Restated
2016-09,1.108B,1.108B,788.00M,97.00M,1.75B,2.869B,94.00M,722.00M,,3.685B,,,299.00M,11.50B,,,,,26.04B,,26.04B,,,,,,,,3.857B,29.90B,41.40B,,2.347B,,161.00M,,2.508B,,2.508B,357.00M,,802.00M,,802.00M,,,,821.00M,4.488B,3.725B,18.18B,,18.18B,3.549B,3.549B,,,,4.334B,774.00M,1.618B,27.85B,32.33B,,149.00M,-16.83B,25.60B,3.71B,,-476.00M,4.732B,,AOR,Restated
2016-06,352.00M,352.00M,694.00M,102.00M,1.712B,2.908B,93.00M,743.00M,,3.744B,,,226.00M,10.70B,,,,,26.65B,,26.65B,,,,,,,,3.95B,30.60B,41.30B,,2.569B,,55.00M,,2.624B,,2.624B,322.00M,,770.00M,,770.00M,,,,824.00M,4.54B,3.697B,18.55B,,18.55B,3.758B,3.758B,,,,4.316B,771.00M,1.662B,28.44B,32.98B,,145.00M,-17.05B,25.10B,3.71B,,-488.00M,4.003B,,AOR,Restated
2016-03,331.00M,331.00M,837.00M,122.00M,2.141B,3.605B,118.00M,805.00M,,4.528B,,,233.00M,7.233B,,,,,30.82B,,30.82B,,,,,,,,4.612B,35.43B,42.66B,,2.987B,,30.00M,,3.017B,,3.017B,270.00M,,1.139B,,1.139B,,,,,4.426B,3.762B,19.64B,,19.64B,4.442B,4.442B,,,,4.278B,767.00M,1.659B,30.27B,34.69B,,138.00M,-16.57B,24.33B,3.706B,,-503.00M,3.692B,,AOR,Restated
2015-12,177.00M,177.00M,645.00M,152.00M,2.129B,3.334B,108.00M,633.00M,,4.075B,,,161.00M,7.462B,6.964B,15.59B,,3.716B,64.95B,-33.69B,31.27B,,316.00M,316.00M,327.00M,,715.00M,81.00M,6.41B,39.12B,46.58B,,2.251B,,224.00M,204.00M,2.679B,410.00M,3.089B,272.00M,,649.00M,,649.00M,41.00M,41.00M,,131.00M,4.307B,3.773B,19.68B,,19.68B,3.719B,3.719B,0.00,1.26B,,4.216B,764.00M,170.00M,30.23B,34.53B,,137.00M,-12.39B,24.28B,3.702B,,-503.00M,7.828B,,AOR,Restated
2015-09,338.00M,338.00M,626.00M,1.276B,1.902B,4.247B,102.00M,996.00M,,5.345B,,,570.00M,8.155B,,,,,37.92B,,37.92B,,,,,,,,4.303B,42.23B,50.38B,,3.445B,65.00M,75.00M,,3.585B,,3.585B,336.00M,,906.00M,,906.00M,,,,,4.827B,3.708B,19.79B,,19.79B,4.363B,4.363B,,,,4.259B,761.00M,1.727B,30.35B,35.18B,,127.00M,-8.305B,23.34B,3.702B,,-509.00M,10.95B,,AOR,Restated
2015-06,466.00M,466.00M,949.00M,1.323B,2.272B,4.253B,155.00M,1.023B,,5.431B,,,528.00M,8.697B,,,,,41.06B,,41.06B,,,,,,,,4.255B,45.31B,54.01B,,3.376B,175.00M,67.00M,,3.618B,,3.618B,330.00M,,791.00M,,791.00M,,,,,4.739B,3.716B,20.11B,,20.11B,4.87B,4.87B,,,,4.25B,757.00M,1.76B,31.21B,35.95B,,117.00M,-4.417B,22.33B,3.702B,,-523.00M,13.80B,,AOR,Restated
2015-03,549.00M,549.00M,995.00M,1.401B,2.396B,4.068B,158.00M,1.012B,,5.238B,,,671.00M,8.854B,,,,,42.97B,,42.97B,,,,,,,,4.238B,47.21B,56.06B,,3.111B,60.00M,364.00M,,3.535B,,3.535B,317.00M,,558.00M,,558.00M,,,,,4.41B,3.678B,19.75B,,19.75B,5.625B,5.625B,,,,4.238B,755.00M,1.812B,31.62B,36.03B,,117.00M,-2.398B,22.31B,3.701B,,-532.00M,15.79B,,AOR,Restated
2014-12,464.00M,464.00M,953.00M,288.00M,2.563B,4.088B,174.00M,1.099B,,5.361B,,,657.00M,9.045B,5.10B,15.22B,,6.802B,64.16B,-18.62B,45.54B,,,334.00M,328.00M,201.00M,574.00M,113.00M,2.542B,49.63B,58.67B,,2.439B,335.00M,547.00M,327.00M,3.648B,539.00M,4.187B,296.00M,,478.00M,,478.00M,105.00M,105.00M,,,5.172B,3.703B,18.37B,,18.37B,6.555B,6.555B,,1.43B,,4.187B,751.00M,218.00M,31.03B,36.20B,,117.00M,128.00M,22.28B,3.695B,,-544.00M,18.29B,,AOR,Restated
2014-09,658.00M,658.00M,1.514B,793.00M,2.307B,4.245B,129.00M,1.115B,,5.489B,,,577.00M,9.031B,,,,,48.64B,,48.64B,1.717B,,1.717B,,,,,4.587B,54.94B,63.98B,,3.784B,334.00M,153.00M,,4.271B,,4.271B,310.00M,,1.762B,,1.762B,,,,,6.343B,3.654B,17.98B,,17.98B,7.559B,7.559B,,,,4.375B,749.00M,1.73B,31.67B,38.01B,,117.00M,3.306B,22.25B,3.686B,,-394.00M,21.59B,,AOR,Restated
2014-06,1.458B,1.458B,1.838B,920.00M,2.758B,4.002B,154.00M,1.214B,,5.37B,,,668.00M,10.25B,,,,,47.23B,,47.23B,1.717B,,1.717B,,,,,4.805B,53.76B,64.01B,,3.95B,334.00M,240.00M,,4.524B,,4.524B,250.00M,,2.784B,,2.784B,,,,,7.558B,3.294B,17.51B,,17.51B,7.451B,7.451B,,,,4.335B,745.00M,1.782B,30.78B,38.34B,,117.00M,3.081B,22.22B,3.686B,,-401.00M,21.33B,,AOR,Restated
2014-03,1.342B,1.342B,1.511B,866.00M,2.377B,3.763B,188.00M,1.269B,,5.22B,,,491.00M,9.43B,,,,,48.07B,,48.07B,1.916B,,1.916B,,,,,4.431B,54.41B,63.84B,,3.543B,333.00M,162.00M,,4.038B,,4.038B,254.00M,,1.091B,,1.091B,,,,,5.383B,3.276B,19.76B,,19.76B,7.504B,7.504B,,,,4.333B,743.00M,1.695B,32.98B,38.36B,,117.00M,2.926B,22.19B,3.683B,,-402.00M,21.15B,,AOR,Restated
2013-12,1.985B,1.985B,1.728B,139.00M,2.562B,3.673B,199.00M,1.146B,,5.018B,,,407.00M,9.972B,4.334B,14.28B,,5.603B,58.96B,-11.56B,47.40B,1.916B,380.00M,2.296B,178.00M,186.00M,404.00M,0.00,3.036B,53.50B,63.47B,,2.144B,333.00M,326.00M,379.00M,3.182B,562.00M,3.744B,236.00M,312.00M,312.00M,,312.00M,115.00M,115.00M,,205.00M,4.773B,3.259B,20.39B,,20.39B,7.497B,7.497B,,1.225B,115.00M,4.297B,716.00M,263.00M,33.47B,38.24B,,117.00M,2.742B,22.16B,3.681B,,-405.00M,20.93B,,AOR,Restated
2013-09,2.219B,2.219B,1.749B,480.00M,2.229B,3.66B,80.00M,1.113B,,4.853B,,,305.00M,9.606B,,,,,,,46.65B,1.932B,,1.932B,,,,,4.413B,52.99B,62.60B,,3.698B,332.00M,141.00M,,4.171B,,4.171B,257.00M,,70.00M,,70.00M,,,,,4.498B,3.077B,21.05B,,21.05B,6.922B,6.922B,,,,4.149B,720.00M,1.774B,33.55B,38.04B,,117.00M,2.361B,22.09B,3.681B,,-484.00M,20.40B,,AOR,Restated
2013-06,3.294B,3.294B,1.244B,635.00M,1.879B,3.648B,244.00M,1.054B,,4.946B,,,459.00M,10.58B,,,,,,,46.21B,1.904B,,1.904B,,,,,4.461B,52.58B,63.16B,,3.771B,1.368B,114.00M,,5.253B,,5.253B,284.00M,,73.00M,,73.00M,,,,,5.61B,3.106B,21.14B,,21.14B,6.84B,6.84B,,,,3.989B,782.00M,1.81B,33.68B,39.29B,,117.00M,1.865B,22.07B,3.681B,,-495.00M,19.88B,,AOR,Restated
2013-03,9.595B,9.595B,1.082B,687.00M,1.769B,3.444B,237.00M,1.128B,,4.809B,,,410.00M,16.58B,,,,,,,21.69B,,,,,,,,4.316B,26.00B,42.59B,,2.892B,,125.00M,,3.017B,,3.017B,254.00M,,4.00M,,4.00M,,,,,3.275B,2.13B,10.09B,,10.09B,3.58B,3.58B,,,,3.909B,,1.666B,17.46B,20.74B,,107.00M,2.75B,19.16B,3.58B,,-500.00M,17.94B,,AOR,Restated
2012-12,3.705B,3.705B,927.00M,266.00M,1.629B,3.413B,252.00M,911.00M,,4.576B,,,387.00M,10.30B,3.811B,12.92B,,3.402B,31.01B,-10.01B,21.00B,0.00,334.00M,334.00M,632.00M,181.00M,494.00M,220.00M,2.283B,25.14B,35.44B,,1.568B,299.00M,185.00M,97.00M,2.149B,322.00M,2.471B,241.00M,2.00M,2.00M,,2.00M,94.00M,478.00M,384.00M,11.00M,3.343B,2.127B,3.525B,,3.525B,3.597B,3.597B,,1.34B,0.00,3.768B,0.00,197.00M,10.79B,14.13B,,107.00M,2.399B,19.12B,3.576B,,-506.00M,17.54B,,AOR,Restated
2012-09,3.727B,3.727B,1.666B,,1.666B,1.465B,,1.374B,1.595B,4.434B,,,353.00M,10.18B,,,,,22.16B,,22.16B,,321.00M,321.00M,,,1.004B,,847.00M,24.34B,34.52B,,2.531B,299.00M,59.00M,,2.889B,,2.889B,,,2.00M,,2.00M,,,,259.00M,3.15B,,3.521B,,3.521B,3.378B,3.378B,,,,3.604B,,3.725B,10.62B,13.77B,,107.00M,1.953B,19.09B,3.576B,,-439.00M,17.14B,,AOR,Restated
2012-06,4.508B,4.508B,1.315B,,1.315B,1.377B,,1.182B,1.466B,4.025B,,,328.00M,10.18B,,,,,21.46B,,21.46B,,324.00M,324.00M,,,860.00M,,868.00M,23.51B,33.69B,,2.364B,299.00M,48.00M,,2.711B,,2.711B,,,4.00M,,4.00M,,,,227.00M,2.942B,,3.519B,,3.519B,3.55B,3.55B,,,,3.312B,,3.788B,10.86B,13.80B,,107.00M,1.426B,19.07B,3.575B,,-448.00M,16.58B,,AOR,Restated
2012-03,4.496B,4.496B,1.437B,,1.437B,1.45B,,1.254B,1.392B,4.096B,,,223.00M,10.25B,,,,,20.73B,,20.73B,,326.00M,326.00M,,,727.00M,,867.00M,22.65B,32.90B,,2.14B,298.00M,229.00M,,2.667B,253.00M,2.92B,,,4.00M,,4.00M,,,,,2.924B,,5.687B,,5.687B,3.413B,3.413B,,,,3.164B,,1.582B,10.68B,13.61B,,107.00M,1.013B,19.04B,3.575B,,-453.00M,16.14B,,AOR,Restated
2011-12,4.822B,4.822B,892.00M,180.00M,1.142B,2.904B,187.00M,778.00M,,3.869B,,,214.00M,10.05B,3.151B,11.03B,,2.704B,25.98B,-7.526B,18.45B,,325.00M,325.00M,658.00M,168.00M,507.00M,2.00M,1.914B,22.02B,32.07B,,1.353B,240.00M,255.00M,174.00M,2.022B,326.00M,2.348B,236.00M,,4.00M,,4.00M,69.00M,172.00M,103.00M,,2.94B,2.188B,3.533B,,3.533B,3.383B,3.383B,,1.316B,,2.911B,,157.00M,10.58B,13.52B,,107.00M,546.00M,19.01B,3.553B,,-465.00M,15.64B,,AOR,Restated
2011-09,5.128B,5.128B,1.446B,,1.446B,2.49B,,1.231B,,3.721B,,,413.00M,10.71B,,,,,19.56B,,19.56B,,321.00M,321.00M,,,,,1.114B,21.00B,31.71B,,2.58B,240.00M,110.00M,,2.93B,201.00M,3.131B,,,4.00M,,4.00M,,,,46.00M,3.181B,,3.531B,,3.531B,3.365B,3.365B,,,,2.694B,,3.58B,10.48B,13.66B,,107.00M,144.00M,18.97B,3.554B,,-314.00M,15.36B,,AOR,Restated
2011-06,4.378B,4.378B,1.785B,,1.785B,1.277B,,1.399B,1.072B,3.748B,,,262.00M,10.17B,,,17.50B,,19.02B,,19.02B,,323.00M,323.00M,,,,,1.06B,20.41B,30.58B,,2.343B,239.00M,258.00M,,2.84B,,2.84B,,,5.00M,,5.00M,,,,261.00M,3.106B,,3.537B,,3.537B,3.265B,3.265B,,,,2.594B,,3.569B,10.37B,13.48B,,107.00M,-672.00M,18.94B,3.553B,,-316.00M,14.51B,,AOR,Restated
2011-03,4.09B,4.09B,1.899B,,1.899B,1.199B,1.06B,1.45B,,3.709B,,1.168B,280.00M,11.15B,,,,,,,17.08B,,325.00M,325.00M,,,,,2.461B,19.86B,31.01B,,2.318B,239.00M,806.00M,,3.363B,,3.363B,,,1.17B,,1.17B,,,,218.00M,4.751B,,3.582B,,3.582B,3.056B,3.056B,,,,2.29B,,3.528B,10.17B,14.92B,,107.00M,-1.328B,18.89B,3.553B,,-318.00M,13.80B,,AOR,Restated
2010-12,3.738B,3.738B,2.327B,,2.425B,1.169B,,1.409B,856.00M,3.434B,,,254.00M,9.851B,2.815B,15.49B,3.188B,1.885B,23.38B,-6.594B,16.78B,,328.00M,328.00M,,,,,2.422B,19.54B,29.39B,,1.272B,240.00M,800.00M,,2.312B,492.00M,2.804B,,,95.00M,,95.00M,180.00M,241.00M,61.00M,623.00M,3.763B,,4.66B,,4.66B,2.873B,2.873B,,,,2.056B,,3.53B,11.06B,14.83B,,107.00M,-2.59B,18.75B,3.441B,,-323.00M,12.50B,,AOR,Restated
2010-06,3.042B,3.042B,1.244B,,1.244B,1.242B,282.00M,604.00M,768.00M,2.896B,,,111.00M,7.293B,,,,,17.62B,,17.62B,,333.00M,333.00M,,,,,728.00M,18.69B,25.98B,,2.065B,329.00M,240.00M,,2.634B,,2.634B,,,299.00M,,299.00M,,,,50.00M,2.983B,,6.689B,,6.689B,2.612B,2.612B,,,,1.761B,,1.402B,10.70B,13.69B,,59.00M,-4.466B,18.64B,3.432B,,-268.00M,10.53B,,AOR,Restated
2010-03,3.752B,3.752B,1.733B,,1.733B,1.326B,336.00M,577.00M,732.00M,2.971B,,,110.00M,8.566B,,,,,17.50B,,17.50B,,336.00M,336.00M,,,,,716.00M,18.55B,27.11B,,2.133B,98.00M,815.00M,,3.046B,,3.046B,,,1.186B,,1.186B,,,,75.00M,4.307B,,7.063B,,7.063B,2.513B,2.513B,,,,1.841B,,1.397B,10.97B,15.28B,,2.884B,-4.973B,15.78B,3.432B,2.829B,-270.00M,9.992B,,AOR,Restated
2009-12,2.656B,2.656B,1.664B,,1.803B,1.093B,,1.11B,667.00M,2.87B,,,104.00M,7.433B,2.703B,15.02B,2.983B,1.084B,21.79B,-5.593B,16.20B,,347.00M,347.00M,,,,,2.021B,18.56B,26.00B,,890.00M,99.00M,607.00M,,1.596B,428.00M,2.024B,,,16.00M,,16.00M,54.00M,255.00M,201.00M,707.00M,3.002B,,6.33B,,6.33B,2.503B,2.503B,,,,1.638B,,3.404B,12.24B,15.24B,,2.973B,-5.805B,15.64B,3.413B,2.875B,-273.00M,9.119B,,AOR,Restated
2009-09,2.269B,2.269B,1.466B,,1.856B,1.298B,386.00M,630.00M,602.00M,2.916B,,,365.00M,7.406B,,,,,16.08B,,16.08B,,342.00M,342.00M,140.00M,,,,1.742B,18.30B,25.70B,,1.986B,,940.00M,,2.926B,,2.926B,,,44.00M,,44.00M,,,,187.00M,3.157B,,6.578B,,6.578B,2.66B,2.66B,,,,1.725B,,3.376B,12.61B,15.77B,,2.93B,-6.711B,15.63B,3.413B,2.875B,-224.00M,8.209B,,AOR,Restated
2009-06,1.319B,1.319B,2.065B,,2.065B,1.204B,276.00M,618.00M,585.00M,2.683B,,,269.00M,6.336B,,,,,16.09B,,16.09B,,355.00M,355.00M,145.00M,,,,1.696B,18.29B,24.62B,,1.82B,,589.00M,,2.409B,,2.409B,,,580.00M,,580.00M,,,,,2.989B,,8.812B,,8.812B,2.632B,2.632B,,,,1.562B,,1.36B,12.80B,15.79B,,3.76B,-7.636B,14.78B,3.409B,3.707B,-231.00M,7.269B,,AOR,Restated
2009-03,644.00M,644.00M,1.71B,,1.71B,1.213B,277.00M,705.00M,571.00M,2.766B,,,280.00M,5.40B,,,,,17.36B,,17.36B,,359.00M,359.00M,139.00M,,,,452.00M,18.31B,23.71B,,1.941B,,442.00M,,2.383B,,2.383B,,,265.00M,,265.00M,,,,,2.648B,,9.107B,,9.107B,2.471B,2.471B,,,,,,1.40B,12.98B,15.63B,,3.76B,-8.224B,14.76B,3.409B,3.707B,-237.00M,8.082B,,AOR,Restated
