,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,OtherIncomeandExpenses,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-09,1.239B,1.239B,522.70M,716.00M,14.00M,153.50M,167.50M,,,,0.00,,,167.50M,548.50M,67.30M,615.80M,211.60M,404.20M,,-13.30M,390.90M,347.34M,583.50M,35.00M,548.50M,1.59,,,,1.409,1.59,1.56,,,,1.382,1.56,240.30M,244.40M,0.57
2017-06,1.186B,1.186B,503.00M,683.00M,18.70M,156.70M,175.40M,,,,0.00,,,175.40M,507.60M,112.00M,619.60M,229.60M,390.00M,,-16.10M,373.90M,304.21M,543.90M,36.30M,507.60M,1.52,,,,1.229,1.52,1.5,,,,1.213,1.5,239.80M,243.00M,0.57
2017-03,1.133B,1.133B,495.80M,636.80M,25.70M,139.40M,165.10M,,,,50.00M,,,165.10M,471.70M,165.00M,636.70M,236.30M,400.40M,,-14.50M,385.90M,282.93M,507.30M,35.60M,471.70M,1.56,,,,1.135,1.56,1.54,,,,1.121,1.54,242.10M,245.50M,0.57
2016-12,1.153B,1.153B,648.50M,504.60M,27.50M,410.40M,437.90M,,,,100.00M,,,41.30M,463.30M,112.20M,575.50M,208.70M,366.80M,,13.00M,379.80M,307.14M,496.70M,33.40M,463.30M,1.53,,,,1.2309999999999999,1.53,1.5,,,,1.205,1.5,242.80M,246.70M,0.54
2016-09,1.093B,1.093B,422.90M,670.00M,14.70M,45.30M,60.00M,,,45.30M,0.00,,100.30M,194.30M,475.70M,88.30M,564.00M,201.30M,362.70M,,-34.90M,327.80M,271.02M,509.70M,34.00M,475.70M,1.3,,,,1.069,1.3,1.28,,,,1.053,1.28,245.60M,250.10M,0.54
2016-06,1.045B,1.045B,406.60M,638.10M,14.90M,40.80M,55.70M,,,40.80M,-166.20M,,98.90M,188.40M,449.70M,-124.70M,325.00M,113.80M,211.20M,,-7.90M,203.30M,284.21M,483.50M,33.80M,449.70M,0.81,,,,1.138,0.81,0.79,,,,1.11,0.79,246.90M,252.60M,0.54
2016-03,994.10M,994.10M,389.10M,605.00M,23.10M,41.40M,64.50M,,,41.40M,0.00,,97.40M,194.10M,410.90M,85.10M,496.00M,182.70M,313.30M,,-9.20M,304.10M,250.35M,443.10M,32.20M,410.90M,1.21,,,,0.9921,1.21,1.18,,,,0.9666,1.18,246.70M,251.90M,0.54
2015-12,1.052B,1.052B,394.10M,658.10M,27.00M,40.70M,67.70M,,,40.70M,0.00,,103.50M,203.10M,455.00M,43.40M,498.40M,195.20M,303.20M,,0.00,303.20M,276.37M,486.90M,31.90M,455.00M,1.2,,,,1.092,1.2,1.18,,,,1.075,1.18,249.50M,254.90M,0.52
2015-09,1.049B,1.049B,417.50M,631.50M,13.20M,40.30M,53.50M,,,40.30M,0.00,,86.60M,173.20M,458.30M,0.30M,458.60M,181.50M,277.10M,,0.00,277.10M,275.89M,491.40M,33.10M,458.30M,1.08,,,,1.075,1.08,1.06,,,,1.055,1.06,252.70M,258.60M,0.52
2015-06,1.072B,1.072B,399.50M,672.90M,14.20M,39.90M,54.10M,,,39.90M,0.00,,78.80M,165.10M,507.80M,33.00M,540.80M,207.60M,333.20M,,0.00,333.20M,312.99M,540.00M,32.20M,507.80M,1.28,,,,1.202,1.28,1.24,,,,1.1640000000000001,1.24,257.70M,264.60M,0.52
2015-03,1.027B,1.027B,384.00M,643.00M,25.30M,38.30M,63.60M,,,38.30M,,,72.50M,165.20M,477.80M,26.80M,504.60M,195.10M,309.50M,,0.00,309.50M,292.39M,506.90M,29.10M,477.80M,1.16,,,,1.094,1.16,1.13,,,,1.0659999999999998,1.13,258.70M,265.70M,0.52
2014-12,1.022B,1.022B,375.00M,647.40M,26.10M,36.60M,62.70M,,,36.60M,,,76.40M,167.40M,480.00M,38.80M,518.80M,202.90M,315.90M,,,315.90M,290.75M,508.30M,28.30M,480.00M,1.21,,,,1.112,1.21,1.18,,,,1.085,1.18,257.80M,265.00M,0.44
2014-09,1.021B,1.021B,383.80M,637.00M,12.70M,35.90M,48.60M,,,35.90M,,,71.40M,148.30M,488.70M,5.20M,493.90M,190.30M,303.60M,,,303.60M,300.40M,517.00M,28.30M,488.70M,1.15,,,,1.138,1.15,1.12,,,,1.1079999999999999,1.12,259.70M,267.40M,0.44
2014-06,984.30M,984.30M,361.80M,622.50M,14.60M,36.00M,50.60M,,,36.00M,,,70.80M,149.40M,473.10M,26.10M,499.20M,193.40M,305.80M,,,305.80M,289.81M,501.10M,28.00M,473.10M,1.16,,,,1.099,1.16,1.13,,,,1.07,1.13,260.70M,268.70M,0.44
2014-03,954.60M,954.60M,352.60M,602.00M,22.60M,35.40M,58.00M,,,35.40M,,,67.80M,152.90M,449.10M,42.10M,491.20M,186.90M,304.30M,,,304.30M,278.22M,476.20M,27.10M,449.10M,1.16,,,,1.06,1.16,1.12,,,,1.023,1.12,260.40M,268.60M,0.44
2013-12,929.70M,929.80M,330.60M,599.20M,28.10M,34.80M,62.90M,,,34.80M,,,71.10M,159.10M,440.10M,31.70M,471.80M,184.10M,287.70M,,,287.70M,268.37M,465.20M,25.10M,440.10M,1.1,,,,1.026,1.1,1.07,,,,0.9977,1.07,259.50M,267.50M,0.38
2013-09,884.20M,884.40M,321.80M,562.60M,14.70M,32.90M,47.60M,,,32.90M,,,67.00M,136.70M,425.90M,11.60M,437.50M,167.20M,270.30M,,,270.30M,263.13M,448.00M,22.10M,425.90M,1.03,,,,1.002,1.03,1.0,,,,0.9731,1.0,258.70M,266.50M,0.38
2013-06,854.20M,854.30M,316.40M,537.90M,19.10M,35.10M,54.20M,,,35.10M,,,63.00M,139.10M,398.80M,1.40M,400.20M,152.40M,247.80M,,,247.80M,246.93M,420.70M,21.90M,398.80M,0.95,,,,0.9466,0.95,0.92,,,,0.9167,0.92,258.20M,266.20M,0.38
2013-03,815.40M,815.70M,305.30M,510.40M,25.10M,33.00M,58.10M,,,33.00M,,,58.20M,137.80M,372.60M,18.30M,390.90M,149.00M,241.90M,,,241.90M,230.58M,394.10M,21.50M,372.60M,0.93,,,,0.8859,0.93,0.91,,,,0.8672,0.91,256.90M,264.90M,0.38
2012-12,787.00M,787.30M,287.40M,499.90M,25.40M,32.20M,57.60M,,,32.20M,,,59.80M,138.70M,361.20M,16.90M,378.10M,146.10M,232.00M,,,232.00M,221.63M,382.50M,21.00M,361.20M,0.91,,,,0.8692,0.91,0.88,,,,0.8404,0.88,254.00M,261.90M,0.34
2012-09,769.20M,769.70M,288.20M,481.50M,17.50M,31.00M,48.50M,,,31.00M,,,53.50M,122.60M,358.90M,41.40M,400.30M,153.00M,247.30M,,,247.30M,221.71M,379.60M,20.70M,358.90M,0.97,,,,0.8689,0.97,0.94,,,,0.8417,0.94,253.00M,260.30M,0.34
2012-06,736.40M,736.80M,285.20M,451.60M,19.80M,31.40M,51.20M,,,31.40M,,,52.50M,123.60M,328.00M,7.40M,335.40M,128.60M,206.80M,,,206.80M,202.24M,348.00M,20.00M,328.00M,0.81,,,,0.792,0.81,0.79,,,,0.7725,0.79,253.40M,260.60M,0.34
2012-03,728.10M,728.70M,282.90M,445.80M,25.80M,30.10M,55.90M,,,30.10M,,,54.60M,129.60M,316.20M,5.10M,321.30M,123.80M,197.50M,,,197.50M,194.37M,335.40M,19.20M,316.20M,0.78,,,,0.7676,0.78,0.75,,,,0.738,0.75,253.10M,261.00M,0.34
2011-12,669.30M,671.60M,1.044B,-372.80M,-28.60M,-714.10M,-742.70M,,,,,,57.30M,-666.40M,293.60M,12.90M,306.50M,118.10M,188.40M,,,188.40M,180.47M,312.70M,19.10M,293.60M,0.74,,,,0.7086,0.74,0.72,,,,0.6893,0.72,252.30M,258.20M,0.31
2011-09,679.40M,679.40M,,679.40M,39.50M,280.80M,320.30M,18.50M,,,,,45.40M,384.20M,295.20M,1.30M,296.50M,111.00M,185.50M,,,185.50M,184.69M,313.80M,18.60M,295.20M,0.73,0.0,,,0.7268,0.73,0.71,0.0,,,0.7069,0.71,253.70M,260.00M,0.31
2011-06,713.70M,713.70M,50.10M,663.60M,20.60M,248.80M,269.40M,17.90M,,,5.60M,,49.70M,337.00M,326.60M,5.60M,332.20M,127.50M,204.70M,,,204.70M,201.25M,344.60M,18.00M,326.60M,0.79,0.0,,,0.7766,0.79,0.76,0.0,,,0.7471,0.76,258.00M,266.70M,0.31
2011-03,682.40M,682.40M,40.40M,642.00M,25.40M,242.90M,268.30M,16.60M,,,3.90M,,45.60M,330.50M,311.50M,3.90M,315.40M,120.80M,194.60M,,,194.60M,192.19M,328.20M,16.70M,311.50M,0.75,0.0,,,0.7405,0.75,0.72,0.0,,,0.7108,0.72,253.10M,261.00M,0.31
2010-12,644.60M,647.50M,903.60M,-256.10M,24.70M,-607.70M,-583.00M,,,,,,28.30M,-538.90M,282.80M,15.40M,298.20M,106.60M,191.60M,,,191.60M,181.71M,298.70M,15.90M,282.80M,0.74,,,,0.7015,0.74,0.72,,,,0.6829,0.72,256.90M,266.60M,0.27
2010-09,586.10M,586.10M,,586.10M,18.60M,242.50M,261.10M,,,,,,47.20M,324.20M,261.90M,8.90M,270.80M,101.70M,169.10M,,,169.10M,163.54M,277.90M,16.00M,261.90M,0.66,0.0,,,0.6382,0.66,0.64,0.0,,,0.6188,0.64,255.50M,261.80M,0.27
2010-06,578.30M,577.40M,,577.40M,20.10M,215.10M,235.20M,15.50M,,,-25.80M,,47.80M,298.50M,278.90M,-21.90M,257.00M,98.50M,158.50M,,,158.50M,172.01M,294.50M,15.60M,278.90M,0.61,0.0,,,0.6623,0.61,0.59,0.0,,,0.6408,0.59,258.20M,265.70M,0.27
2010-03,557.10M,556.20M,,556.20M,23.50M,207.70M,231.20M,15.40M,,,-25.70M,,45.20M,291.80M,264.40M,-20.40M,244.00M,91.00M,153.00M,,,153.00M,165.79M,279.90M,15.50M,264.40M,0.59,0.0,,,0.6394,0.59,0.57,0.0,,,0.6176,0.57,258.70M,268.50M,0.27
2009-12,542.60M,542.60M,26.60M,516.00M,23.80M,202.00M,225.80M,15.50M,,,10.20M,,44.90M,286.20M,229.80M,10.20M,240.00M,87.50M,152.50M,,,152.50M,146.02M,245.50M,15.70M,229.80M,0.59,0.0,,,0.5648,0.59,0.58,0.0,,,0.5556,0.58,257.10M,265.30M,0.25
2009-09,498.10M,498.10M,26.00M,472.10M,13.00M,196.30M,209.30M,16.40M,,,5.20M,,39.10M,264.80M,207.30M,5.20M,212.50M,79.60M,132.90M,,,132.90M,129.65M,223.80M,16.50M,207.30M,0.52,0.0,,,0.5073,0.52,0.5,0.0,,,0.4877,0.5,256.10M,263.60M,0.25
2009-06,442.20M,442.20M,24.40M,417.80M,13.70M,199.70M,213.40M,16.60M,,,7.90M,,33.90M,263.90M,153.90M,7.90M,161.80M,61.80M,100.00M,,,100.00M,95.12M,170.60M,16.70M,153.90M,0.39,0.0,,,0.3709,0.39,0.38,0.0,,,0.3613,0.38,255.20M,261.70M,0.25
2009-03,384.50M,384.50M,25.40M,359.10M,22.70M,175.40M,198.10M,,,,-36.00M,,33.70M,248.50M,110.60M,-36.00M,74.60M,26.40M,48.20M,,,48.20M,71.46M,127.40M,16.80M,110.60M,0.19,0.0,,,0.2811,0.19,0.19,0.0,,,0.2798,0.19,255.40M,259.00M,0.25
2008-12,415.90M,415.90M,26.10M,389.80M,30.70M,179.30M,210.00M,,,,-80.10M,,43.00M,268.80M,121.00M,-80.10M,40.90M,16.60M,24.30M,,,24.30M,76.36M,136.90M,15.90M,121.00M,0.1,0.0,,,0.3024,0.1,0.1,0.0,,,0.2971,0.1,257.20M,264.10M,0.24
2008-09,554.80M,554.80M,25.70M,529.10M,16.70M,210.90M,227.60M,,,,5.70M,,47.40M,290.30M,238.80M,5.70M,244.50M,91.70M,152.80M,,,152.80M,149.24M,254.30M,15.50M,238.80M,0.59,0.0,,,0.5762,0.59,0.56,0.0,,,0.5468,0.56,258.70M,270.60M,0.24
2008-06,586.50M,586.50M,24.90M,561.60M,20.20M,218.00M,238.20M,,,,7.80M,,49.20M,303.00M,258.60M,7.80M,266.40M,104.20M,162.20M,,,162.20M,157.45M,274.30M,15.70M,258.60M,0.62,0.0,,,0.6017,0.62,0.59,0.0,,,0.5726,0.59,259.60M,272.20M,0.24
2008-03,559.10M,559.10M,25.10M,534.00M,36.50M,207.40M,243.90M,,,,14.30M,,45.00M,303.90M,230.10M,14.30M,244.40M,92.90M,151.50M,,,151.50M,142.64M,245.30M,15.20M,230.10M,0.58,0.0,,,0.5461,0.58,0.55,0.0,,,0.5176,0.55,261.70M,273.50M,0.24
2007-12,597.80M,597.80M,23.20M,574.60M,35.80M,207.20M,243.00M,,,,39.00M,,55.30M,312.00M,262.60M,39.00M,301.60M,110.90M,190.70M,,,190.70M,166.04M,276.40M,13.80M,262.60M,0.72,0.0,,,0.6266,0.72,0.68,0.0,,,0.5915,0.68,263.90M,278.60M,0.24
2007-09,571.00M,571.00M,24.80M,546.20M,18.40M,208.80M,227.20M,,,,17.90M,,43.20M,282.40M,263.80M,17.90M,281.70M,106.90M,174.80M,,,174.80M,163.69M,276.00M,12.20M,263.80M,0.66,0.0,,,0.618,0.66,0.63,0.0,,,0.5901,0.63,264.20M,278.20M,0.17
2007-06,551.10M,551.10M,22.70M,528.40M,21.90M,197.00M,218.90M,,,,11.70M,,44.40M,277.30M,251.10M,11.70M,262.80M,100.60M,162.20M,,,162.20M,154.98M,265.30M,14.20M,251.10M,0.61,0.0,,,0.5828,0.61,0.58,0.0,,,0.5542,0.58,265.40M,280.00M,0.17
2007-03,508.40M,508.40M,21.40M,487.00M,31.80M,184.20M,216.00M,,,,11.80M,,38.40M,268.10M,218.90M,11.80M,230.70M,87.80M,142.90M,,,142.90M,135.59M,232.70M,13.80M,218.90M,0.54,0.0,,,0.5125,0.54,0.51,0.0,,,0.4839,0.51,265.40M,279.80M,0.17
2006-12,488.80M,489.10M,,,30.80M,,30.80M,,,,23.30M,,230.00M,274.20M,214.90M,23.30M,238.20M,89.30M,148.90M,,,148.90M,134.34M,228.30M,13.40M,214.90M,0.57,0.0,,,0.5146,0.57,0.53,0.0,,,0.4779,0.53,262.83M,279.75M,0.17
2006-09,450.30M,450.60M,,,17.40M,,17.40M,,,,17.00M,,221.60M,250.00M,200.60M,17.00M,217.60M,89.30M,128.30M,,,128.30M,118.10M,211.60M,11.00M,200.60M,0.49,0.0,,,0.4511,0.49,0.46,0.0,,,0.4233,0.46,262.30M,277.60M,0.14
2006-06,445.70M,446.00M,,,21.10M,,21.10M,,,,23.50M,,221.00M,253.10M,192.90M,23.50M,216.40M,80.70M,135.70M,,,135.70M,120.96M,203.90M,11.00M,192.90M,0.51,0.0,,,0.4543,0.51,0.49,0.0,,,0.4373,0.49,264.80M,279.70M,0.14
2006-03,429.10M,429.30M,,,28.00M,,28.00M,,,,7.60M,,211.70M,250.80M,178.50M,7.60M,186.10M,69.40M,116.70M,,,116.70M,111.93M,189.60M,11.10M,178.50M,0.44,0.0,,,0.4219,0.44,0.42,0.0,,,0.4029,0.42,264.00M,277.90M,0.14
2005-12,402.60M,402.88M,,,28.41M,,28.41M,,,,12.64M,,190.89M,230.53M,172.35M,12.64M,184.99M,67.37M,117.62M,,,117.62M,109.58M,183.58M,11.23M,172.35M,0.44,0.0,,,0.4096,0.44,0.43,0.0,,,0.4006,0.43,264.68M,273.37M,0.14
2005-09,388.53M,388.70M,,,15.39M,,15.39M,,,,4.369M,,182.66M,208.85M,179.85M,4.369M,184.22M,67.89M,116.34M,,,116.34M,113.58M,190.65M,10.80M,179.85M,0.45,0.0,,,0.4394,0.45,0.43,0.0,,,0.4199,0.43,260.01M,272.86M,0.115
2005-06,363.41M,363.55M,,,18.82M,,18.82M,,,,5.426M,,178.70M,208.02M,155.52M,5.426M,160.95M,58.20M,102.75M,,,102.75M,99.29M,166.02M,10.50M,155.52M,0.4,0.0,,,0.3867,0.4,0.38,0.0,,,0.3672,0.38,259.63M,271.43M,0.115
2005-03,356.96M,357.07M,,,23.47M,,23.47M,,,,1.96M,,176.55M,209.79M,147.28M,1.96M,149.24M,54.94M,94.30M,,,94.30M,93.06M,157.05M,9.772M,147.28M,0.36,0.0,,,0.3552,0.36,0.345,0.0,,,0.3405,0.345,260.53M,273.48M,0.115
2004-12,353.10M,345.50M,,,24.14M,117.08M,24.14M,,,,,-203.04M,370.94M,202.01M,143.49M,,149.28M,52.14M,97.13M,,,97.13M,97.13M,153.45M,9.964M,143.49M,0.38,0.0,,,0.38,0.38,0.355,0.0,,,0.355,0.355,257.13M,273.75M,0.115
2004-09,316.09M,316.23M,,,12.95M,,12.95M,,,,,,162.28M,185.31M,130.91M,,132.34M,49.82M,82.52M,,,82.52M,82.52M,141.00M,10.08M,130.91M,0.325,0.0,,,0.325,0.325,0.31,0.0,,,0.31,0.31,254.86M,266.61M,0.095
2004-06,309.55M,309.67M,,,16.12M,,16.12M,,,,,,155.70M,181.66M,128.01M,,128.48M,48.22M,80.26M,,,80.26M,80.26M,137.86M,9.843M,128.01M,0.315,0.0,,,0.315,0.315,0.3,0.0,,,0.3,0.3,253.95M,267.03M,0.095
2004-03,305.47M,305.65M,,,21.06M,,21.06M,,,,,,151.60M,182.79M,122.86M,,123.68M,46.34M,77.34M,,,77.34M,77.34M,132.99M,10.13M,122.86M,0.305,0.0,,,0.305,0.305,0.29,0.0,,,0.29,0.29,252.19M,267.55M,0.095
2003-12,282.01M,281.55M,,,,,,,,,,,,171.34M,110.21M,,,,68.16M,,,68.16M,68.16M,110.21M,,110.21M,0.275,0.0,,,0.275,0.275,0.255,0.0,,,0.255,0.255,249.00M,266.85M,0.095
2003-09,258.12M,258.27M,,,9.885M,,9.885M,,,,,,131.57M,152.74M,105.53M,,105.79M,39.50M,66.29M,,,66.29M,66.29M,116.82M,11.29M,105.53M,0.265,0.0,,,0.265,0.265,0.255,0.0,,,0.255,0.255,248.03M,260.14M,0.085
2003-06,237.33M,237.46M,,,12.39M,,12.39M,,,,,,128.55M,152.65M,84.82M,,86.18M,32.41M,53.78M,,,53.78M,53.78M,96.52M,11.70M,84.82M,0.22,0.0,,,0.22,0.22,0.21,0.0,,,0.21,0.21,245.01M,253.69M,0.085
2003-03,218.53M,219.51M,,,16.34M,,16.34M,,,,-2.145M,,126.87M,155.07M,64.44M,-2.145M,62.30M,23.52M,38.77M,,,38.77M,40.11M,76.30M,11.85M,64.44M,0.16,0.0,,,0.1655,0.16,0.155,0.0,,,0.1603,0.155,244.88M,251.04M,0.085
2002-12,225.43M,225.43M,,,,,,,,,,,,,681.26M,,,,45.91M,,,45.91M,45.91M,681.26M,,681.26M,0.19,0.0,,,0.19,0.19,0.185,0.0,,,0.185,0.185,244.18M,251.31M,0.085
2002-09,220.30M,220.30M,,,10.77M,88.62M,10.77M,,0.00,,0.00,-148.63M,286.49M,148.63M,71.67M,,70.33M,27.12M,43.21M,,0.00,43.21M,43.21M,84.38M,12.71M,71.67M,0.175,0.0,,,0.175,0.175,0.17,0.0,,,0.17,0.17,244.79M,252.10M,0.08
2002-06,236.12M,236.12M,,,14.44M,90.71M,14.44M,,0.00,,0.00,-151.35M,288.26M,151.35M,84.78M,,83.59M,31.74M,51.85M,,0.00,51.85M,51.85M,97.77M,12.99M,84.78M,0.21,0.0,,,0.21,0.21,0.2,0.0,,,0.2,0.2,246.27M,257.36M,0.08
2002-03,242.15M,242.15M,,,16.91M,94.37M,16.91M,,0.00,,0.358M,-155.86M,294.80M,155.86M,86.29M,0.358M,85.21M,32.18M,53.02M,,0.00,53.02M,52.80M,99.04M,12.75M,86.29M,0.215,0.0,,,0.2141,0.215,0.205,0.0,,,0.2041,0.205,247.06M,260.38M,0.08
2001-12,208.77M,208.77M,,,,,,,,,,,,163.57M,45.20M,,,,45.14M,,,45.14M,45.14M,45.20M,,45.20M,0.18,0.0,,,0.18,0.18,0.175,0.0,,,0.175,0.175,247.92M,255.95M,0.08
2001-09,243.62M,243.62M,,,10.32M,91.22M,10.32M,,7.23M,,3.168M,-155.92M,294.30M,155.92M,87.69M,3.168M,85.26M,34.86M,50.40M,,0.00,50.40M,48.50M,107.91M,20.22M,87.69M,0.205,0.0,,,0.1973,0.205,0.195,0.0,,,0.1876,0.195,246.57M,258.57M,0.075
2001-06,262.13M,262.13M,,,15.60M,96.21M,15.60M,,7.23M,,10.41M,-171.40M,319.97M,171.40M,90.73M,10.41M,86.84M,35.68M,51.16M,,0.00,51.16M,44.91M,111.26M,20.52M,90.73M,0.21,0.0,,,0.1846,0.21,0.2,0.0,,,0.1758,0.2,246.16M,258.12M,0.075
2001-03,280.48M,280.48M,,,21.53M,104.64M,21.53M,,7.23M,,17.39M,-193.11M,357.47M,193.11M,87.37M,17.39M,82.45M,33.50M,49.31M,,-0.357M,49.31M,38.87M,106.76M,19.39M,87.37M,0.2,0.0,,,0.1575,0.2,0.19,0.0,,,0.1497,0.19,245.50M,258.95M,0.075
2000-12,233.28M,233.28M,,,,,,,,,,,,949.91M,-716.63M,,,,55.44M,,,55.44M,55.44M,-716.63M,,-716.63M,0.225,0.0,,,0.225,0.225,0.215,0.0,,,0.215,0.215,244.10M,257.24M,0.075
2000-09,303.70M,303.70M,,,15.55M,98.91M,114.46M,,,,,-185.58M,,-71.12M,374.83M,,111.98M,42.80M,69.18M,,2.529M,69.18M,69.18M,389.42M,14.59M,374.83M,0.285,0.0,,,0.285,0.285,0.265,0.0,,,0.265,0.265,242.85M,261.00M,0.065
2000-06,300.68M,300.68M,,,21.07M,92.66M,113.74M,,,,,-180.12M,,-66.39M,367.07M,,114.93M,45.59M,69.34M,,5.568M,69.34M,69.34M,377.62M,10.55M,367.07M,0.285,0.0,,,0.285,0.285,0.27,0.0,,,0.27,0.27,241.86M,258.67M,0.065
2000-03,316.33M,316.33M,,,25.11M,92.97M,118.08M,,,,,-185.54M,,-67.46M,383.79M,,124.24M,49.20M,75.03M,,6.553M,75.03M,75.03M,393.27M,9.474M,383.79M,0.31,0.0,,,0.31,0.31,0.29,0.0,,,0.29,0.29,240.84M,256.80M,0.065
