,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2017-03,1.581B,,1.581B,482.50M,482.50M,2.063B,,,,,,,,,625.20M,665.70M,,665.70M,2.647B,274.30M,4.212B,6.276B,185.80M,,261.40M,447.20M,,447.20M,,,,,,447.20M,,,,165.00M,,459.10M,204.10M,828.20M,1.275B,48.30M,4.303B,654.60M,-5.40M,5.000B
2016-12,1.205B,,1.205B,455.10M,455.10M,1.66B,0.0,43.00M,422.00M,862.30M,,108.20M,1.436B,-820.40M,615.10M,665.70M,,665.70M,2.938B,346.20M,4.565B,6.225B,180.80M,,39.30M,220.10M,,220.10M,,,,,,220.10M,,,,92.60M,,687.20M,216.50M,996.30M,1.216B,49.00M,4.294B,654.50M,11.50M,5.009B
2016-09,1.401B,,1.401B,446.90M,446.90M,1.848B,,,,,,,,,615.60M,665.70M,,665.70M,3.349B,245.40M,4.876B,6.724B,205.00M,,40.40M,245.40M,,245.40M,,,,,,245.40M,,,,478.00M,,1.114B,52.50M,1.644B,1.890B,49.00M,4.097B,654.50M,33.30M,4.834B
2016-06,1.275B,,1.275B,427.40M,427.40M,1.703B,,,,,,,,,620.80M,665.70M,,665.70M,3.265B,327.20M,4.879B,6.582B,180.60M,,8.90M,189.50M,,189.50M,,,,,,189.50M,,,,343.00M,,1.110B,77.90M,1.531B,1.721B,49.70M,4.081B,703.70M,26.30M,4.861B
2016-03,1.323B,,1.323B,428.10M,428.10M,1.751B,,,,,,,,,612.70M,665.70M,,665.70M,2.935B,239.90M,4.453B,6.204B,172.00M,,168.30M,340.30M,,340.30M,,,,,,340.30M,,,,216.20M,,825.10M,58.50M,1.100B,1.440B,49.60M,4.022B,663.30M,29.10M,4.764B
2015-12,1.172B,,1.172B,446.00M,446.00M,1.618B,0.0,43.00M,415.10M,756.70M,,98.70M,1.314B,-706.40M,607.10M,665.70M,,665.70M,2.019B,196.90M,3.489B,5.107B,170.60M,,21.20M,191.80M,,191.80M,,,,,,191.80M,,,,84.20M,,0.00,68.90M,153.10M,344.90M,50.10M,3.971B,654.60M,86.60M,4.762B
2015-09,1.164B,,1.164B,431.40M,431.40M,1.596B,,,,,,,,,603.00M,665.70M,,665.70M,2.201B,201.50M,3.671B,5.267B,172.80M,,14.70M,187.50M,,187.50M,,,,,,187.50M,,,,405.50M,,,,405.50M,593.00M,50.30M,3.881B,653.20M,88.90M,4.674B
2015-06,1.269B,,1.269B,449.40M,449.40M,1.719B,,,,,,,,,607.30M,665.70M,,665.70M,2.271B,152.80M,3.697B,5.416B,168.50M,,12.00M,180.50M,,180.50M,,,,,,180.50M,,,,267.90M,,,,267.90M,448.40M,51.50M,4.142B,647.90M,125.80M,4.967B
2015-03,1.810B,,1.810B,447.30M,447.30M,2.258B,,,,,,,,,599.00M,665.70M,,665.70M,2.309B,130.70M,3.704B,5.962B,137.90M,524.50M,156.30M,818.70M,,818.70M,,,,,,818.70M,,,,141.30M,,,,141.30M,960.00M,52.10M,4.100B,712.00M,138.20M,5.002B
2014-12,1.506B,,1.506B,442.80M,442.80M,1.949B,0.0,43.00M,397.10M,643.60M,,93.70M,1.177B,-591.00M,586.40M,665.70M,,665.70M,2.292B,151.10M,3.696B,5.644B,143.40M,,23.60M,167.00M,,167.00M,,,,,,167.00M,,,,82.20M,,,,82.20M,249.20M,52.20M,4.450B,756.50M,136.40M,5.395B
2014-09,1.644B,,1.644B,423.60M,423.60M,2.068B,,,,,,,,,572.30M,665.70M,,665.70M,2.355B,107.20M,3.700B,5.768B,150.60M,,22.60M,173.20M,,173.20M,,,,,,173.20M,,,,367.30M,,,,367.30M,540.50M,52.10M,4.249B,760.30M,166.00M,5.228B
2014-06,1.704B,,1.704B,426.00M,426.00M,2.130B,,,,,,,,,576.20M,665.70M,,665.70M,2.203B,93.80M,3.539B,5.669B,121.20M,,30.10M,151.30M,,151.30M,,,,,,151.30M,,,,244.10M,,,,244.10M,395.40M,52.60M,4.061B,957.10M,202.90M,5.274B
2014-03,1.739B,,1.739B,419.70M,419.70M,2.159B,,,,,,,,,571.80M,665.70M,,665.70M,1.984B,82.20M,3.304B,5.463B,119.40M,,173.20M,292.60M,,292.60M,,,,,,292.60M,,,,133.10M,,,,133.10M,425.70M,52.60M,3.871B,929.50M,184.00M,5.037B
2013-12,1.398B,,1.398B,398.80M,398.80M,1.797B,0.0,43.00M,386.60M,561.50M,,93.20M,1.084B,-511.40M,572.90M,665.70M,,665.70M,1.926B,72.20M,3.236B,5.033B,103.90M,,38.70M,142.60M,,142.60M,,,,,,142.60M,,,,72.40M,,,,72.40M,215.00M,52.40M,3.683B,894.60M,188.30M,4.818B
2013-09,1.693B,,1.693B,365.60M,365.60M,2.059B,,,,,,,,,567.50M,665.70M,,665.70M,1.747B,87.80M,3.068B,5.127B,97.30M,,43.30M,140.60M,,140.60M,,,132.90M,132.90M,,273.50M,,,,312.70M,,,,312.70M,586.20M,52.20M,3.495B,824.80M,168.90M,4.541B
2013-06,1.456B,,1.456B,366.50M,366.50M,1.822B,,,,,,,,,558.70M,665.70M,,665.70M,1.642B,110.30M,2.976B,4.799B,114.40M,,17.60M,132.00M,,132.00M,,,144.60M,144.60M,,276.60M,,,,211.80M,,,,211.80M,488.40M,52.00M,3.324B,796.30M,138.40M,4.310B
2013-03,1.286B,,1.286B,364.60M,364.60M,1.650B,,,,,,,,,563.00M,665.70M,,665.70M,1.621B,110.20M,2.960B,4.611B,97.90M,,120.40M,218.30M,,218.30M,,,149.50M,149.50M,,367.80M,,,,135.80M,,,,135.80M,503.60M,51.90M,3.175B,738.10M,142.00M,4.107B
2012-12,879.10M,,879.10M,353.90M,353.90M,1.233B,0.0,43.00M,382.30M,488.90M,,100.60M,1.015B,-453.80M,561.00M,665.70M,,665.70M,1.581B,162.30M,2.970B,4.203B,89.70M,,21.50M,111.20M,,111.20M,,,154.70M,154.70M,,265.90M,,,,90.80M,,,,90.80M,356.70M,51.40M,3.032B,631.00M,131.90M,3.846B
2012-09,1.235B,,1.235B,332.20M,332.20M,1.567B,,,,,,,,,561.00M,665.70M,,665.70M,1.473B,139.10M,2.838B,4.406B,90.70M,,20.90M,111.60M,,111.60M,,,,,,386.00M,,,,,,,,160.70M,546.70M,50.90M,3.144B,544.00M,120.40M,3.859B
2012-06,972.30M,961.20M,1.934B,324.20M,324.20M,2.258B,,,,,,,,,564.40M,665.70M,,665.70M,472.30M,,1.859B,4.117B,86.20M,,15.70M,101.90M,,101.90M,,,,,,293.60M,,,,,,,,165.50M,459.10M,50.80M,2.983B,501.80M,122.20M,3.658B
2012-03,1.104B,836.80M,1.940B,322.50M,322.50M,2.263B,,,,,,,,,564.70M,665.70M,,665.70M,463.50M,,1.814B,4.077B,82.80M,,88.70M,171.50M,,171.50M,,,,,,275.40M,,,,,,,,171.40M,446.80M,51.00M,2.876B,564.10M,139.10M,3.630B
2011-12,897.90M,,897.90M,304.50M,304.50M,1.202B,0.0,43.00M,391.50M,457.10M,,95.30M,986.90M,-419.50M,567.40M,665.70M,,665.70M,1.169B,165.60M,2.568B,3.770B,82.90M,,30.00M,112.90M,,112.90M,,,173.50M,173.50M,,286.40M,,,,63.20M,,,,63.20M,349.60M,50.70M,2.765B,502.00M,102.80M,3.421B
2011-09,1.001B,,1.001B,295.80M,295.80M,1.297B,,,,,,,,,555.10M,665.70M,,665.70M,1.153B,168.40M,2.542B,3.840B,100.10M,,34.20M,134.30M,,134.30M,,,,,,397.00M,,,,,,,,173.00M,570.00M,50.50M,2.655B,468.60M,95.10M,3.270B
2011-06,1.023B,191.80M,1.214B,324.00M,324.00M,1.538B,,,,,,,,,555.70M,665.70M,,665.70M,1.016B,106.20M,2.344B,3.882B,94.40M,,29.40M,123.80M,,123.80M,,,,,,302.70M,,,,,,,,166.90M,469.60M,51.30M,2.744B,460.40M,156.90M,3.413B
2011-03,813.10M,,813.10M,307.90M,307.90M,1.121B,,,,,,,,,560.30M,665.70M,,665.70M,1.142B,152.70M,2.521B,3.642B,79.40M,,33.80M,113.20M,,113.20M,,,,,,185.10M,,,,,,,,160.40M,345.50M,51.70M,2.599B,506.30M,139.10M,3.296B
2010-12,813.10M,,813.10M,307.90M,307.90M,1.121B,0.0,39.00M,394.80M,426.30M,,80.70M,940.80M,-380.50M,560.30M,665.70M,,665.70M,1.142B,152.70M,2.521B,3.642B,79.40M,,33.80M,113.20M,71.90M,185.10M,,,,,,185.10M,,,,,,,,160.40M,345.50M,51.70M,2.599B,506.30M,139.10M,3.296B
2010-09,810.40M,,810.40M,275.20M,275.20M,1.086B,,,,,,,,,557.40M,665.70M,,665.70M,1.104B,150.10M,2.478B,3.563B,80.60M,,42.60M,123.20M,212.00M,335.20M,,,,,,335.20M,,,,,,,,163.70M,498.90M,51.30M,2.478B,418.30M,117.20M,3.064B
2010-06,735.10M,,735.10M,257.10M,257.10M,992.20M,,,,,,,,,543.90M,665.70M,,665.70M,1.034B,,2.411B,3.403B,101.30M,,35.50M,136.80M,144.00M,280.80M,,,,,,280.80M,,,,,,,,162.90M,443.70M,51.40M,2.411B,413.80M,83.30M,2.959B
2010-03,764.10M,,764.10M,259.00M,259.00M,1.023B,,,,,,,,,518.90M,665.70M,,665.70M,1.076B,108.90M,2.369B,3.392B,77.80M,,64.60M,142.40M,82.90M,225.30M,,,,,,225.30M,,,,,,,,160.20M,385.50M,51.90M,2.323B,518.40M,113.50M,3.007B
2009-12,743.30M,,743.30M,246.20M,246.20M,989.50M,0.0,38.80M,361.10M,376.90M,,78.70M,855.50M,-342.70M,512.80M,665.70M,,665.70M,905.80M,136.50M,2.221B,3.210B,79.90M,,33.60M,113.50M,53.30M,166.80M,,,,,,166.80M,,,,,,,,161.30M,328.10M,51.70M,2.240B,488.50M,101.90M,2.882B
2009-09,739.30M,,739.30M,223.10M,223.10M,962.40M,,,,,,,,,501.90M,665.70M,,665.70M,896.00M,135.00M,2.199B,3.161B,78.50M,,19.80M,98.30M,158.90M,257.20M,,,,,164.10M,421.30M,,,,,,,,0.00,421.30M,51.50M,2.152B,440.40M,95.80M,2.740B
2009-06,667.40M,,667.40M,198.00M,198.00M,865.40M,,,,,,,,,474.30M,665.70M,,665.70M,783.10M,167.90M,2.091B,2.956B,81.10M,,20.60M,101.70M,105.80M,207.50M,,,,,,207.50M,,,,,,,,168.80M,376.30M,51.20M,2.084B,395.00M,50.30M,2.580B
2009-03,621.80M,,621.80M,167.50M,167.50M,789.30M,,,,,,,,,454.50M,665.70M,,665.70M,716.20M,166.80M,2.003B,2.792B,83.80M,,22.50M,106.30M,50.10M,156.40M,,,,,,156.40M,,,,,,,,175.50M,331.90M,51.10M,2.048B,364.30M,-2.50M,2.461B
2008-12,619.10M,,619.10M,177.30M,177.30M,796.40M,0.0,22.40M,272.80M,360.20M,,76.50M,731.90M,-291.80M,440.10M,665.70M,,665.70M,721.40M,195.80M,2.023B,2.819B,86.80M,0.00,25.30M,112.10M,60.70M,172.80M,,,,,,172.80M,,,,,,,,157.80M,330.60M,51.40M,2.087B,363.70M,-13.10M,2.489B
2008-09,852.70M,,852.70M,234.50M,234.50M,1.087B,,,,,,,,,415.00M,,,668.30M,817.90M,134.10M,2.035B,3.122B,95.60M,0.00,18.90M,114.50M,223.90M,338.40M,,,,,,338.40M,,,,,,,,127.60M,466.00M,52.00M,2.246B,359.70M,-0.90M,2.656B
2008-06,681.20M,,681.20M,262.10M,262.10M,943.30M,,,,,,,,,382.70M,,,668.50M,946.00M,109.30M,2.106B,3.050B,93.20M,0.00,33.90M,127.10M,157.50M,284.60M,,,,,,284.60M,,,,,,,,113.00M,397.60M,51.90M,2.204B,331.90M,64.50M,2.652B
2008-03,610.20M,,610.20M,259.10M,259.10M,869.30M,,,,,,,,,371.20M,,,668.60M,959.30M,81.00M,2.080B,2.949B,98.70M,0.00,68.10M,166.80M,86.70M,253.50M,,,,,,253.50M,,,,,,,,117.60M,371.10M,51.90M,2.158B,304.80M,64.00M,2.578B
2007-12,785.10M,,785.10M,265.30M,265.30M,1.050B,0.0,21.50M,204.20M,348.50M,,65.80M,640.00M,-281.70M,358.30M,665.70M,,665.70M,1.002B,100.70M,2.127B,3.177B,99.50M,63.60M,41.70M,204.80M,81.10M,285.90M,,,,,,285.90M,,,,,,,,114.30M,400.20M,52.90M,2.333B,295.80M,95.00M,2.777B
2007-09,847.70M,1.001B,1.848B,253.00M,253.00M,2.101B,,,,,,,331.40M,,331.40M,668.90M,,668.90M,1.001B,,2.001B,3.148B,85.60M,44.80M,19.90M,150.30M,214.50M,364.80M,,,,,,364.80M,,,,,,,,,473.70M,52.80M,2.248B,262.70M,110.60M,2.674B
2007-06,895.20M,898.30M,1.794B,248.80M,248.80M,2.042B,,,,,,,298.60M,,298.60M,669.10M,,669.10M,898.30M,,1.866B,3.076B,98.90M,45.10M,42.20M,186.20M,144.00M,330.20M,,,,,,330.20M,,,,,,,,,438.20M,53.00M,2.251B,237.40M,97.10M,2.638B
2007-03,911.10M,805.00M,1.716B,223.20M,223.20M,1.939B,,,,,,,278.60M,,278.60M,669.30M,,669.30M,805.00M,,1.753B,2.957B,84.80M,45.20M,93.60M,223.60M,71.60M,295.20M,,,,,,295.20M,,,,,,,,,408.60M,53.10M,2.155B,265.40M,75.50M,2.549B
2006-12,773.00M,,773.00M,223.50M,223.50M,996.50M,,,,,,,264.90M,,264.90M,669.40M,,669.40M,762.40M,,1.697B,2.765B,77.20M,45.10M,33.90M,156.20M,67.50M,223.70M,,,,,,223.70M,,,,,,,,,338.40M,53.00M,2.057B,247.50M,69.30M,2.427B
2006-09,876.21M,526.94M,1.403B,196.86M,196.86M,1.600B,,,,,,,250.97M,,250.97M,668.98M,,668.98M,526.94M,,1.447B,2.656B,74.09M,36.88M,,110.97M,167.07M,278.05M,,,,,,278.05M,,,,,,,,,389.22M,52.69M,1.953B,203.90M,56.80M,2.266B
2006-06,814.44M,504.42M,1.319B,182.94M,182.94M,1.502B,,,,,,,238.84M,,238.84M,,669.12M,669.12M,504.42M,,1.412B,2.498B,97.14M,36.83M,,133.97M,110.99M,244.96M,,,,,,244.96M,,,,,,,,,352.35M,52.43M,1.862B,179.19M,52.47M,2.146B
2006-03,933.29M,417.31M,1.351B,189.08M,189.08M,1.540B,,,,,,,226.17M,,226.17M,665.69M,,665.69M,417.31M,,1.309B,2.494B,65.63M,37.06M,50.99M,153.69M,63.80M,217.49M,,,,,,217.49M,,,,,,,,,322.92M,26.51M,1.763B,326.17M,55.82M,2.171B
2005-12,803.60M,,803.60M,175.00M,175.00M,978.60M,,,,,,,214.80M,,214.80M,665.70M,,665.70M,401.50M,,1.282B,2.310B,62.50M,36.90M,15.60M,115.00M,55.60M,170.60M,,,,,,170.60M,,,,,,,,,274.40M,26.30M,1.683B,279.70M,48.50M,2.036B
2005-09,772.37M,368.16M,1.141B,167.48M,167.48M,1.308B,,,,,,,210.79M,,210.79M,665.69M,,665.69M,368.16M,,1.245B,2.238B,48.71M,29.96M,16.87M,95.53M,130.96M,226.50M,,,,,,226.50M,,,,,,,,,326.94M,26.06M,1.603B,233.75M,48.25M,1.911B
2005-06,624.03M,357.13M,981.17M,164.59M,164.59M,1.146B,,,,,,,208.28M,,208.28M,665.69M,,665.69M,357.13M,,1.231B,2.068B,41.24M,29.82M,7.097M,78.16M,89.85M,168.00M,,,,,,168.00M,,,,,,,,,267.15M,25.94M,1.516B,217.61M,41.36M,1.801B
2005-03,582.49M,330.82M,913.31M,165.28M,165.28M,1.079B,,,,,,,207.68M,,207.68M,665.69M,,665.69M,330.82M,,1.204B,2.004B,47.41M,29.95M,16.50M,93.86M,52.86M,146.72M,,,,,,146.72M,,,,,,,,,249.38M,26.01M,1.443B,246.75M,38.27M,1.754B
2004-12,499.75M,329.23M,828.98M,158.34M,158.34M,987.33M,,,,,,,203.81M,,203.81M,665.69M,,665.69M,329.23M,,1.199B,1.929B,54.17M,29.80M,9.327M,93.30M,37.80M,131.10M,,,,,,131.10M,,,,,,,,,231.52M,25.92M,1.379B,250.76M,41.67M,1.697B
2004-09,490.06M,289.93M,779.99M,140.36M,140.36M,920.35M,,,,,,,205.68M,,205.68M,665.69M,,665.69M,178.95M,,1.050B,1.843B,46.64M,24.27M,,70.92M,109.10M,180.01M,,,,,,180.01M,,,,,,,,,276.87M,25.57M,1.312B,197.74M,31.55M,1.566B
2004-06,395.24M,283.53M,678.77M,135.96M,135.96M,814.73M,,,,,,,202.48M,,202.48M,665.69M,,665.69M,179.21M,,1.047B,1.728B,42.28M,24.19M,,66.46M,72.45M,138.91M,,,,,,138.91M,,,,,,,,,230.07M,25.45M,1.253B,188.89M,30.38M,1.498B
2004-03,306.92M,277.32M,584.24M,132.90M,132.90M,717.14M,,,,,,,199.42M,,199.42M,665.69M,,665.69M,166.04M,,1.031B,1.634B,46.25M,24.01M,,70.27M,47.73M,117.99M,,,,,,117.99M,,,,,,,,,214.07M,25.30M,1.197B,165.16M,32.24M,1.420B
2003-12,,,,,,,,,,,,,,,,,,,,,,1.547B,,,,,,,,,,,,,,,,,,,,,218.00M,,,,,1.329B
2003-09,226.51M,243.90M,470.40M,114.65M,114.65M,585.05M,,,,,,,202.06M,,202.06M,665.69M,,665.69M,139.02M,,1.007B,1.512B,35.17M,21.17M,,56.34M,82.91M,139.25M,,,,,,139.25M,13.00M,,13.00M,,,,,13.00M,247.30M,24.88M,1.099B,120.86M,20.40M,1.265B
2003-06,144.14M,232.35M,376.50M,106.82M,106.82M,483.31M,,,,,,,205.29M,,205.29M,665.69M,,665.69M,133.22M,,1.004B,1.412B,38.30M,20.93M,,59.22M,56.15M,115.37M,,,,,,115.37M,17.12M,,17.12M,,,,,17.12M,221.11M,24.60M,1.054B,94.72M,18.10M,1.191B
2003-03,132.87M,220.63M,353.50M,96.21M,96.21M,449.71M,,,,,,,208.74M,,208.74M,665.69M,,665.69M,121.72M,,996.14M,1.384B,65.26M,20.78M,,86.04M,32.74M,118.77M,,,,,,118.77M,44.96M,,44.96M,,,,,44.96M,249.97M,24.41M,1.021B,79.57M,8.942M,1.134B
2002-12,,,,,,,,,,,,,,,,,,,,,,1.37B,,,,,,,,,,,,,,,,,,,,,236.00M,,,,,1.134B
2002-09,123.42M,117.09M,240.51M,97.86M,97.86M,338.37M,,,,,,,221.09M,,221.09M,665.69M,,665.69M,117.09M,,1.004B,1.376B,38.25M,19.59M,,57.84M,85.88M,143.72M,,,,,,143.72M,56.56M,,56.56M,,,,,56.56M,275.63M,24.46M,996.25M,76.46M,3.133M,1.100B
2002-06,97.58M,204.18M,301.76M,106.03M,106.03M,407.78M,,,,,,,226.94M,,226.94M,665.69M,,665.69M,128.31M,,1.021B,1.356B,46.69M,19.61M,7.619M,73.92M,64.15M,138.07M,,,,,,138.07M,58.78M,,58.78M,,,,,58.78M,262.72M,24.49M,984.48M,75.54M,9.157M,1.094B
2002-03,113.45M,134.45M,247.90M,113.31M,113.31M,361.20M,,,,,,,233.33M,,233.33M,665.69M,,665.69M,134.45M,,1.033B,1.361B,39.43M,19.86M,25.80M,85.09M,42.57M,127.66M,,,,,,127.66M,70.43M,,70.43M,,,,,70.43M,227.46M,24.84M,1.007B,89.52M,12.75M,1.134B
2001-12,,,,,,,,,,,,,,,,,,,,,,1.313B,,,,,,,,,,,,,,,,,,,,,235.00M,,,,,1.078B
2001-09,181.13M,115.90M,297.03M,103.72M,103.72M,400.74M,,,,,,,249.68M,,249.68M,672.92M,,672.92M,191.24M,,1.114B,1.422B,41.62M,18.55M,44.41M,104.58M,87.17M,191.75M,,,,,,191.75M,140.48M,,140.48M,,0.00,,,140.48M,355.07M,24.72M,948.16M,87.59M,6.753M,1.067B
2001-06,125.54M,130.02M,255.56M,115.89M,115.89M,371.44M,,,,,,,258.26M,,258.26M,680.22M,,680.22M,217.88M,,1.156B,1.418B,40.44M,18.47M,16.51M,75.42M,65.59M,141.01M,,,,,,141.01M,215.11M,,215.11M,,0.00,,,215.11M,375.58M,24.63M,916.32M,84.28M,16.94M,1.042B
2001-03,150.28M,144.72M,295.00M,127.12M,127.12M,422.12M,,,,,,,262.04M,,262.04M,687.76M,,687.76M,208.20M,,1.158B,1.458B,56.56M,18.45M,29.75M,104.77M,44.14M,148.91M,,,,,,148.91M,290.42M,,290.42M,,0.00,,,290.42M,453.51M,24.60M,883.63M,82.76M,13.94M,1.005B
2000-12,,,,,,,,,,,,,,,,,,,,,,1.469B,,,,,,,,,,,,,,,,,,,,,478.00M,,,,,991.00M
2000-09,0.00,180.77M,180.77M,,,180.77M,,,,,,,245.41M,,245.41M,,702.22M,702.22M,,,947.62M,1.464B,,,,,,,,,,,,,319.95M,,319.95M,,0.604M,,,319.95M,503.44M,24.34M,815.67M,71.57M,,960.09M
