,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2011-12,1.534B,1.750B,1.167B,583.67M,186.68M,186.68M,,21.80M,-1.418M,61.75M,-61.75M,,262.40M,321.27M,61.75M,-61.75M,33.56M,-61.75M,293.08M,101.26M,191.82M,-15.69M,-28.01M,148.12M,149.54M,354.83M,,2011-12,0.87,-0.075,0.795,,2011-12,0.855,-0.075,0.78,,2011-12,,2011-12,AOR,Restated
2011-09,1.758B,1.758B,1.190B,568.19M,182.64M,182.64M,,0.798M,1.903M,60.85M,-60.85M,-2.619M,249.48M,318.71M,60.85M,-60.85M,0.798M,-60.85M,258.66M,94.20M,164.46M,-2.612M,-26.48M,135.36M,137.47M,319.51M,,2011-09,0.74,-0.015,0.725,,2011-09,0.725,-0.015,0.71,,2011-09,,2011-09,AOR,Restated
2011-06,1.661B,1.661B,1.163B,498.10M,163.79M,163.79M,,-23.44M,1.852M,59.90M,-59.90M,-2.417M,227.47M,270.62M,59.90M,-59.90M,-23.44M,-59.90M,187.28M,66.87M,120.41M,0.253M,-20.65M,100.02M,114.84M,247.18M,,2011-06,0.525,0.00,0.525,,2011-06,0.51,0.00,0.515,,2011-06,,2011-06,AOR,Restated
2011-03,1.562B,1.562B,1.114B,448.23M,,151.60M,,2.36M,0.972M,58.60M,-58.60M,,214.41M,233.82M,58.60M,-58.60M,2.36M,-58.60M,177.58M,62.96M,114.62M,0.131M,-20.25M,94.50M,92.85M,236.18M,,2011-03,0.49,0.00,0.49,,2011-03,0.48,0.00,0.48,,2011-03,,2011-03,AOR,Restated
2010-12,1.258B,1.428B,1.094B,334.72M,,150.40M,,,-123.88M,53.88M,-128.26M,,91.21M,243.51M,53.88M,-128.26M,14.22M,-128.26M,129.46M,38.68M,90.78M,1.667M,-23.42M,69.02M,67.35M,183.34M,,2010-12,0.355,0.01,0.365,,2010-12,0.35,0.01,0.36,,2010-12,,2010-12,AOR,Restated
2010-09,1.650B,1.650B,1.144B,505.08M,,148.04M,,0.759M,43.76M,39.49M,-39.49M,-1.789M,248.34M,256.74M,39.49M,-39.49M,0.759M,-39.49M,218.01M,75.04M,142.98M,-0.095M,-23.49M,119.39M,118.98M,257.50M,,2010-09,0.58,0.00,0.58,,2010-09,0.575,0.00,0.575,,2010-09,,2010-09,AOR,
2010-06,1.587B,1.587B,1.111B,476.36M,,136.10M,,-3.388M,42.37M,43.66M,-43.66M,-2.834M,233.99M,242.36M,43.66M,-43.66M,-3.388M,-43.66M,195.32M,71.43M,123.89M,,-16.04M,107.85M,110.00M,238.98M,,2010-06,0.525,0.00,0.525,,2010-06,0.52,0.00,0.52,,2010-06,,2010-06,AOR,Restated
2010-03,1.559B,1.559B,1.083B,476.63M,,137.28M,,0.831M,41.56M,44.58M,-44.58M,-2.345M,233.96M,242.67M,44.58M,-44.58M,0.831M,-44.58M,198.91M,73.91M,125.00M,,-15.58M,109.42M,108.90M,243.50M,,2010-03,0.525,0.00,0.525,,2010-03,0.52,0.00,0.52,,2010-03,,2010-03,AOR,Restated
2009-12,1.568B,1.568B,1.095B,473.16M,,137.16M,,0.682M,41.80M,44.83M,-44.83M,-1.376M,234.45M,238.71M,44.83M,-44.83M,0.682M,-44.83M,194.56M,68.98M,125.58M,,-15.86M,109.72M,109.28M,239.39M,,2009-12,0.535,0.00,0.535,,2009-12,0.53,0.00,0.53,,2009-12,,2009-12,AOR,Restated
2009-09,1.574B,1.574B,1.096B,478.06M,,134.93M,,0.999M,42.02M,45.54M,-45.54M,-0.708M,233.06M,245.00M,45.54M,-45.54M,0.999M,-45.54M,200.46M,74.20M,126.27M,,-15.34M,110.93M,110.30M,246.00M,,2009-09,0.535,0.00,0.535,,2009-09,0.53,0.00,0.53,,2009-09,,2009-09,AOR,Restated
2009-06,1.519B,1.519B,1.052B,467.16M,,132.17M,,1.273M,41.23M,47.09M,-47.09M,-0.376M,231.21M,235.95M,47.09M,-47.09M,1.273M,-47.09M,190.14M,70.51M,119.63M,,-13.81M,105.82M,105.02M,237.23M,,2009-06,0.51,0.00,0.51,,2009-06,0.51,0.00,0.51,,2009-06,,2009-06,AOR,Restated
2009-03,1.448B,1.448B,1.006B,441.75M,,127.27M,,0.754M,36.74M,48.30M,-48.30M,0.018M,221.15M,220.60M,48.30M,-48.30M,0.754M,-48.30M,173.06M,64.78M,108.27M,,-12.06M,96.21M,95.74M,221.36M,,2009-03,0.465,0.00,0.465,,2009-03,0.46,0.00,0.46,,2009-03,,2009-03,AOR,Restated
2008-12,1.461B,1.461B,1.011B,449.67M,,24.23M,,2.08M,,,,-35.96M,190.74M,258.93M,,,2.08M,,205.19M,59.66M,145.52M,,-11.99M,98.36M,96.89M,271.34M,,2008-12,0.475,0.00,0.475,,2008-12,0.47,0.00,0.47,,2008-12,,2008-12,,Restated
2008-09,1.447B,1.447B,1.006B,441.49M,,165.92M,,2.481M,,,,12.71M,233.60M,207.88M,,,2.481M,,155.86M,61.95M,93.91M,,-12.71M,93.91M,92.42M,207.88M,,2008-09,0.45,0.00,0.45,,2008-09,0.445,0.00,0.445,,2008-09,,2008-09,,
2008-06,1.407B,1.407B,973.29M,434.02M,,125.20M,,2.987M,37.50M,55.32M,-55.32M,-0.004M,215.58M,218.43M,55.32M,-55.32M,2.987M,-55.32M,166.10M,58.27M,107.83M,,-12.88M,94.95M,93.01M,221.42M,,2008-06,0.455,0.00,0.455,,2008-06,0.45,0.00,0.45,,2008-06,,2008-06,,Restated
2008-03,1.345B,1.345B,930.21M,414.52M,,120.76M,,4.863M,34.63M,59.07M,-59.07M,0.527M,208.73M,205.78M,59.07M,-59.07M,4.863M,-59.07M,151.58M,55.57M,96.01M,,-9.074M,86.93M,83.85M,210.64M,,2008-03,0.405,0.00,0.405,,2008-03,0.40,0.00,0.40,,2008-03,,2008-03,,Restated
2007-12,1.355B,1.355B,927.50M,427.37M,,169.98M,,-251.82M,,,,10.73M,232.10M,195.26M,,,-251.82M,,137.94M,52.22M,85.72M,,-10.73M,85.72M,242.20M,195.26M,,2007-12,0.405,0.00,0.405,,2007-12,0.395,0.00,0.395,,2007-12,,2007-12,,
2007-09,1.318B,1.318B,890.24M,428.14M,,154.70M,,6.278M,,,,11.79M,215.73M,212.41M,,,6.278M,,155.98M,61.52M,94.46M,,-11.79M,94.46M,90.65M,212.41M,,2007-09,0.445,0.00,0.445,,2007-09,0.44,0.00,0.44,,2007-09,,2007-09,,
2007-06,1.313B,1.313B,891.01M,421.72M,,156.38M,,62.93M,,,,-42.93M,160.50M,261.22M,,,62.93M,,205.96M,80.94M,125.02M,,-12.35M,125.02M,86.82M,261.22M,,2007-06,0.595,0.00,0.595,,2007-06,0.585,0.00,0.585,,2007-06,,2007-06,,
2007-03,1.278B,1.278B,881.58M,396.58M,,146.86M,,3.195M,,,,10.62M,203.26M,193.32M,,,3.195M,,127.64M,51.06M,76.58M,,-10.62M,76.58M,74.66M,193.32M,,2007-03,0.365,0.00,0.365,,2007-03,0.36,0.00,0.36,,2007-03,,2007-03,,
2006-12,1.273B,1.273B,872.56M,400.06M,,157.36M,,-273.79M,,,,8.976M,211.55M,188.51M,,,-273.79M,,121.52M,47.39M,74.13M,0.00,-8.976M,74.13M,241.15M,188.51M,,2006-12,0.355,0.00,0.355,,2006-12,0.345,0.00,0.35,,2006-12,,2006-12,,
2006-09,1.237B,1.237B,857.05M,379.99M,,145.43M,,41.24M,,,,-27.01M,162.90M,217.09M,,,41.24M,,152.46M,59.37M,93.09M,1.765M,-10.96M,94.86M,67.91M,217.09M,,2006-09,0.45,0.005,0.455,,2006-09,0.44,0.005,0.45,,2006-09,,2006-09,,
2006-06,1.208B,1.208B,842.97M,364.84M,,142.67M,,2.973M,,,,8.70M,193.09M,171.75M,,,2.973M,,106.29M,41.96M,64.33M,-1.092M,-8.70M,63.24M,62.53M,171.75M,,2006-06,0.31,-0.005,0.305,,2006-06,0.305,-0.005,0.30,,2006-06,,2006-06,,
2006-03,1.163B,1.163B,817.77M,345.42M,,134.25M,,3.874M,,,,7.201M,183.34M,162.08M,,,3.874M,,95.49M,37.71M,57.78M,-0.311M,-7.201M,57.47M,55.44M,162.08M,,2006-03,0.28,0.00,0.28,,2006-03,0.275,0.00,0.275,,2006-03,,2006-03,,
2005-12,1.133B,1.133B,799.29M,334.02M,,126.69M,,-4.972M,,,,5.905M,175.24M,158.78M,,,-4.972M,,87.80M,31.38M,56.41M,7.738M,-5.905M,64.15M,59.61M,158.78M,,2005-12,0.28,0.035,0.315,,2005-12,0.27,0.035,0.31,,2005-12,,2005-12,,
2005-09,644.89M,644.89M,435.21M,209.68M,,72.28M,,0.341M,,,,6.69M,104.38M,105.30M,,,0.341M,,81.36M,30.44M,50.91M,4.303M,-6.69M,55.22M,50.70M,105.30M,,2005-09,0.25,0.025,0.275,,2005-09,0.245,0.02,0.265,,2005-09,,2005-09,,
2005-06,617.08M,617.08M,413.22M,203.86M,,70.82M,,-0.066M,,,,5.676M,101.43M,102.43M,,,-0.066M,,77.48M,29.35M,48.13M,4.816M,-5.676M,52.94M,48.17M,102.43M,,2005-06,0.24,0.025,0.265,,2005-06,0.23,0.025,0.255,,2005-06,,2005-06,,
2005-03,578.63M,578.63M,387.52M,191.11M,,64.59M,,3.137M,,,,3.818M,92.25M,98.86M,,,3.137M,,84.47M,32.50M,51.97M,4.364M,-3.818M,56.33M,50.04M,98.86M,,2005-03,0.26,0.025,0.285,,2005-03,0.25,0.025,0.275,,2005-03,,2005-03,,
2004-12,494.74M,494.74M,334.70M,160.04M,,61.97M,,1.005M,,,,2.435M,83.87M,76.17M,,,1.005M,,61.40M,22.55M,38.86M,,-2.435M,56.60M,38.22M,76.17M,,2004-12,0.20,0.09,0.29,,2004-12,0.19,0.085,0.275,,2004-12,,2004-12,,
2004-09,595.53M,595.53M,396.91M,198.62M,,61.12M,,1.01M,,,,3.593M,86.97M,111.65M,,,1.01M,,98.92M,38.54M,60.39M,,-3.593M,60.39M,59.77M,111.65M,,2004-09,0.305,0.00,0.305,,2004-09,0.295,0.00,0.295,,2004-09,,2004-09,,
2004-06,551.63M,551.63M,375.14M,176.49M,,55.59M,,0.667M,,,,3.503M,80.02M,96.47M,,,0.667M,,85.88M,33.48M,52.40M,,-3.503M,52.40M,51.99M,96.47M,,2004-06,0.265,0.00,0.265,,2004-06,0.25,0.00,0.25,,2004-06,,2004-06,,
2004-03,535.43M,535.43M,363.43M,172.00M,,52.18M,,1.443M,,,,2.718M,75.17M,96.83M,,,1.443M,,86.64M,33.78M,52.86M,,-2.718M,52.86M,51.98M,96.83M,,2004-03,0.27,0.00,0.27,,2004-03,0.255,0.00,0.255,,2004-03,,2004-03,,
2003-12,456.31M,456.31M,287.06M,169.24M,,48.07M,,-8.944M,,,,1.847M,66.66M,102.59M,,,-8.944M,,81.88M,30.40M,51.48M,,-1.847M,62.80M,57.11M,102.59M,,2003-12,0.2667,0.0600,0.2667,,2003-12,0.2433,0.0497,0.2433,,2003-12,,2003-12,,
2003-09,513.28M,513.28M,347.90M,165.39M,,49.13M,,-16.19M,,,,1.706M,70.18M,95.21M,,,-16.19M,,62.91M,24.85M,38.06M,,-1.706M,38.06M,47.85M,95.21M,,2003-09,0.1933,0.00,0.1933,,2003-09,0.18,0.00,0.18,,2003-09,,2003-09,,
2003-06,489.88M,489.88M,335.99M,153.90M,,51.36M,,0.89M,,,,1.813M,71.10M,82.80M,,,0.89M,,64.20M,25.68M,38.52M,,-1.813M,38.52M,37.99M,82.80M,,2003-06,0.21,0.00,0.21,,2003-06,0.1833,0.00,0.1833,,2003-06,,2003-06,,
2003-03,459.81M,459.81M,316.71M,143.10M,,45.02M,,0.785M,,,,1.294M,63.76M,79.33M,,,0.785M,,60.66M,24.25M,36.41M,,-1.294M,36.41M,35.94M,79.33M,,2003-03,0.20,0.00,0.20,,2003-03,0.1733,0.00,0.1733,,2003-03,,2003-03,,
2002-12,503.10M,503.10M,317.06M,186.04M,,46.57M,,-52.30M,,,,9.896M,73.36M,112.67M,,,-52.30M,,50.48M,21.03M,29.45M,,-0.335M,58.81M,60.83M,112.67M,,2002-12,0.2467,,0.2467,,2002-12,0.21,,0.21,,2002-12,,2002-12,,
2002-09,481.19M,481.19M,308.44M,172.76M,,45.16M,,1.124M,,,,,61.43M,111.32M,,,1.124M,,90.57M,36.40M,54.17M,,-1.911M,54.17M,53.50M,111.32M,,2002-09,0.28,0.00,0.28,,2002-09,0.24,0.00,0.24,,2002-09,,2002-09,,
2002-06,442.68M,442.68M,300.55M,142.12M,,47.91M,,5.673M,,,,-2.39M,61.21M,80.91M,,,5.673M,,64.23M,26.50M,37.73M,,-2.827M,8.37M,34.32M,80.91M,,2002-06,0.0333,0.00,0.0333,,2002-06,0.0333,0.00,0.0333,,2002-06,,2002-06,,
2002-03,427.66M,427.66M,291.63M,136.03M,,36.05M,,-4.69M,,,,-705.01M,-653.16M,789.19M,,,-4.69M,,61.98M,26.00M,35.98M,,-2.433M,35.98M,38.79M,789.19M,,2002-03,0.1433,0.00,0.1433,,2002-03,0.1333,0.00,0.1333,,2002-03,,2002-03,,
