,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2014-09,67.00M,14.23B,14.30B,,499.88M,499.88M,14.80B,,441.59M,,441.59M,465.00M,14.23B,15.65B,19.87B,,1.696B,1.696B,1.696B,,290.42M,,290.42M,290.42M,,,1.986B,991.80M,991.80M,,,,74.20M,,1.066B,15.34B,139.22M,3.444B,460.02M,396.08M,882.83M,4.530B
2014-06,45.80M,14.18B,14.22B,,425.42M,425.42M,14.65B,,441.59M,,441.59M,457.82M,14.18B,15.57B,19.65B,,1.648B,1.648B,1.648B,,274.94M,,274.94M,274.94M,,,1.923B,991.50M,991.50M,,,,74.97M,,1.066B,15.14B,139.22M,3.329B,450.73M,298.38M,887.97M,4.509B
2014-03,40.02M,13.73B,13.77B,,372.62M,372.62M,14.14B,,441.59M,,441.59M,451.97M,13.73B,15.06B,19.06B,,1.529B,1.529B,1.529B,,264.92M,,264.92M,264.92M,,,1.794B,991.20M,991.20M,,,,77.91M,,1.069B,14.88B,100.81M,3.659B,473.96M,651.59M,606.06M,4.189B
2013-12,36.94M,12.96B,12.99B,,331.10M,331.10M,13.32B,51.00M,441.59M,,441.59M,448.89M,12.96B,14.27B,18.19B,,1.286B,1.286B,1.286B,,229.07M,,229.07M,229.07M,,,1.515B,990.86M,990.86M,,,,74.17M,,1.065B,14.42B,151.22M,3.496B,462.06M,543.45M,210.98M,3.776B
2013-09,38.79M,12.89B,12.93B,,412.97M,412.97M,13.34B,,441.59M,,441.59M,441.87M,12.89B,14.16B,18.14B,,1.272B,1.272B,1.272B,,227.93M,,227.93M,227.93M,,,1.500B,990.60M,990.60M,,,,78.10M,,1.069B,14.36B,105.81M,3.724B,471.57M,761.79M,237.14M,3.777B
2013-06,44.94M,12.97B,13.01B,,388.74M,388.74M,13.40B,,441.59M,,441.59M,433.33M,12.97B,14.23B,18.14B,,1.300B,1.300B,1.300B,94.00M,255.00M,,349.00M,349.00M,,,1.649B,990.30M,990.30M,,,,79.33M,,1.070B,14.32B,105.81M,3.613B,460.24M,690.98M,333.90M,3.822B
2013-03,25.26M,13.75B,13.77B,,393.87M,393.87M,14.17B,,441.59M,,441.59M,428.01M,13.75B,15.01B,18.88B,,1.604B,1.604B,1.604B,94.00M,275.00M,,369.00M,369.00M,,,1.973B,990.00M,990.00M,,,,80.22M,,1.070B,14.57B,105.81M,3.499B,450.24M,600.21M,850.03M,4.305B
2012-12,61.71M,13.64B,13.70B,,383.71M,383.71M,14.08B,46.00M,441.59M,,441.59M,424.05M,13.65B,14.92B,18.78B,,1.610B,1.610B,1.610B,93.96M,225.09M,,319.04M,319.04M,,,1.929B,989.69M,989.69M,,,,76.09M,,1.066B,14.42B,105.81M,3.403B,439.78M,512.42M,925.28M,4.362B
2012-09,298.83M,386.02M,684.86M,334.60M,,334.60M,1.019B,,396.89M,,396.89M,417.21M,12.91B,14.09B,17.94B,236.18M,,360.61M,360.61M,,,319.71M,319.71M,319.71M,1.612B,1.612B,2.292B,965.30M,965.30M,,,,70.14M,,1.035B,13.63B,112.31M,3.569B,453.34M,786.30M,960.89M,4.309B
2012-06,70.67M,109.54M,180.21M,308.58M,,308.58M,488.79M,,396.89M,,396.89M,410.80M,12.44B,13.62B,17.19B,221.65M,,346.07M,346.07M,,,319.83M,319.83M,319.83M,1.461B,1.461B,2.127B,791.07M,791.07M,,,,71.73M,,862.80M,13.19B,112.31M,3.462B,443.63M,754.93M,734.38M,3.998B
