,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-09,640.55M,640.55M,,,,3.018M,,13.35M,-13.35M,67.60M,70.61M,13.35M,-13.35M,0.651M,-13.35M,151.84M,51.42M,97.74M,0.00,0.00,2.68M,,97.74M,97.74M,3.018M,165.19M,0.3422,0.0,0.0,,0.3422,0.3422,0.3422,0.0,0.0,,0.3422,0.3422,285.59M,285.59M,0.04
2000-06,615.13M,615.13M,,,,,,14.17M,-14.17M,,,14.17M,-14.17M,108.30M,-14.17M,0.00,43.94M,83.29M,,,2.543M,,83.29M,83.29M,,14.17M,0.2889,0.0,,,0.2889,0.2889,0.2889,0.0,,,0.2889,0.2889,288.11M,288.58M,0.04
2000-03,619.02M,619.02M,,,,3.018M,,13.81M,-13.81M,66.40M,69.42M,13.81M,-13.81M,0.712M,-13.81M,137.91M,46.64M,88.88M,,0.00,2.389M,,88.88M,88.88M,3.018M,151.72M,0.3022,0.0,0.0,,0.3022,0.3022,0.3022,0.0,0.0,,0.3022,0.3022,294.09M,294.09M,0.04
1999-12,586.38M,586.38M,,,,,,13.69M,-13.69M,,,13.69M,-13.69M,-229.45M,-13.69M,402.41M,35.26M,68.96M,0.00,0.00,,,68.96M,68.96M,,416.10M,0.2356,0.0,0.0,,0.2356,0.2356,0.2311,0.0,0.0019,,0.2311,0.2267,254.55M,259.99M,0.04
1999-09,565.78M,565.78M,,,,,,13.33M,-13.33M,,,13.33M,-13.33M,93.93M,-13.33M,0.00,38.02M,73.31M,,,2.357M,,73.31M,73.31M,,13.33M,0.2444,0.0,,,0.2444,0.2444,0.2444,0.0,,,0.2444,0.2444,298.05M,299.86M,0.04
1999-06,507.23M,507.23M,,,,,,12.75M,-12.75M,,,12.75M,-12.75M,37.22M,-12.75M,0.00,18.64M,36.31M,-1.06M,,2.225M,,35.25M,36.31M,,12.75M,0.12,-0.0044,,,0.12,0.1156,0.12,-0.0044,,,0.12,0.1156,300.09M,302.23M,0.04
1999-03,567.51M,567.51M,,,,,,12.58M,-12.58M,,,12.58M,-12.58M,104.75M,-12.58M,0.00,42.40M,80.35M,,16.09M,2.289M,,96.43M,80.35M,,12.58M,0.2622,0.0533,0.0,,0.2622,0.3156,0.2622,0.0533,0.0526,,0.2622,0.3156,305.60M,305.60M,0.04
1998-12,560.48M,560.48M,,,,,,10.52M,-10.52M,,,10.52M,-10.52M,-284.78M,-10.52M,446.99M,37.14M,64.18M,-50.27M,,,2.377M,66.44M,69.18M,,457.52M,0.2311,-0.16,,0.1662,0.2311,0.2356,0.2267,-0.16,,0.1662,0.2267,0.2356,262.95M,262.95M,0.0978
1998-09,507.40M,507.40M,,,,,,13.00M,-13.00M,,,13.00M,-13.00M,69.40M,-13.00M,0.00,27.50M,55.70M,13.90M,,,2.50M,17.10M,55.70M,,13.00M,0.1689,0.0444,,-0.1598,0.1689,0.0444,0.1689,0.0444,,-0.1598,0.1689,0.0444,328.50M,328.50M,0.0667
1998-06,556.00M,556.00M,,,,,-20.20M,14.50M,-14.50M,,-20.20M,14.50M,-14.50M,116.60M,-14.50M,0.00,48.30M,55.40M,15.20M,,,2.50M,65.60M,75.60M,,14.50M,0.1689,0.0489,,-0.0158,0.2329,0.2,0.1644,0.0489,,-0.0158,0.2285,0.2,315.50M,315.50M,0.0
